,2021-12-31,恒力石化(600346.SH)尚未开始实施回购,智通财经
1907,2020-09-20,化工周度观点：巨化拟收购浙石化20%股份 关注炼化价值重估,新浪
1908,2020-09-18,2020年中国炼油行业市场现状及竞争格局分析 行业盈利能力较弱,前瞻研究院
1909,2020-09-18,"疫情之下的涤纶长丝""2020上半场"" 前三企业已占近半壁江山",凤凰网
1910,2020-09-18,生意社：9月18日国内丁二烯企业调价汇总,生意社
1911,2020-09-18,晨会聚焦200918重点关注基础化工行业,国信研究
1912,2020-09-18,辽宁大连LNG码头开放 船舶抵港作业将实现“零等待”,国际燃气网
1913,2020-09-17,信达能源开采左前明团队 | 立足产业、深度研究！,黑金新视野
1914,2020-09-16,PTA 远期供应压力增强,期货日报
1915,2020-09-16,2019年中联百强榜出炉 “创转升”驱动制造业上市公司更强劲表现,中国发展网
1916,2020-09-16,许磊：全球炼油行业加速转型淘汰 产能过剩及利润低迷成为主因,卓创资讯
1917,2020-09-16,基础化工行业2020H财报总结：Q2恢复增长趋势 上半年业绩触底反弹,新浪
1918,2020-09-16,关停！这些炼厂永久性关闭！炼油行业“洗牌”中这一要素将颠覆全球 经营问题,新浪
1919,2020-09-16,生意社：9月16日国内丁二烯企业调价汇总,生意社
1920,2020-09-15,“禁塑令”不断加码 产业链调整加速,新华网
1921,2020-09-15,江苏神通两年两易主业绩延续高增长 连续12年核电阀门市占率超90%,长江商报
1922,2020-09-14,【方正化工】化工周报：万华化学BC装置复产，恒逸石化拟建文莱炼化二期,靠谱化工股
1923,2020-09-14,1500亿市值白马股无原因跌停？一日蒸发167亿！ 连续下跌,全景网
1924,2020-09-14,东北“市值一哥”罕见跌停，一日蒸发160亿！,Wind
1925,2020-09-14,石油化工-“炼化-化纤”产业链周报：油价大跌9% 美国十多年来首次新增PP产能,新浪
1926,2020-09-14,瑞达期货：乙二醇V字反弹后续关注港口库存,瑞达期货
1927,2020-09-14,石油化工行业周报：炼厂开工率降低影响原油需求 海外石化供给受损、国内需求向好,新浪
1928,2020-09-14,桐昆股份（601233）：行业反转可期，公司价值显著低估,东兴化工产业洞见
1929,2020-09-14,石油加工行业每周炼化：FDY新装置投产,信达证券
1930,2020-09-14,【天天大宗-能源】每天3分钟，行情早知道~,新浪
1931,2020-09-14,177家沪深两市纺服类上市公司中报出炉,纺织网
1932,2020-09-14,新投去库，乙二醇的黎明是否来临？,美尔雅期货研究院
1933,2020-09-13,中泰化工周度观点：油价短期回调 中期向上趋势不变,新浪
1934,2020-09-12,谁会受益低油价？,上证报
1935,2020-09-11,【中银化工】化工行业2020三季报前瞻,点化成金
1936,2020-09-11,【化工】化工行业2020年半年报综述：疫情冲击大，展望偏乐观,中银证券研究
1937,2020-09-11,基础化工行业9月份投资策略：需求旺季，把握周期品供需拐点,国信研究
1938,2020-09-10,中银证券：近半数化工产品价格环比回升 三季报业绩有望继续恢复,证券时报网
1939,2020-09-10,【化工】化工行业2020三季报前瞻：近半数产品价格环比回升，三季报业绩有望继续恢复,中银证券研究
1940,2020-09-09,生意社：9月9日国内丁二烯企业调价汇总,生意社
1941,2020-09-08,石油加工行业每周炼化：织机开工率回升！,新浪
1942,2020-09-08,2020-2022年中国聚乙烯装置最新扩能计划,新浪
1943,2020-09-08,【投顾论市】人民币升值之路，受益核心公司有哪些？【越声头条专栏】,新浪
1944,2020-09-08,生意社：9月8日国内丁二烯企业调价汇总,生意社
1945,2020-09-07,石油化工行业2020年中报综述：行业景气不断回升 看好具备一体化产业链优势头部企业,新浪
1946,2020-09-07,化工行业周报：看好优质赛道成长标的 关注维生素及周期白马龙头,新浪
1947,2020-09-07,化工行业周报：化工中报业绩基本探底 看好后市迎来整体性复苏,新浪
1948,2020-09-07,生意社：9月7日国内丁二烯企业调价汇总,生意社
1949,2020-09-07,德邦语音早报丨20200907,Tebon好投资
1950,2020-09-06,47只创新高股获北向资金逆市抢筹,证券时报
1951,2020-09-06,中泰化工周度观点20W36：TDI价格大幅上涨 看好长期供给格局改善,新浪
1952,2020-09-05,恒力千亿煤化工谋局,经济观察网
1953,2020-09-04,供不应求+核心原料短缺，分散染料掀起涨价潮，行业龙头市盈率不足10倍,证券时报网
1954,2020-09-04,生意社：9月4日国内丁二烯企业调价汇总,生意社
1955,2020-09-04,最严“禁塑令”来了，多家上市公司忙扩产,证券时报
1956,2020-09-04,最严“禁塑令”来了多家上市公司忙扩产,证券时报
1957,2020-09-03,最严限塑令来袭:可降解塑料与纸业轮番涨价 多家公司瞅准机会扩产,e公司
1958,2020-09-03,我国工业互联网新技术研发及应用能力持续加强,工业新闻网
1959,2020-09-03,生意社：9月3日国内丁二烯企业调价汇总,生意社
1960,2020-09-03,衍生品工具成为企业稳经营利器,期货日报
1961,2020-09-02,化工品旺季开启 关注细分龙头 中长期布局四条主线丨牛熊眼,第一财经
1962,2020-09-02,旺季开启顺周期为王 可关注化工品细分龙头,中证网
1963,2020-09-02,【天风石化】东方盛虹首次覆盖：价值被低估的民营炼化龙头,樨樨和她的油气小伙伴
1964,2020-09-02,"恒力石化现1笔大宗交易 共成交3,123.65万元",新浪
1965,2020-09-02,恒力石化(600346.SH)：控股股东一致行动人解押约2.08亿股,格隆汇
1966,2020-09-02,生意社：9月2日国内丁二烯企业调价汇总,生意社
1967,2020-09-02,9月券商金股名单出炉 这些绩优股被机构追捧(名单),金融界
1968,2020-09-01,恒力石化(600346.SH)：8月未实施回购 累计回购777.99万股,格隆汇
1969,2020-09-01,每周炼化：坯布小幅去库存？,新浪
1970,2020-09-01,9月绩优金股名单曝光！“金九银十”你不来参与一下吗？,中国基金报
1971,2020-09-01,【国金早闻】市场说给你听,国金期货微服务
1972,2020-09-01,9月绩优金股名单曝光，4大行业胜率高,证券时报网
1973,2020-09-01,金九银十上涨概率超六成！9月绩优金股名单曝光,证券时报
1974,2020-09-01,9月金股曝光！券商看好低估值、涨价、消费三主线,21世纪经济报道
1975,2020-09-01,9月绩优金股名单曝光，多只龙头赫然在列，千亿巨头上涨空间超20%！这4大行业高胜率,证券时报
1976,2020-09-01,全产业链优势凸显 多家民营石化上市公司业绩爆发,上证报
1977,2020-09-01,券商圈点9月金股，看好大消费大金融板块,Wind
1978,2020-09-01,券商圈点9月金股看好大消费大金融板块,格隆汇
1979,2020-09-01,A股中报收官中石油成“亏损王中王” 亏损,第一财经
1980,2020-09-01,A股中报：逾八成个股盈利 113股靠政府补助撑业绩,新浪
1981,2020-08-31,券商9月展望：结构性行情可期，太阳纸业、芒果超媒、五粮液最被看好,第一财经
1982,2020-08-31,十大券商9月展望：结构性行情可期（附金股）,中证网
1983,2020-08-31,十大券商9月展望：结构性行情可期，把握经济复苏主线，掘金顺周期个股（附金股）,中证报
1984,2020-08-31,透视A股中报：际华集团等113股靠政府补助撑业绩,北京商报
1985,2020-08-31,57只股股价创历史新高,证券时报网
1986,2020-08-31,化工行业周报：化工中报业绩基本探底 国内经济复苏叠加美元疲弱推涨化工品,新浪
1987,2020-08-31,A股中报收官：十大“亏损王”出炉，最赚钱公司不是茅台 亏损,第一财经
1988,2020-08-31,石油化工行业周报：渐行渐近的石化周期 飓风影响美国炼化产能或致短期供给紧张,新浪
1989,2020-08-31,乐歌股份“掐架”平安资管，谁赢了？今天A股市场这样选择,e公司
1990,2020-08-31,乐歌股份“掐架”平安资管，到底谁赢了？今天A股市场这样选择……（附平安资管重仓股）,证券时报网
1991,2020-08-31,基础化工行业周报：油价上涨 聚合MDI、液氯、PVC糊树脂、纯碱、DMF等产品价格上升,新浪
1992,2020-08-31,股王茅台冲破1800元！A股全面开花挑战新高,中国基金报
1993,2020-08-31,恒逸石化封住涨停提振石油化工板块，齐翔腾达、恒力石化、中油工程均大涨,Wind
1994,2020-08-31,开源金股，9月推荐,开源证券研究所
1995,2020-08-28,恒力石化(600346.SH)：控股股东恒力集团质押5500万股,格隆汇
1996,2020-08-28,【方正化工】化工周报：万华 MDI 挂牌价持续上调，万华玲珑等公司上价值榜,靠谱化工股
1997,2020-08-28,价值公司成投资标杆高质量发展夯实长牛根基,证券时报
1998,2020-08-27,大连全力确保石化产业基地危化品运输安全,慧聪网
1999,2020-08-27,生意社：8月27日国内丁二烯企业调价汇总,生意社
2000,2020-08-27,布伦特原油站上45美元/桶--每日化纤行情快报（8.26）,纺织网
2001,2020-08-27,煤制乙二醇竞争力何在？先攻克这两大难题！,生意社
2002,2020-08-26,双飓风“刺激”油价 沪镍增仓涨逾2%,新华网
2003,2020-08-26,辽港集团前7个月集装箱海铁联运量同比增长26%,港口集装箱网
2004,2020-08-26,变革与趋势：市场化视角下的重组上市,上证报
2005,2020-08-26,2020-8-27神华期货行情资信汇编,神华期货
2006,2020-08-25,【重磅|深度，开源煤炭&石化】桐昆股份：长丝龙头受益需求复苏，参股浙石化布局一体化,能源观察站
2007,2020-08-25,42只股股价创历史新高,证券时报网
2008,2020-08-25,8月25日早盘两市机构大单抢筹40股(名单),金融界
2009,2020-08-25,8月25日早盘两市净流入前20股(名单),金融界
2010,2020-08-25,PTA近期行情难有起色，我们去华东地区调研了一趟,纺织网
2011,2020-08-24,瑞达期货：需求平稳库存高位 苯乙烯延续区间震荡,新浪
2012,2020-08-24,"专题 | 上篇：浅析“多沥青,空苯乙烯”的配置价值",看见大宗
2013,2020-08-24,石油化工／基础化工行业周报(第三十四周),新浪
2014,2020-08-24,【会议直击】中石化炼化工程：无订单取消，境外新签合同量大涨逾200%,财华社
2015,2020-08-24,【每日期市锦囊】原油乏力，PTA弱势震荡（2020-08-24）,长江金融部落
2016,2020-08-24,【乙二醇】MEG弱势格局难改,弘业期货
2017,2020-08-23,中泰化工周度观点20W34：广东省下发《塑料污染治理意见》 看好生物降解塑料,新浪
2018,2020-08-23,【兴证化工】周观点：聚氨酯产业链价格继续上涨，DMF、粘胶短纤价格走高，VA等维生素涨价（8月24日）,兴证化工
2019,2020-08-23,基础化工行业周报：核心布油价格下跌 丙酮、维生素、TDI、纯MDI、ABS等产品价格上涨,新浪
2020,2020-08-21,早评：沪指高开0.49% 电子、传媒等板块活跃,网易
2021,2020-08-21,【中证盘前】民间借贷利率司法保护上限大幅下降；透景生命获QFII举牌；今日5只新股申购；纳指再创新高，特斯拉首次站上2000美元,中证报
2022,2020-08-20,华泰证券：多重因素催化 可降解塑料迎良机（附股）,证券时报网
2023,2020-08-20,生意社：8月20日国内丁二烯企业调价汇总,生意社
2024,2020-08-20,【苯乙烯】苯乙烯现货疲弱 期价重心大幅下移,方正中期期货有限公司
2025,2020-08-19,790公司公布半年报122家业绩增幅翻倍,证券时报网
2026,2020-08-19,大连：九成业务网上办税收服务在“云端”,中国税务报
2027,2020-08-18,PTA 弱势格局难以改变,期货日报
2028,2020-08-18,700多家公司披露半年报业绩，逾半数盈利同比增长,Wind
2029,2020-08-18,700多家公司披露半年报业绩 逾半数盈利同比增长,上证报
2030,2020-08-17,恒力石化(600346)2020半年度财报点评：半年报业绩再创新高 产能持续释放,新浪
2031,2020-08-17,错杀股名单来了！这些绩优股大幅回调，杠杆资金逆市加仓，9股机构预测涨幅超20%,证券时报网
2032,2020-08-17,快讯：开盘90分钟化纤板块涨2.08% 获1.31亿元资金抢筹,证券日报
2033,2020-08-17,【华安证券 | 中报点评】恒力石化：上半年业绩创历史新高，炼化二期即将启动建设,化工阿尔法
2034,2020-08-17,化工行业周报：7月宏观经济数据向好 继续看好待价值发现的化工龙头,新浪
2035,2020-08-17,热点解读 | 投产在即，PX还有机会吗？,美尔雅期货研究院
2036,2020-08-17,77股获券商买入评级 荣盛发展目标涨幅达59.39%,Wind
2037,2020-08-16,【兴证化工】周观点：聚氨酯产业链、煤化工产业链价格整体走高，纯碱、VA、VE涨价（8月17日）,兴证化工
2038,2020-08-15,恒力石化创新高背后 民营大炼化优势持续验证 乙烯项目转固释放增量,全景网
2039,2020-08-15,恒力石化(600346)中报点评：产品产销大幅增长推动业绩增长 炼化业务盈利能力凸显,新浪
2040,2020-08-15,565公司公布半年报86家业绩增幅翻倍,证券时报网
2041,2020-08-15,新装置投产 国内PE管材供应压力增大,新浪
2042,2020-08-14,恒力石化(600346)半年报点评报告：Q2季度业绩环比改善明显 略超预期,新浪
2043,2020-08-14,华泰研究所8月金股推荐,新浪
2044,2020-08-14,生意社：乙二醇价格震荡上行（8.10-8.14）,生意社
2045,2020-08-14,465公司公布半年报76家业绩增幅翻倍,证券时报网
2046,2020-08-14,生意社：8月14日国内丁二烯企业调价汇总,生意社
2047,2020-08-14,半年净利55亿元！恒力石化逆势起飞，凭什么?,中化新网
2048,2020-08-14,开源晨会0814丨行业高频数据对经济的映射；粮食安全种植链迎利好；欧派家居、煌上煌、启明星辰、濮阳惠成、恒力石化,开源证券研究所
2049,2020-08-14,4股获买入评级 最新:比音勒芬,中财网
2050,2020-08-14,恒力石化(600346)：上半年业绩创新高 炼化二期打开成长空间,新浪
2051,2020-08-13,恒力石化(600346)：2020Q2业绩环比改善、现金流亮眼 验证炼化竞争力,新浪
2052,2020-08-13,恒力石化(600346)：景气低谷已过 主业有望企稳回升,新浪
2053,2020-08-13,恒力石化(600346)半年报点评：业绩增量主要来自炼化 乙烯项目下半年贡献业绩,新浪
2054,2020-08-13,近期国内HDPE小中空行情简析,新浪
2055,2020-08-13,机构强烈推荐21只个股-更新中,中财网
2056,2020-08-13,恒力石化(600346)：业绩高增 龙头翱翔,新浪
2057,2020-08-13,【面包财报】恒力石化：2020年上半年归母净利润55.17亿元，同比增长37.2%,面包财经
2058,2020-08-13,【财报智读】恒力石化：2020年上半年归母净利润55.17亿元，同比增长37.2%,面包财经
2059,2020-08-13,现金流超181亿的这家中国纺织巨头，上半年净赚55个亿,第一纺织网
2060,2020-08-13,432公司公布半年报71家业绩增幅翻倍,证券时报网
2061,2020-08-13,今日27公司公布半年报4家业绩增幅翻倍,证券时报网
2062,2020-08-13,恒力石化：半年报业绩再创历史新高 石化航母强者恒强,证券时报网
2063,2020-08-13,恒力石化：3天收到14.39亿元“退税款”，沙特阿美陷超,纺织网
2064,2020-08-13,盘前：市场短期上下震荡在所难免 把握优质股低吸机会,中国经济网
2065,2020-08-13,股海导航 8月13日沪深股市公告提示,新浪
2066,2020-08-13,恒力石化上半年净利逾55亿元 同比增长37.2%,中证报
2067,2020-08-13,恒力石化(600346)：中报55亿 乙烯投产转固 全年业绩再上新台阶 维持“买入”,新浪
2068,2020-08-13,每日财报简讯|山东高速大股东筹划联合重组 京汉股份达成纾困协议,搜狐
2069,2020-08-12,A股头条之上市公司（8.13）,金融界
2070,2020-08-12,恒力石化公布半年报 上半年净利增加37.2%,新浪
2071,2020-08-12,12日晚公告精选丨岭南控股股价异动，控股股东正推进申请免税品经营资质,21世纪经济报道
2072,2020-08-12,公告精选：腾讯控股二季度净利润同比增37%；华新水泥大幅上调回购股份金额,e公司
2073,2020-08-12,恒力石化上半年净利增近4成 业绩创历史新高,e公司
2074,2020-08-12,恒力石化上半年净利突破55亿元，业绩“奶牛”150万吨/年乙烯项目三季度贡献盈利,21世纪经济报道
2075,2020-08-12,晚间重要公告2020年8月12日星期三,Wind
2076,2020-08-12,恒力石化上半年盈利55.17亿元创历史新高 全球最大乙烯项目全面投产,金融界
2077,2020-08-12,恒力石化：2020年半年度净利润约55亿元，同比增加37.20%,每日经济新闻
2078,2020-08-12,恒力石化：上半年净利55.17亿元 同比增37%,e公司
2079,2020-08-12,恒力石化(600346.SH)半年度净利润升37.2%至55.17亿元,格隆汇
2080,2020-08-12,恒力石化：上半年净利润同比增长37.2%,Wind
2081,2020-08-12,深度*行业*化工行业2020半年报前瞻：产品价格重心整体下移 公司业绩承压 盈利能力下降,新浪
2082,2020-08-12,荣盛石化(002493)：浙石化投产、盈利高增长,新浪
2083,2020-08-12,中国5家涉纺企业上榜《财富》世界500强,中国纺织报
2084,2020-08-12,【方正化工】恒力石化中报点评：Q2业绩环比大幅提升，超额收益凸显,靠谱化工股
2085,2020-08-12,不惧疫情上半年狂赚32亿！中国最强纺织龙头借延伸产业链实现高增长,第一纺织网
2086,2020-08-12,成本支撑稳固 PTA或存温和回暖预期,和讯
2087,2020-08-11,塑料：供应压力逐步显现，盘面有转弱预期,新浪
2088,2020-08-11,江苏神通(002438)：中报业绩符合预期 加码乏燃料拉动成长,新浪
2089,2020-08-11,两大聪明资金连续加仓股：11股业绩处于爆发期,证券时报网
2090,2020-08-10,PTA低位蓄势 关注反弹机会,期货日报网
2091,2020-08-10,石油加工行业每周炼化：聚酯市场“至暗时刻”已过？,新浪
2092,2020-08-10,两大聪明资金连续加仓股名单出炉！11股业绩处于爆发期，机构最高看涨超40%,证券时报网
2093,2020-08-10,石油石化行业周报：国际原油价格上涨 PTA-PX价差扩大,新浪
2094,2020-08-10,新扩产周期遭“黑天鹅”突袭 聚酯原料进口不降反增,新浪
2095,2020-08-10,生意社：8月10日国内丁二烯企业调价汇总,生意社
2096,2020-08-10,石油化工/基础化工行业周报(第三十二周),新浪
2097,2020-08-10,今年，已有三套合计620万吨/年新装置实现投产！背靠炼,纺织网
2098,2020-08-09,【太平洋化工】巴斯夫资本市场交流启示,强大化工
2099,2020-08-09,化工行业研究：看好化工高成长公司迎来戴维斯双击 关注维生素独立行情,新浪
2100,2020-08-09,【东北基础化工】日报/TIMET关停美国最后一家海绵钛厂20200806 经营问题,东北基础化工
2101,2020-08-08,【方正化工】化工周报：万华MDI挂牌价大幅上调，玲珑再登亚洲品牌500强榜单,靠谱化工股
2102,2020-08-08,中泰化工周度观点20W31：间苯二胺价格上调 关注染料产业链,新浪
2103,2020-08-08,化工行业周报：经济数据回暖提振石油需求 万华化学成立船舶运营公司,新浪
2104,2020-08-08,石油化工行业点评：民营大炼化中报业绩向好 持续扩张打开成长空间,新浪
2105,2020-08-08,大连：数字产业成为城市新名片,中国经济网
2106,2020-08-07,地产产业链表现较强，通胀压力有所抬头，消费偏弱——行业利差及产业链高频跟踪月报2020年第07期,申万宏源固收研究
2107,2020-08-06,下半年新增产能释放 管材产量或将继续增长,新浪
2108,2020-08-06,中信证券：逐步进入去库周期，看好油价长期持续回升,第一财经
2109,2020-08-06,年产250万吨！聚酯老大再现疯狂“加速度”，恒力石化,纺织网
2110,2020-08-06,信达期货：09进入现货月 烯烃高位震荡,新浪
2111,2020-08-06,石化｜国际油价：逐步进入去库周期，看好油价长期持续回升,中信证券研究
2112,2020-08-06,三诺生物2020年中报业绩交流,中信证券研究
2113,2020-08-05,石油天然气行业：炼化板块投资热度快速升温；建议关注滞涨标的补涨机会,新浪
2114,2020-08-05,A股明日风口：消息称腾讯将着手牵头斗鱼、虎牙合并,新浪
2115,2020-08-05,96只股股价创历史新高,证券时报网
2116,2020-08-05,史诗级利好为何没能让芯片大涨？,中财网
2117,2020-08-05,涨停板解密：三板块个股持续火爆上攻！（8月5日）,Wind
2118,2020-08-05,恒力石化：控股股东恒力集团解除质押9000万股,每日经济新闻
2119,2020-08-05,恒力石化(600346.SH)控股股东解押9000万股,格隆汇
2120,2020-08-05,恒力石化年产250万吨PTA-5装置开车,中国纺织报
2121,2020-08-05,8月5日复盘：悄然发生三大变化 主力资金重点出击10股,新浪
2122,2020-08-05,涨停板复盘：三大指数持续盘整 农业股集体走强,新浪
2123,2020-08-05,恒力石化股价创新高回购股份停摆，10亿元上限回购仅完成不足1亿元,21世纪经济报道
2124,2020-08-05,涨停股复盘：23股封单超亿元,证券时报网
2125,2020-08-05,8月5日午后主力巨资抢筹四大板块(附股),金融界
2126,2020-08-05,8月5日午后两市净流入前20股(名单),金融界
2127,2020-08-05,石油化工板块强势上扬，恒力石化、三联虹普领衔上涨,Wind
2128,2020-08-05,化纤产业链2020年7月市场回顾及8月展望,纺织网
2129,2020-08-05,电子气体需求扩大 深冷设备持续高景气,凤凰网
2130,2020-08-05,【朝闻国盛0806】区块链商用开启新纪元，软件发展进入黄金时代,国盛证券研究所
2131,2020-08-04,能源行业日报：BP大幅亏损 纯碱价格继续上涨 亏损,新浪
2132,2020-08-04,100亿资金涌入 这只基金连拉两个涨停但风险还在后面,中国证券网
2133,2020-08-04,【新华500】新华500指数（989001）4日震荡微跌0.03%,新华网
2134,2020-08-04,恒力石化涨9.30%，股价创历史新高,证券时报网
2135,2020-08-03,【开源煤炭&石化-张绪成】石化周报：供需库存向好提振油价，PTA扩能利润或传导聚酯环节,能源观察站
2136,2020-08-03,7月金股组合盈利13.53% 8月荐股名单出炉,新浪
2137,2020-08-03,恒力石化(600346.SH)7月未回购股份累计回购777.99万股,格隆汇
2138,2020-08-03,乙二醇期货月报：供应存缩量预期 乙二醇短多长空,方正中期期货有限公司
2139,2020-08-03,多因子评级攻略：SC、沥青、EG、橡胶,和讯
2140,2020-08-03,石油化工／基础化工行业周报(第三十一周),新浪
2141,2020-08-03,化工行业周报：经济继续强势复苏 看好萤石价值与MDI后市行情,新浪
2142,2020-08-03,2020年全球炼油产业市场规模与竞争格局分析 中美炼油遥遥领先【组图】,前瞻研究院
2143,2020-08-02,期货期权、境内境外、场内场外全覆盖！PTA市场多层次避险体系形成,美尔雅期货研究院
2144,2020-08-01,8月聚丙烯市场展望,中大期货一站通
2145,2020-07-31,【策略】2020-07-31更新,创元期货股份有限公司
2146,2020-07-31,国家发改委等部门：着力推进产业转型升级示范区和示范园区高质量发展,中国金融新闻网
2147,2020-07-31,2020-2024年中国丙烯行业发展预测分析,中投网
2148,2020-07-31,2020年中国炼油产业市场规模与竞争格局分析 中石油中石化产能过半,前瞻研究院
2149,2020-07-31,发改委：着力推进产业转型升级示范区和示范园区高质量发展,上证报
2150,2020-07-31,开源晨会0731丨开源金股，8月推荐；创业板注册制展望；金石资源、宝丰能源,开源证券研究所
2151,2020-07-31,中国化学工程重点项目近日取得阶段性成果,国资委
2152,2020-07-30,聚乙烯产能格局变迁趋势简析,新浪
2153,2020-07-30,39股主力资金净流入超亿元,证券时报网
2154,2020-07-30,荣盛石化(002493)深度研究报告：民营炼厂龙头 跨越式发展进入兑现期,新浪
2155,2020-07-30,现货供应预期上升 塑料维持逢高空思路,期货日报网
2156,2020-07-30,聚烯烃管材 上半年&下半年,新浪
2157,2020-07-30,2020财富中国500强揭晓，纺织服装19家上榜,财富中文网
2158,2020-07-30,【能化早评】美原油库存大幅下降，能化偏强,混沌天成研究
2159,2020-07-29,生意社：基本面利空承压 7月PTA价格震荡下行,生意社
2160,2020-07-29,2020全球化工50强公布：中石化斩获亚军，中石油、恒力、万华上榜,石化新闻网
2161,2020-07-29,最新《财富》中国500强公布，19家纺织服装企业榜上有名,中国纺织报
2162,2020-07-29,【恒泰早报】7月29日交易策略,恒泰期货股份有限公司
2163,2020-07-29,【能化早评】月差和价差走弱，原油重回震荡,混沌天成研究
2164,2020-07-29,苏州亨通光电、东方盛虹、恒力石化等8家企业上榜《财富》中国500强,搜狐
2165,2020-07-28,基础化工：油价上涨 丁二烯、MDI-50、R125、环氧树脂、软泡聚醚等产品价格上涨,新浪
2166,2020-07-28,2020全球化工50强发布 恒力石化首次上榜位居26位,中国证券网
2167,2020-07-28,恒力石化：首次上榜2020年全球化工企业50强榜单,中证网
2168,2020-07-28,每周炼化：FDY产销局部放量！,新浪
2169,2020-07-28,投资参考|2020年7月28日,红塔期货
2170,2020-07-28,2020《财富》中国500强发布京港粤沪浙占五成,时代周报
2171,2020-07-27,2020年《财富》中国500强新鲜出炉，19家能源企业杀入前100！,华夏能源网
2172,2020-07-27,投资策略及结论-日刊,新浪
2173,2020-07-27,恒力石化：跻身2020年《财富》中国500强榜单前百强,中证网
2174,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
2175,2020-07-27,【期市晚餐】重点品种操作指南 |宁证期货|,宁证期货
2176,2020-07-27,大宗指南第8期：周期品周度运行变化,新浪
2177,2020-07-27,【恒泰早报】7月27日交易策略,恒泰期货股份有限公司
2178,2020-07-27,期货期权、境内境外、场内场外全覆盖 PTA市场多层次避险体系形成,期货日报
2179,2020-07-26,PTA期货日臻完善 多层次避险体系形成,期货日报网
2180,2020-07-26,中泰化工周度观点：科思创及陶氏半年报发布 看好聚氨酯需求回暖,新浪
2181,2020-07-26,【兴证固收·转债】波动放大，资金转向？,兴证固收研究
2182,2020-07-25,【方正化工】化工周报：涤纶长丝、PTA价格上涨，化工龙头迎来布局良机,靠谱化工股
2183,2020-07-25,恒力集团大手笔塑造全产业链,中证报
2184,2020-07-24,瑞达期货：四季度供应量增加 LLDPE下半年或前高后低,新浪
2185,2020-07-24,【能化早评】成本支撑较强，部分液化向上突破,混沌天成研究
2186,2020-07-24,石油化工行业：国家管网资产注入落地 关注上下游投资机会！,新浪
2187,2020-07-24,化工小组晨报纪要观点-重点推荐品种：原油、EB,新浪
2188,2020-07-24,石油化工行业点评报告：石油石化配置续创历史新低 关注龙头及偏成长相关标的,新浪
2189,2020-07-24,瑞达期货：PTA弱势调整 关注开工率变化,瑞达期货
2190,2020-07-23,化工点评报告：2020Q2基金持仓化工比例回升 内外资集中增持细分龙头,新浪
2191,2020-07-23,"绿树浓阴夏日长,PTA磨底难向上",隆众资讯
2192,2020-07-23,【研报掘金】需求预期提升叠加金融因素油价突破新高 关注化工龙头投资机会,证券时报网
2193,2020-07-23,基础化工行业周报：PPI从环比转正趋向同比转正 加配化工正当时,光大证券
2194,2020-07-22,恒力石化(600346.SH)：德诚利质押8500万股,格隆汇
2195,2020-07-22,恒力石化：控股股东的一致行动人德诚利质押约8500万股,每日经济新闻
2196,2020-07-22,油服股全线飘红，油价突破大跌以来新高，行业景气度持续丨牛熊眼,第一财经
2197,2020-07-22,化工小组晨报纪要观点-重点推荐品种：EB、LLDPE、原油,新浪
2198,2020-07-22,疫情下服装市场需求缩减 消费萎缩冲击上游原料企业,中国报告大厅
2199,2020-07-22,山东、山西能源集团各自重组，引发煤化工行业巨变？,生意社
2200,2020-07-22,瑞达期货：PTA底部调整 关注开工率变化,瑞达期货
2201,2020-07-22,【能化早评】欧洲刺激基金提振，原油突破震荡平台,混沌天成研究
2202,2020-07-22,投资参考|2020年7月22日,红塔期货
2203,2020-07-22,【西南期货】今日评论2020.7.22,西南期货研究所
2204,2020-07-22,产业早报 | 金涨银飚“硬核”发光，今日期市走势如何0722,美尔雅期货研究院
2205,2020-07-22,服装业之殇：九成公司上半年业绩下滑 服装市场将蒸发4000亿 盈利能力下降,证券时报
2206,2020-07-22,中信证券：需求预期提升叠加金融因素，油价突破新高（附受益股）,证券时报网
2207,2020-07-22,石油石化｜国际油价：需求预期提升叠加金融因素，油价突破新高,中信证券研究
2208,2020-07-22,服装业之殇：九成公司上半年业绩下滑原料价格触历史底部 盈利能力下降,证券时报
2209,2020-07-21,蒸发4000亿！这个行业罕见“大撤退”，关门、出售……亏损已成常态，原料价格被逼至历史底部,证券时报网
2210,2020-07-21,恒力石化(600346.SH)：控股股东之一致行动人解押1.05亿股,格隆汇
2211,2020-07-21,化工小组晨报纪要观点-重点推荐品种：原油、LLDPE,新浪
2212,2020-07-21,供需矛盾加剧 乙二醇下半年偏弱运行,中投网
2213,2020-07-21,身负山东地炼产业结构调整重任　裕龙岛炼化一期环评公示,新浪
2214,2020-07-21,【最新观点|国信化工】化工行业中期投资策略：从新老基建和政策落地角度寻找确定性机会,化工之诚
2215,2020-07-21,广州期货塑料日评,新浪
2216,2020-07-21,华闻晨报 |美豆处于关键生长期，豆粕2880-2950回调做多,华闻期货
2217,2020-07-21,【能化早评】液化库存再创新高，价格承压,混沌天成研究
2218,2020-07-21,【西南期货】今日评论2020.7.21,西南期货研究所
2219,2020-07-21,【朝闻国盛0721】如何通过转债平衡风险收益,国盛证券研究所
2220,2020-07-21,【山证化工】行业周报 （20200713-20200719）：美钻井数量连续11周下跌，油价维持窄幅震荡,山西证券研究所
2221,2020-07-20,能源化工策略周报,新浪
