,2021-12-31,北船重工升级并正式脱离武船集团“回归”青岛,国际船舶
992,2019-08-06,船舶重工集团概念大跌,中财网
993,2019-08-05,权重蓝筹股表现低迷 上证50指数跌逾1%,中证网
994,2019-08-02,晚间公告热点追踪：欧派家居称包头原经销商已被刑拘,新浪
995,2019-08-02,8月2日晚间上市公司十大重磅公告,巨丰财经
996,2019-08-02,8月2日上市公司晚间公告速递,新浪
997,2019-08-02,中国重工：已累计耗资1.63亿元回购股份,Wind
998,2019-08-02,中国重工：已累计耗资1.63亿元回购股份,e公司
999,2019-08-02,【异动股】船舶制造板块下挫，中船科技(600072-CN)跌4.47%,财华社
1000,2019-07-29,中广核电力将回归激活核电板块 9只半年报预计翻番股或迎布局良机,证券日报
1001,2019-07-29,07月29日 15只股票封板 专用设备板块涨幅最大,每日经济新闻
1002,2019-07-28,7月份十大牛股：平均涨幅收窄 南华仪器暴涨84.71％,财富动力网
1003,2019-07-26,07月26日 24只股票封板 航天航空板块涨幅最大,每日经济新闻
1004,2019-07-25,国防军工：持仓占比处于低位，关注三季度投资机会，维持“增持”评级,格隆汇
1005,2019-07-25,【中信建投军工|行业动态】持仓占比处于低位，关注三季度投资机会,韬扬军工高端制造沙龙
1006,2019-07-25,25日公司新闻聚焦：辅仁医药今日复牌 “吉林首富”放手吉药控股,证券时报网
1007,2019-07-25,A股头条：深改委统筹推进知识产权保护 科创板这类T+0操作火了,金融界
1008,2019-07-24,A股头条之上市公司公告精选（7.25）,金融界
1009,2019-07-24,中国重工：于7月24日回购518万股公司股份,金融界
1010,2019-07-24,中国重工：今日首次回购518.2万股，支付3030万元,Wind
1011,2019-07-24,中国重工：首次回购逾3000万元股份,e公司
1012,2019-07-24,中国重工(601989.SH)7月24日首次回购3030.75万元的股份,格隆汇
1013,2019-07-24,中船系早盘全线爆发 中国船舶涨逾4%,中国经济网
1014,2019-07-23,业绩驱动+资产证券化预期，军工板块异动拉升，机构：坚定看好军工行情,第一财经
1015,2019-07-22,中国通号科创板上市首日市值1299亿元 成交额近百亿元,证券日报
1016,2019-07-22,【异动股】船舶制造板块下挫，亚光科技(300123-CN)跌5.61%,财华社
1017,2019-07-22,【异动股】船舶制造板块下挫，亚光科技(300123-CN)跌5.73%,财华社
1018,2019-07-21,【民生军工】2019Q2国防军工基金重仓持股动态报告：重仓持股比例新低，基金加仓空间显著,MS国防军工
1019,2019-07-20,周评：船舶重工集团板块大涨,中财网
1020,2019-07-20,中国重工今日大宗交易成交168.06万股，成交价5.95元溢价0.0%,Wind
1021,2019-07-19,十大公募基金重仓股之博时基金：二季度加仓金融，买卖两桶油,每日经济新闻
1022,2019-07-19,快讯：中船系概念股异动拉升 久之洋涨逾7%,新浪
1023,2019-07-18,军工主题基金二季度业绩欠佳，这只股票成了“抗跌基”的救命稻草,第一财经
1024,2019-07-18,南北船筹划重组，保利合并中丝，央企整合是否有望再提速，这次会议值得关注,每日经济新闻
1025,2019-07-18,券商晚间评级：满仓5股待飙涨,中财网
1026,2019-07-17,上海证券市场大宗交易公开信息(2019-07-17),上交所
1027,2019-07-17,A股市场资金变动一览（7月17日）,Wind
1028,2019-07-17,科创板又现“擅改招股书”！证监会责令中信证券30天内上报内控整改报告 其他违规处罚,第一财经
1029,2019-07-17,中船系早盘集体爆发 久之洋大涨逾6%,中国经济网
1030,2019-07-16,6月央企利润创新高，海工等五大领域整合要加速,第一财经
1031,2019-07-16,历史新高：6月央企实现净利润1584.9亿元同比增长8.4%,财界网
1032,2019-07-16,“成长+改革”打造军工板块投资逻辑 8只半年报预喜股受机构青睐,证券日报
1033,2019-07-16,【信达看盘】2019.7.16,信达证券上海
1034,2019-07-15,7月15日大宗交易揭秘,中财网
1035,2019-07-15,今日复盘：股指触底回升，军工、券商股领涨,第一财经
1036,2019-07-15,“神船”概念再次起航 基金透露投资路径,金融界
1037,2019-07-15,15日强势板块分析：软件板块走势活跃 券商股上扬,证券时报网
1038,2019-07-15,收评：三大股指触底反弹沪指涨0.4% 军工股表现强势,新浪
1039,2019-07-15,南北船合并板块爆发 中国应急、久之洋涨停,第一财经
1040,2019-07-15,中船系早盘集体走强 中国应急涨逾4%,中国经济网
1041,2019-07-15,资产证券化或加速 军工股布局正当时,投资快报
1042,2019-07-12,中国重工：2018年年度权益分派实施公告,上交所
1043,2019-07-11,盘后13股公布分红方案-更新中,中财网
1044,2019-07-11,中国重工(601989.SH)拟每10股派0.09元 股权登记日为7月17日,格隆汇
1045,2019-07-11,科创板首批25家企业上市在即，关注高端制造投资机会，维持“增持”评级,格隆汇
1046,2019-07-11,工业综合：科创板首批25家企业上市在即 关注高端制造投资机会,中信建投
1047,2019-07-10,军工板块重组整合奏响强音，行业景气度上行，相关概念股或迎布局良机,第一财经
1048,2019-07-09,财融汇·早间必读 | 20190709,财通证券融资融券部
1049,2019-07-09,中丝并入保利背后 央企重组三路径：新建、横纵向合并,第一财经日报
1050,2019-07-09,祸起康得新造假 瑞华会计所被曝遭立案调查 欺诈造假,北京商报网
1051,2019-07-08,保利收编中丝集团 97家央企变96家,每日经济新闻
1052,2019-07-08,97家变96家！央企重组又有新动作，收编中丝集团的为何是它？,每日经济新闻
1053,2019-07-08,十天内央企接连重组 中丝划入保利不简单,新浪
1054,2019-07-08,“中国神船”再度扬帆起航 军工证券化加速,证券市场周刊
1055,2019-07-08,中丝并入保利，国资委监管央企降至96家，央企重组三大路径浮现,第一财经
1056,2019-07-08,南北船合并概念股尾盘异动 概念指数一度翻红,中证网
1057,2019-07-08,中船系股票全线回落，这些军工产业链个股或迎配置良机,第一财经
1058,2019-07-08,蓝筹股集体调整，上证50成分股仅三只券商股勉强飘红,Wind
1059,2019-07-08,【信达看盘】2019.7.8,信达证券上海
1060,2019-07-08,【招商军工周报】两船合并大幕正式开启，军工行业资产证券化有望持续加速（0701-0707）,招商军工研究
1061,2019-07-08,【军工行业*陈显帆】两船合并正式开启，船舶系资本运作有望加速,东吴研究所
1062,2019-07-08,操盘必读｜停牌1000天“钉子户”复牌；*ST康得或被强制退市；新城控股上半年销售金额1224亿,上游新闻
1063,2019-07-07,起航 南北船筹划战略性重组,红周刊
1064,2019-07-06,“中国神船”的新能源命题：海装风电上市不确定性增加？,和讯
1065,2019-07-06,涨价题材再次起飞 主力资金超亿元抢先布局这几只,证券时报
1066,2019-07-06,七月开门红！量能萎缩做好高抛低吸,巨丰财经
1067,2019-07-05,455亿资金争夺20股：主力资金重点出击12股(名单),新浪
1068,2019-07-05,【东兴军工】旗帜鲜明看好军工,军工e洞察
1069,2019-07-05,东莞证券：财富通每日策略,东莞证券
1070,2019-07-05,财融汇·早间必读 | 20190705,财通证券融资融券部
1071,2019-07-04,南北船战略重组 国防军工板块“站上风口”,大众证券报
1072,2019-07-04,造船市场依然平淡 南北船合并应更加关注产业升级,新浪
1073,2019-07-04,联讯策略:军企资产证券化有望加速 军工板块逆市走强,新浪
1074,2019-07-04,525亿资金争夺20股：主力资金重点出击3股(名单),新浪
1075,2019-07-04,市场辩论会：中船系持续走强 军工股的机会又来了？,第一财经
1076,2019-07-04,涨停揭秘：两市缩量回落调整 军工、地产逆势走强,巨丰财经
1077,2019-07-04,快讯：中船概念股一度跳水 中国重工等股抹去涨幅,新浪
1078,2019-07-04,【异动股】船舶制造板块拉升，中船科技(600072-CN)涨9.3%,财华社
1079,2019-07-04,军工板块再度走强港A两市齐涨,富途证券
1080,2019-07-04,恒泰证券：科创板公司密集发行 上证指数仍位于强势区间,恒泰证券
1081,2019-07-04,港股异动 | 军工股强势上涨 地缘局势紧张 俄罗斯暂停履行《中导条约》,格隆汇
1082,2019-07-04,军工板块资产证券化进程加快，具备资产注入逻辑的相关概念股将受益,第一财经
1083,2019-07-04,巨丰热点：国防军工再度活跃 北化股份等个股封板,巨丰财经
1084,2019-07-04,【异动股】南北船概念股直线拉升中国应急(300527-CN)等涨停,财华社
1085,2019-07-04,中船系早盘再度爆发 中国应急涨停,中国经济网
1086,2019-07-04,南北船合并板块再度走强，久之洋、中国应急纷纷涨停,腾讯网
1087,2019-07-04,【信达看盘】2019.7.4,信达证券上海
1088,2019-07-04,【数据揭秘】07月03日 融资客最看好的前20只个股,每日经济新闻
1089,2019-07-04,近2000股大单净流出 10亿大单资金出逃贵州茅台,中财网
1090,2019-07-04,【军工/刘倩倩团队】军工行业事件点评：南北船筹划战略性重组，合并在即,太平洋证券研究
1091,2019-07-04,重组规则优化提升股市效率,中证报
1092,2019-07-04,南北船合并 央企重组再度打开想象空间,金融投资报
1093,2019-07-04,军工行业资产整合有望加速 六股现上车良机,证券时报网
1094,2019-07-03,南北船合并利好？边风炜：更看好成长型公司,第一财经
1095,2019-07-03,压力后的应对策略 明日三大看点,中财网
1096,2019-07-03,容维证券刘思山：市场调整 考验缺口支撑,证券时报网
1097,2019-07-03,两市低开低走沪指跌0.94% 大消费板块集体回调,中新经纬
1098,2019-07-03,复盘9张图：创业板指跌逾1% 白马股午后集体下挫 连续下跌,第一财经
1099,2019-07-03,645亿资金争夺20股：主力资金重点出击6股(名单),新浪
1100,2019-07-03,如何批量抓涨停？关注这板块的25只股票！,搜狐
1101,2019-07-03,涨停揭秘：两市震荡回落 垃圾分类、国防军工受关注！,巨丰财经
1102,2019-07-03,港股异动 | 中船防务H股快速上涨超5% A股盘中触及涨停,格隆汇
1103,2019-07-03,受南北船合并消息利好 船舶股午后爆发,中国经济网
1104,2019-07-03,快讯：军工股走强 空港股份、中国应急拉升封板,新浪
1105,2019-07-03,快讯：午后中船系公司直线拉升 中国应急封涨停,新浪
1106,2019-07-03,“南北船”旗下上市公司股价集体异动 中国应急直线封涨停,金融界
1107,2019-07-03,南北船合并概念股午后异动，中国应急直线涨停,Wind
1108,2019-07-03,广发期货--股指期货早报,广发期货金融衍生品部
1109,2019-07-03,睿策略：市场强势震荡 蓝筹股持续创新高,恒泰睿财
1110,2019-07-03,东莞证券：财富通每日策略,东莞证券
1111,2019-07-03,“神船”即将启航，中小船企如何错位发展,云掌财经
1112,2019-07-03,重磅 | 中国神船来了！,经济网
1113,2019-07-03,南北船合并！没上船别急，还有这些可以买（附股）,红周刊
1114,2019-07-03,分拆二十年南北船再合并 “中国神船”重塑行业新格局,新华网
1115,2019-07-03,外围环境好转助力二轮上涨结构，下半年指数大概率向上；新能源汽车大涨，4股涨停！,恒泰头派账户
1116,2019-07-03,两市缩量震荡 沪指收阳十字星,新浪
1117,2019-07-03,南北船近万亿资产重组 独闯市场20年后再做一家人,长江商报
1118,2019-07-03,南北船合并吹响国企改革号角 谁是下一个“中国神船”？,投资快报
1119,2019-07-03,“南北船”整合历时4年将落地 8家相关上市公司总市值超2700亿元,证券日报
1120,2019-07-03,“南北船”合并有明确进展 中国重工等公司昨日大涨,证券日报
1121,2019-07-03,两船合体是发展的选择 中小船企可错位发展,新京报
1122,2019-07-03,8家上市公司“联手”官宣 分家20年南北船有望合体,新京报
1123,2019-07-03,"两船战略重组,关注后续资产整合",国海证券
1124,2019-07-03,国防军工行业点评报告:南、北船集团开启战略性重组,浙商证券
1125,2019-07-02,道达投资手记：惊呆了！这只牛股14天涨了3倍,每日经济新闻
1126,2019-07-02,南北船重组成真、概念股狂欢，巨无霸合并释放这个信号,第一财经
1127,2019-07-02,南北船合并获确认 旗下8家公司市值飙升超210亿元,第一财经
1128,2019-07-02,“南北船”重组推动船舶板块大涨,大众证券报
1129,2019-07-02,"""中国神船""呼之欲出 今日暴涨250亿 能否复制""神车""涨6倍的行情？",第一财经日报
1130,2019-07-02,惊呆了！这只牛股14天涨了3倍——道达投资手记,每日经济新闻
1131,2019-07-02,中国神船来了，股价异动，谁能笑到最后？,虎嗅网
1132,2019-07-02,“中国神船”概念股跑赢大盘近三倍 后续关键节点或存投资机会,中证网
1133,2019-07-02,“南北船”将重组 中国造船“旗舰店”渐行渐近,华夏时报
1134,2019-07-02,重组松绑+超跌，黑五类涨停潮迎“价值回归”,Wind
1135,2019-07-02,[快讯]中国重工回购公司股份情况通报,中财网
1136,2019-07-02,市场震荡 这一被人“唾弃”的板块爆发,金融界
1137,2019-07-02,震荡上行 顺势而为,中财网
1138,2019-07-02,南北船时隔20年再谋合体 中国神车6倍涨幅万亿市值神话难再现,金融界
1139,2019-07-02,A股震荡整固 量能是关键,国元财富管理
1140,2019-07-02,收评：两市缩量震荡垃圾分类概念大跌 ST概念掀涨停潮,金融界
1141,2019-07-02,A股缩量盘整：船舶板块领涨，ST股掀涨停潮,中新经纬
1142,2019-07-02,615亿资金争夺20股：主力资金重点出击7股(名单),新浪
1143,2019-07-02,A股市场缩量窄幅震荡沪指微跌：猪肉股领涨，垃圾分类股杀跌,澎湃新闻
1144,2019-07-02,“两船”合并终于来了 中船集团与中船重工筹划战略性重组,第一财经
1145,2019-07-02,南北船合并大幕拉开 谁是其中的科创之王？,新浪
1146,2019-07-02,国金证券：新一轮军工资产整合有望启动,中证网
1147,2019-07-02,两市窄幅震荡 机构称A股市场资金结构已出现边际变化,中证网
1148,2019-07-02,“中国神船”真要来了 基金：今年是军工企业业绩拐点年,金融界
1149,2019-07-02,南北船启动战略性重组，如何把握投资机会？,养基司令
1150,2019-07-02,午评：沪股通净流入2.99亿 深股通净流入12.11亿,新浪
1151,2019-07-02,安排上了！8上市公司公告，南北船重组迈大步,第一财经
1152,2019-07-02,"""中国神船""引概念股全线大涨！ 未来还有哪些""神""",券商中国
1153,2019-07-02,“南北船合并”重磅消息袭来 相关个股应声大涨,中新经纬
1154,2019-07-02,大机会来了！南北船合并预期坐实 船舶概念全线大涨 这些投资标的值得关注,21世纪经济报道
1155,2019-07-02,中船重工和中船集团战略重组 旗下6家A股上市公司齐飙涨,电鳗快报
1156,2019-07-02,国盛证券：南北船合并官宣军工重组预期升温(附股),新浪
1157,2019-07-02,民生证券:南北船筹划战略性重组 军工资产证券化提速,新浪
1158,2019-07-02,"一则大消息，立马飙涨200亿！又一个""中国神车""来了，旗下竟有8家上市公司",中国基金报
1159,2019-07-02,【异动股】船舶制造板块高开，中船防务(600685-CN)涨7.96%,财华社
1160,2019-07-02,【异动股】海工装备板块高开，中船科技(600072-CN)涨7.95%,财华社
1161,2019-07-02,南北船合并官宣:航运业苦等多年 公司高管员工数曝光,新浪
1162,2019-07-02,军工板块大涨，机构看好国防军工“成长+改革”主线机会,第一财经
1163,2019-07-02,港股异动︱南北船重组开启 中船防务(00317)大涨超12%,智通财经
1164,2019-07-02,南北船合并消息获确认 国产航母开盘大涨,中国经济网
1165,2019-07-02,南北船合并概念股全线上涨 中国应急涨停,中证网
1166,2019-07-02,巨丰热点：南北船合并尘埃落定 中国船舶等个股 一字涨停,巨丰财经
1167,2019-07-02,巨丰投顾独家点评：8家上市公司公告 坐实南北船战略性重组,巨丰财经
1168,2019-07-02,恒指开盘上涨1.27%，中烟香港涨超10%,老虎证券
1169,2019-07-02,“两船合并”正式拉开序幕，旗下8公司开盘齐刷刷“涨停”，总市值飙升250亿,上游新闻
1170,2019-07-02,“南北船”正筹划战略性重组 旗下上市公司掀涨停潮,金融界
1171,2019-07-02,沪深两市小幅低开 南北船旗下上市公司批量涨停,上游新闻
1172,2019-07-02,南北船筹划战略性重组，概念股躁动，中国船舶等5股涨停,腾讯网
1173,2019-07-02,“南北船”合并获确认 早盘旗下多股竞价涨停,新浪
1174,2019-07-02,南北船启动战略性重组旗下多股涨停,新浪
1175,2019-07-02,A股早评：主要股指小幅低开 船舶板块大幅高开居前,格隆汇
1176,2019-07-02,“南北船”正筹划战略性重组 相关概念股躁动在即,金融界
1177,2019-07-02,中船重工正与中国船舶工业集团筹划战略重组，概念股掀涨停潮,Wind
1178,2019-07-02,“中国神船”真的要来了！“两船合并”正式拉开序幕（附策略）,证券时报网
1179,2019-07-02,中国“神船”来了！南船北船拟重组将成市值最高造船公司,新京报
1180,2019-07-02,【招商军工】船舶行业战略重组大幕拉开，军工行业资产整合有望加速,招商军工研究
1181,2019-07-02,【国金研究】南北船筹划战略性重组：新一轮军工资产整合有望启动,国金证券研究所
1182,2019-07-02,“南北船”战略重组 涉及8家A股上市公司——道达早评,每日经济新闻
1183,2019-07-02,中船重工、中船工业战略重组，8家上市公司发公告,资本邦
1184,2019-07-02,中国神船来了！8家上市公司同日公告 南北船合并指数已上涨50%,中证报
1185,2019-07-02,8家上市公司集体公告 坐实南北船启动战略性重组,证券时报网
1186,2019-07-02,“中国神船”真要来了！南北船合并获确认，8只概念股都发了公告,上游新闻
1187,2019-07-02,东兴军工点评南北船合并：短期存事件驱动机会 军工重组加速推进,腾讯网
1188,2019-07-02,中船重工中船集团筹划战略性重组 业内人士称可促进低端产能退出,新华网
1189,2019-07-02,刷屏！“中国神船”真要来了中国重工等批量涨停-更新中,中财网
1190,2019-07-02,官宣了！两大造船集团拟重组 “中国神船”即将出世,21世纪经济报道
1191,2019-07-02,8家上市公司披露“南北船”正筹划重组 “中国神船”真要诞生了？,每日经济新闻
1192,2019-07-01,重磅消息确认：“南北船”正筹划战略性重组,第一财经
1193,2019-07-01,【太平洋军工】行业事件点评：南北船正式合并，“中国神船”扬帆起航,太平洋军工瞭望台
1194,2019-07-01,中国重工(601989.SH)控股股东中船重工正与中国船舶工业集团筹划战略性重组,格隆汇
1195,2019-07-01,南北船合并获确认！南北船旗下多家上市公司公告：中船重工和中船集团正筹划战略性重组,中证网
1196,2019-07-01,【华创·每日最强音】哪些行业下半年到期债务偿还压力较大？ |固收+军工+机械（20190703）,华创证券研究
1197,2019-06-29,全国级5G无人矿山 绿色智能矿山计划走到全球矿业行业前端,中研网
1198,2019-06-28,空缺5个月后新华保险将迎新任总裁 李全通过董事会表决,证券日报
1199,2019-06-28,中国动力：发行股份及可转债收购子公司股权 增持评级,中信建投
1200,2019-06-28,【信达看盘】2019.6.28,信达证券上海
1201,2019-06-28,中国动力推百亿收购促进混改 中国重工携21亿资产参与重组,长江商报
1202,2019-06-27,中国动力（600482.SH）：抛出百亿收购大案，股价一度涨停,格隆汇
1203,2019-06-27,中船重工加快重组!中国动力逾百亿收购中国船柴等7家子公司股权,国际船舶
1204,2019-06-27,宏信证券：每日信息速递,和讯
1205,2019-06-27,中国动力 拟百亿收购七家子公司股权,中证报
1206,2019-06-26,【中投早知道】2019-06-27,赢家之星
1207,2019-06-26,中国动力(600482.SH)拟斥100.46亿元收购若干控股子公司少数股权并募集配套资金不超15亿元,格隆汇
1208,2019-06-26,A股头条之上市公司公告精选（6.27）,金融界
1209,2019-06-26,东海财经速递20190626,东海通财富
1210,2019-06-26,国家管网公司成立文件下发　管网建设市场有望受益,东海通财富
1211,2019-06-26,中国动力：逾百亿收购中国船柴等7家子公司少数股权,e公司
1212,2019-06-26,主力资金大规模逃出有色板块 尾盘超3000万抢筹13股,新浪
1213,2019-06-26,26日晚公告精选丨五粮液部分国有股份无偿划转,21世纪经济报道
1214,2019-06-26,6月27日涨停板早知道：七大利好有望发酵,新浪
1215,2019-06-26,6月26晚间公告集锦(更新中)：中国平安再度回购198万股,第一财经
1216,2019-06-26,中国重工：以评估值近21亿资产参与中国动力资产重组,e公司
1217,2019-06-26,中国重工：拟参与关联方中国动力重大资产重组,新浪
1218,2019-06-26,中国重工：拟参与中国动力重大资产重组，以资产认购其非公开发行股份,Wind
1219,2019-06-25,06月25日 37只股票封板 贵金属板块涨幅最大,每日经济新闻
1220,2019-06-20,06月20日 49只股票封板 券商信托板块涨幅最大,每日经济新闻
1221,2019-06-19,06月19日 67只股票封板 环保工程板块涨幅最大,每日经济新闻
1222,2019-06-19,A股回购大增 中国平安首次出手,中证报
1223,2019-06-18,热门融资标的股票分析,华龙掘金
1224,2019-06-17,超300股回购目的各异 雅戈尔等市值管理股有看头,红周刊
1225,2019-06-17,财融汇·早间必读 | 20190617,财通证券融资融券部
1226,2019-06-17,改革有望加速推进 行业有望迎来底部反转！军工板块王者归来,投资快报
1227,2019-06-17,"军工行业:聚焦南船重组及外溢效,应看好主战装备、军民融合",国金证券
1228,2019-06-14,信息速递| 2019年6月14日格林大华信息速递,格林大华期货资讯
1229,2019-06-14,两市弱势调整沪指跌1%,红周刊
1230,2019-06-14,巨丰收评：市场缩量阴跌重返弱势,巨丰财经
1231,2019-06-14,收评：三大股指单边下行沪指跌1% 前期热点表现萎靡,新浪
1232,2019-06-14,国防军工板块表现抢眼,中证网
1233,2019-06-14,船舶板块走势强劲 军工改革有望加速推进,证券时报网
1234,2019-06-14,热点零散A股冲高回落 航母概念集体大涨,e公司
1235,2019-06-14,【异动股】船舶制造板块拉升，天海防务(300008-CN)涨停,财华社
1236,2019-06-14,巨丰午评：市场缩量回踩2900点,巨丰财经
1237,2019-06-14,军工股大涨！中国船舶、中船防务一度涨停,格隆汇
1238,2019-06-14,巨丰热点：船舶板块大涨 天海防务等个股盘中涨停,巨丰财经
1239,2019-06-14,【异动股】船舶制造板块拉升，中国船舶(600150-CN)涨停,财华社
1240,2019-06-14,军工股早盘集体大涨 天海防务等涨停,中国经济网
1241,2019-06-14,南北船合并概念股全线走强 中国船舶涨停,中证网
1242,2019-06-14,航母概念股早盘快速拉升 中国船舶、中信重工涨停,证券时报网
1243,2019-06-14,国防军工板块异动拉升 中国船舶等个股涨停,每经网
1244,2019-06-14,航母概念早盘异动 中国船舶率先涨停,金融界
1245,2019-06-14,科创板正式开板，您准备好了吗？,德邦证券微资讯
1246,2019-06-14,盘前：A股延续震荡整固 成交量连续萎缩场内资金谨慎,中国经济网
1247,2019-06-14,最新公告透露利好 16只个股有望爆发（06.14）,中金在线
1248,2019-06-14,三轮增持后再抛回购方案 中国重工加大重组力度,证券日报
1249,2019-06-14,格隆汇A股公告精选(6.14) | 深康佳拟建重庆康佳半导体光电产业园；国轩高科与吉利新能源签订合作协议；中行中银金科在上海挂牌开业，意在推进数字银行,格隆汇
1250,2019-06-13,公告汇总：兰石重装五涨停提示风险,网易
1251,2019-06-13,侃财丨A股的阿里概念，价值几何？,证券时报网
1252,2019-06-13,A股头条之上市公司公告精选（6.14）,金融界
1253,2019-06-13,中国重工：拟回购公司股份，总额不低于4亿元,第一财经
1254,2019-06-13,东海财经速递20190613,东海通财富
1255,2019-06-13,13日晚公告精编丨第三家股份行获批筹建理财子公司，斯尔邦拟作价110亿元借壳上市,21经济网
1256,2019-06-13,公告精选：斯尔邦拟作价110亿借壳丹化科技；天沃科技有意参股氢燃料电池企业,e公司
1257,2019-06-13,格隆汇6月13日晚间公告速递丨复星医药阿伐曲泊帕片获批临试 中联重科今再回购844万股A股,格隆汇
1258,2019-06-13,每日复盘：沪指缩量震荡站稳2900 氢能源板块大热,云掌财经
1259,2019-06-13,[快讯]6月13日晚间沪深两市重要公司公告一览-更新中,中财网
1260,2019-06-13,6月13日上市公司晚间公告速递,新浪
1261,2019-06-13,中国重工(601989.SH)拟回购4亿-6亿元股份 每股均价不超7.82元,格隆汇
1262,2019-06-13,中国重工：拟以4亿-6亿元回购股份,Wind
1263,2019-06-11,科创板“踩雷”公司重回审批路径明晰 利元亨拿到复核报告恢复“已问询” 问询,证券日报
1264,2019-06-10,上证50成份股事件周报（2019.06.03-2019.06.09）,爱建证券研究所
1265,2019-06-09,热门融资标的股票分析,华龙掘金
1266,2019-06-06,【华金证券晚间资讯（20190605）】,华金研究
1267,2019-06-06,中国重工股东中船重工增持9281万股 耗资3.91亿元,挖贝网
1268,2019-06-06,债转股投放落地规模近万亿 涉及26个行业106家企业,中国经济网
1269,2019-06-05,债转股项目会否增加民营企业比重？发改委回应,中新网
1270,2019-06-05,中国重工：控股股东方面完成增持计划 累计增持3.91亿元,e公司
1271,2019-06-05,中国重工(601989.SH)控股股东及其一致行动人累计增持9281.16万股,格隆汇
1272,2019-05-29,"中国船舶深度报告:民船业务拐点将至,业绩有望探底回升",申万宏源
1273,2019-05-28,北向资金“转身”抢筹三分钟 A股尾盘“火箭升空”,每日经济新闻
1274,2019-05-28,中字头尾盘强拉翻红有何意图？,中财网
1275,2019-05-28,上证50集合竞价异常拉升 多只权重股上扬,e公司
1276,2019-05-27,科创板上市委首次会议委员名单出炉 审核“老手”现身“5人组”,每日经济新闻
1277,2019-05-26,热门融资标的股票分析,华龙掘金
1278,2019-05-24,【异动股】船舶制造板块下挫，天海防务(300008-CN)跌8.12%,财华社
1279,2019-05-20,洛阳钼业联手中国联通 打造全国级5G无人矿山项目,证券之星
1280,2019-05-19,热门融资标的股票分析,华龙掘金
1281,2019-05-17,【国防军工行业】深度报告：中周期触底回升，行业景气度延续上行,格隆汇
1282,2019-05-17,中证研发创新100指数基金=科创概念指数基金？系误读,澎湃新闻
1283,2019-05-14,国防军工板块表现亮眼,中证网
1284,2019-05-13,个股成交量骤增、骤减排行榜|2019年05月13日,云掌财经
1285,2019-05-13,陈欣：市场化债转股模式趋向成熟,新浪
1286,2019-05-12,下周操盘攻略：解禁量下降，A股接近调整到位,Wind
1287,2019-05-11,个股成交量骤增、骤减排行榜|2019年05月11日,云掌财经
1288,2019-05-11,板块走势坚韧三主线掘金军工板块 六股利刃出鞘,中证报
1289,2019-05-10,抗跌属性强化 三主线掘金军工板块,中证报
1290,2019-05-09,军工集团下属A股上市公司业绩分析,--
1291,2019-05-09,208家上市国企参与并购 船舶业战略重组可期,证券日报
1292,2019-05-08,前海开源遭遇黑色4月亏损惨重 23只权益基金跌超5%,中国经济网
1293,2019-05-08,“热钱”卷土重来 一个新概念迅速升温,每日经济新闻
1294,2019-05-06,【民生军工】2018年年报及2019年一季报业绩综述：Q1业绩改善明显，全年增长可期,MS国防军工
1295,2019-05-05,工业综合：推荐关注绩优白马标的 荐15股,国海证券
1296,2019-05-05,中国重工一季度净利5.29亿元 同比增长93% 现金流量净额为-32.08亿元,挖贝网
1297,2019-05-05,【国盛军工】2019Q1军工行业基金持仓情况与变化分析,毅军凸起
1298,2019-05-04,揭秘A股7年来现金流真相！四成个股自由现金流为负，496股经营现金流净流出，流出规模最高达200亿,券商中国
1299,2019-05-01,海工整合提速！七家央企联手 南北船合并水到渠成？,证券时报网
1300,2019-04-30,南北船合并概念股全线上涨 中船科技涨近6%,中证网
1301,2019-04-30,2707家公司披露一季报证金、汇金等持股名单曝光,重庆商报
1302,2019-04-29,中国重工去年净利6.73亿同比下滑20% 总经理王良薪酬为49万元 盈利能力下降,挖贝网
1303,2019-04-29,工业综合：海上阅兵下周举行 荐15股,和讯
1304,2019-04-29,工业综合：庆祝人民海军成立70周年大会在京举行 荐8股,和讯
1305,2019-04-28,【民生军工】行业周报：Q1业绩稳定增长，军工配置价值显现,MS国防军工
1306,2019-04-26,中国重工(601989.SH)2018年度净利润降19.68%至6.73亿元 拟10派0.09元 盈利能力下降,格隆汇
1307,2019-04-26,中国重工(601989.SH)一季度净利润升92.9%至5.29亿元,格隆汇
1308,2019-04-26,中国重工：2018年度计提减值准备12.36亿 资产异常,Wind
1309,2019-04-26,中国重工：一季度净利润同比增92.90%,Wind
1310,2019-04-26,中国重工：一季度净利润5.29亿元，同比增长92.9%,Wind
1311,2019-04-26,一带一路概念表现分化 连云港、北新路桥跌逾3%,证券时报网
1312,2019-04-26,中国动力一季度净利1.8亿元同比增长0.65% 现金流净额-7.4亿元,挖贝网
1313,2019-04-24,【异动股】船舶制造板块下挫，中国船舶(600150-CN)跌7.06%,财华社
1314,2019-04-23,【异动股】船舶制造板块下挫，中国船舶(600150-CN)跌5.89%,财华社
1315,2019-04-23,【异动股】海工装备板块下挫，中国船舶(600150-CN)跌6.42%,财华社
1316,2019-04-23,军工股表现分化 天和防务、航天发展涨逾1% 海上阅兵将举行,证券时报网
1317,2019-04-23,海洋强国+军民融合提振相关题材 3只个股被两类机构交叉持有,证券日报
1318,2019-04-22,机械制造：3月挖机销量增速约15% 荐1股,和讯
1319,2019-04-22,【异动股】船舶制造板块下挫，中国船舶(600150-CN)跌3.43%,财华社
