,2021-12-31,保险行业关于《保险公司偿付能力监管规则(Ⅱ)》的点评：偿二代二期工程落地 预计对头部险企的影响相对有限,新浪
9783,2020-03-30,循迹中国人保2019年报：荣光和忧伤,和讯
9784,2020-03-30,03.30丨银保监摸底疫情下寿险经营情况；上市险企人均薪酬9.5万元,和讯
9785,2020-03-30,智通港股通活跃成交|3月30日,智通财经
9786,2020-03-30,美联储的下一把“武器” | 国君周知,国泰君安证券研究
9787,2020-03-30,北水动向(3.30)|北水净流入38.55亿 央行下调逆回购利率20个基点 内银股受青睐,智通财经
9788,2020-03-30,财险公司健康险业务去年承保亏损超40亿 成为新致亏点 亏损,华夏时报
9789,2020-03-30,华创证券：券商试点并表监管 头部公司有望受益,新浪
9790,2020-03-30,保险公司集体喊你抄底了！中国人保董事长缪建民：“我们H股估值低得不像话”,21世纪经济报道
9791,2020-03-30,银保监会公布：2019年度162家保险公司投诉率出炉！ 诉讼纠纷,和讯
9792,2020-03-30,银保监会调研疫情对寿险影响：2月新单保费下滑明显,21世纪经济报道
9793,2020-03-30,年报、季报抢鲜看！大数据寻找“预喜”股票,Wind
9794,2020-03-30,上海疫情防控发布 | 上海已延迟个人还款528.5亿元，减免利息超千万元,上观
9795,2020-03-30,499公司公布年报69家业绩增幅翻倍,证券时报网
9796,2020-03-30,【国泰君安国际】大数据系列｜互联互通·一张图20200327,国泰君安证券香港
9797,2020-03-30,“寿险一哥”中国人寿如何考量资产配置,中华工商时报
9798,2020-03-30,友邦的第二次“股灾机遇”,阿尔法工场
9799,2020-03-30,智通港股通持股解析|3月30日,智通财经
9800,2020-03-30,智通港股通占比异动统计|3月30日,智通财经
9801,2020-03-30,【国盛金融】保险2019年年报综述：投资贡献EV增长超预期 负债仍有压力 关注二季度配置机会,马婷婷深度研究
9802,2020-03-30,121股获券商买入评级 环旭电子目标涨幅达81.61%,Wind
9803,2020-03-30,智通港股通资金流向统计(T+2)|3月30日,智通财经
9804,2020-03-30,10万亿元在手，五大险企今年会怎么投？,Wind
9805,2020-03-30,四大上市险企开“良方”战疫,国际金融报
9806,2020-03-29,百家保险机构忙调研 他们看上哪些上市公司？,上证报
9807,2020-03-29,渠道、成本结构优化，ROE提升明显|中国人保（601319）2019年报点评【华创非银】,华创非银
9808,2020-03-29,红塔证券2019年度分配预案：拟10派1元,证券时报网
9809,2020-03-29,财险老三家业绩出炉：净利大增 非车险业务占比上升,新浪
9810,2020-03-29,五大上市险企10万亿元，今年会怎么投？,中国证券网
9811,2020-03-29,自营带动业绩上涨，风控稳健助力发展|招商证券（600999）2019年报点评【华创非银】,华创非银
9812,2020-03-28,保险成“定心丸”中国太保为企业纾困,中证报
9813,2020-03-27,国寿去年净利润大增四倍 近1月连续举牌两上市公司,华夏时报
9814,2020-03-27,智通港股通活跃成交|3月27日,智通财经
9815,2020-03-27,"中国太保现1笔大宗交易 共成交1,520.31万元",新浪
9816,2020-03-27,上海证券市场大宗交易公开信息(2020-03-27),上交所
9817,2020-03-27,北水动向(3.27)|北水净流入4.95亿 建行(00939)绩前遭沽售,智通财经
9818,2020-03-27,港股通今日净买入汇控3.16亿港元,格隆汇
9819,2020-03-27,84股今日获机构买入评级,证券时报网
9820,2020-03-27,图说年报丨中国太保综合实力持续增强,和讯
9821,2020-03-27,疫情或激发险企布局健康险,广州日报
9822,2020-03-27,国联安基金净利5年降90%:偏股产品缩水 孟朝霞面挑战 盈利能力下降,新浪
9823,2020-03-27,上海任免韩强、李中宁、孔庆伟、张超美、刘训峰、冯力虎等职务,中国经济网
9824,2020-03-27,中国太平跌逾3% 去年盈利升三成逊预期 盈利能力下降,新浪
9825,2020-03-27,美联储频出大招救市 全球紧张情绪有所缓解 136只绩优低估值A股暗藏机会,财富动力网
9826,2020-03-27,智通港股通持股解析|3月27日,智通财经
9827,2020-03-27,周五机构一致看好的七大金股（03.27）,中金在线
9828,2020-03-27,【公司点评】中国太保 (601601)丨寿险负债端承压，产险非车险表现靓丽,中国银河证券研究
9829,2020-03-27,国寿、新华保险勾勒自身选股经 坚持长线价值投资,中证报
9830,2020-03-27,产品服务协同创新 健康管理联动打造多样化体验,金融投资报
9831,2020-03-27,理性看待疫情下银行保险业的“危”与“机”,中国经济时报
9832,2020-03-26,险资疯狂南下“扫货”，钟情内资金融股,第一财经
9833,2020-03-26,市场大幅波动带来长期买点！中国人寿阐释举牌策略：积累核心优质资产,中证报
9834,2020-03-26,利润翻四倍的中国人寿，估值为什么这么低？,格隆汇
9835,2020-03-26,四大保险公司431万业务员去年贡献1.44万亿寿险保费 死伤医疗赔付640亿,搜狐
9836,2020-03-26,风向变了？白马股重获券商扎堆推荐，14股潜在涨幅超20%（名单）,证券时报网
9837,2020-03-26,人身险新渠道现“冰火两重天”：网销触底返弹 电销阵营缩减,北京商报
9838,2020-03-26,【财报眼】国寿去年净赚582亿 高管回应整体上市传闻,新浪
9839,2020-03-26,四家险企去年投资收益率普升，疫情只是短期冲击,第一财经
9840,2020-03-26,机构强烈推荐27只个股-更新中,中财网
9841,2020-03-26,智通港股通活跃成交|3月26日,智通财经
9842,2020-03-26,人身险新警示！网销触底上涨谁称王？电销下挫受伤谁离场？,新浪
9843,2020-03-26,太保今年第二次举牌锦江资本H股 持流通股比例增至10.46%,上证报
9844,2020-03-26,东京奥运会延期避免巨额赔付！2020年保险业的朝阳特质何时凸显？,格隆汇
9845,2020-03-26,北水动向(3.26)|北水净流入18.23亿为本月最低 内险股表现分化,智通财经
9846,2020-03-26,业绩快报｜中国人寿的2019：净利大涨4倍，线上化提速,36氪
9847,2020-03-26,提出“二次腾飞”后 李全带领新华保险交出了怎样的成绩单？,经济观察网
9848,2020-03-26,跟着险资选股 国寿、太保、新华相继发出增持权益资产信号,21世纪经济报道
9849,2020-03-26,罗熹不再是太平人寿法定代表人，中国太平回应称“优化治理结构”,第一财经
9850,2020-03-26,大象抢跑，国寿交出鼎新元年六大成绩单丨年报观察,和讯
9851,2020-03-26,业务结构优化，各项指标向好 | 中国人寿（601628）2019年年报点评【华创非银】,华创非银
9852,2020-03-26,转型初期渠道业务结构变更，价值率下降 | 新华保险（601336）2019年年报点评【华创非银】,华创非银
9853,2020-03-26,中国人寿的举牌逻辑：筛选符合长期持有的龙头股票 发掘港股市场个股投资机会,中国网
9854,2020-03-26,【招商非银|深度】中国太保：EV稳健增长，重点关注后续渠道转型进展,莲花山士丹利金融研究
9855,2020-03-26,年报低估值高增长龙头股名单来了，最高股息率近7%,证券时报网
9856,2020-03-26,保险业协会：2019年互联网人身险保费恢复正增长 同比增55.7%,北京商报
9857,2020-03-26,年内已举牌农业银行、中广核电力 中国人寿回应投资动态,新京报
9858,2020-03-26,太稀缺！年报低估值高股息高增长龙头股名单来了，仅11只，最高股息率近7%（名单）,证券时报
9859,2020-03-26,机构预计万科一致目标价上涨空间近34%,第一财经
9860,2020-03-26,年内已7度举牌上市公司,证券导报
9861,2020-03-26,线下签单降95% 保险业打响“线上战役”,中新经纬
9862,2020-03-26,融创中国：港股通成交活跃股追踪 万洲国际近一个月首次上榜,乐居财经
9863,2020-03-26,中信保诚、国寿、太保等八家险企举牌港股 数十亿资金增配权益类资产,经济观察网
9864,2020-03-26,中国太保2019年净利润同比增长54.0%,中国金融新闻网
9865,2020-03-26,智通港股通占比异动统计|3月26日,智通财经
9866,2020-03-26,智通港股通持股解析|3月26日,智通财经
9867,2020-03-26,【非银】保险行业1月保费点评：1月保费收入同比增速下降 盈利能力下降,微信
9868,2020-03-26,上证早知道│美股大幅振荡，波音大涨24%；多路资金入市扫货,中国证券网
9869,2020-03-26,险资开启抢筹模式，一周4次出手，万亿增量资金可期,券商中国
9870,2020-03-26,险资抄底不停 长久期资金低吸优质资产,上证报
9871,2020-03-26,智通港股通资金流向统计(T+2)|3月26日,智通财经
9872,2020-03-26,险资抄底不停，长久期资金低吸优质资产,Wind
9873,2020-03-26,刚刚曝光！两大险资大举增持股票上千亿！,中国基金报
9874,2020-03-25,频频出手 保险资金大手笔扫货优质资产,上证报
9875,2020-03-25,保险公司逢低加仓 中信保诚增持光大控股,21世纪经济报道
9876,2020-03-25,中国人寿业绩：去年归母净利涨4倍 手续费佣金支出提升,新京报
9877,2020-03-25,智通港股通活跃成交|3月25日,智通财经
9878,2020-03-25,港股复盘：恒指续涨3.8%，中国恒大飙升21%领涨内房股,格隆汇
9879,2020-03-25,71股今日获机构买入评级24股上涨空间超20%,证券时报网
9880,2020-03-25,港股通今日净买入建行15.71亿港元,格隆汇
9881,2020-03-25,北水动向(3.25)|北水净流入57.4亿 周五发业绩 建行(00939)再获15亿增持,智通财经
9882,2020-03-25,一线龙头概念股近三日最受主力资金青睐,证券时报网
9883,2020-03-25,43股主力资金净流入超亿元,证券时报网
9884,2020-03-25,收评：恒指大涨3.81％日线四连阳 石油板块复苏昆仑能源涨23.1％,金融界
9885,2020-03-25,恒指收涨3.81% 航空服务板块领涨,中新经纬
9886,2020-03-25,美国参议院两党就2万亿美元刺激计划达成协议,21世纪经济报道
9887,2020-03-25,原上海国际集团总裁傅帆获批出任中国太保总裁,腾讯网
9888,2020-03-25,早盘复盘：港A两市暴力反弹2%，汽车、医疗板块领涨大市,格隆汇
9889,2020-03-25,万科：289公司公布年报 46家业绩增幅翻倍,乐居财经
9890,2020-03-25,港股午评|恒指冲高回落，体育股强势反弹，亚太股市延续利好气氛,富途证券
9891,2020-03-25,亚太股市全线反弹 北上资金脉冲式流入,证券日报
9892,2020-03-25,港股异动|中国太保(02601.HK)绩后持续反弹现大涨8%4日累升23%,格隆汇
9893,2020-03-25,A股动荡中的护盘抉择：646名重要股东增持近千次,21世纪经济报道
9894,2020-03-25,中国太保寿险80余万员工使用太保钉钉安全复工,北国网
9895,2020-03-25,众安保险公布2019年财报：科技助力效率提升，综合成本率降7.6个百分点,零壹财经
9896,2020-03-25,80股获券商买入评级 中国太保目标涨幅达95.03%,Wind
9897,2020-03-25,47只港股获南向资金大比例持有,证券时报网
9898,2020-03-25,2020年中国保险科技落地现状及趋势展望,艾瑞网
9899,2020-03-25,对于分红质疑、GDR进展、股价下跌 中国太保给出了最新回应,国际金融报
9900,2020-03-25,美国将推6万亿美元刺激，全球主要市场开启全面反攻！,Wind资讯
9901,2020-03-25,美国将有6万亿美元刺激，道指暴力反攻11%，创1933年以来记录！,Wind
9902,2020-03-25,"中国太保""转型2.0""三年成绩单量质齐升 保险矩阵效能显现",上证报
9903,2020-03-25,A股动荡中的护盘抉择：646名重要股东增持近千次,Wind
9904,2020-03-25,保险业高质量发展前景可期,金融时报
9905,2020-03-25,中国太保：为2020年全面冲刺“转型2.0”蓄力,金融时报
9906,2020-03-25,上市公司正负面新闻2020年3月25日星期三,Wind
9907,2020-03-25,太保二度举牌锦江资本 大型险资缘何一个月5次举牌H股,第一财经
9908,2020-03-25,A股头条：武汉解封时间定了！美股大幅收涨道指重回20000点上方,金融界
9909,2020-03-25,疫情冲击之下 中国太保转型路在何方,北京商报
9910,2020-03-25,【财知道】险资频频出手，抄底时机来了？,中新经纬
9911,2020-03-25,A股动荡中的护盘抉择： 646名重要股东增持近千次,21世纪经济报道
9912,2020-03-25,详解太保集团2019年资管图谱： 资管规模突破2万亿、权益投资占比大增,21世纪经济报道
9913,2020-03-25,利润分配预案扎堆出炉抢权行情快速升温,重庆商报
9914,2020-03-25,【安信非银】中国太保2019年年报点评：负债端短期压力不减 ，坚定转型彰显长期价值,新角度新金融
9915,2020-03-24,智通港股公告精选︱(3.24)达成全年物业合同销售目标 中国奥园年度净利大增78%至52.2亿元,--
9916,2020-03-24,年报季 | 青岛银行IPO募集资金用光核心资本仍紧张，不良风险隐忧不小,和讯
9917,2020-03-24,晨会聚焦200324重点关注智莱科技,国信研究
9918,2020-03-24,中国太保：市场信心恢复后，将择机发行GDR,第一财经
9919,2020-03-24,中国太保(02601.HK)：银保监会核准傅帆总裁任职资格,格隆汇
9920,2020-03-24,3月25日上市公司重要公告集锦：石化油服2019年度净利同比增长543.6%,证券日报
9921,2020-03-24,中国太保高层人事调整收官“转型2.0”全面冲刺期待破局 董监高成员变化,新浪
9922,2020-03-24,险资又举牌，今年已7次！不做“野蛮人”的ta，到底爱谁？,腾讯网
9923,2020-03-24,疫情倒逼转型，澄清港股“举牌”，把握股市错杀机会……中国太保管理层坦诚回应这些热点！,中国证券网
9924,2020-03-24,傅帆获批担任中国太保总裁,上证报
9925,2020-03-24,傅帆获批任太保总裁 “孔傅配”时代开启,证券时报
9926,2020-03-24,智通港股通活跃成交|3月24日,智通财经
9927,2020-03-24,转型2.0再突破，中国太保重塑价值增长动能,经济观察报
9928,2020-03-24,港股复盘：恒指翻红大涨4.46%，三大电信运营商全日强势,格隆汇
9929,2020-03-24,越跌越买买买 险资H股市场狂扫货,21世纪经济报道
9930,2020-03-24,太保净利三年翻番股价却大跌 管理层：股价严重背离 盈利能力下降,中国经济网
9931,2020-03-24,北水动向(3.24)|北水净流入42.65亿 5G股表现分化,智通财经
9932,2020-03-24,智通每日大行研报汇总︱3月24日,智通财经
9933,2020-03-24,中国太保董事长孔庆伟：正在积极推进GDR发行有关工作,北京商报网
9934,2020-03-24,杀“回马枪”！北向资金净流入超50亿元,中投网
9935,2020-03-24,78股今日获机构买入评级8股上涨空间超50%,证券时报网
9936,2020-03-24,险企进军万亿养老蓝海：养老社区入住率攀升 护工短缺,新京报
9937,2020-03-24,3月24日上市公司晚间公告速递,新浪
9938,2020-03-24,中国太保：银保监会已核准傅帆任本公司总裁资格,新浪
9939,2020-03-24,中国太保：总裁任职资格获银保监会核准,e公司
9940,2020-03-24,中国太保俞斌：研究推进成立金融科技公司 破解科技创新的试错机制,北京商报
9941,2020-03-24,中国太保：市场信心修复后公司股价将逐步修正,中国金融信息网
9942,2020-03-24,头部基金公司营收疲软 睿远盈利近6000万,金融投资报
9943,2020-03-24,太保产险顾越：疫情下行业前两月增速不到1% 车险综合改革影响难预估,北京商报
9944,2020-03-24,太保寿险潘艳红：正全面推进代理人方面转型升级,北京商报
9945,2020-03-24,和信投顾：沪指自下跌以来首次站回五日线 抄底良机已现,证券时报网
9946,2020-03-24,野村：下调中国太保(02601)目标价至32.32港元 维持“买入”评级 机构下调估值,智通财经
9947,2020-03-24,太保回应举牌H股逻辑 将出台有关健康、养老的战略,21世纪经济报道
9948,2020-03-24,疫情影响多大？太保产险董事长顾越：前两个月行业增速不到1%！,南都报
9949,2020-03-24,中国太保董秘马欣：股价表现已背离公司发展基本面,证券时报网
9950,2020-03-24,中国太保董事长孔庆伟：正研究核心队伍激励长期化问题,证券时报网
9951,2020-03-24,早盘复盘：港A两市全线翻红，恒指大涨3.56%半导体概念异动拉升,格隆汇
9952,2020-03-24,港股午评：恒指窄幅震荡涨3.56% 三大运营商及黄金概念股大涨,格隆汇
9953,2020-03-24,太平洋保险交转型途中跑成绩单：寿险降本增效，农险重要性凸显,36氪
9954,2020-03-24,264公司公布年报44家业绩增幅翻倍,证券时报网
9955,2020-03-24,外围暴涨，白马股集体大反弹，外资净流出势头就此止住了吗？,证券时报
9956,2020-03-24,保集控股集团：中国太保董事长孔庆伟积极开展GDR工作 研究大健康计划,南都报
9957,2020-03-24,中国太保：将择机完成GDR发行,Wind
9958,2020-03-24,交银国际：中国太保目标价降至30港元 维持买入评级,新浪
9959,2020-03-24,中国太保：将择机完成GDR发行,证券时报网
9960,2020-03-24,中国太保连续四年新增客户数超千万 经营现金流净流入1118亿为净利4倍,长江商报
9961,2020-03-24,中国太保年报解读,新华网
9962,2020-03-24,太保举牌锦江资本 险资1个月5次出手 权益投资有望攀升？,券商中国
9963,2020-03-24,险资再度开启举牌模式，疯狂买买买，这些股票要火了？,中国基金报
9964,2020-03-24,中国财险(2328.HK)高开13.31% 领涨保险股,格隆汇
9965,2020-03-24,线下业务不能开展 线上成交低迷 代理人陷入了迷茫中,金融界
9966,2020-03-24,险资频频瞄准H股举牌,财富动力网
9967,2020-03-24,险资大军来了！今年第七例，太保举牌锦江资本，险资1个月5次出手,券商中国
9968,2020-03-24,79股获券商买入评级 运达股份目标涨幅达75.54%,Wind
9969,2020-03-24,中国太保交出年度高分答卷，新业务价值下降9%美中不足 |年报直击 盈利能力下降,搜狐
9970,2020-03-24,12股获买入评级 最新:金科股份,中财网
9971,2020-03-24,行业龙头领航 上海辖区上市公司复工复产显活力,上证报
9972,2020-03-24,中国太保2019年现金分红109亿 职工人均薪酬福利22万,中国经济网
9973,2020-03-24,本周年报抢先看：“大象”不滞涨，中国人寿等6家公司净利增长超4倍,腾讯网
9974,2020-03-24,华夏建信净利逾十亿 “爆款”专业户睿远首秀盈利,时代周报
9975,2020-03-24,业绩大幅下滑、屡遭消费者投诉，平安人寿的“套路”还能走多久？ 盈利能力下降,搜狐
9976,2020-03-24,中国太保净利润三年翻一番 转型2.0进入全面冲刺阶段,21世纪经济报道
9977,2020-03-24,股市大跌！险资再度开启举牌模式，疯狂买买买，这些股票要火了？,中国基金报
9978,2020-03-24,【安信非银第11期周报】海外疫情蔓延外资流出，关注非银反弹窗口,新角度新金融
9979,2020-03-23,基金公司利润榜单来了！华夏12亿，建信10亿、招商8亿，“网红”睿远也不甘落后,21世纪经济报道
9980,2020-03-23,中国太保（601601）深度：论从前，明日知谁健,国信研究
9981,2020-03-23,疫情下的抉择：寿险增速趋缓 中国太保2020冲刺转型2.0,新浪
9982,2020-03-23,中国太保97亿新增利润从何而来？(图),新浪
9983,2020-03-23,中国太保2019年报出炉：日赚7000多万 3位高管年薪近500万 寿险新业务承压,搜狐
9984,2020-03-23,智通港股通活跃成交|3月23日,智通财经
9985,2020-03-23,"中国太保现1笔大宗交易 共成交1,768.57万元",新浪
9986,2020-03-23,港股复盘：恒指收跌4.86%跌超1100点，航空汽车地产皆遭重挫,格隆汇
9987,2020-03-23,北水动向(3.23)|北水净流入95.1亿 逆市加仓大金融板块,智通财经
9988,2020-03-23,上海证券市场大宗交易公开信息(2020-03-23),上交所
9989,2020-03-23,解除复工人员后顾之忧！上海推出复工复产复市疫情防护综合险,澎湃新闻
9990,2020-03-23,中国太保转型2.0行至中流:聚焦高质量 经营业绩稳健增长,第一财经
9991,2020-03-23,【万联保险】当前估值已至低位，静待业务回暖催化——中国太保（601601）点评报告,万联证券研究所
9992,2020-03-23,18万亿保险资金A股动向：保险资金举牌、调研、观点全集锦！,21世纪经济报道
9993,2020-03-23,机构评级榜：6股最受关注机构集体推荐,证券时报网
9994,2020-03-23,解密主力资金出逃股连续5日净流出729股,证券时报网
9995,2020-03-23,"中国太保""转型2.0""2019年答卷:净利润同比增长54%至277亿元 产寿险贡献率逾95%",中国网
9996,2020-03-23,中国太保业内首推针对灵活就业行业的“复工复产复市疫情防护综合保险”,中金在线
9997,2020-03-23,【华创非银】中国太保（601601）2019年报点评：个险渠道压力明显，EV增长维持稳定,华创非银
9998,2020-03-23,“保险＋”矩阵蓄势待发 中国太保服务生态圈加速构建,和讯
9999,2020-03-23,转型2.0提质增效 多维赋能高质发展 中国太保交出2019亮眼成绩单,和讯
10000,2020-03-23,中国平安下跌4%兼创1年低位 本月累跌近19%,新浪
10001,2020-03-23,瑞信：下调中国太保(02601)目标价至34港元 维持“跑赢大市”评级 机构下调估值,智通财经
10002,2020-03-23,【中信建投非银】中国太保2019年报点评：转型期业绩符合预期，重点关注长期价值,中信建投非银金融研究
10003,2020-03-23,22股获买入评级 最新:北新建材,中财网
10004,2020-03-23,中国太保2019年净利润同比增长54.0%,中国金融新闻网
10005,2020-03-23,中国太保：2019年归母净利润同比大增54%，约为277.4亿元,搜狐
10006,2020-03-23,恒指低开5.02% 水务板块领跌,中新经纬
10007,2020-03-23,A股早报2020年3月23日星期一,Wind
10008,2020-03-23,【国盛金融】中国太保2019年年报点评：短期压力不改长期价值发展 投资及营运经验贡献EV超预期增长,马婷婷深度研究
10009,2020-03-23,【四大证券报精华摘要】3月23日,中国金融信息网
10010,2020-03-23,近期险资频频举牌上市公司,中证报
10011,2020-03-23,中国太保交2019年成绩单：总投资收益率5.4% 非车业务大幅提升,国际金融报
10012,2020-03-23,巨丰早参：证监会表示资本市场平稳向好 A股处历史低位,巨丰财经
10013,2020-03-23,中国太保2019年业绩：寿险新业务价值下滑 权益类资产配置增加 盈利能力下降,金融界
10014,2020-03-23,10家公募2019年盈利曝光，2家净利润超10亿,Wind
10015,2020-03-23,A股头条：证监会称A股整体估值较低 李大霄遭遇监管谈话 其他违规处罚,金融界
10016,2020-03-23,资产破2万亿！首家险企年报出炉，第三方资管增长强劲！首席科技官年薪超500万！,中国基金报
10017,2020-03-23,10家公募2019年盈利曝光2家净利润超10亿,证券时报
10018,2020-03-23,太保去年净利277亿增54%权益类投资占比上升3.2%,证券时报
10019,2020-03-23,年报点评 | 中国太保：转型进行时，短期波动不扰长期价值,丁丁带你玩转金融
10020,2020-03-22,A股头条之上市公司（3.23）,金融界
10021,2020-03-22,【方正非银】中国太保：转型再深化，长期价值稳增长可期——2019年报点评,欣赏金融
10022,2020-03-22,投资保险板块的时段还有多远？,经济日报
10023,2020-03-22,中国太保净利增长54%：太保安联首度盈利 安信农险下滑24%,北京商报
10024,2020-03-22,太保转型“途中跑”：渠道调整拉低新业务价值，净利润三年翻番,第一财经
10025,2020-03-22,中国太保：2019年年度主要财务指标,上交所
10026,2020-03-22,中国太保(02601)：2019年第4季度太平洋人寿保险核心偿付能力充足率257%,智通财经
10027,2020-03-22,中国太保(02601)：2019年第4季度太平洋财产保险核心偿付能力充足率233%,智通财经
10028,2020-03-22,中国太保(02601)：2019年第4季度安信农业保险核心偿付能力充足率303%,智通财经
10029,2020-03-22,公告精选：新诺威拟10转11派1.4元；捷昌驱动部分对美出口智慧办公类产品在排除,证券时报网
10030,2020-03-22,中国太保(02601)续聘普华永道中天为2020年度审计机构,智通财经
10031,2020-03-22,中国太保(02601)提名公司董事候选人名单,智通财经
10032,2020-03-22,【华金证券晚间资讯（20200322）】,华金研究
10033,2020-03-22,中国太保(02601-HK)2019年度多赚54%至277.41亿人民币股息1.2元,财华社
10034,2020-03-22,中国太保：2019年盈利277.41亿人民币，同比增长53.95%,Wind
10035,2020-03-22,中国太保2019年净利大增54% 净投资收益率达4.9%,证券日报
10036,2020-03-22,中国太保(02601)年度净利润同比大增54.0%至277.41亿元 末期息每股1.2元,智通财经
10037,2020-03-22,264家公司下周“递交”年报成绩单 大单资金抢先建仓17只富时罗素概念股,证券日报
10038,2020-03-22,五大上市险企前2月成绩单：保费增长乏力，仅新华保险逆势上涨,搜狐
10039,2020-03-22,中国太保去年成绩：净利润涨54% 寿险新业务价值下滑,新京报
10040,2020-03-22,3月22日上市公司晚间公告速递,新浪
10041,2020-03-22,险资年内6次举牌！四次瞄准低估值港股！,腾讯网
10042,2020-03-22,中国太保2019年净利同比增54% 拟每股派1.2元,上证报
10043,2020-03-22,中国太保2019年净利润同比增长54.0%,金融界
10044,2020-03-22,中国太保2019年净利润达277.41亿 同比增54%,北京商报网
10045,2020-03-22,中国太保(601601.SH)2019年度净利润升54%至277.41亿元拟每股派1.2元,格隆汇
10046,2020-03-22,中国太保：2019年净利润同比增长53.95%,Wind
10047,2020-03-22,中国太保发布2019年度业绩 注重发展质量，经营业绩稳健增长，综合实力持续增强,和讯
10048,2020-03-22,中国太保：2019年集团净利润277亿 同比增长54%,金融界
10049,2020-03-22,【兴证金融 傅慧芳】非银周报（200309—200315）： 关注海外市场对券商基本面影响，2月保费受影响程度符合预期,兴证金融
10050,2020-03-22,中国太保年报：2019年净利润同比增54% 拟每股派发现金1.2元,第一财经
10051,2020-03-22,中国太保：2019年净利润277.41亿元同比增53%，拟每股派1.2元,Wind
10052,2020-03-21,安邦保险清仓和谐健康 大连福佳集团接盘成最大股东 控制人变化,21世纪经济报道
10053,2020-03-21,碧桂园服务近一个月首次上榜港股通成交活跃榜,证券时报网
10054,2020-03-21,获批丨安邦终于将和谐健康卖了，房企组团接盘？,和讯
10055,2020-03-20,中国太保(02601.HK)2019年度净利润升54%至277.41亿元末期息1.2元,格隆汇
10056,2020-03-20,外围市场扰动 沪指一周下跌近5% 大盘新低之后或现修复性行情,大众证券报
10057,2020-03-20,疫情加速保险行业线上转型这类险种业务量明显增多!,搜狐
10058,2020-03-20,上市险企前两月保费增速分化众安保险增速达55%冠绝财险业务,搜狐
10059,2020-03-20,智通港股通活跃成交|3月20日,智通财经
10060,2020-03-20,"中国太保现1笔大宗交易 共成交1,420.41万元",新浪
10061,2020-03-20,宋清辉：险资青睐港股H股相对其A股折价率较高吸引力更大,搜狐
10062,2020-03-20,上海证券市场大宗交易公开信息(2020-03-20),上交所
10063,2020-03-20,截至3月20日AH股共计1只股票股价倒挂,Wind
10064,2020-03-20,【国盛金融】本周聚焦—战投门槛明确，减少定增套利行为，利好市场长期发展,马婷婷深度研究
10065,2020-03-20,国泰君安：维持保险行业“增持”评级,第一财经
10066,2020-03-20,邯郸保险业抓“四不”为养殖护航,金融界
10067,2020-03-20,港股市场投资交易备忘（3月20日）,Wind
10068,2020-03-20,A股融资融券日报：两融余额增加39.59亿元（3月19日）,Wind
10069,2020-03-20,智通港股通占比异动统计|3月20日,智通财经
10070,2020-03-20,港股投资日历：中国太保、国泰君安国际、招商银行、绿城中国等股披露财报,Wind
10071,2020-03-20,产业资本开启逆向投资 连续举牌这些公司(名单),投资快报
10072,2020-03-20,智通港股通资金流向统计(T+2)|3月20日,智通财经
10073,2020-03-20,中小企业着急脱困 保单贷款雪中送炭,上证报
10074,2020-03-20,招聘需求皆以千计！疫情之下 险企人才需求逆势增长,国际金融报
10075,2020-03-20,线上卖货实际效果不理想 三月保费收入“压力山大” 盈利能力下降,21世纪经济报道
10076,2020-03-19,格隆汇港股聚焦(3.19)︱徽商银行斥资36亿元参与发起设立商业银行长和、长实年度溢利398亿、291亿港元,格隆汇
10077,2020-03-19,保险股全线下跌，人保达到一年前被大幅看空的“预言”价了,第一财经
10078,2020-03-19,暴走A股：太硬核了！中国“抄底”力量出海,金融界
10079,2020-03-19,险资股市新动态：这几天，保险资金在抄底还是在减持？ 减持股份,21世纪经济报道
10080,2020-03-19,保险业向抗疫一线医务人员赔付9300余万元,证券时报网
10081,2020-03-19,重磅深度！【国君非银】利率影响低于预期，优选OPAT分红险企,欣琦看金融
10082,2020-03-19,险资买入港股脚步不停 国寿太保等年内多次增持,北京商报
10083,2020-03-19,解密主力资金出逃股连续5日净流出965股,证券时报网
10084,2020-03-19,港股收盘(3.19)|恒指收跌2.61%失守二万二关口盘中刷新三年新低,搜狐
10085,2020-03-19,智通港股52周新高、新低统计|3月19日,智通财经
10086,2020-03-19,太保寿险保单质押贷款 缓解中小企业主资金周转难题,中国金融新闻网
10087,2020-03-19,A股上市险企前2月实现原保费收入6720亿 同比增速放缓至4.33%,中国网
10088,2020-03-19,2月上市险企保费环比降七成 中国人寿挫逾11％领跌內险股,腾讯网
10089,2020-03-19,保险股全线下挫，中国人寿大跌10% 连续下跌,富途证券
10090,2020-03-19,恒指大跌900点跌超4%，内房股、保险股重挫,富途证券
10091,2020-03-19,施辉：3.18六大保险金刚和阿里巴巴合影留念,新浪
10092,2020-03-19,中国平安跌近4%上日遭北水净沽1亿元 国寿急跌逾8%,新浪
10093,2020-03-19,支持中小企业复工复产 中国太保寿险保单质押贷款金额达280亿,金融界
10094,2020-03-19,快讯:内险股集体大跌 中国人寿跌超7%中国平安跌近4% 连续下跌,新浪
10095,2020-03-19,金融板块小幅跳水,Wind
10096,2020-03-19,45只港股获南向资金大比例持有,证券时报网
10097,2020-03-19,高端人才加速流动，金融、互联网“壁垒”渐除,Wind
10098,2020-03-19,高端人才加速流动金融、互联网“壁垒”渐除,证券时报
10099,2020-03-18,高增长低估值 估值低到个位数 6大股强势火,证券时报
