,2021-12-31,行业动态|光伏玻璃价格Q4触底回升 明年下游组件放量或提振需求,财联社
896,2021-01-05,建材行业周报：水泥错峰常态化 电石渣错峰产能置换或深化,华安证券
897,2021-01-05,全年业绩高增长股提前看，118股净利润增幅翻倍,证券之星
898,2021-01-04,【方正电新丨周观点】特斯拉降价超预期，21年新能源汽车补贴标准落地,申建国电新团队
899,2021-01-04,电气设备行业周报：特斯拉推动电动化提速 2021有望全面繁荣,新浪
900,2021-01-04,【行情】光伏板块继续走强，固德威、阳光电源涨逾11%，隆基股份、通威股份、福莱特、中来股份纷纷大幅走强,金十数据
901,2021-01-04,光伏玻璃龙头净利翻倍 供不应求状态难以改变,中国能源网china5e
902,2021-01-04,11家企业宣布472亿元光伏玻璃扩产计划,中国能源网china5e
903,2021-01-04,隆基股份涨超5%提振光伏股，通威股份、中环股份、福莱特、福斯特等普涨,Wind
904,2021-01-04,大盘横盘震荡，北向资金趁机大幅加仓这16只股票,上证报
905,2021-01-04,33股获券商买入评级，汇顶科技目标涨幅达52.23%,Wind
906,2021-01-04,港股盘前必读：戴志坚接棒李小加任职港交所行政总裁,Wind
907,2021-01-04,电气设备行业周报：12月光伏并网或超预期 电动车补贴新政符合预期,新浪
908,2021-01-04,光伏玻璃供应趋紧 两公司签战略长单,证券时报
909,2021-01-03,下周操盘攻略：春季躁动行情可期,Wind
910,2021-01-03,2021年A股有哪些机会？新能源汽车、光伏、半导体三大行业或“跨栏奔腾”,金融投资报
911,2021-01-01,【方正电新】福莱特：产能扩张加码，销售长协签订,申建国电新团队
912,2020-12-31,可转债日报：转债市场大涨收官，英科转债全年大涨近18倍,Wind
913,2020-12-31,【华西电新|行业观察】2021年新能源汽车补贴政策落地，关注异质结电池发展机遇,睿评电新
914,2020-12-31,福莱特：“福莱转债”赎回登记日2021年1月29日,Wind
915,2020-12-31,福莱特(601865.SH)：“福莱转债”的赎回登记日为1月29日,格隆汇
916,2020-12-31,光伏玻璃龙头福莱特一字涨停，签142亿大单又投43亿扩产，光伏行业产能密集扩张,21世纪经济报道
917,2020-12-31,46股今日获机构买入评级9股上涨空间超20%,证券时报网
918,2020-12-31,光伏板块今日再度集体爆发｜今日异动数据,第一财经
919,2020-12-31,福莱特(601865)2020年业绩预告及扩产事项点评：业绩超预期 加码扩张时,光大证券
920,2020-12-31,福莱特(601865)：需求景气持续 光伏玻璃龙头强劲增长,新浪
921,2020-12-31,开盘涨停！142亿大订单果然有用,中国基金报
922,2020-12-31,解盘：百亿资金回流，半导体、稀土、智能交通、疫苗领涨,Wind
923,2020-12-31,中信里昂：福莱特玻璃目标价升至35.8港元 维持买入评级,新浪
924,2020-12-31,一份研报引爆牛市？至少25只个股评级被调高，来看名单,券商中国
925,2020-12-31,【热股】福莱特开盘涨停！142亿元光伏玻璃销售合同签订 产能加速释放,上海有色
926,2020-12-31,签订超140亿光伏玻璃销售合同 福莱特一字涨停,新浪
927,2020-12-31,142亿元！晶科向福莱特采购59GW光伏玻璃,集邦新能源网
928,2020-12-31,2022年投产，福莱特拟建5座日熔化量1200吨光伏玻璃项目,集邦新能源网
929,2020-12-31,福莱特AH股齐涨 A股涨停 H股创历史新高,格隆汇
930,2020-12-31,福莱特涨停，签订超140亿元光伏玻璃重大销售合同,Wind
931,2020-12-31,142亿！这家光伏龙头接了个大单 订单金额是去年营收3倍！行业公司抢着扩产,中国能源网china5e
932,2020-12-31,中信里昂料福莱特(06865-HK)明年供应仍紧张升目标价至35.8港元,财华社
933,2020-12-31,电力设备新能源行业2021年投资策略：新能源 碳中和背景下的最强赛道,光大证券
934,2020-12-31,电鳗快报|福莱特传来三大重磅：预计年度业绩倍增 142亿元重大合同 43亿元投资项目,电鳗快报
935,2020-12-31,福莱特(601865)2020年业绩预告点评：光伏玻璃需求维持高景气 公司实现量利齐升可期,新浪
936,2020-12-30,曹德旺盯上光伏玻璃,砍柴网
937,2020-12-30,中小盘次新股/ 科创板周报一百八十期：次新股指数下跌 关注国内知名非电行业烟气治理服务商同兴环保,新浪
938,2020-12-30,晚间重要公告2020年12月30日星期三,Wind
939,2020-12-30,公告精选丨 比亚迪拟筹划比亚迪半导体分拆上市，福莱特签订超140亿元光伏玻璃大单,21世纪经济报道
940,2020-12-30,福莱特签订近142亿元光伏玻璃重大销售合同,上证报
941,2020-12-30,目标大尺寸组件市场！福莱特再扩5座日熔化量1200吨光伏玻璃项目,北极星电力
942,2020-12-30,141.96亿！福莱特与晶科签订59GW组件用光伏压延玻璃三年长单,北极星电力
943,2020-12-30,39股今日获机构买入评级,证券时报网
944,2020-12-30,福莱特(601865.SH)：与晶科能源签订约141.96亿元的光伏压延玻璃销售合同,格隆汇
945,2020-12-30,福莱特：签订超140亿元光伏玻璃重大销售合同,e公司
946,2020-12-30,福莱特(601865.SH)拟投资建设5座日熔化量1200吨光伏组件玻璃项目,格隆汇
947,2020-12-30,福莱特：签订合同销售59GW组件用光伏压延玻璃，合同总金额约141.96亿元,Wind
948,2020-12-30,【热股】福莱特业绩预告超预期 明年光伏玻璃产能加速释放,上海有色
949,2020-12-30,福莱特(601865)年报预告点评：业绩预告超预期 双玻+大尺寸明年锦上添花,新浪
950,2020-12-30,福莱特(601865)：业绩预告区间超市场预期 2021产能翻倍继续领跑,新浪
951,2020-12-30,福莱特(601865)：年度业绩预告超预期 2021产能加速释放,国金证券股份有限公司
952,2020-12-30,福莱特今年净利润预增109%以上 多股近期或有表现,巨丰财经
953,2020-12-30,福莱特(06865-HK)料全年盈利增逾1倍大和升其目标价至36港元,财华社
954,2020-12-30,【国金晨讯】2021有色金属投资策略；上调福莱特盈利预测；智飞生物、广信股份深度,国金证券
955,2020-12-30,623家公司预告全年业绩 185家预增,证券之星
956,2020-12-30,每日理财观察：国有企业混改基金成立,Wind
957,2020-12-30,上市公司正负面新闻2020年12月30日星期三,Wind
958,2020-12-29,公告精选：雅化集团与特斯拉签订供货合同；光伏玻璃龙头福莱特业绩大幅预增,e公司
959,2020-12-29,晚间重要公告2020年12月29日星期二,Wind
960,2020-12-29,福莱特(601865.SH)预计年度归母净利润同比增长109.2%至131.52%,智通财经
961,2020-12-29,福莱特(601865.SH)2020年度净利润预增109.20%-131.52%,格隆汇
962,2020-12-29,福莱特：预计今年净利润同比增长109.20%-131.52%,Wind
963,2020-12-29,中小盘次新股／科创板周报一百八十二期：次新股指数下跌 关注工业互联网高新技术企业三旺通信,新浪
964,2020-12-29,A股收盘综述：上证指数下滑0.54%，新能源、周期、汽车板块大幅调整,Wind
965,2020-12-29,电气设备行业周报：重视新能源金属投资机会 持续看好光伏,国海证券
966,2020-12-29,【申港电新|周观点】宁德时代大手笔扩产迎接电动时代,新能源深度研究
967,2020-12-28,电力电气设备、公用事业行业：多重因素推动光伏维持强势表现 市场不应低估明年政策力度和决心,新浪
968,2020-12-28,电力设备与新能源行业周报：磷酸铁锂供给整合出清 电力设备市场化提升,广发证券
969,2020-12-28,本周观点：与个股集萃,华安证券
970,2020-12-28,2020年12月28日早班车（紫金财经&胜泰智慧）,紫金财经
971,2020-12-26,12只个股被社保与QFII，连续持仓五个季度,Wind
972,2020-12-26,券商推荐的2021年十大行业十大“金”股出炉,证券日报
973,2020-12-26,988份券商报告描绘2021年A股掘金地图 热度最高十大“金”股揭秘,证券日报
974,2020-12-24,福莱特玻璃集团股份有限公司 关于提前赎回“福莱转债”的提示性公告,证券时报
975,2020-12-23,福莱特将提前赎回“福莱转债”,上证报
976,2020-12-23,福莱特：将对“福莱转债”全部赎回,Wind
977,2020-12-23,可转债日报：又一只新债上市首日便破发，转债打新不香了？,Wind
978,2020-12-23,12月23日晚间重要行业研究汇总,天然橡胶网
979,2020-12-23,"福莱特:""福莱转债""触发赎回条款 公司拟提前赎回",新浪
980,2020-12-23,福莱特(601865.SH)：提前赎回“福莱转债”,格隆汇
981,2020-12-23,20亿资金猛攻光伏ETF，正向强化板块再创新高,Wind
982,2020-12-23,2020港股两大光伏玻璃龙头股价飙升的逻辑,36氪
983,2020-12-23,中小盘次新股／科创板周报一百八十一期：次新股指数下跌 关注豆制品50强企业祖名股份,新浪
984,2020-12-22,大行评级|花旗：予福莱特(H股)、通威股份买入评级目标价31.7港元和41元,格隆汇
985,2020-12-22,电力设备及新能源行业专题：电力供需偏紧 源网建设望加码,新浪
986,2020-12-22,大摩上调信义光能目标价至34港元，配股助增市占率,Wind
987,2020-12-22,隆基股份涨近4%再创新高，提振光伏板块,Wind
988,2020-12-22,电力设备第52周周报：中央经济会议再提“碳中和” 高瓴158亿入股隆基股份,新浪
989,2020-12-21,转债跟随股市走好，中证转债指数涨幅扩大至近0.8%,Wind
990,2020-12-21,以史为鉴，A股春季攻势开始？有何特征、如何布局？,证券时报网
991,2020-12-20,种业板块将受政策性驱动，碳排放达峰行动方案提上日程丨明日主题前瞻,第一财经
992,2020-12-18,光伏行业事件点评：光伏玻璃扩产限制解除 组件盈利有望改善,新浪
993,2020-12-18,长城建材-光伏玻璃行业点评：光伏压延玻璃和汽车玻璃可不制定产能置换方案，市场供需紧张现状有望缓解,高材疾足
994,2020-12-18,两融余额四连升 137.64亿增量杠杆资金进场,证券之星
995,2020-12-18,55股获杠杆资金大手笔加仓,证券之星
996,2020-12-18,【国金晨讯】光伏玻璃：产能置换政策修订，光伏压延玻璃扩产松绑,国金证券研究所
997,2020-12-17,顺周期反攻，北向资金80亿抢筹，A股稳了？,Wind
998,2020-12-17,光伏行业事件点评：光伏压延玻璃产能置换限制放宽 供应紧张格局有望改善,新浪
999,2020-12-17,电气设备光行业点评报告：伏玻璃产能有望放开 助力产业长期有序发展,新浪
1000,2020-12-17,A股午盘综述：上证指数涨0.63%，喝酒吃药行情再现,Wind
1001,2020-12-17,大摩：料光伏玻璃价格有所调整 信义光能及福莱特受惠,新浪
1002,2020-12-17,两融余额三连升 杠杆资金大比例加仓10股,证券之星
1003,2020-12-17,光伏概念板块走低，福莱特一度跌停,Wind
1004,2020-12-16,工信部放开光伏玻璃产能置换限制 福莱特、信义光能等龙头公司股价应声而跌,e公司
1005,2020-12-16,电气设备行业周报：关于习主席在气候雄心峰会上的讲话的点评,新浪
1006,2020-12-16,“十四五”风电光伏装机规划展望：大力发展绿色能源 推动能源结构加速转型,中国能源网china5e
1007,2020-12-16,光伏玻璃狂欢,中国能源网china5e
1008,2020-12-16,开源晨会1222丨上游景气度向上，竞争格局优化；利安隆、中芯国际、隆基股份、老百姓,开源证券研究所
1009,2020-12-15,电气设备行业周报：11月国内外新能源车销量高增 十四五光伏规划或超预期,新浪
1010,2020-12-15,光伏龙头领头 新能源启动2020年百亿级别减持行动 减持股份,中国能源网china5e
1011,2020-12-14,2021年新能源发电投资策略：总量增速换挡下“供需失衡”和“一超多强”,新浪
1012,2020-12-14,电气设备行业周报：“十四五”国内光伏成长确定性强 我国新能源车全年销量望至130万辆,新浪
1013,2020-12-14,【安信电新】洞鉴光伏系列报告之三：关于光伏玻璃行业的再思考,电新邓永康团队
1014,2020-12-14,英科转债涨超15%，正股英科医疗涨近6%,Wind
1015,2020-12-14,电气设备行业周报：欧洲新气候法案将至少提振欧洲电动车产销目标34PCT,新浪
1016,2020-12-11,光伏企业密集扩产，10股获北上资金加仓,Wind
1017,2020-12-11,建材、玻璃行业-2020中国光伏行业年会&玻璃期货上涨点评：玻璃价格创新高 光伏拓展大有可为,新浪
1018,2020-12-09,光伏行业2021年度投资策略：平价之路永无止境 降本增效殊途同归,广发证券
1019,2020-12-09,光伏产能加速扩张 关注细分领域龙头,金融投资报
1020,2020-12-08,【方正电新】光伏行业2021年投资策略：平价已来，星辰大海,申建国电新团队
1021,2020-12-08,中小盘次新股、科创板周报一百七十七期：次新股指数上涨 关注国内自动化领域高新技术企业正弦电气,新浪
1022,2020-12-07,电力设备及新能源行业周报：光伏龙头长单密集落地 电堆降价潮指明降本路径,新浪
1023,2020-12-07,【方正电新丨周观点】全球新能车销量持续强劲， LG化学拆分电池业务,申建国电新团队
1024,2020-12-07,电气设备行业周报：关注景气度往中上游的延伸,新浪
1025,2020-12-06,【华西电新|行业观察】LG新能源正式成立，电力市场化机制持续完善,睿评电新
1026,2020-12-05,光伏行业“望见终局”系列深度三：组件：迎接大尺寸技术红利 一体化龙头攻城略地,广发证券
1027,2020-12-04,电气设备新能源行业2021年度投资策略：兼顾成长和估值 在变中寻找机会,新浪
1028,2020-12-04,福莱特跌停 在国联证券万联证券中金等唱多声中连跌 连续下跌,中国经济网
1029,2020-12-04,中证转债指数午盘跌0.07%，小康转债跌逾6%,Wind
1030,2020-12-04,多只转债跟随正股明显下跌，小康转债跌逾6%,Wind
1031,2020-12-03,交银国际：预计明年光伏玻璃供应仍将偏紧 首选买入福莱特,新浪
1032,2020-12-02,固定收益研究周报：城投债收益率全面下降 转债顺周期板块涨幅靠前,新浪
1033,2020-12-02,光伏企业抱团“叫苦”后工信部牵头闭门会，玻璃行业怎么说？,Wind
1034,2020-12-02,2021年光伏玻璃环节供需形势展望：供需渐趋宽松但难言过剩 宽版玻璃仍将结构性短缺,新浪
1035,2020-12-01,电力电气设备行业：光伏业绩回顾：海内外需求复苏深化 逆变器出海正当时,新浪
1036,2020-11-30,电力设备及新能源行业周报：光伏尺寸标准化助力平价 燃料电池关注度提升,新浪
1037,2020-11-30,电气设备及新能源行业周报：210产业链协同发展提升规模化效益,新浪
1038,2020-11-30,电力设备新能源行业：合规有补贴电站确权 首批新能源车补贴发放,广发证券
1039,2020-11-30,招商固收：拓展电子新材料的光伏胶膜寡头，建议积极申购“福20转债”,Wind
1040,2020-11-29,深度*行业*光伏行业2021年度策略：需求景气无忧 HJT如日方升,新浪
1041,2020-11-26,光伏行业：全部合规有补贴电站确权 补贴问题解决再迎推进,广发证券
1042,2020-11-25,福莱特：“福莱转债”12月3日起开始转股,Wind
1043,2020-11-25,福莱特(601865.SH)：“福莱转债”自12月3日起可转换为公司A股普通股,格隆汇
1044,2020-11-25,光伏玻璃价格狂飙背后，透明背板迎来发展春天！,新浪
1045,2020-11-25,中小盘次新股/科创板周报一百七十七期：次新股指数上涨 关注国内贵金属催化剂龙头西安凯特,新浪
1046,2020-11-24,电气设备行业周报：造车新势力三季度业绩亮眼 光伏资源整合加速,新浪
1047,2020-11-24,电力设备新能源行业每周观察：需求持续提升 铁锂正极涨价蠢蠢欲动,新浪
1048,2020-11-24,电力电气设备行业：光伏玻璃应用争论尘埃落定 重申推荐光伏玻璃龙头,新浪
1049,2020-11-23,电力电气设备行业：硅料报价跌幅收窄 产业链合作与长单密集落地,新浪
1050,2020-11-23,电力设备及新能源行业周报：光伏龙头联合强化一体化布局 巨轮航定行稳致远,新浪
1051,2020-11-23,电力设备第48周周报：财政部提前下达2021年可再生能源电价补贴 钴锂价格或小幅上涨,新浪
1052,2020-11-23,解盘：资金大举流入，资源股活跃，金属、煤炭、基建领涨,Wind
1053,2020-11-23,电气设备行业周报：光伏玻璃供需紧张态势延续,新浪
1054,2020-11-23,电新行业周报：太阳能发电量持续提升 新能源车销量高增长有望持续,新浪
1055,2020-11-19,建材行业周报(第四十四周),新浪
1056,2020-11-18,建材行业11月光伏玻璃产业链调研总结：压延高景气持续 浮法成长新空间,新浪
1057,2020-11-18,2021年电力设备及新能源行业投资策略：新能源发电渐入佳境 新能车全球渗透率提升,新浪
1058,2020-11-18,中小盘次新股/科创板周报一百七十六期：次新股指数上涨 关注智能化设备制造领先高新技术企业利和兴,新浪
1059,2020-11-18,旗滨集团：加速发展光伏玻璃，双寡头格局或受冲击,新浪
1060,2020-11-17,电气设备行业周报：十月国内外新能源车销量高增 光伏单晶硅片价格平稳,新浪
1061,2020-11-17,光伏屋顶板块午后跌幅扩大，福莱特跌近8%,Wind
1062,2020-11-17,玻璃行业深度报告：底部反转行稳致远 景气度维持高位运行,新浪
1063,2020-11-16,电力设备及新能源行业周报：广东上海发布氢能规划 燃料电池示范在即,新浪
1064,2020-11-16,建材行业周报：光伏玻璃政策拟放宽 顺周期板块估值仍低,华安证券
1065,2020-11-15,【山证电新】行业周报（20201109-20201115）：产业链价格趋稳，长期需求向好未变,山西证券研究所
1066,2020-11-14,电气设备行业周报：业绩向好 重视核心资产布局机会,国海证券
1067,2020-11-13,你的股票赚了吗，2020年最具投资价值的光伏股票有哪些？,索比光伏网
1068,2020-11-13,光伏｜平价竞争新格局，优选成长确定性：2021年投资策略,中信证券研究
1069,2020-11-12,电力设备及新能源行业光伏板块2021年投资策略：平价竞争新格局 优选成长确定性,新浪
1070,2020-11-12,电气设备行业-新能源汽车与电力设备行业三季报总结：景气与分化,新浪
1071,2020-11-11,建材周报：保立佳IPO过会 主营建筑乳液、防水乳液,新浪
1072,2020-11-11,浮盈近万亿创纪录！北上资金加仓榜解密赚钱秘诀,证券时报网
1073,2020-11-11,电气设备行业周报：大众ID.4明年一季度将上市 光伏硅料价格下降和玻璃短缺,新浪
1074,2020-11-11,电力设备新能源周观察：光伏需求持续向好 电动车销量将超预期,新浪
1075,2020-11-11,北上资金年内浮盈近万亿创纪录 重点加仓化工股,证券时报
1076,2020-11-10,利好！工信部最新回应：拟放宽光伏玻璃产能置换条件（附专家会议纪要海量信息）,索比光伏网
1077,2020-11-10,【山证电新】行业周报（20201102-20201108）：容配比全面放开，碳交易计划开展,山西证券研究所
1078,2020-11-09,电力设备及新能源行业周报：光伏全面放开容配比 特高压直流再获核准,新浪
1079,2020-11-09,电力设备及新能源行业2020年三季度总结：“新新”向荣,新浪
1080,2020-11-08,【华西电新|行业观察】优质车型供给有望持续驱动需求增长， 下游厂商积极寻求多晶硅环节合作,睿评电新
1081,2020-11-07,【公司深度】南玻A：从“三块玻璃”看南玻突围,鲍大侠之建材
1082,2020-11-06,两大主力调仓换股进行时，四季度重心转向二线蓝筹,Wind
1083,2020-11-06,【山证电新】行业周报（20201026-20201101） ：三季报业绩整体乐观，玻璃价格快速上涨,山西证券研究所
1084,2020-11-06,长城建材-建材行业周观点：基金三季度建材持仓占比略上升至1.2%，标配比例为1.4%,高材疾足
1085,2020-11-05,电气设备行业周报：新能源汽车技术路线图发布 光伏玻璃再度涨价,新浪
1086,2020-11-05,"建材行业2020三季报点评总结：需求景气上行,收入净利同比高增",华泰证券
1087,2020-11-04,光伏玻璃短缺涨价或持续到后年，6家光伏企业呼吁健康发展,澎湃新闻
1088,2020-11-04,电力电气设备：组件企业呼吁放开光伏玻璃产能扩张限制 对光伏玻璃龙头影响小,新浪
1089,2020-11-04,北京和众汇富：我们一起来看下建材行业,和讯
1090,2020-11-04,科技股、周期股……年末哪个板块赚钱机会大？,上证报
1091,2020-11-04,光伏玻璃价格暴涨 相关概念活跃 金刚玻璃等涨停,证券时报
1092,2020-11-04,光伏太阳能板块冲高，秀强股份涨逾13%,Wind
1093,2020-11-04,【行情】光伏概念开盘拉升，金刚玻璃、金晶科技封板，南玻A、福莱特,金十数据
1094,2020-11-04,安信证券：光伏目前国内与海外需求共振 建议把握4条主线,证券时报网
1095,2020-11-03,21测评丨31家券商11月金股出炉：首个交易日6只涨停，74只个股扎堆三大行业,21世纪经济报道
1096,2020-11-03,六大巨头联合发声，光伏概念股还有补票机会吗？丨行业风口,第一财经
1097,2020-11-03,箱体震荡分化加剧：161家新高，278家新低,Wind
1098,2020-11-03,A股大爆发！中金上市次日封住涨停,中国基金报
1099,2020-11-03,光伏屋顶板块回调，隆基股份跌超4%、福莱特跌超6%,Wind
1100,2020-11-03,广证恒生-沪深港通月报-港股通流入增加，北上资金转为净流入-20201102,广证恒生策略研究
1101,2020-11-02,1年近5倍牛股上机数控宣布百亿订单来了！机构大举买入这些历史高位龙头股,证券时报网
1102,2020-11-02,电新行业周报：光伏景气度延续 国内电动化有望加速,新浪
1103,2020-11-02,福莱特(601865.SH)股票交易异常波动 不存在未披露的重大信息,格隆汇
1104,2020-11-02,福莱特(601865.SH)：中期息拟10派0.65元 股权登记日11月6日,格隆汇
1105,2020-11-02,福莱特：“福莱转债”转股价格由13.56元/股调整为13.48元/股，,Wind
1106,2020-11-02,东兴证券：10月金股组合盈利5.46% 11月荐股名单出炉,新浪
1107,2020-11-02,新能源汽车行业周报：国产MODEL3出口欧洲 LFP电池有望获得国际关注,新浪
1108,2020-11-02,可转债周报：重回主线,新浪
1109,2020-11-02,11月200只券商金股大梳理，哪类股热度最高,证券时报网
1110,2020-11-02,光伏太阳能板块走强，阳光电源涨超13%,Wind
1111,2020-11-02,A股早报2020年11月2日星期一,Wind
1112,2020-11-02,电力设备及新能源行业周报：光伏辅材涨价持续超预期 政策加码充换电建设运营,新浪
1113,2020-11-02,北上资金调仓！抢筹回购王，连续八个月加仓3股,证券时报网
1114,2020-11-02,最新金股名单来了！上月最牛金股大涨85%,上证报
1115,2020-11-02,中泰证券：光伏行业量价齐升 龙头业绩高增（附股）,证券时报网
1116,2020-11-01,光伏玻璃供不应求态势仍延续，11月报价加速上涨,Wind
1117,2020-11-01,【山证电新】福莱特（601865.SH）：毛利率显著提升，持续扩产夯实龙头地位,山西证券研究所
1118,2020-11-01,“聪明资金”开始调仓了，白马股遭抛弃！巨资抢筹A股“回购王”，连续八个月加仓3股,证券时报
1119,2020-10-31,短缺、涨价、停产……玻璃风波下光伏产业面临挑战,澎湃新闻
1120,2020-10-31,国联证券研究所11月金股组合,国联研究
1121,2020-10-30,今年光伏玻璃一片难求 2020年中国光伏玻璃行业市场供需调研,中研网
1122,2020-10-30,【申港电新|周观点】2020三季报总结-风光景气上行 新能源车迎来拐点,新能源深度研究
1123,2020-10-30,解盘：交易持续低迷，光刻胶、半导体、高价股、新能源汽车略涨,Wind
1124,2020-10-30,光伏：“十四五” 可再生能源主线布局领域,中国能源网china5e
1125,2020-10-30,光伏行业大火！牛股飙涨260%，重要组件“一片难求”,e公司
1126,2020-10-30,此行业龙头今年翻三倍 十四五公报透露此行业将被持续看好 下一涨停个股是哪只？,巨丰财经
1127,2020-10-30,【公司深度】南玻A：从“三块玻璃”看南玻突围,鲍大侠之建材
1128,2020-10-30,A股早报2020年10月30日星期五,Wind
1129,2020-10-30,这个细分提前爆光光伏成“十四五”最强预期 下一涨停个股是哪只？,巨丰财经
1130,2020-10-30,光伏龙头跨越式扩产，中小企业渐次出清,Wind
1131,2020-10-30,光伏玻璃一片难求 四季度“特别紧缺”,证券时报
1132,2020-10-29,政策出手控制产能！这个产品价格飙涨70%，机构力荐的绩优概念股曝光,证券时报
1133,2020-10-29,光伏玻璃板块走势强劲：2股率先涨停 光伏成“十四五”最强预期？,中财网
1134,2020-10-29,涨停板解密：资金青睐，两板块个股火热上攻！（10月29日）,Wind
1135,2020-10-29,电气设备行业月度报告：合理利用小时数确定，光伏玻璃及硅料产能趋紧，维持“领先大市”评级,财信证券
1136,2020-10-29,【方正电新】福莱特：业绩高速增长，非公开发行获批， 助力产能扩张,申建国电新团队
1137,2020-10-29,快讯：光伏概念拉升 福莱特、旗滨集团双双封板,新浪
1138,2020-10-29,福莱特(601865)三季报点评：业绩符合预期 产能扩张夯实龙头地位,新浪
1139,2020-10-29,福莱特(601865)：光伏玻璃提价超预期 龙头盈利增长高歌猛进,国金证券股份有限公司
1140,2020-10-29,电气设备行业月度报告（2020年10月）：合理利用小时数确定，光伏玻璃及硅料产能趋紧,财信证券研究
1141,2020-10-28,福莱特：前三季度净利润同比增长59.94%,Wind
1142,2020-10-27,中小盘次新股/科创板周报一百七十三期：次新股指数下跌 关注全国化纤行业应用创新企业宝丽迪,新浪
1143,2020-10-27,福莱特(601865.SH)：不超4.5亿股A股定增计划获批,格隆汇
1144,2020-10-27,福莱特龙虎榜数据（10月27日）,Wind
1145,2020-10-27,福莱特非公开发行A股股票申请获核准批复,上证报
1146,2020-10-27,龙虎榜机构新动向：净买入11股净卖出15股,证券时报网
1147,2020-10-27,福莱特公布三季报 前三季净利增加59.94%,新浪
1148,2020-10-27,福莱特：前三季度净利润8.12亿元同比增长59.94%,格隆汇
1149,2020-10-27,福莱特(601865.SH)：前三季净利升59.94%至8.12亿元,格隆汇
1150,2020-10-27,电力设备及新能源行业周报：全生命周期小时数补贴出台 六部委再议剥离国网制造装备业务,新浪
1151,2020-10-27,中泰证券：光伏玻璃价格持续上涨,中泰证券
1152,2020-10-26,电力设备新能源周观察：光伏玻璃价格持续上涨 电动车Q4延续高增长,新浪
1153,2020-10-26,电力电气设备：光伏玻璃产能置换再引关注 龙头海外扩产能力优势支撑份额领先,新浪
1154,2020-10-26,光伏玻璃“围城”,华夏能源网
1155,2020-10-26,光伏太阳能板块走高，阳光电源涨幅扩大至8%,Wind
1156,2020-10-26,北向资金持续流出 逆市扫货两大概念,证券时报
1157,2020-10-25,光伏牛股猛然跌停！外资却在狂买，为什么？,中国基金报
1158,2020-10-25,周末要闻2020年10月25日星期日,Wind
1159,2020-10-25,光伏牛股猛然跌停，外资却逆市大抄底！北上资金连续净卖164亿，这两大概念却被突击扫货,证券时报
1160,2020-10-24,光伏玻璃双寡头，核心逻辑很硬！,腾讯网
1161,2020-10-24,光伏玻璃价格“狂涨”，透明背板的市场契机到了？,索比光伏网
1162,2020-10-23,国内光伏玻璃企业产能一览,索比光伏网
1163,2020-10-23,大和升福莱特(06865-HK)目标价至32港元，给予买入评级,财华社
1164,2020-10-22,光伏玻璃价格还在涨 两大龙头的股价却大跌了 连续下跌,生意社
1165,2020-10-22,光伏屋顶板块连续下滑，晶澳科技、锦浪科技、福莱特、阳光电源领跌,Wind
1166,2020-10-22,芯片白马“失蹄”，机构称A股结构性机会居多,Wind
1167,2020-10-21,700亿芯片大牛股跌停，发生了什么？,中国基金报
1168,2020-10-20,三部委明确风电、光伏发电补贴，关注板块龙头投资机会,第一财经
1169,2020-10-20,为什么长线投资者对光伏退避三舍？,环球老虎财经
1170,2020-10-20,中小盘次新股/科创板周报一百七十二期：次新股指数上涨 关注国内无机非金属复合材料细分龙头壹石通,新浪
1171,2020-10-19,机构龙虎榜青睐11股，玉米种业龙头获机构及深股通集体净买入,证券时报
1172,2020-10-19,电力设备及新能源行业周报：看好受益“两新一重”标的 风电迎预期改善,新浪
1173,2020-10-19,跌停板解密：市场冲高回落，前期热门板块领跌（10月19日）,Wind
1174,2020-10-19,A股收盘综述：上证指数冲高回落收低0.71%，光伏、医药、食品板块领跌,Wind
1175,2020-10-19,光伏玻璃龙头福莱特A股跌停 港股大跌超9%,证券时报网
1176,2020-10-19,600亿超级大牛股跌停了，四年多暴涨35倍！私募罕见看空,中国基金报
1177,2020-10-19,A股午盘综述：上证指数冲高回落半日跌0.33%，量子技术指数涨超5%,Wind
1178,2020-10-19,【行情】光伏、风电板块走弱，福莱特跌停，东方电缆大跌9%，日月股份，隆基股份、晶澳科技等个股纷纷下挫 连续下跌,金十数据
1179,2020-10-19,福莱特跌停、隆基股份跌超4%，光伏屋顶板块跌幅加深,Wind
1180,2020-10-19,光伏屋顶板块跳水，隆基股份跌近2%、福莱特跌超5%,Wind
1181,2020-10-19,格力巨额回购 北上资金蜂拥而至,财富动力网
1182,2020-10-18,224亿北上资金蜂拥杀入A股:超级白马大额回购 仅9股连续7周被加仓,证券时报
1183,2020-10-18,【华西电新|行业观察】9月宏光MINI EV销量表现优异，风电有望迎来可观发展空间,睿评电新
1184,2020-10-16,光伏面面观之玻璃篇：优质赛道格局清晰 行业龙头乘风破浪,新浪
1185,2020-10-16,每日研报干货专享：近期把握消费电子新能源汽车放量,新浪
1186,2020-10-16,受益于光伏配件涨价的福斯特、福莱特 股价持续上涨的动力十足？,新浪
1187,2020-10-16,电力设备新能源行业2020年三季报业绩前瞻：新能源发电业绩高增，新能车反转趋势确立,格隆汇
1188,2020-10-14,"福莱特现1笔大宗交易 共成交3,286.95万元",新浪
1189,2020-10-14,福莱特今日大宗交易成交85万股，成交价38.67元折价2.0%,Wind
