,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
6706,2020-08-19,惨淡中报披露前 12年财务负责人出局：董明珠的格力“人事劫”,证券市场周刊
6707,2020-08-19,"格力董秘裸辞背后:去年降薪90万,十天前解聘财务负责人本人未现身",AI财经社
6708,2020-08-19,空调行业加速升级，健康节能产品走红,中国电子报
6709,2020-08-19,A股融资融券日报：两融余额增加73.58亿元（8月18日）,Wind
6710,2020-08-19,空调行业上半年“低速慢行”，下半年迎来恢复性增长,中国家电网
6711,2020-08-19,董秘离职、经销商减持、净利润预腰斩，格力电器利空不断 减持股份,搜狐
6712,2020-08-19,格力的混改阵痛,北京商报
6713,2020-08-19,移动用户流失未止 运营商转型艰难,北京商报
6714,2020-08-19,董明珠备选“接班人”闪辞 高瓴资本进入格力董事会前兆？,证券日报
6715,2020-08-18,格力人事大变动？干了18年的老臣突然辞职，年薪360万，持股市值近5000万,每日经济新闻
6716,2020-08-18,消费行业日报：818购物狂欢 百亿补贴专区一小时增长350％,新浪
6717,2020-08-18,晚间重要公告2020年8月18日星期二,Wind
6718,2020-08-18,格力电器董秘突然辞职！曾为董明珠接班人选，是格力18年“老臣” 董监高成员变化,和讯
6719,2020-08-18,三安光电：上半年净利同比下降28.11%格力电器新进前十大股东 盈利能力下降,格隆汇
6720,2020-08-18,空间打开家电巨头聚力智能家居,中国商报
6721,2020-08-18,京东屏蔽申通；董明珠接班人辞职；LG退出家电卖场|要闻,搜狐
6722,2020-08-18,董秘离职 利润减半 “薄冰”上的格力如何突围 董监高成员变化,北京商报
6723,2020-08-18,董明珠潜在接班人望靖东突然“裸辞” 背后有何隐情 董监高成员变化,中国商报
6724,2020-08-18,望靖东辞职 格力电器股价下挫1.37% 董监高成员变化,北京商报
6725,2020-08-18,格力副总裁望靖东辞职董明珠：走掉的人不能再回来 董监高成员变化,CNMO
6726,2020-08-18,空调市场逐渐复苏 健康节能产品走红,产业发展研究
6727,2020-08-18,格力电器副总裁望靖东辞职 一度被视为董明珠的接班人 2020年空调行业品牌竞争格局分析 董监高成员变化,中研网
6728,2020-08-18,供职18年！格力电器副总裁望靖东辞职，曾被外界视为董明珠潜在接班人选 董监高成员变化,前瞻网
6729,2020-08-18,董明珠潜在接班人裸辞，任财务总负责超12年突遭解聘 董监高成员变化,观察者网
6730,2020-08-18,奥克斯掉队 市场份额进一步下滑 经营问题,电缆网
6731,2020-08-18,董明珠潜在接班人选望靖东告别18年格力生涯 高瓴尚未进入董事会,21世纪经济报道
6732,2020-08-18,深度掘金“大件快递” 德邦快递的第二曲线,亿邦动力
6733,2020-08-18,董明珠接班候选人“裸辞”，格力今后该怎么走？,环球老虎财经
6734,2020-08-18,格力电器董秘称因个人原因辞职 持股市值超5000万 董监高成员变化,科技新闻网
6735,2020-08-18,格力董秘望靖东辞职 将不再担任格力电器任何职务 董监高成员变化,慧聪网
6736,2020-08-18,快手联手荣耀、京东打造双超级品牌日：单场销售额超3.5亿,快科技
6737,2020-08-18,格力电器副总裁望靖东辞职 为新股东派CFO腾空间？ 董监高成员变化,第一财经
6738,2020-08-18,价格战愈烈，“旺季”为何没能拯救空调销量？,云掌财经
6739,2020-08-18,董明珠寄语：中国品牌走出去 不是简单意义上量的变化,新浪
6740,2020-08-18,格力电器董秘望靖东申请辞职 为公司核心高管之一 董监高成员变化,电缆网
6741,2020-08-18,格力财务负责人望靖东辞职 曾任职超12年 董监高成员变化,中国房地产网
6742,2020-08-18,家电“大佬”齐为芯片发声 鼓励政策将助上游瓶颈突破,第一财经
6743,2020-08-18,"格力18年财务老臣""诡异""离职后续：昨夜闪辞所有职务 董监高成员变化",--
6744,2020-08-18,格力电器董秘望靖东裸辞 曾执掌公司财务12年 董监高成员变化,中国经济网
6745,2020-08-18,A股融资融券日报：两融余额增加183.96亿元（8月17日）,Wind
6746,2020-08-18,千亿家电巨头，半个月飙涨460亿，发生了啥？,搜狐
6747,2020-08-18,财经早茶｜美商务部加码华为限制措施；国产操作系统重磅产品发布,证券时报网
6748,2020-08-18,格力电器董事会秘书望靖东辞职(图|简历) 董监高成员变化,中国经济网
6749,2020-08-18,突发！董明珠接班人选之一望靖东辞去格力所有职务 董监高成员变化,时代财经
6750,2020-08-18,格力董秘突然“裸辞” 18年元老持股市值超5000万 董监高成员变化,e公司
6751,2020-08-18,董明珠麾下最年轻高管，格力望靖东“裸辞”，为高瓴资本“让坑”,搜狐
6752,2020-08-18,后来居上！TCL空调精准洞察，抢占新能效风口高地,飞象网
6753,2020-08-18,诉讼缠身、销售滑坡 奥克斯低价策略失灵 诉讼纠纷,时代在线
6754,2020-08-17,格力电器“老人”望靖东辞职 高瓴资本或有望补位董事会,新浪
6755,2020-08-17,18年“老将”望靖东离开格力电器 称因个人原因辞职 董监高成员变化,每日经济新闻
6756,2020-08-17,18年“老将”望靖东离开格力电器 称因个人原因辞职,每日经济新闻
6757,2020-08-17,望靖东全退：因个人原因辞任格力电器董事、副总裁、董秘职务 董监高成员变化,澎湃新闻
6758,2020-08-17,又是内幕交易！不仅被罚没368万，还把格力11年资深董秘给拖下水！ 金融监管处罚,中国基金报
6759,2020-08-17,格力电器：副总裁、董秘望靖东辞职 董监高成员变化,21世纪经济报道
6760,2020-08-17,格力电器：望靖东辞去公司董事等职务 董监高成员变化,Wind
6761,2020-08-17,京东：二季度归属于普通股股东净利润为164亿元,Wind
6762,2020-08-17,家电先行指标“房屋交付量”跟踪(2020年7月)：疫情影响减弱 中期展望积极,新浪
6763,2020-08-17,一张图看懂家电估值W33：市盈率、股息率和现金价值比较,新浪
6764,2020-08-17,被狂砸400亿后，格力在家电三强中仍倒数第一，和它相差1600亿！,投资家
6765,2020-08-17,家电行业动态分析：取消“停止减免税” 对家电行业有多大影响？,新浪
6766,2020-08-17,家用电器W32周观点：线上大家电销额增速表现良好 北向资金再现回流,新浪
6767,2020-08-17,小米是小偷？董明珠：雷军搞的是贴牌货，没核心技术,搜狐
6768,2020-08-17,每日精选｜董明珠认为雷军基本是贴牌生产；百度高管称百度是国内最佳搜索引擎,搜狐
6769,2020-08-17,处罚下来了！格力前董秘裸辞谜题解开 董监高成员变化,格隆汇
6770,2020-08-17,雷军直播首秀销售额破2亿这次超过董明珠罗永浩了吗,CNMO
6771,2020-08-17,格力：董明珠直播救场 赢了线上输了线下,亿邦动力
6772,2020-08-17,“泥中茅台”：年赚300亿，超越格力万科，任何时候买都赚钱？,新浪
6773,2020-08-17,A股融资融券日报：两融余额减少67.88亿元（8月14日）,Wind
6774,2020-08-17,被董明珠吐槽贴牌生产 雷军晒小米黑灯工厂,IT之家
6775,2020-08-17,中小品牌危机：空调行业利基群体恐迎来至暗时刻,新浪
6776,2020-08-17,京东业绩来了！市值飙升，盘中突破1000亿美元大关,中国基金报
6777,2020-08-16,家电周观点||精装、竣工回暖趋势不改，看好地产后周期板块,吕明可选消费研究
6778,2020-08-15,海尔智家(600690)公司深度报告：预期差大的白电龙头,新浪
6779,2020-08-15,【兴证家电】行业推荐和公司层面观点——家电周报（20200810-20200816）,兴证家电
6780,2020-08-15,家电企业为何忙“分拆”,钛媒体
6781,2020-08-15,董明珠称雷军产品基本是贴牌生产：若他自己建厂做，肯定做不过我,IT之家
6782,2020-08-15,相伴珠海：乘风破浪，格力地产于变革中新生,中新网
6783,2020-08-15,北上资金趋于谨慎，水泥股遭大面积抛售,Wind
6784,2020-08-15,网友举报雷军和董明珠对赌十亿涉嫌违法，警方在线回应 诉讼纠纷,搜狐
6785,2020-08-14,站在这个时间点 物管股还有机会吗？,新浪
6786,2020-08-14,芯朋微(688508)：深耕优势赛道 PMIC国产替代高增长,国联证券
6787,2020-08-14,再登《财富》世界500强！格力电器双轮驱动显综合实力,中国经济网
6788,2020-08-14,董明珠回应雷军认输，网友：输赢不重要，不被老美卡脖子更重要,搜狐
6789,2020-08-14,董明珠称今年减税力度大，有实力的企业应该多交税,搜狐
6790,2020-08-14,“10亿赌约”之后，董明珠又新开了个赌局，雷军尚未正式应战,搜狐
6791,2020-08-14,明年市场规模将达4369亿 家电巨头发力智能家居,乐居财经
6792,2020-08-14,赢了十亿赌约，董明珠再次向雷军发起新挑战,资本邦
6793,2020-08-14,董明珠鼓励有实力的企业多交税,金融界
6794,2020-08-14,格力董明珠要将装备卖向全球？然其主业的海外收入占比却太落后,搜狐
6795,2020-08-14,空调行业马太效应，头部企业加码布局中高端产品,重庆商报
6796,2020-08-14,A股融资融券日报：两融余额增加24.24亿元（8月13日）,Wind
6797,2020-08-14,空调旺季打响价格战高端产品成“主战场”,重庆商报
6798,2020-08-13,“控烟协会批天眼香烟商标”背后：多家公司已注册，涉金融等行业,南都报
6799,2020-08-13,董明珠直言小米是轻资产，产品都靠贴牌？,搜狐
6800,2020-08-13,董明珠向雷军提出新赌约……赌的是这个！网友：10亿元打款没？,证券时报网
6801,2020-08-13,董明珠再喊话：格力空调地位领先请雷军提出行业目标,CNMO
6802,2020-08-13,新赌约来了！董明珠和雷军这次赌了啥？,经济网
6803,2020-08-13,董明珠向雷军发起新赌约：请雷军提出自己行业的目标,Wind
6804,2020-08-13,董明珠向雷军发起新赌约,央视
6805,2020-08-13,董明珠回应雷军认输：战胜自己才是成功者,金融界
6806,2020-08-13,董明珠回应雷军赌约：你终究是五年内输了,第一财经
6807,2020-08-13,雷军不甘心赌局输给董明珠？董明珠：没怎么研究过小米,央视
6808,2020-08-13,格力在江西超百亿投资，几大巨头纷至沓来,经济网
6809,2020-08-13,赚了钱就跑？1.5万名富豪移民，董明珠发声，国家也出手了,搜狐
6810,2020-08-13,“削藩”，投美的，格力经销商动荡将至？,云掌财经
6811,2020-08-13,涨价潮遇“冰点”！空调旺季“价格战”越烧越旺 高端产品碰撞一触即发,上游新闻
6812,2020-08-13,A股融资融券日报：两融余额减少34.17亿元（8月12日）,Wind
6813,2020-08-13,6000亿小家电赛道 能否杀出下一个美的与格力？,虎嗅网
6814,2020-08-13,“那个时候，我们的确膨胀了。”回首10年，雷军“服软”,电子信息产业网
6815,2020-08-13,雷军首次回应10亿赌局，为什么说雷军认输但小米却赢了？,搜狐
6816,2020-08-12,上海市市场监管局抽检75批次饼干 3批次不合格 产品问题,质量新闻网
6817,2020-08-12,雷军首度回应与董明珠赌约 小米成立十年开启“二次创业”,证券日报
6818,2020-08-12,不想冒任何风险，是很难成功的——道达投资手记,每日经济新闻
6819,2020-08-12,董明珠真的赢了吗？格力年内下跌超16%，市值比美的低1538亿元,搜狐
6820,2020-08-12,小米十年雷军演讲，还是为了带货,新浪
6821,2020-08-12,【钛媒体视频】雷军：敢跟董明珠打赌，是小米膨胀了,钛媒体
6822,2020-08-12,雷军复盘小米十年 下一个十年如何走？,中国商网
6823,2020-08-12,家电巨头三足鼎立 纷纷发力智能家居,猎云网
6824,2020-08-12,20个创业故事，雷军讲述小米十年,观察者网
6825,2020-08-12,雷军回应与董明珠赌约：后来很后悔，也更加了解制造业,搜狐
6826,2020-08-12,雷军首谈10亿赌约背后：董明珠不按剧本走,中新网
6827,2020-08-12,“后悔跟董明珠赌 当时膨胀了！”小米10周年 雷军深度拆解“终极三问”,中证网
6828,2020-08-12,亮点太多！回到2010年，雷军做了什么？,新浪
6829,2020-08-12,雷军十周年演讲：与董明珠打赌确实输了、澎湃芯片还在做,TechWeb
6830,2020-08-12,A股融资融券日报：两融余额减少63.28亿元（8月11日）,Wind
6831,2020-08-12,雷军承认小米不如苹果三星华为，后悔与董明珠打赌：膨胀干了件蠢事,前瞻网
6832,2020-08-12,早知道·财讯热搜榜TOP10（8月12日）,新华网
6833,2020-08-12,【钛晨报】小米十周年雷军公开演讲；特斯拉宣布1:5股票分割计划；高通赢得关键反垄断诉讼,钛媒体
6834,2020-08-12,"后悔跟董明珠赌！芯片会继续 雷军拆解""终极三问""",证券时报网
6835,2020-08-12,雷军首次揭秘与董明珠“赌局”后透露：小米信仰互联网 将深度参与制造业,上证报
6836,2020-08-12,“店小二”打擂“第三方”裁判,河南日报
6837,2020-08-12,雷军回应与格力“赌约” 承认不如苹果、三星和华为,新浪
6838,2020-08-12,“后悔跟董明珠赌 当时膨胀了！”、芯片遇阻但会继续、每天走10公里缓解焦虑……小米10周年 雷军深度,金融界
6839,2020-08-12,雷军后悔与董明珠下10亿赌注？其实心里乐开了花，营收增近十倍,搜狐
6840,2020-08-12,雷军十周年演讲：后悔跟董明珠赌 每天走10公里缓解焦虑,e公司
6841,2020-08-11,小米十年 雷军的坦陈与无奈,第一财经
6842,2020-08-11,一往无前！小米十周年，雷军公开演讲全文,Wind
6843,2020-08-11,雷军演讲全文来了！创业艰辛、和董明珠打赌……能说的都说了,Wind
6844,2020-08-11,雷军再谈与董明珠赌局：跟格力比是我们膨胀了，要求同事向格力学习,钛媒体
6845,2020-08-11,小米雷军：危机是你想不到的机会,北京商报
6846,2020-08-11,今年世界500强中国家电企业再分化：美的海尔格力有喜有忧！,家电圈
6847,2020-08-11,真实剧情是这样？雷军首谈和董明珠赌约背后：台后说好赌1元变台前10个亿，很后悔打赌,每日经济新闻
6848,2020-08-11,晚间要闻2020年8月11日星期二,Wind
6849,2020-08-11,雷军回应与董明珠赌约：后悔和董大姐打赌,搜狐
6850,2020-08-11,雷军谈与董明珠5年赌约认输：后悔招惹董大姐，最近才想清楚,澎湃新闻
6851,2020-08-11,雷军回忆和董明珠打赌：赌金从后台的1块涨到台前的10亿，“我们的确输了”,每日经济新闻
6852,2020-08-11,小米雷军公开谈与格力董明珠 “10 亿赌约”：其实有剧本，1 块临时变 10 亿,IT之家
6853,2020-08-11,雷军公开承认跟董明珠的赌约输了 跟董明珠打赌很后悔,凤凰网
6854,2020-08-11,雷军：与董明珠打赌确实输了 认真向格力学习,新浪
6855,2020-08-11,雷军首谈与董明珠赌约：小米的确输了,e公司
6856,2020-08-11,雷军首次回应与董明珠赌约,金十数据
6857,2020-08-11,雷军首次回应与董明珠赌约：五年内的赌注是输了，但是第六年我们赢了,Wind
6858,2020-08-11,江苏雷利(300660)：家用电器微特电机领跑者 多领域布局打开成长空间,新浪
6859,2020-08-11,北向资金净流入39.48亿元，海康威视获净买入6.99亿元居首,Wind
6860,2020-08-11,美的、海尔、格力上榜2020年《财富》世界500强，格力较上一年排名后退22位,搜狐
6861,2020-08-11,A股融资融券日报：两融余额增加64.09亿元（8月10日）,Wind
6862,2020-08-10,市场震荡加剧，融资盘、北上资金谁更聪明？,第一财经
6863,2020-08-10,从7到21，解码世界500强上榜湾区企业造富史,21世纪经济报道
6864,2020-08-10,一张图看懂家电估值：市盈率、股息率和现金价值比较,新浪
6865,2020-08-10,美的、海尔、格力上榜2020年《财富》世界500强，格力较上一年排名后退8位,搜狐
6866,2020-08-10,家电行业周报：厨电改善明显 小家电延续高景气,新浪
6867,2020-08-10,中报盈利榜来了，21股中报业绩预增超10倍,证券时报网
6868,2020-08-10,家用电器行业周报：关注家电和厨电销售回暖,华福证券有限责任公司
6869,2020-08-10,818家电零售看苏宁，苏宁格力升级合作,牛华网
6870,2020-08-10,A股融资融券日报：两融余额减少84.42亿元（8月7日）,Wind
6871,2020-08-10,格力危机，董明珠直播带货到底是为经销商探路还是断路？,搜狐
6872,2020-08-09,家电周观点||继续看好扫地机及厨房小家电，新增推荐格力电器,吕明可选消费研究
6873,2020-08-09,"招商家电｜8月观点:景气向好,因势利导",招商家电研究
6874,2020-08-09,【华创家电】小家电高景气持续，空调均价迎来回升——电商渠道2020年7月数据分析及总结,月观家电
6875,2020-08-09,家用电器行业周报：6月涡旋压缩机产销降幅收窄 家用冰箱产量同比增长,新浪
6876,2020-08-09,海尔、美的战况升级 智能家居将推动下一轮洗牌？,中国家电网
6877,2020-08-09,流动性周报：两融持续攀升 逼近1.5万亿,新浪
6878,2020-08-08,海尔格力美的竞争升级，智能家居将成下半场制胜关键?,猎云网
6879,2020-08-08,从“好空调”到“中国风” “格力造”战略大升级,新华网
6880,2020-08-07,市场巨变，格力四面出击能否解围？,猎云网
6881,2020-08-07,8月7日北向资金成交活跃股名单抢先看,证券时报网
6882,2020-08-07,资金面研究系列报告三：近期北向资金出现明显净流出,新浪
6883,2020-08-07,海尔智家、海尔电器合体战美的、格力,DoNews
6884,2020-08-07,拆解高瓴千亿资金投资逻辑：重仓中国，押注医药赛道,腾讯网
6885,2020-08-07,刘姝威担任柔宇科技的独立董事,DoNews
6886,2020-08-07,818购物节袭来，“悟空”榜单价值再现,和讯
6887,2020-08-07,私有化推进“海尔兄弟”能否抗衡美的格力,中国商报
6888,2020-08-07,空调：市场逐渐复苏 健康节能产品走红,中国电子报
6889,2020-08-07,开源晨会0807丨新能源行业点评；美的置业(03990.HK)、富祥药业(300497.SZ)、格力电器(000651.SZ),开源证券研究所
6890,2020-08-07,格力电器解聘财务负责人望靖东 由廖建雄接任,DoNews
6891,2020-08-07,美的热水器电晕高中生，昔日行业领军者质量却令人失望,新浪
6892,2020-08-07,格力电器解聘财务负责人望靖东 廖建雄接任,TechWeb
6893,2020-08-07,【SMM专题】二季度家电行业强力修复 线上销售为强心剂！,上海有色
6894,2020-08-07,格力电器(000651)：渠道变革、行业回暖 空调龙头业绩反转可期,新浪
6895,2020-08-07,杭萧钢构逆势涨停 北向资金加仓伊利、格力,上证报
6896,2020-08-06,格力电器(000651.SZ)：望靖东不再担任公司财务负责人 廖建雄继任,格隆汇
6897,2020-08-06,四连涨！海尔智家这波私有化还有多大想象空间？,DoNews
6898,2020-08-06,家电行业7月月报及8月投资策略：景气回暖确定 估值有望共振,新浪
6899,2020-08-06,A股融资融券日报：两融余额增加126.72亿元（8月5日）,Wind
6900,2020-08-06,巨丰数据赢｜北上资金持续波动 一股近期被主力明显增持,巨丰财经
6901,2020-08-05,家电巨头的秘密基地：解码4224场直播背后的变局,21世纪经济报道
6902,2020-08-05,晚间要闻2020年8月5日星期三,Wind
6903,2020-08-05,海尔电器(01169)私有化迎重大进展，业务统筹之后投资价值将提升,智通财经
6904,2020-08-05,海尔智家(600690)深度跟踪报告：长算远略花开结果 机制优化降本增效,新浪
6905,2020-08-05,空调新国标来袭 格力掉队 董明珠赶场忙,IT时报
6906,2020-08-05,首批标准化票据透露了哪些信息？,债市覃谈
6907,2020-08-05,董明珠：格力天天被人偷人偷技术,慧聪网
6908,2020-08-05,北上资金今日净流出19.81亿元，金融板块遭一日游行情,Wind
6909,2020-08-05,海尔智家私有化之后还有多大想象空间？,亿邦动力
6910,2020-08-05,雷军透露十周年演讲内容会说与董明珠打赌的事,中关村在线
6911,2020-08-05,董明珠点赞“温柔洛阳”，传授直播带货101.2亿的秘密,中国经济周刊
6912,2020-08-05,【申港家电】空调新能效实施七月跟踪 技术升级推动仍待释放 ——家用电器行业周报W32,一超家电研究
6913,2020-08-05,董明珠称天天被偷人偷技术好委屈，网友：格力能撑到现在真是奇迹,搜狐
6914,2020-08-05,公募基金月报：战略求稳 战术进攻,新浪
6915,2020-08-05,今明两年坚持不买房，会造成什么“后果”？董明珠、冯仑看法一致,搜狐
6916,2020-08-05,巨丰数据赢｜北上资金回流 主力低位增持这一股,巨丰财经
6917,2020-08-05,银隆的“棋局”：董明珠首次透露为什么个人举债“造车”,第一电动网
6918,2020-08-05,A股融资融券日报：两融余额增加42.15亿元（8月4日）,Wind
6919,2020-08-05,家电行业2020年8月报：中报业绩迎来密集发布 关注边际改善型公司,新浪
6920,2020-08-05,家电清洗藏猫腻 收费多少“随口定”,新浪
6921,2020-08-05,业绩稳健一汽富维再领涨 茅台格力获北向资金加仓,上证报
6922,2020-08-05,合体的 “海尔兄弟”要讲什么新故事？,IT之家
6923,2020-08-04,晚间要闻2020年8月4日星期二,Wind
6924,2020-08-04,陆股通月报第10期：北上大进大出 消费板块遭抛售 股票卖空,新浪
6925,2020-08-04,A股画风突变！疫苗板块大降温，银行保险崛起！一天成交1.37万亿，北上资金加仓这些白马股,证券时报网
6926,2020-08-04,一、海尔智家：私有化,富途证券
6927,2020-08-04,董明珠：格力专利技术全国第一，天天被偷技术,搜狐
6928,2020-08-04,北向资金今日净买入21.37亿元，贵州茅台净买入近8亿元,Wind
6929,2020-08-04,"格力电器现1笔大宗交易 共成交6,640.30万元",新浪
6930,2020-08-04,盛视早参：行情或再度开启 随风起舞！,新浪
6931,2020-08-04,集成灶生产商帅丰电器IPO：曾向违规供应商大举采购 产品、渠道单一遭疫情冲击严重,中金在线
6932,2020-08-04,李德林：董明珠没有接班人,新浪
6933,2020-08-04,格力直播卖货再破百亿 董明珠称为经销商探路,观察者网
6934,2020-08-04,促销成常态 新营销、新技术手段获广泛应用,中国电子报
6935,2020-08-04,电商起到中流砥柱作用，线上线下加速融合,中国电子报
6936,2020-08-04,新国标使空调市场淘汰率达45% 线下数据同比增长,中国报告大厅
6937,2020-08-04,一手打破经销商护城河董明珠又直播了,观察者网
6938,2020-08-04,郭施亮：海尔智家私有化海尔电器 估值将重估吗？将为投资者带来什么？,金融界
6939,2020-08-04,A股融资融券日报：两融余额增加245.57亿元（8月3日）,Wind
6940,2020-08-04,格力洛阳直播销售破百亿元,广州日报
6941,2020-08-04,芯朋微(688508)首次覆盖报告：电源芯片细分赛道一枝独秀永续经营长坡厚雪,新浪
6942,2020-08-04,白电巨头资本腾挪提振业绩 海尔电器私有化告别双平台内耗,北京日报
6943,2020-08-04,“海尔兄弟”合体，435 亿私有化能否帮张瑞敏打赢家电业务翻身仗？,搜狐
6944,2020-08-03,格力：健康生活家的远望,北京商报
6945,2020-08-03,晚间要闻2020年8月3日星期一,Wind
6946,2020-08-03,家用电器行业研究周报：8月空调排产延续增长趋势 地产后周期个股好转,新浪
6947,2020-08-03,助力中国品牌腾飞 8月国美国潮日当道,凤凰网
6948,2020-08-03,8月3日北向资金成交活跃股名单,证券时报网
6949,2020-08-03,格力市值“悬停”，3年仍在3000亿，都因董明珠没有接班人？,搜狐
6950,2020-08-03,董明珠：举债投资银隆，是为扩大格力产业,搜狐
6951,2020-08-03,董明珠：格力1.5万研发人员没有外国人 也没海归派,网易
6952,2020-08-03,北向资金连续三日净卖出，外资持续减配免税龙头,Wind
6953,2020-08-03,机构重仓股跟踪周报,新浪
6954,2020-08-03,海尔智家(600690)：一个更纯粹高效的海尔,新浪
6955,2020-08-03,带货再破百亿，董明珠台前“风风光光”，经销商台后“瑟瑟发抖”,搜狐
6956,2020-08-03,洛阳格力投产加速董明珠基地直播展示中国制造业实力,慧聪网
6957,2020-08-03,线下“格力董明珠店”开业格力“新零售”展开新跑道,慧聪网
6958,2020-08-03,每日精选 | 暴风冯鑫被公诉；董明珠称“一晚一度电”是骗人的,搜狐
6959,2020-08-03,董明珠直播销售再破百亿元 格力“牵手”洛阳坚守匠心中国造,经济网
6960,2020-08-03,董明珠谈制造业高质量发展：中国有能力培养自己的团队,经济网
6961,2020-08-03,京东数科斩获营销界“奥斯卡”金奖，数字营销助力格力销量提升,TechWeb
6962,2020-08-03,101.2亿！董明珠全国巡回直播第二站 “中国风”吹进洛阳城,格力
6963,2020-08-03,直播销售额再破百亿背后：格力与专卖店是如何配合带货的？,经济观察网
6964,2020-08-03,董明珠：格力生活电器、智能制造提速 当下处于推动制造业转型升级的关键时期,证券日报
6965,2020-08-03,新能效标准实施 空调价格会越来越高吗？,中国商报
6966,2020-08-03,A股融资融券日报 ：两融余额增加78.75亿元（7月31日）,Wind
6967,2020-08-03,董明珠：仍在还个人投资银隆的借债 但格力得到了真实惠,红周刊
6968,2020-08-03,家用电器行业：空调销售复苏明显 基金持股小幅回升,新浪
6969,2020-08-03,对话董明珠：做二把手时挡子弹都是我 很遗憾没有这样的副手,红周刊
6970,2020-08-03,最新中报业绩翻倍股出炉！,证券时报网
6971,2020-08-03,泰旸资产刘天君：希望能笑到最后,上证报
6972,2020-08-02,8月3日上市公司重要公告集锦：重药控股上半年净利同比下降35.31%,证券日报
6973,2020-08-02,洛阳格力投产加速！董明珠：做直播是要把最好的产品展示给别人,金融界
6974,2020-08-02,空调新冷年开盘 格力董明珠店首涉线下,第一财经
6975,2020-08-02,晚间重要公告2020年8月2日星期日,Wind
6976,2020-08-02,"招商家电 | 海尔智家 600690:私有化方案问世,期待治理改善与效率提升",招商家电研究
6977,2020-08-02,家电周观点||8月空调排产回暖，看好扫地机及白电龙头反弹,吕明可选消费研究
6978,2020-08-02,董明珠又说大实话！空调一晚一度电是假的,电脑报
6979,2020-08-02,格力电器(000651.SZ)：截至7月底累计回购3.39亿元股份,格隆汇
6980,2020-08-02,格力电器：已耗资3.39亿元回购股份,e公司
6981,2020-08-02,格力电器：累计回购599万股,Wind
6982,2020-08-02,“格力董明珠店”首次线下亮相,北京商报
6983,2020-08-02,格力洛阳直播带货销售额破百亿,北京商报
6984,2020-08-02,海尔智家400亿私有化背后:商誉高企 净利不及美的一半,新浪
6985,2020-08-02,格力电器直播销售额破百亿元，洛阳生产基地投产,Wind
6986,2020-08-02,格力电器直播销售额破百亿元 洛阳生产基地投产,中证网
6987,2020-08-02,匠心“中国风”吹进洛阳城 格力洛阳直播销售再破百亿,第一家电网
6988,2020-08-02,海尔“双剑合璧”，总市值达2000亿，仍难敌美的、格力,搜狐
6989,2020-08-01,海尔智家超400亿资本架构调整 两海尔合体如何搅动白电江湖？,每日经济新闻
6990,2020-08-01,【申港家电】干衣机在衣物烘干需求下的导入普及 ——家用电器行业周报W31,一超家电研究
6991,2020-08-01,440亿私有化海尔电器，海尔抛家电“二合一”上市方案，白电江湖竞争再添筹码,华夏时报
6992,2020-08-01,海尔抛家电“二合一”上市方案 白电江湖竞争再添筹码,华夏时报
6993,2020-08-01,私有化拉开“重估海尔”大幕 可张瑞敏的理想刚开始,新浪
6994,2020-08-01,对话董明珠：我个人用分红还银隆的债，但格力得到了真实惠,红周刊
6995,2020-08-01,陆家嘴财经早餐2020年8月1日星期六,Wind
6996,2020-08-01,7月A股减持额近千亿，科技龙头不惧减持逆势而上,Wind
6997,2020-07-31,健康升级空调市场将迎来新变化,中国电子报
6998,2020-07-31,北上资金净流出19亿 格力电器遭净卖出近11亿,金融界
6999,2020-07-31,换股+现金支付！海尔电器私有化方案出炉,21世纪经济报道
7000,2020-07-31,北上资金连续4个月净买入，本月成交活跃股抢先看,证券时报网
7001,2020-07-31,董明珠炮轰“一晚一度电”，网友：核心科技掌握了？,搜狐
7002,2020-07-31,北向资金净买入宁德时代5.83亿元、净卖出格力电器10.85亿元,上游新闻
7003,2020-07-31,百亿资金搏杀芯片龙头股，主力扫货近30亿元！科技股抢筹名单来了,证券时报网
7004,2020-07-31,金融街下午茶2020年7月31日星期五,Wind
7005,2020-07-31,北向资金今日净流出19.03亿元，格力电器遭净卖出10.85亿元,Wind
7006,2020-07-31,北上资金净卖出19.03亿元格力电器遭净卖出10.85亿元,格隆汇
7007,2020-07-31,格力电器今日遭北向资金净卖出10.85亿元,e公司
7008,2020-07-31,73股主力资金净流入超亿元,证券时报网
7009,2020-07-31,"格力电器现1笔大宗交易 共成交3,626.41万元",新浪
7010,2020-07-31,智能化与数字化成上市公司新竞争力,南方日报
7011,2020-07-31,中原古都工业焕新 格力引领新时代产业融合发展,经济网
7012,2020-07-31,海尔“1+1”能否大于2？,36氪
7013,2020-07-31,董明珠：直播带货不应该以最低价为噱头,红周刊
7014,2020-07-31,董明珠：富豪榜排多少名对我没啥意义(视频),红周刊
7015,2020-07-31,董明珠：投资暴雷企业的小股民很可怜,红周刊
7016,2020-07-31,董明珠：孤独有什么好享受的(视频),红周刊
7017,2020-07-31,【董明珠称富豪榜排名对她没啥意义，格力成为全世界企业第一才是梦想】,36氪
7018,2020-07-31,董明珠：互联网代替不了制造业产品(视频),红周刊
7019,2020-07-31,董明珠称空调一晚一度电都是骗人的：指的是恒温状态下,站长之家
7020,2020-07-31,最强减持月逾700亿出逃，龙头公司却逆风飞翔,Wind
