,2021-12-31,红塔证券：肖淑英因个人原因、华士国因工作调整原因辞去公司董事职务 董监高成员变化,北京商报
1793,2020-07-07,【行情】券商板块跌幅扩大，南京证券、红塔证券、华林证券、华西证券等多只个股跌幅超5%,金十数据
1794,2020-07-07,【异动股】券商信托板块下挫，南京证券(601990-CN)跌5.06%,财华社
1795,2020-07-07,2万亿市值巨头狂飙！A股四大风口并驾齐驱,中证报
1796,2020-07-07,大盘涨了，减持来了！这些上市公司重要股东打算“下车” 减持股份,中证报
1797,2020-07-07,敲警钟+股东减持！券商股整体降温，行情还能走多远？机构这样说 减持股份,中证报
1798,2020-07-07,大批超级白马股暴涨“真香”网友：涨到怀疑人生,中国基金报
1799,2020-07-07,淘气天尊：券商熄火，3400点得而复失！,新浪
1800,2020-07-07,沪指涨1.32%盘中站上3400点！两市成交连续4日破万亿,中新经纬
1801,2020-07-07,券商板块午盘跌0.44%成交金额1096亿元，上日同期为1082亿元,Wind
1802,2020-07-07,A股午盘综述：上证指数涨逾1%盘中站上3400点，创业板指涨超3%,Wind
1803,2020-07-07,多家上市券商、银行股东准备减持套现 减持股份,第一财经
1804,2020-07-07,红塔证券：云南白药拟减持所持公司股份不超4711万股 拟减持股份,资本邦
1805,2020-07-07,券商板块震荡回调 红塔证券领跌中信建投跌近5%,证券时报网
1806,2020-07-07,券商股走弱 天风证券等跌超5%,中国财富网
1807,2020-07-07,券商股开盘走弱 南京证券跌逾7%,每日经济新闻
1808,2020-07-07,券商板块震荡回调 三连板中信建投跌近5%,证券时报网
1809,2020-07-07,券商板块走势分化 中信建投跌逾2%,第一财经
1810,2020-07-07,快讯：证券板块开盘走弱 中信建投跌超5%,新浪
1811,2020-07-07,【行情】券商股开盘下跌，中信建投跌2%，红塔证券、天风证券、哈投股份、华林证券等跟跌,金十数据
1812,2020-07-07,大参考：苹果或计划展开VR/AR研发 2024年市场规模或超万亿,巨丰财经
1813,2020-07-07,7日公司新闻聚焦：复星系退出粤高速A 珠海国资加码宝鹰股份,证券时报网
1814,2020-07-07,【四大证券报精华摘要】7月7日,新华网
1815,2020-07-07,疯狂！外资狂买，人民币暴涨600点！A股还上了新闻联播，大数据告诉你后市怎么走？,21财闻汇
1816,2020-07-07,趋势巡航：股市上新闻 今天继续疯？,金融界
1817,2020-07-07,【中证盘前】中芯国际今日申购；首批创业板战略配售基金开售；牧原股份上半年预盈超百亿；特斯拉涨逾13%再创新高,中证报
1818,2020-07-07,全球股市飘扬“中国红”！外资狂买，人民币暴涨600点！涨太多要不要卖点？历史数据这么说,证券时报网
1819,2020-07-07,股海导航 7月7日沪深股市公告提示,新浪
1820,2020-07-07,【华金证券晚间资讯（20200706）】,华金研究
1821,2020-07-07,【有声早报】华龙证券7月7日财经早报,华龙掘金
1822,2020-07-07,陆家嘴财经早餐2020年7月7日星期二,Wind
1823,2020-07-07,华安证券被安徽国控收购 6月净利大增,时代周报
1824,2020-07-07,金融股大涨之后，股东减持公告“如约而至”,证券时报
1825,2020-07-06,A股头条之上市公司（7.7）,金融界
1826,2020-07-06,周二最新重磅公司新闻集锦(07月07日),证券之星
1827,2020-07-06,云南白药拟减持红塔证券 拟减持股份,上证报
1828,2020-07-06,7月7日上市公司重要公告集锦：招商轮船上半年净利预增489%-553,证券日报
1829,2020-07-06,公告精选：牧原股份上半年预盈超百亿；中信建投称不存在未披露的重大信息,e公司
1830,2020-07-06,招商证券A股配股即将发行 拟募资不超过128.05亿元,证券日报
1831,2020-07-06,红塔证券(601236.SH)：云南白药拟清仓减持不超4711.37万股 减持股份,格隆汇
1832,2020-07-06,红塔证券：云南白药拟减持不超1.30%股份 拟减持股份,e公司
1833,2020-07-06,红塔证券：云南白药拟减持不超过总股本1.3% 拟减持股份,Wind
1834,2020-07-06,新三板精选层统计报告6月统计月报,资本邦
1835,2020-07-06,这家券商营收净利双亏损，或因自营业务导致，还有273亿市值解禁 亏损,搜狐
1836,2020-07-06,惊呆A股！4500亿大白马被外资买爆，只许卖不许买！创业板B惨遭跌停，1.74万亿天量成交，又有券商APP崩了！,中国基金报
1837,2020-07-06,券商板块今日成交金额1516亿元，中信证券主力净流入金额达72亿元,Wind
1838,2020-07-06,券商板块半日成交金额1082.66亿元，已超7月2日全天,Wind
1839,2020-07-06,十年复盘：中信证券引爆牛市可能有多大？本轮券商行情有多高,证券时报网
1840,2020-07-06,操盘攻略：本周将有16只基金发行 3400点附近是重要阻力,金融界
1841,2020-07-06,十年复盘：中信证券引爆牛市可能性有多大？本来券商股行情有多高？,证券时报网
1842,2020-07-06,A股融资融券日报：两融余额增加125.53亿元（7月3日）,Wind
1843,2020-07-06,A股早报2020年7月6日星期一,Wind
1844,2020-07-06,财富早知道 | 深圳二手房真贵！杭州第一大P2P被立案,中国财富网
1845,2020-07-06,东北证券【周末要闻】你关心的都在这里,东北证券金融世界
1846,2020-07-06,巨丰早评：A股惯性冲高可期,巨丰财经
1847,2020-07-06,陆家嘴财经早餐2020年7月6日星期一,Wind
1848,2020-07-06,各方热议“牛市回归” 快涨模式有隐忧,第一财经日报
1849,2020-07-05,一周前瞻丨关注“抢权”行情,央视
1850,2020-07-05,巨量解禁前夜 红塔证券陷业绩、合规雷区,北京商报
1851,2020-07-05,周末要闻2020年7月5日星期日,Wind
1852,2020-07-05,国泰君安中小盘·伐谋周报【中央深改委部署国企改革，重点推荐“长安新捷”组合】,易研九鼎
1853,2020-07-05,下周操盘攻略：6月重磅宏观数据公布，500亿解禁洪流来袭,Wind
1854,2020-07-05,暴赚近3000亿元！北上资金今年赚嗨了 高比例持仓股名单曝光,新浪
1855,2020-07-05,红塔证券上市满周岁“成绩单”如何？资产规模再上新台阶，净利润增长明显,证券时报
1856,2020-07-05,本月A股解禁市值超5000亿元 逾七成来自沪市 解禁,大众证券报
1857,2020-07-05,红塔证券上市一周年稳健成长获市场认可,中证网
1858,2020-07-05,南财早新闻丨上半年全国房价涨幅榜出炉，银保监会首次公开38家机构重大违法违规股东名单,21世纪经济报道
1859,2020-07-05,中信建投市值超过中信证券，新券商一哥出现，为啥这么疯狂？,搜狐
1860,2020-07-04,下周超500亿解禁洪流来袭 解禁,格隆汇
1861,2020-07-04,解禁洪流来袭，这只券商股压力巨大，3股解禁比例超70%（附名单）,凤凰网
1862,2020-07-04,6月首家公布月报的券商营收净利全部为负！红塔证券怎么了,资本邦
1863,2020-07-04,上市公司正负面新闻2020年7月4日星期六,Wind
1864,2020-07-03,下周72家公司564亿市值限售股解禁 解禁,Wind
1865,2020-07-03,晚间重要公告2020年7月3日星期五,Wind
1866,2020-07-03,【公告抢先看】晚间重要公告：上汽集团拟回购5842万股—1.17亿股、华谊兄弟拟向阿里影业、腾讯等发行股票,金融界
1867,2020-07-03,7月3日主力资金净流出125亿元,证券时报网
1868,2020-07-03,34只A股筹码大换手（7月3日）,证券时报网
1869,2020-07-03,凯普生物(300639.SZ)：持股5%以上股东云南众合之解除质押515万股,格隆汇
1870,2020-07-03,上证强势站上3100点，连券商ETF都快涨停了！,Wind
1871,2020-07-03,红塔证券：母公司6月亏损8900.25万元 亏损,Wind
1872,2020-07-03,红塔证券(601236.SH)6月母公司净亏损8900.25万元 亏损,格隆汇
1873,2020-07-03,涨停板复盘：券商板块再掀涨停潮 沪指本周累涨5.82%,新浪
1874,2020-07-03,【中信建投非银周报】券商行情仍在路上，保险左侧布局时机已到,中信建投非银金融研究
1875,2020-07-03,巨丰收评：低估蓝筹全面补涨 指数齐创年内新高,巨丰财经
1876,2020-07-03,快讯：券商板块尾盘再迎涨停潮 第一创业等10股涨停,新浪
1877,2020-07-03,20天10家券商领罚 监管亮剑债券业务违规,中国经营网
1878,2020-07-03,快讯：证券板块午后再度拉升 国金证券、中银证券回封涨停,新浪
1879,2020-07-03,巨丰投 顾：沪指震荡上行创出年内新高 金融股冲高回落,巨丰财经
1880,2020-07-03,巨丰投顾：金融股冲高回落 创业板再创新高,新浪
1881,2020-07-03,巨丰午评：金融股冲高回落 创业板再创新高,巨丰财经
1882,2020-07-03,券商板块半日成交金额884亿元，上日全天为990亿元,Wind
1883,2020-07-03,中信建投市值首超中信证券 成A股券业“一哥”！看券商股暴动背后四大逻辑,券商中国
1884,2020-07-03,A股融资融券日报：两融余额增加140.38亿元（7月2日）,Wind
1885,2020-07-03,趋势巡航：证券传言被否 还能干吗,金融界
1886,2020-07-02,25只A股筹码大换手（7月2日）,证券时报网
1887,2020-07-02,罚！罚！罚！上半年券商罚单数已超2019全年，有你开户的那家券商吗？（附名单） 金融监管处罚,经济网
1888,2020-07-02,洞察|内控存缺陷，红塔证券三项违规遭罚！一季度业绩同比大涨，但单月呈下降趋势；经营过度依赖于自营投资,和讯
1889,2020-07-02,内部控制存在缺陷 红塔证券被证监会出具警示函 金融监管处罚,中华网
1890,2020-07-02,洞察|内控存缺陷，红塔证券三项违规遭罚！一季度业绩同比大涨，但环比呈下降趋势；经营过度依赖于自营投资,和讯
1891,2020-07-02,7月A股迎来解禁高峰 24只科创板个股1703亿市值限售股松绑 解禁,21世纪经济报道
1892,2020-07-02,首批科创板公司迎集中解禁 解禁,21世纪经济报道
1893,2020-07-01,证监会连开5张监管函 剑指券商债券业务违规问题 金融监管处罚,第一财经
1894,2020-07-01,上市公司晚间利空汇总：石大胜华上半年净利润预亏3900万元至4900万元,金融界
1895,2020-07-01,债券交易业务内控存在缺陷 红塔证券被证监会出具警示函 经营问题,中证网
1896,2020-07-01,一日六家领罚 券商债券业务密集“栽跟头”,北京商报
1897,2020-07-01,红塔证券：证监会对公司出具警示函 金融监管处罚,Wind
1898,2020-07-01,7月A股解禁潮来袭：影响几何？减持压力可能带来“黄金坑” 解禁,澎湃新闻
1899,2020-07-01,银行或持券商牌照 差异化特色券商优势有望破局,凤凰网
1900,2020-07-01,证监会一口气开出6张罚单！都是给券商的 金融监管处罚,中国基金报
1901,2020-07-01,一天7张罚单！证监会重拳出击，均与一业务有关 金融监管处罚,券商中国
1902,2020-07-01,一天连开7张罚单！证监会重拳出击，5家券商被罚+3人被约谈，均与这一业务有关,券商中国
1903,2020-07-01,债券业务有问题，证监会一天7张监管函，涉及6家证券公司！ 金融监管处罚,资本邦
1904,2020-07-01,巨丰早评：七月市场将迎来开门红,巨丰财经
1905,2020-07-01,察猜 塔旺 月度收益99.75%,南方财经网
1906,2020-06-30,中国证监会对红塔证券出具警示函 金融监管处罚,Wind
1907,2020-06-30,上半年券商股走势分化:东方财富涨超50% 2券商股跌近30%,新浪
1908,2020-06-30,巨丰收评：券商板块午后雄起 市场情绪退潮,巨丰财经
1909,2020-06-30,7月135家公司限售股解禁市值高达4785.31亿元 科创板成主力 解禁,中证报
1910,2020-06-30,【信达看盘】2020.6.30,信达证券上海
1911,2020-06-30,【每日晨报】0630丨6月油价窄幅震荡，丙烷产业链具备高业绩修复弹性,中国银河证券研究
1912,2020-06-30,限售股解禁潮来袭科创板公司成主力 解禁,中证报
1913,2020-06-30,跨界抢饭吃 不要太稀奇,时代在线
1914,2020-06-29,银行要是拿了券商牌照会怎样？丨热公司,第一财经
1915,2020-06-29,券商股陷入调整 发生了什么？大金融板块估值仍处低位,中投网
1916,2020-06-29,节后开门绿，券商股领跌！行情结束了吗？,金融界
1917,2020-06-29,外围黑天鹅再现，A股又临“端午劫”，七翻身还有戏吗？,搜狐
1918,2020-06-29,A股弱势震荡沪指跌0.61% 两市2500只个股下跌,中新经纬
1919,2020-06-29,A股收评：沪指跌0.6%，游戏股、券商股领跌，医药股走强,格隆汇
1920,2020-06-29,A股市场低开低走：多数券商股深幅调整，三大指数收跌,澎湃新闻
1921,2020-06-29,A股收盘综述：上证指数跌0.61%，券商股领跌,Wind
1922,2020-06-29,快讯：券商股尾盘继续下挫 中泰证券接近跌停,新浪
1923,2020-06-29,【异动股】券商信托板块下挫，中泰证券(600918-CN)跌6.88%,财华社
1924,2020-06-29,券商股午后持续走弱 中泰证券跌超8%,e公司
1925,2020-06-29,谁是“砸盘”元凶？A股巨震，低估的大金融何时变盘,中证报
1926,2020-06-29,券商股集体大跌，国美系股价也崩了！沪股通净流出12亿，机构：短线回调可择机加仓 连续下跌,证券时报网
1927,2020-06-29,高位回踩趋势下，军工异动拉升，机构密集调研生物医药,搜狐
1928,2020-06-29,巨丰午评：券商股大幅下跌 市场展开回调,巨丰财经
1929,2020-06-29,A股午盘综述：上证指数跌0.71%，券商股领跌,Wind
1930,2020-06-29,【信达看盘】2020.6.29,信达证券上海
1931,2020-06-29,证监会回应向银行发券商牌照，银行券商股机遇几何？机构这样看丨牛熊眼,第一财经
1932,2020-06-29,【异动股】券商概念板块下挫，中泰证券(600918-CN)跌5.94%,财华社
1933,2020-06-29,券商板块大幅回落 机构称事件短期冲击有限,证券时报网
1934,2020-06-29,券商板块走弱 红塔证券、中泰证券跌近6%,格隆汇
1935,2020-06-29,快讯：证券板块持续下跌 中泰证券跌超7% 连续下跌,新浪
1936,2020-06-29,券商股早盘走弱 中泰证券跌超5%,e公司
1937,2020-06-29,券商股盘初下挫，红塔证券、中泰证券跌逾7%,Wind
1938,2020-06-29,解禁洪峰第二波！科创板与医药成主力(附名单),证券时报网
1939,2020-06-29,4787亿元！年内第二大解禁洪峰来袭 科创板成7月A股解禁主力军 解禁,中国基金报
1940,2020-06-28,【华创非银】非银金融周观察：市场风险偏好上行，关注非银板块政策、基本面共振下的投资机会,华创非银
1941,2020-06-28,年内解禁洪峰第二波！科创板与医药行业成主力军，24只个股解禁市值超50亿（附名单） 解禁,证券时报网
1942,2020-06-28,【信达非银】银行发放券商牌照传言起，资本市场扩容,朝闻金融
1943,2020-06-27,为何年内至今券商再融资热情尤为高涨？,财界网
1944,2020-06-25,6月反弹逾12%！“牛市旗手”走势分化，还能再次引领大盘吗？,中证报
1945,2020-06-24,6月24日深市创业板活跃股公开信息,深交所
1946,2020-06-24,中关村午后直线涨停北向资金净卖出逾3000万元,格隆汇
1947,2020-06-24,A股收评：创业板连续第九个交易日上涨，房地产、半导体板块全天表现强势,新浪
1948,2020-06-24,节前A股缩量券商白酒股集体跳水市场分化加剧科技仍是主线,财华社
1949,2020-06-24,红塔证券：部分首次公开发行限售股上市流通公告 解禁,上交所
1950,2020-06-24,双券商“护航”！新三板摘牌公司新风光冲刺科创板IPO，股东席隐现两家A股上市公司,资本邦
1951,2020-06-23,红塔证券(601236.SH)：11.11亿股首发限售股7月6日解禁 解禁,格隆汇
1952,2020-06-23,红塔证券：11.1亿股限售股7月6日上市流通 解禁,Wind
1953,2020-06-23,睿财看市场：周末消息偏暖,新浪
1954,2020-06-23,[券业场]16家券商1300亿再融资在路上！山西证券配股缴款最后一天 不交将面临双重损失！,金融界
1955,2020-06-23,红塔证券收中国证监会警示函 债券交易业务存3宗违规 金融监管处罚,腾讯网
1956,2020-06-23,利好消息不断券商板块表现强势，昨日多只券商股涨停！,资本邦
1957,2020-06-23,A股融资融券日报：两融余额增加113.78亿元（6月22日),Wind
1958,2020-06-23,【四大证券报精华摘要】6月23日,中国金融信息网
1959,2020-06-23,山西证券60亿配股缴款今日结束，还有四家在路上,Wind
1960,2020-06-23,各路资金积极布局关键时点券商股集体逞强,证券时报
1961,2020-06-23,山西证券60亿配股缴款今日结束还有四家在路上,证券时报
1962,2020-06-23,麦氏理论：电子元器件最强势 证券板块稳定走高,南方财经网
1963,2020-06-22,上市券商“补血潮”汹涌而来 1200亿再融资计划在路上,北京商报
1964,2020-06-22,“兜兜转转”重回上市路！昆工科技弃精选层择红塔证券辅导再回创业板IPO,资本邦
1965,2020-06-22,红塔证券(601236.SH)完成发行10亿元短期融资券,格隆汇
1966,2020-06-22,27只A股筹码大换手（6月22日）,证券时报网
1967,2020-06-22,巨·个股|低位突破！又冲高回落 证券板块还有机会吗？,巨丰财经
1968,2020-06-22,光大证券涨停中信建投创历史新高，券商板块为何强势领涨？,第一财经
1969,2020-06-22,31家券商分享精选层头啖汤：中信建投数量第一，开源证券等中小券商入围第一阵营,中证报
1970,2020-06-22,暴走A股：“降息”意外落空！下午大盘危险了？,金融界
1971,2020-06-22,迅速行动！昆工科技决定创业板转战精选层,资本邦
1972,2020-06-22,A股融资融券日报：两融余额增加0.17亿元（6月19日),Wind
1973,2020-06-22,六大消息影响本周大盘,中财网
1974,2020-06-22,基金认购2个月浮盈接近翻倍,中国基金报
1975,2020-06-22,16家上市券商分红82亿元 还有220亿元“在路上”,证券日报
1976,2020-06-21,A股4600亿解禁洪峰7月来袭，11股超百亿 解禁,证券时报
1977,2020-06-21,7月份解禁市值迎高峰，11股解禁市值超百亿 解禁,第一财经
1978,2020-06-21,4600亿解禁洪峰即将袭来，11股超百亿，这只芯片龙头股压力山大 解禁,证券时报
1979,2020-06-21,400万股民小心！4600亿解禁洪峰即将袭来，11股超百亿，这只芯片龙头股压力山大（名单） 解禁,证券时报
1980,2020-06-20,券商“疾行”配股融资,中证报
1981,2020-06-19,小康股份(601127.SH)：小康控股解除质押及质押3500万股,格隆汇
1982,2020-06-19,总市值逾4500亿！限售股解禁洪峰就在7月，一大波科技股要留意（附名单） 解禁,中证报
1983,2020-06-19,6月19日深市创业板活跃股公开信息,深交所
1984,2020-06-19,"凯普生物现1笔大宗交易 共成交2,228.05万元",新浪
1985,2020-06-19,贵州三力(603439.SH)：控股股东张海及一致行动人王惠英合计质押3820万股,格隆汇
1986,2020-06-19,【异动股】券商信托板块拉升，中信建投(601066-CN)涨停,财华社
1987,2020-06-19,券商股午后集体走高 中信建投涨逾7%,中国经济网
1988,2020-06-18,又见两起券商大股东减持！利好利空交织，3000点之下的券商股有没有投资价值？ 减持股份,每日经济新闻
1989,2020-06-18,我们的故事丨始于本心，敬于本意，终于本真,红塔期货
1990,2020-06-17,又有券商要配股了！华安证券拟配股募资40亿元 其中一半发展资本中介业务,每日经济新闻
1991,2020-06-17,中泰证券、红塔证券双辅导 新风光已完成上市辅导,资本邦
1992,2020-06-17,6月逾200亿减持，4千亿巨量解禁下月将至,Wind
1993,2020-06-17,上市券商5月经营业绩：环比降5成，广发反超中信 盈利能力下降,面包财经
1994,2020-06-17,上市券商5月经营业绩：环比降5成，广发反超中信,面包财经
1995,2020-06-16,6月以来162家公司已宣告减持，7月更有4560亿元解禁潮将至 减持股份,格隆汇
1996,2020-06-15,巨丰午评：创业板冲击前高,巨丰财经
1997,2020-06-15,146家公司重要股东发布减持计划 7月限售股解禁市值迎年内第二高峰 拟减持股份,中证报
1998,2020-06-14,获持牌金融机构累计达千亿级授信额度，玖富数科集团“连接器”价值持续强化,北京商报
1999,2020-06-13,拟再融资逾1200亿券商大手笔“补血”,中证报
2000,2020-06-13,上市券商定增、配股“齐上阵”，近1200亿元募资计划如箭在弦,Wind
2001,2020-06-13,上市券商定增、配股“齐上阵” 近1200亿元募资计划如箭在弦,证券日报
2002,2020-06-12,债市走弱拖累券商业绩 盈利能力下降,证券市场周刊
2003,2020-06-12,超1200亿再融资在路上！新规拓宽融资渠道，年内券商“补血”热情高涨,中证报
2004,2020-06-12,【山证非银】2020年中期投资策略：政策加持，市场回暖，投资券商正当时,山西证券研究所
2005,2020-06-11,巨丰午评：创业板继续上攻,巨丰财经
2006,2020-06-10,红塔证券(601236.SH)：完成2020年度第一期短期融资券兑付,格隆汇
2007,2020-06-10,凯普生物(300639.SZ)：持股5%以上股东云南众合之解除质押355万股,格隆汇
2008,2020-06-10,A股融资融券日报：两融余额增加19.15亿元（6月9日）,Wind
2009,2020-06-10,海通证券南京证券定增获批 券商再融资按下快进键,上证报
2010,2020-06-09,红塔证券(601236.SH)年报推10派1元股权登记日6月16日,格隆汇
2011,2020-06-09,【万联非银|中期策略报告】证券行业：政策改革利好行业发展，估值低位配置价值提升,万联证券研究所
2012,2020-06-09,"重磅！创业板指进入技术性牛市，""药罐子""涨超56%霸榜",搜狐
2013,2020-06-09,最牛回购火了，74万手封死涨停！券商一哥高呼：小康牛来了,中国基金报
2014,2020-06-09,A股午盘综述：上证指数午盘涨0.47%，创业板指涨逾1%,Wind
2015,2020-06-09,快讯：券商板块小幅拉升 红塔证券等多股走强,新浪
2016,2020-06-09,大金融股走强,格隆汇
2017,2020-06-09,【行情】证券板块异动拉升，东方财富涨超4%，红塔证券、华鑫股份、天风证券、国金证券等跟涨。,金十数据
2018,2020-06-09,券商股盘中全线走强 中泰证券涨停,中国经济网
2019,2020-06-09,券商股震荡攀升，新股中泰证券上市五日仍未开板,Wind
2020,2020-06-08,【万联非银|5月经营数据跟踪】假期因素+市场走弱，5月业绩大幅下滑 盈利能力下降,万联证券研究所
2021,2020-06-08,凯普生物现1笔大宗交易 共成交688.80万元,新浪
2022,2020-06-08,沪指震荡收涨0.24%，消费电子概念掀涨停潮,中新经纬
2023,2020-06-08,每日策略20200608,东莞证券研究
2024,2020-06-08,【非银】改革向纵深推进，看好券商板块长期配置价值——非银金融行业周报——看好（联系人：张继袖、王磊）,渤海证券研究
2025,2020-06-08,【信达看盘】2020.6.8,信达证券上海
2026,2020-06-08,巨丰早评：科技消费仍是投资主线,巨丰财经
2027,2020-06-08,券商补资本忙不停 IPO配股定增转债齐上阵,中国基金报
2028,2020-06-07,5月A股上市券商业绩“降温” 超九成净利环比下滑 盈利能力下降,北京商报
2029,2020-06-07,【中航非银】行业周报 | 新三板转板意见发布，5月业绩环比降同比升,微信
2030,2020-06-05,券商板块尾盘护盘拉升，大盘再上2920点！下周热点如何布局？,金融界
2031,2020-06-05,A股震荡上行创指涨0.7%量能仍是制约指数突破3000点关键,财华社
2032,2020-06-05,【股市复盘】两市指数尾盘拉升沪指涨0.40% 机场航运板块表现强势,上海有色
2033,2020-06-05,A股三大指数集体收红航空股大涨,中新经纬
2034,2020-06-05,券商板块5日盘中震荡上扬,证券时报网
2035,2020-06-05,券商股异动，华鑫股份拉升涨逾6%，中信建投、红塔证券、广发证,--
2036,2020-06-05,巨丰收评：市场缩量反弹 券商成关键先生,巨丰财经
2037,2020-06-05,券商板块拉升 华鑫股份领涨,中证网
2038,2020-06-05,券商股快速拉升带动股指翻红,格隆汇
2039,2020-06-05,券商股午后集体拉升 华鑫股份涨超5%,证券时报网
2040,2020-06-05,快讯：证券板块异动拉升 华鑫股份涨超3%,新浪
2041,2020-06-04,红塔证券：5月份实现营收2.56亿元,中证网
2042,2020-06-04,红塔证券(601236.SH)：5月母公司净利1.40亿元 环比降34.09% 盈利能力下降,格隆汇
2043,2020-06-04,上市首日股价飙升44%，中泰证券能否打破券商上市“13连板”纪录？,国际金融报
2044,2020-06-03,东吴证券成功保荐中泰证券A股上市,上证报
2045,2020-06-03,小心，清仓减持又来了！注意，1天4家公司被举牌（附名单）,Wind
2046,2020-06-03,小心 清仓减持又来了！注意1天4家公司被举牌（附名单）,Wind
2047,2020-06-02,牛市旗手又发威！百股涨停刷屏 核心资产还能追高吗？,金融界
2048,2020-06-02,券商又迎风口 “T+0”交易或引爆证券板块 |行业风口,第一财经
2049,2020-06-02,"券商板块迎多重利好：""T+0""有望试水 前5月券商IPO保荐收入增107%",新浪
2050,2020-06-02,5月450亿减持创年度新高，科技医疗抛售居前,Wind
2051,2020-06-02,张志：量价齐升，股指开启新一轮涨势？,中金在线
2052,2020-06-02,6月A股开门红 科技与券商齐飞,财富动力网
2053,2020-06-02,科技探底回升 以消费电子和大消费为主,财富动力网
2054,2020-06-02,睿财看市场：6月A股迎开门红 金融携手科技领涨,恒泰睿财
2055,2020-06-02,A股放量普涨喜迎开门红 六月机会继续聚焦“纯内需”,大众证券报
2056,2020-06-01,新三板20200526交易日报+精选公告,--
2057,2020-06-01,T+0消息刺激券商股大涨机构如何看?,金融界
2058,2020-06-01,“T+0”显威！成交急剧放大，A股创两个多月新高！北上资金跑步入场，单日狂买过百亿,证券时报网
2059,2020-06-01,【超级大单】12亿资金追捧面板龙头,证券时报网
2060,2020-06-01,【主力资金】超200亿资金扫货科技股，这4股资金涌入超6亿元,证券时报网
2061,2020-06-01,做多热情高涨、T+0预期升温 券商股6月喜提“开门红”,北京商报
2062,2020-06-01,"券商又迎风口！T+0引爆证券板块！""黄金坑""贝塔属性凸显，聪明钱已开始抢筹了",券商中国
2063,2020-06-01,涨停复盘 | 六月开门红，两市再现百股涨停！,第一财经
2064,2020-06-01,雅本化学：控股股东900万股股份解除质押,每日经济新闻
2065,2020-06-01,6月投基策略：喜提开门红，关注两大投资机会！,老司基一枚
2066,2020-06-01,41.52亿元主力资金今日抢筹非银金融板块,证券时报网
2067,2020-06-01,儿童节股民人均笑纳1万红包 牛市旗手引领A股T+0行情 28年前神迹能否上演？,金融界
2068,2020-06-01,8只次新股股价已破发（附名单） 连续下跌,证券时报网
2069,2020-06-01,趋势巡航：放量大涨 明天回调,金融界
2070,2020-06-01,6月1日复盘：中阳拉开六月做多行情 主力资金出击18股,新浪
2071,2020-06-01,涨停板复盘：六月迎来开门红 消费电子、券商板块大涨,新浪
2072,2020-06-01,【股市复盘】两市指数高开高走沪指涨逾2% 消费电子板块表现强势,上海有色
2073,2020-06-01,6月1日主力巨资抢筹四大板块(附股),金融界
2074,2020-06-01,巨·热点|市场强势放量突破 两市热点全面开花 哪些板块最具吸引力？,巨丰财经
2075,2020-06-01,容维证券：沪指站上牛熊分界线 市场有望走出一波反弹行情,新浪
2076,2020-06-01,1日强势板块分析：消费电子概念亮眼 券商板块大幅拉升,证券时报网
2077,2020-06-01,A股6月开门红：三大指数放量涨逾2%，百亿北向资金净流入,澎湃新闻
2078,2020-06-01,涨停股复盘：16股封单超亿元,证券时报网
2079,2020-06-01,收评：三大指数高开高走沪指涨逾2% 消费电子板块强势,新浪
2080,2020-06-01,巨丰收评：科技股全面上涨,巨丰财经
2081,2020-06-01,A股收盘综述：6月开门红，上证指数涨逾2%重返2900点,Wind
2082,2020-06-01,券商股全线走强 中银证券等多股涨停,中国经济网
2083,2020-06-01,上交所：研究引入单次T+0交易 券商板块集体走高丨板块牛熊榜,第一财经
2084,2020-06-01,券商板块午后再度拉升,e公司
2085,2020-06-01,两市高开高走：沪指涨1.97%重上2900点，板块全线上扬,中新经纬
2086,2020-06-01,午评：沪指收复2900点创业板指大涨3%消费电子板块爆发北向资金净流入逾百亿,金融界
2087,2020-06-01,T+0利好券商，今天消费电子大爆发，核心在于选择赛道、龙头,新浪
2088,2020-06-01,【股市午评】两市指数高开高走创指涨超3% 消费电子板块走强,上海有色
2089,2020-06-01,“T+0”预期引A股全面上扬 券商股率先受益整体走高,e公司
2090,2020-06-01,A股上午放量大涨：深成指创指涨逾3%，北向资金流入逾百亿,澎湃新闻
2091,2020-06-01,午盘 | 沪指涨近2%重回2900点，创业板指涨3%,第一财经
2092,2020-06-01,A股午盘综述：上证指数涨近2%，创业板指大涨3%,Wind
2093,2020-06-01,快讯：券商股早盘异动释放积极信号 51只成份股全线飘红,证券日报
2094,2020-06-01,科创板有望试水T+0交易，券商板块大幅走高，中银证券涨停,证券时报网
2095,2020-06-01,【异动股】券商信托板块拉升，中银证券(601696-CN)涨6.52%,财华社
2096,2020-06-01,快讯：证券板块持续走强 中银证券拉升涨停,新浪
2097,2020-06-01,券商板块开盘强势走高！单次T+0交易释放利好,格隆汇
2098,2020-06-01,快讯：券商板块持续大涨 中银证券强势封板,新浪
2099,2020-06-01,券商板块表现抢眼 中银证券涨停,上证报
2100,2020-05-29,融资加速凸显券商重资本趋势,证券市场周刊
2101,2020-05-29,中泰证券网上网下申购结束 预计6月初上市,时代在线
2102,2020-05-29,大金融成定海神针 沪指涨0.33%站稳5日线,新浪
2103,2020-05-28,巨·热点|市场调整格局延续 哪些亮点值得关注？,巨丰财经
2104,2020-05-28,【股市复盘】两市指数下探回升沪指涨0.3% 稀土板块涨幅居前,上海有色
2105,2020-05-28,收评：沪指涨0.33%创业板指跌0.8%多元金融板块爆发,金融界
