,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
1242,2020-11-04,华鲁控股集团：子公司拟投资建设重大项目,Wind
1243,2020-11-03,【国金化工】华鲁恒升点评——新基地破除发展瓶颈，增厚公司长期中枢利润（2020-11-03）,点石化金
1244,2020-11-03,投资超100亿元 华鲁恒升将建设荆州现代煤化工基地,国家煤化工网
1245,2020-11-03,【方正化工】化工周报：万华聚乙烯投放市场，浙石化二期投入运行,靠谱化工股
1246,2020-11-03,2020年11月金股组合：兴证策略&多行业,新浪
1247,2020-11-03,【华安化工 | 事件点评】华鲁恒升：打造第二基地，打开成长通道,化工阿尔法
1248,2020-11-02,浙商早知道 | 11月4日,浙商证券研究所
1249,2020-11-02,【浙商化工陈煜∣华鲁恒升】第二基地落地，再造一个华鲁,醇萃化工研究
1250,2020-11-02,投资百亿建设荆州现代煤化工基地 华鲁恒升逆势扩产,e公司
1251,2020-11-02,【方正化工】华鲁恒升事件点评：签订湖北荆州项目投资协议，有望再造一个华鲁,靠谱化工股
1252,2020-11-02,【开源化工】华鲁恒升点评报告：湖北荆州建设煤化工第二基地，未来成长空间打开,Au化工
1253,2020-11-02,华鲁恒升(600426.SH)拟投资建设华鲁恒升荆州现代煤化工基地,格隆汇
1254,2020-11-02,生意社：10月2日华鲁恒升DMF最新动态,生意社
1255,2020-11-02,投资组合报告：2020年十一月策略金股报告,新浪
1256,2020-11-02,生意社：11月2日华鲁恒升辛醇报价暂稳,生意社
1257,2020-11-02,社保基金最新持仓动向：狂买周期股，减持医药科技,第一财经
1258,2020-11-02,化工行业：下游需求强劲复苏 推动化工品价格上行,财富动力网
1259,2020-11-02,转融券出现“新增量”，多公司控股股东出借自家股票,Wind
1260,2020-11-01,华鲁恒升(600426)：装置检修拖累三季度业绩 四季度有望加快修复 盈利能力下降,新浪
1261,2020-10-31,千万级别融券筹码“凭空出现”？部分券源竟然来自……,上证报
1262,2020-10-31,下游需求强劲复苏推动化工品价格上行【西南化工周观点】,化工林谈
1263,2020-10-30,【中银化工点评报告】华鲁恒升（600426.SH）,点化成金
1264,2020-10-30,华鲁恒升(600426)：三季度检修扰动业绩 整体修复向上,新浪
1265,2020-10-30,华鲁恒升(600426)：检修拖累Q3业绩 盈利回升拐点已至,新浪
1266,2020-10-30,社保基金连续持有27股最长已持有48个季度,证券时报网
1267,2020-10-30,华鲁恒升(600426)：煤气化平台检修影响利润 Q4主要产品景气度上行 强烈看好公司新一轮成长,新浪
1268,2020-10-30,【化工】华鲁恒升：三季度产品价格大多环比上涨,中银证券研究
1269,2020-10-30,化工行业专题报告：化工迎来新一轮进攻,新浪
1270,2020-10-29,招商基础化工行业周报2020年11月第2周：双酚A、顺酐本周涨幅居前， TDI、天然乳胶跌幅较大,招商基础化工
1271,2020-10-29,【浙商化工陈煜∣华鲁恒升】工程进度有序推进，华鲁未来将持续成长,醇萃化工研究
1272,2020-10-29,招商基础化工行业周报2020年11月第3周：水合肼、辛醇本周涨幅居前，维生素D3、天然气跌幅较大,招商基础化工
1273,2020-10-29,招商基础化工行业周报2020年11月第1周：有机硅产业链价格近期大涨，DMF、维生素A跌幅较大,招商基础化工
1274,2020-10-29,华鲁恒升(600426)：净利润同比下降32.5% 现金流非常健康 盈利能力下降,新浪
1275,2020-10-29,招商基础化工行业周报2020年10月第4周：纯MDI、 DMF本周涨幅居前，维生素D3、 WTI原油跌幅较大,招商基础化工
1276,2020-10-29,【研报掘金】化工行业需求向好有望延至明年上半年 推荐细分行业龙头和高成长标的,证券时报网
1277,2020-10-29,机构强烈推荐30只个股-更新中,中财网
1278,2020-10-29,社保基金连续4个季度以上持有158股，最长已持有48个季度,Wind
1279,2020-10-29,社保基金长线坚守23只股（附股）,证券时报网
1280,2020-10-29,A股早报2020年10月29日星期四,Wind
1281,2020-10-28,【国金化工】华鲁恒升点评——检修短期影响产品开工，公司长期发展稳健（2020-10-28）,点石化金
1282,2020-10-28,【太平洋化工】华鲁恒升20年三季报点评：装置检修拖累三季度业绩，四季度有望加快修复 盈利能力下降,强大化工
1283,2020-10-28,华鲁恒升(600426)：景气底部稳中有升 在建工程大幅增长,西南证券
1284,2020-10-28,【开源化工】华鲁恒升三季报点评：Q3检修致毛利率下跌，未来项目投产看好公司成长 盈利能力下降,Au化工
1285,2020-10-28,涨停板解密：汽车产业继续火热受追捧！（10月28日）,Wind
1286,2020-10-28,【华安化工 | 三季报点评】华鲁恒升：三季度受检修影响略有下滑，看好后续发展 盈利能力下降,化工阿尔法
1287,2020-10-28,A股异动 | 华鲁恒升(600426.SH)放量涨停创新高 绩后获券商唱好,格隆汇
1288,2020-10-28,生意社：10月28日华鲁恒升DMF最新动态,生意社
1289,2020-10-28,华鲁恒升(600426)2020年三季报点评：前三季度业绩平稳 新投项目增量临近,新浪
1290,2020-10-28,【招商基础化工】华鲁恒升：受检修影响业绩环比有所下滑，四季度有望向好 盈利能力下降,招商基础化工
1291,2020-10-28,生意社：10月28日华鲁恒升辛醇报价下跌,生意社
1292,2020-10-28,华鲁恒升：前三季度净利润同比减少32.52%,Wind
1293,2020-10-28,社保基金连续持有62股最长已持有48个季度,证券时报网
1294,2020-10-28,扬农化工、华鲁恒升涨超9%提振化肥农药板块，利尔化学、新能股份等跟涨,Wind
1295,2020-10-28,社保基金三季度重仓股揭秘：22股社保基金持股比例超5%,证券时报网
1296,2020-10-28,【方正化工】化工周报：万华持续上调MDI挂牌价，麦草畏重获美国EPA批准,靠谱化工股
1297,2020-10-28,七大金牛基金经理加仓这些股！接下来打算这么操作,中证报
1298,2020-10-27,华鲁恒升公布三季报 前三季净利减少32.52% 盈利能力下降,新浪
1299,2020-10-27,华鲁恒升(600426.SH)：前三季净利同比降32.52%至12.91亿元 盈利能力下降,格隆汇
1300,2020-10-27,生意社：10月27日山东华鲁恒升液氨价格上涨,生意社
1301,2020-10-27,【方正化工】华鲁恒升2020三季报点评-检修及原材料上涨影响Q3业绩，静待周期反转,靠谱化工股
1302,2020-10-26,中泰周期大宗指南第20期：周期品周度运行变化,新浪
1303,2020-10-26,化工周报：DMF、MDI大幅上涨 化工品需求整体向好 继续推荐白马及周期龙头,新浪
1304,2020-10-26,化工行业报告：库存持续去化 聚氨酯、DMF、有机硅价格上涨,新浪
1305,2020-10-26,基础化工行业周报：油价下跌 双氧水、纯MDI、硝酸铵、丁苯橡胶、PS等产品价格上涨,新浪
1306,2020-10-21,9月经济数据解读与行业最新观点,中信建投证券研究
1307,2020-10-20,生意社：10月20日华鲁恒升电厂硫酸铵价格动态,生意社
1308,2020-10-20,化工行业周报：MDI大幅上涨 化纤景气复苏 持续推荐白马及周期龙头,新浪
1309,2020-10-20,华鲁控股集团：重大诉讼进展 诉讼纠纷,Wind
1310,2020-10-19,基础化工行业周报：石化化工三季度业绩增长概况,光大证券
1311,2020-10-19,化工行业研究周报：纺织需求复苏 化纤普涨,新浪
1312,2020-10-19,生意社：10月19日华鲁恒升DMF最新动态,生意社
1313,2020-10-19,华鲁恒升(600426.SH)：控股股东一致行动人参与转融通证券出借业务,格隆汇
1314,2020-10-18,方正策略：当前金融股具备崛起的条件,策略研究
1315,2020-10-18,化工行业周报：海外订单回流带动纺织行业景气回升 继续推荐细分行业龙头和高成长标的,新浪
1316,2020-10-16,生意社：10月16日山东华鲁恒升液氨价格持稳,生意社
1317,2020-10-14,化工行业：需求回暖带动化工品价格反弹 3Q20行业盈利有望环比改善,新浪
1318,2020-10-14,基础化工行业2020年四季度投资策略：紧拥优质周期成长龙头,新浪
1319,2020-10-14,生意社：10月14日山东华鲁恒升液氨价格调涨,生意社
1320,2020-10-13,生意社：10月13日华鲁恒升DMF最新动态,生意社
1321,2020-10-12,化工周报：MDI价格上涨 国内外需求恢复良好 持续关注周期成长股,新浪
1322,2020-10-12,基础化工2020Q3业绩前瞻：国内外需求持续恢复 油价中枢环比反弹 Q3化工行业盈利底部反转,新浪
1323,2020-10-12,生意社：10月12日华鲁恒升辛醇报价微涨,生意社
1324,2020-10-12,【兴证化工】周观点：MDI价格涨势延续，玻纤、粘胶短纤、涤纶长丝价格走高，尿素、乙二醇等煤化工产品涨价（10月12日）,兴证化工
1325,2020-10-11,化工周报：MDI产业链继续领涨市场 龙蟒佰利上调钛白粉价格,新浪
1326,2020-10-11,化工行业研究：化工品价格景气上行 关注细分行业龙头 继续推荐高成长标的,新浪
1327,2020-10-09,川财证券：9月金股组合亏损13.22% 10月荐股名单出炉 亏损,新浪
1328,2020-10-09,2020年四季度股票组合,新浪
1329,2020-10-09,生意社：10月9日山东华鲁恒升液氨价格下调,生意社
1330,2020-10-09,30股获券商买入评级，当代文体目标涨幅达340.70%,Wind
1331,2020-10-08,2020三季度化工经营前瞻：曙光已出现 聚氨酯链抢眼,新浪
1332,2020-09-30,【方正化工】化工周报：内外需回暖，化工龙头迎来投资良机,靠谱化工股
1333,2020-09-30,华鲁恒升(600426)：深度研究报告：风骚独领 成本护城河极高的煤化工龙头,新浪
1334,2020-09-29,化工行业周报：Q3化工板块有望迎来业绩反转 持续关注周期成长股,新浪
1335,2020-09-28,生意社：9月28日华鲁恒升DMF最新动态,生意社
1336,2020-09-28,生意社：9月28日山东华鲁恒升液氨价格调涨,生意社
1337,2020-09-28,化工行业周报：调整不改中长期方向 继续看好化工高成长公司,新浪
1338,2020-09-28,化工行业周报：可选消费品中 缘何纺服原料化纤旺季未旺？,新浪
1339,2020-09-28,化工行业：龙头价值穿越周期 积极拥抱新材料机遇,财富动力网
1340,2020-09-27,大宗指南：周期品周度运行变化,新浪
1341,2020-09-27,基础化工周报：政策加码助推半导体材料发展 万华上调MDI挂牌价,光大证券
1342,2020-09-27,石油石化、基础化工、新材料行业北上资金流向周报,新浪
1343,2020-09-27,基础化工：油价下跌 液氯、环氧丙烷、碳酸二甲酯DMC、三聚氰胺、纯MDI等产品价格上涨,新浪
1344,2020-09-27,【兴证化工】周观点：万华化学继续上调10月MDI挂牌价，PO及下游聚醚、DMC延续涨势，钛精矿、DMF涨价（9月28日）,兴证化工
1345,2020-09-26,中泰化工周度观点20W39：万华10月挂牌价发布 聚氨酯产业链价格向上,新浪
1346,2020-09-24,生意社：9月24日华鲁恒升辛醇报价暂稳,生意社
1347,2020-09-24,能源行业日报：中国天然气发展报告(2020)于本月发布,新浪
1348,2020-09-23,化工行业：PO-聚醚、DMC价格齐创新高 新增推荐瑞联新材,新浪
1349,2020-09-22,生意社：9月22日华鲁恒升DMF最新动态,生意社
1350,2020-09-22,化工行业周报：油价受飓风影响反弹 继续关注低估值顺周期龙头,新浪
1351,2020-09-22,生意社：9月22日华鲁恒升辛醇报价暂稳,生意社
1352,2020-09-22,化工周报：聚醚、MDI价格上涨 化工品需求旺季 持续推荐周期成长龙头,新浪
1353,2020-09-21,基础化工行业2020年半年报总结：聚氨酯、钛白粉、化肥等板块至暗时刻或已过去 农药、精细化工逆势增长,新浪
1354,2020-09-21,石油化工／基础化工行业周报(第三十八周),新浪
1355,2020-09-21,化工行业周报：紧抓轮胎行业投资机会；MDI、氨纶基本面持续回暖,新浪
1356,2020-09-20,化工周度观点：巨化拟收购浙石化20%股份 关注炼化价值重估,新浪
1357,2020-09-18,化工行业周观点：PO-DMC创历史新高 价格仍处上行通道,西南证券
1358,2020-09-18,生意社：9月18日华鲁恒升辛醇报价微涨,生意社
1359,2020-09-17,生意社：9月17日山东华鲁恒升液氨价格持稳,生意社
1360,2020-09-17,生意社：9月17日华鲁恒升DMF最新动态,生意社
1361,2020-09-16,基础化工行业2020年中报业绩综述：疫情冲击下展现强韧性 看好行业景气回暖,新浪
1362,2020-09-14,【方正化工】化工周报：万华化学BC装置复产，恒逸石化拟建文莱炼化二期,靠谱化工股
1363,2020-09-14,社保基金近10年赚了超万亿，连续8年持有24股,Wind
1364,2020-09-13,中泰化工周度观点：油价短期回调 中期向上趋势不变,新浪
1365,2020-09-11,生意社：9月11日华鲁恒升DMF最新动态,生意社
1366,2020-09-09,【异动股】社保重仓板块下挫，华鲁恒升(600426-CN)跌5.85%,财华社
1367,2020-09-08,化工行业周报：油价开启下跌 关注低估值顺周期及近消费端龙头,新浪
1368,2020-09-08,生意社：9月8日山东华鲁恒升液氨价格调涨,生意社
1369,2020-09-07,化工周报：旺季来临 纯碱大幅上涨 TDI不可抗力,新浪
1370,2020-09-07,化工行业周报：看好优质赛道成长标的 关注维生素及周期白马龙头,新浪
1371,2020-09-07,化工行业周报：化工中报业绩基本探底 看好后市迎来整体性复苏,新浪
1372,2020-09-07,生意社：9月7日华鲁恒升辛醇报价暂稳,生意社
1373,2020-09-06,中泰化工周度观点20W36：TDI价格大幅上涨 看好长期供给格局改善,新浪
1374,2020-09-04,化工行业周观点：DMC价格大幅上涨 继续看多MDI、TDI,西南证券
1375,2020-09-04,A股中报季900只超预期个股名单,锦缎
1376,2020-09-03,生意社：9月3日华鲁恒升DMF最新动态,生意社
1377,2020-09-03,生意社：9月3日华鲁恒升辛醇报价微涨,生意社
1378,2020-09-02,生意社：9月2日华鲁恒升电厂硫酸铵价格动态,生意社
1379,2020-09-02,生意社：9月2日山东华鲁恒升液氨价格下调,生意社
1380,2020-09-01,生意社：9月1日山东华鲁恒升液氨价格持稳,生意社
1381,2020-09-01,化工行业周报：纯碱MDI维生素价格上涨 积极增配化工,新浪
1382,2020-08-31,化工行业周报：化工中报业绩基本探底 国内经济复苏叠加美元疲弱推涨化工品,新浪
1383,2020-08-31,基础化工行业周报：油价上涨 聚合MDI、液氯、PVC糊树脂、纯碱、DMF等产品价格上升,新浪
1384,2020-08-31,生意社：8月31日山东华鲁恒升液氨价格下调,生意社
1385,2020-08-29,强烈看多MDI、维生素价格趋势上涨【西南化工周观点】,化工林谈
1386,2020-08-28,社保基金连续持有28股 最长已持有47个季度,中投网
1387,2020-08-28,华鲁乙二醇技改草酸项目每月增收2500万元,生意社
1388,2020-08-28,【方正化工】化工周报：万华 MDI 挂牌价持续上调，万华玲珑等公司上价值榜,靠谱化工股
1389,2020-08-27,社保基金连续持有22股最长已持有37个季度,证券时报网
1390,2020-08-26,生意社：8月26日华鲁恒升DMF最新动态,生意社
1391,2020-08-26,生意社：8月26日华鲁恒升辛醇报价暂稳,生意社
1392,2020-08-26,生意社：8月26日山东华鲁恒升液氨少量外销,生意社
1393,2020-08-26,社保基金二季度重仓股揭秘：新进52股增持88股,证券时报网
1394,2020-08-25,生意社：8月25日华鲁恒升DMF最新动态,生意社
1395,2020-08-25,社保基金二季度重仓股揭秘：28股社保基金持股比例超5%,证券时报网
1396,2020-08-25,化工行业周报：纯碱行业或酝酿涨价 四川企业停产致草甘膦价格上涨,新浪
1397,2020-08-25,化工周报：MDI、醋酸、DMF等供需格局好的产品持续上涨 坚定看好化工Q3复苏,新浪
1398,2020-08-24,化工行业动态报告：纯碱、草甘膦再提价 DMF创历史新高,新浪
1399,2020-08-24,石油化工／基础化工行业周报(第三十四周),新浪
1400,2020-08-24,化工行业研究周报：维生素延续强势 MDI、TDI继续走高,新浪
1401,2020-08-24,社保基金连续持有63股最长已持有37个季度,证券时报网
1402,2020-08-24,社保基金二季度重仓股揭秘：新进36股增持68股,证券时报网
1403,2020-08-23,中泰化工周度观点20W34：广东省下发《塑料污染治理意见》 看好生物降解塑料,新浪
1404,2020-08-23,【兴证化工】周观点：聚氨酯产业链价格继续上涨，DMF、粘胶短纤价格走高，VA等维生素涨价（8月24日）,兴证化工
1405,2020-08-23,基础化工行业周报：核心布油价格下跌 丙酮、维生素、TDI、纯MDI、ABS等产品价格上涨,新浪
1406,2020-08-21,化工行业周观点：TDI、DMF价格上涨 维生素价格有望持续反弹,西南证券
1407,2020-08-21,皇马科技(603181)：业绩符合预期 新产能助力公司持续成长,新浪
1408,2020-08-21,生意社：8月21日华鲁恒升辛醇报价暂稳,生意社
1409,2020-08-20,生意社：8月20日华鲁恒升辛醇报价暂稳,生意社
1410,2020-08-20,生意社：8月20日华鲁恒升电厂硫酸铵价格动态,生意社
1411,2020-08-20,社保基金二季度重仓股揭秘：新进29股增持51股,证券时报网
1412,2020-08-19,社保基金二季度新进23股，医药生物成布局重点,环球老虎财经
1413,2020-08-19,社保基金长期重仓股名单曝光（附股）,证券时报
1414,2020-08-19,社保基金连续4个季度以上持有71股 最长已持有31个季度,证券时报网
1415,2020-08-19,化工行业周报：纯MDI、PO价格持续上涨 积极增配化工,新浪
1416,2020-08-19,生意社：8月19日山东华鲁恒升液氨报价调涨,生意社
1417,2020-08-19,社保基金二季度抱团持有13股（附股）,证券时报网
1418,2020-08-19,社保基金最新动向：二季度抱团持仓13股,证券时报
1419,2020-08-18,生意社：8月18日山东华鲁恒升液氨报价暂稳,生意社
1420,2020-08-18,生意社：8月18日华鲁恒升DMF最新动态,生意社
1421,2020-08-18,44股二季度获社保基金扎堆持有,证券时报网
1422,2020-08-17,社保基金现身106只个股十大流通股东名单,中国财富帮
1423,2020-08-17,【华安证券 | 中报点评】华鲁恒升：疫情影响即将结束，业绩有望回暖,化工阿尔法
1424,2020-08-17,化工行业周报：7月宏观经济数据向好 继续看好待价值发现的化工龙头,新浪
1425,2020-08-17,社保基金现身92只股前十大流通股东榜,证券时报网
1426,2020-08-16,【兴证化工】周观点：聚氨酯产业链、煤化工产业链价格整体走高，纯碱、VA、VE涨价（8月17日）,兴证化工
1427,2020-08-15,布局顺周期资产，强推化工行业龙头【西南化工周观点】,化工林谈
1428,2020-08-14,乙二醇早盘分析：供应预期有所减少 行情暂或支撑,新浪
1429,2020-08-14,华鲁恒升(600426)：产品价格下跌拖累业绩 Q2降幅环比缩窄 盈利能力下降,新浪
1430,2020-08-14,化工行业周观点：布局顺周期资产 强推化工行业龙头,西南证券
1431,2020-08-14,华鲁恒升(600426)2020年半年报点评：Q2业绩环比回暖 成本优势助力稳健成长,光大证券
1432,2020-08-14,中国化学多个项目完成大件设备吊装,新华网
1433,2020-08-14,社保基金连续持有24股最长已持有31个季度,证券时报网
1434,2020-08-14,【化工】华鲁恒升：业绩符合预期，看好公司盈利能力修复,中银证券研究
1435,2020-08-14,国家队压箱底股票曝光，最长持股超七年（名单）,证券时报网
1436,2020-08-14,华鲁恒升(600426)：以量补价 煤化工龙头彰显竞争优势,新浪
1437,2020-08-13,三季报最新预增王出炉，净利大涨15倍！国家队压箱底股票曝光，最长持股超七年,搜狐
1438,2020-08-13,华鲁恒升(600426)2020年中报点评：价格下降是盈利下降因 业绩有望随油价企稳反弹迎拐点,新浪
1439,2020-08-13,社保基金连续持有23股最长已持有31个季度,证券时报网
1440,2020-08-13,生意社：8月13日华鲁恒升电厂硫酸铵价格动态,生意社
1441,2020-08-13,【兴业证券晨会聚焦0813】宏观-7 月金融数据点评；环保公用-国投电力深度；汽车-三花智控中报点评；化工-华鲁恒升中报点评,兴证研究
1442,2020-08-13,中国化学海内外项目建设取得积极进展－国务院国有资产监督管理委员会,国资委
1443,2020-08-13,华鲁恒升(600426)：越过低谷 开启成长,新浪
1444,2020-08-13,社保基金二季度增持25股新进17股,Wind
1445,2020-08-12,华鲁恒升(600426)2020年半年报业绩点评：成本优势不变 静待需求回暖,新浪
1446,2020-08-12,华鲁恒升(600426)：疫情影响即将结束 业绩有望回暖,华安证券
1447,2020-08-12,华鲁恒升(600426)：低油价背景下盈利韧性强 周期修复弹性大,新浪
1448,2020-08-12,华鲁恒升(600426)：柔性生产平滑毛利 降本控费助力二季度业绩环比改善 新项目稳步推进 看好公司未来成长,新浪
1449,2020-08-12,华鲁恒升(600426)：二季度业绩环比增10.5% 看好公司业绩持续改善,新浪
1450,2020-08-12,深度*行业*化工行业2020半年报前瞻：产品价格重心整体下移 公司业绩承压 盈利能力下降,新浪
1451,2020-08-12,华鲁恒升(600426)：周期底部凸显核心优势 Q2业绩超预期 看好化工品景气回升和公司成长空间,新浪
1452,2020-08-12,华鲁恒升(600426)：中报业绩符合预期 龙头低成本优势明显,西南证券
1453,2020-08-12,【方正化工】华鲁恒升2020半年报点评-Q2利润环比上升 新建项目将带来利润增量,靠谱化工股
1454,2020-08-12,社保基金长线坚守21只股（附股）,证券时报网
1455,2020-08-12,华鲁恒升(600426)：业绩符合预期 销量回暖带动业绩好转,新浪
1456,2020-08-12,【面包财报】华鲁恒升：2020年上半年归母净利润9.04亿元，同比下降30.93% 盈利能力下降,面包财经
1457,2020-08-12,【财报智读】华鲁恒升：2020年上半年归母净利润9.04亿元，同比下降30.93% 盈利能力下降,面包财经
1458,2020-08-12,5股获买入评级 最新:晨鸣纸业,中财网
1459,2020-08-11,化工行业周报：聚氨酯产业链价格大幅上涨 积极增配化工,新浪
1460,2020-08-11,华鲁恒升(600426.SH)：上半年净利降30.93%至9.04亿元 盈利能力下降,格隆汇
1461,2020-08-11,华鲁恒升：上半年净利润同比减少30.93% 盈利能力下降,Wind
1462,2020-08-11,中国化学多个项目建设取得积极进展,新华网
1463,2020-08-11,化工行业周报：油价小幅震荡 继续关注基建材料及近消费端细分领域,新浪
1464,2020-08-11,【国金化工】华鲁恒升点评——产品销售回升，费用下行，二季度表现超预期（2020-08-11）,点石化金
1465,2020-08-10,化工周报：化工景气指数提升 涨价+成长增量题材领涨,新浪
1466,2020-08-10,生意社：8月10日山东华鲁恒升液氨报价调涨,生意社
1467,2020-08-10,石油化工/基础化工行业周报(第三十二周),新浪
1468,2020-08-10,化工行业周报：关注轮胎行业正在进行的两大变化,新浪
1469,2020-08-10,化工行业研究周报：纯碱价格大幅上涨 MDI、TDI继续走强,新浪
1470,2020-08-09,化工行业研究：看好化工高成长公司迎来戴维斯双击 关注维生素独立行情,新浪
1471,2020-08-08,【方正化工】化工周报：万华MDI挂牌价大幅上调，玲珑再登亚洲品牌500强榜单,靠谱化工股
1472,2020-08-08,中泰化工周度观点20W31：间苯二胺价格上调 关注染料产业链,新浪
1473,2020-08-08,化工行业周报：经济数据回暖提振石油需求 万华化学成立船舶运营公司,新浪
1474,2020-08-07,生意社：8月7日山东华鲁恒升液氨报价暂稳,生意社
1475,2020-08-05,晚间重要公告2020年8月5日星期三,Wind
1476,2020-08-05,华鲁恒升(600426.SH)部分生产装置停车检修,格隆汇
1477,2020-08-05,华鲁恒升：对一套煤气化装置及部分产品生产装置进行停车检修,Wind
1478,2020-08-04,化工行业周报：MDI、TDI价格上涨 积极增配优质周期成长股,新浪
1479,2020-08-04,化工行业8月策略：看好化工核心资产及景气底部有望改善板块,新浪
1480,2020-08-03,印度尿素招标掀起波澜，尿素期现货价格齐现大涨,Wind
1481,2020-08-03,石油化工／基础化工行业周报(第三十一周),新浪
1482,2020-08-03,化工行业周报：经济继续强势复苏 看好萤石价值与MDI后市行情,新浪
1483,2020-08-03,化工行业周报：内外资重仓演变 投资理念有何变化？,新浪
1484,2020-08-03,化工行业周报：MDI及TDI大涨；继续推荐成长型周期白马股,新浪
1485,2020-07-30,华峰氨纶(002064)半年报点评：上半年业绩略超预期 产能提升扩大成本优势,新浪
1486,2020-07-28,基础化工：油价上涨 丁二烯、MDI-50、R125、环氧树脂、软泡聚醚等产品价格上涨,新浪
1487,2020-07-28,透视7月以来“悄然”上涨的化工行业,Wind
1488,2020-07-28,基础化工行业研究：2020年2季度基金配置比例回暖 但仍处低点,国金证券股份有限公司
1489,2020-07-27,大宗指南第8期：周期品周度运行变化,新浪
1490,2020-07-27,【国金化工】2020年2季度基金配置比例回暖，但仍处低点 (2020-07-27),点石化金
1491,2020-07-27,化工行业周报：做时间的朋友 如何看待化工行业“龙头的进阶”？,新浪
1492,2020-07-27,化工行业周报：重视复利的力量 重视成长型的白马股,新浪
1493,2020-07-26,中泰化工周度观点：科思创及陶氏半年报发布 看好聚氨酯需求回暖,新浪
1494,2020-07-25,【方正化工】化工周报：涤纶长丝、PTA价格上涨，化工龙头迎来布局良机,靠谱化工股
1495,2020-07-25,棕榈油王者归来，糊树脂继续上涨【西南化工周观点】,化工林谈
1496,2020-07-24,化工行业周观点：棕榈油王者归来 糊树脂继续上涨,西南证券
1497,2020-07-24,化工行业：当前时点化工品中观景气数据表现如何？,广发证券
1498,2020-07-23,化工点评报告：2020Q2基金持仓化工比例回升 内外资集中增持细分龙头,新浪
1499,2020-07-23,乘风破浪周期之化工篇：拥抱周期成长龙头,赵辰看周期
1500,2020-07-23,基础化工行业周报：PPI从环比转正趋向同比转正 加配化工正当时,光大证券
1501,2020-07-23,化工行业点评报告：化工的行情走到哪了？,新浪
1502,2020-07-22,鲁西化工(000830)：拟向中化投资定增 增加资本实力、进一步增强中化集团的控制力,新浪
1503,2020-07-22,化肥农药板块异动，鲁西化工冲击涨停、华鲁恒升跟涨,Wind
1504,2020-07-20,化工行业周报：油价稳定 关注周期龙头、基建材料及近消费端细分领域,新浪
1505,2020-07-20,化工周报：至暗时刻已过 需求陆续复苏 强推具备阿尔法龙头标的,新浪
1506,2020-07-20,化工行业周报：当前化工板块中还有哪些价值洼地？,新浪
1507,2020-07-20,恐惧还是贪婪？不惧市场回调，16股再创历史新高！,券商中国
1508,2020-07-17,化工行业周观点：糊树脂、DMC价格上涨 关注化工龙头投资价值,西南证券
1509,2020-07-17,【异动股】社保重仓板块拉升，华鲁恒升(600426-CN)涨8.24%,财华社
1510,2020-07-14,化工行业研究周报：PVC树脂糊大幅上涨 关注周期股估值修复机会,新浪
1511,2020-07-13,化工行业周报：洪湖一泰中间体停产 草铵膦价格上行 经营问题,新浪
1512,2020-07-11,中泰化工周度观点20W28：成品油出口权下发 建议关注民营炼化,新浪
1513,2020-07-08,长江期货：农业刚需支撑 尿素价格坚挺或有调涨预期,新浪
1514,2020-07-07,华鲁恒升涨6.13%，股价创历史新高,证券时报网
1515,2020-07-06,化工行业周报：焦炭炭黑价格持续上涨 周期股迎来估值修复机会,新浪
1516,2020-07-06,基础化工行业周报：关注低估值及较高成长性的二线蓝筹,光大证券
1517,2020-07-04,化工行业周度观点：PVC糊树脂持续大涨 关注相关产业链机会,新浪
1518,2020-07-02,乙二醇早盘分析：成本端支撑较强 需求方面仍不及 行情宽幅震荡,新浪
1519,2020-07-02,华鲁恒升专利纠纷一审败诉，三聚氰胺生产线或受影响 诉讼纠纷,中金在线
1520,2020-07-02,基础化工2020年中期投资策略：沉舟侧畔 黎明初现,新浪
1521,2020-07-02,尿素策略周报：尿素需求乏力 低位震荡,新浪
1522,2020-07-02,化工行业7月投资策略：看好低估值、涨价确定性高的周期化工品,新浪
1523,2020-07-01,化工行业专题：盈利增速阶段性见底 估值有望修复,新浪
1524,2020-06-30,华鲁恒升：副总经理董岩因工作调整辞职 董监高成员变化,Wind
1525,2020-06-29,基础化工行业周报：有机硅下游产品价格上涨明显,新浪
1526,2020-06-28,大宗指南：周期品周度运行变化,新浪
1527,2020-06-28,中泰化工周度观点20W26：拜耳达成草甘膦主要诉讼和解、万华眉山新材料公示,新浪
1528,2020-06-24,岁寒知松柏：需求回升 精选龙头和赛道,新浪
1529,2020-06-24,虫害肆虐，粮食安全藏隐患，A股影响几何？,Wind
1530,2020-06-23,化工行业专题研究：翻多 向2年的景气下行告别,新浪
1531,2020-06-23,聚酯PTA&MEG日报：聚酯产销仍仅在5成上下,新浪
1532,2020-06-22,化工行业2020年中期策略报告：静待需求起、拥抱“阿尔法”,新浪
1533,2020-06-22,化工周报：国瓷定增引入高瓴 饲料禁抗令7月实施,新浪
1534,2020-06-22,化工2H20投资策略：把握价格反弹与需求趋势增长的确定性,新浪
1535,2020-06-19,2020年三季度股票组合,新浪
1536,2020-06-19,华鲁恒升乙二醇减产有新方向,生意社
1537,2020-06-18,周期产业重大事项点评：重提供给侧改革 利好周期产业估值修复,新浪
1538,2020-06-17,基础化工行业2020年中期投资策略：否极泰来 基础化工龙头进入战略配置期,新浪
1539,2020-06-17,2020年基础化工行业中期投资策略：油价企稳周期回暖 关注优质近消费端及新材料龙头,新浪
