,2021-12-31,版权工作“十四五”规划出台，A股多家公司已布局产业链,新浪
1264,2020-11-17,芒果超媒(300413)公司信息更新报告：阿里创投或成第二大股东 多业务协同可期,新浪
1265,2020-11-17,【民生传媒】阿里创投递交投资申请，资金补充+业务协同双重利好——芒果超媒跟踪点评,MS互联网传媒
1266,2020-11-17,快乐购完成62亿人民币战略融资,亿邦动力
1267,2020-11-17,拟62亿战略入股，阿里创投或成芒果超媒第二大股东,网易
1268,2020-11-17,芒果超媒(300413)阿里意向受让股权，有望推动电商业务协同及双平台协同创新新阶段,杨仁文研究笔记
1269,2020-11-17,有意62亿战略入股，阿里创投将成芒果超媒二股东,时代在线
1270,2020-11-17,传媒行业“双11”复盘：狂欢依旧 关注电商内容化趋势和下沉市场增量,新浪
1271,2020-11-17,阿里拟投芒果 长视频行业的竞争格局将新增变数,36氪
1272,2020-11-17,【开源传媒|点评】芒果超媒：阿里创投或成第二大股东，多业务协同可期,文娱透光镜
1273,2020-11-17,芒果TV获阿里创投62亿元入股，长视频迎新战局,AI财经社
1274,2020-11-17,这个60多亿元的“绣球”，阿里举手来接，芒果超媒将迎超级战投,中国证券网
1275,2020-11-17,阿里62亿入资芒果，西瓜明年投入50亿，长视频战场或迎来终局,36氪
1276,2020-11-17,【东北传媒宋雨翔/钱熠然】行业深度：“双11”复盘——狂欢依旧，关注电商内容化趋势和下沉市场增量,东北证券研究所
1277,2020-11-17,阿里创投拟62亿元受让芒果超媒5.26%股权,上证报
1278,2020-11-17,芒果超媒拟出让5.26%股权 引入阿里当二股东 减持股份,证券时报
1279,2020-11-16,《浪姐》大火，芒果超媒将获阿里62亿注资，占股5.26%,奥一网
1280,2020-11-16,阿里创投有意入局芒果超媒，或成第二大股东,澎湃新闻
1281,2020-11-16,芒果超媒拟超60亿元引战投，阿里创投或成受让方,第一财经
1282,2020-11-16,阿里创投有意受让芒果超媒(300413.SZ)控股股东所持公司部分股权,智通财经
1283,2020-11-16,晚间要闻2020年11月16日星期一,Wind
1284,2020-11-16,公告精选：阿里创投有意受让芒果超媒部分股权；海大集团拟提前赎回“海大转债”,e公司
1285,2020-11-16,芒果超媒(300413.SZ)：阿里创投意向受让控股股东所持5.26%股份,格隆汇
1286,2020-11-16,芒果超媒：阿里创投意向受让公司总股本的5.26%,新浪
1287,2020-11-16,芒果超媒：阿里创投意向受让控股股东所持公司部分股权,e公司
1288,2020-11-16,芒果超媒：阿里创投意向受让公司5.26%股权,Wind
1289,2020-11-15,传媒行业周报2020年45期：直播电商势头强劲 10月游戏市场景气度持续提升,新浪
1290,2020-11-14,传媒行业三季报总结：整体净利润持续改善 广告、视频龙头增长强劲,广发证券
1291,2020-11-13,最前线 | 阿里拟投资芒果，长视频行业或迎来新一轮震荡,36氪
1292,2020-11-13,【东北传媒宋雨翔/钱熠然】芒果超媒（300413）事件点评：阿里拟62亿元入资，战略协同第二增长曲线腾飞,东北证券研究所
1293,2020-11-12,传媒行业周报：快手抢占“短视频第一股” 双十一直播预售创纪录,新浪
1294,2020-11-12,传媒行业三季报业绩回顾：营销、视频龙头亮眼 院线渐回暖,新浪
1295,2020-11-11,互联网传媒行业周观点：11月首批下发78个国产游戏版号 博纳影业首发过会,新浪
1296,2020-11-11,影视传媒行业周报：爱奇艺上调会员费 芒果引入新战投,西南证券
1297,2020-11-10,互联网传媒周报：广告复苏分化 游戏新渠道新品类机会仍存,新浪
1298,2020-11-10,传媒周报：长视频迎来涨价 游戏呈现低估值 内容电商代表快手拟上市,新浪
1299,2020-11-10,传媒行业周报：视频会员或进入提价周期 广告刊例价同比增长,新浪
1300,2020-11-09,互联网传媒行业周观点：三季报收官 出版、影视院线Q3恢复显著,新浪
1301,2020-11-08,传媒行业：板块近期表现平淡,新浪
1302,2020-11-07,华宇软件引入重要战投中移资本,上证报
1303,2020-11-06,20Q3传媒行业基金持仓报告：持仓配置比例下滑 机构加仓分众,新浪
1304,2020-11-06,芒果超媒(300413)三季报点评：季风计划台网齐发力 小芒电商打造新增长点,国金证券股份有限公司
1305,2020-11-06,芒果超媒(300413)2020年三季报点评：Q3业绩超预期“季风剧场”值得期待“小芒电商”明年初上线,光大证券
1306,2020-11-05,芒果超媒45亿元定增股票申请获深交所受理,中金网
1307,2020-11-05,传媒行业周报：三季报喜忧参半 甄选标的结构性机会犹存,华安证券
1308,2020-11-05,传媒行业周报：芒果Q3业绩超预期 猿辅导再获22亿美元融资,新浪
1309,2020-11-04,传媒行业2021年投资策略：是改变 更是机会,西南证券
1310,2020-11-04,影视传媒行业周报：新英体育版权壁垒加深 西甲版权延至2029年,西南证券
1311,2020-11-04,2020Q3传媒行业公募重仓跟踪：行业超配比例回落 分众传媒位列重仓榜首,广发证券
1312,2020-11-04,芒果超媒(300413.SZ)：定增申请获深交所受理,格隆汇
1313,2020-11-04,【传媒】芒果超媒（300413）：整体业绩表现亮眼，平台运营效率提升，剧集电商新生态蓄势待发,天风研究
1314,2020-11-04,【传媒*张良卫】营销及视频龙头业绩超预期，游戏增速阶段调整不改成长本色,东吴研究所
1315,2020-11-03,芒果超媒(300413)：Q3业绩亮眼 芒果内容生态建设持续加码,新浪
1316,2020-11-03,传媒行业周报：业绩稳健不必悲观 继续推荐游戏、视频龙头,新浪
1317,2020-11-03,2020年11月金股组合：兴证策略&多行业,新浪
1318,2020-11-02,传媒行业周报：我们将知识付费、教育与广义出版列为并行的内容延伸,新浪
1319,2020-11-02,11月200只券商金股大梳理，哪类股热度最高,证券时报网
1320,2020-11-02,芒果超媒(300413)2020年三季报点评：内容矩阵构筑护城河 业务新生态持续拓展,新浪
1321,2020-11-01,60亿元股份由BAT接手？芒果超媒董事长：符合条件的都欢迎,上证报
1322,2020-11-01,芒果超媒(300413)：高性价比头部内容集中爆发驱动Q3业绩强劲增长 短中长期成长均有看点,新浪
1323,2020-11-01,三季度落地影视院线及营销环比呈回暖 十四五提出打造文化强国（周观点）,拾珠传媒新消费
1324,2020-11-01,直播带货坠落？14部门联合整治 万亿市场别掉进电视购物老坑,网易
1325,2020-10-31,【开源传媒|点评】芒果超媒：内容壁垒助力业绩大增，新赛道拓宽成长空间,文娱透光镜
1326,2020-10-31,【中泰传媒】芒果超媒三季报点评：业绩增速达预告上限，综艺稳固龙头地位，影视剧迎头赶上,传媒产业大视点
1327,2020-10-30,芒果超媒：控股股东拟协议转让公司5.26%股份 减持股份,e公司
1328,2020-10-30,芒果超媒(300413.SZ)控股股东芒果传媒拟协议转让公司9364.79万股,智通财经
1329,2020-10-30,芒果超媒(300413.SZ)：控股股东拟协议转让5.26%的股份公开征集受让方 减持股份,格隆汇
1330,2020-10-30,芒果超媒：控股股东拟通过公开征集受让方的方式协议转让5.26%股权 减持股份,36氪
1331,2020-10-30,芒果超媒：控股股东拟以不低于66.23元/股转让总股本5.26%,格隆汇
1332,2020-10-30,芒果超媒：芒果传媒拟转让其持有的5.26%公司股份 资产异常,Wind
1333,2020-10-30,芒果超媒的秘密,环球老虎财经
1334,2020-10-30,芒果超媒(300413)：3Q20核心业务表现强劲 深筑内容护城河 积极探索新业态,新浪
1335,2020-10-30,芒果超媒Q3净利同比增长197%，日活超优酷成为长视频黑马,经济观察网
1336,2020-10-30,芒果超媒（300413）三季报|2020Q3扣非利润增184% 芒果模式向上内容续写中国融媒体力量,拾珠传媒新消费
1337,2020-10-30,25公司获得推荐评级-更新中,中财网
1338,2020-10-30,芒果超媒(300413)：净利润同比高增长 “季风计划”及电商进展值得关注,新浪
1339,2020-10-30,芒果超媒三季报业绩超预期,上证报
1340,2020-10-29,芒果超媒前三季净利逾16亿 小芒电商APP预计明年初上线,证券时报
1341,2020-10-29,芒果超媒(300413.SZ)：前三季净利升65.39%至16.12亿元,格隆汇
1342,2020-10-29,芒果超媒(300413.SZ)第三季度归母净利润同比增长197.41%至5.09亿元,智通财经
1343,2020-10-29,芒果超媒：前三季度净利润同比增长65.39%,Wind
1344,2020-10-29,【新时代传媒】芒果超媒（300413.SZ）：Q3归母净利同比增长197.41%，持续看好公司内容电商布局发展,关爱传媒成长小分队
1345,2020-10-29,明星基金经理青睐白酒、地产等板块，港股持仓明显增加,Wind
1346,2020-10-28,传媒行业周报2020年42期：双十一预售直播电商火爆 推荐MCN相关标的,新浪
1347,2020-10-28,白马闪崩、妖债横行，下阶段资金将如何配置？,第一财经
1348,2020-10-28,七大金牛基金经理加仓这些股！接下来打算这么操作,中证报
1349,2020-10-26,互联网传媒周报：关注线下回暖 游戏中长动能仍在但格局将进一步变化,新浪
1350,2020-10-26,机构重仓股跟踪周报,新浪
1351,2020-10-26,传媒行业周报：游戏买量成本上涨仅是短期波动行业长期需求向上 《金刚川》表现抢眼,新浪
1352,2020-10-23,引战投加码内容自制 芒果超媒定增案获股东会通过,证券时报网
1353,2020-10-22,媒体Ⅱ行业周报：从虎牙斗鱼合并看游戏直播的未来,新浪
1354,2020-10-21,芒果超媒(300413)：如何进化？,新浪
1355,2020-10-21,传播与文化行业研究：《荣耀大天使》获版号 关注芒果季风剧场,国金证券股份有限公司
1356,2020-10-21,【新时代传媒团队】芒果超媒：三季度业绩预增150%-208%，芒果季风助力内容生态拓展,新时代证券研究
1357,2020-10-21,【早安新时代】晨会早读2020/10/21： 今日关注捷捷微电、芒果超媒、长信科技,新时代证券研究
1358,2020-10-20,传媒互联网十月投资策略：国庆档恢复良好 关注三季报板块业绩表现,新浪
1359,2020-10-20,传媒行业周报：游戏蛰伏中布局 直播电商和芒果继续加码,新浪
1360,2020-10-20,互联网传媒周报：分众芒果20Q3业绩超预期 游戏进入新品兑现阶段,新浪
1361,2020-10-19,文化传媒行业周报：行情继续低迷 关注业绩优秀龙头个股,渤海证券
1362,2020-10-19,传媒行业周报：Q4迎来营销旺季 关注直播电商、楼宇广告投资机会,新浪
1363,2020-10-19,机构重仓股跟踪周报,新浪
1364,2020-10-19,传媒行业投资策略周报：芒果、分众三季报业绩超预期 三七互娱《荣耀大天使》版号获批,广发证券
1365,2020-10-19,芒果超媒：长视频黑马仍需更多惊喜验证高估值,新浪
1366,2020-10-18,传媒行业周报2020年41期：三季报业绩预告披露完成 看好游戏板块未来表现,新浪
1367,2020-10-16,芒果超媒(300413)：Q3业绩预告大超预期 核心业务高歌猛进 商业模式持续升级,新浪
1368,2020-10-16,芒果超媒(300413)2020Q3业绩预告点评：Q3业绩超预期 成长逻辑不断验证,新浪
1369,2020-10-16,芒果超媒：Q3业绩超预期，成长逻辑不断验证 || 【国信传媒】,观媒万象
1370,2020-10-16,【传媒-焦娟】芒果超媒：前三季度净利预增57%-67%，业绩超预期,安信证券研究
1371,2020-10-15,【开源传媒互联网|周观点】游戏出海竞争力仍在提升，芒果超媒业绩或超预期,文娱透光镜
1372,2020-10-15,芒果超媒(300413)：内容自制优势持续验证，静待剧集及电商启航,杨仁文研究笔记
1373,2020-10-15,芒果超媒(300413)：Q3业绩预告超预期 内容优势显着,新浪
1374,2020-10-15,芒果超媒(300413)2020年前三季度业绩预告点评：业绩超预期 现象级综艺及热门剧集带动会员及广告增长,光大证券
1375,2020-10-15,芒果超媒前三季度业绩大增！股价大涨近7%再创新高,重庆商报
1376,2020-10-15,【开源传媒|点评】芒果超媒：剧集综艺优势助力业绩大增，商业模式全面开花,文娱透光镜
1377,2020-10-15,芒果超媒：预计前三季度净利润15.3亿至16.3亿元,TechWeb
1378,2020-10-15,【开源传媒互联网|点评】芒果超媒：精品内容奠定增长基石，小芒电商未来可期,文娱透光镜
1379,2020-10-15,芒果超媒业绩持续乘风破浪 前三季净利同比预增约六成,证券日报
1380,2020-10-14,芒果超媒：前三季度预计净利润同比增长56.99%~67.25%,Wind
1381,2020-10-14,芒果超媒：三季度业绩预增149.52%-208.01%,Wind
1382,2020-10-14,长视频遭遇前所未有危机！爱奇艺、腾讯、芒果寻路,21世纪经济报道
1383,2020-10-14,奈飞十年百倍后，中国的奈飞在哪儿？,格隆汇
1384,2020-10-14,芒果超媒股价创新高,中证网
1385,2020-10-14,宁德时代、芒果超媒双双大涨并创新高，创业板指、创业板综指均翻红,Wind
1386,2020-10-13,策略系列：一周策略回顾与展望,新浪
1387,2020-10-13,A股互联网传媒行业2020年三季报业绩前瞻：楼宇媒体复苏超预期 视频龙头维持高景气 游戏有分化,新浪
1388,2020-10-13,开盘9分钟跌停！27家机构力推的游戏龙头股怎么了？,中证报
1389,2020-10-12,互联网传媒周报：三季报临近 视频游戏和楼宇媒体龙头预计较高景气,新浪
1390,2020-10-12,传媒行业周报：国庆档符合预期 中长期看好电影行业,华安证券
1391,2020-10-12,传媒行业月度报告：国庆档顺利收官 关注Q4新游戏上线及双11营销板块催化,新浪
1392,2020-10-12,传媒行业周报：新游上线纷至沓来 直播电商风云再起,新浪
1393,2020-10-11,10月份A股布局时机再现？券商研判市场呈震荡上行趋势，“扎堆热捧”五粮液、中国平安等多只金股,证券日报
1394,2020-10-09,月度金股报告：10月金股配置 增配金融、周期,新浪
1395,2020-10-09,开源证券：9月金股组合亏损5.2% 10月荐股名单出炉 亏损,新浪
1396,2020-10-09,芒果超媒：有开发系列盲盒产品,Wind
1397,2020-10-09,芒果超媒(300413)：拥抱变化的优质头部内容平台,华安证券
1398,2020-10-09,10月金股有哪些？券商看好2大主线（名单）,21世纪经济报道
1399,2020-10-09,东北证券：四季度电商掘金季 积极拥抱行业大趋势投资机会（附股）,证券时报网
1400,2020-10-09,【东北传媒宋雨翔】专题：Q4电商掘金季，积极拥抱行业大趋势投资机会,东北证券研究所
1401,2020-10-07,券商推出最新金股组合，金融、周期持续占优,上证报
1402,2020-10-07,上月惨遭滑铁卢！痛定思痛，券商推出最新金股组合，速看！,上证报
1403,2020-10-06,"传媒行业深度报告：Q4电商掘金季,积极拥抱行业大趋势投资机会，维持“优大于势”行业评级",东北证券
1404,2020-10-01,券商9月“金股”含金量大比拼：4成跑赢大盘，仅山西证券获正收益，申万宏源连续6个月掉队！10月谁能逆袭成功？,每日经济新闻
1405,2020-09-30,国庆档新片预售总票房超3亿元 电影市场有望恢复常态 丨牛熊眼,第一财经
1406,2020-09-30,高性价比芒果超媒：定增45亿后 内容成本依旧不及爱奇艺一半,21世纪经济报道
1407,2020-09-30,传媒周报2020第30期：国庆档临近关注票房 游戏行业渠道多元化内容取胜,新浪
1408,2020-09-30,创业板指、创业板综指双双翻绿，芒果超媒、华峰超纤跌超3%,Wind
1409,2020-09-30,传媒行业深度报告：Q4电商掘金季 积极拥抱行业大趋势投资机会,新浪
1410,2020-09-30,传媒行业研究：Q4电商掘金季 积极拥抱行业大趋势投资机会,新浪
1411,2020-09-30,32股获券商买入评级，富满电子目标涨幅达97.77%,Wind
1412,2020-09-30,【东北传媒宋雨翔】芒果超媒（300413）事件点评：定增+协议转让，战略协同可期,东北证券研究所
1413,2020-09-30,芒果超媒(300413)：优质内容成体系的持续输出能力是核心价值所在,新浪
1414,2020-09-29,马笑|新时代证券：从配置中验证谁是传媒板块真龙头,关爱传媒成长小分队
1415,2020-09-29,文化传媒行业周报：十一档即将开始 关注龙头个股的中长线价值,渤海证券
1416,2020-09-29,芒果超媒两年拟投40亿扩充资源库 中国传媒行业运行现状分析2020,长江商报
1417,2020-09-29,芒果超媒计划拟定增募资45亿元，40亿元用于内容资源库扩建项目,DoNews
1418,2020-09-29,26股获券商买入评级，芯源微目标涨幅达55.56%,Wind
1419,2020-09-29,【传媒】芒果超媒（300413）：协议转让+定增芒果系再融资百亿，拟引进战投长视频格局有望迎来重塑,天风研究
1420,2020-09-29,湖南广电资本运作大幕开启 电广传媒向“5G+投资+文旅”战略转型,证券日报
1421,2020-09-28,千亿芒果超媒又一资本大动作 45亿定增+60亿协议转让引战投,新浪
1422,2020-09-28,极米科技：三处财务数据对不上，两度被判销售欺诈 欺诈造假,新浪
1423,2020-09-28,【万联TMT-传媒 | 事项点评】芒果超媒：45亿定增预案+拟引入战投，看好芒果后续发展动能,万联证券研究所
1424,2020-09-28,芒果超媒(300413)公司信息更新报告：拟定增及引战 巩固内容优势 生态建设再加码,新浪
1425,2020-09-28,芒果超媒(300413)：定增加码内容布局 锐意进取持续拓宽业务边界,新浪
1426,2020-09-28,芒果超媒(300413.SZ)拟定增募资不超45亿元用于内容资源库扩建项目等,格隆汇
1427,2020-09-28,芒果超媒(300413)2020年协议转让及定增方案点评：定增和协议转让引战投 芒果生态持续生长,光大证券
1428,2020-09-28,互联网传媒周报：游戏渠道内容议价力有望改变,新浪
1429,2020-09-28,传媒互联网周报：“全国一网”取得突破性进展 推荐游戏、电商及广告,光大证券
1430,2020-09-28,芒果超媒将定增募资45亿元 湖南广电仍为大股东,经济观察网
1431,2020-09-28,【民生传媒】芒果超媒：定增拟募资金45亿，芒果传媒拟转让总股本5.3%引入战略股东,MS互联网传媒
1432,2020-09-28,影视股拉升，芒果超媒、光线传媒、华谊兄弟领涨,Wind
1433,2020-09-28,传媒周观点39期：游戏CP受益逻辑持续兑现,新浪
1434,2020-09-28,【中泰传媒】游戏行业点评：用户认知提升，渠道多元化，优质内容迎春天,传媒产业大视点
1435,2020-09-28,9月28日盘前重要公司新闻,上证报
1436,2020-09-28,上市公司正负面新闻2020年9月28日星期一,Wind
1437,2020-09-28,芒果超媒拟定增募资45亿元 湖南广电抛5.26%股权引战投,上证报
1438,2020-09-27,公告精选丨秦安股份两日期货投资平仓亏损1.06亿元；芒果超媒拟定增募资不超45亿元,21世纪经济报道
1439,2020-09-27,湖南广电抛“绣球” 芒果超媒协议转让5.26%股权引战投 资产异常,上证报
1440,2020-09-27,芒果超媒拟定增募资不超45亿元 加码主业,上证报
1441,2020-09-27,传媒行业投资策略周报：精品游戏冲击渠道分账 《姜子牙》获国庆档预售冠军,广发证券
1442,2020-09-27,晚间重要公告2020年9月27日星期日,Wind
1443,2020-09-27,芒果超媒(300413.SZ)控股股东拟征集受让5.26%公司股份,格隆汇
1444,2020-09-27,芒果超媒(300413.SZ)拟定向增发不超9370.4万股募集不超45亿元,智通财经
1445,2020-09-27,芒果超媒：控股股东芒果传媒拟转让其持有的公司5.26%股权 减持股份,36氪
1446,2020-09-27,芒果超媒：拟定增募资不超45亿元 控股股东拟协议转让5.26%股权 减持股份,新浪
1447,2020-09-27,芒果超媒：控股股东拟转让5.26%股份,Wind
1448,2020-09-27,【新时代传媒】芒果超媒（300413.SZ）：三季度业绩预增150%-208%，芒果季风助力内容生态拓展,关爱传媒成长小分队
1449,2020-09-27,传媒行业周报：国庆档预售破亿可关注三四季报业绩环比回暖板块(推荐),国海证券
1450,2020-09-27,传媒互联网周报：新一批网游版号下发 国庆档临近关注票房表现,新浪
1451,2020-09-27,传媒行业周报2020年第38期：休闲游戏市场蓬勃发展 看好国庆档优质电影优质供给,新浪
1452,2020-09-27,【新时代传媒团队】芒果超媒：三季度业绩预增150%-208%，芒果季风助力内容生态拓展,新时代证券研究
1453,2020-09-26,“巨无霸”接连登陆A股，千亿市值公司增至108家,Wind
1454,2020-09-25,核心公募基金公司持仓分析,新浪
1455,2020-09-25,千亿市值起步 “后浪”追捧的芒果超媒一路疾驰,证券市场周刊
1456,2020-09-24,传媒行业周报：板块影游新片、产品密集上线,新浪
1457,2020-09-24,12股获券商买入评级，华荣股份目标涨幅达68.94%,Wind
1458,2020-09-23,【民生传媒】芒果超媒：湖南卫视举办2021年招商会，“季风计划”短剧模式引领行业生态,MS互联网传媒
1459,2020-09-23,民族品牌指数涨1.21% 芒果超媒上涨8.59%,中国证券网
1460,2020-09-23,民族品牌指数涨1.64% 芒果超媒上涨9.11%,中国证券网
1461,2020-09-23,A股早报2020年9月23日星期三,Wind
1462,2020-09-22,芒果TV在盈利中日活超优酷，凭什么？,21世纪经济报道
1463,2020-09-22,互联网传媒行业周报：楼宇媒体继续复苏 游戏国内迎来新品高峰,新浪
1464,2020-09-21,传媒周报：布局10.1双11影视与电商板块机会 游戏调整建议逢低加配,新浪
1465,2020-09-21,传媒互联网行业数据月报：8月游戏市场规模环比稳中有升 电影市场逐步恢复,新浪
1466,2020-09-20,传媒行业周报：《夺冠》提档迎国庆 假期有望助推线上与线下内容消费共荣(推荐),国海证券
1467,2020-09-18,传媒周报2020第28期：市场波动 关注子行业复苏及行业基本面,新浪
1468,2020-09-17,方正传媒&海外｜芒果超媒 十篇系列报告两篇关键深度,杨仁文研究笔记
1469,2020-09-16,传媒互联网中期回顾暨9月投资策略：疫情影响上半年业绩表现，关注国庆档及游戏新品表现,国信研究
1470,2020-09-16,罗蔚：《乘风破浪的姐姐》热播 文化市场大有可为,南方财经网
1471,2020-09-15,33股获券商买入评级，常宝股份目标涨幅达61.74%,Wind
1472,2020-09-15,罗蔚：《乘风破浪的姐姐》热播 文化市场大有可为,财富动力网
1473,2020-09-14,视频|《浪姐》爆火，资本味的芒果“涨价”合理吗？,新浪
1474,2020-09-14,传媒行业2020年中报总结：2020H1线上互联经济表现亮眼，行业整体景气上行可期，维持“推荐”评级,格隆汇
1475,2020-09-14,互联网传媒周报：手游、楼宇媒体近期数据亮眼 小程序电商助推微信商业化,新浪
1476,2020-09-14,芒果超媒：发力电商业务的芒果未来估值如何看？,MS互联网传媒
1477,2020-09-13,传媒互联网周报：8月游戏市场规模稳中有升 广告需求趋势向好,新浪
1478,2020-09-12,芒果超媒(300413)：内容驱动 产业链变现空间广阔,新浪
1479,2020-09-11,[路演]芒果超媒：芒果TV还在酝酿《披荆斩棘的哥哥》等创新综艺以及一系列综N代,全景网
1480,2020-09-11,[路演]芒果超媒：智慧大屏业务已覆盖湖南、江苏、浙江等31个省级行政区域,全景网
1481,2020-09-11,创业板指涨幅扩大至2%，宁德时代、迈瑞医疗、芒果超媒普涨,Wind
1482,2020-09-11,15股获券商买入评级，招商蛇口目标涨幅达63.27%,Wind
1483,2020-09-10,传媒行业2020年中报总结：线上消费持续高景气 线下文娱板块回暖进行时,新浪
1484,2020-09-10,传媒行业2020年中报总结：院线和影视业绩恢复弹性大 线上娱乐催化较多 教育兼备确定性和成长性,新浪
1485,2020-09-10,传媒行业周报2020第27期：半年报过后关注各行业底部反转进度 影院票房复苏势头强劲,新浪
1486,2020-09-09,沪指失守3300点 仍存进一步震荡盘整可能,大众证券报
1487,2020-09-09,【早安新时代】晨会早读2020/09/09：今日关注芒果超媒、长沙银行、中公教育,新时代证券研究
1488,2020-09-08,芒果超媒(300413)跟踪点评：姐姐综艺迎来成团 芒果电商逐步发力 持续看好芒果生态成长,创业板
1489,2020-09-08,北上资金大手笔杀回马枪、创业板成交超主板……,e公司
1490,2020-09-08,传媒行业周报：前瞻性布局国庆档及直播电商产业链,新浪
1491,2020-09-08,互联网传媒行业周观点：9月首批游戏版号下发 数部新片定档进一步激活观影市场,新浪
1492,2020-09-08,影视公司半年报：业绩承压、股价新高、明星收入也骤降 盈利能力下降,钛媒体
1493,2020-09-08,《浪姐》收官，千亿市值的芒果超媒“撑得住”吗?,环球老虎财经
1494,2020-09-07,浪姐收官，芒果要凉？,全景网
1495,2020-09-07,传媒行业周报：内容供给逐步增加 电影院线加快复苏脚步,新浪
1496,2020-09-07,发生了什么？A股突然跳水：芯片、猪肉股齐杀跌！,中国基金报
1497,2020-09-07,【A股收盘综述】“炒小不炒大”，创业板综指跌1.6%成交金额3548亿元创新高,Wind
1498,2020-09-07,爆款节目收官 芒果超媒盘中跌约7%,e公司
1499,2020-09-07,互联网传媒周报：线下持续复苏 美国禁令细则将公布,新浪
1500,2020-09-07,传媒：重点影片陆续定档看好电影市场票房复苏，关注芒果超媒电商业务布局,中信建投
1501,2020-09-07,创业板综指转跌，宁德时代跌近7%、芒果超媒跌超5%,Wind
1502,2020-09-07,《乘风破浪的姐姐》成团出道 盘点爆款综艺背后的资本赢家,证券日报
1503,2020-09-06,传媒互联网周报：新一批国产网游版号下发 电影票房逐步恢复,新浪
1504,2020-09-06,传媒行业周报：国庆档预热院线回暖可期 抖音B站加码内容助推平台与内容的共赢,国海证券
1505,2020-09-06,传媒行业周报：各平台方变现方式趋同(广告、游戏、电商)且变现方式均有升级,新浪
1506,2020-09-05,传媒行业：持续看好线上娱乐消费及线下场景复苏的投资机会,财富动力网
1507,2020-09-03,A股互联网传媒行业2020年中报总结：游戏、新媒体持续高景气 线下场景不同程度复苏,新浪
1508,2020-09-03,《浪姐》爆火的背后，芒果超媒千亿市值隐患凸显,云掌财经
1509,2020-09-02,五粮液现身多家券商9月金股榜，芒果超媒、智飞生物也受捧，机构称A股市场震荡中枢有望抬升,证券日报
1510,2020-09-02,券商金股出炉！看“金九月”如何布局？,上证报
1511,2020-09-01,文化传媒行业周报：影视板块企稳 直播带货进入洗牌期,新浪
1512,2020-09-01,传媒行业周报：《八佰》热映引爆市场 游戏中报超预期,新浪
1513,2020-09-01,券商圈点9月金股，看好大消费大金融板块,Wind
1514,2020-08-31,券商9月展望：结构性行情可期，太阳纸业、芒果超媒、五粮液最被看好,第一财经
1515,2020-08-31,十大券商9月展望：结构性行情可期（附金股）,中证网
1516,2020-08-31,十大券商9月展望：结构性行情可期，把握经济复苏主线，掘金顺周期个股（附金股）,中证报
1517,2020-08-31,芒果超媒(300413)：会员业务高速增长 未来看剧集和电商持续发力,光大证券
1518,2020-08-31,机构重仓股跟踪周报,新浪
1519,2020-08-31,传媒行业周报：芒果剧集内容发力明显 中公报名人次高增长,新浪
1520,2020-08-31,芒果超媒（300413）2020年中报点评：“破圈”进行时，“多元”变现打开新成长空间,国信研究
1521,2020-08-31,影视传媒行业周报：多方组建广电网络股份 国网融合迈出关键一步,西南证券
1522,2020-08-29,《浪姐》开路！芒果超媒跻身第一阵营 持续输出爆款成考验,时代在线
1523,2020-08-28,【财报智读】芒果超媒：中报归母净利润11.03亿，同比增逾三成,面包财经
1524,2020-08-28,【东北传媒宋雨翔】芒果超媒（300413）中报点评：优质内容保驾护航，上半年业绩乘风破浪,东北证券研究所
1525,2020-08-27,芒果超媒(300413)2020年中报点评：综艺&剧集齐发 强大内核驱动平台业务快速增长,新浪
1526,2020-08-27,芒果超媒(300413)2020年上半年业绩点评：业绩符合预期 剧集产能扩大 下半年内容储备丰富,新浪
1527,2020-08-27,芒果超媒(300413)2020年中报点评：发展引擎依然强劲 大芒计划助力生态破圈,新浪
1528,2020-08-27,【民生传媒】芒果超媒2020半年报点评：会员数量近2800万，长期看好电商“赛道”的第二增长曲线,MS互联网传媒
1529,2020-08-27,爱优腾芒发展之路：做不了奈飞，也难成迪士尼,DoNews
1530,2020-08-27,芒果超媒（300413）中报点评|收利润持续提升 有效会员2766万增加51% 芒果模式为核心的融媒体平台竞争优势再验证,拾珠传媒新消费
1531,2020-08-27,【面包财报】芒果超媒：2020年上半年归母净利润11.03亿元，同比增长37.3%,面包财经
1532,2020-08-27,【中泰传媒】芒果超媒中报点评：优质内容驱动会员付费转化和广告收入提升,传媒产业大视点
1533,2020-08-27,【开源传媒|点评】芒果超媒：会员收入大增，稳固自制内容壁垒，拓宽生态护城河,文娱透光镜
1534,2020-08-27,芒果超媒，传媒板块的下一个茅台？,每经网
1535,2020-08-26,会员收入大增80% 芒果超媒上半年净利超11亿元,上证报
1536,2020-08-26,从半年报看芒果超媒市值增长逻辑 半年净利润追去年全年 会员收入大增80%,时代在线
1537,2020-08-26,芒果超媒跟着《姐姐》乘风破浪：上半年净利接近去年全年，广告与会员收入均上涨,经济观察网
1538,2020-08-26,芒果超媒：上半年实现净利11.03亿元 会员收入同比增长逾8成,中证网
1539,2020-08-26,芒果超媒：上半年实现净利11亿接近去年全年 会员收入大增80%,证券时报
1540,2020-08-26,会员收入大增80% 芒果超媒上半年营收57.74亿,北京商报
1541,2020-08-26,芒果超媒发布半年报：上半年净利润11.04亿元 ，芒果TV有效会员数达2766万,DoNews
1542,2020-08-26,芒果超媒(300413.SZ)半年度净利润升37.3% 芒果TV有效会员数较年初增长50.57%,格隆汇
