,2021-12-31,全年收益率超过50%，这4家券商金股组合赢了！2022年1月部分热门标的个股已现身,每日经济新闻
2132,2020-09-04,又遭监管点名？保荐科前生物收警示函 招商证券被指内控薄弱 金融监管处罚,投资时报
2133,2020-09-04,【行情】港股中资券商股走低，招商证券与国泰君安跌超3%，中信证券与中州证券跌超2.6%,金十数据
2134,2020-09-04,大和升招商证券(06099-HK)目标价至11港元评级升至跑赢大市,财华社
2135,2020-09-04,券商跟投科创板浮盈超142亿元，31家另类投资子公司上半年大赚42亿元,Wind
2136,2020-09-04,券商跟投科创板浮盈超142亿元 31家另类投资子公司上半年大赚42亿元,证券日报
2137,2020-09-03,券商另类子公司成色几何？31家上半年赚了42亿,新浪
2138,2020-09-03,上海证券交易所2020年09月03日主板交易信息,上交所
2139,2020-09-03,招商证券(600999)：零售业务市场份额提升 配股助力业务转型,新浪
2140,2020-09-03,证券行业2020年半年报综述：整体向好下券商间分化加剧 关注后续业绩成长性及预期差,新浪
2141,2020-09-03,招商证券助力天禾股份成功在A股上市,招证投行
2142,2020-09-02,深度*公司*招商证券(600999)：财富管理持续成长 机构服务维持领先,新浪
2143,2020-09-02,原招商证券资管副总经理王承炜正式出任兴证资管总裁,中证报
2144,2020-09-02,非银行金融日报：二季度保险业呈现出较强的抗周期特征,新浪
2145,2020-09-02,多家券商上半年新增开户数超30万，高净值客户群成挖掘重点,Wind
2146,2020-09-01,又见券商折戟资管业务，证监会6份罚单指向中邮等3家券商 经营问题,第一财经
2147,2020-09-01,A股收盘综述：9月开门红创业板综指收涨1.22%，注册制第二批新股获热炒,Wind
2148,2020-09-01,招商证券推出“招财智投”智能化资产配置平台,证券日报
2149,2020-09-01,券商研究排名出炉！前五格局稳，中小券商现黑马,Wind
2150,2020-09-01,非银金融行业周报：券商分类评级结果出炉 继续关注低估值非银板块,新浪
2151,2020-09-01,上半年券商揽入承销保荐费221亿元，前十名“分食”五成,Wind
2152,2020-09-01,(上接C91版)北京莱伯泰科仪器股份有限公司首次公开发行股票科创板上市公告书(下转C93版),证券日报
2153,2020-08-31,千禾味业现3笔大宗交易均为折价成交,证券时报网
2154,2020-08-31,招商证券助力青农商行成功发行50亿元可转债，创农商行可转债发行多项市场记录,招证投行
2155,2020-08-31,招商证券(600999)：投资业务稍显低迷、但不改稳健底色,新浪
2156,2020-08-31,招商证券(600999)：经纪业务各项指标实现全面增长,新浪
2157,2020-08-31,股王茅台冲破1800元！A股全面开花挑战新高,中国基金报
2158,2020-08-31,A股午盘综述：上证指数半日升0.8%，贵州茅台股价突破1800元创新高,Wind
2159,2020-08-31,【华创食饮】青岛啤酒：挡不住的盈利提速，市值加速进击,华创食饮
2160,2020-08-31,券业财富管理转型大比拼！这家黑马暴增11倍,券商中国
2161,2020-08-31,招商证券半年报出炉！净利润同比骤增23% 市值进击2000亿元,金融界
2162,2020-08-31,券商股全线上扬，国金证券升超7%、招商证券涨超4%,Wind
2163,2020-08-31,【信达非银】招商证券1H20点评：投行+投资发展步伐稳健，机构服务实力优势巩固,朝闻金融
2164,2020-08-31,招商证券(06099-HK)半年多赚23.7%中期息33.5分人民币,财华社
2165,2020-08-30,净赚726.97亿元！39家上市券商交出上半年成绩单,中证报
2166,2020-08-30,风控优秀，稳中有增 | 招商证券2020年中报点评【华创非银】,华创非银
2167,2020-08-30,【华创食饮】洋河股份：转型短期阵痛，H2起有望改善,华创食饮
2168,2020-08-29,月薪10万！牛市来了，券商薪资果然大涨：中金公司亮了！,中国基金报
2169,2020-08-29,《证券公司租用第三方网推荐(维持)络平台开展证券业务活动管理规定(试行)》点评：强化合规 或利好银证合作,新浪
2170,2020-08-29,证监会就《证券公司租用第三方网络平台开展证券业务活动管理规定(试行)》向社会公开征求意见点评：券商租用第三方网络平台展业迎来规范,新浪
2171,2020-08-29,招商证券中期利润分配方案出炉：拟10股派3.35元 合计派现29.13亿元,证券日报
2172,2020-08-29,上市公司正负面新闻2020年8月29日星期六,Wind
2173,2020-08-29,招商证券(06099.HK)中期净利升23.73%至43.34亿元10派3.35元,格隆汇
2174,2020-08-29,招商证券(06099)中期归属股东净利润同比增长23.73%至43.34亿元,智通财经
2175,2020-08-29,招商证券(06099)拟派发中期股息每10股3.35元,智通财经
2176,2020-08-28,招商证券上半年净利同比增长24% 拟10派3.35元,上证报
2177,2020-08-28,招商证券：上半年净利润43.34亿元 拟10派3.35元,中证网
2178,2020-08-28,招商证券(600999.SH)：上半年净利同比增23.73%至43.34亿元拟10派3.35元,格隆汇
2179,2020-08-28,招商证券：上半年净利同比增长23.73%拟10派3.35元,格隆汇
2180,2020-08-28,招商证券：上半年净利润43.34亿元，同比增长23.73%,Wind
2181,2020-08-28,五粮液月均盈利18亿，市值超9300亿,财经杂志
2182,2020-08-28,为了融资需求，东诚药业实控人将公司1140.30万股质押给招商证券,资本邦
2183,2020-08-28,券商板块连续拉升，中信证券、招商证券涨超2%，国联证券涨近7%,Wind
2184,2020-08-28,兆威机电过会：今年IPO获批第177家 招商证券过8单,中国经济网
2185,2020-08-28,【华创食饮】五粮液：双位稳增延续，经营质量提升,华创食饮
2186,2020-08-28,【华创食饮】伊利股份：经营强劲回升，超越乐观预期，上调目标价至50元,华创食饮
2187,2020-08-28,【华创食饮】海天味业：稳健之上的靓丽增长,华创食饮
2188,2020-08-27,A股收盘综述：创业板综指收升2.21%，16只创业板股涨停,Wind
2189,2020-08-27,【A股午盘综述】创业板综指半日升2.24%，29只创业板股涨超10%,Wind
2190,2020-08-27,券商板块翻红，招商证券、光大证券快速拉涨,Wind
2191,2020-08-27,【华创食饮】 绝味食品：环比边际改善，逆势扩张明显,华创食饮
2192,2020-08-26,券商座次大变：“优等生”队伍壮大，安信国金等6家新晋AA,第一财经
2193,2020-08-26,证监会公布2020年证券公司分类结果：15家券商获AA级,Wind
2194,2020-08-26,资管投行等多项业务“踩红线”，月内已有4家券商领罚单 金融监管处罚,第一财经
2195,2020-08-26,科创板IPO前夕违规，科前生物、保荐机构招商证券、两保代吃“罚单” 金融监管处罚,资本邦
2196,2020-08-25,A股收盘综述：创业板综指放量收升1.31%，43只创业板股涨幅超10%,Wind
2197,2020-08-25,券商股尾盘跳水，中信建投、招商证券均跌3%,Wind
2198,2020-08-25,【华创食饮】山西汾酒：预收表现亮眼，青花接棒发力,华创食饮
2199,2020-08-25,“大鹏展翅”能量足深圳券商再担重任,中证报
2200,2020-08-24,电连技术：变更持续督导保荐代表人,Wind
2201,2020-08-24,上海证券交易所2020年08月24日主板交易信息,上交所
2202,2020-08-24,明确看好创业板3000点！上涨临近开启,券商中国
2203,2020-08-23,【华创食饮】顺鑫农业：外埠市场亮眼，白酒低点已过,华创食饮
2204,2020-08-23,【华创食饮】涪陵榨菜：经营开启升势，定增布局未来,华创食饮
2205,2020-08-23,下周创业板正式迈入2.0时代，你需要注意这些细节,上证报
2206,2020-08-21,最高法“护航”创业板试点注册制，一方违法追责多方,云掌财经
2207,2020-08-21,业绩逆势暴增，长盈精密获招商证券等7家券商研报推荐,凤凰网
2208,2020-08-21,震荡行情延续，食品板块成为市场焦点,Wind
2209,2020-08-21,【华创食饮】中炬高新：Q2增长强劲，扩张步伐加快,华创食饮
2210,2020-08-21,公募冠军易主背后：担忧高估值基金经理投资转向,第一财经
2211,2020-08-21,IPO企业、保荐机构、保荐人同步收警示函 注册制下各方需切实担当责任 金融监管处罚,上证报
2212,2020-08-21,IPO路上违规 公司、券商、保代同步收警示函 金融监管处罚,新浪
2213,2020-08-20,两大板块逆势掀涨停潮！凭啥这么牛？,中证报
2214,2020-08-20,上海证券交易所2020年08月20日主板交易信息,上交所
2215,2020-08-20,招商证券(06099)完成兑付2020年度第十期短期融资券(债券通),智通财经
2216,2020-08-20,招商证券(06099.HK)完成发行40亿元短期融资券(债券通),格隆汇
2217,2020-08-20,招商证券(600999.SH)完成发行2020年度第十四期短期融资券(债券通),格隆汇
2218,2020-08-20,严监管冶乱象：年内42家被立案调查,Wind
2219,2020-08-20,【华创食饮】安井食品：业绩高增延续，竞争优势持续验证,华创食饮
2220,2020-08-20,【华创食饮】天味食品：Q2强劲增长，全国扩张提速,华创食饮
2221,2020-08-20,【华创食饮】桃李面包：盈利能力稳步提升，全年目标具备保障,华创食饮
2222,2020-08-20,科前生物科创板IPO路上收警示函 保荐机构招商证券踩雷 金融监管处罚,证监会
2223,2020-08-20,招商证券被出具警示函：保荐企业IPO过程中三个“未发现” 金融监管处罚,澎湃新闻
2224,2020-08-20,科创板IPO前夕 科前生物收证监会警示函 金融监管处罚,经济观察网
2225,2020-08-20,【招商有色|公司点评】嘉元科技（688388.SH）：中报落地 回归效率和产品升级核心竞争力,招商有色刘文平
2226,2020-08-20,A股午盘综述：上证综指午盘下滑1%，军工、金融、白酒、食品股领跌,Wind
2227,2020-08-20,科前生物IPO多宗违规 招商证券及两名保荐人收警示函 金融监管处罚,中国经济网
2228,2020-08-20,招商证券：美股有FAAMG 而A股有YHHMG,金融界
2229,2020-08-20,2万亿美元巨头闪现，苹果财报大超预期，A股小伙伴要嗨？,证券时报网
2230,2020-08-20,智通港股通资金流向统计(T+2)|8月20日,智通财经
2231,2020-08-20,券商上半年业绩放榜：前十券商占据半壁江山，注册制助推投行收入暴增,Wind
2232,2020-08-20,招商证券股份有限公司关于北京莱伯泰科仪器股份有限公司首次公开发行股票并在科创板上市战略投资者的专项核查报告,证券时报
2233,2020-08-20,房企融资收紧？上半年已有征兆，对楼市有何影响,券商中国
2234,2020-08-19,招商证券(06099.HK)按“10供3”基准发行约2.94亿股H股,格隆汇
2235,2020-08-19,招商证券(06099)按“10供3”基准折让20.69%发行约2.94亿股H股,智通财经
2236,2020-08-19,A股遭90分钟空袭！外资急卖61亿，美高校将剥离中概股？,券商中国
2237,2020-08-19,融券业务爆发，年内有望突破1000亿,Wind
2238,2020-08-19,【华创食饮】安琪酵母：Q2高增如期而至，看好持续成长性,华创食饮
2239,2020-08-19,招商证券(06099.HK)完成兑付30亿元短期融资券(债券通),格隆汇
2240,2020-08-19,8月19日深市创业板活跃股公开信息,深交所
2241,2020-08-19,A股收盘解读：上证指数低收1.24%，创业板指跌超3%受累疫苗股调整,Wind
2242,2020-08-19,招商证券：中国飞鹤(06186)H1业绩再超预期，看好估值业绩双击,智通财经
2243,2020-08-19,融资客青睐10股，中国国贸买入占比高达41.12%,Wind
2244,2020-08-19,A股融资融券日报：两融余额增加73.58亿元（8月18日）,Wind
2245,2020-08-19,水泥“涨”声一片！有公司股价涨超97%,央视财经
2246,2020-08-19,大洗牌！133家券商上半年25项指标排名来了,券商中国
2247,2020-08-19,大洗牌！券商上半年指标排名：中信净利第一！财富管理迎爆发 19家收入超去年,券商中国
2248,2020-08-19,大洗牌！133家券商上半年25项指标排名：中信净利第一，华泰降至第八！财富管理迎爆发,券商中国
2249,2020-08-18,券商半年度大比拼！中信建投投行业务收入第一，中信证券自营收益一骑绝尘，19家总资产超千亿元,中证报
2250,2020-08-18,招商证券H股配股发行募资总额24.07亿港元,证券日报
2251,2020-08-18,招商証券(06099-HK)供股获超额认购3.2倍,财华社
2252,2020-08-18,H股配股完成 招商证券(06099)实控人招商局集团持股降至44.17%,智通财经
2253,2020-08-18,南凌科技：2019年大客户“空降”业绩突增，曾遭工信部通报,云掌财经
2254,2020-08-18,腾讯、百度看好，暴涨176%！这只软件服务股潜力有多大？,华盛证券
2255,2020-08-18,8月18日深市创业板活跃股公开信息,深交所
2256,2020-08-18,南凌科技IPO：报告期存多家空壳子公司，主承销商竟是关联客户,中金在线
2257,2020-08-18,A股收盘综述：上证指数小涨0.36%收于两年半高点，中国人寿再涨5%,Wind
2258,2020-08-18,【行情】券商板块尾盘发力，华安证券大涨8%，招商证券、国元证券、国信证券纷纷走高,金十数据
2259,2020-08-18,下周一创业板涨跌幅扩大到20％ 招商证券：小心“墨菲定律”,金融界
2260,2020-08-18,策略日报：若想有效突破前高 还需量能支持,新浪
2261,2020-08-18,非银行金融日报：多家券商已推出资管新规整改方案,新浪
2262,2020-08-18,A股午盘综述：上证指数半日升0.42%，食品、农业、黄金板块大涨,Wind
2263,2020-08-18,A股早报2020年8月18日星期二,Wind
2264,2020-08-18,每日理财观察：上周银行理财产品发行量环比减40%,Wind
2265,2020-08-18,港股盘前必读：京东二季度营收2011亿元同比增长33.8%,Wind
2266,2020-08-18,金融股昨日爆发，券商保险分级B集体大涨,Wind
2267,2020-08-17,招商银行28只基金获权威机构五星“认证”,Wind
2268,2020-08-17,多重利好纷至沓来，85.51亿元大单涌入抢筹！券商股强势大涨！,证券日报
2269,2020-08-17,多项利好刺激，行情风向标券商股“卷土重来”,第一财经
2270,2020-08-17,A股暴涨1.6万亿，五大事件驱动市场走强,券商中国
2271,2020-08-17,港股收盘(8.17)|恒指收涨0.65% 中资券商股涨幅居前 招商证券(06099)涨超13%,智通财经
2272,2020-08-17,香港恒指收涨0.65%，招商证券涨逾13%,36氪
2273,2020-08-17,涨停板解密：市场火爆，三板块掀涨停潮！（8月17日）,Wind
2274,2020-08-17,收评：恒指冲高回落涨0.65% 金融、农业板块爆发招商证券涨13.19%,金融界
2275,2020-08-17,大金融领涨，机构热议A股风格转换,Wind
2276,2020-08-17,港股收评：恒指涨0.65%券商、保险、银行集体狂欢招商证券大涨逾13%,格隆汇
2277,2020-08-17,证券行业动态点评：规范租用第三方网络平台 引导行业有序创新共创双赢,新浪
2278,2020-08-17,A股收盘综述：上证指数劲升2.34%，中国人寿、成都银行、招商证券收于涨停,Wind
2279,2020-08-17,A股沸腾！沪指再上3400，有机构称月度级回调结束,中证报
2280,2020-08-17,广东天禾农资股份有限公司首次公开发行股票初步询价及推介,证券时报
2281,2020-08-17,截至午间收盘，沪指涨2.27%，深成指涨1.8%，创业板指涨0.91%。从盘面上来看，大金融板块持续发力，证券板块领涨，国联证券、招商证券、哈高科等股涨停,理财18
2282,2020-08-17,A股午盘综述：上证指数半日涨2.27%，中国人寿连续两日涨停,Wind
2283,2020-08-17,8月17日早盘主力巨资抢筹四大板块(附股),金融界
2284,2020-08-17,大金融发力，券商银行保险板块齐涨,Wind
2285,2020-08-17,招商证券扬近6% 研报指企业创业板上市提振券商估值,新浪
2286,2020-08-17,券商股持续走强，招商证券大涨超8%,第一财经
2287,2020-08-17,招商证券封住涨停，券商板块涨幅继续扩大,Wind
2288,2020-08-17,【行情】券商板块持续走高，招商证券涨停，国信证券、国联证券、中银证券、国金证券拉升,金十数据
2289,2020-08-17,券商板块走强 招商证券涨逾8%,中证网
2290,2020-08-17,港股异动 | 招商证券(06099)升逾5%领涨中资券商股 券商周末迎来三大利好,智通财经
2291,2020-08-17,券商股持续拉升，招商证券大涨超8%，中信证券、中信建投涨约4%,Wind
2292,2020-08-14,招商证券：将网易ADR评级上调至买进，目标价559美元,Wind
2293,2020-08-14,8月14日深市创业板活跃股公开信息,深交所
2294,2020-08-14,招商证券(06099.HK)8月28日举行董事会会议以批准中期业绩,格隆汇
2295,2020-08-14,“三冠王”曾豪担纲 华宝研究精选正式开售！,金融投资报
2296,2020-08-13,11只“五星级”基金三年业绩翻倍工银瑞信打造主动权益学霸摇篮,搜狐
2297,2020-08-13,天山股份宽幅震荡，外资抛货,Wind
2298,2020-08-13,转债市场转股赎回潮起，个券大涨引得交易所实施临停,Wind
2299,2020-08-13,【行情】港股中资券商板块短线直线拉升，国联证券涨5.34%，海通证券涨1.93%，中信建投证券、广发证券涨1.5%，招商证券涨1.1%,金十数据
2300,2020-08-13,中长期业绩群星闪耀 工银瑞信旗下26只基金获“五星级”评价,证券之星
2301,2020-08-12,招商证券现1笔大宗交易 共成交203.50万元,新浪
2302,2020-08-12,招商证券今日大宗交易成交10.17万股，成交价20.01元溢价0.0%,Wind
2303,2020-08-12,证券行业月度报告：7月业绩大幅改善龙头核心地位巩固,新浪
2304,2020-08-12,海南发展今日涨停，机构抄底成功,Wind
2305,2020-08-12,天山股份放量涨停，机构持续抛货,Wind
2306,2020-08-12,A股震荡加剧！稳健成长风格基金受追捧,和讯
2307,2020-08-12,今年已有9家券商完成再融资，资金投向扩大至创新业务,Wind
2308,2020-08-11,招商证券7月公募基金发行月报：7月共141只新基金成立，总发行规模5389.4亿元,资本邦
2309,2020-08-11,思源电气跌停 一周前招商证券强推目标价36-39元,中国经济网
2310,2020-08-11,海南发展尾盘跌停，四机构买入1.1亿元,Wind
2311,2020-08-11,招商证券(600999.SH)：完成2020年度第九期短期融资券(债券通)本息兑付,格隆汇
2312,2020-08-11,资管圈重磅：又一万亿级“大蛋糕”要来了！,中国基金报
2313,2020-08-10,8月来成交量新低，盘中蓝筹受追捧,Wind
2314,2020-08-10,中国债券市场金融债发行日程一览(8月10日),Wind
2315,2020-08-10,线上白酒延续量价齐升态势 高端品牌强者恒强,财联社
2316,2020-08-10,3分钟6只“熔断”！一上午11只转债临时停牌,中证报
2317,2020-08-10,百万手买单封涨停！2500亿巨额重组引爆周期股,中国基金报
2318,2020-08-10,招商证券最新基金评级发布，鹏华旗下9只产品登榜五星级,凤凰网
2319,2020-08-10,东北证券：上市券商7月业绩持续走高 超半数券商营收翻倍,金融界
2320,2020-08-10,"懂成长更懂回撤！新财富""三冠王""曾豪新基8月14日亮剑",中国经济网
2321,2020-08-10,上市券商前7月业绩：9家营收超百亿，5家净利翻番,券商中国
2322,2020-08-10,【东北非银王凤华】行业动态点评：上市券商7月业绩持续走高，超半数券商营收翻倍,东北证券研究所
2323,2020-08-10,上市券商前7月成绩单揭榜：5家券商净利同比翻倍,Wind
2324,2020-08-10,【华创食饮】今世缘：平稳渡过疫情，H2加速发力,华创食饮
2325,2020-08-09,周末要闻2020年8月9日星期日,Wind
2326,2020-08-09,又见奇案！前证券公司客户经理炒股亏损200余万元，竟然对营业部提出“炸弹威胁”！ 投资失误,每日经济新闻
2327,2020-08-09,又见奇案！前证券从业人员炒股亏200万，竟对招商证券提出“炸弹威胁” 投资失误,每日经济新闻
2328,2020-08-09,惊呆！前证券从业人员两融爆仓被强平， 竟对券商营业部提出“炸弹威胁”！,中国基金报
2329,2020-08-08,机构预测7月份CPI同比涨幅回升2.7%左右,Wind
2330,2020-08-08,“红7月”助推，券商单月业绩创近年新高,Wind
2331,2020-08-08,券商“双龙头”再度异动，沪指连续两日V形震荡,Wind
2332,2020-08-08,机构预测7月份CPI同比涨幅回升，PPI延续修复趋势,Wind
2333,2020-08-08,沪指小步慢跑 券商板块尾盘异动,南方财经网
2334,2020-08-08,震惊！这家券商营业部遭炸弹威胁！竟因两融爆仓被强平，股民勒索110万平仓补偿，却等来3年牢狱之灾 股票质押异常,券商中国
2335,2020-08-08,7月外储创六年最大单月增幅 “双循环”利于外储规模总体稳定,21世纪经济报道
2336,2020-08-08,招商证券上海世纪大道营业部遭炸弹威胁 竟因两融爆仓被强平 股票质押异常,券商中国
2337,2020-08-07,8月7日深市创业板活跃股公开信息,深交所
2338,2020-08-07,7月青岛辖区辅导备案企业共11家 备案日期为2020年的6家,资本邦
2339,2020-08-07,炒股不如买基金！新财富“三冠王”曾豪诚意出“基”,金融投资报
2340,2020-08-07,新财富“三冠王”挂帅 华宝研究精选基金8月14日发售,中国经济网
2341,2020-08-07,上海期货交易所新闻发布会（2020年8月7日）,新浪
2342,2020-08-07,因战略调整，深圳园林终止创业板IPO上市辅导 IPO融资异常,资本邦
2343,2020-08-07,【东北总量周道如砥】美国频发威胁，市场应如何过渡8月？,东北宏观by凤来仪
2344,2020-08-07,尾盘急拉真相！券商7月业绩大增，中信建投再次辟谣合并传闻,Wind
2345,2020-08-07,期货做市合约安排（2020年8月）,上期所发布
2346,2020-08-07,15家环比翻倍，券商业绩大爆发！股价突然暴涨9%，中信建投证券紧急澄清传闻！,中国基金报
2347,2020-08-06,沃森生物现3笔大宗交易总成交金额7.57亿元,证券时报网
2348,2020-08-06,8月6日深市创业板活跃股公开信息,深交所
2349,2020-08-06,券商7月业绩“爆棚”，中信、建投尾盘暴拉原因或在于此,Wind
2350,2020-08-06,券商股尾盘异动是因“合并传闻”？看完7月业绩，答案出来了,第一财经
2351,2020-08-06,招商证券(06099-HK)7月净利润约10.52亿元同比升149.89%,财华社
2352,2020-08-06,金融街下午茶2020年8月6日星期三,Wind
2353,2020-08-06,招商证券(06099)7月份净利润同比增长149.89%至10.52亿元,智通财经
2354,2020-08-06,西藏药业今日跌停，两机构卖出1.69亿元,Wind
2355,2020-08-06,沃森生物高位放量大跌9.8%，机构激烈博弈,Wind
2356,2020-08-06,招商证券：母公司7月营收24.89亿元 净利润10.52亿元,新浪
2357,2020-08-06,招商证券：母公司7月净利10.52亿元 同比大增,e公司
2358,2020-08-06,招商证券(600999.SH)7月母公司净利10.52亿元 同比增149.89%,格隆汇
2359,2020-08-06,深圳280万员工均薪仅17万？不！特区40周年大礼包在路上,投资时报
2360,2020-08-06,【行情】券商股尾盘反攻，国联证券涨停，招商证券、中信建投等多股直线翻红,金十数据
2361,2020-08-06,券商股尾盘再度组织反攻，中信建投等多股直线翻红,Wind
2362,2020-08-06,员工减少均薪上涨六成 招商证券业绩大增不忘“补血”,投资时报
2363,2020-08-06,18股筹码集中度提升超20%！其中就有两只翻倍大牛,上证报
2364,2020-08-06,券商首次关注4股并给予买入评级（8月6日）,Wind
2365,2020-08-06,54股获券商买入评级，金运激光目标涨幅达95.10%,Wind
2366,2020-08-06,中原证券、西南证券、中信证券完成定增发行，募资金额超过220亿,Wind
2367,2020-08-05,招商证券(600999)：投行与机构业务并举 “大招商”蓄势待发,新浪
2368,2020-08-05,跟着牛市旗手去炒股！券商资管10大重仓股曝光,券商中国
2369,2020-08-05,金融系统年中会释放监管信号：加快补齐风险处置制度短板,Wind
2370,2020-08-04,21测评丨券商继续“喝酒吃药”，天风“霸占”龙虎榜，长城中奖“不老药”麻雀变凤凰,21世纪经济报道
2371,2020-08-04,ST中安收《民事判决书》，涉及公司4869万股股份处置 诉讼纠纷,资本邦
2372,2020-08-04,【招商汽车|公司点评】广汽集团：日系强势，自主改善，拐点将至,招商汽车研究
2373,2020-08-04,【招商汽车|公司点评】中鼎股份：Q2受疫情影响，下半年拐点有望到来,招商汽车研究
2374,2020-08-04,震荡突然加剧，罕见指标已现，上一次还是2014年,中证报
2375,2020-08-04,A股“开门红”，历史数据揭秘八月定律,Wind
2376,2020-08-04,信用债发行进度条已达72%，7月发行利率创年内新高,Wind
2377,2020-08-03,招商证券原固收总经理获刑 5年利益输送6家公司2.7亿 其他违规处罚,中国经济网
2378,2020-08-03,A股市场投资者行为与资金流监控：资金流恢复紧平衡 产业资本净减持增加 减持股份,新浪
2379,2020-08-03,年内九家券商定增配股募资580亿 抢抓机遇扩规模为再融资主因,长江商报
2380,2020-08-03,招商证券上调中国建材(03323-HK)目标价至13.9港元股价现涨6.16%,财华社
2381,2020-08-03,招商证券维持舜宇光学(02382-HK)目标价165港元维持买入,财华社
2382,2020-08-03,独角兽IPO纷至沓来，还有哪些后备军,Wind
2383,2020-08-03,券商研判8月A股：波动趋缓，突破尚需时日,中证报
2384,2020-08-02,【招商汽车|公司点评】一汽富维：Q2单季同比大增+92%，进入双升周期,招商汽车研究
2385,2020-08-02,下周操盘攻略：首批创业板注册制申购，反弹趋势未变,Wind
2386,2020-08-01,一周沪深股通动向曝光：这30只个股净买入最多，财通证券、招商证券、华新水泥、海螺水泥上榜（附名单）,每日经济新闻
2387,2020-07-31,证券行业2020年秋季策略报告：资本市场深化改革：对券商业绩影响几何【华创非银】,华创非银
2388,2020-07-31,安青松：进一步推动债券承销机构责任能力体系建设，研讨解决低价竞争行之有效方法,Wind
2389,2020-07-31,招商证券(06099)按“10供3”基准发行17.03亿股A股,智通财经
2390,2020-07-31,洞察|招商证券原固收总经理职务侵占案细节曝光，5年利益输送2.74亿！近年来员工违规屡见不鲜,和讯
2391,2020-07-31,【招商汽车|公司点评】银轮股份：Q2业绩快速增长，彰显公司竞争力,招商汽车研究
2392,2020-07-31,乐鑫科技使用闲置募集资金进行现金管理 募集资金12.5亿元,电鳗快报
2393,2020-07-31,港股盘前必读：新冠疫苗第一股康希诺7月31日科创板申购,Wind
2394,2020-07-31,【华创食饮|深度】看懂伊利空间的三个层次,华创食饮
2395,2020-07-30,风电板块午后逆势大涨，外资买入金风科技卖出中材科技,Wind
2396,2020-07-30,【行情】港股中资券商股回吐昨日涨幅，集体走低，光大证券(06178.HK)跌2.24%，招商证券(06099.HK)跌1.82%，中信建投证券(06066.HK)跌1.4%,金十数据
2397,2020-07-29,解盘：资金快速流入，半导体、生物疫苗、次新、高价股领涨,Wind
2398,2020-07-29,【华创食饮】贵州茅台：顺利达成进度，追求持续稳增,华创食饮
2399,2020-07-29,券商板块开盘快速拉升 财通证券、中信建投、哈高科、招商证券均大幅上涨,金融界
2400,2020-07-29,茅台每日净赚1.24亿！北向资金再加仓，后市怎么走？,中证报
2401,2020-07-29,【行情】港股中资券商股盘初拉升，中信建投证券涨3.14%，光大证券涨近3%，招商证券涨2.2%，中金与中信证券涨超1.3%,金十数据
2402,2020-07-29,【行情】证券板块异动拉升，中信建投涨4%，财通证券、招商证券、国金证券、西南证券等跟涨,金十数据
2403,2020-07-28,中设股份：变更保荐代表人,Wind
2404,2020-07-28,[快讯]2020年《财富》中国500强排行榜揭晓 招商证券居477位,全景网
2405,2020-07-28,券业“高考”即将放榜，谁压力山大？考核期至少45家被罚,券商中国
2406,2020-07-28,美元持续下挫，人民币资产魅力大增,Wind
2407,2020-07-28,券商称A股行情有望迎来“盈利+流动性”双轮驱动,Wind
2408,2020-07-28,A类券商占比将提至50%，评级中远离扣分项至关重要,Wind
2409,2020-07-27,招商证券(06099)：17.03亿股A股配售股份将于7月31日起上市流通,智通财经
2410,2020-07-27,招商证券(06099.HK)：实控人下属子公司参与认购A股配股，持股增至45.46%,格隆汇
2411,2020-07-27,招商证券(06099.HK)17亿股配发A股将于7月31日起上市流通,格隆汇
2412,2020-07-27,招商证券：建议H股供股，按每持有10股现有H股获发3股H股,Wind
2413,2020-07-27,7月27日深市创业板活跃股公开信息,深交所
2414,2020-07-27,恒信东方(300081.SZ)拟将所持不超870万股朗新科技股票质押给招商证券,格隆汇
2415,2020-07-27,【银华基金】交易日报 2020-07-27,新浪
2416,2020-07-27,招商证券(600999.SH)控股股东招融投资及集盛投资认购A股配股股份 持股增至44.65%,格隆汇
2417,2020-07-27,【华创食饮|专题】两大盈利超预期潜力点：成本下降，融资费率下行,华创食饮
2418,2020-07-27,5年输送利益2.74亿！昔日券业固收干将职务侵占案细节曝光 5年牢狱葬送大好前程,券商中国
2419,2020-07-27,招商证券(06099.HK)完成兑付2020年第八期短期融资券,格隆汇
2420,2020-07-27,招商证券(600999.SH)：完成2020年度第八期短期融资券本息兑付,格隆汇
2421,2020-07-27,5年输送利益2.74亿！债市精英职务侵占案细节曝光,券商中国
2422,2020-07-27,5年输送利益2.74亿！债市精英职务侵占案细节曝光 其他违规处罚,券商中国
2423,2020-07-26,跟投科创板一周年！券商大赚135亿,中国基金报
2424,2020-07-26,非银金融行业本周聚焦：券商Q2经营业绩向好 关注大金融板块“超低持仓”下的投资机会,新浪
2425,2020-07-26,招商证券：2020年是通信行业变革之年，下半年关注四大赛道,Wind
2426,2020-07-24,证券行业点评：并购重组待提速 提升行业国际竞争力,新浪
2427,2020-07-24,【行情】港股中资券商股开盘走低，国泰君安、东方证券跌1.6%，中信证券跌1.4%，招商证券跌1.3%,金十数据
2428,2020-07-24,【招商汽车|公司点评】长城汽车：销量上扬利润超预期，新技术品牌开启新周期,招商汽车研究
2429,2020-07-23,基金2020Q2券商持仓分析：券商配置占比下滑至0.46% 低配比例继续扩大,新浪
2430,2020-07-23,7月23日深市创业板活跃股公开信息,深交所
2431,2020-07-23,中国债券市场金融债发行日程一览(7月23日),Wind
