,2021-12-28,天坛生物：“静注COVID-19人免疫球蛋白（pH4）”目前处于临床试验准备阶段,Wind
593,2020-04-09,招商证券：三大方面深度解析血制品行业(个股解析),新浪
594,2020-04-09,【东北医药崔洁铭/马千里】天坛生物（600161）年报点评：公司业绩稳健增长，血液制品需求旺盛,东北证券研究所
595,2020-04-08,券商首次关注2股并给予买入评级（4月8日）,Wind
596,2020-04-08,35股获券商买入评级 金隅集团目标涨幅达73.19%,Wind
597,2020-04-07,粤开策略：多重利好有望助推A股向上拓展空间,新浪
598,2020-04-06,【东兴医药胡博新团队】天坛生物（600161）：19年业绩稳步增长，新品研发和产能扩展强化规模优势,医药新观
599,2020-04-03,"【民生医药|年报点评】天坛生物：产能利用率提升毛利率提高,成都蓉生本部产能将如期释放",杏林建研
600,2020-04-03,【天坛生物|年报点评】产能释放叠加产品拓展，规模效应有望逐步体现【安信医药马帅团队】,医药马帅团队
601,2020-04-02,【面包财报】天坛生物：2019年归母净利润6.11亿元，同比增长19.95%,面包财经
602,2020-04-02,天坛生物（600161）：业绩符合预期，即将迈入快速成长期【2019年年报点评|西南医药朱国广/杜向阳团队】,国广有话说
603,2020-04-01,【天风医药】天坛生物：整合效果逐步显现，2019年业绩稳步增长,思医辨药
604,2020-04-01,天坛生物2019年净利同比增近两成 拟10送2派0.6元,上证报
605,2020-04-01,天坛生物：2019年净利同比增长19.94％ 拟10派0.6元,金融界
606,2020-04-01,天坛生物：2019年净利同比增约20% 拟10送2派0.6元,e公司
607,2020-04-01,天坛生物(600161.SH)：武汉血制拟对购置的武冈市武生单采血浆站业务用房进行改造,格隆汇
608,2020-04-01,天坛生物(600161.SH)：2020年度拟申请30亿元综合授信额度,格隆汇
609,2020-04-01,天坛生物(600161.SH)2019年度净利润升19.94%至6.11亿元 拟10送2派0.6元,格隆汇
610,2020-04-01,天坛生物：2019年净利同比增长19.94% 拟10送2派0.6元,新浪
611,2020-04-01,天坛生物：2019年净利润同比增长19.94%,Wind
612,2020-03-30,【民生医药|周报】推荐疫情影响下“供-需”端增速分化带来投资机会,杏林建研
613,2020-03-25,单靠新基建远远不够！请收好这份核心资产名单,证券时报网
614,2020-03-22,重大突破！中国新冠疫苗开始人体注射,Wind
615,2020-03-20,【国信医药】药品创新价值凸显，医院建设带来器械需求增长（周观点）,GuosenHealthcare
616,2020-03-19,静丙2月批签发量增5倍 下游血制品存在涨价可能,新京报
617,2020-03-19,【山证医药】2月血制品批签发数据跟踪：2月整体批签发高速增长，静丙明显提升,山西证券研究所
618,2020-03-17,生物疫苗板块异动,Wind
619,2020-03-11,血制品行业运行情况如何？短期需求将获得提振,制药网
620,2020-03-11,天坛生物所属兰州血制获批准进行临床试验,资本邦
621,2020-03-10,天坛生物：所属企业兰州血制获得临床试验通知书 产品研发投入1245.71万元,发布易
622,2020-03-09,【读财报】血液制品行业首份年报：卫光生物净利润1.7亿元，行业细分市场面临毛利下行压力,新华网
623,2020-03-09,卫光生物净利润1.7亿元 行业细分市场面毛利下行压力,面包财经
624,2020-02-23,【山证医药】1月血制品批签发数据跟踪：1月批签发总体稳定，疫情下静丙需求量大幅提升,山西证券研究所
625,2020-02-23,批签发同比快速增长，进度未受影响【安信医药战略推荐血制品系列9】批签发数据实时跟踪,医药马帅团队
626,2020-02-19,A股持续反弹弥补跳空缺口 抗疫股“冷静期”是否在锤炼真金？,和讯
627,2020-02-18,供不应求！免疫球蛋白等血制品市场激增，增速预计超20%,健识局
628,2020-02-18,医药行业：短期冲高回落不改中长期向好看好血制行业投资机会,--
629,2020-02-17,盘前必读公告：上市公司重大消息一览！,巨丰财经
630,2020-02-16,2月17日上市公司重要公告集锦：珠海明骏及董明珠质押所持99.91%的格力电器股份,证券日报
631,2020-02-16,天坛生物(600161.SH)：仅为相关血浆疗法提供设备及技术等支持不会对公司主营业务产生影响,格隆汇
632,2020-02-16,天坛生物：仅为特免血浆疗法提供设备及技术等支持,新京报
633,2020-02-16,天坛生物：新冠病毒特免血浆治疗工作由控股股东等开展,e公司
634,2020-02-16,天坛生物澄清：新型冠状病毒特免血浆疗法属于医疗技术，不属于公司主营业务范畴,Wind
635,2020-02-15,股价迎风起！这些血液制品公司全部涨停 你跟吗？,金融界
636,2020-02-15,“恢复期血浆”治疗没那么简单：专家提示推广应用难点,21世纪经济报道
637,2020-02-14,特免血浆治新冠肺炎推动概念股大涨 业内认为不会带来直接业绩增长,每日经济新闻
638,2020-02-14,“抗疫”血浆概念板块大涨 血液制品市场潜力将达400亿元,中新经纬
639,2020-02-14,“血清疗法”功效多大？国家队组团参与新冠病毒临床治疗，天坛生物强势领涨血制品概念股,华夏时报
640,2020-02-14,新冠特免血浆投入临床，血制品板块投资机会来了吗？,药智网
641,2020-02-14,抗疫“神兵天降”！这只股票发出“起飞令”，概念板块下周直上云霄？,腾讯网
642,2020-02-14,血浆抗体能有效杀死新冠病毒？ 多家公司纷纷回应丨公司问答,第一财经
643,2020-02-14,天坛生物：正在了解核实相关情况丨公司问答,第一财经
644,2020-02-14,1个人血浆可治疗11名患者 新冠肺炎输“血”疗法获关注,科创板日报
645,2020-02-14,血浆中含有救命的“神奇抗体”！这些上市公司开始发力！,云掌财经
646,2020-02-14,血制品指数半日大涨5%:特免血浆疗效初显 原材料紧张,中证报
647,2020-02-14,年后股价创历史新高，这些医药公司涨幅超过10％,制药网
648,2020-02-14,中国生物血浆制品投入临床战“疫”！这两家A股公司和它有股权关系,上证报
649,2020-02-14,早盘复盘：港A两市主要股指走红，券商股、血液制品概念强势拉升,格隆汇
650,2020-02-14,2月14日早盘主力巨资抢筹四大板块(附股),金融界
651,2020-02-14,1个人血浆可治疗11名患者新冠肺炎输“血”疗法获关注但还有这些局限,科创板日报
652,2020-02-14,重磅利好血制品股领涨，疫情或打开行业长期成长空间丨牛熊眼,第一财经
653,2020-02-14,生物制品股开盘掀起涨停潮,Wind
654,2020-02-14,A股三大指数集体低开！沪指跌0.21% 血制品概念股大涨,第一财经
655,2020-02-14,天坛生物等血制品公司开盘涨停,e公司
656,2020-02-14,天坛生物涨停,Wind
657,2020-02-14,新冠特免血浆治疗重症患者 都有这些公司参与,新京报
658,2020-02-14,重磅利好！治疗新冠肺炎的“神抗体”发威！这些A股公司要起飞,腾讯网
659,2020-02-13,【天风医药】血制品专题：新冠疫情促进静丙库存消化，血制品行业价值凸显,思医辨药
660,2020-02-10,医药股调整之后，未来回归“业绩为王”|市场观察,第一财经
661,2020-02-09,中国疫苗行业协会：17家会员正开展新冠肺炎疫苗研制,中证网
662,2020-02-09,中国疫苗行业协会：17家会员单位正开展新冠肺炎疫苗研制工作,中证网
663,2020-02-09,【民生医药|行业动态】新冠疫情对血制品行业定性和定量分析,杏林建研
664,2020-02-08,聚焦战“疫” | 静丙行业专题报告：5大厂商份额超7成，上市公司驰援抗疫,时代在线
665,2020-02-05,天坛生物高管辞职公告 董监高成员变化,新浪
666,2020-02-05,天坛生物：副总经理辞职 董监高成员变化,Wind
667,2020-01-20,融资客青睐19股，天坛生物买入占比高达41.94%,Wind
668,2020-01-15,天坛生物：业绩预增报喜 浆站收率同步发力,凤凰网
669,2020-01-15,四大券商周四看好的六大板块,证券之星
670,2020-01-15,安信研究|晨会在线20200115,安信证券研究
671,2020-01-14,"【民生医药|点评】天坛生物：业绩符合预期, 采浆量增长稳定，业绩确定性高",杏林建研
672,2020-01-14,天坛生物（600161.SH）：全年业绩预增21%，未来能否保持稳健之势？,格隆汇
673,2020-01-14,天坛生物：2019年年度业绩报告预告,上交所
674,2020-01-13,天坛生物：预计2019年净利润同比增长21%左右,Wind
675,2020-01-13,天坛生物：预计全年实现净利润6.14亿元，同比增长21%,第一财经
676,2020-01-13,天坛生物：预计2019年净利6.14亿元 同比增21%,e公司
677,2020-01-13,天坛生物：2019年净利逾6亿元 同比预增21％,金融界
678,2020-01-13,天坛生物(600161.SH)2019年度净利预增21%至6.14亿元,格隆汇
679,2020-01-13,【天风医药 | 专题】2020年血制品批签发报告：整体批签发稳健增长，因子类产品表现优异,思医辨药
680,2020-01-06,股价闪崩8%！华兰生物业绩远低预期，批签发数据早有苗头 盈利能力下降,格隆汇
681,2019-12-31,天坛生物(600161.SH)控股子公司所属浆站获得单采血浆许可证,格隆汇
682,2019-12-31,供不应求，规模超千亿！疫苗产业链分析（附流感概念）,Wind
683,2019-12-29,天坛生物(600161.SH)：“注射用重组人凝血因子VIII”于近日正式开展III期临床试验,格隆汇
684,2019-12-16,天坛生物(600161.SH)：“人凝血酶原复合物”临床试验申报获受理,格隆汇
685,2019-12-16,天坛生物：下属公司获得药品临床试验申报受理,Wind
686,2019-12-14,【天风医药】天坛生物：老牌血制品龙头，重组后资源优化助力更上一层楼,思医辨药
687,2019-12-13,天坛生物(600161.SH)：“人纤维蛋白原”将启动药代动力学研究和Ⅲ期临床试验,格隆汇
688,2019-12-12,同属中证500，信息技术为何大幅领先医药卫生？,养基司令
689,2019-12-02,融资客青睐14股，海亮股份买入占比高达56.82%,Wind
690,2019-11-28,天坛生物(600161.SH)：兰州血制获高新技术企业证书,格隆汇
691,2019-11-27,天坛生物(600161.SH)：云南生物制品产业化基地项目招标 国药工程中标,格隆汇
692,2019-11-22,【太平洋医药杜佐远团队】经典报告集：我们只想为您甄选牛股,医药佐料
693,2019-11-01,天坛生物三季报 ：三季度营收25.19亿 血制龙头稳健增长,中国经济网
694,2019-10-28,226股获券商买入评级 中国中铁目标涨幅达70.41%,Wind
695,2019-10-25,"【民生医药|季报点评】天坛生物：收入端保持快速增长,存货周转加快，景气度持续提升",杏林建研
696,2019-10-25,【国信医药】天坛生物：业绩符合预期，预计全年稳健增长（三季报点评）,GuosenHealthcare
697,2019-10-25,"天坛生物2019Q3点评:基本符合预期,业绩稳健增长",国元证券
698,2019-10-25,"天坛生物:绩整体符合预期,血制品销售逐季增长",安信证券
699,2019-10-24,天坛生物(600161.SH)前三季净利升17.72%至4.67亿元,格隆汇
700,2019-10-24,天坛生物：前三季度净利4.67亿元 同比增18%,e公司
701,2019-10-24,天坛生物：前三季度净利润同比增17.72%,Wind
702,2019-10-24,天坛生物：研发费用环比提升明显 买入评级,广发证券
703,2019-10-23,晨会聚焦191023重点关注宋城演艺、瀚蓝环境、天坛生物、华正新材、爱婴室,国信研究
704,2019-10-22,【民生医药|周报】10/28：三季报行情步入尾声，持续看好创新药及其产业链,杏林建研
705,2019-10-22,42股获券商买入评级 精工钢构目标涨幅达66.67%,Wind
706,2019-10-22,天坛生物:老坛酿新酒:血制品龙头的稳健与进取,国信证券
707,2019-10-21,医疗保健：关注业绩较好个股 荐10股,财信证券
708,2019-10-08,天坛生物(600161.SH)：上海血制获高新技术企业证书,格隆汇
709,2019-09-25,医疗保健：关注政策免疫领域 荐9股,财信证券
710,2019-09-10,天坛生物：下属公司获批设置单采血浆站,e公司
711,2019-09-09,天坛生物今日大宗交易成交11.22万股，成交价25.0元折价10.33%,Wind
712,2019-09-04,"医药行业2019年半年报总结:业绩与行情分化持续,强者恒强",国元证券
713,2019-08-23,天坛生物（600161）：销售端拓展力度加大，业绩略超预期【中报点评|西南医药朱国广陈铁林团队】,国广有话说
714,2019-08-23,天坛生物：血制品行业龙头，长期增长前景确定，维持增持评级,证券时报网
715,2019-08-23,【国信医药|半年报点评】天坛生物：业绩高增长，现金流充沛,GuosenHealthcare
716,2019-08-23,"天坛生物2019年中报点评:业绩高增长,现金流充沛",国信证券
717,2019-08-22,天坛生物(600161.SH)半年度净利润升22.21%至2.94亿元,格隆汇
718,2019-08-22,天坛生物(600161.SH)：“人凝血酶原复合物”完成临床试验,格隆汇
719,2019-08-22,天坛生物：上半年净利润同比增22.21%,Wind
720,2019-08-21,融资客青睐12股，华峰超纤买入占比高达43.91%,Wind
721,2019-08-15,『医药头条君』云南两个医院领导被“双开” 豪森首仿药达8个,新浪
722,2019-07-26,天坛生物下属公司出资2000万元设立公司,挖贝网
723,2019-07-24,"医药生物行业2019年中报业绩前瞻:医药板块持续分化,寻找景气与避险的交集",申万宏源
724,2019-07-22,券商评级：三大指数下跌 九股迎来掘金良机,证券之星
725,2019-07-22,天坛生物中期业绩略超预期，两次重组后聚焦血制品业务,格隆汇
726,2019-07-22,"天坛生物:业绩略超预期,经营效率逐步提升",西南证券
727,2019-07-22,"天坛生物公司事件点评:中报业绩预告符合预期,重申未来预期逐渐向好",联讯证券
728,2019-07-22,"天坛生物:业绩超预期,成长确定性高",安信证券
729,2019-07-19,天坛生物：未来预期逐渐向好，改善空间较大,证券时报网
730,2019-07-19,医疗保健：医药盘前早知道,东莞证券
731,2019-07-18,天坛生物：2019年半年度业绩报告预告,上交所
732,2019-07-18,天坛生物：上半年净利预增24%,e公司
733,2019-07-18,天坛生物：预计上半年净利增加23.94%左右,Wind
734,2019-07-17,"医药生物行业7月投资策略:中报前瞻稳健,政策明朗改善预期",国信证券
735,2019-07-15,医疗保健：医药盘前早知道 荐8股,东莞证券
736,2019-07-15,医药生物行业:2019H1血液制品批签发专题报告,国元证券
737,2019-07-14,医疗保健：第二轮国家集中带量采购仍锁定25品种 荐9股,东吴证券
738,2019-07-12,【国信医药】天坛生物：新批浆站与改善效率共同驱动采浆量增长,GuosenHealthcare
739,2019-07-12,天坛生物：新批浆站与改善效率共同驱动采浆量增长 买入评级,国信证券
740,2019-07-11,医疗保健：坚持投资主线 荐11股,财信证券
741,2019-07-10,2019下半年医药行业投资策略:寻找景气与避险的交集,申万宏源
742,2019-07-07,天坛生物(600161.SH)：成都蓉生获土耳其GMP证书,格隆汇
743,2019-07-07,天坛生物：成都蓉生收到换发的药品GMP证书,金融界
744,2019-07-02,天坛生物：下属公司所属浆站分站获得执业许可,第一财经
745,2019-06-25,融资客青睐26股，和佳股份买入占比高达45.34%,Wind
746,2019-06-24,"医药生物行业:医药政策进入密集落地期,聚焦科创板、医药创新和医药消费",东吴证券
747,2019-06-19,安信研究|晨会在线20190619,安信证券研究
748,2019-06-18,9公司获得买入评级-更新中,中财网
749,2019-06-18,14股获券商买入评级 金风科技目标涨幅达114.34%,Wind
750,2019-06-18,"天坛生物深度分析:成长路径清晰,确定性高",安信证券
751,2019-06-18,"医药生物行业2019年6月投资策略:政策密集发布,无需过度悲观",国信证券
752,2019-06-11,笑哭了！涨停潮来临，填权行情打响，哪些是加分项,Wind
753,2019-06-09,医疗保健：医保控费政策进入常态化运行阶段 荐9股,东吴证券
754,2019-06-06,天坛生物(600161.SH)拟10送2派0.5元 股权登记日为6月13日,格隆汇
755,2019-06-04,52股获券商买入评级 国光股份目标涨幅达104.82%,Wind
756,2019-06-03,天坛生物：经营效益改善 成长确定性高,证券时报网
757,2019-06-03,天坛生物：成长确定性高 买入评级,国信证券
758,2019-05-16,"医药生物行业2018年报&2019一季报业绩回顾:行业整体趋势向上,个股分化加剧",申万宏源
759,2019-05-07,【国金研究】生物制品行业2018年报2019一季报总结及批签发分析,国金证券研究所
760,2019-05-06,融资客青睐11股，江河集团买入占比高达49.58%,Wind
761,2019-05-04,天坛生物一季度净利1.3亿元同比增长19% 现金流量净额为3亿元,挖贝网
762,2019-04-30,天坛生物(600161.SH)一季度净利润升19.39%至1.31亿元,格隆汇
763,2019-04-29,天坛生物：一季度净利润同比增19.39%,Wind
764,2019-04-28,【国信医药|年报点评】天坛生物：采浆与产能利用率稳步提升,GuosenHealthcare
765,2019-04-24,A股早报2019年4月24日星期三,Wind
766,2019-04-23,天坛生物：下属公司所属浆站获得单采血浆许可证,金融界
767,2019-04-22,医疗保健：医保目录调整方案发布 荐6股,长城证券
768,2019-04-15,风云年报快评 | 洽洽食品、卫光生物2018年财报精要,凤凰网
769,2019-04-08,111股获券商买入评级 全筑股份目标涨幅达78.65%,Wind
770,2019-04-08,天坛生物2018年报点评:采浆与产能利用率稳步提升,国信证券
771,2019-04-04,天坛生物：效益提升短期业绩 浆量保证长期成长,证券时报网
772,2019-04-04,大幅上调目标价策略（4月4日）,Wind
773,2019-04-04,"天坛生物:采浆量提升显著,血制品业务稳步增长",信达证券
774,2019-04-03,天坛生物去年净利5.09亿同比减57% 董事长杨晓明未在公司领取报酬 盈利能力下降,挖贝网
775,2019-04-02,天坛生物2018年营收增长三成 多管齐下厚植优势,证券时报
776,2019-04-02,周二最新重磅公司传闻集锦(4月2日),证券之星
777,2019-04-02,天坛生物：2018年年度主要财务指标,上交所
778,2019-04-02,天坛生物：董事会七届十四次会议决议公告,上交所
779,2019-04-01,天坛生物：2018年扣非后净利同比增22% 拟10送2派0.5元,e公司
780,2019-04-01,天坛生物：2018年净利润同比减56.57% 盈利能力下降,Wind
781,2019-03-29,券商首次关注7股并给予买入评级（3月29日）,Wind
782,2019-03-20,【国金研究】血制品行业深度：投资框架演变和未来趋势分析,国金证券研究所
783,2019-03-20,"医药周观点:业绩浪、长期资金持续流入,医药蓝筹白马股价历史新高再新高",联讯证券
784,2019-03-19,中国这个产业标准全球最严 创新懈怠资本却乐此不疲,第一财经日报
785,2019-03-18,医疗保健：业绩浪 长期资金持续流入,联讯证券
786,2019-03-12,"医药周报2019第10期:首家医药公司正式申请拟科创板上市,制度创新带动产业创新升级",长城证券
787,2019-02-26,"医药行业周报2019第8期:关注年报行情,布局受政策免疫标的",长城证券
788,2019-02-22,天坛生物(600161.SH)下属公司获得高新技术企业证书,格隆汇
789,2019-02-20,"医药生物行业:罕见病用药降税,长期利好罕见病用药企业",正点财经
790,2019-02-19,"医药行业周报2019第7期:修复或将持续,提前布局业绩高增长标的",长城证券
791,2019-02-05,2019年12月血制品批签发数据跟踪月报,药智网
792,2019-02-01,"医药周报2019第5期:集采得到各方落实部署,低估值下有望迎来反转",长城证券
793,2019-01-28,"每周药事2019年第5周:板块需要信心,继续看好超跌错杀个股",正点财经
794,2019-01-25,2019流感板块股票有哪些？流感板块尾盘走强,云掌财经
795,2019-01-24,流感疫苗板块尾盘急拉，鲁抗医药大涨6%,Wind
796,2019-01-23,医疗保健：预期趋稳 估值逐步修复,国信证券
797,2019-01-23,融资客青睐33股，浦东建设买入占比高达48.16%,Wind
798,2019-01-23,"2019年1月医药生物行业投资策略:预期趋稳,估值逐步修复",国信证券
799,2019-01-22,天坛生物：调浆获批产能利用率提升 买入评级,和讯
800,2019-01-21,"医药生物行业周报:从现在开始不再悲观,短期和中长期也许都是底部",正点财经
801,2019-01-17,医疗保健：大品种批签发逐步恢复 荐3股,和讯
802,2019-01-17,【医药】江琦、赵磊：2018年血制品批签发报告：库存消化接近尾声，大品种批签发逐步恢复-20190116,中泰证券研究所
803,2019-01-17,【晨会聚焦】关注金融监管政策的方向变化,中泰证券研究所
804,2019-01-17,海外血制品行业报告：慢病驱动，强者恒强,国信研究
805,2019-01-15,19股获券商买入评级 碧水源目标涨幅达31.84%,Wind
806,2019-01-15,"医药行业周报2019第3期:8天3起跨国大并购,品种为王创新为纲",长城证券
807,2019-01-14,"天坛生物:q4收入正常,血制品继续稳健增长",正点财经
808,2019-01-14,13家公司新闻现重大利空,证券之星
809,2019-01-14,【医药-马帅】天坛生物业绩预告点评：Q4费用确认比较多，调浆获批产能利用率提升,安信证券研究
810,2019-01-13,13家药企11家预增！从业绩预告看医药股背后的投资价值,中财网
811,2019-01-13,医疗保健：终端需求有所回暖 荐2股,广发证券
812,2019-01-12,天坛生物2018年实现净利将减少6.83亿 盈利能力下降,挖贝网
813,2019-01-12,天坛生物2018年净利润预计减少6.76亿元 同比降幅58% 盈利能力下降,中国经济网
814,2019-01-11,天坛生物：2018年度业绩预告公告,上交所
815,2019-01-11,[快讯]天坛生物公布年度业绩预告,中财网
816,2019-01-11,天坛生物：2018年净利预减58% 盈利能力下降,新浪
817,2019-01-09,医药行业周报:卫健委部署2019年卫生健康改革十大重点任务,渤海证券
818,2019-01-09,"医药周报2019第2期:并购大事件,危与机并存",长城证券
819,2019-01-02,"每周药事2019年第1周:除旧迎新,乐见反弹",正点财经
820,2018-12-25,"医药行业周报2018第46期:DRGs试点即将启动,精细化管理将利好进口替代",长城证券
821,2018-12-21,【中证盘前播报】美股、油价大跌！国家税务总局：拟推新一轮普惠减税降负措施！商务部：中美拟明年1月贸易会谈；东阿阿胶出厂价上调6%,中证报
822,2018-12-21,"医药行业周报:有奖举报医保欺诈行为,长期利好药店连锁龙头",渤海证券
823,2018-12-20,天坛生物：下属公司获批设置单采血浆站,e公司
824,2018-12-17,医药行业2019年年度投资策略报告:继续看好创新药企及细分领域龙头企业的发展,渤海证券
825,2018-12-12,天坛生物2018三季报点评:血液制品资产整合顺利,正点财经
826,2018-12-06,天坛生物：子公司人纤维蛋白原产品获临床试验默示许可,e公司
827,2018-12-03,国企改革终见成效，这家严重低估的行业龙头王者归来,和讯
828,2018-11-30,【医药-天坛生物(600161)】江琦、赵磊：公司点评：获批调拨血浆，有效提高血浆利用率和产能利用率-20181129,中泰证券研究所
829,2018-11-29,天坛生物：控股子公司血浆调拨获批,e公司
830,2018-11-23,【天坛生物（600161）】拟建云南项目，远期规模可观,中信建投证券研究
831,2018-11-22,试点带量采购模式落地 医药生物板块领跑两市,大众证券报
832,2018-11-19,[快讯]天坛生物:公司云南生物制品产业化基地项目立项补充公告,中财网
833,2018-11-19,天坛生物：投资云南基地 巩固浆站优势地位,招商证券
834,2018-11-19,天坛生物（600161）公司快评：效益改善提供成长动力，新建基地保障增长空间,国信研究
835,2018-11-19,天坛生物17亿元聚焦血液制品,北京商报
836,2018-11-16,扩大血液制品产能 天坛生物拟投资17亿元新建产业基地,中证网
837,2018-11-16,天坛生物：拟17亿元投建云南生物制品产业化基地,e公司
838,2018-11-08,"医药行业2018年11月投资策略报告:一阳来复,否极泰来",国信证券
839,2018-11-05,医疗保健：高度聚焦板块核心资产 关注后续产业政策走向,广发证券
840,2018-10-31,医疗保健：基药目录调整 利好新增品种放量,国信证券
841,2018-10-29,【医药-天坛生物(600161)】江琦、赵磊：2018Q3点评：血制品业务稳健增长，季度环比盈利改善-20181028,中泰证券研究所
842,2018-10-26,天坛生物：前三季度净利润同比减60.39% 盈利能力下降,Wind
843,2018-10-24,天坛生物：血制品龙头有望迎来价值重塑 增持评级,渤海证券
844,2018-10-16,生物制品批签发数据季报,中财网
845,2018-10-12,[快讯]天坛生物公布第三季度快报 净利润同比增减37.96%,中财网
846,2018-10-12,并购未能挽救业绩：天坛生物前3季度增长不增收 利润下滑60%,挖贝网
847,2018-10-10,大变局：价格倒挂、逆市定增，寻找折上折标的,Wind
848,2018-10-09,天坛生物：子公司拟9060万元收购贵州血制20%股权,e公司
849,2018-09-30,天坛生物:小幅上调盈利预测,正点财经
850,2018-09-13,天坛生物：与四川昊阳生物达成合作意向 扩大血液制品规模,证券时报
851,2018-09-13,每日利好题材：这些投资机会不容错过！,巨丰财经
852,2018-08-31,290家生物医药公司实现营收7045亿元 超七成净利润增长,证券日报
853,2018-08-28,[增持评级]天坛生物(600161)中报点评：血制品业务大幅度提升,中财网
854,2018-08-24,[强烈推荐-A评级]天坛生物(600161)中报点评：小幅上调盈利预测,中财网
855,2018-08-24,[增持评级]天坛生物(600161)半年报点评：采浆量稳步提升 渠道优势明显,中财网
856,2018-08-24,[增持评级]天坛生物(600161)中报点评：采浆量增长13.89% 血制品业务实现稳定增长,中财网
857,2018-08-23,天坛生物：上半年净利润同比减72.73% 盈利能力下降,Wind
858,2018-07-26,三地百白破不合格疫苗补种或只能选武汉生物 你能否对它重拾信心,每日经济新闻
859,2018-07-24,天坛生物剥离疫苗业务 股价免遭“错杀”业绩预减七成,金融界
860,2018-07-23,[互动]天坛生物：目前公司已无疫苗业务,全景网
861,2018-07-23,深度*行业*血制品行业深度报告：27倍PE的血制品行业现在值得买吗?,中财网
862,2018-07-19,天坛生物：上半年净利润同比下降超七成,新京报
863,2018-07-19,天坛生物：上半年净利润同比减72.63%（快报）,Wind
864,2018-07-10,医药行业卓越推：华兰生物(002007)、天坛生物(600161),中财网
865,2018-07-10,2018年H1血液制品批签发专题报告：行业转型期 资源与终端并重,中财网
866,2018-06-26,融资客青睐18股，北京城建买入占比高达45.96％,Wind
867,2018-06-22,天坛生物：下属公司获批设置单采血浆站分站,e公司
868,2018-06-20,6月20日有114家公司获重要股东增减持 恒顺众昇已被连续增持33次,Wind
869,2018-06-14,天坛生物年报推10送3派2元 股权登记6月21日,金融界
870,2018-06-13,"生物制品行业周报:把握业绩主线,精选优质个股",渤海证券
871,2018-06-13,"天坛生物深度报告:专注血制品业务,在血制品领域竞争力大幅度提高",信达证券
872,2018-06-08,生物制品:创新CAR-T疗法获批开启美国临床试验,渤海证券
873,2018-06-08,天坛生物：下属公司获得药品GMP证书,金融界
874,2018-06-05,天坛生物今日大宗交易成交522.97万股，成交价24.31元折价12.74%,Wind资讯
875,2018-06-04,周二机构一致最看好的6只个股（6.4）,中金在线
876,2018-06-04,天坛生物股票分析：整合落地，血制品航母扬帆起航,中泰证券
877,2018-05-31,生物制品行业周报:五部门联合发布第一批国家版罕见病目录,渤海证券
878,2018-05-29,全球首创乙肝治疗生物新药获批5只机构扎堆推荐股迎上涨机遇,顶尖财经网
879,2018-05-29,医药行业周报2018第20期:一致性评价、创新政策驱动医药长期向上,长城证券
880,2018-05-17,三六零回应8元定增价系误读 青岛海尔遭股东KKR减持股份,云掌财经
881,2018-05-16,A股共发生65宗大宗交易成交26.25亿元（5月16日）,Wind
882,2018-05-16,[强烈推荐-A评级]天坛生物(600161)点评：重组八因子获批临床 未来产品梯队初现,中财网
883,2018-05-15,天坛生物：注射用重组人凝血因子Ⅷ获批临床试验,e公司
884,2018-05-15,天坛生物：子公司注射用重组人凝血因子Ⅷ获临试批件,Wind
885,2018-05-11,融资客青睐22股，金龙汽车买入占比高达46.90％,Wind
886,2018-05-11,天坛生物：5月10日融资余额为8.06亿元，较前一日骤增9.26%,Wind资讯
887,2018-05-07,[增持评级]血液制品行业深度报告：行业高度景气 强者恒强,中财网
888,2018-05-07,增速放缓、竞争加剧 2017年血制品行业有点动荡,医药网
889,2018-04-20,第三批混改名单呼之欲出，强强联合、卖壳齐头并进,--
890,2018-04-16,新一代抗生素已展现攻克超级细菌巨大潜力 四股掘金,证券之星
891,2018-04-13,医药股获资金追捧显防御本色 六股成摇钱树,证券之星
892,2018-04-11,天坛生物：共有单采血浆站55家 新获批浆站8家,中证网
893,2018-04-10,[看好评级]生物制品行业周报：国办印发改革仿制药供应保障及使用政策意见,中财网
894,2018-04-09,[强烈推荐-A评级]天坛生物(600161)年报点评：血制品稳健增长 龙头地位巩固,中财网
895,2018-04-08,天坛生物2017年年报点评:表现稳健的千吨血制品国家队,证券之星
896,2018-04-04,[增持评级]天坛生物(600161)年报点评：资产重组完成 血制品国家队整装待发,中财网
897,2018-04-03,139股获券商买入评级 当代明诚目标涨幅达75.84%,Wind
898,2018-04-02,[买入-A评级]天坛生物(600161)年报点评：业绩基本符合预期 重组后血制品龙头扬帆起航-天坛生物年报点评,中财网
899,2018-04-02,天坛生物：重组后血制品龙头扬帆起航 买入评级,安信证券
900,2018-04-02,4月2日传闻即将涨停个股,证券之星
901,2018-04-01,天坛生物：董事会七届八次会议决议公告,上交所
902,2018-04-01,天坛生物：2017年年度主要财务指标,上交所
903,2018-04-01,晚间重要公告2018年4月1日星期日,--
904,2018-04-01,投资收益提振业绩 天坛生物2017年净利同比增359%,中证网
905,2018-04-01,天坛生物：2017年净利润同比增长359.33%，拟10派2送3,Wind
906,2018-04-01,天坛生物：去年净利同比增长359% 拟10送3派2元,e公司
907,2018-03-24,巨丰原创：央企改革望再上风口 市场预热或提前展开,巨丰财经
908,2018-03-22,新经济下的国改价投机会在哪里？,红周刊
909,2018-03-20,早安！方正最新观点20180320,方正证券研究
910,2018-03-06,"《创新大牛市》行业篇之新型疫苗深度报告:生命至上,预防第一",证券之星
