,2021-12-31,科技驱动品牌突破 米蓓尔年终斩获三项大奖,美通社
1215,2021-05-11,华熙生物合作方造假 玻尿酸食品深陷“智商税”风波 欺诈造假,中国网
1216,2021-05-11,A股资金流向（5月11日）：周期股遭抛售，茅台重获资金青睐,Wind
1217,2021-05-11,老龄化程度加深，复盘日本十倍股，潜力股名单来了,Wind
1218,2021-05-11,2021年医药行业5月策略报告：短期波动不改长期趋势 仍重点推荐疫苗等,新浪
1219,2021-05-11,晨会聚焦210511重点关注有色、美妆&医美、农林牧渔、传媒、机械、非银、汉钟精机、牧原股份,国信研究
1220,2021-05-10,爱美客7亿营收撑得起1300亿市值么？,节点财经
1221,2021-05-10,商业贸易行业跟踪周报2021年第17期：华熙生物和爱美客分别发布医美新品“御龄双子针”和“冭活” 爆品打造值得期待,新浪
1222,2021-05-10,华熙生物今日大宗交易成交1.30万股，成交价194.3元溢价0.0%,Wind
1223,2021-05-10,2021年年中主要宽基指数样本股调整预测：金山办公等5只科创板个股有望纳入沪深300,新浪
1224,2021-05-10,商贸零售年报季报小结及前瞻：超市百货电商各有掣肘 持续关注化妆品及免税机遇,新浪
1225,2021-05-10,医美突围战： 市场供需增长迅猛、一二级加速分化，同质化竞争激烈,21世纪经济报道
1226,2021-05-10,医美概念再度活跃 澳洋健康通化金马等涨停,证券时报网
1227,2021-05-10,医美板块午后转暖，宜华健康涨停,Wind
1228,2021-05-10,解盘：百亿资金流入，顺周期、数字货币、医美、疫苗走强,Wind
1229,2021-05-10,美妆&医美20年年报暨21年一季报总结：行业景气度依旧高企 渠道及产品变革带来企业分化,新浪
1230,2021-05-10,【行情】医美概念股开盘拉升，哈三联直线封板，三星医疗竞价涨停，澳洋健康、华熙生物、爱美客等纷纷跟涨,金十数据
1231,2021-05-10,中国市场是美妆企业经济增长的强大后动力,亿邦动力
1232,2021-05-10,打造双循环交汇点，共享中国机遇,光明日报
1233,2021-05-09,星空独家︱玻尿酸，真是华熙生物的造富神器吗？,星空财富
1234,2021-05-09,【开源零售|周视角】“五一”黄金周社会消费稳步恢复、品质升级,泽鹏商业观察
1235,2021-05-09,面向祛静态纹市场空白，华熙生物推出润致「御龄双子针」,36氪
1236,2021-05-08,万物皆可玻尿酸,前瞻研究院
1237,2021-05-08,外资调仓路线图曝光，18股获3家及以上机构加仓,Wind
1238,2021-05-07,机会来了！这些公司有望调入沪深300、上证50指数,Wind
1239,2021-05-07,医美概念股节后暴跌，竟与华为入局有关？前景太好企业在疯狂砸钱 连续下跌,AI财经社
1240,2021-05-07,定了！新氧与华熙结成“未来医美共生联盟”！,新浪
1241,2021-05-07,华熙生物等3家药企2020年销售费用上涨100% 均超10亿元,中国网
1242,2021-05-07,新氧科技成华熙生物水光针产品唯一全面战略协作伙伴,中国网
1243,2021-05-07,A股资金流向（5月7日）：有色龙头持续获资金青睐,Wind
1244,2021-05-07,2020年，国家针对玻尿酸相关企业的行政处罚和裁决文书数量显着增多。行业上游的大整顿恐怕在所难免。,财华社
1245,2021-05-07,QFII高比例持有科创板股名单,证券时报网
1246,2021-05-07,阿里平台4月美妆数据：国产品牌GMV首次超过国际大牌,亿邦动力
1247,2021-05-07,安信研究|晨会在线20210507,安信证券研究
1248,2021-05-07,【4月化妆品电商数据：行业整体表现平淡】开源零售黄泽鹏团队,泽鹏商业观察
1249,2021-05-06,化妆品及医美20年及1Q21业绩总结：疫情不改行业景气 关注优质个股机会,国金证券股份有限公司
1250,2021-05-06,医药行业2020年年报及2021年一季报总结：Q1业绩复苏回暖 看好CXO、疫苗、创新器械和服务等高景气板块,西南证券
1251,2021-05-06,解盘：资金小幅流入，煤炭、纯碱、金属、火电领涨,Wind
1252,2021-05-06,QFII一季度持有科创板股名单（附股）,证券时报网
1253,2021-05-06,【东北社服李慧/李森蔓】华熙生物（688363）一季报点评：业绩增速亮眼，功能性护肤为收入增长引擎,东北证券研究所
1254,2021-05-05,【纺织服装】每周策略20210503：复苏趋势明确，重点关注超越行业增长的低估值龙头机会,时尚消费志
1255,2021-05-05,化妆品板块2020年年报及2021年一季报综述：国货美妆多维升级 21Q1财报表现超预期,招商时尚研究
1256,2021-05-05,山东，正在包揽全球“面子”生意,棱镜
1257,2021-05-05,爱美客7亿营收撑得起1300亿市值么？,环球老虎财经
1258,2021-05-05,棱镜｜全球8成玻尿酸山东造：医美机构称为上游原料打工，产能已过剩,腾讯网
1259,2021-05-05,医美上游企业最高市盈率可达217倍，行业发展驱动力在产业上游？,动脉网
1260,2021-05-04,假期医美手术预约排满，机构力推这些个股，公私募大佬扎堆布局,证券之星
1261,2021-05-04,礼包 | 五一大消费研究专题,中信建投证券研究
1262,2021-05-04,公私募大佬扎堆布局医美市场,上证报
1263,2021-05-04,陆家嘴财经早餐2021年5月4日星期二,Wind
1264,2021-05-03,外资一季度持仓路径解析：32公司被重仓超3年，4月重启加仓,Wind
1265,2021-05-03,华熙生物(688363)：医美业务强劲复苏 功能性护肤品持续高增长,广发证券
1266,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
1267,2021-05-01,国元证券维持华熙生物买入评级：产能产品不断壮大，业绩持续高速增长,每日经济新闻
1268,2021-05-01,玻尿酸食品化，华熙生物的下一个故事不好讲,阿尔法工场研究院
1269,2021-04-30,祛颈纹的嗨体赚嗨了！玻尿酸三巨头首季财报大比拼：华熙生物体量最大，爱美客净利狂增3倍,时代财经
1270,2021-04-30,最新个股研报精选：这只个股获四大机构关注（名单）,中金在线
1271,2021-04-30,A股主力资金流向（4月30日）：医药股获资金爆买,Wind
1272,2021-04-30,东莞证券维持华熙生物推荐评级，2021年一季报点评：功能性护肤品持续高增长，功能性食品强劲起势,每日经济新闻
1273,2021-04-30,东方财富证券维持华熙生物增持评级，2021年一季报点评，近期获32份券商研报关注，目标均价跌幅14.15%,每日经济新闻
1274,2021-04-30,71公司获得增持评级-更新中,中财网
1275,2021-04-30,医药“小阳春”行情渐入佳境 医药龙头股票有哪些？,至诚财经
1276,2021-04-30,明星私募一季度调仓：冯柳现身25家公司持仓超300亿 高瓴礼仁新进安图生物、伊利,腾讯网
1277,2021-04-30,多位明星基金经理增持，医药板块上涨的空间还大吗?丨牛熊眼,第一财经
1278,2021-04-30,东吴证券维持华熙生物买入评级：营收+111%，化妆品业务高速成长，医美业务提速可期，玻尿酸龙头壁垒高筑,每日经济新闻
1279,2021-04-30,大股东清仓式减持一周套现30亿，医美股不香了？ 减持股份,36氪
1280,2021-04-30,掘金科创板，QFII现身50只股前十大流通股东榜,证券时报网
1281,2021-04-30,社保基金现身28只科创板股前十大流通股东榜,证券时报网
1282,2021-04-30,华熙生物(688363)：业绩略超预期 医美与功能性护肤品业务齐发力,新浪
1283,2021-04-30,华熙生物(688363)：医美&护肤品超预期高增，新业务新品类快速起势,中信建投证券研究
1284,2021-04-29,西部证券维持华熙生物买入评级：功能性护肤持续放量，医疗终端稳步恢复,每日经济新闻
1285,2021-04-29,顶流机构持仓：张坤“挥别”爱股，谢治宇“新欢”涨停,Wind
1286,2021-04-29,冯柳、景林、礼仁最新持仓动向来了！,Wind
1287,2021-04-29,推进四轮驱动战略 华熙生物2021年一季度营收净利双增,证券日报网
1288,2021-04-29,A股资金流向（4月29日）：大资金涌入券商龙头,Wind
1289,2021-04-29,果然顶流！刚刚，谢治宇“新欢”涨停了！张坤却“挥别”爱股，冯柳、景林、礼仁最新持仓动向来了！,中国基金报
1290,2021-04-29,华熙生物直追、昊海生科掉队，爱美客能否笑到最后？,36氪
1291,2021-04-29,华熙生物(688363)：功能性护肤品快速增长 食品级打开“四轮驱动”,新浪
1292,2021-04-29,信号？冯柳一季度净卖出超百亿元A股，全买了港股？,Wind
1293,2021-04-29,社保基金持有18只科创板股：新进7股，增持5股,证券时报网
1294,2021-04-29,华熙生物：聘任李亦争出任公司董事会秘书,每日经济新闻
1295,2021-04-29,华熙生物：2021年第一季度净利润约1.52亿元，同比增加41.05%,每日经济新闻
1296,2021-04-28,重点开发线上销售渠道华熙生物今年一季度营收7.77亿,资本邦
1297,2021-04-28,华熙生物：一季度营收为7.77亿元，同比增长111.12%,36氪
1298,2021-04-28,华熙生物(688363.SH)一季度净利润升41.05%至1.52亿元,格隆汇
1299,2021-04-28,华熙生物：一季度净利润同比增长41.05%,Wind
1300,2021-04-28,医美行业正快速发展,大众证券报
1301,2021-04-28,社服零售行业周报：中免业绩如期高增 Q1化妆品企业业绩靓丽,新浪
1302,2021-04-28,【医药】子行业走势分化，偏好消费、科技、服务属性——医药行业月报——看好,渤海证券研究
1303,2021-04-28,医美市场规模有望加速扩容,大众证券报
1304,2021-04-27,科技赋能透明质酸入食 华熙生物“小分子”推动产业“大升级”,中国经济网
1305,2021-04-27,华熙生物：携手山东大学联合成立“合成生物学联合创新中心”,e公司
1306,2021-04-27,A股上演“V”型反转，千亿巨头却闪崩跌停！特斯拉又出事了,Wind
1307,2021-04-27,A股资金流向（4月27日）：医疗板块多个细分龙头获青睐，券商股遭抛售,Wind
1308,2021-04-27,颜值经济推动医美市场高景气，这些细分领域龙头值得关注丨牛熊眼,第一财经
1309,2021-04-27,医美板块逆市上涨0.53% 双鹭药业、奥园美谷涨停,证券日报网
1310,2021-04-27,医美板块午后再度活跃，朗姿股份涨停,Wind
1311,2021-04-27,瞰鉴鲁股：板块总市值一周上涨逾千亿，奥福环保董事长被查遭遇黑天鹅 环保处罚,每日经济新闻
1312,2021-04-27,布局食品新赛道是征收智商税还是开拓华熙生物新业绩增长点？,资本邦
1313,2021-04-27,QFII持有科创板股揭秘：新进23股，增持7股,证券时报网
1314,2021-04-27,19家化妆品相关上市企业，谁最赚钱？,联商网
1315,2021-04-26,医美巨头华熙生物进入食品赛道：“智商税”还是新增长点？,国际金融报
1316,2021-04-26,净利润短期下滑12.9%？“资金+管线”或才是科兴制药2020年亮点 盈利能力下降,药智网
1317,2021-04-26,A股资金流向（4月26日）：主力资金连续5日净流出，中国平安持续被抛售,Wind
1318,2021-04-26,天风证券：医美行业扶摇直上 产品储备竞相卡位轻医美细分赛道,--
1319,2021-04-26,休闲服务行业周报：持续关注“颜值经济”投资机遇,国海证券
1320,2021-04-26,年轻一代的新“食”尚快来了解一下,重庆商报
1321,2021-04-26,解盘：百亿资金流入，金属、肺炎检测、疫苗、第三代半导体领涨,Wind
1322,2021-04-26,创新功能食品发展 华熙生物引领共建大健康产业新生态,上证报
1323,2021-04-26,透明质酸入食引发新“风口” 华熙生物引领功能性食品新潮,证券日报
1324,2021-04-25,玻尿酸食品化，华熙生物的下一个故事?,36氪
1325,2021-04-25,华熙生物透明质酸“入食”获批 走入功能性食品新赛道,证券日报网
1326,2021-04-25,创意糖果、功能性食品 年轻一代的新“食”尚了解一下,新华网
1327,2021-04-24,券商首次关注3股并给予买入评级（4月24日）,Wind
1328,2021-04-24,华熙生物卖水切入食品新赛道，“口服玻尿酸”是否有效引热议,华夏时报
1329,2021-04-23,反常！突然熄火！医美股领跌两市！医美到底“美不美”？,央视财经
1330,2021-04-23,医美业务下滑三成，华东医药单押少女针，但爱美客“同款”7年销售额不过亿 盈利能力下降,证券之星
1331,2021-04-23,市盈率300倍 玻尿酸与茅台：谁是A股王中王,华夏时报
1332,2021-04-23,华熙生物：举办高峰论坛共建功能性食品大健康生态,证券时报网
1333,2021-04-23,华熙生物：加快透明质酸入食应用研究 打造健康产业生态,中证网
1334,2021-04-23,A股主力资金流向（4月23日）：机构抱团股重获追捧，中国平安连续7日遭抛售,Wind
1335,2021-04-22,A股资金流向（4月22日）：科技龙头获抢筹，中国平安连续被抛售,Wind
1336,2021-04-22,医美大热，玻尿酸龙头地位无可撼动，百亿产业链深度解读,云掌财经
1337,2021-04-22,持续加码研发，科创板药企显露“硬科技”底色,Wind
1338,2021-04-21,A股资金流向（4月21日）：医美龙头获青睐，华为汽车概念遭抛售,Wind
1339,2021-04-21,医美板块午后持续走高，华东医药涨停,Wind
1340,2021-04-21,医美板块全线爆发，朗姿股份涨停创阶段新高,Wind
1341,2021-04-21,医美板块反复活跃，朗姿股份跳涨7%,Wind
1342,2021-04-20,医美行业大爆发，相关优质公司分析！,云掌财经
1343,2021-04-20,A股资金流向（4月20日）：新能源汽车板块遭抛售，光伏巨头获抢筹,Wind
1344,2021-04-20,A股午盘综述：上证指数涨0.29%，创业板指涨0.67%,Wind
1345,2021-04-20,医美板块拉升爱美客、华熙生物双双涨超7%,格隆汇
1346,2021-04-20,医美板块崛起，龙头爱美客大涨8%,Wind
1347,2021-04-20,爱美客千亿市值的跌宕起伏,云掌财经
1348,2021-04-20,QFII持有科创板揭秘新进20股，增持5股,证券之星
1349,2021-04-19,A股资金流向（4月19日）：资金大量进场，新能源板块备受追捧,Wind
1350,2021-04-19,医美板块尾盘发力，昊海生科大涨6%,Wind
1351,2021-04-19,销售费用大增111%！华熙生物发力玻尿酸食品，智商税还是新赛道？,投资时报
1352,2021-04-19,太平洋--医美行业研究一：国内市场迎朝阳，关注产业链各环节头部公司【行业研究】,金融界股吧
1353,2021-04-19,获千万Pre-A轮融资“变美日记”做标准化医美严选供应链,亿邦动力
1354,2021-04-19,纺织服装行业周报：纺服板块持续回暖 家纺一季报有望全面超预期,全球纺织网
1355,2021-04-16,【3月社零同比+34.2%，珠宝最亮眼、餐饮持续恢复】开源零售黄泽鹏团队,泽鹏商业观察
1356,2021-04-16,A股资金流向（4月16日）：白酒股强者恒强，恒瑞医药连遭资金抛售,Wind
1357,2021-04-16,万物皆可玻尿酸,36氪
1358,2021-04-16,全产业链布局深入，华熙生物要做生物科技的3M？,云掌财经
1359,2021-04-15,QFII去年年末新进16只科创板股 增持4只,同壁财经
1360,2021-04-15,昊海生科扣非净利暴跌超40% “医美三剑客”掉队者靠收购能否逆袭 盈利能力下降,投资者网
1361,2021-04-15,【商社】深度研究：功能性护肤开启黄金时代，国货品牌乘势而起,天风研究
1362,2021-04-14,含玻尿酸食品有无美肤效果？华熙生物产品陷争议,广州日报
1363,2021-04-14,天地板、一字板、昨闪崩今大涨……谁能驾驭这些热门股？,Wind
1364,2021-04-14,2020年美妆业：完美日记亏27亿元居首 屈臣氏也扛不住,GPLP犀牛财经
1365,2021-04-14,QFII去年年末新进15只科创板股 增持4只,同壁财经
1366,2021-04-14,QFII去年年末新进15只科创板股 增持4只,证券时报网
1367,2021-04-13,A股资金流向（4月13日）：短线热门题材熄火，中国中免遭抛售,Wind
1368,2021-04-13,【行情】医美概念股再度走强，金发拉比、悦心健康涨停，华熙生物、昊海生科等涨超4%,金十数据
1369,2021-04-13,解盘：超百亿资金流入，肺炎检测、数字货币、TWS耳机领涨,Wind
1370,2021-04-13,玻尿酸行业：黄金赛道 终端产品市场潜力巨大,财富动力网
1371,2021-04-12,去年营利创近四年新低，医美三剑客之一的昊海生科怎么了？ 连续下跌,资本邦
1372,2021-04-12,理财日报：明星基金经理最新动向曝光 7亿多元布局这个板块,中金在线
1373,2021-04-12,A股资金流向（4月12日）：市场消化财报预期，周期股龙头遭抛售,Wind
1374,2021-04-12,万联证券--商业贸易行业周观点：贝泰妮股价创新高，阿里巴巴涉垄断被罚【行业研究】,金融界股吧
1375,2021-04-12,中国消费者报：华熙生物透明质酸饮品等宣传功效或涉嫌违法 其他违规处罚,格隆汇
1376,2021-04-12,华熙生物：华熙生物生命健康产业园项目预计将于2023年第二季度投产,每日经济新闻
1377,2021-04-12,商业贸易行业周报：重点公司一季报前瞻 关注稳健增长个股,新浪
1378,2021-04-12,纺织服装行业周报：国货消费热潮初现 家纺一季报有望兑现高景气,新浪
1379,2021-04-12,商贸零售行业周报：叮咚买菜完成新一轮融资 生鲜电商行业竞争激烈,新浪
1380,2021-04-12,阿里被巨额罚款182亿，到底有多大影响？机构火速解读！,富途证券
1381,2021-04-12,4 月 10 日，市场监管总局向阿里巴巴集团发出《行政指导书》和《行政处罚书》，由于「二选一」垄断行为被处以 182.28 亿元罚款，阿里巴巴回应表示诚恳接受，坚决服从。,富途证券
1382,2021-04-12,参与大宗交易和定增，大佬们被套了,Wind
1383,2021-04-12,QFII投资图谱徐徐揭开面纱，四季度新进93股,Wind
1384,2021-04-12,“医美三剑客”拼年报：爱美客毛利居首 昊海生科净利掉队,北京商报
1385,2021-04-11,来自基金经理投资展望的启示丨一周重点研究报告,开源证券研究所
1386,2021-04-11,疫情之下玻尿酸市场B端低迷C端崛起 华熙生物“押注”新赛道,每日经济新闻
1387,2021-04-11,华熙生物董事长赵燕：发展玻尿酸食品将是公司核心工作,每日经济新闻
1388,2021-04-11,陆家嘴财经早餐2021年4月11日星期日,Wind
1389,2021-04-10,玻尿酸食品“收割智商税”？A股龙头华熙生物回应：国外已有超过30年历史！公司称核心发展逻辑是这样的,e公司
1390,2021-04-10,玻尿酸食品“收割智商税”？A股龙头华熙生物回应,Wind
1391,2021-04-10,券商首次关注5股并给予买入评级（4月10日）,Wind
1392,2021-04-09,华熙生物功能性护肤品业务连续三年增长超过100%,证券日报网
1393,2021-04-09,华熙生物去年营收超26亿元 功能性护肤品业务同比增112%,21世纪经济报道
1394,2021-04-09,重磅深度！【华熙生物：透明质酸全产业链龙头，四轮驱动打开新成长空间】开源零售黄泽鹏团队,泽鹏商业观察
1395,2021-04-09,华熙生物(688363.SH)收购佛思特公司100%股权事宜顺利完成,智通财经
1396,2021-04-09,华熙生物(688363)公司首次覆盖报告：透明质酸全产业链龙头 四轮驱动打开新成长空间,新浪
1397,2021-04-09,华熙生物(688363)：功能性护肤品全线爆发 品牌帝国雏形初现,新浪
1398,2021-04-09,可以吃喝的玻尿酸食品来了！华熙生物表示希望给创新多些空间,中国经济周刊
1399,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
1400,2021-04-09,A股资金流向（4月9日）：新股上市首日遭爆炒，白马股再遭抛售,Wind
1401,2021-04-09,华熙生物：今年将重点发力食品终端业务,经济日报
1402,2021-04-09,开源证券：华熙生物（688363.SH）透明质酸全产业链龙头，首予“买入”评级,智通财经
1403,2021-04-09,开源证券给予华熙生物买入评级：透明质酸全产业链龙头，四轮驱动打开新成长空间,每日经济新闻
1404,2021-04-09,医美板块午前再度走俏，光莆股份、三友医疗双双涨近4%,Wind
1405,2021-04-09,【行情】医美板块开盘异动拉升，澳洋健康涨停，览海医疗涨7.84%，司尔特涨3.36%，哈三联、华熙生物等跟涨,金十数据
1406,2021-04-09,社保基金现身10只科创股十大流通股东榜,证券之星
1407,2021-04-09,【国元商社】化妆品行业2021年3月数据跟踪：淘系增长略有承压，直播带动华熙生物表现亮眼,典评文娱
1408,2021-04-09,医美龙头“躺着赚钱”难,阿尔法工场研究院
1409,2021-04-09,“钝感之城”迈入万亿俱乐部 济南做对了什么,证券时报
1410,2021-04-08,直击现场|华熙生物：功能性食品4月底、5月初投向市场将成驱动营收增长“第四轮”,科创板日报
1411,2021-04-08,可食用玻尿酸“收割智商税”？华熙生物反驳：未来将持续押注创新型食品,钛媒体
1412,2021-04-08,A股资金流向（4月8日）：热门次新股剧烈波动，医药白马获青睐,Wind
1413,2021-04-08,阿里平台3月彩妆护肤数据：国产品牌花西子GMV规模第一,亿邦动力
1414,2021-04-08,华熙生物销售费用增速远高营收 玻尿酸喝出“美丽”是智商税？,新浪
1415,2021-04-08,医美概念午后持续大涨 华熙生物、爱美客涨超9%,e公司
1416,2021-04-08,高端医美不用再出国，机构：布局赛道投资机会正当时丨牛熊眼,第一财经
1417,2021-04-08,华熙生物2020年营收、净利润双增长 今年将大力发展食品终端业务,中国网
1418,2021-04-08,华熙生物：2020年业绩实现逆势增长,中证网
1419,2021-04-08,海南重磅利好，多股直线涨停！10倍碳中和明星股崩了,Wind
1420,2021-04-08,一瓶玻尿酸饮用水背后，华熙生物的「科技卡位」,云掌财经
1421,2021-04-08,两部门支持海南高端医美产业发展 主力资金早盘抢筹医美概念股,第一财经
1422,2021-04-08,解盘：百亿资金流入，医美、海南、疫苗、乳业领涨,Wind
1423,2021-04-08,A股午盘综述：上证指数涨0.19%，创业板指涨0.86%.,Wind
1424,2021-04-08,华熙生物2020年报点评：科技赋能大健康产业，战略性投入铺路未来成长,中金在线
1425,2021-04-08,医美概念表现活跃 华熙生物涨超7%,e公司
1426,2021-04-08,医美板块盘中发力，华熙生物涨超6%,Wind
1427,2021-04-08,【机会挖掘】两部门支持海南高端医美产业发展 我国美市场规模或达万亿级,证券时报网
1428,2021-04-08,QFII持股揭秘：重仓17只科创板股，最高持仓比例近10%,证券时报
1429,2021-04-08,2021年3月化妆品行业数据点评：华熙、珀莱雅优秀 多品牌推新,新浪
1430,2021-04-08,华熙生物：2020年功能性护肤品实现高增长 2021年重点做六件事,金融界
1431,2021-04-08,华熙生物2020年营收、净利双增长 向“四轮驱动”转变,上证报
1432,2021-04-08,开源晨会0408丨没有高PE的买，就不要低PE的卖；海大集团、极米科技、当升科技等,开源证券研究所
1433,2021-04-08,华熙生物(688363)：功能性护肤持续高增长 玻尿酸业务全面开花,国金证券股份有限公司
1434,2021-04-08,科创板2020年机构增持路线图 公募热捧头部大公司,21世纪经济报道
1435,2021-04-07,华熙生物：打造品牌致费用率增高 重点布局透明质酸食品终端,财联社
1436,2021-04-07,中国银河证券维持华熙生物推荐评级：收入快速增长，功能性护肤品高速放量,每日经济新闻
1437,2021-04-07,科创板机构持股路线图：大部头公司受热捧、朱雀 “霸榜”金达莱,Wind
1438,2021-04-07,科创板机构持股路线图：大部头公司受热捧、朱雀 “霸榜”金达莱,21世纪经济报道
1439,2021-04-07,华熙生物(688363)：收入快速增长 功能性护肤品高速放量,新浪
1440,2021-04-07,医美暴利三剑客！“药妆第一股”贝泰妮暴涨660亿，干翻了法国巨头雅漾，红杉资本7年前已重金杀入,金融界
1441,2021-04-07,A股资金流向（4月7日）：资金潜伏一季报预期行业，白马股再遭抛售,Wind
1442,2021-04-07,商业贸易行业点评报告：3月化妆品电商数据-高基数下整体表现平平 头部国货品牌相对突出,新浪
1443,2021-04-07,商业贸易行业动态：华熙生物2020年护肤品强势增长 奥园美谷达成胶原蛋白相关战略合作,新浪
1444,2021-04-06,广发科创板一周全景(4月第1期)：中长线资金有何增量信息？,广发证券
1445,2021-04-06,医美龙头同命不同路,36氪
1446,2021-04-06,功能性护肤品行业深度研究报告：药妆是药还是妆？国牌正崛起,新浪
1447,2021-04-06,护肤品卖13亿，又卖玻尿酸饮用水，华熙还要做玻尿酸套套？,健识局
1448,2021-04-06,医药行业2021年4月投资月报：把握一季报最佳反弹窗口期 加配低估值且高增长标的,西南证券
1449,2021-04-06,医药行业周报：当前是反弹最佳窗口期 加配低估值高增长标的,西南证券
1450,2021-04-06,2021年医药行业4月策略报告：Q1业绩高成长是股价核心催化剂,新浪
1451,2021-04-06,行业观察|医美上游巨头瞄准“直触C端产品”未来市场技术与材料系行业核心驱动力,证券之星
1452,2021-04-06,【社服-刘文正】商贸零售行业：华熙生物3月销售亮眼依旧，国货之星冉冉升起,安信证券研究
1453,2021-04-05,纺织服装行业周报：年报出炉纺服企业稳健增长 21Q1有望高增,新浪
1454,2021-04-05,商业贸易行业周报：消费者代际切换至Z 世代 国货化妆品“群众基础”扎实,华福证券有限责任公司
1455,2021-04-05,一文看懂为何近期医疗服务、医美标的股价反弹涨幅较大,21世纪经济报道
1456,2021-04-04,每日报告回放,新浪
1457,2021-04-04,华熙生物(688363)：2020年收入增40%利润增10% 功能性护肤表现亮眼 组织机制持续升级,新浪
1458,2021-04-04,医药投向标|福建第二轮集采纳入生物制品微医正式向港交所提交上市申请生物医药企业年报披露潮,科创板日报
1459,2021-04-02,上交所：科创板公司年度业绩说明会行业主题周正式启动,Wind
1460,2021-04-02,A股资金流向（4月2日）：成长与价值齐飞，机构抱团股连续获资金抢筹,Wind
1461,2021-04-02,商贸零售2021年4月投资策略：可选消费彰显复苏弹性 关注财报绩优龙头,新浪
1462,2021-04-02,QFII去年年末新进11只科创板股 增持4只,证券时报网
1463,2021-04-02,QFII持有科创板股揭秘：新进11股，增持4股,证券时报
1464,2021-04-02,天风证券给予华熙生物买入评级，品牌建设元年护肤品高增带动Q4营收yoy+73.4%，研发为基生物活性物全产业链开花,每日经济新闻
1465,2021-04-01,最前线｜华熙生物2020年营收26亿元，一半以上来自功能性护肤品,36氪
1466,2021-04-01,华熙生物(688363)年报点评报告：品牌建设元年护肤品高增带动Q4营收YOY+73.4% 研发为基生物活性物全产业链开花,新浪
1467,2021-04-01,华熙生物(688363)2020年年报点评：功能性护肤品强力驱动 全年业绩表现亮眼,新浪
1468,2021-04-01,国内市场成长空间巨大，医美板块“卷土重来”丨牛熊眼,第一财经
1469,2021-04-01,华金证券给予华熙生物增持评级，全年业绩正增长，品牌建设推动C端成果显现,每日经济新闻
1470,2021-04-01,晨会聚焦210401重点关注纺织服装、医药生物、安克创新、药明康德、新和成、卓胜微、中芯国际-U、华熙生物、周大生、宇信科技,国信研究
1471,2021-04-01,社保基金现身10只科创板股前十大流通股东榜,证券时报网
1472,2021-04-01,口服玻尿酸，是智商税还是财富密码？|新消费观察,网易
1473,2021-03-31,华熙生物(688363)2020年年报点评：整体符合预期 品牌知名度提升带动功能性护肤品高增,新浪
1474,2021-03-31,华熙生物(688363)：功能性护肤品翻倍增长 玻尿酸龙头多品类多业务期待发力,光大证券
1475,2021-03-31,这个品类增长超1倍！华熙生物2020年化妆品业务暴走，玻尿酸食品仍难“出圈”,时代财经
1476,2021-03-31,玻尿酸第一股华熙生物：2020年超5成收入来自化妆品，销售费用增111%占营收4成,搜狐
1477,2021-03-31,功能性护肤品收入暴增112.19% 华熙生物研发驱动全产业链开花,证券日报网
1478,2021-03-31,华熙生物跌2.66% 市值740亿元去年净利6.46亿,中国经济网
1479,2021-03-31,平安证券给予华熙生物推荐评级，终端业务发展良好，推动营收规模快速上升,每日经济新闻
1480,2021-03-31,火出圈的华熙生物披露年报：2020年营收26.33亿元 一半靠卖护肤品,e公司
1481,2021-03-31,国信证券：华熙生物(688363.SH)业绩稳健增长，维持“增持”评级,智通财经
1482,2021-03-31,华熙生物加速拓展玻尿酸下游 销售费用率41.75% 能否积淀成为护城河？,科创板日报
1483,2021-03-31,万联证券--商业贸易行业周观点：贝泰妮登陆创业板，华熙生物推玻尿酸饮用水【行业研究】,金融界股吧
1484,2021-03-31,宣布推出国内首款玻尿酸饮用水华熙生物去年盈利6.46亿元,资本邦
1485,2021-03-31,华熙生物(688363)：功能性护肤持续亮眼,新浪
1486,2021-03-31,中泰证券维持华熙生物买入评级，2020年报点评：功能性护肤持续亮眼,每日经济新闻
1487,2021-03-31,社保基金新进4股，增持2股可关注（附股）,证券之星
1488,2021-03-31,【医药】结合板块走势，甄选Q1业绩高增长个股――医药行业月报 ——中性,渤海证券研究
1489,2021-03-31,社保基金持有10只科创板股：新进4股，增持2股,证券时报网
1490,2021-03-30,华熙生物2020年净利同比增逾一成 拟10派4.1元,上证报
1491,2021-03-30,华熙生物(688363.SH)年度归母净利同比增10.29%至6.46亿元 拟10股派4.1元,智通财经
1492,2021-03-30,华熙生物(688363.SH)2020年度净利润升10.29%至6.46亿元 拟10派4.1元,格隆汇
1493,2021-03-30,天猫小黑盒，激活国货的“另一面”,每日经济新闻
1494,2021-03-30,华熙生物：2020年净利6.46亿元 同比增10%,e公司
1495,2021-03-30,华熙生物：2020年净利同比增长10.29%拟10派4.1元,格隆汇
1496,2021-03-30,华熙生物：2020年净利润同比增长10.29%,Wind
1497,2021-03-30,A股资金流向（3月30日）：机构抱团股表现不俗，光伏龙头获抢筹,Wind
1498,2021-03-30,C贝泰妮(300957)：国货之光 厚积薄发,新浪
1499,2021-03-30,医美未来5-10年迎来赛道黄金时期，北向资金大举加仓这些公司,第一财经
1500,2021-03-30,社服零售行业周报：1-2月海南离岛免税销售大幅增长 九毛九20年业绩超预期,新浪
