,2021-12-31,400余药企研发人员已超16.7万，研发速度不断提升,--
2200,2019-10-16,A股头条：外交部确认中美达成阶段协议9月金融数据出炉超预期,金融界
2201,2019-10-15,格隆汇港股聚焦(10.15)︱华南城上半财年合约销售升13.7%达77.33亿港元 中国太平前9个月原保费收入升11.5%至1411.24亿元,格隆汇
2202,2019-10-15,A股头条之上市公司（10.16）,金融界
2203,2019-10-15,公告精选：贵州茅台前三季净利增23%；隆基股份第三季净利预增近3倍,e公司
2204,2019-10-15,上海医药(02607.HK)10月30日举行董事会议 以批准季度业绩,格隆汇
2205,2019-10-15,上海医药(02607.HK)盐酸多西环素胶囊及片剂获得美国FDA批准文号,格隆汇
2206,2019-10-15,医疗板块异动多只个股涨停， 业绩支撑下四类标的股获机构青睐,第一财经
2207,2019-10-14,复旦张江上会在即 能否成为第二家科创板+H的公司？,新浪
2208,2019-10-14,这些药企 人员要变动,赛柏蓝
2209,2019-10-13,药企的三条路，板块的三季报--医药行业周报（2019.10.07-2019.10.13）,兴证医药健康
2210,2019-10-13,医疗保健：带量采购对医药流通行业影响 荐3股,安信证券
2211,2019-10-11,“2019中国医药上市公司竞争力”颁奖典礼来了！,E药经理人
2212,2019-10-11,三季报即将披露，关注医药三大主线和望迎边际变化领域或个股,证券时报网
2213,2019-10-09,健麾信息闯关IPO 500万固定资产能否撑起高科技企业的帽子？,投资者网
2214,2019-10-08,瑞康医药（002589.SZ）：表面上的“好学生”，会成为医药流通行业的“淘汰品”吗？,格隆汇
2215,2019-10-02,【权益变动】上海医药(02607-HK)获摩根士丹利增持168.53万股,财华社
2216,2019-10-02,【大行报告】交银国际:“互联网+药品流通”带来新机会,财华社
2217,2019-10-02,9月医药大事件之榜单篇：上半年研发、净利润排名出炉,制药网
2218,2019-10-01,中国电器过会 又一家央企子企业将登陆科创板,新京报
2219,2019-09-30,国家组织药品集中采购和使用试点将在全国推开，这些医药股已站在风口,第一财经
2220,2019-09-30,2019年医药三季报业绩前瞻||三季报预期向好，关注“变化”、稳守“核心资产”【兴证医药】,兴证医药健康
2221,2019-09-30,国民经济70年“领头雁”：混改成为国企改革突破口,第一财经
2222,2019-09-30,"医药行业周报:带量采购扩面落地,转型创新不二选择",西南证券
2223,2019-09-27,2亿美元！引进6款热门生物药，上海医药抢入创新药战局胜算几分？,财华社
2224,2019-09-26,A股共发生122宗大宗交易成交29.3亿元（9月26日）,Wind
2225,2019-09-26,上半年销售费用近65亿，上海医药重销售轻研发的“病”该如何治一治？,财华社
2226,2019-09-26,上海医药今日大宗交易成交150万股，成交价18.3元溢价0.0%,Wind
2227,2019-09-26,格隆汇个股放量排行榜 | 9月26日,格隆汇
2228,2019-09-25,医药企业赚钱能力榜出炉！这5家药企净利润超20亿！,制药网
2229,2019-09-25,异动直击|「4+7」集采扩面激烈杀价，医药股再度走弱,富途证券
2230,2019-09-24,格隆汇港股聚焦(9.24)︱百威亚太发售价定为27港元/股 复星旅文称就Thomas Cook事件未进行任何出资,格隆汇
2231,2019-09-24,上海医药：控股子公司获得药品GMP证书,e公司
2232,2019-09-24,上海医药(02607.HK)子公司正大青春宝获新版GMP证书,格隆汇
2233,2019-09-24,上海医药(601607.SH)：正大青春宝获药品GMP证书,格隆汇
2234,2019-09-23,消费+科技属性将驱动医药长牛 --医药行业周报（2019.09.16-2019.09.22）,兴证医药健康
2235,2019-09-22,创新药盛会相继召开，坚守医药创新核心资产【西南医药|0922周报】,国广有话说
2236,2019-09-21,上海医药子公司违法出口药品被罚！延安必康因“受限令”关停生产线 其他违规处罚,医药手机报
2237,2019-09-20,上海医药(02607-HK)获核准增发不超过约1.84亿股境外上市外资股,财华社
2238,2019-09-20,上海医药(02607.HK)控股股东上实集团增持20万股H股,格隆汇
2239,2019-09-20,上海医药(601607.SH)非公开发行境外上市外资股(H股)获中国证券会核准,格隆汇
2240,2019-09-19,拟折价7%配股，最高净筹40亿港元，国药控股究竟缺的是啥？,财华社
2241,2019-09-18,格隆汇港股聚焦(9.18)︱通达集团拟分拆公司于深交所独立上市 四川成渝8月通行费收入升4.85%至4.07亿元,格隆汇
2242,2019-09-18,上海医药(601607.SH)：控股股东上实集团再增持6.4万股H股,格隆汇
2243,2019-09-18,上海医药(02607.HK)控股股东上实集团增持6.4万股H股,格隆汇
2244,2019-09-18,大动作！上海医药引进6款重磅生物药 PD-1、阿达木单抗在列,新浪
2245,2019-09-18,上海医药与俄药企投4亿美金设合资公司 将引6个生物药入华,21世纪经济报道
2246,2019-09-18,上海医药与BIOCAD设合资公司 首批6个生物药将陆续投放大中华区,证券时报网
2247,2019-09-18,早间公告：二三四五股东浙富控股拟减持公司股份,Wind
2248,2019-09-17,格隆汇港股聚焦(9.17)︱白云山子公司星群药业获药品GMP证书 腾讯控股耗资3770.48万港元回购11万股,格隆汇
2249,2019-09-17,上海医药(02607.HK)控股股东上实集团增持10万股H股,格隆汇
2250,2019-09-17,投资医药主题，还在纠结创新药or仿制药？,养基司令
2251,2019-09-16,格隆汇港股聚焦(9.16)︱	中国平安前8月原保费收入升9.43%至5542亿元 中国国航8月旅客周转量同比升6.1%,格隆汇
2252,2019-09-16,行业延续高景气度 低估值医药股存“秋收”机会,大众证券报
2253,2019-09-16,上海医药(02607.HK)控股股东上实集团增持5.05万股H股,格隆汇
2254,2019-09-16,2019上半年，这5家药企销售费用均超32亿元,制药网
2255,2019-09-16,上海医药:销售费用攀升拖累利润增长 商誉金额超百亿 盈利能力下降,新浪
2256,2019-09-12,格隆汇港股聚焦(9.12)︱众安在线前8月原保费收入增近两成 复宏汉霖将于9月25日登陆港交所,格隆汇
2257,2019-09-12,上海医药(601607.SH)：上实集团于9月12日增持20.55万股H股,格隆汇
2258,2019-09-12,上海医药(02607.HK)控股股东上实集团增持20.55万股H股,格隆汇
2259,2019-09-11,格隆汇港股聚焦(9.11)︱佳兆业前8月销售443亿元 星美文化旅游拟收购270多家影院,格隆汇
2260,2019-09-11,上海医药(02607.HK)控股股东上实集团增持30万股H股,格隆汇
2261,2019-09-11,复旦张江(01349.HK)与上海医药订立销售及分销协议,格隆汇
2262,2019-09-10,孙飘扬、陈启宇、吕明方往一个城墙口冲锋：中国药企进军世界前列的准备、挑战、时间,E药经理人
2263,2019-09-10,上海医药(02607.HK)控股股东上实集团增持19.35万股H股,格隆汇
2264,2019-09-10,华鑫证券：医药生物板块业绩增长稳健 配置价值显著,证券时报网
2265,2019-09-10,营收百亿药企大比拼：恒瑞、复星、上药,赛柏蓝
2266,2019-09-10,央地重组，*ST沈机将重构机床格局？,财经网
2267,2019-09-10,上海医药：工业保持快速增长，商业龙头效应凸显,证券时报网
2268,2019-09-09,格隆汇港股聚焦(9.9)︱广汽前8个月汽车销量达131.94万辆 龙光地产8月合约销售增逾五成,格隆汇
2269,2019-09-09,港股复盘：5G主题再度降临,YY港股圈
2270,2019-09-09,上海医药(601607.SH)：上实集团于9月9日增持50万股H股,格隆汇
2271,2019-09-09,上海医药(02607.HK)控股股东上实集团增持50万股H股,格隆汇
2272,2019-09-09,中国通用入局*ST沈机，综改企业将成市场热点,财经网
2273,2019-09-09,医药行业周报:病理免疫组化为被市场遗忘的“小化学发光”,西南证券
2274,2019-09-08,病理免疫组化为被市场遗忘的“小化学发光”【西南医药|0908周报】,国广有话说
2275,2019-09-08,壮丽70年·奋斗新时代 | 架起沟通桥梁 促进行业发展,中国医药报
2276,2019-09-08,半年销售费用1361亿！医药行业销售费用率升至32.67%，创8年新高,券商中国
2277,2019-09-07,市值冲破1600亿港元!翰森制药领跑港股医药股，高市值背后有何难题待解？,财华社
2278,2019-09-06,上海医药(02607.HK)获上实集团增持14.31万股,格隆汇
2279,2019-09-06,市管竞争类企业30家获上市预期 上海国企改革行情有望迎风而起,第一财经
2280,2019-09-06,【策略】陈龙、徐驰：国企改革：金秋崛起！——《上海市开展区域性国资国企综合改革试验的实施方案》点评-20190905,中泰证券研究所
2281,2019-09-05,药企发布2019半年度报，17家营收超百亿,制药网
2282,2019-09-05,中生制药涨近3% 抗肿瘤药获批新适应症,新浪
2283,2019-09-05,康希诺(6185.HK)：港股疫苗第一股,YY港股圈
2284,2019-09-05,港股公告精选：腾讯控股9月4日斥3181.24万港元回购9.44万股,Wind
2285,2019-09-04,上海医药关于控股股东增持公司H股股份的进展公告,亿邦动力
2286,2019-09-04,上海医药(601607.SH)9月4日获上实集团增持8万股H股,格隆汇
2287,2019-09-04,【东吴医药】医药生物行业2019H1业绩总结：行业增速放缓，龙头引领增长，聚焦创新药产业链、创新生物制品、医疗服务等景气细分赛道,东吴医药研究团队
2288,2019-09-04,【医药】医药生物行业2019年中报综述: 板块内部继续分化，2019全年业绩前低后高*强于大市,中银国际证券研究
2289,2019-09-04,"上海医药:工商业稳定增长,研发投入持续加大",东北证券
2290,2019-09-03,上海医药(02607.HK)控股股东上实集团增持2万股H股,格隆汇
2291,2019-09-03,继续看好医药核心资产，坚守创新、消费和器械【西南医药|0901周报】,国广有话说
2292,2019-09-03,【国元医药】2019H1汇总分析：业绩与行情分化持续，强者恒强 盈利能力下降,元气医药
2293,2019-09-03,288家药企晒上半年成绩单！17家营收超百亿，白云山、恒瑞、上药……净利润超20亿,米内网
2294,2019-09-03,【晨会聚焦】看好科技成长风格，把握正向预期差机会,中泰证券研究所
2295,2019-09-02,4+7带量采购正式全国扩围 如何影响产业链 哪些公司有望受益？,证券时报网
2296,2019-09-02,上海医药上半年主营业务毛利率普降，销售费用十倍于研发费用 盈利能力下降,全景网
2297,2019-09-02,【上海医药】19年中报：工商继续协同发力，现金流改善明显,医心医意要健康
2298,2019-09-02,广州白云山等3家药企入选2019中国企业可持续发展100佳,中新网
2299,2019-09-02,"上海医药:工商齐发力,业绩稳健增长",国信证券
2300,2019-09-01,上半年销售费用近65亿，上海医药重销售轻研发的“病”该如何治一治？,财华社
2301,2019-08-30,PD-1半年业绩PK：本土外资竞争格局翻转 降价进医保成共同诉求！,E药经理人
2302,2019-08-30,204股中报报喜 31股增长超1倍,中财网
2303,2019-08-30,格隆汇港股通5日资金流入流出排行榜 | 8月29日,格隆汇
2304,2019-08-29,上市公司数据播报：工商银行上半年净利同比增4.67％,金融界
2305,2019-08-29,上海医药(02607)中期纯利22.86亿元人民币升12%不派息,财华社
2306,2019-08-29,上海医药上半年净利润同比增长12.45%,中证网
2307,2019-08-29,上海医药半年报：工商业营收增速双双超20% 工业营收破百亿,证券时报网
2308,2019-08-29,上海医药2019半年报：营收925亿元 三到五年进入全球制药40强,21世纪经济报道
2309,2019-08-29,上海医药(02607.HK)委任陈津竹为董事会秘书,格隆汇
2310,2019-08-29,上海医药(02607.HK)上半年净利润增12.45%至22.86亿元,格隆汇
2311,2019-08-29,上海医药2019年上半年营收925.75亿元 同比增长22%,中国网
2312,2019-08-29,8月29日上市公司晚间公告速递,新浪
2313,2019-08-29,上海医药：上半年净利22.86亿元 同比增12.45%,e公司
2314,2019-08-29,上海医药(601607.SH)半年度净利润升12.45%至22.86亿元,格隆汇
2315,2019-08-29,营收同比增长20.85%，上海领灿战略布局遍地开花,挖贝网
2316,2019-08-28,格隆汇个股放量排行榜 | 8月28日,格隆汇
2317,2019-08-28,4+7后 三大药商最新业绩公布：国控、华润、九州通,医药网
2318,2019-08-28,A股三大股指小幅下跌 军工股表现强劲,证券时报网
2319,2019-08-28,盘前有料｜美再现经济衰退强烈讯号，国务院出台20条促消费实招…重要消息还有这些,证券时报网
2320,2019-08-27,石药集团走高近3% 暂九连升累涨逾36%,新浪
2321,2019-08-26,药品管理法完成大修 “吃药”行情春风吹又来,第一财经
2322,2019-08-26,医药商业概念股表现强势，政策风口下投资价值凸显,第一财经
2323,2019-08-26,医药板块集体拉升 多股涨停,第一财经
2324,2019-08-23,08月23日 收盘突破年线个股一览,每日经济新闻
2325,2019-08-22,孙宏斌概叹开发商也都借不到钱了 花旗仍看好内房股,新浪
2326,2019-08-22,国药股份：业绩超预期喜提涨停板，医药流通股短期行情可期？,格隆汇
2327,2019-08-22,【中信建投医药|深度点评】新版医保目录发布， 支付结构有望加速调整,菊颖医药观察
2328,2019-08-22,盯盘:深南股份等2股秒停,中财网
2329,2019-08-21,改革先锋，上海国资市值万亿，一文看清投资机会,Wind
2330,2019-08-21,复旦张江(01349.HK)中期业绩靓丽 但应收账大增41.25%,格隆汇
2331,2019-08-20,A股共发生126宗大宗交易成交52.77亿元（8月20日）,Wind
2332,2019-08-20,上海医药今日大宗交易成交486.63万股，成交价18.09元溢价0.22%,Wind
2333,2019-08-20,【民生医药|中报总结】医药板块2019中报总结：增长的韧劲足，逐步加仓二线龙头,微信
2334,2019-08-19,港股异动 | 上海医药涨4.38% 获控股股东增持,格隆汇
2335,2019-08-19,千亿元的处方外流市场，看看这5家如何布局？,制药网
2336,2019-08-18,PD-1半年业绩PK：本土外资竞争格局翻转！降价进医保成共同诉求！下半年拼什么？,E药经理人
2337,2019-08-17,格隆汇港股聚焦(8.16)︱首创置业上半年纯利增61.23% 康哲药业上半年纯利增22.2%,格隆汇
2338,2019-08-16,上海医药(601607.SH)8月16日控股股东增持50万股H股,格隆汇
2339,2019-08-16,上海医药(02607.HK)8月29日举行董事会会议 以审批中期业绩,格隆汇
2340,2019-08-16,药品批发百强名单发布 海王生物位列全国六强,证券之星
2341,2019-08-16,恒指低开0.04%报25484点 中国平安绩后高开逾1%,腾讯网
2342,2019-08-16,医药行业查账风暴来袭，药品回扣等乱象或被遏制,制药网
2343,2019-08-15,格隆汇港股聚焦(8.15)︱中国平安上半年归母营运利润升23.8% 猫眼娱乐实现首次盈利,格隆汇
2344,2019-08-15,上海医药(02607.HK)获控股股东增持50万股,格隆汇
2345,2019-08-15,上海医药关于控股股东增持公司H股股份的公告,亿邦动力
2346,2019-08-15,上海医药(601607.SH)：上实集团增持50万股H股,格隆汇
2347,2019-08-15,上海医药：控股股东增持50万股H股股票,Wind
2348,2019-08-14,晨会子篇【医药-马帅】通化医药商业板块专题系列一：带量采购对医药流通行业规模负面影响有限,安信证券研究
2349,2019-08-12,2018年中国医药物流行业产业链及发展趋势分析 下游需求倍增推动行业发展,前瞻研究院
2350,2019-08-12,吉贝尔药业前五大客户销售占比近六成 研发费用率4%连续三年低于行业平均值,长江商报
2351,2019-08-11,中期关注性价比，长期坚守核心资产 --医药行业周报（2019.08.05-2019.08.11）,兴证医药健康
2352,2019-08-09,恒指报26121.951点 超市及便利店板块领涨,腾讯网
2353,2019-08-08,【增减持】上海医药(02607.HK)遭贝莱德减持43.11万股 减持股份,格隆汇
2354,2019-08-08,消费白马股跌幅排名 谁被错杀 这些股被机构一致看好,证券时报
2355,2019-08-08,在波动中寻找确定性 医药龙头持续获新资金涌入,智通财经
2356,2019-08-07,“权健事件”后保健品江湖生变：从“相看两厌”到抱团“渡劫”,每日经济新闻
2357,2019-08-06,格隆汇个股放量排行榜 | 8月6日,格隆汇
2358,2019-08-03,【财经早餐】国院常务会议部署加大力度落实就业优先政策,华龙掘金
2359,2019-08-02,仿制药市场大战在即，申报数量前五的药企是谁？,制药网
2360,2019-08-01,“双百企业”名单变动频现A股公司 上市国企深化改革备受期待,每日经济新闻
2361,2019-08-01,国企改革“双百行动”：混改引入非国资超五千亿，选聘职业经理人超两千人,第一财经
2362,2019-07-31,国企改革“双百企业”扩围新增48家名单，多家上市公司入围,Wind
2363,2019-07-31,复旦张江：中止科创板上市申请，发中报后申请恢复审查 IPO融资异常,澎湃新闻
2364,2019-07-31,电子签名市场2020年签署规模将突破374亿次 上上签再居行业份额第一,中国网
2365,2019-07-31,医药产业迎来发展大变革，药企纷纷走上创新之路,制药网
2366,2019-07-30,2019年中国医药物流行业市场现状及发展趋势分析 医药物流信息化是未来发展主方向,前瞻研究院
2367,2019-07-28,上海市国资委：双百企业135项改革任务已推进或完成超八成,澎湃新闻
2368,2019-07-27,万邦德频频关联收购为哪般,证券市场周刊
2369,2019-07-26,上海医药：未来三年将研发投入占工业消费收入比例提至10%,澎湃新闻
2370,2019-07-26,上海医药召开2019年科技创新大会 与八家高校及医院科研院所达成合作,证券时报网
2371,2019-07-26,万邦德频频关联收购为哪般,证券市场周刊
2372,2019-07-26,上海9家国企参与“双百行动”，混改已引入非国有资本近14亿元,第一财经
2373,2019-07-25,上药与绿地集团合作，提高中药市场占有率,医药网
2374,2019-07-25,9大药企跨界合作，强强联手攻占市场！其他药企怎么存活？,微信
2375,2019-07-24,两巨头宣布，联手做中药,赛柏蓝
2376,2019-07-24,“痔疮一哥”马应龙跨界卖口红 美容真的不分上下？,GPLP犀牛财经
2377,2019-07-24,绿地集团联手上海医药，要做保健品和美妆生意,澎湃新闻
2378,2019-07-24,绿地集团与上海医药集团共建“健康中国”,中证网
2379,2019-07-24,"医药生物行业2019年中报业绩前瞻:医药板块持续分化,寻找景气与避险的交集",申万宏源
2380,2019-07-23,《财富》世界500强 11家药企上榜（附名单）,财富中文网
2381,2019-07-23,马应龙居然卖口红：精细布局还是胡乱折腾？还有多少公司在玩跨界？,和讯
2382,2019-07-23,又一药企二甲双胍通过一致性评价！目前已有7家在竞争,制药网
2383,2019-07-22,仅满足最低条件，微芯生物惊险闯关科创板,阿尔法工场
2384,2019-07-22,DTP药房越来越受关注，正处在行业爆发式增长拐点,制药网
2385,2019-07-21,【国盛医药张金洋团队】周观点：详解2019Q2机构医药持仓，继续推荐2+X主线,国医盛视
2386,2019-07-21,医院回款关键点在医保付费,新浪
2387,2019-07-17,首个西南区合作伙伴会议成功召开 华云数据打造合作共赢生态圈,砍柴网
2388,2019-07-15,上海医药今日大宗交易成交17.97万股，成交价17.8元溢价0.51%,Wind
2389,2019-07-15,格隆汇港股通5日资金流入流出排行榜 | 7月14日,格隆汇
2390,2019-07-14,社论：药企热衷营销凸显带量采购必要性,第一财经
2391,2019-07-13,格隆汇港股通5日资金流入流出排行榜 | 7月12日,格隆汇
2392,2019-07-12,2019财富中国500强发布，21家医药企业上榜,制药网
2393,2019-07-12,中国财富500强公布，医药行业21家企业上榜（附名单）,医药网
2394,2019-07-11,科伦药业创仿结合发力自主研发 药物制剂业务销售或超百亿,21世纪经济报道
2395,2019-07-11,恒瑞470名！20家药企入围2019年中国500强排行榜！,药通社
2396,2019-07-09,友邦、微医携手推首款单病种保险 实现医药保实质性闭环,证券日报
2397,2019-07-09,格隆汇A股公告精选(7.09) | 格力拟斥资2亿元入股新疆众和成第三大股东，第一大股东特变电工持股升至30.85%；多家券商披露6月业绩；平安再度耗资超5亿回购,格隆汇
2398,2019-07-09,上海医药：2018年年度A股权益分派实施公告,上交所
2399,2019-07-08,智通港股公告精选︱(7.8)广发证券上半年非合并净利增31.5%至28.87亿元,智通财经
2400,2019-07-08,上海医药(601607.SH)A股拟每10股派4.1元 股权登记日7月15日,格隆汇
2401,2019-07-08,[快讯]上海医药公布2018年年度分红实施方案,中财网
2402,2019-07-08,上海医药(02607.HK)将每股派发A股现金红利0.41元 股权登记日7月15日,格隆汇
2403,2019-07-05,关注中报行情，重申港股龙头配置价值 |【光大医药·周报】,医心医意要健康
2404,2019-07-03,翰森制药上升4.83%兼破顶 一手200万股交叉盘,新浪
2405,2019-07-01,[互动]上海医药：两票制对调拨业务不理影响基本消化,全景网
2406,2019-06-28,激励基金成上海地方国企中长期激励路径,和讯
2407,2019-06-28,医疗器械行业薪酬发布 年薪中位数——82万,医药网
2408,2019-06-27,上海医药(02607.HK)将派发末期股息每10股4.1元,格隆汇
2409,2019-06-27,上海医药(02607.HK)推选徐有利担任监事长,格隆汇
2410,2019-06-27,中国“科”公司之药明康德：中国医药行业的黄埔军校,新浪
2411,2019-06-25,医疗保健：医药生物业周报 荐8股,华鑫证券
2412,2019-06-25,"中国""科""公司评选之医药生物技术人员最多:药明康德",新浪
2413,2019-06-24,格隆汇个股放量排行榜 | 6月24日,格隆汇
2414,2019-06-24,盘前：股指放量反弹站上3000点A股展开新升势,中国经济网
2415,2019-06-24,上海医药风光无限的营收背后 销售费用为何高企超百亿,投资者报
2416,2019-06-21,仿制药品目录建议清单出炉，受益股有哪些？,格隆汇
2417,2019-06-21,上海医药(02607.HK)推选环建春为职工代表监事,格隆汇
2418,2019-06-21,富国基金多只新基金业绩不佳 军工主题产品难掩历史“污点” 盈利能力下降,中金在线
2419,2019-06-21,威高股份急挫逾4% 拟折让最多7%配售9170万股,新浪
2420,2019-06-20,格隆汇个股放量排行榜 | 6月20日,格隆汇
2421,2019-06-19,格隆汇个股放量排行榜 | 6月19日,格隆汇
2422,2019-06-19,恒瑞医药再交新药上市申请 成本或面临上涨压力,新浪
2423,2019-06-18,晚报 宜宾地震为天然地震，非人工干预；双氢青蒿素片已在6家医院开展临床试验,财经网
2424,2019-06-18,瞄准女性“第一杀手”乳腺癌！友邦、微医、镁信联合发布首款单病险,21经济网
2425,2019-06-18,誉衡药业超期回复问询函：巨额商誉悬顶 超6成股份被质押 问询,新浪
2426,2019-06-17,抗癌神药PD-1价格背后的游戏规则,贝壳社
2427,2019-06-17,财政部医保局来查账 77家药企有多痛？,财经国家周刊
2428,2019-06-17,细数6月以来，那些值得重点关注的医药动态！,制药网
2429,2019-06-17,上海医药销售费达110亿：频并购负债增 百亿商誉悬顶 偿债能力下降,长江商报
2430,2019-06-16,扩大资本市场对外开放下的中国医药投资--医药行业周报（2019.06.10-2019.06.16）,兴证医药健康
2431,2019-06-14,经观头条 | 药价究竟能不能降？财政部穿透式查账 直指药企账目重灾区,经济观察网
2432,2019-06-14,豪森药业上市首日市值逼近1200亿！成港股最大市值医药股,新浪医药
2433,2019-06-14,【快讯】豪森上市首日，市值破千亿！,药智网
2434,2019-06-14,药企“砸钱卖药”之华润三九：一年斥资44亿市场推广，研发投入营收占比仅3.7%,华夏时报
2435,2019-06-13,格隆汇港股聚焦(6.13)︱新华保险前5月原保费收入升9.49%至598.03亿元 中国银行称中银金科今日挂牌开业,格隆汇
2436,2019-06-13,科创板今日开板 最新拟上会名单来袭，相关影子股看这里,证券时报
2437,2019-06-13,科创板来了！A股市场进入科创时代：如何影响A股？投资者该如何参与？六大关注点看过来,重庆商报
2438,2019-06-13,437家药企被并购（附名单）,汇聚南药
2439,2019-06-13,上海医药(02607.HK)下属上海福达获药品GMP证书,格隆汇
2440,2019-06-13,马应龙出资4000万参与设立产业基金 加速布局大健康领域,新浪
2441,2019-06-13,未雨绸缪构建大健康价值链闭环 延安必康不惧政策调整,中金在线
2442,2019-06-13,医药行业销售费用远超研发投入，须防“规制俘虏”,和讯
2443,2019-06-13,5月医药大事件之榜单篇：药企营收、净利润等排名陆续公布,制药网
2444,2019-06-13,一致性评价：20个药集满三家 40亿市场又现首家过评,医药网
2445,2019-06-12,石药氯吡格雷、上药头孢氨苄、康恩贝蒙脱石散过评,新浪
2446,2019-06-12,【医药】2019年医改重点工作任务出台——医药行业周报——中性（联系人：甘英健，陈晨）,渤海证券研究
2447,2019-06-11,A股昨天缩量上涨，今天能否二连阳？,中金在线
2448,2019-06-11,最新公告透露利好 15只个股有望爆发（06.11）,中金在线
2449,2019-06-11,两融业务周报（20190603-20190606）,东吴财经通
2450,2019-06-11,公告点题｜6月10日这些公告有看头,第一财经
2451,2019-06-10,10日晚公告精选丨上汽集团：1-5月汽车产量239万辆，同比下降21.57%,21经济网
2452,2019-06-10,头孢氨苄胶囊一致性评价，上药、罗欣、科伦集齐三家！,医药云端工作室
2453,2019-06-10,6月11日涨停板早知道：七大利好有望发酵,新浪
2454,2019-06-10,6月10日上市公司晚间公告速递,新浪
2455,2019-06-10,上海医药：子公司药品通过仿制药一致性评价,金融界
2456,2019-06-10,奥赛康学术推广费超24亿 264名销售员每天花费近3万,长江商报
2457,2019-06-10,医疗保健：财政部开展医药行业会计检查 坚定布局非药及创新产业链,上海证券
2458,2019-06-06,【权益变动】上海医药(02607-HK)被摩根大通减持1379.04万股,财华社
2459,2019-06-06,午间公告：广投集团可能取得网宿科技控制权,Wind
2460,2019-06-05,【国信医药】上海医药：工商齐发力，业绩稳健增长,GuosenHealthcare
2461,2019-06-05,高开低走 避险情绪升温,国元财富管理
2462,2019-06-05,港股医药股跌势扩大 中国生物制药(1177.HK)大跌超8%,格隆汇
2463,2019-06-05,不到两天市值蒸发1400亿！医药股怎么了？ 连续下跌,中证报
2464,2019-06-05,77家药企“穿透式”检查风暴掀翻医药板块 天士力股价闪崩逼近跌停 连续下跌,21世纪经济报道
2465,2019-06-05,港股异动︱财政部将稽查77家药企 中生制药(01177)挫逾5%领跌医药股,智通财经
2466,2019-06-05,部分医药股大跌 财政部检查77家药企会计信息影响发酵,格隆汇
2467,2019-06-05,Wind 2018年债券发行人业绩排行榜,Wind
2468,2019-06-05,"上次狂卖1000亿的科创基金,今天又来了！这次是广发富国鹏华华安万家，买哪只？怎么买？10问10答告诉你",中国基金报
2469,2019-06-04,监管局查账 77 家药企！销售费用 Top20 企业有 7 个,Insight数据库
2470,2019-06-04,IPO点评：翰森制药(3692.HK),格隆汇
2471,2019-06-04,医药行业迎来1个月的检查工作，销售费用成重点,制药网
2472,2019-06-04,财政部检查77家药企会计信息：27家A股、1家港股和3家美股或受影响,格隆汇
2473,2019-06-04,【财政部检查77家药企会计信息：27家A股、1家港股和3家美股或受影响】,格隆汇
2474,2019-06-04,销售费用变身“回扣”正大青春宝业务员行贿近60万,Wind
2475,2019-06-04,医药板块受冲击？财政部将检查77家药企销售费用，实行“穿透式”监管，多家明星药企在列,e公司
2476,2019-06-04,是否存在药品回扣？财政部将对77家药企进行稽查,北青网
2477,2019-06-04,医药股普跌 医药行业会计信息质量检查正在进行,格隆汇
2478,2019-06-04,财政部会同医保局将开展医药行业会计信息质量检查工作，A股多家上市药企在检查名单中,财政部
2479,2019-06-02,286家药企净利润公布（附名单）,赛柏蓝
2480,2019-05-31,【增减持】上海医药(02607.HK)获Morgan Stanley增持22.58万股,格隆汇
2481,2019-05-31,2019格隆汇首届大中华区A股最佳上市公司评选名单揭晓,格隆汇
2482,2019-05-31,翰森制药(03692.HK)今起招股入场费2.88万港元 GIC博裕高瓴领衔基石投资,格隆汇
2483,2019-05-31,上海推进国际医药供应链平台建设,和讯
2484,2019-05-30,一季度MNC在华销售猛增29%！辉瑞、诺华、AZ……谁有最强增长引擎？4+7风暴影响几何？,E药经理人
2485,2019-05-30,上海国资改革大动作将至，69只国资股一图尽览,Wind
2486,2019-05-30,不甘示弱！6家药企巨头2018营收增速超20%,制药网
2487,2019-05-29,中国药企巨头收入构成（附图表）,赛柏蓝
2488,2019-05-29,【医药】立足医改主线，精选优质个股——医药行业周报——中性（联系人：甘英健，陈晨）,渤海证券研究
2489,2019-05-29,【东吴医药】恒瑞深度报告：仿创结合+制剂出口奠基础，创新药龙头拔锚启航开新章,东吴医药研究团队
2490,2019-05-28,嘉事堂|别用1%的业务，摧毁100%的名誉,和讯
2491,2019-05-28,上海医药(02607.HK)提名徐有利、忻铿为监事候选人,格隆汇
2492,2019-05-28,上海医药(02607.HK)提名左敏、李永忠和沈波为执行董事候选人,格隆汇
2493,2019-05-28,港股异动 | 复旦张江涨逾4% 冲击A+H 国家队间接持股,格隆汇
2494,2019-05-28,中生制药获德银吁买入 现飙近3%,新浪
2495,2019-05-28,业绩萎靡深陷亏损 哈药股份内忧外困 亏损,时代周报
2496,2019-05-27,创美药业（2289.HK）：浅析中小医药流通企业的生存之路,金融界
2497,2019-05-26,上海医药人注意：市局认证审评中心6月1日起，启用新联系电话！,药通社
2498,2019-05-25,多药企裁撤销售团队 经营问题,赛柏蓝
2499,2019-05-24,主力注射液营业成本增长超十倍！深交所“拷问”易明医药,新京报
2500,2019-05-24,苑东生物：招股书数据存多处“出入” 信披漏洞百出显隐忧 经营问题,中金在线
2501,2019-05-24,步长制药销售费用占营收59%低于同行水平 商誉两年未减少转型大健康,长江商报
