,2021-12-31,华夏银行携手北大荒集团成功发行全国首单农业企业结构调整型资产支持票据,21世纪经济报道
877,2020-11-12,18家全国性银行喜与忧：归母净利润悉数增长 三家不良率上升,投资时报
878,2020-11-12,华夏银行深圳分行获评“深圳市优质服务示范单位”,深圳新闻网
879,2020-11-12,为复工复产注入“速度与温度”,光明网
880,2020-11-11,抗疫复工两手抓 华夏银行全力服务首都高质量发展,金融界
881,2020-11-09,投资新风向？多家银行理财子公司力推 这类产品成香饽饽,中证报
882,2020-11-06,9家A股上市股份制银行2020年三季报盘点：前三季度共实现利润3237亿元,挖贝网
883,2020-11-06,精准施策稳外贸 解码华夏银行的特色举措,金融界
884,2020-11-06,创新融资服务 华夏银行精准施策稳外贸,中国网
885,2020-11-06,“稳外贸”的华夏银行样本：创新融资服务 破解企业授信难题,金融界
886,2020-11-05,华夏银行发生大宗交易成交折价率10.16%,证券时报网
887,2020-11-05,华夏银行现1笔大宗交易 共成交334.17万元,新浪
888,2020-11-05,华夏银行今日大宗交易成交59.99万股，成交价5.57元折价10.16%,Wind
889,2020-11-05,9家A股股份行前3季净利3237亿元 民生银行降18%领跌 盈利能力下降,中国经济网
890,2020-11-04,上金所公布黄金拆借品种参与机构名单,Wind
891,2020-11-04,华夏银行(600015)3Q20业绩点评：加速确认和处置不良,新浪
892,2020-11-04,保险资金投资路线追踪：三季度增持银行加码制造业,证券时报网
893,2020-11-04,权益固收多点开花，基金发行进行最后冲刺,Wind
894,2020-11-03,履行社会责任 贴心纾困解难 华夏银行深圳分行“复工贷”助力智能产业升级,深圳新闻网
895,2020-11-03,详解银行业三季报：息差回升、资产平稳、分化持续,新浪
896,2020-11-03,详解银行业2020年三季报：息差回升，资产平稳，分化持续【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
897,2020-11-02,华夏银行前三季度小微企业贷款余额增长22%,21世纪经济报道
898,2020-11-02,零售业务转型发力，华夏银行携手汇添富打造精品“固收+”首日募集火爆,中国基金报
899,2020-11-02,三季度业绩回暖仍有超七成破净 银行股价到底贵不贵？,华夏时报
900,2020-10-31,通融城投20亿债券融资产品承销之谜,中国经营报
901,2020-10-30,加大贷款投放力度，银行三季度财报转暖,东方网
902,2020-10-30,华夏银行前三季度实现营收706亿元 增收节支取得良好成效,证券日报网
903,2020-10-30,华夏银行前三季度实现净利润141.20亿元,中国金融新闻网
904,2020-10-30,华夏银行前三季度净利下降7.37%至141亿元，不良贷款率升至1.88% 盈利能力下降,零壹财经
905,2020-10-30,华夏银行前三季度营收增长14% 增收节支成效良好,中国经济网
906,2020-10-30,华夏银行：前三季度营收同比增长14.19% 净利差和净息差同比双增,中国网
907,2020-10-30,华夏银行前三季度实现净利141.2亿元,北京商报
908,2020-10-30,华夏银行三季报：资产负债保持快速增长 增收节支成效良好,和讯
909,2020-10-30,华夏银行公布三季报：零售金融转型加快推进 业务占比逐步提升,金融界
910,2020-10-30,华夏银行三季报：实现归母净利润141.20亿 拨备覆盖率157.66％,金融界
911,2020-10-30,华夏银行三季度盈利转正，北向资金继续增持,证券时报
912,2020-10-30,华夏银行：前三季度净利润同比减少7.37% 盈利能力下降,Wind
913,2020-10-30,华夏银行：前三季度净利润141.2亿元同比下降7.37% 盈利能力下降,格隆汇
914,2020-10-30,华夏银行：前三季净利同比下降7.37% 盈利能力下降,e公司
915,2020-10-30,华夏银行(600015.SH)前三季度净利润降7.37%至141.20亿元 盈利能力下降,格隆汇
916,2020-10-30,拉卡拉被银行集体拉进“黑名单”背后：已非首犯 多项业务曾违规 违约失信,和讯
917,2020-10-30,泰和新材(002254)：签订募集资金专户存储三方监管协议,证券日报
918,2020-10-30,深圳市海王生物工程股份有限公司 关于为控股子公司提供担保实施情况的公告 大额借贷担保,证券时报
919,2020-10-29,理财三季报揭开投资动向，社融数据成机构关注焦点,Wind
920,2020-10-28,第三方支付与信用卡“羊毛党”联手套现？律师：当心涉非法经营罪,新浪
921,2020-10-28,年内已有9家银行出手稳定股价,财富动力网
922,2020-10-27,"7成上市银行""破净"" 更有9家出手维稳股价 后续行情咋走？",中国财富网
923,2020-10-27,银行股跌惨了！近20亿资金撤退，什么信号？,21世纪经济报道
924,2020-10-26,河北省国资委与32家金融机构签署战略合作公约,Wind
925,2020-10-26,解禁潮又来了！这6家银行本周起千亿市值陆续解冻,证券时报
926,2020-10-26,解禁潮又来了！这6家银行本周起千亿市值陆续解冻,Wind
927,2020-10-23,港股盘前必读：陆金所控股更新招股说明书，美国三大股指小幅收涨,Wind
928,2020-10-22,三一国际(00631)附属合共认购10.5亿元结构性存款产品及金融产品,智通财经
929,2020-10-22,"强化金融支持服务中小微民营实体经济——华夏银行""首贷易""满足您所想",南都网
930,2020-10-22,华夏银行三亚分行22日开业鹿城金融行业再添新军,证券导报
931,2020-10-18,方正策略：当前金融股具备崛起的条件,策略研究
932,2020-10-17,今年北京积分落户名单出炉 金融业者民生银行华夏银行最多,券商中国
933,2020-10-14,多款ESG主题理财产品正当红 信息披露标准存难点,证券时报网
934,2020-10-14,拉卡拉瑞银信等第三方支付被银行拉黑 业内称为遏制灰产,南都报
935,2020-10-13,数据中的区域金融版图,21世纪经济报道
936,2020-10-10,19家第三方支付被多家银行“拉黑”：不再累计信用卡积分,21世纪经济报道
937,2020-10-10,评论：数据中的区域金融版图,21世纪经济报道
938,2020-10-09,21金融研究：数据中的区域金融版图，哪个区域最受银行青睐？,21世纪经济报道
939,2020-10-09,银行行业：同业存单周报,新浪
940,2020-09-30,华夏银行今日大宗交易成交56万股，成交价6.13元溢价0.0%,Wind
941,2020-09-30,华夏银行现1笔大宗交易 共成交343.28万元,新浪
942,2020-09-30,金融行业数字化转型样本：业务上云、组织架构调整、建立创新机制,经济观察网
943,2020-09-30,华夏银行理财子公司在京开业 发力EGS理财产品,中国网
944,2020-09-30,理财子公司发力ESG理财产品 低利率环境下长期投资受期待,新浪
945,2020-09-29,华夏银行现1笔大宗交易 共成交294.00万元,新浪
946,2020-09-28,华夏银行理财子公司开业 落户北京城市副中心,新华网
947,2020-09-28,华夏银行理财子公司开业 内设科技、ESG等六大板块20个一级部门,北京商报
948,2020-09-28,华夏银行理财子公司开业 延续母行ESG投资特色,中证网
949,2020-09-28,华夏银行理财子公司正式开业 发布国内首支ESG策略债券指数,证券时报网
950,2020-09-28,华夏理财正式开业 下设科技、ESG等6大业务板块,21世纪经济报道
951,2020-09-28,资产大额减值惹的祸 华夏银行上半年增收不增利 资产质量下降 盈利能力下降,GPLP犀牛财经
952,2020-09-27,逾三百家公司股价跌破净资产！“破净”能否重圆？,上游新闻
953,2020-09-27,又一银行理财子获批开业,Bank资管
954,2020-09-26,区块链+电子合同，何以「撬动」金融行业数字化转型？,雷锋网
955,2020-09-26,后疫情时代的银行信用卡业务：关注拓展场景 确保资产质量可控,经济观察网
956,2020-09-25,华夏银行现1笔大宗交易 共成交211.32万元,新浪
957,2020-09-25,绿色金融成效显现 推动可持续发展银行业如何发力？,新浪
958,2020-09-24,e签宝推出区块链合同金融版解决方案2.0，打造金融市场数字化风控,和讯
959,2020-09-24,银行扎堆布局 ESG理财投资能否爆发,中投网
960,2020-09-23,华夏银行李民吉：首都金融业已进入新发展阶段 应加快形成现代化金融体系,上证报
961,2020-09-23,华夏银行董事长李民吉：华夏银行在内的首都金融业将做到五个“更加有力”,证券日报
962,2020-09-23,华夏银行李民吉：用五个“更加有力”支持首都金融业高质量发展,金融时报
963,2020-09-23,华夏银行董事长李民吉：首都金融业已进入新的发展阶段,新浪
964,2020-09-23,李民吉建议将金融业列为核心产业 推动首都金融业高质量发展,新浪
965,2020-09-22,这类理财投资要大火？多家银行扎堆布局ESG主题产品,北京商报
966,2020-09-22,多想互动IPO：二股东涉刑事案件股权遭冻结 所获奖项含金量存疑 其他违规处罚,中金在线
967,2020-09-21,多想互动的确很想上市，但股东股份被冻结，公司哪年成立都说不清 股权冻结,新浪
968,2020-09-21,时代投研·银行周报|中小银行存款成本上升或是长期现象，完善治理结构和风险内控是关键,时代周报
969,2020-09-21,全国100家商业银行财富管理能力排名报告（2020上半年）,和讯
970,2020-09-21,银行行业周报：顺周期银行板块展现进攻属性 伺机再动,华福证券有限责任公司
971,2020-09-21,私人银行客户上半年涨了7.7万，国内的有钱人有多少,中新经纬
972,2020-09-21,多想互动应收款高高管频换 股东涉嫌造假858万股冻结 欺诈造假,中国经济网
973,2020-09-18,这类投资要火？多家理财子公司出手了,中国基金报
974,2020-09-18,华夏银行(600015.SH)：董事任职资格获中国银保监会核准,格隆汇
975,2020-09-18,华夏银行：推动贸易金融精准化线上化 助力稳外贸,中国金融新闻网
976,2020-09-18,华夏银行违规再收百万罚单，信用减值损失大增50% 金融监管处罚,中金在线
977,2020-09-16,华夏银行全资子公司华夏理财已获批开业,资本邦
978,2020-09-16,华夏银行一天领8张罚单 资产质量承压趋势不减 金融监管处罚,投资者网
979,2020-09-15,资管业又添生力军！北京市属第一家，落户城市副中心，注册资本30亿，华夏理财来了,中证报
980,2020-09-15,注册资本30亿元 华夏银行理财子公司获准开业,经济观察网
981,2020-09-15,又一家银行理财子公司！华夏理财获批开业，注册资本30亿元,21世纪经济报道
982,2020-09-15,华夏银行祭出八大措施服务雄安新区 金融服务京津冀建设迈上新台阶,证券日报
983,2020-09-15,华夏理财获准开业 落户北京城市副中心,中证网
984,2020-09-15,华夏理财获批开业，开业理财子公司增至19家,澎湃新闻
985,2020-09-15,华夏银行获银保监批准经营华夏理财进军公私募领域,格隆汇
986,2020-09-15,华夏理财获准开业 打造智能资产管理机构,新浪
987,2020-09-15,华夏银行：华夏理财获准开业 注册资本30亿元,中证网
988,2020-09-15,华夏银行：全资子公司华夏理财获准开业,Wind
989,2020-09-15,华夏银行(600015.SH)：华夏理财获准开业,格隆汇
990,2020-09-15,八大措施服务雄安新区建设 华夏银行支持京津冀协同发展迈上新台阶,金融界
991,2020-09-15,华夏银行推出八大措施服务雄安新区 “京津冀金融服务主办行”建设迈上新台阶,和讯
992,2020-09-15,华夏理财获准开业 打造智能资产管理机构,中国网
993,2020-09-14,服务新区发展 华夏银行河北雄安分行正式开业,新华网
994,2020-09-11,做好“稳外贸”助力“双循环” 华夏银行贸易金融发力精准化、线上化,证券日报
995,2020-09-11,华夏银行(600015)：息差提升 资产质量平稳,新浪
996,2020-09-11,助力“双循环” 华夏银行贸易金融提升数字化服务能力,和讯
997,2020-09-11,做好“稳外贸” 助力新发展格局 华夏银行探路“双循环”贸易金融服务,金融界
998,2020-09-10,“造血式”扶贫扶志 华夏银行打造多样化精准扶贫特色样本,证券日报
999,2020-09-10,上市银行中报：数字化、智能化、线上化业务收入增势突出,中投网
1000,2020-09-10,银行代销他行理财产品将成大趋势，专家称应注意风险隔离,Wind
1001,2020-09-09,全方位、专业化、有特色 华夏银行“精准滴灌”小微企业,证券日报
1002,2020-09-09,三一国际(00631.HK)附属认购若干结构性存款及金融产品,格隆汇
1003,2020-09-09,打出金融服务“组合拳”华夏银行“精准滴灌”小微,搜狐
1004,2020-09-09,港交所：旗下附属公司场外结算公司推出新的保荐准入结算会员客户类别,Wind
1005,2020-09-08,发展质效迈上新台阶 华夏银行绿色金融“亮相”服贸会,证券日报
1006,2020-09-08,华夏银行绿色金融“亮相”服贸会 截至6月末绿色融资余额已超2000亿元,新华网
1007,2020-09-08,华夏银行深耕绿色金融 携多项成果“亮相”服贸会,和讯
1008,2020-09-08,华夏银行“深耕”绿色金融 发展质效迈上新台阶,中国金融新闻网
1009,2020-09-08,张健华：商业银行要与科技公司等跨界合作 建设供应链金融中台,新浪
1010,2020-09-08,招商银行信用卡业务投诉量夺冠,中国经济网
1011,2020-09-08,销量迅猛增长，基金代销业务增援银行营收,Wind
1012,2020-09-07,华夏银行“亮相”服贸会：“商行+投行”双驱动助力“双循环”新发展格局,金融界
1013,2020-09-07,金融监管罚单周报：18家银行被罚3.11亿元，民生银行、浙商银行收“亿级”罚单 金融监管处罚,搜狐
1014,2020-09-07,金融监管政策周报：监管进行时,Wind
1015,2020-09-07,时代银行周报 | 银保监会首次通报银行业消费投诉情况，信用卡业务为重灾区,时代在线
1016,2020-09-07,银保监发30张罚单5机构被罚3.2亿元 金融监管处罚,光明网
1017,2020-09-07,3.4万亿不良贷款！银行积粮筑墙 最艰难时刻还未到,财经杂志
1018,2020-09-06,银行疫后劫：不良资产反弹，净利下滑，最艰难时刻还未到来 | 《财经》封面,财经杂志
1019,2020-09-06,因内控制度执行不到位等行为 华夏银行领罚110万元 金融监管处罚,中证网
1020,2020-09-05,四年发展规划收官在即 华夏银行铸造六大核心竞争力,中国经营报
1021,2020-09-05,银保监会给5家机构合开3.2亿元罚单 释放什么信号？ 金融监管处罚,央视
1022,2020-09-05,华夏银行领罚110万元 金融监管处罚,中证报
1023,2020-09-05,银保监会对违法违规行为保持高压态势 金融监管处罚,Wind
1024,2020-09-05,对违法违规行为保持高压态势 银保监会对5家金融机构处罚3.2亿元 金融监管处罚,中证报
1025,2020-09-05,5家金融机构违法违规被罚3.2亿元 其他违规处罚,上证报
1026,2020-09-04,【银行中报观察】9家股份行净利同比少赚近190亿 盈利能力下降,经济观察网
1027,2020-09-04,华夏银行昆明分行“放大招” 金融助力云南小微企业“恢复元气”,证券日报
1028,2020-09-04,因生产系统存在重大风险隐患等问题 华夏银行被罚款110万元 产品问题,中证报
1029,2020-09-04,广发等5家机构领30张罚单 银保监会重罚3.2亿！涉违规输血楼市等 金融监管处罚,中证报
1030,2020-09-04,5家机构领30张罚单，银保监会重罚3.2亿元！涉违规输血楼市、违规发售理财产品等 金融监管处罚,中证报
1031,2020-09-04,震慑！银保监会连开30张罚单，5家金融机构合计被罚3.2亿，这两家银行均被罚超亿元 金融监管处罚,每日经济新闻
1032,2020-09-04,华夏银行因4项违规领罚：一名员工篡改信息系统实施盗窃获刑 金融监管处罚,澎湃新闻
1033,2020-09-04,华夏银行回应被罚110万:已责任追究 司法机关已处理相关责任人 金融监管处罚,新浪
1034,2020-09-04,华夏银行收到110万罚单 该行时任首席信息官同时遭罚 金融监管处罚,新浪
1035,2020-09-04,房地产融资、理财产品成违规重灾区 两银行吃监管超亿元罚单 金融监管处罚,经济观察网
1036,2020-09-04,华夏银行被罚110万元：涉内控制度执行不到位等“四宗罪” 金融监管处罚,新浪
1037,2020-09-04,又见亿元罚单！浙商银行等5家金融机构共被罚没3.2亿元 金融监管处罚,澎湃新闻
1038,2020-09-04,银保监会依法查处五家金融机构违法违规行为 金融监管处罚,Wind
1039,2020-09-04,定位“中小企业金融服务商”华夏银行加大向实体经济让利,红周刊
1040,2020-09-04,上半年信用卡不良率飙升，银行凭什么判断最危险的时候已过去？,Wind
1041,2020-09-03,银保监会：中国银行、工商银行、建设银行投诉量位列国有大型商业银行前三名,腾讯网
1042,2020-09-03,二季度银行业消费投诉国有行前三：中行、工行、建行,21世纪经济报道
1043,2020-09-03,国内储能项目融资需求情况调研通知公布,新能源网
1044,2020-09-03,营业收入增长超19%！ “商行+投行”模式：看华夏银行如何差异化服务中小企业,21世纪经济报道
1045,2020-09-02,总资产规模达3.27万亿华夏银行(600015)精准滴灌14万小微企业,证券日报
1046,2020-09-02,解读华夏银行半年报：保持战略定力 积极抗击疫情 经营质效稳步提升,经济观察网
1047,2020-09-02,金融科技领跑 华夏银行2020年上半年营收近500亿,经济观察网
1048,2020-09-02,总资产规模达3.27万亿 华夏银行精准滴灌14万小微企业,新浪
1049,2020-09-01,华夏银行上半年业绩：战略规划稳步推进 数字化转型大幕拉开,每日经济新闻
1050,2020-09-01,华夏银行四年规划将收官 加大向实体经济让利力度,证券日报
1051,2020-08-31,银行果然降薪了：国有五大行收入垫底 盈利能力下降,Wind
1052,2020-08-31,华夏银行：既定战略稳步推进 业务发展可圈可点,中国金融新闻网
1053,2020-08-31,华夏银行：多措并举抗击疫情，加大向实体经济让利,21世纪经济报道
1054,2020-08-31,华夏银行各项业务协调发展 上半年经营业绩稳步增长,中投网
1055,2020-08-31,华夏银行上半年实现净利润93.37亿元 纾困企业金额累计超1482亿元,中国网
1056,2020-08-31,华夏银行2020年半年报出炉：各项业务稳步推进，既定战略取得积极成效,环球老虎财经
1057,2020-08-31,猛增1.5万亿，私行财富爆发！,中国基金报
1058,2020-08-31,刚刚出炉！猛增1.5万亿，私行财富大爆发！“一哥”2.5万亿最牛,Wind
1059,2020-08-31,上市公司正负面新闻2020年8月31日星期一,Wind
1060,2020-08-30,华夏银行2020年半年报出炉：业务规模稳步增长 盈利水平保持稳定,北京商报
1061,2020-08-30,股份行半年报扫描：半数净利下滑超10%，加大拨备是主因 盈利能力下降,第一财经
1062,2020-08-30,晚间重要公告2020年8月30日星期日,Wind
1063,2020-08-30,主动让利实体经济 华夏银行小微企业贷款余额增长13.14%,证券日报
1064,2020-08-30,华夏银行贷款总额突破2万亿 上半年营收增速位列上市股份行第一,证券时报网
1065,2020-08-30,华夏银行2020年半年报出炉：业务规模稳步增长，盈利水平保持稳定,经济观察网
1066,2020-08-30,华夏银行上半年营收475.81亿元 同比增长近20%,中证网
1067,2020-08-30,华夏银行上半年实现净利润93.37亿元 贷款规模突破两万亿,和讯
1068,2020-08-30,华夏银行2020年半年报:实现营收475.81亿元 同比增19.56%,新浪
1069,2020-08-30,华夏银行(600015.SH)半年度净利润降11.44%至93.37亿元 盈利能力下降,格隆汇
1070,2020-08-30,华夏银行：上半年净利93.37亿元 同比降11.44% 盈利能力下降,e公司
1071,2020-08-30,华夏银行：上半年净利润93.37亿元，同比下降11.44% 盈利能力下降,Wind
1072,2020-08-30,华夏银行：上半年净利润93.37亿元同比下降11.44% 盈利能力下降,格隆汇
1073,2020-08-28,华夏银行首个场景化智慧服务网点亮相,证券日报
1074,2020-08-27,A股融资融券日报：两融余额减少69.23亿元（8月26日）,Wind
1075,2020-08-26,中国债券市场日报,新浪
1076,2020-08-25,华夏银行深圳分行成功发行首单标准化票据业务,中国财富网
1077,2020-08-24,成都“监管沙盒”名单公示：支持四川方言的智能客服服务在列,澎湃新闻
1078,2020-08-24,【未来银行】华夏银行行长张健华：风控能力是未来银行制胜关键 银行数字化转型面临八大痛点,金融界
1079,2020-08-20,华夏银行海口分行积极开展支付结算宣传活动,证券导报
1080,2020-08-20,最高配银行理财子公司来了！母行行长兼任董事长,中证报
1081,2020-08-19,华夏银行发行200亿元小微金融债,搜狐
1082,2020-08-18,山西晋城无烟煤矿业集团：变更“20晋煤MTN012”募资用途,Wind
1083,2020-08-14,银行股拉升背后：破净率超七成，外资提前抢筹,Wind
1084,2020-08-14,深交所与华夏银行签署战略合作协议，共同提高金融服务实体经济能力,格隆汇
1085,2020-08-13,助力“内循环+双循环”新发展格局 华夏银行与深交所签署战略合作协议,环球老虎财经
1086,2020-08-13,降薪传闻四起，“金饭碗”还香吗？一文揭开金融业薪酬全景图,腾讯网
1087,2020-08-13,某银行原扬州营销管理部总经理被判：收10万推荐员工入职，为同事岳父介绍工程受贿 其他违规处罚,和讯
1088,2020-08-13,共同支持创新企业成长 华夏银行与深交所签署战略合作协议,和讯
1089,2020-08-13,银行理财公司再添新军 浦银理财获批筹建,证券时报
1090,2020-08-12,助力“精准滴灌”实体经济 华夏银行成功发行200亿元小微金融债,每经网
1091,2020-08-12,中银协报告：上市银行将进一步重视全面风险管理,Wind
1092,2020-08-12,华夏银行成功发行200亿元小微企业贷款专项债,上证报
1093,2020-08-12,华夏银行：2020年第一期小微企业贷款专项金融债券发行完毕,中证网
1094,2020-08-12,华夏银行(600015.SH)：完成200亿元小型微型企业贷款专项金融债券发行,格隆汇
1095,2020-08-12,涨薪20%！华夏银行人均薪酬增至40万，远超净利润增速,投资时报
1096,2020-08-12,A股融资融券日报：两融余额减少63.28亿元（8月11日）,Wind
1097,2020-08-11,A股融资融券日报：两融余额增加64.09亿元（8月10日）,Wind
1098,2020-08-10,8大股份制银行科技战略：招商银行研发投入比例最高，华夏银行手机银行用户数量最低,零壹财经
1099,2020-08-10,【工作交流】华夏银行深圳分行创新产品“快进键” 助力企业“加速跑”,央行
1100,2020-08-09,足金价格每克突破600元，后市表现机构普遍乐观,产业经济新闻网
1101,2020-08-09,华夏银行原扬州营销管理部总经理被判：收10万推荐员工入职，为同事岳父介绍工程受贿 其他违规处罚,和讯
1102,2020-08-08,零跑动、秒批！华夏银行深圳分行可在线办理抵押权注销登记,中国财富网
1103,2020-08-07,提振消费信心！华夏银行升级零售信贷品牌服务,云南网
1104,2020-08-07,华夏银行科技战略报告,零壹财经
1105,2020-08-07,华夏银行发布“华夏易贷” 升级零售信贷品牌服务,新浪
1106,2020-08-05,银行帐号被冻结 千山药机再次进行风险提示 资产查封,资本邦
1107,2020-08-04,基金持仓占比降至历史次新低，银行保险为何“失宠”？,Wind
1108,2020-08-03,中国债券市场金融债发行日程一览(8月3日),Wind
1109,2020-08-03,华夏银行副董事长上任资格获准；去年至今9名高管离任 董监高成员变化,搜狐
1110,2020-08-03,理财产品测评：华夏银行·龙盈权益类G款1号三个月定开FOF型理财产品（个人客户）,和讯
1111,2020-08-01,央行及银保监会行政处罚汇总（7月27日-7月31日） 金融监管处罚,Wind
1112,2020-08-01,泰州银保监局：对华夏银行泰州分行作出行政处罚，罚款30万元 金融监管处罚,Wind
1113,2020-07-31,银行系金融科技，子公司增至11家,Wind
1114,2020-07-31,积极响应《倡议》华夏银行助力中小企业数字化转型,重庆商报
1115,2020-07-30,华夏银行泰州分行因提供报表不真实 被罚30万元,金融界
1116,2020-07-29,华夏银行泰州分行被罚30万：提供虚假或隐瞒重要事实的报表 金融监管处罚,新浪
1117,2020-07-29,提供虚假或隐瞒重要事实的报表，华夏银行一分行被罚30万 欺诈造假,中新经纬
1118,2020-07-29,理财子公司筹备开业广撒“英雄帖” 证券基金背景人才“吃香”,中投网
1119,2020-07-28,淳中科技(603516.SH)拟向华夏银行申请不超5000万元综合授信额度,格隆汇
1120,2020-07-28,精耕细作企业彰显责任担当——华夏银行西宁分行为企业纾困解渴,中国金融新闻网
1121,2020-07-28,独家丨全国288家银行理财能力排行榜（2020年2季度）,和讯
1122,2020-07-28,用户曝浦发银行“被贷款”：一觉醒来背1200万巨债,中财网
1123,2020-07-28,今年已有1639家银行网点终止营业，线下业务规模加速缩减 业务变化,Wind
1124,2020-07-27,“被贷款”事件层出不穷 银行该负什么责任？,新浪
1125,2020-07-27,华夏银行乌鲁木齐分行：扛起“抗疫”责任 保障金融服务,中国金融新闻网
1126,2020-07-27,银行行业周报：中小银行MPA考核或放松 信贷扩张可期,新浪
1127,2020-07-26,黄金上扬直逼历史高位 看涨金价结构性产品顺势走俏,北京商报
1128,2020-07-25,支持中小企业，华夏银行深圳分行很“硬核”,中国财富网
1129,2020-07-25,推标准化“信贷工厂”华夏银行深圳分行多措并举助力“稳企业保就业”,经济日报
1130,2020-07-24,华夏银行昆明分行 多位一体为客户提供优质理财服务,腾讯网
1131,2020-07-23,大幅上调权益投资比例上限后：险资情绪“稳定”对市场波动不盲从,Wind
1132,2020-07-22,华夏银行大宗交易成交3996.00万元,证券时报网
1133,2020-07-22,华夏银行今日大宗交易成交675万股，成交价5.92元折价10.03%,Wind
1134,2020-07-22,腾讯安全携手华夏银行“论道”金融风控 传递在线反欺诈干货建议,金融界
1135,2020-07-22,分红派息渐近尾声，资金抢权推高银行股估值,Wind
1136,2020-07-21,上市公司正负面新闻2020年7月21日星期二,Wind
1137,2020-07-20,晚间重要公告2020年7月20日星期一,Wind
1138,2020-07-20,华夏银行：罗乾宜担任董事、副董事长的任职资格获核准,证券时报网
1139,2020-07-20,华夏银行(600015.SH)副董事长任职资格获中国银保监会核准,格隆汇
1140,2020-07-20,时隔一年，华夏银行副董事长罗乾宜任职资格获核准,澎湃新闻
1141,2020-07-20,华夏银行高波：财富管理行业将迎新格局 银行理财规模将二八分化,新浪
1142,2020-07-17,银保监会：核准罗乾宜担任华夏银行副董事长,新浪
1143,2020-07-16,资金面边际收紧 收益率上升空间不大,金融界
1144,2020-07-16,华夏银行长春分行原行长涉嫌严重违纪 内控管理问题何解 其他违规处罚,商学院
1145,2020-07-15,银行股频遇减持，进一步修复还需时日 减持股份,Wind
1146,2020-07-15,退市银鸽：新增四起诉讼案件，涉案金额达7.09亿元 诉讼纠纷,资本邦
1147,2020-07-13,中国证监会市场禁入决定书（刘祥华） 其他违规处罚,证监会
1148,2020-07-13,中国证监会行政处罚决定书（湖南千山制药机械股份有限公司、刘祥华等14名责任人员） 金融监管处罚,证监会
1149,2020-07-11,4000万从天而降，不是外快而是债！小心，银行神操作不是第一次,中证报
1150,2020-07-11,央行及银保监会行政处罚汇总（7月6日-7月10日） 金融监管处罚,Wind
1151,2020-07-10,央行成都分行：对华夏银行成都分行作出行政处罚，罚款5.6万元 金融监管处罚,Wind
1152,2020-07-10,分红潮来临！逾百家公司派现，金融股集中现身,Wind
1153,2020-07-09,大悦城：为悦恒置业提供4.08亿元担保 大额借贷担保,乐居财经
1154,2020-07-09,华夏银行10亿元市场化债转股项目落地 “商行+投行”模式支持实体经济,中证网
1155,2020-07-08,华夏银行落地10亿元市场化债转股项目,新华网
1156,2020-07-08,一天两银行高管被调查 金融反腐加强！ 金融监管处罚,中投网
1157,2020-07-08,华夏银行长春分行原行长任家庚涉嫌严重违纪违法被监察调查 金融监管处罚,资本邦
1158,2020-07-08,金融反腐加强 近两月落马银行大员增至13位 其他违规处罚,券商中国
1159,2020-07-07,华夏银行长春分行原行长被查，该行东北地区不良率超5%,第一财经
1160,2020-07-07,有表有真相，大涨之后银行股竟然还有市净率0.5的便宜货,Wind
1161,2020-07-03,央行及银保监会行政处罚汇总（6月29日-7月3日） 金融监管处罚,Wind
1162,2020-07-03,A股接下来往哪走？6大维度揭秘资金流向,每日经济新闻
1163,2020-07-02,连云港银保监局：对阳光财险连云港中心支公司作出行政处罚，罚款25万元 金融监管处罚,Wind
1164,2020-07-01,2020全球银行1000强榜单出炉：华夏银行排名升至51位，较上年上升5个位次,华夏银行
1165,2020-07-01,2020年7月份策略月度报告：利好风险资产的市场环境没有转变 关注基本面相对优势,新浪
1166,2020-06-29,华夏银行周永华：建立“数字办”敏捷组织 以“重组式”路径推进转型创新,中国电子银行网
1167,2020-06-29,【银行】华夏银行：不良包袱逐步出清，期待信用卡业务发力,天风研究
1168,2020-06-28,时代银行周报 | 网传证监会计划向商业银行发放券商牌照，渤海银行通过港交所上市聆讯,时代在线
1169,2020-06-28,华夏银行现内控漏洞 不良率高企净利增速垫底同行 经营问题,网易
1170,2020-06-24,网贷天眼晚报：非法集资涉案数据公布华夏银行再遭罚单,和讯
1171,2020-06-24,中小银行股权不香了，近1700笔拍卖六成流拍,Wind
1172,2020-06-23,债券重大事件2020年6月23日星期二,Wind
1173,2020-06-23,浙江银保监局：对华夏银行杭州分行作出行政处罚，罚款60万元 金融监管处罚,Wind
1174,2020-06-23,商业银行不良资产处置问题全解,和讯
1175,2020-06-23,华夏银行杭州分行因贷款管理不审慎被罚款60万元 金融监管处罚,资本邦
1176,2020-06-19,银行行长一年能赚多少钱？平安、招商年薪400万，华夏行长只有67万,腾讯网
1177,2020-06-18,四家股份行上半年被罚千万 中信银行罚单总额居首 金融监管处罚,经济观察网
1178,2020-06-18,Wind风控日报2020年6月18日星期四,Wind
1179,2020-06-17,央行及银保监会行政处罚汇总（6月17日） 金融监管处罚,Wind
1180,2020-06-17,央行济南分行：对华夏银行济南分行作出行政处罚，合计罚没96.87万元 金融监管处罚,Wind
1181,2020-06-16,华夏银行北京分行违反审慎经营规则被罚款50万元 金融监管处罚,资本邦
1182,2020-06-15,北京银保监局：因同业投资业务严重违反审慎经营规则，华夏银行北京分行被罚50万元 金融监管处罚,Wind
1183,2020-06-12,银行板块距离全面破净仅四步之遥，多家银行出手“护价”,21世纪经济报道
