,2021-12-31,“申万宏源十大金股组合”：2022年第1期,新浪
1324,2020-09-25,国联国金“联姻”，双双继续停牌，证监会启动核查丨热公司,第一财经
1325,2020-09-25,贵州百灵(002424.SZ)：控股股东协议转让3.10%股份予申万宏源 减持股份,格隆汇
1326,2020-09-25,券商板块再度走强 ，东方证券涨停，关注具备并购整合预期标的,证券时报网
1327,2020-09-24,申万宏源：子公司宏源汇富收到法院一审判决书 诉讼纠纷,Wind
1328,2020-09-23,警惕，券商合并未必是利好，历史上的券商合作已经说明了一切,证券日报
1329,2020-09-23,不止头部券商简单会师A股！中金公司IPO过会掀起券商大洗牌,产业经济新闻网
1330,2020-09-23,申万宏源：维持新高教集团(02001)“买入”评级，目标价7.91港元,智通财经
1331,2020-09-23,申万宏源基金投顾业务正式落地,中证报
1332,2020-09-23,证券行业-国联国金合并事件点评：券商并购将不断涌现 定价与整合是关键,新浪
1333,2020-09-22,申万宏源证券基金投顾正式展业，已有6家券商上线,第一财经
1334,2020-09-22,中国银行客户专享 | “申”情服务·“中”意于你,申万宏源大赢家
1335,2020-09-21,申万宏源(06806.HK)：法院判决庞鹏远向宏源汇富支付业绩补偿款1000万元,格隆汇
1336,2020-09-21,申万宏源(06806-HK)法院判决庞鹏远向子公司宏源汇富支付业绩补偿款1000万元,财华社
1337,2020-09-21,刚刚，国联证券H股一度大涨75%！“蛇吞象”后市值近千亿，国金证券将退市？,搜狐
1338,2020-09-21,“金联”证券横空出世路径猜想：国金像宏源一样退市？,21世纪经济报道
1339,2020-09-21,申万宏源：实施五年来最大力度改革，取得良好协同效应,Wind
1340,2020-09-21,申万宏源集团总经理徐志斌：申万宏源实施五年来最大力度改革 取得良好协同效应,证券日报
1341,2020-09-20,券商出手了！又有抢人大战,中国基金报
1342,2020-09-19,中金IPO一纸批文幕后挑战：谁会是航母级头筹,21世纪经济报道
1343,2020-09-18,【行情】证券板块异动拉升，国金证券涨超3%，长城证券、中国银河、山西证券、申万宏源等跟涨,金十数据
1344,2020-09-18,A股融资融券日报：两融余额增加36.6亿元（9月17日）,Wind
1345,2020-09-17,证监会：中金公司等5家公司首发过会,Wind
1346,2020-09-17,申万宏源(06806.HK)：申万宏源证券完成兑付“18申证C5”,格隆汇
1347,2020-09-16,申万宏源(000166.SZ):申万宏源证券及其子公司申万宏源承销保荐已完成经营范围变更工商登记 关联方问题,格隆汇
1348,2020-09-15,南国置业：拟设立18.1亿元疫后重振资产支持专项计划 期限不超过5年,中国网
1349,2020-09-15,南国置业(002305.SZ)拟设立申万宏源-电建南国疫后重振资产支持专项计划发行规模预计18.1亿元,格隆汇
1350,2020-09-15,基金投顾一周年：首批7家试点券商 仅有申万宏源和华泰证券未展业,新浪
1351,2020-09-14,申万宏源：拟为全资子公司宏源恒利提供1亿元贷款担保 大额借贷担保,证券日报
1352,2020-09-14,申万宏源(06806)拟为附属宏源恒利提供1亿元的融资担保 大额借贷担保,智通财经
1353,2020-09-14,申万宏源(06806.HK)为宏源恒利1亿元贷款提供担保 大额借贷担保,格隆汇
1354,2020-09-14,上海市市长龚正：金融企业要加大信贷投放力度，拓宽资本市场渠道,Wind
1355,2020-09-14,通裕重工再度涨停收复失地，一线游资进驻,Wind
1356,2020-09-14,又到券商求“新”季 金融科技、研究人员成“香饽饽” 求职者警惕“付费内推”等招聘信息,金融界
1357,2020-09-14,至少30家券商率先启动2021届校招 科技类人才抢手,证券日报
1358,2020-09-11,易事特前实控人何思模内幕交易*ST海陆 亏损177万遭罚 亏损,中国经济网
1359,2020-09-10,申万宏源(000166.SZ)：“20申证D7”及“20申证08”于9月17日在深交所上市,格隆汇
1360,2020-09-10,申万宏源(06806)附属完成发行65亿元公司债券,智通财经
1361,2020-09-10,申万宏源(000166.SZ)：申万宏源证券完成发行65亿元公司债券,格隆汇
1362,2020-09-10,恒指高开低走收跌0.64%，百胜中国上市首日收跌5.29%,Wind
1363,2020-09-10,A股融资融券日报：两融余额减少55.94亿元（9月9日）,Wind
1364,2020-09-10,港股盘前公告精选：百胜中国-S公开发售,Wind
1365,2020-09-10,申万宏源(06806-HK)完成发行票息3.76%的65亿人民币公司债三年期票息3.76%,财华社
1366,2020-09-09,7月以来5000人入职证券业，券商新一轮抢人大战开启！这类人才最抢手,中证报
1367,2020-09-09,申万宏源前8个月新增借款达上年末净资产的41.82%,证券日报
1368,2020-09-09,申万宏源：前8个月累计新增借款354.80亿元 大额借贷担保,中证网
1369,2020-09-09,首破4000亿！创业板两极分化又见天量成交，低价股集体重挫,Wind
1370,2020-09-09,申万宏源(06806)2020年累计新增借款354.8亿元 财务状况稳健 大额借贷担保,智通财经
1371,2020-09-09,申万宏源(06806.HK)累计新增借款超上年末净资产40% 大额借贷担保,格隆汇
1372,2020-09-09,申万宏源(000166.SZ)1-8月累计新增借款占上年末净资产比例为41.82% 大额借贷担保,格隆汇
1373,2020-09-09,申万宏源：当年累计新增借款超过上年末净资产百分之四十 大额借贷担保,Wind
1374,2020-09-09,万亿市值蒸发！A股一批低价股却逆势大涨,中证报
1375,2020-09-09,鹏博士战略转型获市场关注 多机构看好云网业务发展,新浪
1376,2020-09-09,鹏博士云网业务获关注 多机构予以“买入”评级,新浪
1377,2020-09-09,A股融资融券日报：两融余额减少8.54亿元（9月8日）,Wind
1378,2020-09-08,A股融资融券日报：两融余额减少28.1亿元（9月7日）,Wind
1379,2020-09-07,内资券商国际业务成绩单出炉！海通国际营收第一，申万宏源营收净利双增长,新浪
1380,2020-09-07,申万宏源(06806.HK)：申万宏源证券完成发行30亿元短期融资券(债券通),格隆汇
1381,2020-09-07,申万宏源(06806)：每10张“16申宏03”将于9月9日派息32元,智通财经
1382,2020-09-07,申万宏源(06806.HK)：“16申宏03”9月9日付息,格隆汇
1383,2020-09-07,申万宏源(000166.SZ)：申万宏源证券完成发行30亿元短期融资券,格隆汇
1384,2020-09-07,A股融资融券日报：两融余额减少32.45亿元（9月4日）,Wind
1385,2020-09-07,证券业求贤若渴多券商百万元年薪聘分析师,证券日报
1386,2020-09-07,下半年以来超5000人“加盟”证券业 多家券商百万元年薪招聘分析师,证券日报
1387,2020-09-04,申万宏源上半年人均薪酬24万 7亿元陷*ST瀚叶质押违约 违约失信,中国经济网
1388,2020-09-03,香港证监会向申万宏源（香港）发限制通知书,Wind
1389,2020-09-03,香港证监会向申万宏源（香港）发限制通知书,中证网
1390,2020-09-03,用友金融(839483)：2020H1营收增长 多领域布局塑造金融生态新面貌,新浪
1391,2020-09-03,中国证监会行政处罚决定书（何思模） 金融监管处罚,证监会
1392,2020-09-03,证监会向经纪行发出限制通知书以冻结与涉嫌操控市场的活动有关的客户帐户,香港证监会
1393,2020-09-03,A股融资融券日报：两融余额增加98.95亿元（9月2日）,Wind
1394,2020-09-03,人少钱多！上半年上市券商七成减员八成涨薪 业务变化,证券时报
1395,2020-09-02,A股融资融券日报：两融余额增加35.99亿元（9月1日）,Wind
1396,2020-09-02,【行业一线】股价创纪录！贵州茅台再演奇迹白酒行业还有上涨空间？,财华社
1397,2020-09-01,券商研究排名出炉！前五格局稳，中小券商现黑马,Wind
1398,2020-08-31,惨烈大洗牌！血拼公募基金7万亿交易，券商狂收57亿佣金，暴增53%！中信证券蝉联冠军宝座，这几家狂飙突进！最全排名来了,中国基金报
1399,2020-08-31,券业发薪“不差钱”但扩招趋谨慎，超七成券商人均薪酬超20万,第一财经
1400,2020-08-31,券业财富管理转型大比拼！这家黑马暴增11倍,券商中国
1401,2020-08-31,A股早报2020年8月31日星期一,Wind
1402,2020-08-30,净赚726.97亿元！39家上市券商交出上半年成绩单,中证报
1403,2020-08-29,上市公司正负面新闻2020年8月29日星期六,Wind
1404,2020-08-29,申万宏源(06806.HK)中期纯利升26.03%至40.35亿元,格隆汇
1405,2020-08-28,申万宏源(06806)中期归属股东净利润同比增长26.03%至40.35亿元,智通财经
1406,2020-08-28,申万宏源：上半年实现净利润40.35亿元 同比增长26.03%,中证网
1407,2020-08-28,申万宏源：上半年净利同比增26.03%,Wind
1408,2020-08-28,申万宏源(000166.SZ)：上半年净利升26.03%至40.35亿元,格隆汇
1409,2020-08-28,申万宏源：上半年净利同比增26.03%,e公司
1410,2020-08-28,证券行业2020年券商分类评级结果点评：券业大年评级结果整体向好 新规助中小券商逆袭突围,新浪
1411,2020-08-28,“ABCD”背后券商评级江湖： 外资控股券商3B级起步 申万宏源、光大回归一梯队,21世纪经济报道
1412,2020-08-26,券商座次大变：“优等生”队伍壮大，安信国金等6家新晋AA,第一财经
1413,2020-08-26,券商座次大变：安信国金等6家新晋AA，天风近年首度降级,第一财经
1414,2020-08-26,证监会公布2020年证券公司分类结果：15家券商获AA级,Wind
1415,2020-08-26,又一张券商私募资管业务罚单！估值法、资产隔离、违规交易等成处罚“重灾区” 金融监管处罚,财联社
1416,2020-08-26,A股融资融券日报：两融余额减少7.68亿元（8月25日）,Wind
1417,2020-08-25,广州期货违规遭证监局责令改正 主办券商为申万宏源 金融监管处罚,中国经济网
1418,2020-08-24,申万宏源(06806)：申万宏源证券完成发行30亿元2020年第六期短期融资券(债券通),智通财经
1419,2020-08-22,首份上市农商行半年报！社保北水扎堆看好,券商中国
1420,2020-08-21,申万宏源(06806.HK)：申万宏源证券提起多起诉讼诉讼金额合计约2.6亿元 诉讼纠纷,格隆汇
1421,2020-08-21,申万宏源：所属子公司涉及重大诉讼 诉讼纠纷,Wind
1422,2020-08-21,申万宏源(000166.SZ)：申万宏源证券完成发行30亿元短期融资券(债券通),格隆汇
1423,2020-08-21,金山办公业绩连超预期但市场反应平淡：估值贵是核心,新浪
1424,2020-08-20,申万宏源：公司涉及重大诉讼 诉讼纠纷,Wind
1425,2020-08-20,申万宏源证券发力“大投行”业务： “筑巢引凤”，三年力争打造“千人团”,凤凰网
1426,2020-08-20,券商上半年业绩放榜：前十券商占据半壁江山，注册制助推投行收入暴增,Wind
1427,2020-08-20,券商上半年业绩放榜 前十券商占据半壁江山 注册制助推投行收入暴增,21世纪经济报道
1428,2020-08-19,荆州富豪张美华遭小股东逼宫：旗下同济堂六位董事被提议罢免 董监高成员变化,和讯
1429,2020-08-19,又一批精选层IPO来了！9家公司有望9月中旬挂牌！,证券时报
1430,2020-08-19,"旧伤未愈又添新伤！子公司涉诉被列入失信被执行人，控股股东部分股份被冻结还存在违约风险，柯氏兄弟将带领蓝盾股份走向何方？
股权冻结",和讯
1431,2020-08-19,大洗牌！133家券商上半年25项指标排名来了,券商中国
1432,2020-08-19,大洗牌！券商上半年指标排名：中信净利第一！财富管理迎爆发 19家收入超去年,券商中国
1433,2020-08-19,大洗牌！133家券商上半年25项指标排名：中信净利第一，华泰降至第八！财富管理迎爆发,券商中国
1434,2020-08-18,券商半年度大比拼！中信建投投行业务收入第一，中信证券自营收益一骑绝尘，19家总资产超千亿元,中证报
1435,2020-08-18,同济堂董事会席位之争：天安人寿旗下企业要求罢免全部非独立董事 董监高成员变化,经济观察报
1436,2020-08-18,券商单项业务英雄榜出炉：中信建投投行第一，华泰资管业务第一,上证报
1437,2020-08-18,申万宏源(06806.HK)8月28日董事会考虑及批准中期业绩,格隆汇
1438,2020-08-18,发债融资热情高，18家券商新增借款逾2700亿元,Wind
1439,2020-08-17,券商“818理财节”投顾活动哪家强？有的“纯娱乐”有的“动真格”，业内纵论券商“尝鲜”买方投顾的挑战与机遇,每日经济新闻
1440,2020-08-17,融资客青睐7股，太极股份买入占比高达41.42%,Wind
1441,2020-08-14,下周35股分红实施，三角度寻找潜力股,Wind
1442,2020-08-13,32家A股拟分拆上市，三分之一来自生物制药,Wind
1443,2020-08-13,[三板]创新股份进入精选层辅导期 辅导机构为申万宏源,全景网
1444,2020-08-13,申万宏源(06806)8月20日A股股份每10股派发现金股利0.8元,智通财经
1445,2020-08-13,申万宏源(06806.HK)将每10股A股派发现金股利0.8元,格隆汇
1446,2020-08-13,申万宏源2019年A股利润分配10股派0.8元 股权登记日8月19日,证券时报
1447,2020-08-13,申万宏源(000166.SZ)2019年度A股利润分配10派0.8元 股权登记日为8月19日,格隆汇
1448,2020-08-13,"""爬梯""预告时间到！看乘风破浪的大赢家→燃爆818",申万宏源证券
1449,2020-08-12,同济堂“有毒”：内控失守频频爆雷　财务异常屡被质疑 欺诈造假,斑马消费
1450,2020-08-11,券商私募资管前二十强主动管理规模再破3万亿 3家规模占比超70%,每日经济新闻
1451,2020-08-11,券商私募资管前二十强主动管理规模再破3万亿：中信证券等4家券商二季度新增超百亿 3家规模占比超70%,每日经济新闻
1452,2020-08-11,"申万宏源“丑闻记”：有固收交易总部副总曾受贿近700万被判刑、曾有营业部市场部经理因信用卡诈骗被判刑五年、今年以来累计三次被列为被执行人
其他违规处罚",和讯
1453,2020-08-11,公募基金、专户、养老金、基金子公司、券商资管等规模20强来了,中国基金报
1454,2020-08-11,刚刚公布！公募基金、专户、养老金、基金子公司、券商资管等规模20强来了,中国基金报
1455,2020-08-10,时隔一年半，券商私募资管前20强主动管理规模再破3万亿，这4家二季度新增超百亿！,每日经济新闻
1456,2020-08-10,*ST济堂再曝逾10亿元违规担保 大额借贷担保,中证报
1457,2020-08-09,周末要闻2020年8月9日星期日,Wind
1458,2020-08-08,机构预测7月份CPI同比涨幅回升2.7%左右,Wind
1459,2020-08-08,“红7月”助推，券商单月业绩创近年新高,Wind
1460,2020-08-08,机构预测7月份CPI同比涨幅回升，PPI延续修复趋势,Wind
1461,2020-08-07,申万宏源(06806.HK)：累计新增借款占上年末净资产比例为35.56% 大额借贷担保,格隆汇
1462,2020-08-07,申万宏源：当年累计新增借款超过上年末净资产百分之二十 大额借贷担保,Wind
1463,2020-08-07,申万宏源(000166.SZ)：当年累计新增借款超过上年末净资产20% 大额借贷担保,格隆汇
1464,2020-08-07,股权质押频踩雷！申万宏源证券年内已收五张罚单，内控堪忧？ 投资失误,投资时报
1465,2020-08-07,申万宏源(06806-HK)证券子公司7月净利润升174.64%,财华社
1466,2020-08-06,申万宏源(000166.SZ)：7月申万宏源证券净利升174.89%至7.3亿元,格隆汇
1467,2020-08-06,申万宏源(06806.HK)：申万宏源证券7月净利润增长175%至7.3亿元,格隆汇
1468,2020-08-06,申万宏源(06806)：申万宏源证券7月净利润约7.3亿元 同比增长1.75倍,智通财经
1469,2020-08-06,申万宏源：7月子公司申万宏源证券净利润7.3亿元,格隆汇
1470,2020-08-06,申万宏源：申万宏源证券7月净利7.3亿元 同比大增,e公司
1471,2020-08-06,恒指探底回升收跌0.69%，券商、光伏股活跃,Wind
1472,2020-08-06,五大险企上半年净利润增速料承压 盈利能力下降,Wind
1473,2020-08-05,申万宏源(06806)为全资子公司宏源恒利提供1亿元整的不可撤销连带责任保证担保 大额借贷担保,智通财经
1474,2020-08-05,券商资管大集合整改提速，7360亿元存量产品转型蓄势待发,Wind
1475,2020-08-04,"申万宏源(06806.HK)与光大银行签署""最高额保证合同""",格隆汇
1476,2020-08-04,合力泰实控人文开福遭公开谴责 短线交易信披不及时,中国经济网
1477,2020-08-03,申万宏源屡遭处罚、 “踩雷”不断，激进策略留隐患？,《商学院》杂志
1478,2020-08-02,精选层破发后分化 券商定价承销能力迎大考 连续下跌,国际金融报
1479,2020-08-02,“产能”过剩，质量下滑！券商研究所转型路在何方？,中国基金报
1480,2020-08-01,第39家券商昨A股“报到”，44家券商打新浮盈80万元,Wind
1481,2020-07-31,关键假设表调整与交流精粹(2020年8月)：下半年宏观流动性是否会收紧存在预期差,新浪
1482,2020-07-31,申万宏源(06806)：“20申证D5”及“20申证06”在深交所转让,智通财经
1483,2020-07-31,证券行业2020年秋季策略报告：资本市场深化改革：对券商业绩影响几何【华创非银】,华创非银
1484,2020-07-31,申万宏源：上调新高教集团(2001.HK)目标价至7.91港元维持买入评级,格隆汇
1485,2020-07-29,申万宏源(06806)：申万宏源证券2020年第四期短期融资券(债券通)兑付完成,智通财经
1486,2020-07-29,申万宏源(06806.HK)：申万宏源证券兑付30亿元短期融资券,格隆汇
1487,2020-07-29,恒指震荡收高0.45%，券商、芯片股走强,Wind
1488,2020-07-29,翔丰华过会：今年IPO获批第121家 申万宏源过2单,中国经济网
1489,2020-07-28,申万宏源(06806)：109.31万股A股限售股份将于7月31日上市流通 解禁,智通财经
1490,2020-07-28,申万宏源(000166.SZ)：约109.31万股限售股7月31日解禁 解禁,格隆汇
1491,2020-07-28,申万宏源：109万股限售股7月31日上市流通 解禁,Wind
1492,2020-07-28,广誉远(600771.SH)：控股股东东盛集团减持1%公司股份减持计划实施完毕 减持股份,格隆汇
1493,2020-07-28,申万宏源集团股份有限公司关,证券时报
1494,2020-07-28,申万宏源(06806-HK)完成发行76亿人民币公司债三年期票息3.49%,财华社
1495,2020-07-27,申万宏源(000166.SZ)：“20申证D5”及“20申证06”于7月31日在深交所挂牌交易,格隆汇
1496,2020-07-27,申万宏源(000166.SZ)：申万宏源证券完成发行76亿元公司债券,格隆汇
1497,2020-07-27,半年报业绩、债券兑付压力，4张图看清这些公司状况！,Wind
1498,2020-07-27,北向资金步伐生变，机构仍看好这些机会,中证报
1499,2020-07-27,申万宏源辅导会宁县群业科技挂牌新三板,中证网
1500,2020-07-26,非银金融行业本周聚焦：券商Q2经营业绩向好 关注大金融板块“超低持仓”下的投资机会,新浪
1501,2020-07-24,解盘：资金出逃，题材走势分化，黄金珠宝、军工略涨,Wind
1502,2020-07-23,基金2020Q2券商持仓分析：券商配置占比下滑至0.46% 低配比例继续扩大,新浪
1503,2020-07-23,申万宏源(06806.HK)：申万宏源证券完成发行40亿元短期融资券,格隆汇
1504,2020-07-23,申万宏源(000166.SZ)：完成发行40亿元短期融资券(债券通),格隆汇
1505,2020-07-23,券商永续次级债发行频现！6家数百亿融资已浮出水面,Wind
1506,2020-07-23,券商进入密集“补血”期 这家公司将发百亿永续次级债 已是本月第3家,券商中国
1507,2020-07-23,申万宏源(06806-HK)子公司拟发行最多100亿人民币次级债,财华社
1508,2020-07-23,"券商进入密集""补血""期，这家公司将发百亿永续次级债，已是本月第3家",券商中国
1509,2020-07-22,申万宏源：子公司申万宏源证券拟发行不超过100亿元永续次级债券,中证网
1510,2020-07-22,申万宏源今年以来三成被执行人 员工受贿、职务侵占等“丑闻”频现,中国经济网
1511,2020-07-22,金达威再度涨停，游资接力炒作,Wind
1512,2020-07-22,券商板块冲高回落收涨1.03%，第一创业主力净流入金额超19亿元,Wind
1513,2020-07-22,申万宏源中国多资产智能配置策略登录Wind平台,Wind
1514,2020-07-22,申万宏源丑闻频出：今年三列被执行人 曾有业务部董事借号受贿,新浪
1515,2020-07-22,申万宏源被法院列为被执行人 被执行人,和讯
1516,2020-07-22,【行情】港股中资券商股走高，光大证券涨2.9%，申万宏源涨2.4%，中金、东方证券、广发证券均涨超1.5%,金十数据
1517,2020-07-22,募资或超300亿！中金A股IPO计划扩容3倍，或成募资额最大券商股,和讯
1518,2020-07-22,新三板精选层开板倒计时，预期首日“开门红”,Wind
1519,2020-07-22,中金A股IPO加量发行猜想,Wind
1520,2020-07-22,新三板精选层开板倒计时,21世纪经济报道
1521,2020-07-22,中金A股IPO加量发行猜想： 调额募资或超300亿 连横兼并阳谋显现,21世纪经济报道
1522,2020-07-21,创业板注册制股票上市指日可待，两融账户竟无法融资交易？,上证报
1523,2020-07-21,首批精选层发行承销费知多少？中信建投、国信、开源位列三甲,上证报
1524,2020-07-21,首批精选层公开发行承销费知多少？中信建投国信开源位列三甲,上证报
1525,2020-07-20,招商证券配股除权日股价上演“过山车”，券商股后市走势存分歧,经济观察报
1526,2020-07-20,券商板块今日收涨5.29%，中信证券主力资金净流入约5亿元,Wind
1527,2020-07-20,券商板块半日涨6.36%，方正证券、中信证券共获得主力净流入超12亿元,Wind
1528,2020-07-20,A股神签！中一签赚26万，本周又迎12只新股,中证报
1529,2020-07-20,上市券商半年度业绩:首发承销业务发力 营收及净利润均增逾两成,面包财经
1530,2020-07-20,上市券商144亿元分红已兑现，还有157多亿元红包“在路上”,Wind
1531,2020-07-19,深改之后，开板之前：做市商的攻与守【安信诸海滨团队】,诸海滨新三板
1532,2020-07-19,监管助力券商自我强化,证券市场周刊
1533,2020-07-17,【财富赢家系列】开户投资正当时！创业板新注册制落地，需知新规则,申万宏源证券
1534,2020-07-17,建银国际下调多家券商评级，将申万宏源H股评级下调至跑输大盘 投资评级恶化,Wind
1535,2020-07-17,申万宏源(06806.HK)：中国证监会对申万宏源证券试点开展跨境业务无异议,格隆汇
1536,2020-07-17,申万宏源(000166.SZ)：中国证监会对申万宏源证券试点开展跨境业务无异议,格隆汇
1537,2020-07-17,机构密集上调个股业绩预测，最高调增14倍，真有价值吗？,红周刊
1538,2020-07-17,券商板块今日缩量收跌3.07%，光大证券等4股跌停遭主力净卖出44亿元,Wind
1539,2020-07-17,券商板块半日跌超3%，太平洋、光大证券、中信证券遭主力资金净卖出31亿元,Wind
1540,2020-07-17,申万宏源承销保荐退出债承业务,金融界
1541,2020-07-16,券商板块收跌5.6%成交金额1273亿元，太平洋获主力净流入32.29亿元,Wind
1542,2020-07-16,上纬新材过会：今年科创板过会第79家 申万宏源过3单,中国经济网
1543,2020-07-16,频繁踩雷，境外业务能否为海通证券分类评价加分？,Wind
1544,2020-07-15,申万宏源(06806);申万宏源证券完成兑付2020年第三期短期融资券(债券通),智通财经
1545,2020-07-15,申万宏源(06806):“18申宏02”将于7月17日开始付息,智通财经
1546,2020-07-15,申万宏源(06806)：“18申宏01”将于7月17日开始付息,智通财经
1547,2020-07-15,申万宏源(06806.HK)：“18申宏02”7月17日付息,格隆汇
1548,2020-07-15,申万宏源(06806.HK)：“18申宏01”7月17日付息,格隆汇
1549,2020-07-15,券商板块今日跌2.87%，无一股收于涨停,Wind
1550,2020-07-15,券商板块半日跌1.8%成交金额740亿元，越秀金控涨停获主力净流入0.7亿元,Wind
1551,2020-07-15,券商分类评价工作启动，A类份额扩大,Wind
1552,2020-07-14,证券业“大考”来了！券商分类评价启动，谁有望跻身AA类？,上证报
1553,2020-07-14,申万宏源(06806.HK)子公司完成兑付50亿元短期融资券(债券通),格隆汇
1554,2020-07-14,证券业“大考”来了：券商分类评价启动 谁有望跻身AA类？,上证报
1555,2020-07-14,券商板块半日跌0.03%，南京证券主力净流入额16.96亿元,Wind
1556,2020-07-14,康泰医学过会：今年IPO获批第87家 申万宏源过首单,中国经济网
1557,2020-07-14,论当前行情的性质——申万宏源策略一周回顾展望(20/07/06-20/07/10),申万宏源大赢家
1558,2020-07-14,申万宏源：首次覆盖浦江国际，给予“买入”评级,腾讯网
1559,2020-07-14,券商业绩高歌 太平洋“伤心”,时代在线
1560,2020-07-13,【券商聚焦】申万宏源：科网股已属超卖 物管股看高一线,凤凰网
1561,2020-07-13,A股“龙卷风”来了，连续6天1.5万亿！这些风险不容忽视！,21财经
1562,2020-07-12,加码信息技术投入 20家券商指标评价获加分,证券日报
1563,2020-07-11,35家上市券商上半年实现净利589亿元,Wind
1564,2020-07-10,券商股尾盘下滑，中国银河、光大证券、申万宏源跌幅超过5%,Wind
1565,2020-07-10,券商板块午盘跌0.73%成交金额945亿元，中信证券主力净流出3.6亿元,Wind
1566,2020-07-10,券商股多数低开，兴业证券涨停，申万宏源、中泰证券均低开4%左右,Wind
1567,2020-07-10,【山证非银】证券行业6月业绩分析： 6月业绩环比大增76%，继续推荐券商,山西证券研究所
1568,2020-07-10,H股价格平均打五折多家券商股东入场增持自家股票,证券时报
1569,2020-07-10,"平均""五折""大甩卖，多家券商大股东已经出手在H股增持",券商中国
1570,2020-07-09,上市券商2020年6月经营数据跟踪：市场回暖+半年末+低基数 6月业绩大增,新浪
1571,2020-07-09,申万宏源：预计年内CPI仍将延续下行趋势 下行速度或略慢于此前预期,中证网
1572,2020-07-09,券商板块小涨成交1656亿元环比微减，光大证券成交额93亿元创历史新高,Wind
1573,2020-07-09,券商6月财务数据点评：券商利润正反馈开启 阶段行情仍在途中,新浪
1574,2020-07-09,券商板块午盘涨1.12%半日成交1088亿元，较上日同期增百亿元,Wind
1575,2020-07-09,申万宏源资本领投 药兜网获近亿元B轮融资,资本邦
1576,2020-07-09,A股融资融券日报：两融余额增加327.95亿元（7月8日),Wind
1577,2020-07-09,逾4000亿元资金解冻！将奔向哪儿？,上证报
1578,2020-07-09,券商紧急维护App，5家App年内更新超10次,Wind
1579,2020-07-09,申万宏源(06806-HK)证券子公司6月净利润升67.8%,财华社
1580,2020-07-09,刚刚出炉，最猛暴增200倍！券商6月业绩大爆发，中信半年狂赚62亿夺冠，第2名却是TA！,中国基金报
1581,2020-07-08,申万宏源母公司6月实现净利8.54亿元,中国证券网
1582,2020-07-08,申万宏源(000166.SZ)：6月申万宏源证券实现净利8.54亿元同比增70.39%,格隆汇
1583,2020-07-08,申万宏源(06806.HK)：申万宏源证券6月净利增长70.39%至8.54亿元,格隆汇
1584,2020-07-08,申万宏源：母公司6月实现净利润8.54亿元,金融界
1585,2020-07-08,申万宏源频收警示函：未查明至正股份伪造单据情况 未尽职调查光通天下关联关系 金融监管处罚,中国网
1586,2020-07-08,成交量连续5天破万亿，各路资金跑步入场,Wind
1587,2020-07-08,券商板块收涨6.63%成交金额1664亿元，中信证券、中信建投尾盘炸板,Wind
1588,2020-07-08,【券商聚焦】申万宏源首予融创中国增持评级 目标价45.2港元,凤凰网
1589,2020-07-08,6月数据前瞻：基建地产持续发力，可选品消费蓄势待发 | 申万宏源月度经济数据预测·第21期,申万宏源宏观
1590,2020-07-08,券商板块午盘涨3.68%半日成交金额998亿元，较上日同期缩量百亿元,Wind
1591,2020-07-08,寒武纪募资不及预期，AI芯片第一股上市临考,21世纪经济报道
1592,2020-07-08,A股融资融券日报：两融余额增加267.17亿元（7月7日),Wind
1593,2020-07-08,创业板跳水，券商分化，3300点后市场怎么走,Wind
1594,2020-07-07,豪赚777亿元！券商暴涨幕后最大赢家曝光，操作手法简单有效,红周刊
1595,2020-07-07,长春高新业绩超预期午后快速涨停，机构持续看好,Wind
1596,2020-07-07,外资买不停！股票、债券一个都不能少,Wind
1597,2020-07-07,券商板块收跌2.3%成交金额1674亿元，中信证券主力净流出4亿元,Wind
1598,2020-07-07,券商板块午盘跌0.44%成交金额1096亿元，上日同期为1082亿元,Wind
1599,2020-07-07,市场热情到底有多高？两融单日新增创历史新高,Wind
1600,2020-07-07,融资客青睐17股，中航飞机买入占比高达45.49%,Wind
1601,2020-07-07,A股早报2020年7月7日星期二,Wind
1602,2020-07-07,重仓低估值蓝筹股，保险“大象”集体起舞,Wind
1603,2020-07-06,上半年中资美元债违约规模超去年，两家房企值得关注 违约失信,Wind
1604,2020-07-06,涨停板解密：金融股掀涨停潮！（7月6日）,Wind
1605,2020-07-06,股指重上3300，成交再破1.5万亿！行情火爆到交易软件宕机！6大数据点燃A股盛宴,Wind
1606,2020-07-06,券商板块今日成交金额1516亿元，中信证券主力净流入金额达72亿元,Wind
1607,2020-07-06,【A股收盘综述】上证指数大涨5.71%，创5年最大单日涨幅,Wind
1608,2020-07-06,解盘：金融地产板块继续发力，沪指逼近3300,Wind
1609,2020-07-06,券商板块半日成交金额1082.66亿元，已超7月2日全天,Wind
1610,2020-07-06,A股午盘综述：上证指数大涨逾4%剑指3300点，券商再掀涨停潮,Wind
1611,2020-07-06,十年复盘：中信证券引爆牛市可能有多大？本轮券商行情有多高,证券时报网
1612,2020-07-06,A股早报2020年7月6日星期一,Wind
1613,2020-07-06,陆家嘴财经早餐2020年7月6日星期一,Wind
1614,2020-07-06,增量资金助推指数涨势如虹，全面牛市来了？,Wind
1615,2020-07-05,科创板投行业务违规，5家券商项目负责人遭监管警示 金融监管处罚,Wind
1616,2020-07-03,申万宏源龙虎榜数据（7月3日）,Wind
1617,2020-07-03,本周800亿资金加仓A股，漂亮50王者归来,Wind
