,2021-12-31,罚没720万元，半年负债增29%！粤开证券定增前路如何？ 偿债能力下降,投资时报
877,2020-12-01,丰乐种业(000713.SZ)为子公司向银行办理相关业务承担主合同最高额3000万元提供担保 大额借贷担保,智通财经
878,2020-12-01,银行行业月报：修复持续 星火燎原,新浪
879,2020-12-01,点燃市场热情，定增融资实现0突破，银行股发力行情来了,Wind
880,2020-12-01,重新聚焦科技成长，热门板块机构2021策略前瞻,Wind
881,2020-12-01,银行板块午后涨幅略有收窄，邮储银行、杭州银行转跌,Wind
882,2020-12-01,【银行】银行业2021年度策略：老树开新花，厚积以薄发,中银证券研究
883,2020-12-01,银行转型加速 上市银行再融资需求增加,财富动力网
884,2020-11-30,银行行业：ROE底部 估值向上,新浪
885,2020-11-30,银行专题研究报告：大行上涨后买什么？,新浪
886,2020-11-30,巨·个股 | 银行板块上演冲高回落大戏！回落之后，是否具备低吸机会？（附股）,巨丰财经
887,2020-11-30,本周股市三大猜想及应对策略,财富动力网
888,2020-11-29,计算机行业周报：华为智联汽车对计算机行业较详细影响分析！,新浪
889,2020-11-27,恒生电子(600570)：参与公募投顾IT建设一周年 后续仍大有可为,新浪
890,2020-11-27,杭州银行(600926.SH)：李常青独立董事任职资格获监管机构核准,格隆汇
891,2020-11-27,银行角度看3季度货币政策执行报告：贷款利率回升及未来展望,新浪
892,2020-11-26,贷款利率回升及未来展望 ——银行角度看3季度货币政策执行报告【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
893,2020-11-26,中小银行面临四大压力，破局之路抱团取暖,21世纪经济报道
894,2020-11-26,资产超20万亿的127家中小银行，新形势下如何抱团发展？,澎湃新闻
895,2020-11-25,当下操作策略,华安证券订阅号
896,2020-11-25,杭州银行深圳分行开展爱心捐赠、助农扶贫活动,南都网
897,2020-11-24,银行业周报：LPR七连平 金融委定调稳定债市,新浪
898,2020-11-24,【东北银行王凤华/陈玉卢】行业周报：配股重启，外源性资本补充助力银行发展,东北证券研究所
899,2020-11-24,经济回暖业绩向好 机构看好银行股反弹,财富动力网
900,2020-11-23,银行行业周报：配股重启提振银行资本补充动力 本周MLF超额续作,新浪
901,2020-11-22,银行板块创4个多月新高，掘金银行股该怎么选？,重庆商报
902,2020-11-20,【投行参要】每日审核要点及市场动态 | 2020.11.20,兴业证券订阅号
903,2020-11-20,杭州银行今日大宗交易成交551万股，成交价13.32元折价9.08%,Wind
904,2020-11-20,"杭州银行现1笔大宗交易 共成交7,339.32万元",新浪
905,2020-11-20,A股收盘综述：上证指数录得三连升，汽车股掀涨停潮,Wind
906,2020-11-20,A股午盘综述：上证指数涨0.1%，创业板指涨0.57%,Wind
907,2020-11-19,策略日报：指数震荡下跌 创业板下跌2%,新浪
908,2020-11-19,银行行业月报：宏观持续修复 政策利率稳定,新浪
909,2020-11-18,业绩增速趋缓、减值损失大增 应对信用风险杭州银行加大计提力度,投资时报
910,2020-11-18,机构称有逾60%上升空间 股东高管出手增持银行股,中投网
911,2020-11-18,【研报掘金】信用风险缓释长周期逐渐步入尾期 银行板块估值修复有望建议积极布局,证券时报网
912,2020-11-18,业绩增速趋缓，减值损失大增！应对信用风险杭州银行加大计提力度,投资时报
913,2020-11-18,银行业月度报告（2020年10月）：信贷平稳增长，结构持续向好,财信证券研究
914,2020-11-17,A股收盘综述：上证指数收跌0.21%，白酒股午后高台跳水,Wind
915,2020-11-17,银行业周报第35期：包商银行二级资本债全额减记 市场充分预期,新浪
916,2020-11-17,【读财报】上市银行三季报：资产质量保持稳定 资本充足率普遍下降,新华网
917,2020-11-17,764亿！美国银行业大手笔收购来了，作价20倍市盈率，银行股集体大涨！,证券时报网
918,2020-11-16,银行行业点评报告：10月信贷结构继续向好 银行业三季度经营数据改善,新浪
919,2020-11-15,专题！“信用事件”对权益市场和银行的影响几何？【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
920,2020-11-15,银行业周报：二级资本债首次触发减记 社融高增支撑行业景气度上行,新浪
921,2020-11-13,【兴证金融 傅慧芳】银行业周报2020.11.9-2020.11.15,兴证金融
922,2020-11-13,【行情】银行股全线走弱，平安银行跌近5%，兴业银行、宁波银行、杭州银行、招商银行等跌逾3%,金十数据
923,2020-11-12,"杭州银行现1笔大宗交易 共成交5,560.10万元",新浪
924,2020-11-12,银行角度看10月社融：社融总量稳定，信贷略有回落【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
925,2020-11-11,银行行业周观点报告：同业存单发行利率继续上行,新浪
926,2020-11-10,"杭州银行现1笔大宗交易 共成交7,158.00万元",新浪
927,2020-11-10,【杭州银行】息差持续上升，资产质量大幅改善,志明看金融
928,2020-11-09,14家城商行前三季度业绩：5家利润超100亿 郑州银行不良贷款率最高为2.1%,挖贝网
929,2020-11-09,杭州银行(600926)：手续费收入快速增长 资产质量好于预期,新浪
930,2020-11-06,银行股进入估值修复期 高管密集主动增持,时代在线
931,2020-11-06,14家A股城商行前三季净利939亿 贵阳银行等5家负增长,中国经济网
932,2020-11-05,A股收盘综述：上证指数连涨四日站上3300，五粮液迈入万亿市值俱乐部,Wind
933,2020-11-05,A股午盘综述：上证指数半日涨0.88%，五粮液市值首次突破一万亿,Wind
934,2020-11-05,银行板块转跌，两市股指收窄涨幅,Wind
935,2020-11-04,上金所公布黄金拆借品种参与机构名单,Wind
936,2020-11-04,三季度核心盈利指标向上，银行板块发力拉升，招商银行再创新高,证券时报网
937,2020-11-04,银行三季报看懂了吗？这一主力资金正从多家银行股东名单消失,中投网
938,2020-11-04,保险资金投资路线追踪：三季度增持银行加码制造业,证券时报网
939,2020-11-04,保险资金投资路线追踪：三季度增持银行加码制造业,证券时报
940,2020-11-03,前三季A股上市城商行5家净利负增长，厦门银行净利增幅最高,澎湃新闻
941,2020-11-03,杭州银行发行可转债申请材料获证监会受理,证券时报网
942,2020-11-03,杭州银行(600926.SH)公开发行A股可转债申请获中国证监会受理,格隆汇
943,2020-11-03,【研报掘金】银行利润增速三季度已见拐点 四季度估值切换窗口打开建议超配银行板块,证券时报网
944,2020-11-03,银行业拐点到来？三季报数据揭晓相关变化,21世纪经济报道
945,2020-11-03,三季度城商行业绩增速放缓 手续费、佣金净收入成主要增长动力 盈利能力下降,第一财经
946,2020-11-03,详解银行业三季报：息差回升、资产平稳、分化持续,新浪
947,2020-11-03,看好银行板块四季度估值切换+市场风格转换机会（附股）,证券时报
948,2020-11-03,银行三季度业绩表现企稳向好，服务实体经济力度加大,Wind
949,2020-11-02,A股上市城商行三季报扫描：净利负增长队伍扩大,第一财经
950,2020-11-02,A股上市城商行三季报扫描：净利负增长队伍扩大，不良率稳中有降 盈利能力下降,第一财经
951,2020-11-02,杭州银行前三季度净利56亿元 信用减值损失74亿,中国经济网
952,2020-11-02,40公司获得增持评级-更新中,中财网
953,2020-11-02,杭州银行(600926)：资产质量优异保持 业绩基本符合预期,广发证券
954,2020-11-02,粤开证券：公司1.73亿元银行存款将被冻结 资产查封,Wind
955,2020-11-02,中信证券：银行板块当前逐步进入配置窗口期 推荐招商银行等,证券时报网
956,2020-11-02,36家A股上市银行前三季度，合计实现净利1.3万亿元,Wind
957,2020-11-01,【浙商|银行】杭州银行20Q3：实际经营业绩大超预期,大话金融
958,2020-11-01,杭州银行(600926)：息差持续提升 资产质量优异,新浪
959,2020-11-01,37家上市银行三季报透视：业绩“天地”分化，差距就是那么大！,Wind
960,2020-11-01,杭州银行(600926)：活期存款高增长 拨备站上新阶梯,新浪
961,2020-10-30,股市分析：杭州银行三季报浅析,搜狐
962,2020-10-30,杭州银行前9月营收186.52亿元同比增长16% 陆股通新晋十大股东,证券时报
963,2020-10-30,杭州银行前三季净利润同比增5.11% 计提拨备同比增27.95%,中国证券网
964,2020-10-30,杭州银行：前三季净利55.77亿元 同比增长5.11%,新浪
965,2020-10-30,杭州银行第三季度净利润下降10%，不良余额不良率“双降” 盈利能力下降,澎湃新闻
966,2020-10-30,杭州银行发布三季报：贯彻落实“六稳”“六保”要求 积极践行普惠金融,和讯
967,2020-10-30,杭州银行：前三季度净利润同比增长5.11%,Wind
968,2020-10-30,杭州银行：“17精功MTN001”违约后续 未按时兑付本息,Wind
969,2020-10-30,今年银行永续债发行近5000亿元,Wind
970,2020-10-30,深化金融企业改革完善公司治理,经济日报
971,2020-10-29,旺能环境(002034.SZ)为子公司旺能环保向杭州银行借款提供3300万元额度的担保 大额借贷担保,智通财经
972,2020-10-29,晚间重要公告2020年10月29日星期四,Wind
973,2020-10-29,杭州银行陈震山：近年来坚持规范股东行为 督促股东履行好义务,上证报
974,2020-10-29,今年融资骤降，银行可转债发行不香了？,Wind
975,2020-10-29,年内银行股最后一波解禁潮来袭，对股价影响几何？ 解禁,第一财经
976,2020-10-29,A股早报2020年10月29日星期四,Wind
977,2020-10-29,杭州银行股份有限公司 关于公开发行A股可转换公司债券 获中国银保监会浙江监管局核准的公告,证券时报
978,2020-10-29,年内银行股最后一波解禁潮来袭，对股价影响几何？,Wind
979,2020-10-28,年内银行股最后一波解禁潮来袭，对股价影响几何？ 解禁,第一财经
980,2020-10-28,晚间重要公告2020年10月28日星期三,Wind
981,2020-10-28,杭州银行发行150亿元A股可转债获核准,上证报
982,2020-10-28,【中原晨会1028】市场分析、宝钛股份公司点评报告、银行行业月报、华宇软件三季报分析,中原证券研究所
983,2020-10-28,银行理财向子公司“迁移”调查：存量处置有难度,Wind
984,2020-10-28,银行行业：积极关注板块投资机会,财富动力网
985,2020-10-27,股票仓位为84.49%，重仓杭州银行、万科A等,新浪
986,2020-10-27,银行业2021年度策略：历经洗礼 沐浴新生,新浪
987,2020-10-27,上市银行“大零售”转型受青睐,中国经济时报
988,2020-10-26,年内最大一波银行解禁潮即将来临 六家银行解禁规模近千亿 解禁,北京商报
989,2020-10-25,【浙商II梁凤洁/邱冠华】怎么看第一份城商行三季报？,大话金融
990,2020-10-24,下周1106亿市值限售股解禁，环比增加352.37% 解禁,Wind
991,2020-10-23,A股共发生44宗大宗交易成交12.28亿元（10月23日）,Wind
992,2020-10-23,杭州银行现1笔大宗交易 共成交440.37万元,新浪
993,2020-10-22,东北证券：银行具有确定性行情，上涨空间较大,理财18
994,2020-10-22,【东北晨会1022】银行行业周报/东方雨虹、中联重科、华润微/复盘笔记,东北证券研究所
995,2020-10-22,【东北银行王凤华/陈玉卢】行业周报：银行具有确定性行情，上涨空间较大,东北证券研究所
996,2020-10-21,杭州银行现2笔大宗交易总成交金额2182.58万元,证券时报网
997,2020-10-21,杭州银行：1900余万股限售股于10月27日解禁 解禁,上证报
998,2020-10-21,杭州银行：1903.72万股首次公开发行限售股将于10月27日上市流通 解禁,中证网
999,2020-10-21,杭州银行：1903万股限售股10月27日上市流通 解禁,Wind
1000,2020-10-21,杭州银行(600926.SH)：1903.72万股限售股10月27日解禁 解禁,格隆汇
1001,2020-10-21,"杭州银行现2笔大宗交易 共成交2,182.58万元",新浪
1002,2020-10-21,快讯：银行股盘中异动拉升 杭州银行等多股走强,新浪
1003,2020-10-21,银行股盘中拉升 杭州银行涨超3%,e公司
1004,2020-10-21,银行业月度报告（2020年9月）：中长期信贷增长，盈利可期,财信证券研究
1005,2020-10-20,北京银保监局：核准马煜杭州银行北分副行长任职资格,银保监会
1006,2020-10-20,从银行半年报看理财变化,Bank资管
1007,2020-10-20,【银行】《商业银行法》修订点评：健全监管框架，加强公司治理与风险管理,中银证券研究
1008,2020-10-19,天风证券廖志明：此轮银行股上涨非小反弹,澎湃新闻
1009,2020-10-19,分析｜银行股集体上涨的核心逻辑是什么，还有多大上涨空间,澎湃新闻
1010,2020-10-18,深度｜银行3季报前瞻：稳健性持续，投资核心逻辑是经济【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1011,2020-10-18,【兴证金融 傅慧芳】银行业周报（10.12-10.18）:社融高增行业景气度提升，银行法修改稿聚焦金融风险防范,兴证金融
1012,2020-10-16,千淘万漉虽辛苦 四季度要配银行股？,中投网
1013,2020-10-16,银行9月金融数据点评：社融超预期多增，M2增速提升，给予“强于大市”评级,中银国际
1014,2020-10-16,服装巨头成股神？两个月狂卖宁波银行大赚22亿,券商中国
1015,2020-10-15,外资小幅流出：金龙鱼市值冲入前三 24亿资金买入银行股,新浪
1016,2020-10-15,【研报掘金】低估值与经济复苏共振 银行股有望否极泰来应积极看多,证券时报网
1017,2020-10-15,外资小幅流入：22亿主力买入银行股 恒生电子遭卖出超6亿,新浪
1018,2020-10-15,快讯：银行板块早盘大涨 杭州银行涨7%,新浪
1019,2020-10-15,金融股普涨 杭州银行、平安银行涨约5%,e公司
1020,2020-10-14,银行角度看9月社融：经济修复、融资需求旺盛，利好银行板块【中泰银行戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1021,2020-10-14,21金融研究： 商业银行资本消耗加剧，如何拓宽资本补充路径？,21世纪经济报道
1022,2020-10-14,21金融研究：商业银行资本消耗加剧，如何拓宽资本补充路径？,21世纪经济报道
1023,2020-10-13,杭州银行高管团队去年人均年薪近200万，副行长最高年薪270万,和讯
1024,2020-10-13,杭州银行高管去年最终薪酬：11人有1人年薪未过百万,中国经济网
1025,2020-10-10,深扒券商10月金股：浙商证券连续两月推荐焦点科技 最具接盘风险,新浪
1026,2020-10-09,21测评丨“妖股专业户”天风证券变乖了,21世纪经济报道
1027,2020-10-09,21金股测评丨30家券商10月金股榜 医药食饮热度下降,21世纪经济报道
1028,2020-10-09,东兴证券：9月金股组合亏损7.11% 10月荐股名单出炉 亏损,新浪
1029,2020-10-09,银行业三季报前瞻：人间正道是沧桑,新浪
1030,2020-10-09,银行网点变少影响几何,中国金融信息网
1031,2020-10-09,银行行业月报：预期底部 修复可期,新浪
1032,2020-10-03,银行网点变少，影响几何,中国经济网
1033,2020-09-30,杭州银行贷款结构存隐患 业绩光鲜但难掩风险瑕疵,新浪
1034,2020-09-30,板块破净率近七成机构把脉银行股价值,中证报
1035,2020-09-30,今年银行永续债发行突破4000亿元，中小银行成“生力军”,Wind
1036,2020-09-29,杭州银行(600926.SH)：唐荣汉独立董事任职资格获监管机构核准,格隆汇
1037,2020-09-28,银行行业：LPR报价不变 银行板块仍具防御性,新浪
1038,2020-09-27,非银行金融／银行行业周报(第三十九周),新浪
1039,2020-09-27,银行到底降薪没？苏农银行上半年平均薪酬近38万,每日经济新闻
1040,2020-09-26,上海银行业绩起伏不定，过高负债成本降低息差、吞噬利润，难以提供股东稳定回报,红周刊
1041,2020-09-26,运营迈出关键一步，敏捷引领二次飞跃，看银行如何把握转型新“基”遇,中国电子银行网
1042,2020-09-25,【读财报】上半年普惠型小微企业贷款哪家银行支持力度强？,新华网
1043,2020-09-25,【东北晨会0925】光伏行业动态点评/银行行业周报/宝钢包装,东北证券研究所
1044,2020-09-25,【东北银行王凤华/陈玉卢】行业周报：小贷公司融资上限5倍杠杆，开启行业规范监管,东北证券研究所
1045,2020-09-24,银行股估值躺底 资金二季度精准加仓,上证报
1046,2020-09-23,【读财报】上市银行核心监管指标排行：10家拨备覆盖率超300% 交行、浦发、华夏垫底,新华网
1047,2020-09-23,【中原晨会0923】市场分析、银行行业月报,中原证券研究所
1048,2020-09-22,银行行业月度报告：信贷结构调整，负债成本上行，维持“同步大市”评级,财信证券
1049,2020-09-22,部分银行保本理财产品清零，中小行揽储“压力山大”,第一财经
1050,2020-09-21,杭州银行：颜延辞去独立董事等职务 董监高成员变化,Wind
1051,2020-09-21,金融控股公司管理办法点评：金控新牌照 管理有章法,新浪
1052,2020-09-21,全国100家商业银行财富管理能力排名报告（2020上半年）,和讯
1053,2020-09-20,银行业周报229期：金控新牌照 管理有章法,新浪
1054,2020-09-19,中小银行密集介入隐性债务置换，监管提示风险,21世纪经济报道
1055,2020-09-18,研究 | 厦门银行：利息净收入连续两年“开倒车” 向老赖放贷风控存漏洞 经营问题,中金在线
1056,2020-09-17,杭州银行授权高管可动态调整理财业务转型安排,上证报
1057,2020-09-17,杭州银行(600926.SH)：董事会通过关于进一步推动理财业务转型发展的议案,格隆汇
1058,2020-09-17,A股融资融券日报：两融余额增加1.73亿元（9月16日）,Wind
1059,2020-09-17,"两融透析：大盘缩量震荡,拉卡拉融资盘小幅流入",财富动力网
1060,2020-09-17,"大盘缩量震荡,拉卡拉融资盘小幅流入",财富动力网
1061,2020-09-16,大金融护盘，银行板块再扛大旗,Wind
1062,2020-09-15,宽信用稳步推进：银行业2020年8月金融数据点评,中信证券
1063,2020-09-15,A股融资融券日报：两融余额增加37.47亿元（9月14日）,Wind
1064,2020-09-15,今年以来永续债发行规模逾3800亿元,Wind
1065,2020-09-14,2020年8月金融数据点评：地方债放量 社融结构继续向好,新浪
1066,2020-09-14,【读财报】上市银行监管指标排行：10家拨备覆盖率超300%,面包财经
1067,2020-09-14,新华财经·读财报|上市银行拨备覆盖率半数超250%,光明网
1068,2020-09-14,理财规模上半年降至22.1万亿元，部分银行保本理财产品“清零”,Wind
1069,2020-09-13,【浙商||银行梁凤洁/邱冠华】地方债拉动社融超预期,大话金融
1070,2020-09-13,银行角度看8月社融：需求修复是主要驱动 利于经济和银行板块,新浪
1071,2020-09-12,8月金融数据点评：8月地方债贡献社融高增 M1增速持续上行,新浪
1072,2020-09-10,房抵贷之殇：极难实现纯线上化，微众、新网等互联网银行跃跃欲试,和讯
1073,2020-09-10,八家城商行科技战略对比：这家银行研发人员占比超11%,零壹财经
1074,2020-09-10,杭州银行北京分行：引金融活水浇灌文化企业,北京商报
1075,2020-09-10,银行代销他行理财产品将成大趋势，专家称应注意风险隔离,Wind
1076,2020-09-09,杭州银行(600926)：资产质量稳定基石 业务转型锦上添花-调研纪要,新浪
1077,2020-09-09,拨备增长吞噬上市银行净利，上半年计提资产减值逾8600亿元同比增38.61%,Wind
1078,2020-09-08,银行股走强 杭州银行涨逾4%,中证网
1079,2020-09-08,金融股逆市走强，银行ETF早盘涨超1%,Wind
1080,2020-09-08,【行情】银行板块开盘走高，杭州银行大涨4%，平安银行、常熟银行、兴业银行、长沙银行跟涨,金十数据
1081,2020-09-08,快讯：银行股小幅拉升 杭州银行涨4%,新浪
1082,2020-09-08,银行板块拉升，杭州银行涨超4%,Wind
1083,2020-09-08,银行降薪实锤？合计下降5.9亿元，但人均仍超2万,21世纪经济报道
1084,2020-09-07,养猪、做美妆、办银行…水泥企业是怎样“不务正业”的,中国水泥网
1085,2020-09-07,城商行上半年业绩表现突出 中间业务收入成新利润增长点,新浪
1086,2020-09-07,上市银行中期盈利8554亿加大拨备计提 不良率平均1.43%七成拨备覆盖率超200%,长江商报
1087,2020-09-06,深度！银行业2020中报的关键词：稳健、分化；重申转看多行业【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1088,2020-09-05,13家上市城商行中报对比：六家规模破万亿，北京和郑州银行增收反降利,零壹财经
1089,2020-09-05,A股城商行净利多呈正增长，有头部城商行存业绩隐忧,Wind
1090,2020-09-04,【银行中报观察】A股城商行净利多呈正增长有头部城商行存业绩隐忧,经济观察报
1091,2020-09-04,杭州银行(600926)中报点评：业绩增长与资产质量齐头并进,新浪
1092,2020-09-04,银行业20年半年报综述：相信自然增长 出清存量风险,新浪
1093,2020-09-03,上市银行2020年半年报综述：今年大不同 上市银行中报的五个关注点,新浪
1094,2020-09-02,13家城商行11家净利正增长：宁波银行杭州银行增逾12%,澎湃新闻
1095,2020-09-02,今年银行永续债融资即将突破4000亿！3张图了解现状,Wind
1096,2020-09-02,银行股估值躺底，资金二季度精准加仓,Wind
1097,2020-09-02,银行业上半年净利增速普遍下降 银行股四季度估值或合理修复 盈利能力下降,南方财经网
1098,2020-09-01,九月金股汇：低估值和高增长齐舞,新浪
1099,2020-09-01,【研报掘金】经济持续复苏估值底部确认 银行板块已进入绝对收益期,证券时报网
1100,2020-09-01,半年报季银行股价哪家强：城商行表现抢眼，国有大行整体萎靡,澎湃新闻
1101,2020-09-01,半年报里的秘密：银行拨备计提实情,21世纪经济报道
1102,2020-09-01,杭州银行上半年业绩增长放缓因计提信用减值损失49.56亿元 盈利能力下降,GPLP犀牛财经
1103,2020-09-01,银行股估值已在底部 资金二季度精准加仓,中国证券网
1104,2020-09-01,银行2Q20业绩回顾：一轮非典型盈利提升 一次更彻底的报表出清,新浪
1105,2020-09-01,银行股估值已在底部 资金二季度精准加仓,上证报
1106,2020-09-01,受三大因素影响，上市银行上半年净利润同比降逾9%,Wind
1107,2020-09-01,详解3973份A股半年报：25家“双增”公司市值合计比年初增长逾3824亿元,Wind
1108,2020-09-01,加大拔备、让利实体,时代周报
1109,2020-09-01,加大拨备让利实体 银行业绩负增长无需悲观,时代在线
1110,2020-08-31,上市城商行中报交卷，净利表现PK掉了大行和股份行,第一财经
1111,2020-08-31,机构强烈推荐22只个股-更新中,中财网
1112,2020-08-31,杭州银行(600926.SH)：徐云鹤和吴建民董事任职资格获监管机构核准,格隆汇
1113,2020-08-31,中泰金工可转债发行跟踪周报(0830),ZTQuant
1114,2020-08-31,杭州银行不良率1.24%达上市以来最佳 净息差逆势提升减值前利润增逾25%,长江商报
1115,2020-08-31,杭州银行上半年信用减值损失增36% 人均薪酬近26万元,中国经济网
1116,2020-08-30,【兴证金融 傅慧芳】银行业周报（08.24-08.30）：上市银行中报显著分化，营收普遍放缓但不良/拨备差异性加大,兴证金融
1117,2020-08-29,【杭州银行】业绩保持高增速，资产质量改善,志明看金融
1118,2020-08-29,上市银行中报：净利润增速创3年新低 盈利能力下降,中证报
1119,2020-08-29,多家银行中间收入大增 盈利结构转型提速,中国经营报
1120,2020-08-28,杭州银行2020上半年净利增长12%至41亿，不良贷款率降至1.24%,零壹财经
1121,2020-08-28,杭州银行2020半年报：净利润40.68亿元 同比增长12.11％,金融界
1122,2020-08-28,杭州银行(600926)：经营靓丽 资产质量持续改善,新浪
1123,2020-08-28,杭州解百：择机出售持有的杭州银行股票不超过418.20万股,Wind
1124,2020-08-28,A股收盘综述：创业板综指本周累升超5%，上证指数连涨五周,Wind
1125,2020-08-28,杭州银行(600926)：增速保持靓丽 息差支撑业绩,新浪
1126,2020-08-28,A股午盘综述：创业板综指半日升0.56%，“喝酒”炒创业板行情再现,Wind
1127,2020-08-28,杭州银行(600926)：利润继续双位数增长 不良率再创新低,新浪
1128,2020-08-28,杭州银行发挥“科技金融”优势 深度服务科创型企业,上证报
1129,2020-08-28,快讯：杭州银行涨停 报于12.58元,金融界
1130,2020-08-28,银行股大幅拉升 杭州银行涨停 多股大涨,金融界
1131,2020-08-28,银行股拉升，杭州银行触及涨停,Wind
1132,2020-08-27,杭州银行上半年实现净利润40.68亿元 同比增长12.11%,上证报
1133,2020-08-27,杭州银行资产规模破万亿元，上半年净利润40.7亿元、同比增长12.11%,证券时报
1134,2020-08-27,杭州银行半年报：关键业绩指标好于预期 资产质量持续改善,新浪
1135,2020-08-27,杭州银行上半年营收增23%净利增12%，不良率1.24%,澎湃新闻
1136,2020-08-27,杭州银行半年报：成本收入比23.71% 较上年同期下降1.44% 盈利能力下降,新浪
1137,2020-08-27,杭州银行(600926.SH)半年度净利润升12.11%至40.68亿元,格隆汇
1138,2020-08-27,杭州银行：上半年净利同比增12% 拟发行不超150亿元可转债,e公司
1139,2020-08-27,杭州银行(600926.SH)拟发行不超150亿元A股可转债,格隆汇
1140,2020-08-26,杭州银行打造资本市场融资服务体系,上证报
1141,2020-08-26,中国短期融资券及中期票据信用分析周报,新浪
1142,2020-08-21,城商行异地放款迎强监管？多家助贷平台选择这一策略破局,腾讯网
1143,2020-08-21,杭州银行董事会秘书毛夏红任职资格已获得批复,资本邦
1144,2020-08-20,杭州银行(600926.SH)：毛夏红董秘任职资格获监管机构核准,格隆汇
1145,2020-08-20,银行行业深度专题：他山之石 探索我国存款利率市场化的深入改革,新浪
1146,2020-08-20,A股早报2020年8月20日星期四,Wind
1147,2020-08-19,A股共发生119宗大宗交易成交27.99亿元（8月19日）,Wind
1148,2020-08-19,"杭州银行现1笔大宗交易 共成交14,842.50万元",新浪
1149,2020-08-19,杭州银行今日大宗交易成交1381.98万股，成交价10.74元折价8.36%,Wind
1150,2020-08-18,A股收盘综述：上证指数小涨0.36%收于两年半高点，中国人寿再涨5%,Wind
1151,2020-08-18,A股午盘综述：上证指数半日升0.42%，食品、农业、黄金板块大涨,Wind
1152,2020-08-18,银行股临近午盘仍旧低迷，杭州银行跌超5%,Wind
1153,2020-08-18,银行股回调，杭州银行、长沙银行均跌超2%,Wind
1154,2020-08-18,金融股昨日爆发，券商保险分级B集体大涨,Wind
1155,2020-08-17,深度*行业*银行业周报：银行业中期业绩利空落地 业绩期关注绩优个股,新浪
1156,2020-08-17,银行行业周报225期：风险溢价下降和基本面向上,新浪
1157,2020-08-17,多项利好刺激，行情风向标券商股“卷土重来”,第一财经
1158,2020-08-17,ABS一周市场回顾,新浪
1159,2020-08-17,银行业周报：防范化解金融风险 行业估值修复可期,新浪
1160,2020-08-17,A股暴涨1.6万亿，五大事件驱动市场走强,券商中国
1161,2020-08-17,银行业周报：H1行业利润下降9.4%靴子落地 H2预计处置力度继续加大 盈利能力下降,新浪
1162,2020-08-17,A股收盘综述：上证指数劲升2.34%，中国人寿、成都银行、招商证券收于涨停,Wind
1163,2020-08-17,大金融板块持续发力！杭州银行涨停 聚焦浙江省获券商青睐,金融界
1164,2020-08-17,快讯：杭州银行涨停 报于12.8元,金融界
1165,2020-08-17,A股沸腾！沪指再上3400，有机构称月度级回调结束,中证报
1166,2020-08-17,银行行业报告：首份上市行中报落地稳定预期 看好银行低估值修复行情,新浪
1167,2020-08-17,杭州银行午后封住涨停，本月大涨超35%,Wind
1168,2020-08-17,解盘：资金流入400亿，炒股软件、次新、数字货币领涨,Wind
1169,2020-08-17,A股午盘综述：上证指数半日涨2.27%，中国人寿连续两日涨停,Wind
1170,2020-08-17,【行情】银行板块持续拉升，成都银行触及涨停，无锡银行、杭州银行、平安银行、常熟银行等跟涨,金十数据
1171,2020-08-17,银行板块迎来久违普涨又有股东“择机”减持 减持股份,证券时报
1172,2020-08-16,【兴证金融 傅慧芳】银行业周报（08.10-08.14）：H1行业利润-9.4%靴子落地，H2预计处置力度继续加大,兴证金融
1173,2020-08-14,银行股拉升背后：破净率超七成，外资提前抢筹,Wind
1174,2020-08-14,A股收盘综述：上证指数收涨1.19%连续三周上扬，创业板指连跌两周,Wind
1175,2020-08-14,【行情】银行板块午后急拉，成都银行大涨7%，南京银行、杭州银行、宁波银行纷纷走强,金十数据
1176,2020-08-14,银行板块拉升，成都银行、杭州银行快速上涨,Wind
1177,2020-08-14,北京元六鸿远电子科技股份有限公司关于使用部分暂时闲,证券时报
1178,2020-08-13,降薪传闻四起，“金饭碗”还香吗？一文揭开金融业薪酬全景图,腾讯网
1179,2020-08-13,助力科技起飞 杭州银行陪伴企业共同成长,和讯
1180,2020-08-13,银行：预计头部银行信用成本短期见顶 重估银行股的开始,新浪
1181,2020-08-12,赛微电子(300456.SZ)及子公司向银行申请综合授信额度,格隆汇
1182,2020-08-12,银行2020年7月金融数据点评：信贷结构大幅优化 宏观经济向好趋势明朗,新浪
1183,2020-08-12,二季度监管数据点评：提足拨备 做实利润,新浪
1184,2020-08-12,银行业7月社融点评：低于预期的社融数据其实并不弱-7月社融点评,新浪
1185,2020-08-11,让利意图明显银行业中报负增符合预期 银行股估值有望稳步提升,搜狐
1186,2020-08-11,解盘：权重拉升指数，稀土、航母、白酒领涨,Wind
1187,2020-08-11,银行股拉升！上半年净利降9.4%，机构这样看丨牛熊眼 盈利能力下降,第一财经
1188,2020-08-11,银行板块强势拉升 成都银行涨停 杭州银行、常熟银行、等涨幅均超过5％,金融界
1189,2020-08-11,银行业研究：负增长客观反映经营压力 头部银行信用成本有望短期见顶,新浪
