,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
1339,2021-03-09,电子行业3C月报：1月苹果国内份额迅速提升,新浪
1340,2021-03-09,国盛证券--韦尔股份：平台型龙头超预期，Q1景气继续上行【公司研究】,金融界股吧
1341,2021-03-09,光大证券：韦尔股份(603501.SH)20年业绩符合预期，维持“买入”评级,智通财经
1342,2021-03-09,光大证券--韦尔股份跟踪报告之六：20年业绩符合预期，CIS龙头有望持续高速增长【公司研究】,金融界股吧
1343,2021-03-09,大公司早报 | 腾讯为售卖steam离线版游戏道歉 中信国安连续七年财务造假被罚,观察者网
1344,2021-03-09,韦尔股份去年净利27亿元同比增481%！多股年报超预期值得留意,巨丰财经
1345,2021-03-09,华西证券--韦尔股份:“高像素+大底+小像素点”齐发力，CIS增长可期【公司研究】,金融界股吧
1346,2021-03-09,上市公司正负面新闻2021年3月9日星期二,Wind
1347,2021-03-08,【华西电子孙远峰团队-持续坚定推荐韦尔股份】“高像素+大底+小像素点”齐发力，CIS增长可期,远峰电子
1348,2021-03-08,晚间重要公告2021年3月8日星期一,Wind
1349,2021-03-08,电子元件行业周报：淡季不淡的三点理由,新浪
1350,2021-03-08,韦尔股份2020年净利同比增长481%,上证报
1351,2021-03-08,半导体设计业务增长，韦尔股份2020年净利润27.05亿元,资本邦
1352,2021-03-08,韦尔股份业绩快报：2020年度净利润27.05亿元 同比增长481%,财联社
1353,2021-03-08,韦尔股份(603501.SH)披露2020年业绩快报 归母净利同比增4.8倍至27.05亿元,智通财经
1354,2021-03-08,韦尔股份业绩快报：2020年净利27亿元 同比增481%,e公司
1355,2021-03-08,韦尔股份(603501.SH)业绩快报：2020年净利升480.96%至27.05亿元,格隆汇
1356,2021-03-08,韦尔股份业绩快报：2020年净利润27.05亿元，同比增长480.96%,Wind
1357,2021-03-08,【机会挖掘】小鹏汽车开启NGP辅助驾驶挑战 自动驾驶商业化加速,证券时报网
1358,2021-03-08,科技硬件行业周报(3／6)：投资人关注中芯国际批量采购协议变化,新浪
1359,2021-03-08,韦尔股份(603501)：20年业绩符合预期 CIS龙头有望持续高速增长,光大证券
1360,2021-03-05,光大证券--电子行业半导体2月跟踪报告：中芯国际许可证或已落地，功率半导体景气度不减【行业研究】,金融界股吧
1361,2021-03-05,774家公司全年业绩预增,证券之星
1362,2021-03-05,每日理财观察：多只明星基金产品牛年大跌，现在该如何操作？,Wind
1363,2021-03-05,全球市场“黑周四”，美股三连挫！市场在担心什么？,Wind
1364,2021-03-05,A股蓝筹公司盈利情况相对优于整体,Wind
1365,2021-03-04,金融街下午茶2021年3月4日星期四,Wind
1366,2021-03-04,34股今日获机构买入评级10股上涨空间超20%,证券时报网
1367,2021-03-04,3月4日晚间重要行业研究汇总(附股),中金在线
1368,2021-03-04,A股收盘综述：上证指数跌超2%守住3500，钢铁稀土走强、机构抱团股狂泄,Wind
1369,2021-03-04,各种“茅”各种跌，市场担忧什么？,Wind
1370,2021-03-04,隐秘的减持之手，大宗交易异动透视股东动向,Wind
1371,2021-03-04,为何是它们？A股三大“茅”纳入富时中国A50指数,Wind
1372,2021-03-04,野村国际(香港)--韦尔股份：图像传感器芯片龙头，有望在0.7um小像素市场超过索尼【公司研究】,金融界股吧
1373,2021-03-04,电子元器件行业动态点评：半导体行业供需紧张 智能手机需求恢复前景可观,新浪
1374,2021-03-04,富时罗素将3股调入中国A50指数！外资开启“买买买”模式,Wind
1375,2021-03-03,从“高级倒爷”到芯片业首富，虞仁荣与韦尔股份的成长,云掌财经
1376,2021-03-03,比亚迪、顺丰控股、三一重工、智飞生物、韦尔股份等均跌超3%,Wind
1377,2021-03-03,电子行业：5G商用趋势不可逆 毫米波通信前景可期,新浪
1378,2021-03-03,周三证券|高景气不减 半导体再受关注,金融投资报
1379,2021-03-02,韦尔股份：青岛融通减持约615万股，减持计划时间已过半,每日经济新闻
1380,2021-03-02,韦尔股份(603501.SH)：华清龙芯、华清银杏减持期过半合计减持156.74万股 减持股份,格隆汇
1381,2021-03-02,韦尔股份(603501.SH)：青岛融通减持期过半 累计减持0.71%股份 减持股份,格隆汇
1382,2021-03-02,韦尔股份：大股东通集中竞价交易方式累计减持公司156.74万股，占公司总股本的0.18% 减持股份,Wind
1383,2021-03-02,1996家公司预告全年业绩 785家预增,证券之星
1384,2021-03-02,半导体行业深度跟踪报告：多维数据框架详解半导体产业链景气趋势,新浪
1385,2021-03-02,电子行业《周观点》系列：折叠屏有望成趋势 半导体二次涨价延续行业高景气,新浪
1386,2021-03-01,信达证券--电子行业周报：关注MWC上海展会，聚焦行业创新亮点【行业研究】,金融界股吧
1387,2021-03-01,我国集成电路产业规模不断增长，半导体企业有望迎黄金发展期丨牛熊眼,第一财经
1388,2021-03-01,华安证券--电子行业周报：价格继续上行，持续推荐面板和功率半导体板块【行业研究】,金融界股吧
1389,2021-03-01,2021M2面板涨价持续超预期，强烈推荐面板龙头,吉森电子研究
1390,2021-02-26,5G迎风口！10倍牛股再领风骚，多头今安在,Wind
1391,2021-02-26,机构调仓大起底！一些白马股仍在被买入（名单）,证券时报网
1392,2021-02-25,15亿并购失败 圣邦股份维持500亿市值靠什么？ 并购重组异常,新浪
1393,2021-02-25,电子设备、仪器和元件：关注当前时点电子行业中的涨价品种,新浪
1394,2021-02-25,汽车电子行业深度报告：聚焦汽车电动化与智能化 看汽车电子新机遇,新浪
1395,2021-02-25,2194家公司预告全年业绩 899家预增,证券之星
1396,2021-02-25,抱团股继续下挫！北向资金却逆势加仓“茅五”,21世纪经济报道
1397,2021-02-25,IOT深度追踪系列第13期(2021年1月)：1月安卓端TWS线上销量同比+11% 三星手机取消有线耳机标配,新浪
1398,2021-02-24,韦尔股份：控股股东虞仁荣解除质押约297万股,每日经济新闻
1399,2021-02-24,韦尔股份(603501.SH)：控股股东解押296.95万股,格隆汇
1400,2021-02-24,2月24日晚间重要行业研究汇总(附股),中金在线
1401,2021-02-24,电子行业点评报告：半导体重点项目齐发 高技术水平自立自强,新浪
1402,2021-02-24,全年业绩高增长股提前看，624股净利润增幅翻倍,证券之星
1403,2021-02-24,华西证券--电子（半导体）行业：半导体重点项目齐发，高技术水平自立自强【行业研究】,金融界股吧
1404,2021-02-23,分化演绎日趋激烈，半导体板块或出现恢复性反弹,第一财经
1405,2021-02-23,电子行业3C季报：4Q20手机出货同比转正,新浪
1406,2021-02-23,光学行业：点亮世界 看见未来,新浪
1407,2021-02-23,电子周观点：1月手机出货量大幅增长 关注半导体材料国产替代机会,新浪
1408,2021-02-22,超50家手机概念股2020年业绩预告：TOP10企业净利润预达310亿元,搜狐
1409,2021-02-22,电子行业专题研究：果粉换机潮兑现 IC国产替代提速中,新浪
1410,2021-02-22,电子行业周报：《周观点》系列 汽车电子空间巨大 天灾加剧半导体短缺,新浪
1411,2021-02-22,长城证券--电子元器件行业周报：智能手机复苏信号持续强化，面板及半导体景气度推升【行业研究】,金融界股吧
1412,2021-02-22,半导体周报：美国德州恶劣天气加剧全球半导体紧缺 高景气周期延续,新浪
1413,2021-02-22,信达证券--电子行业周报：半导体顺周期板块，功率龙头价值凸显【行业研究】,金融界股吧
1414,2021-02-22,华安证券--电子行业周报：北美雪灾日本地震半导体产能愈发紧张，面板仍处于上升期【行业研究】,金融界股吧
1415,2021-02-22,国海证券--电子行业周报：电子板块震荡、分化格局何时休【行业研究】,金融界股吧
1416,2021-02-22,华泰证券：iPhone销量增长提振果链业绩弹性,Wind
1417,2021-02-21,光学行业深度追踪系列第26期(2021年1月)：受益备货淡季不淡 光学规格持续升级,新浪
1418,2021-02-20,2020红周刊富豪榜,红周刊
1419,2021-02-19,2月19日晚间重要行业研究汇总(附股),中金在线
1420,2021-02-19,深度*行业*电子行业点评：日本地震对半导体产业链的扰动,新浪
1421,2021-02-19,中银证券--电子行业点评：日本地震对半导体产业链的扰动【行业研究】,金融界股吧
1422,2021-02-19,【机会挖掘】美国寒潮导致全球主要芯片制造厂关闭 汽车电子板块或受关注,证券时报网
1423,2021-02-18,华西证券--电子（半导体）：车载芯片持续短缺，预示半导体景气度不减【行业研究】,金融界股吧
1424,2021-02-18,电子(半导体)行业点评报告：车载芯片持续短缺 预示半导体景气度不减,新浪
1425,2021-02-18,新能源汽车、光伏、白酒……最火行业牛年怎么走？,e公司
1426,2021-02-17,韦尔股份：控股股东虞仁荣解除质押750万股及再质押750万股,每日经济新闻
1427,2021-02-16,【银河电子傅楚雄/王恺】两会前瞻丨前瞻两会风向，关注科技创新与产业升级,中国银河证券研究
1428,2021-02-15,押注单一赛道，公募投资呈现“行业化”,中国基金报
1429,2021-02-14,半导体概念股2020年业绩一览：超8成公司业绩预增 61家公司合计盈利176亿元,搜狐
1430,2021-02-10,"韦尔股份现1笔大宗交易 共成交5,702.00万元",新浪
1431,2021-02-10,韦尔股份今日大宗交易成交20万股，成交价285.1元折价5.9%,Wind
1432,2021-02-10,韦尔股份(603501.SH)：控股股东质押及解除质押750万股,格隆汇
1433,2021-02-10,【东北晨会0210】光学行业深度/物管行业点评/公司点评：东宏股份、长城汽车、奇安信,东北证券研究所
1434,2021-02-09,韦尔股份可持股过年吗？,格隆汇
1435,2021-02-09,"韦尔股份现1笔大宗交易 共成交2,817.00万元",新浪
1436,2021-02-09,韦尔股份今日大宗交易成交10万股，成交价281.7元折价5.91%,Wind
1437,2021-02-09,电子行业2020年报前瞻：龙头业绩高增兑现高景气度,新浪
1438,2021-02-09,金融产品交易量跟踪报告,新浪
1439,2021-02-08,电子行业：临近春节市场震荡 逢低布局高成长优质标的,新浪
1440,2021-02-08,2月8日板块复盘：涨涨涨！涨价在产业链蔓延！汽车电子标的股名单来了,中金在线
1441,2021-02-08,电子行业：半导体缺货涨价力度不减 景气度有望延续,新浪
1442,2021-02-08,电子行业《周观点》系列：电子周报 龙头公司业绩亮眼 行业回调迎布局良机,新浪
1443,2021-02-08,电子行业：2021E存储芯片或将增长迅速 半导体设备开支大年,新浪
1444,2021-02-08,【A股午盘综述】上证指数涨逾1%，创业板指涨逾2%,Wind
1445,2021-02-08,2年7倍光伏龙头突曝大消息，股东“甩卖”158亿,证券时报网
1446,2021-02-08,岂止社保减持！更有多只千亿大牛股被抛售，什么信号 减持股份,中国基金报
1447,2021-02-08,押注单一赛道，公募投资呈现“行业化”,Wind
1448,2021-02-07,资本大佬清仓宁波银行，获利超60亿！多只千亿大牛股被减持700亿,中国基金报
1449,2021-02-06,中信证券：流动性收紧担忧下市场或延续慢涨,Wind
1450,2021-02-05,中芯国际-U(688981)：需求旺盛带动业绩增长 扩产成熟制程空间广阔,新浪
1451,2021-02-05,半导体1月跟踪报告：半导体产业持续高景气 涨价缺货蔓延至汽车芯片,光大证券
1452,2021-02-05,机构存分歧 半导体ETF遇冷,中国财富网
1453,2021-02-04,"电子持续回调，""聪明资金""逢低布局",魔都资产管理人
1454,2021-02-04,北向资金 | 合计净流入67.71亿元，宁德时代、韦尔股份、京东方A净买入居前,上游新闻
1455,2021-02-04,北向资金连续5日净买入，宁德时代获大举净买入逾24亿元,Wind
1456,2021-02-03,东兴证券--韦尔股份：三重动力助推，CIS龙头加速崛起【公司研究】,金融界股吧
1457,2021-02-02,A股共发生170宗大宗交易成交38.95亿元（2月2日）,Wind
1458,2021-02-02,韦尔股份(603501.SH)遭股东青岛融通减持489.67万股 减持数量过半 减持股份,智通财经
1459,2021-02-02,韦尔股份：大股东青岛融通累计减持0.56%股份 减持股份,Wind
1460,2021-02-02,韦尔股份(603501.SH)：青岛融通已通过集中竞价减持489.669万股 减持股份,格隆汇
1461,2021-02-02,信达证券--电子行业点评：电子持仓超配下降，机构看好IC设计及安防【行业研究】,金融界股吧
1462,2021-02-02,科技硬件行业周报：关注苹果产业链回调与业绩预报,新浪
1463,2021-02-02,汽车CIS重塑韦尔,新浪
1464,2021-02-02,【万联电子 | 公募基金持仓分析】2020Q4：超配态势依旧，半导体配置创新高,万联证券研究所
1465,2021-02-02,A股机会掘金：汽车股飙涨！智能汽车时代来临 引爆相关产业链标的,中金在线
1466,2021-02-02,自动驾驶加速，智能汽车时代来临，关注产业链股机遇,证券时报网
1467,2021-02-01,韦尔股份现1笔大宗交易 共成交544.40万元,新浪
1468,2021-02-01,跨年行情未变，机构称增量资金将持续支撑市场,Wind
1469,2021-02-01,太平洋--电子设备、仪器和元件行业周报：从悲观中挖掘果链及汽车电子的成长预期及价值【行业研究】,金融界股吧
1470,2021-02-01,新时代证券--韦尔股份2020年报预告点评：业绩超预期，CIS受益于多赛道爆发持续增长【公司研究】,金融界股吧
1471,2021-02-01,新能源汽车行业深度：硅含量拆解,新浪
1472,2021-02-01,苹果公司2021年第一财季业绩解读,吉森电子研究
1473,2021-01-30,回调或许现更佳买点 半导体军工人工智能高景气仍在,金融投资报
1474,2021-01-30,本周北上资金逆市加仓电子股,Wind
1475,2021-01-30,可转债“躺赢”策略已成过去式,Wind
1476,2021-01-29,韦尔股份(603501)：三重动力助推 CIS龙头加速崛起,新浪
1477,2021-01-29,韦尔股份现1笔大宗交易 共成交545.38万元,新浪
1478,2021-01-29,韦尔股份等59股获北向资金连续5天增持,证券时报网
1479,2021-01-29,21股北向资金增持额超亿元，业绩预增股受青睐,证券时报
1480,2021-01-29,白酒不香了？北向资金连续3日净卖出贵州茅台23亿元,21世纪经济报道
1481,2021-01-28,【华西电子孙远峰团队-Q4持仓分析】半导体重仓持续高增，集成电路首次跃居第一,远峰电子
1482,2021-01-28,【兴证电子】Q4电子持仓分析：电子超配比例降低，半导体备受青睐,兴证电子谢恒团队
1483,2021-01-28,【行情】国产芯片板块早盘跳水，圣邦股份跌9%，安集科技、北方华创、富瀚微、韦尔股份等纷纷走弱,金十数据
1484,2021-01-28,订单爆了！增长10多倍，多只半导体公司业绩大爆发,e公司
1485,2021-01-28,709家公司全年业绩预增,证券之星
1486,2021-01-27,多家半导体公司业绩预喜，大基金减持不改行业高景气度丨牛熊眼,第一财经
1487,2021-01-27,"韦尔股份现4笔大宗交易 共成交9,967.65万元",新浪
1488,2021-01-27,国海证券--电子行业周报：2021M1价格涨幅再超预期，强烈推荐面板龙头【行业研究】,金融界股吧
1489,2021-01-27,1292家公司预告全年业绩 644家预增,证券之星
1490,2021-01-27,太平洋证券研究 1月27日最新观点：“山雨”欲来风满楼，坚定看好果链成长方向与空间！,太平洋证券研究
1491,2021-01-27,净买入近70亿后，北向资金开始抛售这只银行股（附名单）,21世纪经济报道
1492,2021-01-27,哪些股票基金抱团程度高？石头科技排第一,Wind
1493,2021-01-26,北向资金今日净卖出35.41亿元，白酒股遭大幅抛售,Wind
1494,2021-01-26,韦尔股份(603501.SH)：控股股东质押1846.15万股,格隆汇
1495,2021-01-26,银河证券每日晨报,新浪
1496,2021-01-26,598家公司全年业绩预增,证券之星
1497,2021-01-26,冷门板块蹿出大黑马！两年狂涨12倍，凭什么？,上证报
1498,2021-01-26,信用负面跟踪20210125,新浪
1499,2021-01-25,电子行业2020Q4基金重仓分析专题：半导体/光学板块重仓规模增长 消费电子环比下降 重仓个股集中度提升,新浪
1500,2021-01-25,电子元件行业：AIOT+汽车智能化驱动消费电子新一轮繁荣,新浪
1501,2021-01-25,韦尔股份：控股股东减持韦尔转债244万张 占发行总量10% 减持股份,e公司
1502,2021-01-25,韦尔股份(603501.SH)：控股股东减持10%韦尔转债 减持股份,格隆汇
1503,2021-01-25,韦尔股份：控股股东减持10%可转债 可转债减持,Wind
1504,2021-01-25,电子行业周报：从主题概念到业绩兑现 中国“芯”全面启动,新浪
1505,2021-01-25,韦尔股份158亿并购助净利两年增逾15倍 虞仁荣成“芯片首富”身家达千亿,长江商报
1506,2021-01-25,524家公司全年业绩预增,证券之星
1507,2021-01-25,中信证券：看好国内科技板块一季度投资机会，首选港股市场,证券时报网
1508,2021-01-25,重磅！2万亿茅台又有大消息、科技股迎利好,Wind
1509,2021-01-24,炸锅！400亿基金经理几乎全仓半导体，还有人更激进,中国基金报
1510,2021-01-23,太轰动！清华毕业、55岁芯片首富放大招，捐200亿筹建“宁波版西湖大学”！旗下A股暴涨45倍，市值达2800亿！,中国基金报
1511,2021-01-23,清华毕业55岁芯片首富捐200亿筹建“宁波版西湖大学” 旗下A股公司市值达2800亿,中国基金报
1512,2021-01-23,芯片首富岀手，捐资200亿筹建“宁波版西湖大学”，教育界频现产业资本,证券时报网
1513,2021-01-23,中国半导体的三个阶段,半导体风向标
1514,2021-01-23,从近500份业绩预告一窥2020年A股公司业绩,Wind
1515,2021-01-23,加码新能源和国产替代，基金四季报透露投资新动向,Wind
1516,2021-01-22,韦尔股份(603501)：2020年业绩超出市场预期 CIS高景气公司龙头地位提升,新浪
1517,2021-01-22,1月22日晚间重要行业研究汇总(附股),中金在线
1518,2021-01-22,A股港股突发跳水！1800亿龙头跌13%，4000亿医药大白马爆发,中国基金报
1519,2021-01-22,发生了什么？早盘A股港股突发跳水 1800亿龙头狂跌,中国基金报
1520,2021-01-22,发生了什么？刚刚，A股港股突发跳水！1800亿龙头狂跌13%， 4000亿医药大白马大爆发，冲击涨停！更有巨头转债猛涨50%熔断,中国基金报
1521,2021-01-22,电子行业：从CES2021看电子科技网联智能发展新趋势,新浪
1522,2021-01-22,诺安成长混合基金规模突破300亿元，蔡嵩松仍重仓半导体,Wind
1523,2021-01-22,半导体迎接重大机遇，下游销售额超万亿（附股）,21世纪经济报道
1524,2021-01-22,1030家公司预告全年业绩 473家预增,证券之星
1525,2021-01-22,韦尔股份(603501)：业绩预增超预期 智能驾驶CIS打开长期空间,新浪
1526,2021-01-21,2021年电子行业年度策略：春回景明需求可期 拨云见日国产崛起,新浪
1527,2021-01-21,深度*公司*韦尔股份(603501)：业绩持续增长 长期成长蓝图可期,新浪
1528,2021-01-21,韦尔股份现1笔大宗交易 共成交597.06万元,新浪
1529,2021-01-21,电子行业深度报告：从智能手机到自动驾驶 光学创新引领先机,新浪
1530,2021-01-21,6000亿龙头大动作！比亚迪半导体上市再获进展,券商中国
1531,2021-01-21,2021年电子行业年度策略：复苏动能显着 国产替代渐入佳境,国联证券
1532,2021-01-21,2021M1价格涨幅再超预期，强烈推荐面板龙头,吉森电子研究
1533,2021-01-21,全年业绩高增长股提前看，243股净利润增幅翻倍,证券之星
1534,2021-01-21,电子行业：台积电21年资本开支大幅增长 全球车用芯片供给紧张,新浪
1535,2021-01-20,首份年报出炉！沃华医药净利增长87%，拟10派2.6元，股价已提前反应！这些公司业绩也将揭晓,证券时报网
1536,2021-01-20,韦尔股份现4笔大宗交易总成交金额1.17亿元,证券时报网
1537,2021-01-20,超九成机构抱团股业绩预增市场表现强势4股热,证券时报
1538,2021-01-20,15公司获得推荐评级-更新中,中财网
1539,2021-01-20,中科创达、韦尔股份等股获机构买入型评级,证券时报网
1540,2021-01-20,"韦尔股份现4笔大宗交易 共成交11,682.50万元",新浪
1541,2021-01-20,千亿市值白马股重回升势！5张图看清其内部分化,Wind
1542,2021-01-20,60股今日获机构买入评级13股上涨空间超20%,证券时报网
1543,2021-01-20,数家芯片龙头年报业绩预喜，韦尔股份净利润涨4至5倍,经济观察网
1544,2021-01-20,韦尔股份(603501)：Q4业绩高速增长 高像素产品助力成长,新浪
1545,2021-01-20,韦尔股份(603501)业绩预告点评报告：四季度业绩环比大幅提升 汽车CIS打开全新成长空间全新成长空间,新浪
1546,2021-01-20,韦尔股份(603501)：Q4业绩超预期增长 高像素产品持续发力,新浪
1547,2021-01-20,107公司利润不断改善35家步入绩优股行列,证券时报网
1548,2021-01-20,韦尔股份(603501)：业绩爆发式增长 未来成长可期,新浪
1549,2021-01-20,全年业绩高增长股提前看，229股净利润增幅翻倍,证券之星
1550,2021-01-20,韦尔股份(603501)：业绩增长符合预期 手机+车载CIS前,新浪
1551,2021-01-20,韦尔股份(603501)：2020Q4业绩再超预期 CIS缺货涨价景气度提升,新浪
1552,2021-01-20,超九成机构抱团股业绩预增，1月以来市场表现强势,Wind
1553,2021-01-20,超九成机构抱团股业绩预增 1月以来市场表现强势,证券时报
1554,2021-01-19,【公司点评】韦尔股份：2020年业绩指引超预期，CIS龙头加速崛起,吉森电子研究
1555,2021-01-19,半导体紧缺或延续至四季度，行业龙头业绩放量增长,第一财经
1556,2021-01-19,韦尔股份(603501.SH)：“韦尔转债”将于1月22日上市,智通财经
1557,2021-01-19,韦尔股份现9笔大宗交易均为折价成交,证券时报网
1558,2021-01-19,韦尔股份(603501.SH)：24.4亿元可转债将于1月22日起在上交所挂牌交易,格隆汇
1559,2021-01-19,"韦尔股份现9笔大宗交易 共成交7,478.36万元",新浪
1560,2021-01-19,韦尔股份半个月飙涨36%，究竟是什么原因？,格隆汇
1561,2021-01-19,韦尔股份预计2020年归母净利润增加19.84亿元至24.84亿元,资本邦
1562,2021-01-19,电子设备、仪器和元件行业：从台积电法说会研判半导体未来发展,新浪
1563,2021-01-19,韦尔股份(603501)：2020年业绩基本符合预期 2021有望持续高增长,新浪
1564,2021-01-19,芯片龙头业绩股价同步创新高 超95%机构抱团股业绩预增,证券之星
1565,2021-01-19,2700亿龙头业绩亮了！韦尔股份去年净利大增4倍以上，CIS全球第一龙头呼之欲出,21世纪经济报道
1566,2021-01-19,韦尔股份(603501)：Q4业绩大增 长期看好汽车CMOS业务,新浪
1567,2021-01-19,净利最高暴增5倍！韦尔股份总市值逼近2800亿,环球老虎财经
1568,2021-01-19,99公司利润不断改善33家步入绩优股行列,证券时报网
1569,2021-01-19,韦尔股份业绩大增 科技股再度活跃,第一财经
1570,2021-01-19,韦尔股份净利大增4倍 这些高成长科技股值得关注,巨丰财经
1571,2021-01-19,402家公司全年业绩预增,证券之星
1572,2021-01-19,A股早报2021年1月19日星期二,Wind
1573,2021-01-19,小K播早报！首批特斯拉国产ModelY交付半导体产业高景气将持续,科创板日报
1574,2021-01-19,连拉3个20%涨停！资金迫切寻找下一个热点,中证报
1575,2021-01-19,半导体板块迎来上涨 券商认为高景气度将继续维持（附股）,第一财经
1576,2021-01-19,中信建投：半导体板块高景气度将继续维持 涨价趋势或将进一步蔓延,Wind
1577,2021-01-19,调整投资节奏，基金经理慎对市场“躁动”,Wind
1578,2021-01-18,芯片板块成抱团新方向？基金经理：市场还会轮动！,中证报
1579,2021-01-18,我国集成电路产量加速增长 封测龙头盈利能力有望持续提升丨牛熊眼,第一财经
1580,2021-01-18,公告精选：王府井筹划吸并首商股份；韦尔股份等公司业绩大幅预增,e公司
1581,2021-01-18,2700亿巨头强势封涨停，净利最高暴增5倍！,中国基金报
1582,2021-01-18,韦尔股份2020年净利预增426%至534%,上证报
1583,2021-01-18,韦尔股份(603501.SH)预计2020年度归母净利润同比增长426.17%到533.55%,智通财经
1584,2021-01-18,韦尔股份：预计2020年净利同比增长426.17%-533.55%,格隆汇
1585,2021-01-18,韦尔股份涨停股价创新高，2020年业绩大幅预增,第一财经
1586,2021-01-18,55岁中国芯片首富，捐出200亿：建一所理工大学,猎云网
1587,2021-01-18,涨停复盘 | 多点开花 个股普涨 宜宾纸业收获9连板,第一财经
1588,2021-01-18,韦尔股份：2020年度净利润预增426.17%到533.55%,e公司
1589,2021-01-18,韦尔股份：2020净利增加19.84亿-24.84亿 同比增426.17%-533.55%,新浪
1590,2021-01-18,韦尔股份：预计2020年净利润同比将增加19.84亿-24.84亿元,36氪
1591,2021-01-18,涨停板解密：化工股迎涨停潮！（1月18日）,Wind
1592,2021-01-18,1月18日晚间重要行业研究汇总(附股),中金在线
1593,2021-01-18,电子行业周报：台积电资本开支超预期 面板价格上行板块业绩亮眼,华安证券
1594,2021-01-18,科技硬件周报：投资人关注台积电业绩,新浪
1595,2021-01-18,半导体板块发力走高 韦尔股份一度涨停再创新高,证券时报网
1596,2021-01-18,芯片ETF大涨超6%，今年以来累计涨幅超18%,Wind
1597,2021-01-18,电子半导体板块持续走高，韦尔股份涨停，成交额超37亿元,Wind
1598,2021-01-18,芯片股大爆发！千亿资金狂买这类股，新抱团来了？,中国基金报
1599,2021-01-18,1.8万亿新资金抱团，新宠是谁？,上证报
1600,2021-01-18,光学行业深度追踪系列第25期(2020年12月)：2020多重因素扰动 2021光学加速升级,新浪
1601,2021-01-18,A股异动|韦尔股份(603501.SH)涨超9%创历史新高市值超2700亿元,格隆汇
1602,2021-01-18,半导体概念股直线攀升，思瑞浦涨超10%,Wind
1603,2021-01-18,台积电2020Q4业绩解读及2021Q1展望,吉森电子研究
1604,2021-01-18,抱团股走向关键时点，多家机构发警示，内外资仍在抢筹,券商中国
1605,2021-01-17,安信研究|晨会在线20210119,安信证券研究
1606,2021-01-15,晚间重要公告2021年1月15日星期五,Wind
1607,2021-01-15,韦尔股份(603501.SH)：股东青岛融通累计减持1880.72万股持股降至5%以下 减持股份,格隆汇
1608,2021-01-15,"韦尔股份现2笔大宗交易 共成交5,239.80万元",新浪
1609,2021-01-15,韦尔股份：青岛融通累计减持公司2.16%股权 减持股份,e公司
1610,2021-01-15,韦尔股份:股东青岛融通累计减持公司1881万股 占总股本的2.1677% 减持股份,新浪
1611,2021-01-15,韦尔股份：青岛融通减持2.1677%股份 减持股份,Wind
1612,2021-01-15,华龙内参2021年第10期 总第841期(电子版)：指数跌 个股涨,新浪
1613,2021-01-15,A股异动 | 韦尔股份(603501.SH)涨6.48% 股价再创历史新高,格隆汇
1614,2021-01-15,汽车芯片短缺 概念股已涨飞！2021年科技股最大的方向是智能汽车,红周刊
1615,2021-01-15,高端制造集体提速,南方财经网
1616,2021-01-14,图像传感器严重短缺，龙头厂商大幅提价,Wind
1617,2021-01-14,韦尔股份(603501.SH)：减持期届满2名董事合计减持135.5万股 减持股份,格隆汇
1618,2021-01-14,出口型企业黑马频出，“双冠王”实至名归,Wind
1619,2021-01-14,解盘：题材股反弹，光刻胶、IDC、摄像头、高铁领涨,Wind
1620,2021-01-14,半导体板块拉升，韦尔股份、中芯国际-U、三安光电、卓胜微、中微公司等普涨,Wind
1621,2021-01-14,【行情】半导体板块开盘走高，晶方科技大涨6%，三环集团、韦尔股份、南大光电、圣邦股份走高,金十数据
1622,2021-01-13,芯片行业前景一片大好,Ofweek
1623,2021-01-13,金融产品交易量跟踪报告,新浪
1624,2021-01-13,A股公司纷纷亮相CES，消费电子产业有望迎来新发展周期,Wind
1625,2021-01-12,“高级倒爷”变身中国芯片首富，背后是谁的力量？,华夏时报
1626,2021-01-12,"韦尔股份现4笔大宗交易 共成交13,148.20万元",新浪
1627,2021-01-12,风向真的变了，涨到极致股东减持意愿也降低？,Wind
1628,2021-01-12,电子周报：智能车步入新时代 汽车电子迎来高速成长期,新浪
1629,2021-01-12,电子行业周报：荣耀5G新机发布 面板价格继续上行,华安证券
1630,2021-01-12,【银河晨报】1.12丨1季度CPI仍然负增长—2020年12月通胀点评,中国银河证券研究
1631,2021-01-12,什么信号？A股创开年最大跌幅，抱团更向龙头集中,证券时报网
1632,2021-01-11,半导体龙头再创历史新高，市值逼近中芯国际！光学赛道高景气，持续高增长股曝光,证券时报网
1633,2021-01-11,"韦尔股份现6笔大宗交易 共成交15,816.56万元",新浪
1634,2021-01-11,电子行业周报：面板价格涨势不休 苹果月度数据上佳,新浪
1635,2021-01-11,汽车芯片“告急”！韦尔股份等概念股应声大涨,环球老虎财经
1636,2021-01-11,A股收盘综述：上证指数跌1.08%，新能源、白酒、资源板块集体回调,Wind
1637,2021-01-11,重磅突发！百度宣布重大决定，龙头股秒板，超5万手大单封死涨停,证券时报网
1638,2021-01-11,半导体股集体走强韦尔股份、三安光电创历史新高,格隆汇
1639,2021-01-11,解盘：人气略有回升，半导体设备、稀土、摄像头、汽车领涨,Wind
1640,2021-01-11,A股午盘综述：上证指数跌0.23%，半导体、汽车、石化板块走强,Wind
1641,2021-01-11,半导体板块走势活跃，涨价潮蔓延，行业景气度持续向上,证券时报网
