,2021-12-31,北京成为数字经济领头羊的最新经验,财经杂志
3086,2020-11-04,中信建投(601066.SH)成功发行45亿元短期融资券,格隆汇
3087,2020-11-04,中信建投证券(06066)完成发行45亿元2020年度第十五期短期融资券,智通财经
3088,2020-11-04,上金所公布黄金拆借品种参与机构名单,Wind
3089,2020-11-04,蚂蚁集团3大关键疑问待解：重新上市要多久？新估值是否会靠拢金融股？境内融资投资者还有赚吗？,每日经济新闻
3090,2020-11-04,犀牛财经视频：中信建投盘中闪崩跌停 连续下跌,GPLP犀牛财经
3091,2020-11-04,军工股午后走高，三季报业绩稳健增长，三条主线配置,第一财经
3092,2020-11-03,21亿主力资金疯狂扫货，券商上涨暗含三大逻辑,券商中国
3093,2020-11-03,中信建投証券(06066-HK)完成兑付短期融资券共计人民币40.26亿元,财华社
3094,2020-11-03,中信建投证券(06066.HK)完成兑付2020年第十一期短期融资券,格隆汇
3095,2020-11-03,11月3日深市创业板活跃股公开信息,深交所
3096,2020-11-03,中信建投(601066.SH)：2020年度第十一期短期融资券兑付完成,格隆汇
3097,2020-11-03,“牛市旗手”闪崩背后的意义,证券之星
3098,2020-11-03,2分钟读财报|3700万大单引发中信建投闪崩 乌龙指OR重大利空？ 连续下跌,新浪
3099,2020-11-03,蚂蚁集团上市前夕被四部门约谈 金融科技公司如何监管引热议,投资时报
3100,2020-11-03,A股大爆发！中金上市次日封住涨停,中国基金报
3101,2020-11-03,郭施亮：中信建投盘中闪崩跌停 昔日券商龙头 为什么会出现这种走势？ 连续下跌,金融界
3102,2020-11-03,中信建投证券股权资本市场周报（2020.10.26-2020.10.30）,中信建投证券资本市场部
3103,2020-11-03,中信建投证券资本市场部待发行项目一览,中信建投证券资本市场部
3104,2020-11-03,大白马连环炸？2020年业绩抢先看 谨防“业绩杀”,Wind
3105,2020-11-03,杜坤维：中信建投闪崩是乌龙指还是利益输送有待查清 连续下跌,金融界
3106,2020-11-03,不完美的开门红 谁在砸中信建投?,财富动力网
3107,2020-11-03,3只股票被多家券商重仓,财富动力网
3108,2020-11-03,中信建投：白酒向好趋势确定 坚定看好头部企业,e公司
3109,2020-11-03,中信建投疑因乌龙指一度闪崩 券商股分化背后逻辑浮现 连续下跌,证券时报
3110,2020-11-03,自营收益不菲，券商“炒股”哪家强,Wind
3111,2020-11-03,财富早知道 | “蚂蚁”上市在即，马云昨被约谈！,中国财富网
3112,2020-11-03,自营收益不菲 券商“炒股”哪家强,中证报
3113,2020-11-03,民族品牌指数上涨1.15% 多股入选券商11月金股,上证报
3114,2020-11-03,三大指数11月开门红 创业板指大幅走高,上证报
3115,2020-11-03,跌停、闪崩…“牛市旗手”怎么了？3000亿龙头突现“乌龙指”，券商股还有戏吗？ 连续下跌,券商中国
3116,2020-11-03,券商股进入调整期：中信建投闪崩中金首秀开板 连续下跌,时代在线
3117,2020-11-02,中信建投再现“乌龙指”闪崩疑云？事实真相究竟为何？ 连续下跌,新浪
3118,2020-11-02,3700万大单引发的惨案：中信建投盘中闪崩 原因是what？ 连续下跌,新浪
3119,2020-11-02,冰火两重天：中金大涨、建投闪崩、国联跌停 券商股们发生了啥,新浪
3120,2020-11-02,[券业场]“牛市旗手”1秒闪崩或非乌龙指！光大证券闪崩一幕重现奇高AH溢价成券商定时炸弹 连续下跌,金融界
3121,2020-11-02,中信建投、华泰等11月金股“藏先机”：汽车、金融股成重要主线,红周刊
3122,2020-11-02,前有光大证券“闪崩”后有中信建投“乌龙指” 券商股还能不能投 连续下跌,红周刊
3123,2020-11-02,中信建投闪崩跌停：或“乌龙指”所致，公司回应称经营正常 连续下跌,澎湃新闻
3124,2020-11-02,3000亿牛市旗手“乌龙指”闪崩，投行贵族首日即开板，券商股为何这么凉？,证券时报网
3125,2020-11-02,突发乌龙指？3000亿券商龙头1秒闪崩，更有跌停、首日开板，“牛市旗手”怎么了 连续下跌,21财闻汇
3126,2020-11-02,蚂蚁集团 “大将”跌停惹市场热议，券商三季度业绩整体向好,资本邦
3127,2020-11-02,投资银行业与经纪业-2020Q3公募基金持仓点评：非银配置显着提升 保险券商持仓市值均有增加,新浪
3128,2020-11-02,又是“乌龙指”？一笔交易亏掉292万，3000亿“牛市旗手”也被砸跌停,每日经济新闻
3129,2020-11-02,中金打开涨停，国联证券、中信建投闪崩，“牛市旗手”走弱了吗？ 连续下跌,第一财经
3130,2020-11-02,A股的问题，绝不仅仅是乌龙指,新浪
3131,2020-11-02,中信建投：10月金股组合盈利5.69% 11月荐股名单出炉,新浪
3132,2020-11-02,【国君非银】投融活跃助力券商Q3业绩超预期——2020年券商行业三季报业绩综述,欣琦看金融
3133,2020-11-02,呷哺呷哺股价一个月飙涨50% 2020年H1业绩超出预期,中国网
3134,2020-11-02,智通AH统计|11月2日,智通财经
3135,2020-11-02,遭遇“乌龙指”？千亿券商龙头中信建投盘中闪崩跌停 连续下跌,环球老虎财经
3136,2020-11-02,“券商一哥”被“投行贵族”唱空：中信证券没跌停 中金也没涨停,中国经济周刊
3137,2020-11-02,巨丰微策略：国联证券跌停 中信建投“乌龙指”“牛市旗手”怎么了？,巨丰财经
3138,2020-11-02,10月A股牛熊榜：新洁能暴涨超5倍，中信建投市值蒸发467亿 连续下跌,时代在线
3139,2020-11-02,A股收盘综述：指数平静下个股大分化，上证指数微红报收、中金公司首日涨31%,Wind
3140,2020-11-02,11月200只券商金股大梳理，哪类股热度最高,证券时报网
3141,2020-11-02,发生了什么？中金公司首日开板，A股券商板块走低，H股却上涨,证券时报网
3142,2020-11-02,【异动股】中信建投証券(06066-HK)涨3.85%,财华社
3143,2020-11-02,券商板块午后持续走弱 中信建投跌逾3%,第一财经
3144,2020-11-02,【行情】A股券商板块午后持续走弱，国联证券跌停，华泰证券、中信建投跌超5%，中信证券、国泰君安跟跌,金十数据
3145,2020-11-02,中信建投早盘闪崩至跌停，市场人士称或因“乌龙指” 连续下跌,资本邦
3146,2020-11-02,突发乌龙指？2800亿券商龙头盘中闪崩跌停，多只大白马集体暴跌！冯柳大举出货，600亿巨头差点跌停！ 连续下跌,中国基金报
3147,2020-11-02,中金打开涨停、建投股价“闪崩”，券商股冲高回落 | 市场观察 连续下跌,第一财经
3148,2020-11-02,券商股午后持续走弱，华泰证券跌近6%,Wind
3149,2020-11-02,券商龙头闪崩，多只白马大跌！冯柳大举出货,中国基金报
3150,2020-11-02,中金首日开板 千亿券商龙头盘中闪崩 疑似乌龙指？ 连续下跌,中证报
3151,2020-11-02,千亿券商龙头盘中闪崩，疑似乌龙指？牛市旗手怎么了,中证报
3152,2020-11-02,突发乌龙指？2800亿券商龙头盘中闪崩跌停，多只大白马集体暴跌！ 连续下跌,中新经纬
3153,2020-11-02,太意外了！刚刚，中信建投闪崩跌停，中金公司首日开板 连续下跌,上证报
3154,2020-11-02,突发乌龙指？中信建投盘中闪崩跌停 多只大白马集体暴跌 连续下跌,中国基金报
3155,2020-11-02,瞬间跌停！“牛市旗手”中信建投突遭3700万元大单跌停价砸盘，发生了什么？,每日经济新闻
3156,2020-11-02,午评丨创业板指涨1.5%白酒板块领涨，中信建投临近午盘闪崩 连续下跌,21世纪经济报道
3157,2020-11-02,中信建投临近午盘闪崩 半日跌2.80% 连续下跌,中证网
3158,2020-11-02,港股异动︱中信建投证券(06066)现涨5.13% A股盘中闪崩一度触及跌停 连续下跌,智通财经
3159,2020-11-02,券商股盘中异动 中信建投一度跌停,上证报
3160,2020-11-02,中信建投一度闪崩跌停 此前国联证券跳水跌停 连续下跌,新浪
3161,2020-11-02,中信建投闪崩一度触及跌停，午盘收跌2.8%,Wind
3162,2020-11-02,中信建投盘中闪崩 一度触及跌停 连续下跌,e公司
3163,2020-11-02,【行情】中信建投早盘收盘前闪崩，一度触及跌停 连续下跌,金十数据
3164,2020-11-02,券商“炒股”实力榜出炉！重仓股名单也来了,券商中国
3165,2020-11-02,中信建投：通信行业持仓创近年新低 低估值、有业绩，存反弹机会,证券时报网
3166,2020-11-02,十大券商点出11月“金股”！五行业最集中,Wind
3167,2020-11-02,前三季度40家上市券商，大赚超1200亿元,Wind
3168,2020-11-02,前三季度业绩大增 券商股能否扭转颓势,国际金融报
3169,2020-11-02,中资券商或迎发展良机 投行“大时代”来临,中国基金报
3170,2020-11-01,【华创非银】非银金融周观察：扩大外资投资范围，规范开门红销售,华创非银
3171,2020-11-01,中信建投11月份金股出炉 五粮液、中国平安等热门个股上榜,证券日报网
3172,2020-11-01,中信建投：A股调整已近尾声 机构资金已开始流入,鲁明量化全视角
3173,2020-11-01,抢疯了！蚂蚁集团IPO引爆投行大时代！大考也来了,中国基金报
3174,2020-11-01,新东方拟于11月9日在港股上市| 教育行业周策略【中信建投教育叶乐团队】,中信建投中小市值
3175,2020-11-01,10月过完A股怎么走？机构动向释放重要信号（附名单）,Wind
3176,2020-10-31,中信建投公布11月金股，包括旗滨集团、五粮液等29只个股,中信建投证券研究
3177,2020-10-31,A股券商赚钱榜：中信证券月入14亿 天风证券增幅最大,新浪
3178,2020-10-31,中信证券、中信建投又抢镜了！投行江湖是这样……,中证报
3179,2020-10-31,券商投行业务成绩单新鲜出炉：中信证券、中信建投又抢镜了,Wind
3180,2020-10-31,券商炒股哪家强？国君前三季大赚64亿，这些板块受青睐,券商中国
3181,2020-10-31,券商炒股哪家强？国君前三季大赚64亿，中信证券持股中信建投3个月赚40亿！这些板块受青睐,券商中国
3182,2020-10-31,成中信建投第一大股东 北京金控“全牌照”版图再扩张,中国经营报
3183,2020-10-31,A股39家上市券商赚钱榜来了！一哥大赚127亿,中国基金报
3184,2020-10-30,兆易创新放量涨停，两机构买入2.47亿元,Wind
3185,2020-10-30,天风证券：前三季度扣非归母净利润同比大涨逾3.37倍,Wind
3186,2020-10-30,中信建投：自营贡献较多收入 行业股价均值回归 ｜公司问答,第一财经
3187,2020-10-30,【异动股】中信建投証券(06066-HK)跌3.39%,财华社
3188,2020-10-30,瑞能实业拟创业板上市，期间更换辅导机构为华创证券,资本邦
3189,2020-10-30,首家万亿券商诞生！25家券商近半净利增幅超50%！,券商中国
3190,2020-10-30,25家券商业绩:近半净利增幅超50% 中信净赚126亿却计提减值50亿,券商中国
3191,2020-10-30,首家万亿券商诞生！25家券商业绩抢先看,券商中国
3192,2020-10-30,券商投资均给力 独门重仓各千秋,证券时报
3193,2020-10-30,蚂蚁科技集团股份有限公司 首次公开发行股票并在科创板上市 网上发行申购情况及中签率公告,证券时报
3194,2020-10-29,“券业一哥”中信证券前三季度狂赚127亿！这些券商也赚翻了！,上证报
3195,2020-10-29,中信证券计提巨额信用减值仍大赚120多亿，券商三季报业绩分化成主题！,每日经济新闻
3196,2020-10-29,“茅五泸”获北向加仓逾10亿，四机构逢高抛售泸州老窖,第一财经
3197,2020-10-29,关于中信建投期货交易版APP（即博易版APP）停止提供外盘行情数据服务的通知,中信建投期货微资讯
3198,2020-10-29,泸州老窖放量涨停再创新高，机构获利了结游资接盘,Wind
3199,2020-10-29,业绩炸了 “牛市旗手”异动拉升！上车机会来了？,中投网
3200,2020-10-29,券商股异动，方正证券等多股快速走高,Wind
3201,2020-10-29,中信建投股权变更石头落地 投行领先、经纪业务存短板,投资者网
3202,2020-10-29,7家券商前三季度投资收益超10亿元，自营投资规模持续扩张,Wind
3203,2020-10-29,天公作美经纪投行自营全发力，券商迎来丰收季,Wind
3204,2020-10-29,浙江伟明环保股份有限公司 公开发行可转换公司 债券网上路演公告,证券时报
3205,2020-10-29,天津绿茵景观生态建设股份有限公司 关于注销部分募集资金专项账户的 公告,证券时报
3206,2020-10-29,7家券商前三季度投资收益超10亿元 自营投资规模持续扩张,证券日报
3207,2020-10-29,果然“牛市旗手”！券商前三季度赚嗨了,中国基金报
3208,2020-10-29,又炸了！果然“牛市旗手”！,中国基金报
3209,2020-10-28,新三板投资圈炸锅，私募大佬葛卫东扫货精选层,中证报
3210,2020-10-28,券商炒股水平如何？中信证券浮盈50亿 长城证券“捡”到大牛股,新浪
3211,2020-10-28,【银华基金】交易日报 2020-10-28,新浪
3212,2020-10-28,14家上市券商前三季战绩出炉：7家券商前三季度投资收益超10亿元,新浪
3213,2020-10-28,中信证券、中信建投现身！券商自营盘进驻这些股票,中证报
3214,2020-10-28,蚂蚁上市，鹅厂先飞，腾讯市值涨破5万亿,Wind
3215,2020-10-28,10家券商三季报抢先看！继续爆发式增长，这两家净利已翻番,券商中国
3216,2020-10-28,方正证券携手Wind，开展研报合作,Wind
3217,2020-10-28,中信建投：爱尔眼科三季度业绩加速增长 看好长期发展潜力,证券时报网
3218,2020-10-27,业绩报喜不改板块颓势，券商股后市如何布局？,第一财经
3219,2020-10-27,左手密集“补血”超千亿，右手发布减持计划，券商股遭遇大跌后还有行情吗？ 拟减持股份,21世纪经济报道
3220,2020-10-27,10月27日深市创业板活跃股公开信息,深交所
3221,2020-10-27,【行情】证券板块午后拉升，方正证券涨5%，中信建投、华创阳安、国联证券、国金证券等跟涨,金十数据
3222,2020-10-27,中信建投、方正证券、东方证券等拉升，券商板块收复失地,Wind
3223,2020-10-27,【异动股】中信建投証券(06066-HK)跌4.3%,财华社
3224,2020-10-27,【行情】港股中资券商股继续下挫，光大证券跌超8%，中金跌近6%，中信证券跌近5%，中信建投证券跌3.6%,金十数据
3225,2020-10-27,中信建投证券(06066.HK)：营收和净利大幅提升，投行龙头地位稳固,兴业证券
3226,2020-10-27,借势蚂蚁IPO，中国券商迅猛扩张,Wind
3227,2020-10-27,蚂蚁H股开始招股：4040港元入场，公开发书欧最高回拨20%,Wind
3228,2020-10-27,罕见！营收大减，净利大增，这家券商不一般 盈利能力下降,中证报
3229,2020-10-27,资金抽离叠加预期降温，券商板块跌幅居前,Wind
3230,2020-10-27,中国国际金融股份有限公司、中信建投证券股份有限公司、中信证券股份有限公司、华泰联合证券有限责任公司、 申万宏源证券承销保荐有限责任公司、中银国际证券股份有限公司关于蚂蚁科技集团股份有限公司 首次公开发行股票并在科创板上市之战略投资者的专项核查报告,证券时报
3231,2020-10-27,资金抽离叠加预期降温 券商板块跌幅居前,上证报
3232,2020-10-26,【银华基金】交易日报 2020-10-26,新浪
3233,2020-10-26,中信建投证券股权资本市场周报（2020.10.19-2020.10.23）,中信建投证券资本市场部
3234,2020-10-26,游资情报 | 茅台低开带崩白酒板块，“方新侠”逆势抄底；“著名刺客”斩获三只20%涨停股！,每日经济新闻
3235,2020-10-26,钢铁限产潮再起：唐山临停涉20多家企业，高库存抑制四季度价格,21世纪经济报道
3236,2020-10-26,牛市旗手也崩了！这个市场爆发“熔断潮”，更有上演“天地板”,中国基金报
3237,2020-10-26,A股收盘综述：上证指数连跌四日，创业板收红因充电桩、光伏、疫苗等题材反弹,Wind
3238,2020-10-26,江苏华宏科技股份有限公司 关于非公开发行限售股份上市流通的提示性公告 解禁,证券时报
3239,2020-10-26,券商板块大幅下挫，光大证券一度跌停，中信建投跌近6% 连续下跌,证券时报网
3240,2020-10-26,光大证券A股跌停，券商板块跌幅扩大至3%,Wind
3241,2020-10-26,建工修复过会：今年IPO过关第261家 中信建投过23单,中国经济网
3242,2020-10-26,A股午盘综述：创业板指、中小板指探底回升半日齐涨，题材股多点开花,Wind
3243,2020-10-26,关于同意中信建投证券股份有限公司为大成添益交易型货币市场基金提供主流动性服务的公告,上交所
3244,2020-10-26,【行情】券商股开盘走弱，光大证券、中银证券、浙商证券跌近5%，中信建投、第一创业、招商证券等纷纷大幅走弱,金十数据
3245,2020-10-26,券商股走弱 中信建投跌超6%,e公司
3246,2020-10-26,券商板块下滑，中信建投、光大证券、中银证券均跌超6%,Wind
3247,2020-10-26,贵州茅台前三季度净利同比增长11.07% 继续关注风向标券商股,巨丰财经
3248,2020-10-26,【四大证券报精华摘要】10月26日,新华网
3249,2020-10-26,券商三季报喜讯频传 中信建投净利接近翻倍,证券时报
3250,2020-10-26,中信建投前三季度净利润同比接近翻番 北京金控持有26.84亿股成第一大股东,证券日报
3251,2020-10-25,券商三季度业绩“提前锁定”，基本面向好逻辑确立，获内外资抢筹,红周刊
3252,2020-10-24,"头部券商季报来了！中信建投前三季度归母净利几近翻番，大股东变更已""箭在弦上"" 控制人变化",券商中国
3253,2020-10-24,首批7家，到齐了！,中国基金报
3254,2020-10-24,上市公司正负面新闻2020年10月24日星期六,Wind
3255,2020-10-23,净利润接近翻番！这家头部券商三季报业绩亮眼，板块行情还有机会吗？,中证报
3256,2020-10-23,北京金控成中信建投第一大股东，两中信合并告吹 并购重组异常,时代在线
3257,2020-10-23,中信建投证券(06066)前三季归母净利增长96.11%至74.91亿元,智通财经
3258,2020-10-23,【银华基金】交易日报 2020-10-23,新浪
3259,2020-10-23,10月23日晚间上市公司十大重磅公告,巨丰财经
3260,2020-10-23,中期协公布2020年期货公司分类评价结果：19家公司获AA级,Wind
3261,2020-10-23,中信建投(601066.SH)：前三季净利升96.11%至74.91亿元,格隆汇
3262,2020-10-23,中信建投：前三季度净利74.91亿元 同比增96%,e公司
3263,2020-10-23,中信建投：前三季度净利润74.91亿元，同比增长96.11%,Wind
3264,2020-10-23,A股收盘综述：疫苗股持续调整打击题材板块，创业板指本周下挫4.54%,Wind
3265,2020-10-23,【行情】港股中资券商股拉升，鲁证期货涨3.4%，光大证券涨3.15%，国联证券涨2.7%，海通证券涨2.5%，中信建投证券涨近2%,金十数据
3266,2020-10-23,"债市分析 | 9月份交易所信用债发行规模3,937.72亿元，私募债发行保持高增速",中证鹏元评级
3267,2020-10-23,港股公告精选：紫金矿业获证监会核准公开发行60亿元可转换公司债券,Wind
3268,2020-10-23,券商深耕新三板业务收益颇丰,上证报
3269,2020-10-22,中信建投证券股权资本市场周报（2020.10.12-2020.10.16）,中信建投证券资本市场部
3270,2020-10-22,中信建投证券资本市场部待发行项目一览,中信建投证券资本市场部
3271,2020-10-22,中信建投证券(06066.HK)变更主要股东获得中国证监会核准,格隆汇
3272,2020-10-22,中信建投证券变更主要股东获证监会批复,中证网
3273,2020-10-22,中信建投：北京金控集团成为公司第一大股东获得证监会核准 控制人变化,金融界
3274,2020-10-22,中信建投证券：公司第一大股东拟无偿划转所持股份 减持股份,新浪
3275,2020-10-22,中信建投：北京金控集团成为公司第一大股东获得证监会核准,Wind
3276,2020-10-22,中信建投(601066.SH)：变更北京金控集团为公司主要股东获中国证监会核准,格隆汇
3277,2020-10-22,中信建投：变更主要股东获得证监会核准批复,e公司
3278,2020-10-22,【东方投行每日债市信息1022】,东方投行债券
3279,2020-10-22,联明股份6亿关联收购被否股价跌9.8% 为中信建投项目 并购重组异常,中国经济网
3280,2020-10-22,【行情】港股中资券商股午后回升，其中兴证国际涨近11%，中国银河涨0.9%，中信建投证券涨0.79%，国泰君安涨0.77%,金十数据
3281,2020-10-21,中金公司网上中签率0.0855%！ 创今年上市券商新低,每日经济新闻
3282,2020-10-21,立方控股拟精选层小IPO，预计2021年1月完成辅导,资本邦
3283,2020-10-21,11家券商24只大集合产品，已完成公募化改造,资本邦
3284,2020-10-21,融资客青睐12股，内蒙华电买入占比高达51.83%,Wind
3285,2020-10-21,中信建投：银行业并购新浪潮 具有独特业务优势和规范经营模式的小型银行将获益最大,证券时报网
3286,2020-10-21,券商投行招兵买马，今年以来保代增近600人,中证报
3287,2020-10-20,新三板摘牌公司瑞能实业终止上市辅导 IPO融资异常,资本邦
3288,2020-10-20,中信建投跌超4%领跌券商板块，中信证券、光大证券均跌超2%,Wind
3289,2020-10-20,前9月56家券商分175亿保荐承销费 中信建投中金领先,中国经济网
3290,2020-10-20,券商大集合改造进行时,金陵晚报
3291,2020-10-19,2 10月19日深市创业板活跃股公开信息,深交所
3292,2020-10-19,依米康(300249.SZ)：实控人孙屹峥质押展期1920万股及补充质押772万股,格隆汇
3293,2020-10-19,【异动股】中信建投証券(06066-HK)跌3.89%,财华社
3294,2020-10-19,中信建投智享生活、万家互联互通中国优势量化策略今日首发,资本邦
3295,2020-10-19,壹石通：今年科创板过会第147家 中金公司过7.5单,中国经济网
3296,2020-10-19,【读财报】科创板保荐及承销业务：中信、中金、华泰联合居前三,面包财经
3297,2020-10-19,聚焦价值增长 中信建投证券首只大集合改造产品获批,中证网
3298,2020-10-19,关于同意中信建投证券股份有限公司为嘉实中证先进制造100策略交易型开放式指数证券投资基金提供主流动性服务的公告,上交所
3299,2020-10-19,关于同意中信建投证券股份有限公司为泰康沪深300交易型开放式指数证券投资基金提供主流动性服务的公告,上交所
3300,2020-10-19,科创板保荐及承销业务排行：中信证券、中金公司、华泰联合居前三,面包财经
3301,2020-10-19,中信建投：台积电三季度创新高 半导体产业链基本面稳健向好（附股）,证券时报网
3302,2020-10-16,非银金融行业周报：IPO承销迎来发展期 长期向好态势不变,新浪
3303,2020-10-16,中信建投证券(06066.HK)完成兑付2020年第十期短期融资券,格隆汇
3304,2020-10-16,中信建投(601066.SH)：2020年度第十期短期融资券兑付完成,格隆汇
3305,2020-10-16,【行情】港股中资券商股拉升，招商证券涨5.4%，国联证券涨4.7%，中国银河涨3.22%，光大证券涨2.8%，中信证券与中信建投证券涨近2%,金十数据
3306,2020-10-15,中信建投证券资本市场部待发行项目一览,中信建投证券资本市场部
3307,2020-10-15,中信建投证券股权资本市场周报（2020.09.28-2020.10.09）,中信建投证券资本市场部
3308,2020-10-15,【银华基金】交易日报 2020-10-15,新浪
3309,2020-10-15,中信建投证券(06066.HK)完成发行40亿元短期融资券,格隆汇
3310,2020-10-15,中信建投(601066.SH)：当年累计新增借款超过上年末净资产60% 大额借贷担保,格隆汇
3311,2020-10-15,中信建投(601066.SH)：完成发行40亿元短期融资券,格隆汇
3312,2020-10-15,中信建投：当年累计新增借款占上年末净资产60.81% 大额借贷担保,Wind
3313,2020-10-15,债市分析 | 中部地区发行占比上升，AA主体融资环境改善 ——2020年9月城投债发行数据分析报告,中证鹏元评级
3314,2020-10-15,国元证券启动配股，年内已有5家券商配股完成募资318亿元,Wind
3315,2020-10-14,仅22天 首例上市券商合并案终止 专家称券商并购会不断涌现 并购重组异常,证券日报
3316,2020-10-13,中信建投今日大宗交易成交19.90万股，成交价47.6元折价6.58%,Wind
3317,2020-10-13,牛市旗手重组歇菜，券商板块要不要跳车？,老司基一枚
3318,2020-10-13,拉尼娜大概率今冬降临，会推动全球粮价持续走高？,腾讯网
3319,2020-10-13,券商前三季度债券承销额7.25万亿元同比增34% 前十名“分食”六成,证券日报
3320,2020-10-12,券商为何密集“补血”？年内定增、配股超千亿,券商中国
3321,2020-10-12,前三季度债券承销榜出炉 中信建投和中信证券瓜分了近三成份额,券商中国
3322,2020-10-12,新三板督导券商挑选指南——献给所有新三板公司,读懂财经
3323,2020-10-12,三季度业绩超预期个股TOP70 ｜ 系列重磅,中信建投证券研究
3324,2020-10-12,券商为何密集“补血”？年内定增、配股超千亿，中小券商突围路径还有哪些？,券商中国
3325,2020-10-10,政策再给市场注牛市基因 林园、星石等机构畅谈券商股确定性机会,红周刊
3326,2020-10-10,券商10月金股藏玄机：“十四五”与三季报成重要标签 聚焦券商、周期与科技等主线,红周刊
3327,2020-10-10,中信建投10月金股出炉 中公教育、中国平安上榜,证券日报
3328,2020-10-09,市场“报复性”反弹，中期布局聚焦券商、周期与科技等主线,红周刊
3329,2020-10-09,11家上市券商拟定增超千亿 密集“补血”投向何处？谁买单？,21世纪经济报道
3330,2020-10-09,中信建投：苯乙烯：弱势中寻求机遇,和讯
3331,2020-10-09,A股IPO成为今年最亮明星！各地吹响最强上市号角 最新812家排队 苏杭超广州进入前五 宁波无锡成都,金融界
3332,2020-10-07,中信建投证券十大研究团队四季度投资策略展望,中信建投证券研究
3333,2020-10-05,55家入账174亿！同比大增150％，前三季度券商IPO承销王出炉,腾讯网
3334,2020-10-05,券业前三季度股权承销榜出炉 全年业绩已成定局,全景网
3335,2020-10-05,券商十月金股名单来了！这家公司最受青睐,中证报
3336,2020-10-04,进账同比大增150%！券商前三季度IPO承销保荐收入排行榜来了，中信建投、中信、中金占据前三,Wind
3337,2020-10-04,进账同比大增150%！券商前三季度IPO承销保荐收入排行榜来了，中信建投、中信、中金占据前三,中证报
3338,2020-10-03,A股今年IPO募资额或创10年之最中信建投IPO承销金额排名居首,格隆汇
3339,2020-10-03,“两国”证券何以拔得券商合并头筹,红周刊
3340,2020-10-03,A股今年IPO募资额及发行家数或创10年之最,Wind
3341,2020-10-03,A股今年IPO募资额及发行家数或创10年之最！这家券商“笑傲江湖”,中证报
3342,2020-10-01,国庆中秋“吃喝玩乐”大礼包 | 中信建投研究,中信建投证券研究
3343,2020-10-01,再攀高峰，前三季度股权承销榜出炉,Wind
3344,2020-10-01,增速持稳，前三季度债券承销榜发布,Wind
3345,2020-10-01,11家上市券商拟定增超千亿，密集“补血”投向何处？谁买单？,Wind
3346,2020-10-01,11家上市券商拟定增超千亿 密集“补血”投向何处？谁买单？,21世纪经济报道
3347,2020-09-30,A股上市券商密集“补血” 11家证券公司拟定增超千亿,21世纪经济报道
3348,2020-09-30,证券行业复盘：改革政策驱动龙头券商ALPHA属性,新浪
3349,2020-09-30,中信建投证券助力益海嘉里金龙鱼成功完成创业板最大规模IPO,中信建投证券资本市场部
3350,2020-09-30,极米科技：今年科创板过会第138家 中金公司过6.5单,中国经济网
3351,2020-09-30,博硕科技过会：今年IPO过关第239家 中信建投过21单,中国经济网
3352,2020-09-30,中信建投研究10月金股名单,中信建投证券研究
3353,2020-09-29,年内券商合并传闻四起：合并潮将至？分析称目前只会出现个案,澎湃新闻
3354,2020-09-29,吉利汽车：今年科创板过会第133家 中金华泰联合保荐,中国经济网
3355,2020-09-29,光大金工定增周报：外资大比例参与药明康德定增项目,光大证券
3356,2020-09-29,中信建投教育研究团队一周回顾,中信建投证券研究
3357,2020-09-29,年内6家券商完成定增募资金额合计达612亿元 还有超400亿元在路上,券商中国
3358,2020-09-29,刚配股半年又推百亿定增！天风证券欲募128亿“补血”，再融资高峰来袭？券业已迎千亿“弹药”,券商中国
3359,2020-09-28,【异动股】中信建投証券(06066-HK)涨5.05%,财华社
3360,2020-09-28,银河微电：今年科创板过会第132家 中信建投过9.5单,中国经济网
3361,2020-09-27,投资银行业与经纪业-券商股跟踪系列二十四：场外衍生品站在新一轮扩容起点,新浪
3362,2020-09-27,银行行业-本周聚焦：再融资实施分类审核 场外期权业务制度进一步优化,新浪
3363,2020-09-27,中信建投携手新华智云业内首推AI合成金融短视频,中证网
3364,2020-09-27,皮海洲：国联、国金证券合并 小券商们的一种生存方式,金融界
3365,2020-09-25,国联国金“联姻”，双双继续停牌，证监会启动核查丨热公司,第一财经
3366,2020-09-25,“免税生意”凭什么让资本疯狂？,36氪
3367,2020-09-25,王小林担任中信建投副董事长,北京商报网
3368,2020-09-25,珠宝首饰研发设计公司迪阿股份拟IPO，中信建投证券辅导,资本邦
3369,2020-09-25,中信建投证券(06066.HK)选举王小林任副董事长,格隆汇
3370,2020-09-25,中信建投(601066.SH)：拟对中信建投投资有限公司增资,格隆汇
3371,2020-09-25,智通AH统计|9月25日,智通财经
3372,2020-09-25,公司与行研 | 暴涨、垄断、内幕交易，“免税”凭什么让资本疯狂？,雪球
3373,2020-09-25,券商板块再度走强 ，东方证券涨停，关注具备并购整合预期标的,证券时报网
3374,2020-09-25,中证协首次公布公司债业务执业能力评价 中信建投等27家券商获评A类,上证报
3375,2020-09-24,【银华基金】交易日报 2020-09-24,新浪
3376,2020-09-24,游资情报｜“方新侠”留守疫苗新龙头；两大顶级游资抢的是“吉祥”？,每日经济新闻
3377,2020-09-24,用益-信托市场简报：信托公司累计被罚超1600万元,用益信托网
3378,2020-09-24,【异动股】中信建投証券(06066-HK)跌3.24%,财华社
3379,2020-09-24,中信建投携手Wind，开展独家研报合作,Wind
3380,2020-09-24,年内可转债发行显著放量,中证报
3381,2020-09-24,中信建投証券(06066-HK)完成发行利率2.7%的40亿人民币短融券,财华社
