,2021-12-31,无人机送餐，飞越几座大山？,36氪
3327,2021-01-19,12月快递龙头业绩出炉！行业分化持续加剧,格隆汇
3328,2021-01-19,物流业行业报告：务量维持高增速 关注头部快递机会物流,新浪
3329,2021-01-19,快递物流行业有望保持高景气度,证券时报
3330,2021-01-19,顺丰同城急送以创新驱动即时物流行业升级,砍柴网
3331,2021-01-19,【华创交运】快递行业12月数据点评：行业业务量增速37%，顺丰增速领先，单月收入创新高,华创交运与供应链研究
3332,2021-01-19,每日理财观察：中国经济总量跃上100万亿,Wind
3333,2021-01-19,盘前情报丨刷新历史！这只新基金单日狂卖2374亿，重仓股曝光（名单）,21世纪经济报道
3334,2021-01-19,快递业竞争加剧，去年12月单票收入大幅下滑,Wind
3335,2021-01-19,顺丰控股股份有限公司2020年12月快递服务业务经营简报,证券日报
3336,2021-01-19,快递业竞争加剧 去年12月单票收入大幅下滑 盈利能力下降,证券时报
3337,2021-01-18,快递业去年12月迎“丰收” 顺丰控股单月营收156亿创新高,e公司
3338,2021-01-18,顺丰控股：2020年12月业务量8.70亿票，同比增长48.97%,电商报
3339,2021-01-18,顺丰控股2020年12月业务量增幅近五成、快递业务收入147.38亿元,每日经济新闻
3340,2021-01-18,2020顺丰全年营收突破1500亿，业务量增超六成,搜狐
3341,2021-01-18,顺丰去年12月快递总营收同比增30%，机构建议关注行业龙头丨牛熊眼,第一财经
3342,2021-01-18,首席观点：2020年新能源汽车市场“翘尾”收官,新浪
3343,2021-01-18,交运物流行业每周专题报告：新冠疫情反复 快递、集运龙头逆向而行,新浪
3344,2021-01-18,顺丰控股去年12月营收156亿元 再创历史新高,证券时报
3345,2021-01-18,顺丰控股(002352.SZ)2020年12月速运物流及供应链收入同比增长31.74%,智通财经
3346,2021-01-18,顺丰控股：2020年12月速运物流业务营业收入147.38亿元,新浪
3347,2021-01-18,顺丰控股(002352.SZ)：12月速运物流及供应链收入同比增长31.74%,格隆汇
3348,2021-01-18,顺丰控股：2020年12月快递服务业务营业收入同比增长31.74%,第一财经
3349,2021-01-18,顺丰控股：去年12月速运物流业务营业收入同比增长30.77%,Wind
3350,2021-01-18,快递行业2020年12月数据跟踪点评：需求又超预期 价格跌幅再度扩大,新浪
3351,2021-01-18,丰巢开曼融资4亿美元？但快递柜依然不是个好生意,物流指闻
3352,2021-01-18,挖掘细分赛道潜力 顺丰同城急送探索全场景新生态,砍柴网
3353,2021-01-18,交通运输：出口数据表现亮眼，推荐集运、跨境双主线，维持“强于大市”评级,天风证券
3354,2021-01-18,交通运输行业双周报145期：跨境物流步入规模化成长 波罗的海干散货运价回升,新浪
3355,2021-01-18,交通运输12月快递行业数据点评：业务量增速37.4% 单票收入环比略增,新浪
3356,2021-01-18,达达集团：数字赋能同城蓝海，零售物流双桅启航,杨鑫交运观点
3357,2021-01-18,顺丰航空新添货机保障物流“春运” 飞机数量达63架,北京商报
3358,2021-01-17,【华创交运*周报】12月航空淡季客座率环比普降、春秋保持领先，快递12月业务量增速37%，维持高景气,华创交运与供应链研究
3359,2021-01-17,快递行业全年增速31%，民航力争2021年减亏增盈 【安信交运丨周报0117】,明兴交运研究
3360,2021-01-17,交通运输行业周报：跨境电商物流产业链有望持续受益 预计2021年快递业务量超1000亿票,新浪
3361,2021-01-17,物流行业-12月份快递数据点评：业务量+37% 双十一旺季后单价略有回落,新浪
3362,2021-01-17,深圳上海彻底火了：市值狂增8万亿！这9大城市，首次突破1万亿,中国基金报
3363,2021-01-17,深圳南山区立“小目标”：2025年GDP达1万亿,Wind
3364,2021-01-16,安信证券：物流行业12月份快递数据点评,证券时报网
3365,2021-01-15,物流快递行业价值分析，看这篇就够了,21世纪经济报道
3366,2021-01-15,2021年交运行业投资策略：后疫情时代长期格局的变与不变,金融界
3367,2021-01-14,交通运输行业2021年投资策略：东海扬尘 春回大地,光大证券
3368,2021-01-13,顺丰控股：物流“茅台”迎戴维斯双击，5000亿市值不是梦,搜狐
3369,2021-01-13,必要商城母公司冲击A股，互联网平台下半场打响C2M之战,重庆商报
3370,2021-01-12,亏损的丰巢开曼再获4亿美元融资 顺丰控股放弃优先增资权 亏损,GPLP犀牛财经
3371,2021-01-12,周期股的阿尔法与贝塔：全球供需两振 中国制造优势,新浪
3372,2021-01-11,交通运输行业周报：持续强推核心三标的 顺丰控股、华夏航空、春秋航空,新浪
3373,2021-01-11,交通运输行业2021年度策略：拨云见日 布局龙头,新浪
3374,2021-01-11,邮政行业科学技术奖评审公布：顺丰科技荣获大奖,电商报
3375,2021-01-11,交通运输行业周报：2021年高铁浮动票价将推广 顺丰上海总部开工,新浪
3376,2021-01-11,买了免税品可以寄回家了，海南即将放开离岛免税寄递业务,Wind
3377,2021-01-11,北向资金一周动向盘点：放大量，战略性调仓,Wind
3378,2021-01-11,核心资产还能不能追？北上资金给出答案！,证券时报网
3379,2021-01-11,老牌“平价”电商必要商城大器晚成？,北京商报
3380,2021-01-10,冲击上市 必要商城联手顺丰有何图谋,北京商报
3381,2021-01-10,丰巢获4亿美元融资，国产疫苗接种有序推进 【安信交运丨周报0110】,明兴交运研究
3382,2021-01-10,交通运输行业交运一周天地汇：看好内贸集运进入有序竞争新阶段 新增重大推荐中谷物流,新浪
3383,2021-01-10,丰巢开曼融资4亿美元？抱歉，快递柜依然不是个好生意,物流指闻
3384,2021-01-08,丰巢融资4亿美元，多家资本入局，快递柜新一轮大战一触即发!,国际金融报
3385,2021-01-08,民航发展基金恢复征收的影响和展望,兴业证券
3386,2021-01-08,加速最后一公里物流建设？顺丰控股放弃对丰巢开曼优先增资权,资本邦
3387,2021-01-08,丰巢拟融资26亿：去年前三季亏损8.5亿，投后估值达220亿,搜狐
3388,2021-01-08,丰巢开曼融资4亿美元，8个月估值翻倍，顺丰持股比例下降,奥一网
3389,2021-01-08,顺丰控股：预计2021年度与关联人的交易总额为45.5亿元,电商报
3390,2021-01-08,丰巢开曼拟融资4亿美元 投前估值达30亿美元,电商报
3391,2021-01-08,【银河晨报】1.8丨房地产：全年销售表现靓丽，长效机制逐步成形,中国银河证券研究
3392,2021-01-08,丰巢开曼B轮融资投前估值达30亿美元 去年前三季度亏损超8亿元人民币,证券时报
3393,2021-01-08,全国物流停运表，备货请趁早,轮胎商业网
3394,2021-01-07,顺丰控股：放弃对丰巢开曼的优先增资权 持股比例从10.06%稀释至8.73%,中证网
3395,2021-01-07,新冠疫苗上市，寄递企业准备好了吗？,环球物流网
3396,2021-01-07,顺丰控股：放弃参股公司丰巢开曼优先增资权,Wind
3397,2021-01-07,顺丰控股(002352.SZ)：丰巢开曼获战投4亿美元将加快网络布局,智通财经
3398,2021-01-07,顺丰控股(002352.SZ)拟放弃参股公司丰巢开曼优先增资权持股比例将稀释至8.73%,格隆汇
3399,2021-01-07,上市传闻再起，换帅后的京东物流剑指何方？,36氪
3400,2021-01-07,即时配送“竞赛升级”，看顺丰同城急送第三方崛起之路,砍柴网
3401,2021-01-07,嘉诚国际闪崩跌停，顺丰控股、韵达股份、圆通速递普跌,Wind
3402,2021-01-07,丰巢开曼获4亿美元投资 顺丰控股放弃优先增资权,北京商报
3403,2021-01-06,快递行业业绩呈现爆发态势，行业今年怎么走？丨解财报,第一财经
3404,2021-01-06,2020年中国物流行业市场竞争格局分析 市场竞争加剧,前瞻研究院
3405,2021-01-06,顺丰再度携手本来生活网 加码冷链生鲜物流,电商报
3406,2021-01-05,新一波促消费政策来袭，有关汽车、家电……蕴藏这些投资机会丨行业风口,第一财经
3407,2021-01-05,交通运输行业双周报144期：集运欧线运价继续大涨,新浪
3408,2021-01-05,顺丰控股：监事刘冀鲁本次减持计划期限已届满,电商报
3409,2021-01-05,【机会挖掘】2021年快递业务量预计超1200亿件 春节不打烊拉开行业竞争序幕（附股）,证券时报网
3410,2021-01-05,交通运输产业行业研究：美线大幅跳涨 或为1月高运价奠定基础,国金证券股份有限公司
3411,2021-01-05,券商首次关注4股并给予买入评级（1月5日）,Wind
3412,2021-01-05,32股获券商买入评级，成都银行目标涨幅达52.91%,Wind
3413,2021-01-05,北向资金动向盘点：剔除非正常扰动看方向,Wind
3414,2021-01-05,北向资金出逃，一日卖出海康威视39亿元,21世纪经济报道
3415,2021-01-04,春节不打烊，2021快递业务量预超千亿件，相关板块或收益,第一财经
3416,2021-01-04,顺丰控股(002352.SZ)遭监事刘冀鲁减持211.13万股 减持股份,智通财经
3417,2021-01-04,顺丰控股：监事刘冀鲁减持数量过半 减持132.72万股 减持股份,电商报
3418,2021-01-04,从“人找货”到“货找人” 高新技术打造智慧物流,纪检监察报
3419,2021-01-04,交通运输行业：快递春节不打烊 疫苗有望加速航空客流恢复,新浪
3420,2021-01-04,交通运输行业周报：国药集团疫苗获批上市 回顾2020年全球航空业,新浪
3421,2021-01-04,【银河交通王靖添】行业动态 2020.12丨推荐跨境电商物流赛道，关注出行复苏的时机,新浪
3422,2021-01-04,顺丰控股(002352)首次覆盖报告：长期主义前瞻布局 逐步收获品牌效应、规模效应、协同效应,新浪
3423,2021-01-03,顺丰控股：监事刘冀鲁累计减持0.03%股份 减持股份,Wind
3424,2021-01-01,当当与顺丰联手跨年，北京读者抢先体验物流升级,砍柴网
3425,2021-01-01,2021年券商看好的十大板块,Wind
3426,2020-12-31,A股共发生141宗大宗交易成交43.41亿元（12月31日）,Wind
3427,2020-12-31,顺丰控股今日大宗交易成交92.23万股，成交价88.23元溢价0.0%,Wind
3428,2020-12-31,2020年12月交通运输行业动态报告：看好跨境电商物流赛道 关注出行复苏的时机,新浪
3429,2020-12-30,交通运输行业2021年投资策略：拨云见日 重新起航,新浪
3430,2020-12-30,顺丰控股(002352.SZ)：监事刘冀鲁已通过集中竞价减持132.72万股 减持股份,格隆汇
3431,2020-12-29,网络货运元年，“互联网+”撬动物流行业新契机 | 2020盘点,36氪
3432,2020-12-28,交通运输行业周报：圣诞旺季需求旺盛 供需矛盾抬涨运价,新浪
3433,2020-12-28,敦煌网关闭顺丰渠道运费支付接口（在线支付网银） 经营问题,电商报
3434,2020-12-28,物流行业：11月快递行业件量同比增36.5% 行业集中度环比微下调,新浪
3435,2020-12-28,顺丰控股：新冠肺炎确诊人员曾为公司兼职小时工 没有直接接触任何快件,中证网
3436,2020-12-28,交通运输行业周报：华夏航空进入性价比凸显阶段 持续强推核心三标的：顺丰控股、春秋航空与华夏航空,新浪
3437,2020-12-28,"中国最大规模基金竟""不爱喝酒""，什么神仙操作？",券商中国
3438,2020-12-27,双循环流通格局下的航空货运变革,民航资源网
3439,2020-12-25,物流行业：南航物流混改落地 催化航空物流产业持续深化发展,新浪
3440,2020-12-25,三大航货运混改均落定 各自“单飞”难“一统”,华夏时报
3441,2020-12-25,快递行业11月报：“双11”电商大促拉动 快递件量同比大幅增长,新浪
3442,2020-12-24,数说资本市场30年：上市公司总数大增514倍，20公司市值涨幅超百倍,投资时报
3443,2020-12-24,多家国际评级机构看好唯品会营收前景,砍柴网
3444,2020-12-24,穆迪确认唯品会评级 看好未来两年营收增长态势,凤凰网
3445,2020-12-24,【银河晨报】12.24丨电子：以日本为鉴，看中国电子行业未来之路,中国银河证券研究
3446,2020-12-23,12月23日晚间重要行业研究汇总,天然橡胶网
3447,2020-12-23,新冠疫苗运输或是航空业下一个“金矿”？,中国民航网
3448,2020-12-23,顺丰控股：监事刘冀鲁不超212万股的减持计划减持时间过半 拟减持股份,电商报
3449,2020-12-23,顺丰控股：监事刘冀鲁尚未减持,Wind
3450,2020-12-23,顺丰控股(002352.SZ)：监事刘冀鲁减持期过半未减持公司股份,格隆汇
3451,2020-12-23,物流行业：2020年我国快递业务量突破800亿件 预计未来5年件量有望翻番,新浪
3452,2020-12-23,A股早报2020年12月23日星期三,Wind
3453,2020-12-23,每日理财观察：证监会明确明年资本市场六项重点工作,Wind
3454,2020-12-23,警惕白酒卖醉，科技有望接替,国盛证券
3455,2020-12-23,【银河交运王靖添】行业点评丨2020年我国快递业务量突破800亿件，预计未来5年件量有望翻番,中国银河证券研究
3456,2020-12-23,南航物流混改落地 航空货运竞争力待提升,中证报
3457,2020-12-22,快递业务量持续高增 通达系价格战仍旧“惨烈”,新浪
3458,2020-12-22,进击的快递业：件量大增、低价肉搏、走向分化,中国青年网
3459,2020-12-22,物流板块发力拉升，新宁物流涨停，顺丰控股涨逾5%,证券时报网
3460,2020-12-22,多家快递公司11月营收数据亮丽 快递行业价格竞争或仍激烈,广州日报
3461,2020-12-22,24股获券商买入评级，道通科技目标涨幅达39.85%,Wind
3462,2020-12-22,3家世界500强联袂入驻！华夏幸福为湖北导入麦当劳供应链智慧产业园,Wind
3463,2020-12-21,医药物流成新风口 顺丰能否一骑绝尘？,电商报
3464,2020-12-21,交通运输行业周报：冬春重点人群接种疫苗 通达整合处关键期,新浪
3465,2020-12-21,交通运输行业快递公司2020年11月经营数据点评：旺季通达仍降较多 顺丰件量环比提速,新浪
3466,2020-12-21,交通运输行业：11月全货机货邮量增速21.2% 国际航空货运持续保持高景气度,新浪
3467,2020-12-21,交通运输2020年11月快递数据点评：业务量增速符合预期 旺季价格战趋缓,新浪
3468,2020-12-21,快递公司11月经营数据出炉 价格战有多激烈？,中国网
3469,2020-12-21,年业务量首次突破800亿件！11月快递公司成绩释出，价格战继续打响,格隆汇
3470,2020-12-21,顺丰关联公司申请“顺丰医药”商标,电商报
3471,2020-12-21,交通运输行业周报：快递旺季表现符合预期 关注国际航线客流修复,新浪
3472,2020-12-21,交通运输行业周报：11月民航客运量恢复超八成 白云机场T1将翻新,新浪
3473,2020-12-21,三大报精华摘要：期货法将进入“一读” 重疾险旧产品成香饽饽,中国财富网
3474,2020-12-21,A股快递公司晒11月“成绩单” 得价格者得业绩,上证报
3475,2020-12-20,快递旺季表现符合预期，关注国际航线客流修复 【安信交运丨周报1220】,明兴交运研究
3476,2020-12-19,A股快递巨头最新战绩出炉 价格战太激烈了,上证报
3477,2020-12-19,交通运输行业2021年度策略：后疫情下 布局优质资产,新浪
3478,2020-12-19,快递行业2020年11月数据点评：旺季发力 顺丰业务量增速重回单月最快,新浪
3479,2020-12-19,上市公司正负面新闻2020年12月19日星期六,Wind
3480,2020-12-19,顺丰控股股份有限公司 2020年11月快递服务业务经营简报,证券日报
3481,2020-12-18,晚间要闻2020年12月18日星期五,Wind
3482,2020-12-18,顺丰控股：11月速运物流及供应链收入同比增长31.11% 单票收入同比下降17.93% 盈利能力下降,中证网
3483,2020-12-18,韧性发展顺丰科技力量打通生鲜运输时效线,搜狐
3484,2020-12-18,多业务板块发力 11月顺丰营收件量双创新高,每经网
3485,2020-12-18,晚间重要公告2020年12月18日星期五,Wind
3486,2020-12-18,“电商月”顺丰斩获150亿营收9亿量件 双创历史高位,证券时报网
3487,2020-12-18,顺丰控股(002352.SZ)11月速运物流业务营收146.42亿元 同比增长30.91%,智通财经
3488,2020-12-18,顺丰控股(002352.SZ)11月速运物流及供应链收入同比增长31.11%,格隆汇
3489,2020-12-18,顺丰控股：11月公司总营业收入153.71亿元同比增长31.11%,格隆汇
3490,2020-12-18,顺丰控股：11月速运物流业务营业收入同比增长30.91%,Wind
3491,2020-12-18,顺丰控股：11月速运物流业务营收同比增长30.91%,e公司
3492,2020-12-17,大象如何起舞？近4000亿元市值顺丰的奔跑动能,经济观察网
3493,2020-12-16,进击的快递业：件量大增、低价肉搏、走向分化……｜年终盘点,国际金融报
3494,2020-12-16,顺丰同城急送助跑服装行业新零售转型,砍柴网
3495,2020-12-16,顺丰回应丰巢被罚：不影响当期损益,电商报
3496,2020-12-16,【物流-明兴】快递行业2021年度投资策略：供给端变革加速，优选龙头,安信证券研究
3497,2020-12-15,快递行业2021年度投资策略：供给端变革加速，优选龙头【安信交运】,明兴交运研究
3498,2020-12-15,交通运输行业周报：料疫苗修复航空出行信心 继续推荐首都机场,新浪
3499,2020-12-14,京东物流与顺丰双双获奖 角逐冷链“一哥”,电商报
3500,2020-12-14,交通运输产业行业研究：附加费频收推涨运价 集运或“提前过年”,国金证券股份有限公司
3501,2020-12-14,交通运输行业周报：快递业务量高增长 全球航空客运量降幅收窄,新浪
3502,2020-12-14,顺丰航空副总裁黄晖：中国航空货运发展与建议探讨,民航资源网
3503,2020-12-14,交通运输行业周报：快递11月价格改善 关注海外疫苗对航空需求修复,新浪
3504,2020-12-14,交通运输行业周报11月快递行业业务量同比增长36.5% 多机场国内航线旅客同比增长,新浪
3505,2020-12-14,【银河交运】2021年度策略：数智物流，复苏出行,中国银河证券研究
3506,2020-12-13,快递11月价格改善，关注海外疫苗对航空需求修复 【安信交运丨周报1213】,明兴交运研究
3507,2020-12-13,11月份快递数据点评：旺季需求符合预期，单价企稳改善【安信交运】,明兴交运研究
3508,2020-12-11,茅台、工行、五粮液、格力等集合竞价出现拉升，招行、海天味业等被砸盘,Wind
3509,2020-12-10,交运行业年度策略报告：关注修复行情 后疫情时代龙头公司长期价值突显,新浪
3510,2020-12-10,跨境电商物流行业专题报告：宽赛道、高成长、待巨头,新浪
3511,2020-12-10,全民狂欢直播秀 顺丰为什么是必选项,第一财经
3512,2020-12-10,"顺丰控股现2笔大宗交易 共成交1,184.10万元",新浪
3513,2020-12-10,顺丰控股发生4笔大宗交易 成交约1.05亿元,电商报
3514,2020-12-10,德邦股份：顺丰控股拟43亿美元收购公司为不实传闻,Wind
3515,2020-12-10,A股融资融券日报：两融余额减少60.97亿元（12月9日）,Wind
3516,2020-12-09,众邮快递或更名京喜快递 下沉市场会再造一个“京东物流”吗？,每日经济新闻
3517,2020-12-09,顺丰大型无人机寄递牛羊肉内蒙首航 载重1.5吨飞行1小时,民航资源网
3518,2020-12-09,"顺丰控股现4笔大宗交易 共成交10,452.40万元",新浪
3519,2020-12-09,顺丰大型无人机首次试载羊肉，最大起飞重量达1.5吨,砍柴网
3520,2020-12-09,交通运输行业2021年投资策略：把握时效快递与集运行业机遇 等待航空投资时点,广发证券
3521,2020-12-09,70亿的收购 冷链老兵希杰荣庆物流引发争抢,亿邦动力
3522,2020-12-08,“卖菜”小生意 物流大课题 顺丰或可解决物流痛点,每经网
3523,2020-12-08,社区团购 谁是“卖水人”？,金融界
3524,2020-12-08,2021年交运建筑行业投资策略：顺势而为 全年打底低估值 逢低布局高成长,新浪
3525,2020-12-08,顺丰同城急送荣获2020“电商物流行业知名品牌”、“电商行业最佳物流服务商”两项大奖,新浪
3526,2020-12-08,交通运输行业：破局·出清·均衡,新浪
3527,2020-12-08,快递业进入淘汰赛 单票收入大幅下降 盈利能力下降,中华工商时报
3528,2020-12-07,顺丰控股现1笔大宗交易 共成交622.12万元,新浪
3529,2020-12-07,交通运输行业周报：集运运价维持高位 快递11月发展规模指数表现亮眼,新浪
3530,2020-12-07,集运跟踪：欧线运力紧张 上海港或面临无船,国金证券股份有限公司
3531,2020-12-07,【华创·周知道】铜铝价格冲高回落但趋势不改，继续推荐铝铜，关注锂和前驱体（20201207）,华创证券研究
3532,2020-12-06,社区团购或对快递业带来新的机遇与挑战 【安信交运丨周报1206】,明兴交运研究
3533,2020-12-06,交通运输行业周报：交通强国试点方案密集落地 菜鸟医药冷链更进一步,新浪
3534,2020-12-05,中国外运推进供应链数字化转型,中证报
3535,2020-12-04,把交通运输行业：握跨境电商物流产业链关键环节 识别出行复苏的内需型标的,新浪
3536,2020-12-03,"顺丰控股现2笔大宗交易 共成交1,569.26万元",新浪
3537,2020-12-03,快递&机场航空2021年投资策略：柳暗花明又一村,新浪
3538,2020-12-03,传京东、顺丰及凯雷基金竞购韩国CJ集团于中国的物流业务,凤凰网
3539,2020-12-03,策略月报-2020年12月投资策略：跨年行情徐徐展开 积极布局均衡配置,新浪
3540,2020-12-03,旺季背后 我国航空货运市场仍面临转型等挑战,民航资源网
3541,2020-12-03,交通运输行业透过交通看经济(76期)：10月客运降幅收窄 货运外需维持畅旺,新浪
3542,2020-12-02,新冠疫苗的另一片“战场”：冷链运输与特制包装,腾讯网
3543,2020-12-02,中信证券：当前顺丰控股核心时效业务30倍PE并不贵 维持“买入”评级,e公司
3544,2020-12-02,顺丰控股（002352）：今年海外快递巨头的“盛宴”对顺丰的启示,中信证券研究
3545,2020-12-01,无人机物流博弈：京东“上山” 顺丰“下海”,电商报
3546,2020-12-01,格隆汇研究院月度金股|12月,格隆汇
3547,2020-12-01,机构重仓股跟踪月报,新浪
3548,2020-11-30,暴雪下的即时配送：顺丰同城急送暴雪预案为商家保驾护航,砍柴网
3549,2020-11-30,顺丰控股现1笔大宗交易 共成交608.00万元,新浪
3550,2020-11-30,交通运输行业报告：集运市场需求强劲 密尔克卫收购新能布局危废,新浪
3551,2020-11-30,物流行业：10月快递行业件量增速为43% 预计全年增速近30%,新浪
3552,2020-11-30,市场消息：顺丰控股寻求约40亿美元贷款用于并购,金十数据
3553,2020-11-29,又见带量采购！医药股4个月跌去30%，未来还香吗？,券商中国
3554,2020-11-28,快递价格战白热化，未来行业集中度将进一步提升,Wind
3555,2020-11-28,谁偷走了快递员的工资？,钛媒体
3556,2020-11-28,中物联：顺丰2020年三季度物流综合指数第一,电商报
3557,2020-11-28,快递价格战如火如荼，单票价格逼近2元,Wind
3558,2020-11-28,快递价格战如火如荼 单票价格逼近2元,证券时报
3559,2020-11-27,高盛：A股明年回报16%，尤其看好人民币升值潜力,券商中国
3560,2020-11-26,研报：美国时效快递激荡二十年，能给中国带来哪些启示？,物流指闻
3561,2020-11-26,顺丰同城急送荣获“2020中国物流十佳成长型企业”和“全国物流行业抗疫先进企业”两大奖项,砍柴网
3562,2020-11-25,顺丰金融被指违规收集用户隐私背后：王卫在金融领域布局已十年 其他违规处罚,云掌财经
3563,2020-11-25,顺丰旗下丰e足食计划3年完成20万终端网络建设,36氪
3564,2020-11-25,从碎片化的小场景切入，顺丰旗下「丰e足食」探索出“前置仓+店主”无人零售模式,36氪
3565,2020-11-25,顺丰控股：子公司顺丰快运3亿美元可转债转换成新发行1.5亿股股份,中证网
3566,2020-11-25,快递上市公司开打新一轮“资本暗战”,Wind
3567,2020-11-25,快递上市公司开打新一轮“资本暗战”,上证报
3568,2020-11-24,顺丰控股：顺丰快运3亿美元可转债转换成普通股股份,Wind
3569,2020-11-24,顺丰控股：顺丰快运3亿美元可转债转换成普通股股份,e公司
3570,2020-11-24,顺丰控股申请“顺丰同城骑士”等多条商标信息,电商报
3571,2020-11-24,交通运输行业2021年度投资策略：后疫情时代交通运输行业投资机遇 价值回归、模式突围、生态赋能,新浪
3572,2020-11-23,顺丰控股(002352.SZ)：各方同意将向顺丰快运提供的3亿美元可转债转换成其新发行的1.5亿股普通股,格隆汇
3573,2020-11-23,中国物流科技专利20强：中集夺冠，顺丰、极飞科技等上榜,澎湃新闻
3574,2020-11-23,联商电商周报：京东净增1亿用户 李佳琦等被点名,联商网
3575,2020-11-23,顺丰位列中国物流科技专利20强企业榜单第二,电商报
3576,2020-11-23,联商电商周报：京东净增1亿用户 拼多多首盈利背后,联商网
3577,2020-11-23,策略点评报告：深主板与中小板拟合并 深所指数有望迎新一轮增长,国海证券
3578,2020-11-22,中通份额持续提升，继续看好顺周期航空板块 【安信交运丨周报1122】,明兴交运研究
3579,2020-11-20,物流行业报告：快递双节业务量再做突破 行业量价趋势背离,新浪
3580,2020-11-20,交通运输行业点评：邮政携民营企业加强快递进村“最后一公里”服务,新浪
3581,2020-11-20,顺丰10月营收超120亿 快运冷运等新业务增长迅速,新浪
3582,2020-11-20,安信证券：持续看好快递行业龙头 重点推荐顺丰控股等,证券时报网
3583,2020-11-19,顺丰否认赴港上市，从行业价格战突围成当务之急？,时代在线
3584,2020-11-19,快递行业月报：10月快递件量提升 价格战加剧,新浪
3585,2020-11-19,物流行业2020年10月快递数据点评：业务量增速再超预期 龙头件量增速分化,新浪
3586,2020-11-19,“聚富财经”发布了对顺丰控股的《致歉声明函》,Wind
3587,2020-11-19,快递巨头业绩分化 “尾款人”霸屏的四季度 靓丽业绩是否可期？丨解财报,第一财经
3588,2020-11-19,快递公司十月业绩出炉！通达系价格战依旧激烈、快递员罢工频传、顺丰每单收入8倍碾压同行 员工变动,金融界
3589,2020-11-19,快递行业10月数据点评：行业业务量连续两个月增速超40% 顺丰收入增速最快 韵达连续2个月业务量领跑,新浪
3590,2020-11-19,交通运输行业周报,新浪
3591,2020-11-19,10月快递企业数据点评：顺丰高增长持续 圆通份额环比提升显着,新浪
3592,2020-11-19,交通运输行业：10月顺丰增速依然稳健 通达系继续分化 韵达保持高增长,新浪
3593,2020-11-19,物流Ⅱ行业：复盘美国时效件快递市场激荡二十年 有何启示？,广发证券
3594,2020-11-19,inNews：雅诗兰黛实现净碳零排放 Dior男装首发北京取代东京,联商网
3595,2020-11-19,快递物流企业10月营收向好 一类股有望继续上涨,巨丰财经
3596,2020-11-19,A股早报2020年11月19日星期四,Wind
3597,2020-11-19,内需强劲复苏，四大快递巨头十月“战绩”赫赫,Wind
3598,2020-11-19,内需强劲复苏 四大快递巨头十月“战绩”赫赫,上证报
3599,2020-11-19,顺丰控股股份有限公司2020年 10月快递服务业务经营简报,证券日报
3600,2020-11-18,多家上市快递公司发布10月经营数据 顺丰当月营收超120亿元,e公司
3601,2020-11-18,顺丰控股11月18日大宗交易成交近亿元,证券时报网
3602,2020-11-18,顺丰控股10月营收127.07亿元 同比增长33.93%,TechWeb
3603,2020-11-18,公告精选：交易商协会对海通证券开展自律调查；顺丰控股10月速运物流业务营收同比增34%,e公司
3604,2020-11-18,顺丰控股10月营收超120亿元 业务量同比增超5成,上证报
3605,2020-11-18,顺丰10月营收127.07亿元，业务量增长超5成,投资家
3606,2020-11-18,顺丰前10月实现营收1223.01亿 收入已超2019年全年,凤凰网
3607,2020-11-18,顺丰同城急送已成传统行业新零售生态重要拼图,新浪
3608,2020-11-18,快递百亿件量三级跳 顺丰四季度首秀迎“开门红”,证券时报网
3609,2020-11-18,顺丰控股(002352.SZ)10月速运物流及供应链收入合计为127.07亿元 同比增长33.93%,智通财经
3610,2020-11-18,顺丰控股：10月速运物流业务营收同比增34.22%,e公司
3611,2020-11-18,顺丰控股(002352.SZ)：10月速运物流及供应链收入同比增长33.93%,格隆汇
3612,2020-11-18,顺丰控股：10月份速运物流业务营业收入120.58亿元，同比增长34.22%,Wind
3613,2020-11-18,联商头条：海底捞开火锅食材超市 天喔国际退市,联商网
3614,2020-11-18,"顺丰控股现1笔大宗交易 共成交9,855.00万元",新浪
3615,2020-11-18,顺丰同城急送推动传统行业新零售布局，补齐线下服务短板,砍柴网
3616,2020-11-18,顺丰控股欲赴港IPO？公司澄清：无此计划,资本邦
3617,2020-11-18,顺丰计划赴港上市集资约390亿港元？顺丰回应：无计划,南方网
3618,2020-11-18,顺丰控股否认在港上市计划，早盘小幅微涨0.42%,第一财经
3619,2020-11-18,顺丰控股否认将赴港上市,电商报
3620,2020-11-18,交运｜涅槃重生出行迎重构繁荣，产品分层顺丰筑第一快递 ：2021年投资策略,中信证券研究
3621,2020-11-18,每日理财观察：金砖国家领导人第十二次会晤举行,Wind
3622,2020-11-18,快递行业：业务量增速保持40%+ 单价同比降幅稳定,财富动力网
3623,2020-11-18,浙商早知道 | 11月20日,浙商证券研究所
3624,2020-11-17,被传赴港二次上市 顺丰控股公告澄清：没有计划,腾讯网
3625,2020-11-17,顺丰控股二次上市募资50亿美元，快递业务赴港IPO？顺丰暂未回应,北京商报
3626,2020-11-17,顺丰辟谣未打算赴港上市，快递行业“三国杀”谁能胜出？,第一财经
3627,2020-11-17,公告精选：顺丰控股称未制订在港上市计划；通威股份签重大销售框架合同,e公司
3628,2020-11-17,顺丰控股(002352.SZ)澄清：未制订在香港联交所发行股票并上市的计划,格隆汇
3629,2020-11-17,顺丰控股澄清：公司未制订在香港交易所发行股票并上市的计划,Wind
3630,2020-11-17,顺丰控股：公司未制订在香港联合交易所有限公司发行股票并上市的计划,金十数据
