,2021-12-31,完美世界：公司已在目前的游戏研发中融入元宇宙相关元素,每日经济新闻
1663,2020-08-21,云游戏板块持续拉升 金科文化涨停 三七互娱、完美世界等多股涨幅超5％,金融界
1664,2020-08-21,71页量子透析中国云游戏中场战事 | 行业报告,钛媒体
1665,2020-08-18,A股共发生85宗大宗交易成交19.57亿元（8月18日）,Wind
1666,2020-08-18,完美世界现1笔大宗交易 共成交237.51万元,新浪
1667,2020-08-18,完美世界今日大宗交易成交6.50万股，成交价36.54元溢价0.0%,Wind
1668,2020-08-18,乘5G东风 云游戏将成产业新风口,新华网
1669,2020-08-17,《新神魔大陆》云游戏试水成功精品游戏更显亲民,上方网
1670,2020-08-17,完美世界(002624.SZ)：半年报披露时间延期至8月29日 延期披露,格隆汇
1671,2020-08-17,完美世界：延期披露2020年半年度报告 延期披露,Wind
1672,2020-08-17,传媒行业：调整出现买入良机 继续推荐绩优龙头,新浪
1673,2020-08-17,邮箱领域又起风了！,极客网
1674,2020-08-16,伽马数据：2020年7月移动游戏报告,199IT
1675,2020-08-15,完美世界萧泓：电竞正加速线上迁移和生态繁衍,上方网
1676,2020-08-14,都2020年了完美世界为什么还要花338天做一款邮箱？,极客公园
1677,2020-08-14,专访完美邮箱业务负责人黎昀：用匠人精神打磨产品 不着急启动商业化,TechWeb
1678,2020-08-14,完美世界“杀入”邮箱红海意欲何为？,钛媒体
1679,2020-08-13,云游戏竞争聚焦内容 头部游戏厂商成最大赢家,凤凰网
1680,2020-08-13,商务协同办公市场有「后浪」,DoNews
1681,2020-08-13,传媒行业月报：游戏行业上半年增长 影院复工政策解禁 8月中报季来临 解禁,新浪
1682,2020-08-12,2020年传媒行业中期投资策略报告：在线互联经济逆风飞翔 线下文娱服务向阳而生 推荐游戏流媒体 关注影视院线性价比,新浪
1683,2020-08-11,传媒-游戏：今年第二批进口游戏版号发放,新浪
1684,2020-08-10,涉足商务领域 完美世界推出88品牌,中国经济网
1685,2020-08-10,传媒行业周报：游戏、影视看新品驱动 818或助直播电商再升温,新浪
1686,2020-08-10,邮箱，沧海遗珠还是“今日”黄花,北京商报
1687,2020-08-09,完美世界控股集团发布88品牌 聚焦互联网商务细分市场,中金在线
1688,2020-08-09,完美邮箱排名飙升 邮箱老产业唱新戏,北京商报
1689,2020-08-09,完美世界控股集团切入商务办公领域 发布88品牌及完美邮箱,中国网
1690,2020-08-09,完美世界萧泓谈88新品牌：要从技术和人文做双重创新,新浪
1691,2020-08-08,萧泓谈完美世界控股集团88品牌：技术与人文双重创新,金融界
1692,2020-08-08,完美世界控股集团发布全新互联网品牌88,证券时报
1693,2020-08-08,布局商务市场，完美世界推出新品牌“88”及邮箱产品,北京商报
1694,2020-08-08,完美世界控股集团发布个人免费邮箱业务 聚焦互联网商务细分市场,和讯
1695,2020-08-08,锁定“商务”关键词，完美世界控股集团试水邮箱业务,21世纪经济报道
1696,2020-08-08,完美世界发布个人免费邮箱 @88.com，靓号选号费最高 19.99 万元,IT之家
1697,2020-08-08,精品国产手游7月海外市场销售回升,上证报
1698,2020-08-08,【山证传媒】行业月度策略：H1游戏增长22.34%，电影市场加速复苏，关注中报行情,山西证券研究所
1699,2020-08-07,【民生传媒周报】20200810：受海外影响板块调整，建议关注错杀标的,MS互联网传媒
1700,2020-08-07,传媒行业月度报告：H1游戏增长22.34% 电影市场加速复苏 关注中报行情,新浪
1701,2020-08-07,报告显示，30家中国手游发行商7月全球吸金18.3亿美元，占当期全球手游总收入27%,Wind
1702,2020-08-06,完美世界入局互联网商务协同市场，发布88品牌和完美邮箱,猎云网
1703,2020-08-05,高位震荡如何抉择？机构流量成股价催化剂,Wind
1704,2020-08-05,疫情之外 云游戏成为游戏产业下一个风口,经济观察网
1705,2020-08-05,5G娱乐产业链形成，游戏企业云技术人才需求旺盛,北国网
1706,2020-08-04,来电科技×完美世界游戏跨界联动，IP定制宝亮相ChinaJoy2020,砍柴网
1707,2020-08-04,开源晨会0804丨突出的就业压力是政策决策的核心变量；精选层首周同享科技、殷图网联领涨；隆基股份、永辉超市,开源证券研究所
1708,2020-08-03,传媒行业周报：好未来业绩表现突出 20H1游戏行业高增长,新浪
1709,2020-08-03,时代变了 游戏载体正悄然变换,新华网
1710,2020-08-03,7月行业动态报告：全国影院复工率超半数 传媒重仓集中度提高,新浪
1711,2020-08-02,今年A股净减持超3000亿！8月还有176家公司在候场 减持股份,21世纪经济报道
1712,2020-08-02,云游戏还有多远？今年的ChinaJoy有答案,Wind
1713,2020-08-02,A股周一见 | 新基将驰援A股，谁会是8月主战场？,第一财经
1714,2020-08-01,方正传媒·数据周报·20H1中国手游收入同比增36%，8月中报季关注绩优个股｜2020年第31周,杨仁文研究笔记
1715,2020-08-01,畅游完成退市，腾讯全资买搜狗，搜狐股价5天翻倍仍被严重低估 退市,腾讯网
1716,2020-08-01,锐龙游戏本崛起 华硕天选助力完美世界游戏展台,飞象网
1717,2020-07-31,海外映射系列之二：云游戏降临 强研发公司或迎估值溢价,新浪
1718,2020-07-31,全球云游戏产业联盟（GCGA）正式成立 完美世界CEO萧泓当选联盟理事长,上方网
1719,2020-07-31,完美世界萧泓：文创将成为各行业增加品质和附加值的推动力,新浪
1720,2020-07-31,完美世界CEO萧泓：5G将引领游戏行业下一个十年,21世纪经济报道
1721,2020-07-31,新基建窗口期，数字文创如何做好时代“弄潮儿”？,上方网
1722,2020-07-31,2019年游戏公司哪家强？,第一财经
1723,2020-07-31,谁是下一个百亿级游戏大厂？,第一财经
1724,2020-07-31,事关6500亿板块！顶级盛会即将开启,证券时报
1725,2020-07-30,“要珍惜和用好版号资源，做一款精一款” 中宣部出版局副局长冯士新昨在ChinaJoy大会上表示：上半年发现近百款存在违规的游戏，涉及套取版号等问题,每日经济新闻
1726,2020-07-30,“要珍惜和用好版号资源，做一款精一款” 游戏圈大咖齐聚ChinaJoy ，透露行业新风向,每日经济新闻
1727,2020-07-30,“不玩不相识”完美世界游戏玩转2020 ChinaJoy营销跨界新升级,砍柴网
1728,2020-07-30,“不玩不相识”完美世界游戏玩转2025 ChinaJoy营销跨界新升级,砍柴网
1729,2020-07-30,完美世界CEO萧泓：疫情促使所有行业加快新科技商业结合,每日经济新闻
1730,2020-07-30,2020国际游戏商务大会召开 业内热议全球化融合创新,上方网
1731,2020-07-28,20Q2公募基金配置传媒行业跟踪报告：传媒配置市值大幅提升 头部效应持续,光大证券
1732,2020-07-28,暴走A股：水泥行业新巨头诞生！规模将秒杀海螺水泥,金融界
1733,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
1734,2020-07-27,【中航证券传媒】行业周报 | 市场波动加剧，把握优质赛道龙头个股的回调机会,中航军工研究
1735,2020-07-27,传媒本周观点：CHINAJOY举办在即 关于云游戏板块相关催化及营销需求复苏下投资机会,新浪
1736,2020-07-26,多家机构研报看好完美世界增长前景：发行多样化效应突出,中国经济网
1737,2020-07-26,冯柳持仓新动向“曝光”，巨人网络、东方日升等18家公司或被新买入,红周刊
1738,2020-07-25,方正传媒44页数据周报·《最强蜗牛》登顶港澳台免费榜，全国影院复工率38.3% ｜2020年第29周,杨仁文研究笔记
1739,2020-07-24,二次探底？强势股领跌释放风险“蛮牛变慢牛”,Wind
1740,2020-07-24,工信部通报侵害用户权益行为APP：去哪儿网等58款在列,Wind
1741,2020-07-24,TI10奖金即将破3000万美元 完美世界推出全新联赛,中国经济网
1742,2020-07-24,快讯：完美世界跌停 报于37.76元,金融界
1743,2020-07-24,游戏公司上半年业绩预喜，头部效应愈发凸显,Wind
1744,2020-07-23,游戏让现实变得更美好？完美世界率先抛出“万物可跨界”,上方网
1745,2020-07-23,北上资金7月“大进大出” 近500亿逆市加仓股全曝光,红周刊
1746,2020-07-22,传媒：新主轴、新图谱 传媒驶入千亿集群时代,新浪
1747,2020-07-22,券商首次关注8股并给予买入评级（7月22日）,Wind
1748,2020-07-22,61股获券商买入评级 全筑股份目标涨幅达90%,Wind
1749,2020-07-21,完美世界(002624)：研发、发行迈上新台阶 公司发展再加速,新浪
1750,2020-07-21,北京软星与完美世界达成仙剑IP合作，未来将由完美世界负责发行,硅谷动力
1751,2020-07-21,完美世界发布半年业绩预告参股祖龙娱乐亮相港股,上方网
1752,2020-07-21,中手游控股公司北软与完美世界达成仙剑IP手游合作,新浪
1753,2020-07-21,【朝闻国盛0722】北上大进大出，重仓股遭抛售,国盛证券研究所
1754,2020-07-20,传媒行业周报：影院开业预期兑现后 爆款内容成为核心逻辑,华安证券
1755,2020-07-20,中报分红第一股来袭，最新分红送转潜力股请收藏，仅12只,证券时报网
1756,2020-07-18,零售行业-“数据会说话”之2020年6月深度解读：社零增速稳步回升 618促进线上消费,新浪
1757,2020-07-18,暑假消费潮来袭 旅游民航游戏火力全开,金融投资报
1758,2020-07-17,A股“红包雨”——下周60家公司派现，3家送转,Wind
1759,2020-07-17,64股获券商买入评级 长安汽车目标涨幅达71.23%,Wind
1760,2020-07-17,【民生传媒周报】20200720：院线复工落地，继续看好传媒板块,MS互联网传媒
1761,2020-07-16,付费用户数下滑，祖龙娱乐能在资本市场“乘风破浪”吗？ 经营问题,每日经济新闻
1762,2020-07-16,传媒互联网行业周报：中报季将至 把握业绩优秀的龙头公司,新浪
1763,2020-07-16,云游戏预言“强者恒强” 两年机遇期稍纵即逝,上方网
1764,2020-07-16,完美世界上半年净利润预计增长21.53%到25.45%,DoNews
1765,2020-07-16,开源晨会0716丨深圳限购全面升级，但仅针对需求端；上市券商中报前瞻暨全年盈利展望； 汇量科技、新宝股份、完美世界,开源证券研究所
1766,2020-07-16,完美世界(002624)20H1归母净利预增22%-25%，20H2重点新品密集上线 | 姚蕾&杨仁文团队,杨仁文研究笔记
1767,2020-07-15,71页量子透析中国云游戏中场战事 | 行业报告,钛媒体
1768,2020-07-15,完美世界(002624)：Q2游戏持续强劲 H2新游增弹性,新浪
1769,2020-07-15,完美世界(002624)：1H20业绩预告表现靓丽 丰富产品矩阵有望助全年业绩高增长,新浪
1770,2020-07-15,祖龙娱乐上市首日发售1.87亿股 涨幅超60%,中国经济网
1771,2020-07-15,游戏行业竞争胶着化：奥飞娱乐业绩下降140% 昆仑万维涨幅最大 盈利能力下降,每日经济新闻
1772,2020-07-15,2020上半年游戏公司都很滋润？也有知名公司业绩暴降近140% 盈利能力下降,每日经济新闻
1773,2020-07-15,传媒互联网行业周报：关注云游戏等5G应用逐步落地带来投资机遇,新浪
1774,2020-07-15,最前线 | 游戏业务增长较快，完美世界上半年净利同比增长21.53%-25.45%,36氪
1775,2020-07-15,【国元传媒】完美世界（002624）2020年半年度业绩预告点评：半年报业绩稳步增长，手游产品表现优异,典评文娱
1776,2020-07-15,【开源传媒|点评】完美世界：中报预告超市场预期，新游戏驱动后续高增长,文娱透光镜
1777,2020-07-15,完美世界(002624.SZ)上半年业绩预增超两成 持有祖龙娱乐股份17.6%,资本邦
1778,2020-07-15,祖龙娱乐(9990.HK)首日上市高开46.55%完美世界和腾讯分别为第二、三大股东,格隆汇
1779,2020-07-15,【民生互联网传媒】完美世界(002624.SZ)2020H1业绩预告点评：20H1业绩高增，公司MMORPG游戏产品力不断验证,MS互联网传媒
1780,2020-07-15,万达电影预计上半年亏16亿、电影院却“复工”有戏了？,36氪
1781,2020-07-15,完美世界(002624)中报业绩预告点评：游戏产品周期向上 影视去库存加速,新浪
1782,2020-07-15,完美世界：上半年净利润预增21.53%–25.45%,36氪
1783,2020-07-14,完美世界：祖龙娱乐将在港交所上市 公司间接持有约1.39亿股普通股,金融界
1784,2020-07-14,完美世界上半年净利预超12亿元 参股公司祖龙娱乐15日港股上市,21世纪经济报道
1785,2020-07-14,完美世界参股游戏公司祖龙娱乐赴港上市,北京商报
1786,2020-07-14,完美世界(002624.SZ)：参股公司祖龙娱乐7月15日香港联交所主板挂牌上市,格隆汇
1787,2020-07-14,【科新先声】行业领先的MMORPG手游开发商-祖龙娱乐在港上市【安信诸海滨团队】,诸海滨科新先声
1788,2020-07-14,完美世界(002624.SZ)：实控人池宇峰解除质押7595.54万股,格隆汇
1789,2020-07-14,完美世界(002624.SZ)：年报推10派2.4元股权登记日7月20日,格隆汇
1790,2020-07-14,完美世界(002624.SZ)：终止回购公司股份 终止回购,格隆汇
1791,2020-07-14,完美世界：上半年净利同比预增22%-25%,e公司
1792,2020-07-14,完美世界：上半年预计净利润同比增长21.53%~25.45%,Wind
1793,2020-07-14,完美世界2020半年业绩预告：净利预增21.53%-25.45%,Wind
1794,2020-07-14,完美世界：终止回购股份 终止回购,Wind
1795,2020-07-14,云游戏行业跟踪报告：从蓝图到落地 云游戏发展驶入快车道,新浪
1796,2020-07-14,破壁云游戏发行，完美世界游戏交出行业标杆性答卷,砍柴网
1797,2020-07-14,祖龙娱乐：生而不凡，何为次世代硬核游戏CP？,安信传媒焦娟团队
1798,2020-07-13,游戏行业周报：Q2全球手游市场收入190亿美元 创历史新高,新浪
1799,2020-07-11,方正传媒51页数据周报·20Q2全球手游收入190亿美元创新高｜2020年第28周,杨仁文研究笔记
1800,2020-07-10,"""科""公司PK:完美世界研发规模超1倍 巨人两年裁员48% 业务变化",新浪
1801,2020-07-10,解禁洪峰将至，接盘需谨慎,Wind
1802,2020-07-10,“云游戏”成玩家新宠，谁能抓住这个千亿级风口,砍柴网
1803,2020-07-10,民生传媒周报20200713：市场情绪高涨，持续看好游戏/视频板块,MS互联网传媒
1804,2020-07-10,缺乏爆款储备不足 巨人网络300亿并购项目两次受阻后再重启,投资者网
1805,2020-07-09,云游戏市场规模将超千亿 天翼云+5G加速布局云游戏生态,C114通信网
1806,2020-07-08,游戏行业驱动力系列之一：手游出海,新浪
1807,2020-07-08,多款热门手游密集上线，游戏行业有望维持高景气，维持“增持”评级,上海证券
1808,2020-07-08,中金：游戏公司的估值还有空间吗？,中金点睛
1809,2020-07-08,万达电影预计上半年亏16亿、电影院却“复工”有戏了？,36氪
1810,2020-07-07,完美世界(002624.SZ)：东富锐进持股5% 为公司第三大股东,格隆汇
1811,2020-07-07,完美世界：公司股东协议转让公司部分股份完成过户 减持股份,Wind
1812,2020-07-07,完美世界(002624.SZ)：控股股东解除质押7926.0156万股,格隆汇
1813,2020-07-07,游戏行业周报：多款热门手游密集上线 游戏行业有望维持高景气,新浪
1814,2020-07-07,开源晨会0707丨宽信用背景下，限价松动利好房企价值重估；潮玩圈层加持，塑造IP变现新模式；金能科技、吉宏股份、老百姓,开源证券研究所
1815,2020-07-07,50股获券商买入评级，中设集团目标涨幅达54.38%,Wind
1816,2020-07-06,传媒行业数据周报：北京疫情防控进入后半程 关注影视上下游相关标的,新浪
1817,2020-07-06,传媒周报：中报季来临重视业绩确定性 看好游戏板块全年机会,新浪
1818,2020-07-06,传媒行业周报：7月游戏版号下发 公务员省考公告相继出炉,新浪
1819,2020-07-03,TMT每日资讯速递：安徽省厅下发通知 长鑫有望三年内攻坚LPDDR5内存,新浪
1820,2020-07-02,完美世界(002624.SZ)：截至6月末 累计耗资1602.1万元回购0.0442%股份,格隆汇
1821,2020-07-02,一、何以资深？贯穿国产游戏发展史,富途证券
1822,2020-07-02,宝通科技(300031)：疫情催化业绩超预期 继续看好下半年及明年表现,新浪
1823,2020-07-02,2分钟读财报|祖龙娱乐IPO:55%营收靠腾讯 旗下游戏曾致未成年自杀,新浪
1824,2020-07-02,完美世界游戏携手中国电信，独家首发《新神魔大陆》云游戏,砍柴网
1825,2020-07-02,宝通科技(300031)：20H1业绩预计同增30%-50% 全球研运一体布局成效初显 下半年自研有望实现突破,新浪
1826,2020-07-01,7月首批国产游戏版号出炉，腾讯网易在列,Wind
1827,2020-07-01,冯柳席位或继续增持完美世界 45家公司机构买入过亿元（附表）,红周刊
1828,2020-07-01,全球市场份额增长，中兴通讯单日16亿大宗交易亮眼,Wind
1829,2020-07-01,2020年7月份上海证券研究所投资组合报告,新浪
1830,2020-07-01,网游板块持续走高 头部企业估值看好,经济日报
1831,2020-07-01,民生传媒周报20200706：中报季来临重视业绩确定性，看好游戏板块全年机会,MS互联网传媒
1832,2020-06-30,【中概股IPO追踪】洪恩教育追风口，池宇峰的资本局！,财华社
1833,2020-06-30,完美世界股价创新高，最新筹码趋向集中,证券时报网
1834,2020-06-29,传媒行业数据周报：《地下城与勇士》领衔腾讯游戏年度发布会,新浪
1835,2020-06-29,文化传媒行业周报：腾讯游戏发布会召开 暑期新游来袭,新浪
1836,2020-06-28,传媒行业周报：腾讯游戏发布会验证行业景气度 持续关注龙头产品线,新浪
1837,2020-06-28,传媒行业周报：在线娱乐景气度持续 关注中报业绩预期高增个股,新浪
1838,2020-06-28,传媒互联网周报：暑期多款新游陆续上线 线下文娱活动或有序恢复,新浪
1839,2020-06-28,科技行业2020年7月金股推荐,新浪
1840,2020-06-24,重磅盛会即将召开 云游戏概念股大狂欢！,中投网
1841,2020-06-24,责任创造品牌价值 2020第五届中国企业公民520责任品牌峰会云上召开,每日经济新闻
1842,2020-06-24,京剧网游双向赋能 《神雕侠侣2》跨界演绎新武侠,IT时代网
1843,2020-06-23,腾讯又重磅出手：合作方身份神秘 A股公司紧跟而上,上证报
1844,2020-06-23,Q3游戏行业前瞻：暑期产品储备丰富 腾讯游戏年会+CHINAJOY催化云游戏发展进程,新浪
1845,2020-06-23,游戏行业周报：《荒野乱斗》上线首周IOS端收入破亿,新浪
1846,2020-06-23,解盘：大消费拉升，白酒、网络游戏、高价股、品牌龙头领涨,Wind
1847,2020-06-23,快讯：云游戏板块走强涨1.77% 逾2亿元大单资金涌入5只概念股,证券日报
1848,2020-06-23,网游板块持续拉升，游族网络、完美世界大涨,Wind
1849,2020-06-22,【新时代传媒】0628周观点：腾讯游戏发布会推出多款重磅产品，前瞻中报继续布局游戏影视行业,--
1850,2020-06-22,民生证券研究周观点,新浪
1851,2020-06-22,最前线 | 腾讯、完美世界持股的祖龙娱乐启动投资者路演，拟募资1亿至2亿美元,36氪
1852,2020-06-22,祖龙娱乐启动投资者路演最早7月招股 腾讯持股17.51%,新浪
1853,2020-06-22,A股早报2020年6月22日星期一,Wind
1854,2020-06-22,传媒行业周报：6月游戏版号下发 陕西省公务员招录公告发布,新浪
1855,2020-06-22,祖龙娱乐最早7月招股，2019年扭亏为盈、收入严重依赖腾讯,零壹财经
1856,2020-06-21,明星私募在买什么？高毅资本再加仓完美世界,中华网
1857,2020-06-20,ISC文创EMBA开学起航 完美世界萧泓分享“成功模型”,中国经济网
1858,2020-06-19,完美世界发生5笔大宗交易 合计成交17.41亿元,证券时报网
1859,2020-06-19,A股共发生119宗大宗交易成交78.85亿元（6月19日）,Wind
1860,2020-06-19,完美世界：完美控股及池宇峰合计减持2580万股 减持股份,Wind
1861,2020-06-19,完美世界现5笔折价大宗交易 成交金额17.41亿元,e公司
1862,2020-06-19,完美世界今日大宗交易成交3900万股，成交价44.65元折价13.13%,Wind
1863,2020-06-19,传媒互联网行业周报：《乘风破浪的姐姐》IP热度空前 看好传媒板块,新浪
1864,2020-06-19,解盘：资金持续流入，动力电池、TWS耳机、白酒领涨,Wind
1865,2020-06-17,互联网行业2020年中期策略：前浪与后浪 商业模式的交替,新浪
1866,2020-06-17,完美世界(002624)：大股东5%股权协议转让利于优化资产负债结构 Q3将迎新游上线催化,新浪
1867,2020-06-17,6月逾200亿减持，4千亿巨量解禁下月将至,Wind
1868,2020-06-17,完美世界：与字节跳动等公司有长期良好业务合作 未来将积极开发原生云游戏,发布易
1869,2020-06-17,完美世界将与合作伙伴共同探索“5G+VR+云游戏”,北京商报
1870,2020-06-17,完美世界：未来将在云游戏基础上，进一步拓展开发VR云游戏,36氪
1871,2020-06-17,6月首批国产游戏版号下发，云游戏商业化进程加速,Wind
1872,2020-06-17,5G商用一周年云游戏从概念走向现实,证券时报
1873,2020-06-17,云游戏爆发式增长，完美世界将联合头部公司探索“5G+VR+云游戏”,零壹财经
1874,2020-06-16,6月游戏版号获批叠加疫情反弹暑假将至游戏股再引市场关注,财华社
1875,2020-06-16,游戏行业周报：5月国内手游市场规模环比增长11.9%,新浪
1876,2020-06-16,这个产业爆发式增长，活跃资金重点加仓股出炉,证券时报
1877,2020-06-16,完美世界教育与成都艺术职业大学签署战略合作协议,IT时代网
1878,2020-06-16,36股获券商买入评级 姚记科技目标涨幅达78.75%,Wind
1879,2020-06-16,腾讯游戏年会临近，机构强力布局云游戏主题,Wind
1880,2020-06-15,完美世界(002624.SZ)：员工持股计划存续期将于12月15日届满,格隆汇
1881,2020-06-15,传媒行业周报2020年第23期：优质内容供给充分 关注游戏、长短视频赛道龙头,新浪
1882,2020-06-15,A股早报2020年6月15日星期一,Wind
1883,2020-06-15,上市公司正负面新闻2020年6月15日星期一,Wind
1884,2020-06-14,晚间重要公告2020年6月14日星期日,Wind
1885,2020-06-14,完美世界控股股东拟协议转让5%股权 意在降低债务杠杆 减持股份,中证网
1886,2020-06-14,完美世界：控股股东向东富锐进转让所持公司5%股权 减持股份,e公司
1887,2020-06-14,完美世界：控股股东拟28.7亿元转让所持5%公司股份给东富锐进 减持股份,Wind
1888,2020-06-12,完美世界(002624.SZ)：东富锐进持股5%为公司第三大股东,格隆汇
1889,2020-06-12,完美世界：控股股东完美控股拟转让5%公司股份转让价款共计28.71亿元 减持股份,36氪
1890,2020-06-12,网游板块继续抬升，三七互娱、完美世界、世纪华通等纷纷拉涨,Wind
1891,2020-06-12,19股获券商买入评级，中设集团目标涨幅达68.69%,Wind
1892,2020-06-11,完美世界教育与宜宾职业技术学院文创与旅游学院签署战略合作,IT时代网
1893,2020-06-11,东吴证券：游戏行业迎来新一轮戴维斯双击？,阿尔法工场
1894,2020-06-10,云游戏亮相腾讯发布会，千亿市场崛起，谁拔头筹？,Wind
1895,2020-06-09,解密苹果AR眼镜新生态，微美全息AR+AI实现人脸识别SDK无感支付,和讯
1896,2020-06-09,游戏行业跟踪：行业增速提升 中国游戏出海正当时,广发证券
1897,2020-06-09,文化传媒行业周报：MCN资产证券化仍有广阔空间,新浪
1898,2020-06-08,互联网传媒周报：游戏新品上线高峰将到来 关注楼宇广告和动画电影复苏,新浪
1899,2020-06-08,科技板块下半年投资策略：数字化加速，新基建助力,Wind
1900,2020-06-08,中信建投：游戏行业暑期档迎来新游上线高峰期 推荐行业龙头完美世界等,证券时报网
1901,2020-06-08,传媒行业周报：游戏、电影继续前瞻布局下半年 关注直播电商产业链短期业绩兑现情况,新浪
1902,2020-06-05,民生传媒周报20200608：影院复工在即，关注低估值板块投资机会,MS互联网传媒
1903,2020-06-05,2020年传媒行业中期策略报告：优选高景气、低估值龙头,新浪
1904,2020-06-04,游戏出海深度报告：出海提速 打开龙头增长空间,新浪
1905,2020-06-04,传媒行业月度策略：广电整合再推进 618大促提振营销投放 关注文娱消费,新浪
1906,2020-06-03,传播文化业行业：网络迭代与流量分发格局演变再造龙头,新浪
1907,2020-06-03,中概股归港，港交所吃香,36氪
1908,2020-06-02,传媒板块反弹 机构：看好营销及游戏龙头公司,中国财富网
1909,2020-06-02,高毅前面布局，北上资金后面跟进，扬农化工、迈克生物等是他们的“同好”,红周刊
1910,2020-06-02,TMT每日资讯速递：VIVO X50 PRO+正式发布,新浪
1911,2020-06-02,18股遭重要股东减持超亿元 减持股份,证券时报网
1912,2020-06-02,犀牛财经早报：网易在最高发行价126港元 达达集团IPO募资3亿美元,GPLP犀牛财经
1913,2020-06-02,A股早报2020年6月2日星期二,Wind
1914,2020-06-01,完美世界：德清骏扬减持公司2%股份 减持股份,金融界
1915,2020-06-01,完美世界发生4笔大宗交易 合计成交4.87亿元,证券时报网
1916,2020-06-01,完美世界：德清骏扬合计减持2%公司股份 减持股份,Wind
1917,2020-06-01,完美世界(002624.SZ)截至5月底累计耗资1602.1万元回购0.0442%股份,格隆汇
1918,2020-06-01,文化传媒行业周报：广电全国一网整合出现实质性进展,新浪
1919,2020-06-01,"完美世界现4笔大宗交易 共成交48,688.08万元",新浪
1920,2020-06-01,新时代传媒周报：看好5G应用发展趋势 关注直播带货MCN和广电国网整合,新浪
1921,2020-06-01,传媒行业周报：影院上座率限制影响不大 K12课外辅导陆续恢复,新浪
1922,2020-05-31,8点1氪 | 苹果在WWDC20上推出自研芯片；万国数据获高瓴资本和STT GDC股权投资；微软收购安全初创公司CyberX,36氪
1923,2020-05-30,游戏盛宴之下：有的公司在狂欢，有的公司在强颜欢笑,钛媒体
1924,2020-05-29,2020年文化娱乐行业中期投资策略：游戏维持高景气线下娱乐尚待复苏,新浪
1925,2020-05-29,民生传媒周报20200601：618来临看好电商新营销板块,MS互联网传媒
1926,2020-05-29,传媒互联网行业周报：调整就是机会 关注影视板块龙头公司,新浪
1927,2020-05-28,完美世界等19只文娱股获社保基金潜力布局 持仓超千万股,证券之星
1928,2020-05-28,影视行业迎来政策利好 市场有望迎来新机遇,中国经济网
1929,2020-05-27,游企抢滩云游戏 完美世界将攻关打造标杆产品,中国证券网
1930,2020-05-26,游戏行业周报：4月国内手游收入同比增长24% 二次元新游火爆,新浪
1931,2020-05-26,传媒行业动态：中国广电中国移动5G共建共享合作落地 四月游戏行业增速达24.4% 显示需求韧性,新浪
1932,2020-05-26,传媒行业周报：握紧核心资产 继续推荐游戏板块,新浪
1933,2020-05-25,2020-5-25 NESC复盘笔记：沪指涨0.15% 食品饮料板块走强,复盘笔记
1934,2020-05-25,头条系游戏股获北水连续增持，心动公司股价已翻倍,Wind
1935,2020-05-25,*ST天润旗下企业签约江苏首个电竞文创产业集聚区 加速推进电竞文创业务发展,e公司
1936,2020-05-25,传媒行业周报：多地学校暑期时间确定 完美世界云游戏将公测,新浪
1937,2020-05-24,方正传媒51页数据周报·4月手游收入同增24%，爱奇艺推星钻VIP会员｜2020年第21周,杨仁文研究笔记
1938,2020-05-24,6月十大金股,半导体风向标
1939,2020-05-24,6月十大金股（电话会议）,半导体风向标
1940,2020-05-22,民生传媒周报20200525：持续看好线上娱乐板块,MS互联网传媒
1941,2020-05-22,传媒行业周报：影视行业再迎政策利好 优质内容仍是王道,华安证券
1942,2020-05-22,【民生互联网传媒】游戏行业跟踪：4月手游市场同比增速24%，增长依然亮眼,MS互联网传媒
1943,2020-05-21,完美世界：公司控股股东持有的1414万股股份解除质押,每日经济新闻
1944,2020-05-21,完美世界(002624.SZ)：控股股东解除质押1414.29万股,格隆汇
1945,2020-05-21,冯柳的高毅邻山1号二季度重仓股曝光 13家公司上榜,红周刊
1946,2020-05-20,2020-5-20 NESC复盘笔记：创业板指跌1.21% 高位股集体回调,复盘笔记
1947,2020-05-20,41股获券商买入评级，日月股份目标涨幅达59.82%,Wind
1948,2020-05-20,【东北传媒宋雨翔】完美世界（002624）深度报告：砥志研思，风雨十六载铸就游戏强者,东北证券研究所
1949,2020-05-19,传媒行业：复工后移动游戏热度不减 小说IP改编手游火热,新浪
1950,2020-05-19,号百控股(600640)：新产品密集发布 5G泛文娱“使能”平台渐入佳境,新浪
1951,2020-05-19,5只行业均衡风格绩优基金，打包拿走！,养基司令
1952,2020-05-19,7股获买入评级 最新:完美世界,中财网
1953,2020-05-18,【新时代传媒】0524周观点：坚定科技创新主线，寻找5G传媒互联应用趋势,关爱传媒成长小分队
1954,2020-05-18,传媒行业周报：关注两会及618聚焦电影、游戏龙头及直播电商产业链,新浪
1955,2020-05-16,完美世界游戏携手中国电信发布首款旗舰级云游戏《新神魔大陆》,砍柴网
1956,2020-05-16,【山证传媒】 行业月度策略：影院复工在即，关注影视及院线板块边际改善,山西证券研究所
1957,2020-05-16,中概股排队“回家”首选赴港二次上市,Wind
1958,2020-05-15,民生传媒周报20200518：持续看好游戏板块及院线需求复苏,MS互联网传媒
1959,2020-05-15,完美世界(002624.SZ)：控股股东非公开发行可交债已全部完成换股,格隆汇
1960,2020-05-15,大幅上调目标价策略（5月15日）,Wind
