,2021-12-31,清远邮银合作打造“惠农专班”促新型经营主体发展 向642户新型农业经营主体发放贷款3.17亿元,和讯
2775,2020-11-25,银行业：改善预期不断增强 交易进入“风格再平衡”,财富动力网
2776,2020-11-24,“邮你同行”银保合作发展论坛深圳峰会成功举行,中国网
2777,2020-11-23,最近3年，A股25股“破发”，春季行情它们或将“一雪前耻” 连续下跌,上游新闻
2778,2020-11-23,2020年度思维财经金桥奖获奖名单揭晓 引领标杆企业长期价值,钛媒体
2779,2020-11-23,邮储银行嘉兴市分行助力长三角生态绿色一体化发展示范区建设,中国金融新闻网
2780,2020-11-23,【专栏】拼多多的金融野心：申请直销银行，大量招兵买马,新流财经
2781,2020-11-23,精准护航稳企业 心系民生保就业 邮储银行重庆分行普惠小微贷款投放超127亿元,上游新闻
2782,2020-11-22,银行行业：如何看待近期债务违约和包商二级资本债减记事件？ 违约失信,广发证券
2783,2020-11-20,中邮消金五周年考：业绩未稳、高管动荡、频陷纠纷 诉讼纠纷,新浪
2784,2020-11-20,浦发银行、邮储银行等多家银行发公告重申信用卡资金用途,零壹财经
2785,2020-11-19,@7.56亿张信用卡持卡人！多家银行提示：这样做会被降额、冻结、锁卡,中证报
2786,2020-11-19,海南新增两处个人信用报告查询点,证券导报
2787,2020-11-19,整村授信助“三农”,海口网
2788,2020-11-19,银行行业月报：宏观持续修复 政策利率稳定,新浪
2789,2020-11-19,银行股明年还能涨吗？听听机构怎么说丨牛熊眼,腾讯网
2790,2020-11-19,万国数据第三季收入高出预期,财富动力网
2791,2020-11-18,【研报掘金】信用风险缓释长周期逐渐步入尾期 银行板块估值修复有望建议积极布局,证券时报网
2792,2020-11-18,邮储银行庆阳分行携手庆阳市城区热力公司 向市民提供全方位查询缴费服务,中国金融新闻网
2793,2020-11-18,山东邮储银行与潍坊市政府签署战略合作协议,大众日报
2794,2020-11-18,晨会聚焦201118重点关注宁水集团、芒果超媒、京东集团-SW、拓邦股份、金山软件,国信研究
2795,2020-11-18,银行业2021年投资策略：景气向上 积极配置,新浪
2796,2020-11-18,中信证券：景气向上，2021年积极配置银行,Wind
2797,2020-11-18,发力线上业务、推动经营数字化进程 邮储北京分行构建抗疫金融防线,北京商报
2798,2020-11-17,邮储银行福建省分行：践行普惠金融 助力精准扶贫,中国金融新闻网
2799,2020-11-17,内银股普涨 渤海银行涨近5%邮储银行涨近3%,新浪
2800,2020-11-17,中金：内银股价有超60%的上升空间 建议关注光大银行（06818）邮储银行（01658）等,智通财经
2801,2020-11-17,晨会聚焦201117重点关注首旅酒店、零售行业、化工行业、中科创达、中控技术、银都股份,国信研究
2802,2020-11-17,【读财报】上市银行三季报：资产质量保持稳定 资本充足率普遍下降,新华网
2803,2020-11-16,宁波公积金可自动按月提取还商贷,Wind
2804,2020-11-16,晨会聚焦201116重点关注电子行业、拼多多、医药行业、新东方-S,国信研究
2805,2020-11-15,【广发银行业】如何看待近期债务违约和包商二级资本债减记事件？ 违约失信,倪军金融与流动性研究
2806,2020-11-15,宁德石油：携手邮储银行开展 “信用卡加油满减”推广活动,凤凰网
2807,2020-11-13,邮储银行湖北省分行召开抗击新冠肺炎疫情表彰大会,新浪
2808,2020-11-13,晨会聚焦201113重点关注腾讯控股、电商产业、中芯国际,国信研究
2809,2020-11-12,银行转型2020，谁是王者？,21世纪经济报道
2810,2020-11-12,21金融研究丨银行转型2020，谁是王者？,21世纪经济报道
2811,2020-11-12,邮储银行三明市分行组织开展新冠肺炎疫情防控专项演练,新浪
2812,2020-11-12,年末十家手机银行数字化升级大盘点：谁家开发更全面？,中投网
2813,2020-11-12,18家全国性银行喜与忧：归母净利润悉数增长 三家不良率上升,投资时报
2814,2020-11-12,晨会聚焦201112重点关注计算机、纺织服装、银行、香港交易所、申洲国际,国信研究
2815,2020-11-12,29股获券商买入评级，值得买目标涨幅达61.88%,Wind
2816,2020-11-12,【东北银行王凤华/陈玉卢】邮储银行（601658.SH）动态点评：单季利润增速双位数增长，资产质量稳健,东北证券研究所
2817,2020-11-11,2020年年末主要宽基指数样本股调整预测：电子和医药行业个股升档较多,新浪
2818,2020-11-11,400家银行大数据透露了哪些秘密？118家不良率超2% 区域性银行堪忧,投资时报
2819,2020-11-11,银行Ⅱ行业：延期还本付息影响几何？,新浪
2820,2020-11-11,【华创计算机王文龙团队】计算机行业2021年度投资策略：聚焦基础技术演进与垂直行业产业周期,蚊子搞科研
2821,2020-11-11,晨会聚焦201111重点关注友邦保险、风华高科、华虹半导体,国信研究
2822,2020-11-11,金融精准扶贫贷款余额逾33亿元,光明网
2823,2020-11-11,【中原银行】邮储银行(601658)季报点评：资产质量环比改善，业绩改善幅度好于行业,中原证券研究所
2824,2020-11-11,【中原晨会1111】市场分析、传媒行业周报、邮储银行季报点评、建设银行季报点评,中原证券研究所
2825,2020-11-10,邮储银行大连分行与瓦房店市政府签署战略合作协议,中国金融新闻网
2826,2020-11-10,邮储银行总行领导赴江南农商行远程银行中心考察调研,凤凰网
2827,2020-11-10,【大行报告】摩通升邮储银行(01658-HK)目标价至5.2港元,财华社
2828,2020-11-10,晨会聚焦201110重点关注传媒行业,国信研究
2829,2020-11-09,林权也可抵押贷款！惠州沉香产业迎来“春天”,21世纪经济报道
2830,2020-11-09,后疫情时代六大国有银行可安好？,中投网
2831,2020-11-09,北向资金买买买，“跨年行情”这就来了？,中证报
2832,2020-11-09,邮储银行(601658)：利润增速改善明显 资产质量优异,新浪
2833,2020-11-09,【广发银行业】2021年银行业经营环境展望——四大趋势,倪军金融与流动性研究
2834,2020-11-09,邮储银行发力线上汽车贷款业务 助力居民消费,金融界
2835,2020-11-06,本周央行及银保监会行政处罚汇总：多个国有大行吃到罚单，环迅支付被罚518万元 金融监管处罚,Wind
2836,2020-11-06,黄山银保监局：对邮储银行歙县支行作出行政处罚，罚款20万元 金融监管处罚,Wind
2837,2020-11-06,邮储银行珠海市分行举办政银企对接活动,中国金融新闻网
2838,2020-11-06,防范“黑天鹅”，多家银行预警贵金属交易风险,Wind
2839,2020-11-06,多家银行预警贵金属交易风险 极端行情限制交易,新浪
2840,2020-11-06,防范“黑天鹅” 多家银行预警贵金属交易风险,北京商报
2841,2020-11-05,聚焦｜经营业绩显著回升，资产质量领跑行业，这家银行是怎样做到的？,21世纪经济报道
2842,2020-11-05,防范“黑天鹅”事件重现 多家银行提前预警贵金属交易风险,北京商报
2843,2020-11-05,邮储银行海南分行被罚20万：未履行客户身份识别义务 金融监管处罚,中新经纬
2844,2020-11-05,央行海口中心支行：对邮储银行海南省分行作出行政处罚，罚款20万元 金融监管处罚,Wind
2845,2020-11-05,银行Ⅱ：从严监管 行业重整,新浪
2846,2020-11-05,邮储银行日喀则市支行开展“金融支持稳企业保就业”政银企融资对接会,中国金融新闻网
2847,2020-11-05,晨会聚焦201105重点关注国电南瑞、证券行业、半导体、锐明技术,国信研究
2848,2020-11-05,邮储银行(601658)：业绩拐点确认 重申跑赢行业评级,新浪
2849,2020-11-05,为水果合作社注资金扩销路,中国县域经济报
2850,2020-11-05,邮储银行实现净利润528.95亿元,中国金融新闻网
2851,2020-11-05,社保基金、养老金第三季度大手笔减持银行股份 减持股份,Wind
2852,2020-11-04,银行行业深度报告：息差企稳回升 零售边际改善,新浪
2853,2020-11-04,创新信贷产品 深耕“三农”金融,大众日报
2854,2020-11-04,【异动股】邮储银行(01658-HK)涨3.24%,财华社
2855,2020-11-04,港股盘前必读：蚂蚁集团A+H股上市同步暂缓,Wind
2856,2020-11-04,保险资金投资路线追踪：三季度增持银行加码制造业,证券时报网
2857,2020-11-04,邮储银行云南省分行助力脱贫攻坚与乡村振兴有效衔接,中国金融新闻网
2858,2020-11-04,邮储银行河南省分行：引金融活水助脱贫攻坚,中国金融新闻网
2859,2020-11-04,六大行前三季度归母净利润8511亿 交通银行不良率最高,中国经济网
2860,2020-11-04,退市制度多次被重磅会议点题，年内已有29家公司退市 退市,Wind
2861,2020-11-03,邮储银行(601658)：经营指标全面改善 维持跑赢行业评级,新浪
2862,2020-11-03,【研报掘金】银行利润增速三季度已见拐点 四季度估值切换窗口打开建议超配银行板块,证券时报网
2863,2020-11-03,【异动股】邮储银行(01658-HK)跌3.14%,财华社
2864,2020-11-03,银行业拐点到来？三季报数据揭晓相关变化,21世纪经济报道
2865,2020-11-03,邮储银行开展反洗钱宣传月活动,中国青年网
2866,2020-11-03,晨会聚焦201103重点关注保险、金地集团、保利地产,国信研究
2867,2020-11-03,港股盘前必读：34只科创板股票有望进入富时罗素相关指数,Wind
2868,2020-11-03,【公司点评】邮储银行 (601658)丨三季报点评：拨备计提压力缓解释放业绩，资产质量优于同业,中国银河证券研究
2869,2020-11-03,银行业不良资产处置或迎高峰期 36家上市银行中仅一家略有改善,中证网
2870,2020-11-03,银行三季度业绩表现企稳向好，服务实体经济力度加大,Wind
2871,2020-11-03,四季度银行业不良资产处置料迎来高峰期,中国财富网
2872,2020-11-03,解码六大行三季报 交行利润降速最快 盈利能力下降,时代在线
2873,2020-11-02,前三季度A股上市银行同比少挣1073亿：交行垫底大行 民生净利跳水 盈利能力下降,新浪
2874,2020-11-02,深度丨银行业拐点到来？三季报不良率下降者过半，七成利润增速回升,21世纪经济报道
2875,2020-11-02,11月2日快报：港股银行股普涨，内地银行走势强劲,21世纪经济报道
2876,2020-11-02,一语道破|估值回归可期！大型银行股迎风起舞，底气何在？,财华社
2877,2020-11-02,邮储银行(601658)：拨备计提放缓 Q3业绩表现超预期,广发证券
2878,2020-11-02,打通金融服务乡村振兴“最后一公里”,中国金融新闻网
2879,2020-11-02,东兴证券：10月金股组合盈利5.46% 11月荐股名单出炉,新浪
2880,2020-11-02,恒指收涨1.46%，汽车、银行、黄金股涨幅居前,Wind
2881,2020-11-02,六大行前三季少赚806亿元 银行人士称已开展多轮专项压力测试 盈利能力下降,第一财经
2882,2020-11-02,银行行业周报：三季报数据向好 展望四季度修复,华福证券有限责任公司
2883,2020-11-02,港股邮储银行涨超9%,新浪
2884,2020-11-02,【行情】港股银行股午后持续走高，邮储银行大涨9%，光大银行、中信银行、招商银行涨超5%，工商银行、建设银行、交通银行涨超4%,金十数据
2885,2020-11-02,银行股午后爆发：邮储银行涨近9% 招行涨超5%建行涨近5%,新浪
2886,2020-11-02,银行行业周报：银行三季报验证基本面拐点 基金3Q小幅加仓银行,新浪
2887,2020-11-02,内银股集体攀升 邮储银行升逾5%,新浪
2888,2020-11-02,港股异动 | 邮储银行(01658)升逾5%领涨内银股 六大行前三季度纯利降幅收窄至8.66%,智通财经
2889,2020-11-02,【异动股】邮储银行(01658-HK)涨5.53%,财华社
2890,2020-11-02,六大行前三季净利8660亿降幅收窄至8.66% 年内新增贷款7.4万亿平均增速超11% 盈利能力下降,长江商报
2891,2020-11-02,36家A股上市银行前三季度，合计实现净利1.3万亿元,Wind
2892,2020-11-02,上市银行三季度盈利普遍好转 不良压力减缓,上证报
2893,2020-11-01,六大行前三季少赚806亿元，净息差再收窄 盈利能力下降,第一财经
2894,2020-11-01,邮储银行(601658)2020年三季报点评：资产质量稳定 盈利增速回升,新浪
2895,2020-11-01,37家上市银行三季报透视：业绩“天地”分化，差距就是那么大！,Wind
2896,2020-11-01,浙江丽水：小微易贷助企不等“贷”,经济日报
2897,2020-10-31,六大行三季报：日赚31.06亿元，不良合计1.13万亿 ，邮储净利增速转正,21世纪经济报道
2898,2020-10-31,长亮科技(300348)：收入恢复明显 新需求或刚开始,新浪
2899,2020-10-31,林权也可抵押贷款 惠州沉香产业迎来“春天”,中国金融新闻网
2900,2020-10-31,上市银行三季报集体“转暖”,中证报
2901,2020-10-31,六大行三季度业绩环比改善 风险抵补能力保持充足,上证报
2902,2020-10-30,拆解六大行三季报：归母净利润总额8511亿元、不良率上升趋势仍需关注,北京商报
2903,2020-10-30,本周央行及银保监会行政处罚汇总：42家金融机构被罚，合计罚款2846万元 金融监管处罚,Wind
2904,2020-10-30,邮储银行经营业绩显著回升,光明网
2905,2020-10-30,邮储银行石家庄分行被罚126万：未按照规定履行客户身份识别义务 金融监管处罚,新浪
2906,2020-10-30,六大行三季报出炉：工商银行净利润2286.75亿元居榜首 邮储银行净利528.95亿元垫底,金融界
2907,2020-10-30,邮储银行巴州分行：推进银税合作 助力小微企业复工复产,中国金融新闻网
2908,2020-10-30,邮储银行(601658)：利润增速向上 资产质量稳健,新浪
2909,2020-10-30,邮储银行新疆分行：履行社会责任 发力精准扶贫,中国金融新闻网
2910,2020-10-30,邮储银行井冈山市支行:打造优质服务标杆网点,凤凰网
2911,2020-10-30,邮储银行三季末资产规模破11万亿，拨备覆盖率达403.21%,每日经济新闻
2912,2020-10-30,银行概念股早盘异动走强 邮储银行涨逾4%,中国经济网
2913,2020-10-30,邮储银行三季报：实现净利润528.95亿元 拨备覆盖率达403.21％,金融界
2914,2020-10-30,邮储银行前三季度净利微降至528.95亿元，第三季度单季净利同比增长13.59%,零壹财经
2915,2020-10-30,港股盘前必读：中金公司将于11月2日在上交所上市共发行4.59亿股,Wind
2916,2020-10-30,邮储银行20年3季报详细解读：利润增速向上，资产质量稳健【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
2917,2020-10-30,【浙商|银行】邮储银行：利润和资产质量双双超预期,大话金融
2918,2020-10-30,今年银行永续债发行近5000亿元,Wind
2919,2020-10-30,中国银行保险监督管理委员会四川监管局关于换发《中华人民共和国金融许可证》的公告,经济日报
2920,2020-10-30,邮储银行(01658-HK)首三季赚528.44亿元跌2.7%,财华社
2921,2020-10-30,深圳市海王生物工程股份有限公司 关于为控股子公司提供担保实施情况的公告 大额借贷担保,证券时报
2922,2020-10-29,邮储银行第三季度净利润191亿元，资产总额首次突破11万亿,搜狐
2923,2020-10-29,建行、邮储揭开国有行三季报大戏 净利降幅收窄,北京商报
2924,2020-10-29,邮储银行发布三季报服务实体经济成效显著,新华网
2925,2020-10-29,邮储银行前三季度净利润528.95亿元资产总额破11万亿元,北京商报
2926,2020-10-29,邮储银行三季度净利润同比增逾13%，总资产突破11万亿元,澎湃新闻
2927,2020-10-29,紧抓经济复苏回暖机遇 邮储银行经营发展稳中向好,和讯
2928,2020-10-29,邮储银行：三季度单季净利润同比增长13.59%,中证网
2929,2020-10-29,邮储银行前三季度净利润528.95亿元 第三季度单季同比增长13.59%,中证网
2930,2020-10-29,邮储银行(601658.SH)：第三季净利同比增13.48%至191.86亿元,格隆汇
2931,2020-10-29,邮储银行(01658)前三季归母净利528.44亿元 同比减少2.66% 盈利能力下降,智通财经
2932,2020-10-29,邮储银行：前三季度净利润为528.44亿元 同比下降2.66% 盈利能力下降,新浪
2933,2020-10-29,邮储银行：前三季归属于银行股东的净利同比降2.66% 盈利能力下降,e公司
2934,2020-10-29,邮储银行(01658.HK)前三季度净利润达528.44亿元拨备覆盖率403.21%,格隆汇
2935,2020-10-29,邮储银行：第三季度净利润191.86亿元，增长13.48%,Wind
2936,2020-10-29,邮储银行：第三季度净利润191.86亿元同比增长13.48%,格隆汇
2937,2020-10-29,邮储银行湖北省分行被罚156万：未按规定报送可疑交易报告 金融监管处罚,新浪
2938,2020-10-29,邮储银行(01658)建议重选刘悦为非执行董事候选人,智通财经
2939,2020-10-29,破发！破发！数次“史上最大IPO”，风水不太好，蚂蚁能逃离魔咒吗？ 连续下跌,搜狐
2940,2020-10-29,年内银行股最后一波解禁潮来袭，对股价影响几何？ 解禁,第一财经
2941,2020-10-29,特色金融服务助力海南橡胶产业发展,证券导报
2942,2020-10-29,蚂蚁估值超90倍，10倍的大零售银行能否获得溢价？,第一财经
2943,2020-10-29,长亮科技(300348)：Q3收入增长提速 看好长期成长,新浪
2944,2020-10-29,年内银行股最后一波解禁潮来袭，对股价影响几何？,Wind
2945,2020-10-28,年内银行股最后一波解禁潮来袭，对股价影响几何？ 解禁,第一财经
2946,2020-10-28,长亮科技(300348)：大行市场突破 景气东风加持,西南证券
2947,2020-10-28,邮储银行无锡分行被罚没60余万：员工充当信贷掮客 金融监管处罚,银保监会
2948,2020-10-28,无锡银保监局：对邮储银行无锡市分行作出行政处罚，罚没60.3万元 金融监管处罚,Wind
2949,2020-10-28,邮储银行无锡市分行被罚60万：员工违规充当信贷掮客 金融监管处罚,新浪
2950,2020-10-28,代理销售行为不规范 邮储银行宁波分行被罚款45万元 金融监管处罚,中华网
2951,2020-10-28,楚雄州举办普惠小微企业专场融资对接会,中国金融新闻网
2952,2020-10-28,【异动股】邮储银行(01658-HK)跌3.12%,财华社
2953,2020-10-28,智通港股通占比异动统计|10月28日,智通财经
2954,2020-10-28,邮储银行强化金融科技赋能 深入推进零售挖潜增效,中新网
2955,2020-10-28,年内已有9家银行出手稳定股价,财富动力网
2956,2020-10-27,千亿级市值银行，增持0.5亿元稳定股价？股民：搞笑！,南都报
2957,2020-10-27,宁波银保监局：对邮储银行宁波分行作出行政处罚，罚款45万元 金融监管处罚,Wind
2958,2020-10-27,邮储银行宁波分行被罚45万：代理销售行为不规范 金融监管处罚,新浪
2959,2020-10-27,"7成上市银行""破净"" 更有9家出手维稳股价 后续行情咋走？",中国财富网
2960,2020-10-27,邮储银行积极开展“金融知识普及月金融知识进万家争做理性投资者争做金融好网民”活动,新华网
2961,2020-10-27,阴霾散去，才会有晴天！,中金在线
2962,2020-10-27,邮储银行四川省分行成功发放全省首笔“天府科创贷”,金融投资报
2963,2020-10-27,【行情】港股内银股走弱，光大证券跌4.76%，中信银行跌4.36%，民生银行跌3.57%，邮储银行跌3.47%，工商银行与招商银行跌2.52%，农业银行与交通银行跌超2%,金十数据
2964,2020-10-27,【异动股】邮储银行(01658-HK)跌3.71%,财华社
2965,2020-10-27,【港股通】邮储银行获股东增持1057.5万股A股,凤凰网
2966,2020-10-27,港股公告精选：蚂蚁集团将于10月27日-10月30日招股,Wind
2967,2020-10-27,邮储银行(01658.HK)：邮政集团增持1057.5万股A股稳定股价方案实施完成,格隆汇
2968,2020-10-27,稳定股价方案实施完成 邮储银行(01658)获控股股东邮政集团增持1057.5万股A股,智通财经
2969,2020-10-27,邮储银行：完成增持A股0.0122%股份，增持金额约5003万元,Wind
2970,2020-10-27,创鑫激光撤回科创板IPO注册申请，多家知名机构“踩雷” 投资失误,Wind
2971,2020-10-27,中国邮政储蓄银行股份有限公司 关于稳定股价方案实施完成的公告,证券时报
2972,2020-10-26,邮储银行：稳定股价方案实施完成，增持金额约5000万元,Wind
2973,2020-10-26,晚间重要公告2020年10月26日星期一,Wind
2974,2020-10-26,邮储银行：稳定股价方案实施完成 增持金额约5000万元,e公司
2975,2020-10-26,邮储银行黑龙江省分行100亿元支持“大粮仓”再获丰收年,新华网
2976,2020-10-26,解禁潮又来了！这6家银行本周起千亿市值陆续解冻,证券时报
2977,2020-10-26,蚂蚁打新盛宴来袭！顶格申购中签概率或达100%,Wind
2978,2020-10-26,解禁潮又来了！这6家银行本周起千亿市值陆续解冻,Wind
2979,2020-10-24,银行业“银行金融科技”系列深度之六：网商银行如何成为小微之王,新浪
2980,2020-10-24,邮储银行曲家文：数字化转型，让我们先看三个百分之九十,21世纪经济报道
2981,2020-10-23,邮储银行昌吉州分行为复工复产赋能蓄力,中国金融新闻网
2982,2020-10-23,港股盘前必读：陆金所控股更新招股说明书，美国三大股指小幅收涨,Wind
2983,2020-10-23,每日理财观察：新规后1523款理财产品提前终止,Wind
2984,2020-10-23,“送贷上门” 邮储北京分行助力百姓“稳业”“乐业”,北京商报
2985,2020-10-22,邮储银行伊犁州分行：“贷”领农民给力秋收,中国金融新闻网
2986,2020-10-22,大理州金融机构 解难点 疏堵点 连断点 全力支持生猪产业链显成效,中国金融新闻网
2987,2020-10-22,邮储银行云南省分行助力脱贫攻坚与乡村振兴有效衔接,中国金融新闻网
2988,2020-10-22,恒指低开高走收涨0.13%，内银、博彩股发力,Wind
2989,2020-10-22,【行情】港股内银股走强，邮储银行涨4.75%，建设银行涨2.8%，工商银行涨2.4%，招商银行与中国银行涨近2%,金十数据
2990,2020-10-22,内银股再度发力 邮储银行上涨4%工商银行上涨2%,新浪
2991,2020-10-22,港股异动 | 邮储银行(01658)涨4%领涨内银股 高盛称对内银第三季利润持正面态度,智通财经
2992,2020-10-22,【异动股】邮储银行(01658-HK)涨3.17%,财华社
2993,2020-10-22,港股异动丨内银股再度发力邮储银行涨近3%领涨,格隆汇
2994,2020-10-22,邮储银行副行长曲家文:以用户体验为指南针 以网点辐射为助推器,新浪
2995,2020-10-22,齐心集团中标河南邮储银行宣传品采购项目,电商报
2996,2020-10-22,晨会聚焦201022重点关注三花智控、李宁,国信研究
2997,2020-10-22,智通港股通资金流向统计(T+2)|10月22日,智通财经
2998,2020-10-22,保民生扶小微 邮储北京分行在行动,北京青年报
2999,2020-10-21,邮储银行：与京东数科签署全面战略合作协议,e公司
3000,2020-10-21,【异动股】邮储银行(01658-HK)涨3.24%,财华社
3001,2020-10-21,【行情】港股内银股发力，招商银行涨3.23%，民生银行涨2.38%，邮储银行涨1.62%，工商银行与建设银行涨超1.3%,金十数据
3002,2020-10-21,银行业深度：银行并购新浪潮,新浪
3003,2020-10-21,高盛：对内银第3季利润持正面态度 首选招商银行(03968)邮储银行(01658),智通财经
3004,2020-10-21,机构认为银行股性价比逐步提升,中证报
3005,2020-10-21,银行布局区块链最“走心”，多家链上交易额超千亿元,Wind
3006,2020-10-20,头部券商两地上市收官之作！中金公司启动申购,中证报
3007,2020-10-20,邮储银行广东省分行：深耕“普惠”蓝海 特区四十载涵养实体经济发展,21世纪经济报道
3008,2020-10-20,晨会聚焦201020重点关注阳光城、拓邦股份、工业机器人行业、京东数科、拓普集团、兆驰股份、华润微,国信研究
3009,2020-10-20,港股盘前必读：“黑色星期一”第33周年纪念日，美三大股指跌幅均超1.4%,Wind
3010,2020-10-20,邮储银行云南省分行为“蓝天”企业送去金融“活水”,中国金融新闻网
3011,2020-10-19,邮储银行信用卡为提振消费贡献金融力量,银行家杂志
3012,2020-10-19,恒指冲高回落收涨0.64%，银行股延续涨势,Wind
3013,2020-10-19,大摩：料邮储银行(1658.HK)未来60天股价将升评级“增持”,格隆汇
3014,2020-10-19,港股异动 | 邮储银行(01658)涨近5%领涨内银股 9月社融数据超预期 三季度银行经营状况或改善,智通财经
3015,2020-10-19,【异动股】邮储银行(01658-HK)涨3.29%,财华社
3016,2020-10-19,港股盘前必读：蚂蚁集团或下周聆讯，美国赤字占经济比例跃升至16%,Wind
3017,2020-10-19,邮储银行山东潍坊分行　出实招帮助农企解决融资销售难题,中国网
3018,2020-10-18,交通银行股价回到3年前，坏账、盈利、估值面临多方压力,红周刊
3019,2020-10-16,邮储银行广东省分行深耕特区“普惠”蓝海,中国金融新闻网
3020,2020-10-16,邮储银行珠海市分行发展绿色金融助力生态农业,中国金融新闻网
3021,2020-10-16,邮储银行与京东数科签署战略合作协议,Wind
3022,2020-10-16,邮储银行江西省分行：金融助力绘就金秋“美丽画卷”,新华网
3023,2020-10-16,邮储银行与京东数科签署战略合作协议 推进金融数字化转型,新华网
3024,2020-10-16,汇丰研究：予农行(1288.HK)及邮储银行(1658.HK)买入评级,格隆汇
3025,2020-10-16,恒指缩量震荡收涨0.94%，内资大行全线走高,Wind
3026,2020-10-16,内银股飙升：建行、工行涨5%招行涨近6% 发生了什么,新浪
3027,2020-10-16,【行情】港股内银股尾盘持续拉升，光大银行涨6.62%，招商银行、邮储银行涨5.7%，建设银行涨5.5%，工商银行涨4.72%，农业银行、交通银行、中国银行均涨超3%,金十数据
3028,2020-10-16,香港恒生指数午盘涨0.78%，金融和原材料板块领涨,Wind
3029,2020-10-16,【异动股】邮储银行(01658-HK)涨4.89%,财华社
3030,2020-10-16,晨会聚焦201016重点关注计算机、美国四大行三季报、安踏体育,国信研究
3031,2020-10-16,邮储银行携手中国银联首批推出数字银行卡产品,新华网
3032,2020-10-16,交银国际：银行受益于支付热潮 推荐买入招行及邮储银行,新浪
3033,2020-10-16,邮储银行四川省分行与成都东部新区签署全面战略合作协议,金融投资报
3034,2020-10-16,邮储银行武汉分行司法拍卖业务正式上线京东平台,长江商报
3035,2020-10-16,中信建投：中长期看好银行板块估值修复行情,证券时报网
3036,2020-10-15,邮储银行打破“逢笔试必热搜”魔咒，明天建行开考能否再上热搜？,新浪
3037,2020-10-15,邮储银行(01658.HK)10月29日举行董事会议以审批三季度业绩,格隆汇
3038,2020-10-15,邮储银行涨逾3% 领涨内银股,新浪
3039,2020-10-15,港股异动 | 邮储银行(01658)涨近4%领涨内银股 传监管将缓解银行让利的要求,智通财经
3040,2020-10-15,【异动股】邮储银行(01658-HK)涨3.24%,财华社
3041,2020-10-15,【券商聚焦】存款强劲且估值吸引 汇丰予农行、邮储银行买入评级,凤凰网
3042,2020-10-15,汇证指内地银行本季或抢存农行(01288-HK)与邮储银行(01658-HK)料胜同业,财华社
3043,2020-10-15,邮储银行积极推动绿色金融与普惠金融协同发展,中国金融新闻网
3044,2020-10-15,人行黑龙江省宁安市支行助力稳企业保就业,中国金融新闻网
3045,2020-10-14,银行股权投资分析报告：27家银行“破净”，6成股权流拍，银行股权不香了？ 司法拍卖,21世纪经济报道
3046,2020-10-14,送达诉状副本及开庭传票——中国邮政储蓄银行股份有限公司上海奉贤区支行 诉讼纠纷,上海高级人民法院
3047,2020-10-14,晨会聚焦201014重点关注丽人丽妆、交运行业、纺织服装、证券行业、有色行业、汽车行业,国信研究
3048,2020-10-13,数据中的区域金融版图,21世纪经济报道
3049,2020-10-12,邮储银行汉中市分行：强化汽车金融服务,中国金融新闻网
3050,2020-10-12,52家上市银行“中考”成绩单：超半数净利润缩水7家不良率超2% 盈利能力下降,投资时报
3051,2020-10-12,邮储银行加大金融支持力度 全力服务雄安新区建设,新华网
3052,2020-10-12,【异动股】邮储银行(01658-HK)涨4.75%,财华社
3053,2020-10-12,邮储银行武汉市蔡甸区支行被授予“蔡甸区抗击新冠肺炎疫情先进集体”光荣称号,长江商报
3054,2020-10-11,四大国有银行，为何农业银行离职率最高，年龄结构最大,红周刊
3055,2020-10-09,【异动股】邮储银行(01658-HK)跌3.07%,财华社
3056,2020-10-09,银行网点变少影响几何,中国金融信息网
3057,2020-10-09,晨会聚焦201009重点关注医药生物、上海家化,国信研究
3058,2020-10-09,银行网点年内减少500多家 各银行加大网点转型力度,南都报
3059,2020-10-08,银行4季度银行股有哪些催化剂？,中信建投
3060,2020-10-08,哪家上市银行最为优秀？对各大上市银行数据对比解析,搜狐
3061,2020-10-07,信用卡太多导致被单位辞退的案例！,腾讯网
3062,2020-10-03,银行网点变少，影响几何,中国经济网
3063,2020-10-01,四大行终成七大行？央行已经标注，其中一家银行，很多人都没见过,投资家
3064,2020-10-01,稳“就业”助“乐业”,中国金融新闻网
3065,2020-10-01,“小小银行家”参观邮储银行东方支行,证券导报
3066,2020-10-01,金融赋能胶民打造致富“金钥匙”,证券导报
3067,2020-09-30,邮储银行首届“金晖”杯老年摄影大赛落幕,和讯
3068,2020-09-30,邮储银行举办华东地区银行合作论坛,和讯
3069,2020-09-30,邮储银行信用卡为提振消费贡献金融力量,和讯
3070,2020-09-30,邮储银行开展“金融知识普及月 金融知识进万家 争做理性投资者 争做金融好网民”活动,中新网
3071,2020-09-30,普惠小微贷风起：线上化投放成趋势，大行与民营银行联合贷,和讯
3072,2020-09-30,邮储银行参展中国国际金融展 多个项目荣获“银行科技发展奖”,投资者网
3073,2020-09-30,CURRENT AFFAIRS,中国金融新闻网
3074,2020-09-29,央行深圳市中心支行：各银行应多措并举，做实做细深入社区政银企对接,Wind
3075,2020-09-29,邮储银行(01658.HK)注册资本变更获中国银保监会核准,格隆汇
3076,2020-09-29,【解读】压降涉房贷款对大型银行影响几何？,财华社
3077,2020-09-29,邮储银行：银保监会同意本行注册资本变更为869.79亿元,新浪
