,2021-12-31,国君固收：银行转债的投资策略,Wind
638,2021-02-04,A股收盘综述：上证指数跌0.44%，创业板指跌0.72%,Wind
639,2021-02-04,银行股持续逆市走高，机构认为其配置价值凸显丨牛熊眼,第一财经
640,2021-02-04,【招证|银行】长沙银行：最懂湖南，不一样的零售转型道路,志明看金融
641,2021-02-04,解盘：“股王”涨超5%，科技、基本金属、互联网表现低迷,Wind
642,2021-02-04,A股午盘综述：上证指数、创业板指均跌逾1%,Wind
643,2021-02-04,快讯：银行板块表现活跃 成都银行涨幅逾4%,新浪
644,2021-02-04,【行情】银行板块拉升，成都银行涨4%，杭州银行、邮储银行、无锡银行涨3%,金十数据
645,2021-02-04,银行股走强，成都银行大涨5%,Wind
646,2021-02-04,A股融资融券日报：两融余额减少13.1亿元（2月3日）,Wind
647,2021-02-03,快讯 | 成都银行：成都交子无偿划转方式取得银行5279万余股 占该行股份总数1.46%,财经网
648,2021-02-03,成都银行：成都交子金控集团无偿获得1.46%公司股份,Wind
649,2021-02-03,成都银行(601838.SH)：成都交子金控集团拟以无偿划转方式受让公司1.46%股份,格隆汇
650,2021-02-03,【行情】银行板块异动拉升，平安银行涨5%，兴业银行、杭州银行、成都银行、邮储银行等跟涨,金十数据
651,2021-02-03,A股融资融券日报：两融余额增加18.01亿元（2月2日）,Wind
652,2021-02-02,成都银行第三大股东渤海基金拟减持不超6.64％股份 拟减持股份,金融界
653,2021-02-02,国信证券--银行业2021年2月银行业投资策略：企业客户偿债能力持续修复【行业研究】,金融界股吧
654,2021-02-02,成都银行之忧：房贷占比超“红线”！股东拟减持清仓 拟减持股份,国际金融报
655,2021-02-02,成都银行房地产贷款踩红线 第三大原始股东要清仓减持 减持股份,财富动力网
656,2021-02-02,开盘大跌近7%！一边第三大股东清仓式减持，一边17亿股解禁，这家银行如何破局？ 减持股份,券商中国
657,2021-02-01,幸福的烦恼：高瓴持股宁德时代半年浮盈超百亿，减持OR持有？ 减持股份,第一财经
658,2021-02-01,零壹租赁周报(1.25日-1.31日)：2020年租赁公司融资超6000亿；渤海租赁预计2020全年亏损55-79亿元,零壹财经
659,2021-02-01,成都银行：未发现有大量减持计划 ｜公司问答,第一财经
660,2021-02-01,房地产贷款踩红线、第三大股东拟清仓减持，成都银行如何破局 拟减持股份,第一财经
661,2021-02-01,晨会聚焦210201重点关注种业深度报告、中国中免、钢铁、轻工、中芯国际-U、远大医药、中国中药、快手科技、宇通客车、华测检测,国信研究
662,2021-01-31,限售股明天解禁，这家银行今天就接到第三大股东清仓式减持计划！ 拟减持股份,上证报
663,2021-01-31,限售股明天解禁，这家银行今天就接到第三大股东清仓式减持计划！,中国证券网
664,2021-01-31,周末影响A股十大事件，券商称最恐慌时点已过,中国基金报
665,2021-01-31,晚间重要公告2021年1月31日星期日,Wind
666,2021-01-31,成都银行：拟购置房产用于总部办公自用,中证网
667,2021-01-31,成都银行(601838.SH)：股东渤海基金拟减持不超6%股份 拟减持股份,格隆汇
668,2021-01-31,成都银行：股东拟减持不超6.64%公司股份 拟减持股份,中证网
669,2021-01-31,成都银行：股东拟减持公司不超6%股份 拟减持股份,e公司
670,2021-01-31,成都银行：股东渤海基金拟减持公司股份 拟减持股份,Wind
671,2021-01-31,下周解禁：公考第一股、动力电池龙头等迎大规模解禁，2月解禁规模环比增近50%，三六零解禁数量居首 解禁,金融界
672,2021-01-31,宁德时代将解禁433亿元，高瓴资本浮盈120亿元！还有这些股票解禁压力大（附名单） 解禁,中证报
673,2021-01-30,下周1516亿市值限售股解禁，环比增加930.1% 解禁,Wind
674,2021-01-29,2月解禁市值不降反增16.86% 解禁,大众证券报
675,2021-01-29,成都银行、泸州老窖等拟成立一家金融租赁公司,零壹财经
676,2021-01-29,成都银行(601838.SH)：就设立金融租赁公司 与泸州老窖、成都交子金融控股集团已初步达成合作共识,格隆汇
677,2021-01-29,解盘：成交量低迷，航空、白酒、CRO、影视略涨,Wind
678,2021-01-29,银行股早盘集体拉升走高 成都银行领涨,中国经济网
679,2021-01-29,银行股普涨 成都银行涨逾5%,e公司
680,2021-01-29,快讯：银行概念股大幅拉升 成都银行涨6%,新浪
681,2021-01-29,银行股震荡攀升，成都银行领涨4%,Wind
682,2021-01-29,落实普惠小微信用贷款政策 成都银行助企业发展更上一层楼,金融投资报
683,2021-01-29,A股融资融券日报：两融余额减少80.38亿元（1月28日）,Wind
684,2021-01-29,银行晨报（1月29日）,财联社
685,2021-01-28,快讯｜泸州老窖：与成都银行设立成银金租公司 成都银行出资14亿占总股本70%,财经网
686,2021-01-28,快讯｜成都银行：就设立成银金融租赁与泸州老窖、交子金控初步达成合作共识 尚需监管部门批准,财经网
687,2021-01-28,成都银行拟成立金融租赁公司 三方股东已初步达成合作共识,上证报
688,2021-01-28,成都银行拟与泸州老窖、交子金控设立金融租赁公司，持股七成,澎湃新闻
689,2021-01-28,泸州老窖投资设立成银金融租赁公司,中国白酒网
690,2021-01-28,每日梳理 | 1月28日银行业新闻精选,财经网
691,2021-01-28,泸州老窖出资3亿元联合成都银行、交子金控共设成银金融租赁,乐居财经
692,2021-01-27,12家银行2020年净利正增长超预期业绩刺激低估值银行股大涨,财华社
693,2021-01-27,今日起广州四大行房贷整体涨价，有银行暂停房贷业务,21世纪经济报道
694,2021-01-27,今日起广州四大行房贷整体涨价,Wind
695,2021-01-26,上任4个月，苏农银行董事长徐晓军斥资200万增持该行股份,澎湃新闻
696,2021-01-26,成都银行深入开展“同舟行动”激发市场主体活力,金融投资报
697,2021-01-26,解盘：3600点关口再失，鸡猪肉、稀土、影视略涨,Wind
698,2021-01-26,银行股逆势走强，长沙银行冲击涨停,Wind
699,2021-01-26,银行晨报（1月26日）,财联社
700,2021-01-26,盈利趋缓房地产贷款踩红线 迎来新行长的成都银行如何破局？,金融界
701,2021-01-25,高管自掏腰包护价心切 南京银行等多家银行不断抛出增持“绣球”,北京商报
702,2021-01-25,成都银行(601838.SH)：17.05亿股首发限售股2月1日解禁 解禁,格隆汇
703,2021-01-25,【兴证金融 傅慧芳】银行业周报（210118-210124）：20Q4基金小幅加仓银行，21年银行再融资预案首披,兴证金融
704,2021-01-25,国新办发布会及负债质量管理办法解析：4Q20利润增长强劲 坚定银行价值机会,新浪
705,2021-01-25,银行行业跟踪：银行业经营分化 继续看好零售银行及优势区域中小行,新浪
706,2021-01-24,凛冬将至！多家银行被爆停贷！万亿房企债务将到期,21世纪经济报道
707,2021-01-23,房贷新规与信贷变局：房企债务置换有新花样,Wind
708,2021-01-22,成都这家银行的机器人到底好“洋盘”？|走进成都金融科技创新应用,金融投资报
709,2021-01-21,业绩勉强扭亏后再发减持公告新筑股份一股东及一致行动人拟减持1770万股 拟减持股份,和讯
710,2021-01-21,22天赚10亿！“巴菲特接班人”再度抢筹银行股,券商中国
711,2021-01-20,成都银行文创金融助力 开年大剧《紧急公关》是如何熬过疫情的,经济观察报
712,2021-01-20,《紧急公关》热播背后：成都银行积极打造特色文创金融名片,证券日报网
713,2021-01-20,触电黄晓明新剧“紧急公关” 成都银行“文创金融”特色凸显,金融投资报
714,2021-01-20,踩监管红线，股价震荡明显！成都银行2021年拟发行同业存单1150亿,金融界
715,2021-01-20,银行专题报告：投资银行股赚什么钱：复盘与展望,新浪
716,2021-01-20,黄晓明《紧急公关》央视热播的背后,新浪
717,2021-01-20,银行流动性月报：预计1月超储和广义货币均边际收紧,国信研究
718,2021-01-19,上市银行首批业绩快报超预期，A股“三傻”开年成“双雄”,Wind
719,2021-01-18,成都银行(601838)：误判误伤、严重超跌、重申首推,新浪
720,2021-01-18,保险／银行行业周报(第二周),新浪
721,2021-01-18,银行业-金融统计数据新闻发布会及互联网存款新规解析：互联网存款迎新规 坚定银行配置,新浪
722,2021-01-16,股价迭创新高，招行市值赶超建行,Wind
723,2021-01-15,银行股一天涨1800亿，抱团股波动加剧，撤退还是进攻？,券商中国
724,2021-01-15,A股收盘综述：上证指数探底回升涨0.01%，宁德时代等抱团股反弹,Wind
725,2021-01-15,投资风格悄然转换？银行股获主力抢筹、酒类股遭抛售 股票卖空,第一财经
726,2021-01-14,北上深个人按揭房贷额度充足,中证报
727,2021-01-13,留给成都银行的舒服日子不多了,中金在线
728,2021-01-13,金融行业2021年1月投资策略：迎接业绩开门红 加配优质金融股,新浪
729,2021-01-13,成都银行“识人不清”被骗2500万!被告人被判七年,资本邦
730,2021-01-12,成都银行西安被骗贷2500万 借款人无力归还获刑7年 其他违规处罚,中国经济网
731,2021-01-11,成都银行领跌银行板块背后：房地产贷款踩线 减值计提增三成,中国网
732,2021-01-11,银行板块发力拉升，招商银行再创新高，板块有望迎来新一轮行情,证券时报网
733,2021-01-11,重要股东增持排行榜：9股增持金额超千万元,证券时报网
734,2021-01-11,"房地产贷款""踩线""减值计提增三成 成都银行遭抛售周跌幅近12%背后 减持股份",投资者网
735,2021-01-08,成都银行何踩“两红 ”？,云掌财经
736,2021-01-08,247股获机构买入型评级，超六成股价上涨,Wind
737,2021-01-07,2021年1月银行业投资策略：企业偿债能力回升，资产质量改善可期，维持“超配”评级,国信证券
738,2021-01-07,频获股东增持 银行板块料现估值修复行情,中证网
739,2021-01-06,监管划房贷“红线”哪些银行已踩线？,中投网
740,2021-01-06,房地产贷款集中度政策剖析：提升商业银行转型动力,新浪
741,2021-01-06,"成都银行两天跌12% 房贷新规下13.3%占比远超""红线""",中国经济网
742,2021-01-06,成都银行“双标”超限大幅领跌，央行“限贷令”让银行远离地产,云掌财经
743,2021-01-06,银行房地产贷款 占比考核冲击波,21世纪经济报道
744,2021-01-06,房贷“红线”划定后股价集体“飘绿”银行股还香吗？,北京商报
745,2021-01-05,房企融资“三条红线”试点或扩围,Wind
746,2021-01-05,成都银行副董事长何维忠连续两日增持共7万股股份,上证报
747,2021-01-05,成都银行(601838.SH)：副董事长何维忠增持4万股,格隆汇
748,2021-01-05,成都银行房地产贷款占比高出监管新规“红线”13.3个百分点，股价两日跌超10%,搜狐
749,2021-01-05,银行房地产贷款占比考核冲击：7股跌超6%，零售转型逻辑生变？,Wind
750,2021-01-05,44股今日获机构买入评级,证券时报网
751,2021-01-05,利空突袭！金融大象开年大跌 两天没了2800亿,中国基金报
752,2021-01-05,解盘：能源、金融拖累指数，乳业、白酒、猪产业领涨,Wind
753,2021-01-05,银行股尽墨持续回调，银行ETF获资金逆向加仓,Wind
754,2021-01-05,银行板块延续弱势 杭州银行、成都银行跌超4%,e公司
755,2021-01-05,晨会聚焦210105重点关注半导体行业专题、海底捞、信息安全深度剖析、银行行业快评、 成都银行,国信研究
756,2021-01-05,成都银行（601838）深度：天时地利人和,国信研究
757,2021-01-05,银行板块跌势不止，成都银行、招商银行、兴业银行、杭州银行均下挫逾3%,Wind
758,2021-01-05,银行ETF新年首日成交12.14亿元，成当日全市场成交额最大银行ETF,Wind
759,2021-01-05,部分银行股逆市调整 专家：料平稳过渡,中证网
760,2021-01-05,券商首次关注4股并给予买入评级（1月5日）,Wind
761,2021-01-05,32股获券商买入评级，成都银行目标涨幅达52.91%,Wind
762,2021-01-05,房贷新规下银行股大跌，调整资产结构迫在眉睫,Wind
763,2021-01-04,利空发威！4000亿市值蓝筹创半年最大跌幅，板块内“小兄弟”一度逼近跌停，都是房地产贷款惹的祸 连续下跌,中证报
764,2021-01-04,晚间重要公告2021年1月4日星期一,Wind
765,2021-01-04,成都银行今股价跌8% 去年前三季度信用减值损失33亿,中国经济网
766,2021-01-04,成都银行(601838.SH)：副董事长何维忠增持3万股,格隆汇
767,2021-01-04,华西固收：79家银行房地产贷款集中度几何？,固收江坛
768,2021-01-04,A股收盘综述：2021年开门红，上证指数重回3500上方、宁德时代涨15%,Wind
769,2021-01-04,【异动股】银行板块低开，成都银行(601838-CN)跌4.4%,财华社
770,2021-01-04,快讯：银行板块走弱 兴业银行、成都银行跌5%,新浪
771,2021-01-04,【银行*马祥云】详细测算：重磅房地产贷款新规，对招行等主要银行的影响,东吴研究所
772,2021-01-03,银行业：预计信贷投放平稳过渡 银行转型的又一刺激因素《房地产贷款集中度管理制度》简评,新浪
773,2020-12-31,严打资金违规入楼市！节前深圳房贷额度紧张，改善型刚需被“误伤”？,证券时报网
774,2020-12-30,重庆银行回归A股倒计时 每股10.83元是否合理？,中国经济网
775,2020-12-29,资产证券化分析周报：ABS一周市场回顾,新浪
776,2020-12-29,成都银行落实延期还本政策 助力装饰企业产值快速恢复,金融投资报
777,2020-12-25,2021年一季度银行业投资观点：价值凸显 看好银行股投资机会,新浪
778,2020-12-25,51家A股公司获举牌，多只牛股已翻番,Wind
779,2020-12-25,成都银行新行长任职获批 增收不增利资本充足水平下降,GPLP犀牛财经
780,2020-12-24,聚焦经济毛细血管将金融服务做到最后一公里 成都银行获评年度卓越普惠金融银行,经济观察网
781,2020-12-23,成都银行新行长上任，资产质量下滑如何力挽狂澜,网易
782,2020-12-21,银行行业周报：宏观经济政策稳定可持续 行业估值有望持续修复,新浪
783,2020-12-21,以史为鉴，A股春季攻势开始？有何特征、如何布局？,证券时报网
784,2020-12-19,刚刚，重庆银行A股上市拿到最后批文！,中国基金报
785,2020-12-19,西部5500亿银行A股上市获批，H股年内大涨50%,中国基金报
786,2020-12-19,西部金融圈大事！刚刚，5500亿银行A股上市获批，H股年内暴涨50%,中国基金报
787,2020-12-18,最高3.6%！银行活期理财收益打败余额宝,搜狐
788,2020-12-18,地铁五线齐发，成都银行董事长王晖为成都打Call：提供金融要素保障,每日经济新闻
789,2020-12-17,A股融资融券日报：两融余额增加21.56亿元（12月16日）,Wind
790,2020-12-15,新行长任职资格获准，成都银行7210.48万股惨遭流拍 司法拍卖,资本邦
791,2020-12-15,无人出价 成都银行7210.48万股权流拍 司法拍卖,财富动力网
792,2020-12-14,成都银行新行长任职资格获监管批复 7210.48万股权流拍引关注,中投网
793,2020-12-14,A股融资融券日报：两融余额减少57.04亿元（12月11日）,Wind
794,2020-12-12,银行业2020年11月金融数据点评：经济持续复苏 社融维持高位,新浪
795,2020-12-09,当好“金融服务生” 成都银行“同舟行动”解小微融资“渴”,金融投资报
796,2020-12-08,成都银行(601838.SH)：王涛董事、行长任职资格获监管机构核准,格隆汇
797,2020-12-03,龙头股6天5个板，大牛市行情开始了？,上证报
798,2020-12-03,900亿芯片龙头一度闪崩12%，交易所昨晚出手！券商：有望进军4000点,e公司
799,2020-12-02,有券商喊话本月沪指有望冲击4000点。中国平安、兴业银行被8家券商力荐！,证券日报网
800,2020-12-02,A股投资者热情高涨：券商喊话本月沪指冲击4000点 金股全名单,新浪
801,2020-12-02,上市城商行股权也不香了？成都银行超7000万股一拍流拍 司法拍卖,中国经济网
802,2020-12-02,打出信贷组合拳成都银行助实体跑出发展“加速度”,搜狐
803,2020-12-02,深度*公司*成都银行(601838)：乘区位优势东风 看好业务发展空间,新浪
804,2020-12-01,点燃市场热情，定增融资实现0突破，银行股发力行情来了,Wind
805,2020-12-01,成都银行7200万股份作价7.71亿元流拍，股东“怡和系”深陷债务危机 司法拍卖,搜狐
806,2020-12-01,重新聚焦科技成长，热门板块机构2021策略前瞻,Wind
807,2020-12-01,【银行】银行业2021年度策略：老树开新花，厚积以薄发,中银证券研究
808,2020-11-30,岭南股份(002717.SZ)拟向成都银行申请不超4亿元授信额度,格隆汇
809,2020-11-30,金融行业投资观点更新：基本面改善明朗 资金促行情升华,新浪
810,2020-11-30,近700亿市值将解禁 5股解禁比例超50% 解禁,证券时报
811,2020-11-30,近70亿市值将解禁 5股解禁比例超50% 解禁,证券时报
812,2020-11-29,【兴证金融 傅慧芳】银行业周报（2020.11.23-2020.11.29）：货政基调偏紧+贷款定价回升，银行估值修复有望持续,兴证金融
813,2020-11-29,下周49只股解禁 这只食品小白马近80亿市值将解禁意外涨停 解禁,金融界
814,2020-11-29,近80亿市值将解禁，这只食品小白马意外涨停 解禁,证券时报
815,2020-11-29,近80亿市值将解禁 这只股却涨停！这些股下周解禁 解禁,证券时报
816,2020-11-28,监管政策梳理及信用风险展望：消费金融公司十年回顾专题,新浪
817,2020-11-28,下周705亿市值限售股解禁，环比增加95.31% 解禁,Wind
818,2020-11-28,金融股大爆发！宇宙行罕见暴涨近6%，上证50创12年新高！A股风向彻底变了？,中国基金报
819,2020-11-27,A股收盘综述：上证指数涨逾1%，上证50创2008年3月以来新高,Wind
820,2020-11-27,银行业《2020年第三季度中国货币政策执行报告》解析：贷款利率企稳 重视风险防范,新浪
821,2020-11-27,银行股涨幅扩大，成都银行涨超5%,Wind
822,2020-11-27,银行股继续活跃 成都银行涨超5%,新浪
823,2020-11-27,快讯：银行板块早盘活跃 成都银行涨超5%,新浪
824,2020-11-27,银行板块走高 成都银行涨逾5%,上证报
825,2020-11-26,成都银行：成功发行60亿元无固定期限资本债券,Wind
826,2020-11-26,成都银行(601838.SH)完成发行60亿元无固定期限资本债券,格隆汇
827,2020-11-26,多重因素点燃银行股热情，涨势能持续多久？还有多少空间？丨牛熊眼,第一财经
828,2020-11-26,【行情】银行板块拉升，光大银行涨3%，兴业银行、张家港行、成都银行等跟涨,金十数据
829,2020-11-26,成都银行新一代数据中心投产,中国IDC圈
830,2020-11-26,成都银行新一代数据中心达到国标A级机房标准,中国金融新闻网
831,2020-11-25,当下操作策略,华安证券订阅号
832,2020-11-25,紧追互联网扩张脚步 成都银行“云化”打造新数据中心,金融投资报
833,2020-11-24,成都银行(601838.SH)：24.425万股限售股11月30日解禁 解禁,格隆汇
834,2020-11-24,第三季度净利下降！成都银行超7000万股权遭拍卖，业绩能否支撑拍卖定价？ 盈利能力下降,投资时报
835,2020-11-24,经济回暖业绩向好 机构看好银行股反弹,财富动力网
836,2020-11-20,成都银行困局：关联交易隐忧初现 个贷不良率5年猛增逾3倍,科技新闻网
837,2020-11-19,银行行业月报：宏观持续修复 政策利率稳定,新浪
838,2020-11-19,银行股明年还能涨吗？听听机构怎么说丨牛熊眼,腾讯网
839,2020-11-18,【研报掘金】信用风险缓释长周期逐渐步入尾期 银行板块估值修复有望建议积极布局,证券时报网
840,2020-11-17,764亿！美国银行业大手笔收购来了，作价20倍市盈率，银行股集体大涨！,证券时报网
841,2020-11-16,华泰证券：银行业柳暗又花明 危机促转机,新浪
842,2020-11-15,银行业周报：二级资本债首次触发减记 社融高增支撑行业景气度上行,新浪
843,2020-11-13,怡和系因“高息贷款”陷债务危机，持有成都银行7210万股被拍卖，曾牵涉17家银行 资产查封,21世纪经济报道
844,2020-11-13,解盘：金融、消费拖累指数，锂钴矿、稀土永磁、军工略涨,Wind
845,2020-11-12,2020年10月金融统计与社会融资规模数据解析：社融符合预期 贷款增速略降,新浪
846,2020-11-11,多路资本买买买，举牌“飞出”金凤凰,Wind
847,2020-11-11,四川怡和卖股偿债 都是高利贷惹的祸,金融投资报
848,2020-11-10,四川怡和败于“高利贷”拍卖成都银行股权偿债 资产查封,金融投资报
849,2020-11-10,成都银行超7000万股将被拍卖，消费贷不良率高达21% 资产查封,零壹财经
850,2020-11-10,超7000万股被拍卖 成都银行消费贷不良增至21.1% 资产查封,北京商报
851,2020-11-10,成都银行深陷“泥潭”：三股东无力偿债 股份遭“强制拍卖”,资本邦
852,2020-11-10,零售金融周报(11.2日-11.8日)：消费金融、汽车金融公司拨备覆盖率获准降至130%；兴业消金第二大股东易主,零壹财经
853,2020-11-10,成都银行个贷不良激增 超7000万股将被拍卖 资产查封,北京商报
854,2020-11-10,超7000万股拍卖 成都银行个贷不良激增 司法拍卖,北京商报
855,2020-11-10,超7000万股拍卖 成都银行个贷不良激增 资产查封,北京商报
856,2020-11-09,超7000万股将遭拍卖背后 成都银行个贷业务藏隐忧 资产查封,北京商报
857,2020-11-09,保险恶意投诉有三大新变化 成都银行部分股权将以7.7亿元被拍卖 资产查封,国际金融报
858,2020-11-09,14家城商行前三季度业绩：5家利润超100亿 郑州银行不良贷款率最高为2.1%,挖贝网
859,2020-11-09,成都银行7200万股股份被司法拍卖 因股东陷债务危机 司法拍卖,21世纪经济报道
860,2020-11-09,总部位于四川成都的成都银行，3家股东所持股权被成都中院强制拍卖，起拍价约为7.71亿元。 司法拍卖,21财经
861,2020-11-09,成都银行7.71亿股被司法拍卖 因股东陷债务危机 司法拍卖,21世纪经济报道
862,2020-11-09,怡和集团等三公司因陷债务危机 所持成都银行股份被拍卖 违约失信,21世纪经济报道
863,2020-11-09,成都银行7210万股被司法拍卖 因股东陷债务危机 司法拍卖,21世纪经济报道
864,2020-11-09,民企股东陷债务危机，成都银行部分股权将以7.7亿元被拍卖 违约失信,Wind
865,2020-11-09,成都银行7201万股7.71亿元强制拍卖 四川资本大鳄陷入困境 资产查封,重庆商报
866,2020-11-09,7.71亿三公司所持成都银行7201万股被强制拍卖,重庆商报
867,2020-11-06,银行股进入估值修复期 高管密集主动增持,时代在线
868,2020-11-06,三季报聚焦｜成都银行个人银行业务结构单一 消费贷不良率超20%,金融界
869,2020-11-06,14家A股城商行前三季净利939亿 贵阳银行等5家负增长,中国经济网
870,2020-11-05,银行板块转跌，两市股指收窄涨幅,Wind
871,2020-11-04,三季度核心盈利指标向上，银行板块发力拉升，招商银行再创新高,证券时报网
872,2020-11-04,银行业三季报印证改善预期，上市银行业绩拐点已来？,第一财经
873,2020-11-04,蚂蚁概念股领跌，银行板块跳空高开走强,Wind
874,2020-11-04,【行情】银行股多股高开，成都银行、平安银行、招商银行等涨2%，兴业银行、宁波银行等行逾1%,金十数据
875,2020-11-03,前三季度A股上市城商行8家不良率下降，6家资本充足率下降,澎湃新闻
876,2020-11-03,【研报掘金】银行利润增速三季度已见拐点 四季度估值切换窗口打开建议超配银行板块,证券时报网
877,2020-11-03,银行股盘中拉升 成都银行涨超5%,e公司
878,2020-11-03,银行股拉升，招商银行、成都银行、平安银行领涨,Wind
879,2020-11-03,银行三季度业绩表现企稳向好，服务实体经济力度加大,Wind
880,2020-11-02,息差收窄大势所趋，中小银行该如何腾挪？,Wind
881,2020-11-01,成都银行前三季资本充足率下降拟发行60亿债券充实资本,GPLP犀牛财经
882,2020-10-30,【万联银行 | 季报点评】成都银行：手续费收入快速增长 资产质量保持稳定,万联证券研究所
883,2020-10-30,【成都银行】实质业绩增速上升，资产质量持续改善,志明看金融
884,2020-10-29,成都银行前三季度信用减值损失33亿 资本充足率下滑,中国经济网
885,2020-10-29,成都银行：2020年前三季度净利润约42亿元,中投网
886,2020-10-29,成都银行存贷款规模快速扩张 前三季度营收同比增长12%,证券时报网
887,2020-10-29,成都银行前三季度净利润增4.81%，不良率降至1.38%,澎湃新闻
888,2020-10-28,成都银行三季报出炉 不良贷款率降至1.38%,和讯
889,2020-10-28,成都银行前三季度净利润42亿元 不良贷款率降至1.38%,北京商报
890,2020-10-28,成都银行(601838.SH)：前三季净利升4.81%至42.00亿元,格隆汇
891,2020-10-28,成都银行：前三季度净利润同比增长4.81%,Wind
892,2020-10-28,成都银行：前三季净利同比增长4.81%,e公司
893,2020-10-28,低利率续贷助企业纾困 成都银行落实央行延期还款红利,金融投资报
894,2020-10-28,【行情】银行板块分化，厦门银行、常熟银行跌停，成都银行、无锡银行、上海银行跌幅居前，仅平安银行上涨,金十数据
895,2020-10-28,常熟银行封住跌停板，上海银行、无锡银行、成都银行均跌超2%,Wind
896,2020-10-28,解盘：大盘止跌，白酒、品牌龙头、光伏屋顶、锂电池领涨,Wind
897,2020-10-27,拨备计提拖累效应减缓 银行三季度业绩迎拐点,上证报
898,2020-10-26,快讯：银行板块持续下跌 宁波银行、成都银行跌超4% 连续下跌,新浪
899,2020-10-24,【兴证金融 傅慧芳】银行业周报（10.19-10.25）:Q3业绩料边际改善，央行监管职责大幅扩围,兴证金融
900,2020-10-23,【行情】银行板块午后持续走高，成都银行、平安银行涨5%,金十数据
901,2020-10-23,解盘：资金小额流入，大基建、白酒、充电桩、航母领涨,Wind
902,2020-10-23,【A股午盘综述】上证指数半日升0.13%，金融板块走俏、平安银行再创新高,Wind
903,2020-10-23,银行股再度拉升，银行ETF一度涨1.6%,Wind
904,2020-10-22,违反账户管理规定 成都银行百万罚单后再被罚 金融监管处罚,新浪
905,2020-10-21,金融一线丨违反账户管理规定行为 成都银行被罚2.5万元 金融监管处罚,新浪
906,2020-10-21,A股收盘综述：创业板综指收跌1.73%，创业板成交金额连续两日超沪市,Wind
907,2020-10-21,银行股逆市走强，银行ETF涨超1.7%,Wind
908,2020-10-21,快讯：银行板块再度拉升 成都银行涨超5%,新浪
909,2020-10-21,银行股午后再度拉升 成都银行涨超5%,e公司
910,2020-10-21,银行股午后集体异动走强 成都银行涨逾3%,中国经济网
911,2020-10-21,银行、保险板块拉涨，成都银行涨超5%,Wind
912,2020-10-21,银行板块再度走强,Wind
913,2020-10-21,成都银行内江分行被罚2.5万：违反账户管理规定 金融监管处罚,新浪
914,2020-10-21,成都银行内江分行3宗违法遭罚 虚报瞒报金融统计数据 金融监管处罚,中国经济网
915,2020-10-20,央行成都分行：对成都银行内江分行作出行政处罚，罚款2.5万元 金融监管处罚,Wind
916,2020-10-19,立足成都，助力成渝 成都银行为地方经济发展贡献“金融力量”,每日经济新闻
917,2020-10-19,量子科技全面爆发，指数涨逾5%！机构：沪指将冲击3500点？,中证报
918,2020-10-18,银行业-商业银行法修改建议稿发布点评：推动供给侧改革 重视公司治理,新浪
919,2020-10-17,煤炭、银行股领衔低估值板块逆势崛起哪些基金值得关注?,财富动力网
920,2020-10-17,《商业银行法》时隔五年再迎大修，看8大要点,Wind
921,2020-10-17,市场信心逐渐恢复，银行股迎来修复行情,Wind
922,2020-10-16,A股收盘综述：上证指数缩量小涨因主力资金杀入银行股，本周累升约2%,Wind
923,2020-10-16,解盘：消费拖累指数，煤炭、次新、低价、ST股略涨,Wind
924,2020-10-16,全线飘红！银行股攻势再起，机构首推“两小两中”组合丨牛熊眼,第一财经
925,2020-10-16,A股午盘综述：上证指数半日跌0.28%，动力电池、半导体硅片板块领跌,Wind
926,2020-10-16,银行板块攻势再起 成都银行大涨逾7%,上证报
927,2020-10-16,大金融板块异动,Wind
928,2020-10-16,银行股再次领涨，银行ETF放量上涨1.3%,Wind
929,2020-10-16,【行情】银行股拉升，成都银行、兴业银行、平安银行、长沙银行、光大银行等集体涨2%,金十数据
930,2020-10-16,【港股行情】银行股拉升，成都银行、兴业银行、平安银行、长沙银行、光大银行等集体涨2%。,--
931,2020-10-15,【研报掘金】低估值与经济复苏共振 银行股有望否极泰来应积极看多,证券时报网
932,2020-10-15,外资小幅流入：22亿主力买入银行股 恒生电子遭卖出超6亿,新浪
933,2020-10-15,解盘：金融拉指数，半导体、新能源汽车、卫星互联网略涨,Wind
934,2020-10-09,银行业三季报前瞻：人间正道是沧桑,新浪
935,2020-09-30,成都银行(601838.SH)董事会通过关于设立绵阳分行并购置营业房的议案,格隆汇
936,2020-09-30,成都银行60亿永续债获批，资本充足率连续两年下滑,搜狐
937,2020-09-30,板块破净率近七成，机构把脉银行股价值,Wind
938,2020-09-29,成都银行：正在推进总额不超过60亿元的无固定期限资本债券申报发行工,格隆汇
939,2020-09-29,[公司]成都银行：60亿元永续债获央行批准,全景网
940,2020-09-28,成都银行：获准发行不超过60亿元无固定期限资本债券,中证网
941,2020-09-28,成都银行(601838.SH)发行无固定期限资本债券获央行核准,格隆汇
942,2020-09-28,时代热评 | 新网银行二季度净利大缩水，新行长江海业内经历刚满5年 盈利能力下降,时代在线
943,2020-09-28,银行行业：LPR报价不变 银行板块仍具防御性,新浪
944,2020-09-27,非银行金融／银行行业周报(第三十九周),新浪
945,2020-09-27,佳发教育(300559.SZ)为全资子公司提供5500万元的保证担保 大额借贷担保,智通财经
946,2020-09-27,银行到底降薪没？苏农银行上半年平均薪酬近38万,每日经济新闻
947,2020-09-25,[路演]成都银行：与恒大相关企业无贷款业务,全景网
