,2021-12-31,盘点公募基金2021年十大事件,第一财经
4008,2021-04-05,股份制银行抢跑私人银行新赛道,中国金融新闻网
4009,2021-04-05,近230万银行人的薪酬“曝光”，创收能力也显露出来！,中国基金报
4010,2021-04-05,"银行""打工人""薪资大曝光：平安57万，招行53万，中信、兴业大幅加薪了！",中国基金报
4011,2021-04-05,《系统重要性银行附加监管规定(试行)(征求意见稿)》点评：精细化监管 大行安全垫更足 中小银行资本补充压力渐显,新浪
4012,2021-04-05,陆家嘴财经早餐2021年4月5日星期一,Wind
4013,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,Wind
4014,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,中证报
4015,2021-04-04,市场风向突变得太快了,云掌财经
4016,2021-04-04,5家上市银行个人房贷超标，还有多家逼近红线,Wind
4017,2021-04-04,5家上市银行个人房贷超标！还有多家逼近红线，监管部门强调房地产金融审慎管理,中证报
4018,2021-04-04,直销银行迎来“三国杀”，业务被股东“抢食”的百信银行如何突围？,环球老虎财经
4019,2021-04-03,私人银行大爆发，95万客户资产达15万亿！招行规模直逼3万亿,格隆汇
4020,2021-04-03,北上资金3月大幅加仓银行，持股集中度连续下降,上游新闻
4021,2021-04-03,重磅出炉！猛增2.46万亿，私行财富大爆发！客户近百万，规模直奔15万亿，更有猛增超50%！最新排名来了，网友：股市又立功了！,中国基金报
4022,2021-04-03,北向资金丨本周扫货重点曝光，中国平安获加仓10亿元,第一财经
4023,2021-04-03,【招商策略】大幅加仓银行，持股集中度连续下降——2021年3月陆股通持股分析,招商策略研究
4024,2021-04-03,支持实体，信贷结构如何优化,经济日报
4025,2021-04-03,外资突然跑了！3天狂卖A股100亿，万亿巨头却火了：被逆势加仓10亿,中国基金报
4026,2021-04-02,十年上市银行排位赛 宁波银行净利润增幅超362%,上证报
4027,2021-04-02,A股资金面日报：68亿主力资金净流入电子行业 机构资金净买入11只股,中金在线
4028,2021-04-02,发生了什么？3天外资突然狂卖100亿！万亿龙头火了：聪明钱爆买10亿,证券时报网
4029,2021-04-02,【中信建投金融】银行业2020年报综述：轻装上阵，基本面确定性向上,大金融研究
4030,2021-04-02,2021年4月银行业投资策略：工业企业偿债能力持续回升,新浪
4031,2021-04-02,【专栏】民生与招行：十年之后,零壹财经
4032,2021-04-02,银行2020年年报综述：利润增速大幅转正 资产质量显着改善,新浪
4033,2021-04-02,直销银行迎来三国杀：百信先行邮惠万家下沉 拓扑背靠零售之王,新浪
4034,2021-04-02,远超宇宙行！农行一年工资发出568亿 平安银行人均年薪44.5万,搜狐
4035,2021-04-02,14家银行房贷业务面面观：浦发成功压降至红线内 数家银行仍“超限” 但预计可顺利达标,金融界
4036,2021-04-02,14家银行房贷业务面面观：建行等5家银行部分指标超红线,财联社
4037,2021-04-02,A股融资融券日报：两融余额减少7.5亿元（4月1日）,Wind
4038,2021-04-02,银行零售竞争白热化 第一梯队AUM增长强劲,第一财经日报
4039,2021-04-01,监管加码 龙头股遭主力抛售近10亿元 机构却仍然推荐这些银行股 股票卖空,第一财经
4040,2021-04-01,银行零售竞争白热化，招行私行继续领跑,第一财经
4041,2021-04-01,金融业薪酬大比拼：去券商做打工人，去保险做高管,Wind
4042,2021-04-01,上市银行业绩大比拼！哪家银行吸金最猛？哪家股东回报最高？,南都报
4043,2021-04-01,聚焦年报|财富管理业务赚的“盆满钵满”银行去年基金代销、理财产品收益颇丰,证券之星
4044,2021-04-01,晚间重要公告2021年4月1日星期四,Wind
4045,2021-04-01,工行、建行、招行 谁是基金业务的“王中王”？,新浪
4046,2021-04-01,“零售王座”变更 建行成“新王”,新浪
4047,2021-04-01,公募高光时刻！行业管理费激增近五成，这两家为持有人赚钱超千亿,搜狐
4048,2021-04-01,行业观察 | 改革激发活力 转型创造动力,财经杂志
4049,2021-04-01,招商银行：李德林副行长的任职资格已获得核准,Wind
4050,2021-04-01,最猛大赚近25亿！银行理财子公司盈利排名来了，更有这些大动作！,中国基金报
4051,2021-04-01,多家银行房贷占比踩线 购房者提前拿贷款要花钱插队,时代周报
4052,2021-04-01,2021金融服务创新与客户体验峰会圆满结束,云掌财经
4053,2021-04-01,息差收窄盈利承压 银行竞逐财富管理新赛道,中证网
4054,2021-04-01,险资对A股核心资产不离不弃 国寿连续三季度增持贵州茅台,证券日报
4055,2021-04-01,【兴证金融 傅慧芳】金融板块AH股折溢价分析和择时策略,兴证金融
4056,2021-04-01,民生与招行：十年之后,新浪
4057,2021-04-01,A股融资融券日报：两融余额增加7.31亿元（3月31日）,Wind
4058,2021-04-01,金融“打工人”必看：银行薪酬哪家强？这家人均52万！,21世纪经济报道
4059,2021-04-01,银行理财子公司业绩大PK，盈利能力哪家强？,金融界
4060,2021-04-01,【中原银行】银行行业月报：年报陆续发布，积极关注低估值次优板块,中原证券研究所
4061,2021-04-01,青云科技黄允松： 从“码农”到上市公司董事长,长江商报
4062,2021-04-01,晨报0401 | 银行四月策略、三一重工（600031）、中联重科（000157）、中国神华（1088）,国泰君安证券研究
4063,2021-04-01,数字化转型不断深入 银行科技投入持续增长,新浪
4064,2021-04-01,净买入额两连增，融资客积极调仓,Wind
4065,2021-04-01,险资对A股核心资产不离不弃，国寿连续三季度增持贵州茅台,Wind
4066,2021-04-01,理财子公司答卷成绩佳，盈利倍增不稀罕,Wind
4067,2021-04-01,息差收窄盈利承压，银行竞逐财富管理新赛道,Wind
4068,2021-04-01,见证历史，2020年基金狂赚20000亿！最全排名来了,Wind
4069,2021-03-31,大行争霸：建行离工行还有多远？,新浪
4070,2021-03-31,A股资金面日报：北向资金本月净买入187.10亿 龙虎榜机构抢筹10股,中金在线
4071,2021-03-31,六大行去年日赚31.2亿，不良“双升”，建行零售利润占比超过招行｜看财报,钛媒体
4072,2021-03-31,建行、邮储、招行等多家银行个人房款占比超标，调结构在路上,第一财经
4073,2021-03-31,建行、邮储、招行等多家银行个人房贷占比超标，调结构在路上,第一财经
4074,2021-03-31,金融“打工人”必读！银行薪酬哪家强？最新数据出炉,21世纪经济报道
4075,2021-03-31,招商银行现1笔大宗交易 共成交510.00万元,新浪
4076,2021-03-31,招商银行今日大宗交易成交10万股，成交价51.0元折价0.2%,Wind
4077,2021-03-31,北向资金今日净卖出79.03亿元，净卖出前三个股为三一重工、宁德时代、爱尔眼科,Wind
4078,2021-03-31,【招商证券】兴业银行：ROE领先，资产质量优异,志明看金融
4079,2021-03-31,上市银行公布年度分红预案 招商银行股息率最低 不及五年定期利率,上游新闻
4080,2021-03-31,张坤：评价一个投资人至少需要10年的维度,Wind
4081,2021-03-31,金融研究丨2020年信用卡不良率大增13%，半年未偿信贷总额838.64 亿元,21世纪经济报道
4082,2021-03-31,21财报丨12家主要银行净息差下降 存款利率如何再优化？,21世纪经济报道
4083,2021-03-31,金融研究丨12家主要银行净息差下降 存款利率如何再优化？,21世纪经济报道
4084,2021-03-31,超70亿元贷款助力“千鹰展翼” 招商银行南京分行全力打造小微服务“金字招牌”,大众证券报
4085,2021-03-31,险资最新重仓股名单曝光：最青睐金融板块 权益投资成绩靓丽,中证报
4086,2021-03-31,涉房贷款去年仍增长较快！多家银行表态：将合理控制增速,中投网
4087,2021-03-31,百亿级私募大佬买公募基金！林园等人看上了谁？,Wind
4088,2021-03-31,注意!6家银行2020年基金代销合计近2万亿元,资本邦
4089,2021-03-31,招商银行等4股获融资净买入超亿元,证券时报网
4090,2021-03-31,融资客青睐6股，奥来德买入占比高达56.26%,Wind
4091,2021-03-31,A股融资融券日报：两融余额增加14.28亿元（3月30日）,Wind
4092,2021-03-31,基金业盈利曝光：汇添富净利近26亿直逼一哥易方达,Wind
4093,2021-03-31,每日理财观察：小米官宣造车，雷军挂帅,Wind
4094,2021-03-31,招行VS平安：真实差距与想象空间,新浪
4095,2021-03-31,兴业银行(601166)：资产质量全面夯实 商行+投行扬帆启航,新浪
4096,2021-03-31,重磅！九大明星基金经理最新持仓和后市观点来了,Wind
4097,2021-03-31,银行涉房贷款2020年度仍较快增长，建行、兴业、招商、邮储均表态将合理控制增速,Wind
4098,2021-03-31,权益投资“出彩”，险资最新重仓股名单曝光,Wind
4099,2021-03-31,部分银行净值化理财产品占比已超七成，投资者教育应更接地气,Wind
4100,2021-03-31,银行涉房贷款2020年度仍较快增长 建行、兴业、招商、邮储 均表态将合理控制增速,21世纪经济报道
4101,2021-03-30,【中信建投银行杨荣】行业简评：《经营贷加强管理， 未来零售将偏消费》,eResearch杨荣团队
4102,2021-03-30,银行涉房贷款2020年度仍较快增长 建行、兴业、招商、中信、邮储上限超标,21世纪经济报道
4103,2021-03-30,大行对决，工行与建行谁将胜出？,丁丁创e
4104,2021-03-30,重磅！“千亿顶流”基金隐形重仓股名单来了,Wind
4105,2021-03-30,连续7日净买入招商银行获沪股通净买入22.32亿元,证券时报网
4106,2021-03-30,“公募一哥”张坤隐形重仓股出炉，称对资本市场长期前景乐观,澎湃新闻
4107,2021-03-30,招商银行落地首笔电证福费廷资产交易业务,财经网
4108,2021-03-30,科技“再造”银行零售生态：信用卡成突破口财富管理是新高地,云掌财经
4109,2021-03-30,股息率最高49%，高股息率高增长股名单出炉,Wind
4110,2021-03-30,招银理财与摩根资产管理合作的目标日期理财产品公开认购,Wind
4111,2021-03-30,张坤、刘格菘……顶流基金经理“隐形重仓股”曝光,Wind
4112,2021-03-30,5家全国性股份行科技投入对比：浦发银行倒数第二 光大银行垫底,科技新闻网
4113,2021-03-30,上市银行成绩单出炉：行业净利润有所下降 整体运行平稳 盈利能力下降,金融时报
4114,2021-03-30,银行行业跟踪：年报验证基本面上行趋势 估值中枢有望进一步抬升,新浪
4115,2021-03-30,A股融资融券日报：两融余额增加33.36亿元（3月29日）,Wind
4116,2021-03-30,盘前情报丨知名基金经理“隐形重仓股”曝光；“黑色系”上涨行情能否持续？,21世纪经济报道
4117,2021-03-30,北向资金净卖出58亿元，逆势加仓银行股（名单）,21世纪经济报道
4118,2021-03-30,破浪前行 上市银行运行整体平稳,新浪
4119,2021-03-29,“聪明资金”近7日加仓这些个股 招商银行获青睐,第一财经
4120,2021-03-29,【招商策略】无风险利率下降，美元指数持续回升——金融市场流动性与监管动态周报(0329),招商策略研究
4121,2021-03-29,A股资金面日报：食品饮料等6个行业获主力资金净流入 机构净买入11只股,中金在线
4122,2021-03-29,北向资金今日净流出58.42亿元 大幅净买入招商银行5.70亿元,中金在线
4123,2021-03-29,招商蛇口：子公司重庆依城为重庆依港提供担保，金额4亿元 大额借贷担保,Wind
4124,2021-03-29,通信行业周报2021年3月第5期：2020年运营商全面改善 2021年有望继续向上,新浪
4125,2021-03-29,招商银行首届金葵花财富热度榜发布,中国金融新闻网
4126,2021-03-29,【银行视点】建行2020年净利2710.5亿，招行等73股连续5天被增持，徽商银行净利润首次负增长！,金融界
4127,2021-03-29,北向资金净卖出58.42亿元，招商银行获净买入5.7亿元居首,Wind
4128,2021-03-29,微信支付宝迎劲敌：华为拿下支付牌照！美团称近期运营亏损持续！ 亏损,搜狐
4129,2021-03-29,股王被“甩出几条街”！A股高分红大曝光,Wind
4130,2021-03-29,A股资金流向（3月29日）：板块效应较弱，资金精做个股,Wind
4131,2021-03-29,首届“金葵花财富热度榜”发布 招行着力打造“大财富管理平台”,经济日报
4132,2021-03-29,银行业周报：多政策促改革 经营贷再规范,新浪
4133,2021-03-29,招商银行北京分行发布2020年度金葵花财富热度榜,中证网
4134,2021-03-29,头部银行系基金公司利润增速惊人，公募上演龙头逻辑,Wind
4135,2021-03-29,张夏：从2月经济数据看一季报可能超预期的领域,Wind
4136,2021-03-29,银行业经营环境稳定，推荐两条投资主线,中信证券
4137,2021-03-29,A股融资融券日报：两融余额增加7.98亿元（3月26日）,Wind
4138,2021-03-29,刘彦春等多位明星基金经理隐形重仓股曝光,Wind
4139,2021-03-29,多只百亿次新基金跌破“面值”,Wind
4140,2021-03-29,去年银行公募基金销量可观 多家同比增幅超100%,中国基金报
4141,2021-03-29,7家银行理财子公司交卷：吸金谁最强,北京商报
4142,2021-03-28,7家银行理财子公司交卷：业绩分化明显 新年有何打法,北京商报
4143,2021-03-28,公募基金迎来“最好时代”，行业马太效应加剧,Wind
4144,2021-03-28,银行业：受益于顺周期和紧信用 重申银行估值反转,新浪
4145,2021-03-27,去年新基金太火，多家银行代销规模增200%,Wind
4146,2021-03-27,中信银行零售再突围全力占领财富管理高地,经济观察报
4147,2021-03-27,北向资金丨本周扫货重点曝光，招商银行获加仓近14亿元,第一财经
4148,2021-03-27,北向资金大幅抄底A股！这些个股被大比例加仓,21世纪经济报道
4149,2021-03-27,招商银行的B面：监管点评 用户投诉 信用卡业务不良率连续3年上升 资产异常,GPLP犀牛财经
4150,2021-03-26,银行降薪了！有银行人均降薪4.6万,丁丁创e
4151,2021-03-26,九卦 | 谁将成为财富管理的“黑马”？,搜狐
4152,2021-03-26,零售贡献营收首次超四成中信银行出招“全财富管理”,经济观察报
4153,2021-03-26,新一轮财富爆发式增长在即 谁能抢跑新赛道？,新浪
4154,2021-03-26,近150亿资金杀向抱团股，抢筹名单来了！,Wind
4155,2021-03-26,金融街下午茶2021年3月26日星期五,Wind
4156,2021-03-26,北向资金今日净买入64.3亿元，五粮液获大幅净买入7.82亿元,Wind
4157,2021-03-26,以金融科技助力行业生态共营 招商银行携手万物云引领行业发展,金融界
4158,2021-03-26,A股主力资金流向：周五大幅流入本周仍净流出千亿,Wind
4159,2021-03-26,3月26日主力资金净流入192亿元,证券时报网
4160,2021-03-26,以工匠心做专业事 记“全国十大金融工匠”倪见,中国金融新闻网
4161,2021-03-26,10只百亿爆款新基金净值跌破1元！机构花式留客,Wind
4162,2021-03-26,景林高毅新基金大卖200亿！看两大私募最新观点,Wind
4163,2021-03-26,A股融资融券日报：两融余额减少40.24亿元（3月25日）,Wind
4164,2021-03-26,16只高增长个股获机构高频买入推荐,Wind
4165,2021-03-26,险资四季度调仓新动向：坚定持有核心资产，布局顺周期股,Wind
4166,2021-03-25,“零售之王”赚钱难！主要盈利指标收窄、信用卡不良率连续飙升为1.66%，招行去年投诉量却高居榜首！ 资产异常,中国网
4167,2021-03-25,A股主力资金流向（3月25日）：资金加速逃离面板、碳中和概念股,Wind
4168,2021-03-25,银行理财二手市场会“凉”吗？或与理财净值化转型相关,中投网
4169,2021-03-25,李迅雷：全面牛市没有了 全面通胀也成为奢望,券商中国
4170,2021-03-25,“国家队”调仓，重点买入和加仓这些股（附名单）,Wind
4171,2021-03-25,孙彬彬：市场能否摆脱纠结困境？,Wind
4172,2021-03-25,每日理财观察：欧亚大动脉被“切断”！最新情况来了,Wind
4173,2021-03-25,A股融资融券日报：两融余额减少14.15亿元（3月24日）,Wind
4174,2021-03-25,招商银行 VS 平安银行，银行优等生的追赶与突围,零壹财经
4175,2021-03-24,招商银行3月24日大宗交易成交737.59万元,证券时报网
4176,2021-03-24,芯片缺货潮愈演愈烈，已经蔓延至安防领域,Wind
4177,2021-03-24,招商银行今日大宗交易成交14.13万股，成交价52.2元溢价0.0%,Wind
4178,2021-03-24,北向资金今日净买入50.06亿元，药明康德净买入额创历史新高,Wind
4179,2021-03-24,启动IPO的招联金融申请发行金融债额度加码 去年业绩“踩刹车”,投资时报
4180,2021-03-24,银行陆续下架理财转让业务的原因找到了：曾分批次收到监管通知,Wind
4181,2021-03-24,招行高层详解“大财富管理”,金融界
4182,2021-03-24,招商银行2020年净利增速同比下滑10.74个百分点 个人住房贷款占比超监管要求 盈利能力下降,中国网
4183,2021-03-24,银行为何力推信用卡分期？,金融界
4184,2021-03-24,招联消金近4年收入增速大幅放缓 IPO研究工作即将启动 盈利能力下降,GPLP犀牛财经
4185,2021-03-24,巨额亏损 上市募资仅为预期58% 上市救的了缺钱的青云科技吗？ 预亏,GPLP犀牛财经
4186,2021-03-24,招行管理层详解未来5年业务主线规划,中国金融新闻网
4187,2021-03-24,【异动股】招商银行(03968-HK)跌3.1%,财华社
4188,2021-03-24,大华继显上调招商银行目标价至71港元，评级升至买入,Wind
4189,2021-03-24,陆股通周监控第81期：配置盘继续逆势增配,新浪
4190,2021-03-24,A股融资融券日报：两融余额减少26.31亿元（3月23日）,Wind
4191,2021-03-24,最新分红10股派现超净利润，股息率超10%仅2股,Wind
4192,2021-03-24,重仓股名单出炉，私募大佬也“长情”,Wind
4193,2021-03-24,从房价与房租背离角度看通胀：全面牛市没有了 全面通胀也成为奢望,李迅雷金融与投资
4194,2021-03-23,转向新赛道“零售之王”的下一站,经济观察报
4195,2021-03-23,百亿私募重仓股曝光！抄作业机会来了,Wind
4196,2021-03-23,今日大行评级|ARK预计2025年特斯拉将达3000美元，瑞信看高紫金矿业至19港元,富途证券
4197,2021-03-23,理财二手市场失宠？ 浦发民生等多家银行纷纷下架理财转让业务,第一财经
4198,2021-03-23,ABS一周市场回顾,新浪
4199,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
4200,2021-03-23,银行业月报：2月社融表现超预期 银行业基本面逐步改善,渤海证券
4201,2021-03-23,深度*行业*银行业周报：关注行业年报披露 大行高管人选落定,新浪
4202,2021-03-23,年报季银行“秀肌肉” 2021年谁能跻身手机银行千万月活“天团”？,中国电子银行网
4203,2021-03-23,招联金融确定IPO 去年曾被监管部门通报 其他违规处罚,中新经纬
4204,2021-03-23,2020年度全国298家银行理财能力排行榜,新浪
4205,2021-03-23,银行业：长债利率上行期间的美资大行表现,新浪
4206,2021-03-23,银行股发力，成都银行领涨3%,Wind
4207,2021-03-23,招商银行拟接手平安信托和平安人寿所持台州银行股份,用益信托网
4208,2021-03-23,深圳捉房记：新政扼杀了年轻人的“置业梦” | 观潮,新浪
4209,2021-03-23,【银行】招商银行— 零售优势巩固，资产质量向好,中银证券研究
4210,2021-03-23,上调评级至买入策略选股（3月23日）,Wind
4211,2021-03-23,A股融资融券日报：两融余额增加83.08亿元（3月22日）,Wind
4212,2021-03-23,47股获券商买入评级，上汽集团目标涨幅达62.85%,Wind
4213,2021-03-23,分红316亿元！招商银行零售业务利润下滑 因信用减值损失多 盈利能力下降,GPLP犀牛财经
4214,2021-03-23,顺周期属性强化银行股投资机会渐显,Wind
4215,2021-03-23,今年来净买入超千亿元 北向资金“移情”低估值标的,上证报
4216,2021-03-23,顺周期属性强化银行股投资机会渐显,中证报
4217,2021-03-22,招行首现大财富管理战略，田惠宇详解痛点、难点,财经杂志
4218,2021-03-22,抢占大财富管理制高点，田惠宇详解招行转型下一程,第一财经
4219,2021-03-22,零售之王三大核心指标均破万亿，银茅发力大财富管理,Wind
4220,2021-03-22,【会议直击】面对息差收窄，招商银行(03968-HK)强势推大财富管理,财华社
4221,2021-03-22,招联消金启动上市计划背后：营收增速下滑明显 曾被银保监会通报 盈利能力下降,新浪
4222,2021-03-22,银行降薪？招行行长年薪降46万，平安银行人均年薪54万降4.6万,搜狐
4223,2021-03-22,北向资金今日净买入71.63亿元，京东方A净买入额创历史新高,Wind
4224,2021-03-22,港股收盘：碳中和板块大涨 泡泡玛特大跌约10% 较历史高点跌四成,英为财情
4225,2021-03-22,【中信建投银行杨荣】邮储银行深度：《高业绩弹性，高估值溢价》,eResearch杨荣团队
4226,2021-03-22,监管趋严，高送转成凤毛麟角，后市如何玩？,Wind
4227,2021-03-22,龙洲股份(002682.SZ)拟向招商银行龙岩分行申请综合授信不超8500万元,格隆汇
4228,2021-03-22,净利近千亿！引入国际战投收购银行股权，招商银行一度涨超5%,环球老虎财经
4229,2021-03-22,小摩：全线上调内银股目标价 首选招商银行(03968)、邮储银行(01658)等,智通财经
4230,2021-03-22,代理信托计划收入76.26亿 银行系、券商系部分基金公司业绩曝光,用益信托网
4231,2021-03-22,招商银行119亿输血“北极星”两大App月活跃用户达1.07亿,中国电子银行网
4232,2021-03-22,个股异动丨招商银行H股一度大涨5% 机构看好利润增长,金融界
4233,2021-03-22,国泰君安晨报,新浪
4234,2021-03-22,1400亿巨头涨停，最牛新股涨836%！茅台却跌了,Wind
4235,2021-03-22,什么情况？券商银行股集体爆发！北向资金持续扫货,Wind
4236,2021-03-22,"发生了什么？刚刚，牛市发动机突然拉升，1400亿巨头涨停，""最牛""新股暴涨836%！白马股又有事",中国基金报
4237,2021-03-22,"发生了啥？牛市发动机拉升 ""最牛""新股暴涨836%！",中国基金报
4238,2021-03-22,牛市发动机券商股突然拉升，国联证券涨停,中国基金报
4239,2021-03-22,港股午评|内银股、中资券商股集体走高！招行涨近5%,富途证券
4240,2021-03-22,首家银行理财子“引战”！出让一成股权，招银理财牵手摩根资产,搜狐
4241,2021-03-22,大摩上调招行AH股目标价，看好盈利增长前景,Wind
4242,2021-03-22,银行板块持续走强招商银行AH股均涨超5%,格隆汇
4243,2021-03-22,去年净赚近千亿元，拟收购台州银行股权，招商银行大涨超5%,证券时报网
4244,2021-03-22,银行板块持续走高 招商银行涨超5%,e公司
4245,2021-03-22,银行股早盘异动拉升 招商银行涨逾5%,中国经济网
4246,2021-03-22,内银股涨幅扩大，邮储银行、中行、工行、建行涨超2%,Wind
4247,2021-03-22,港股中资银行股走强 招商银行涨逾5%,中证网
4248,2021-03-22,【行情】港股内银板块普涨，招商银行涨4.5%，农业银行涨2.8%，邮储银行涨2.2%，建设银行涨1.8%,金十数据
4249,2021-03-22,银行周报249期：贷款利率回升的节奏与影响,新浪
4250,2021-03-22,银行股强势拉升，招商银行年报造好早盘涨超3%,资本邦
4251,2021-03-22,内银股上扬，招商银行涨超3%,Wind
4252,2021-03-22,【异动股】招商银行(03968-HK)涨3.54%,财华社
4253,2021-03-22,港股异动 | 招商银行(03968)涨超4% 大摩看好利润增长前景 上调目标价31%,智通财经
4254,2021-03-22,招商银行AH均涨超3% 2020年净利升4.82%至973.42亿元,格隆汇
4255,2021-03-22,银行股回暖，平安银行涨超4%,Wind
4256,2021-03-22,招行全年盈利973.42亿不良率降至1.07% 零售业务利润降近4%信用减值损失增31% 盈利能力下降,长江商报
4257,2021-03-22,银行板块拉升，招商银行、兴业银行、平安银行领涨,Wind
4258,2021-03-22,A股融资融券日报：两融余额减少44.55亿元（3月19日）,Wind
4259,2021-03-22,每日理财观察：易会满发声表态注册制、IPO排队、A股杠杆,Wind
4260,2021-03-22,招商银行（600036/03968.HK）：深耕财富管理，强化科技赋能,中信证券研究
4261,2021-03-22,银行｜有空间，亦有定力,中信证券研究
4262,2021-03-22,招商银行：流量和品牌价值正逐步兑现,财富动力网
4263,2021-03-22,6家上市银行年报本周密集发布，工建交三大国有大行交成绩单,Wind
4264,2021-03-21,月内北向资金净买入近145亿元 22只活跃股受青睐,新浪
4265,2021-03-21,又一银行金科子公司筹建“正主”扩容如何搅局Fintech市场,北京商报
4266,2021-03-21,招商银行去年日赚2.7亿，市值挤进国内银行业前三,搜狐
4267,2021-03-21,招行2020年信息科技投入近120亿元 同比增长超20%,中国银行保险报
4268,2021-03-21,“零售之王”招行去年日赚2.66亿元远超茅台，启动招联消金上市研究工作,时代周报
4269,2021-03-20,招商银行2020年净利润973.42亿元总资产增速创5年新高,和讯
4270,2021-03-20,碳达峰碳中和专题 | 周知&音频,中信建投证券研究
4271,2021-03-20,招行(03968-HK)去年多赚4.8%息1.253元人民币不良贷款按季双降,财华社
4272,2021-03-20,招商银行公布年报去年净赚973亿元 拟购台州银行近15%股权,每日经济新闻
4273,2021-03-20,招商银行2020年营收增长至近3000亿元，不良贷款率降至1.07%,零壹财经
4274,2021-03-20,招联消金计划启动IPO！2020年营收增长近20%，总资产破千亿元,云掌财经
4275,2021-03-20,上市公司正负面新闻2021年3月20日星期六,Wind
4276,2021-03-20,摩根大通斥资4.1亿美元收购中国招商银行财富子公司10％股份,金融界
4277,2021-03-20,招银理财开行业先河，引入战投牵手摩根,Wind
4278,2021-03-20,去年大赚24亿！最牛银行理财子公司突放大招，要引入国际巨头！影响有多大？,中国基金报
4279,2021-03-19,晚间要闻2021年3月19日星期五,Wind
4280,2021-03-19,招行将成为台州银行第一大股东，还为理财子引入摩根大通 控制人变化,第一财经
4281,2021-03-19,大幅回调！银行股还有行情吗？机构这么说,第一财经
4282,2021-03-19,快讯｜招商银行2020年净利润973.42亿增长4.82% 不良率仅1.07%连续四年下降,财经网
4283,2021-03-19,今晚，招行“三连击”！去年净赚近千亿元！计划收购台州银行股权，理财子公司还要引入外资股东,中国证券网
4284,2021-03-19,招商银行2020年净利增近5%拟收购台州银行15%股权,搜狐
4285,2021-03-19,招商银行(03968)拟增持台州银行14.86%的股权 持股达24.86%,智通财经
4286,2021-03-19,招商银行(03968.HK)：招银理财获摩根资产管理投资26.67亿元,格隆汇
4287,2021-03-19,招商银行(600036.SH)拟收购台州银行14.86%股权提升对小微企业金融服务能力,智通财经
4288,2021-03-19,招行去年私行客户10万户增22%，户均资产近3千万；信用卡不良增350亿|财报深度,搜狐
4289,2021-03-19,晚间重要公告2021年3月19日星期五,Wind
4290,2021-03-19,招商银行重磅连连！牵手摩根迎近27亿投资，出手增持同行股份，还要“撒钱”316亿,中证报
4291,2021-03-19,招行去年净赚973亿增4.82%，不良贷款总额增逾13亿,澎湃新闻
4292,2021-03-19,19日公告精选：紫金矿业业绩同比增52%；招商银行净利同比增4.82%,证券时报网
4293,2021-03-19,摩根资产战略投资招银理财，招银回应：四角度详解“关系”变化,Wind
4294,2021-03-19,招行去年净利增4.82%，信用卡新生不良贷款324亿，占新增不良近6成|财报深度,搜狐
4295,2021-03-19,招商银行(03968.HK)董事会审议通过发行不超1500亿元债券有关授权的议案,格隆汇
4296,2021-03-19,招商银行拟购台州银行近15%股权，成为第一大股东 控制人变化,21世纪经济报道
4297,2021-03-19,招行拟接手中国平安所持台州银行股份，持股将增至近25%,澎湃新闻
4298,2021-03-19,招商银行2020实现营收2904.82亿元 净利息收入占比63.70％,金融界
4299,2021-03-19,招行2020年实现归母净利973.42亿元同比增长4.82％,北京商报
4300,2021-03-19,招商银行年报：2020年净利973亿元 同比增4.82%,第一财经
4301,2021-03-19,招银理财引入战投，摩根资产管理出资26.67亿持股10%,澎湃新闻
4302,2021-03-19,招商银行(03968.HK)2020年实现净利973.42亿元 同比升4.82%,格隆汇
4303,2021-03-19,第二家A股银行年报出炉！招商银行：2020年净利润973.42亿，拨备覆盖率437.68％,金融界
4304,2021-03-19,网传“银行将全面暂停房贷” 银行回复：假消息,Wind
4305,2021-03-19,招商银行：拟购买台州银行14.8559%股权,Wind
4306,2021-03-19,招商银行(600036.SH)：拟授权发行总规模不超1500亿元资本债券,格隆汇
4307,2021-03-19,招商银行(600036.SH)年度归母净利同比增4.82%至973.42亿元 每股派息1.253元,智通财经
4308,2021-03-19,招商银行(600036.SH)：拟启动招联消费金融上市研究工作及收购招商永隆所持招联股权,格隆汇
4309,2021-03-19,招商银行(600036.SH)：2020年净利升4.82%至973.42亿元 拟10派12.53元,格隆汇
4310,2021-03-19,招商银行：招银理财引入摩根资产管理作为战投,Wind
4311,2021-03-19,招商银行(600036.SH)拟购买台州银行14.8559%股权,格隆汇
4312,2021-03-19,招商银行(600036.SH)：招银理财拟引入战略投资者摩根资产管理 获10%的股权,格隆汇
4313,2021-03-19,招商银行：2020年净利同比增4.82%,格隆汇
4314,2021-03-19,招商银行：2020年实现归属于股东净利润973.42亿元，同比增长4.82%,Wind
4315,2021-03-19,金融街下午茶2021年3月19日星期五,Wind
4316,2021-03-19,A股收盘综述：上证指数下滑1.69%再守3400关口，牛年周线录得五连阴,Wind
4317,2021-03-19,A股午盘综述：上证指数跌1.04%，碳中和、航天军工、次新股板块逆市拉涨,Wind
4318,2021-03-19,【异动股】招商银行(03968-HK)跌3.07%,财华社
4319,2021-03-19,内银股多数下跌，招商银行跌逾3%,Wind
4320,2021-03-19,银行股普跌，平安银行跌超4%,Wind
