,2021-12-31,一汽解放： 拓展商用车后市场 培育更多盈利增长点,发布易
629,2020-10-19,私募再度迎来火爆发行！大佬已盯上这些板块,上证报
630,2020-10-14,1-9月重卡累计销量超去年全年——9月重卡销量数据点评,华宝财富魔方
631,2020-10-14,车市迎来爆发期？上市车企9月销量普涨，带动汽车板块领涨,澎湃新闻
632,2020-10-14,一汽解放：前三季度预计净利润同比增长42.91%~51.37%,Wind
633,2020-10-14,晚间重要公告2020年10月14日星期三,Wind
634,2020-10-14,预增！一汽解放预计前三季度净利润同比增长43%至51%,搜狐
635,2020-10-14,一汽解放(000800.SZ)前三季度净利润预增42.91%-51.37%(重组后追溯调整数),格隆汇
636,2020-10-14,一汽解放：前三季度净利预增（重组后）42.91%-51.37%,e公司
637,2020-10-14,一汽解放：预计前三季度净利润为25.5亿-27亿元,Wind
638,2020-10-14,9月汽车股众生相：比亚迪们狂欢，智能化零部件正在风口,每日经济新闻
639,2020-10-14,9月汽车股众生相：“比亚迪们”狂欢，重卡“失意”，智能化零部件正在风口上,每日经济新闻
640,2020-10-13,上市公司正负面新闻2020年10月13日星期二,Wind
641,2020-10-12,晚间重要公告2020年10月12日星期一,Wind
642,2020-10-12,汽车行业周报：重卡累计销量已超去年 四季度需求预计不减,新浪
643,2020-10-12,天奇股份(002009.SZ)：中标1.5亿元一汽解放“J7智能装配线项目-机械自动化部分(二次)采购”项目,格隆汇
644,2020-10-12,市场要闻 | 汽车板块大涨，销量超预期催化股价三个月翻倍,36氪
645,2020-10-10,中国一汽：9月销售整车38.89万辆同比增长18.2%,Wind
646,2020-10-09,交运设备行业高频数据点评：汽车需求与销量全面改善中,新浪
647,2020-10-09,重卡销量连续6月暴增6成 仍有百万置换需求待释放,科创板日报
648,2020-10-08,【天风汽车】重卡：9月同比高增，环比转正，旺季到来,学学看汽车
649,2020-10-06,重卡深度专题：需求韧性彰显 2020年销量将创新高,新浪
650,2020-10-01,IPO融资创新高，前三季度股权承销排行榜出炉,Wind
651,2020-09-29,50台解放轻卡虎VN在沈阳交付顺丰速运,卡车之家
652,2020-09-28,一汽解放：解放动力奥威16L发动机建设项目开工,中证网
653,2020-09-28,再启新程 一汽解放首届科技大会创领论坛圆满结束,凤凰网
654,2020-09-27,解放商用车开发院第三届员工家属开放日,卡车之家
655,2020-09-26,一汽解放：成立赋界产业公司，填补解放品牌后市场战略布局空白,Wind
656,2020-09-26,一汽解放：成立赋界产业公司 填补解放品牌后市场战略布局空白,中证网
657,2020-09-26,券商提前预判上市公司全年业绩，42家公司提前锁定年内持续增长,红周刊
658,2020-09-25,天风证券：一文看透汽车景气现状,新浪
659,2020-09-25,预见2020：《2020年中国重卡产业全景图谱》（附产业供需现状、市场竞争格局、发展趋势等）,前瞻研究院
660,2020-09-23,新泉股份(603179)：优质客户护航 商乘业务并举,新浪
661,2020-09-23,民族品牌指数跌0.25% 一汽解放、广誉远涨停,中国证券网
662,2020-09-21,“智”存高远 解放创领开启智慧交通运输新时代,凤凰网
663,2020-09-21,A股早报2020年9月21日星期一,Wind
664,2020-09-19,一汽解放：公司长春基地上半年产能处于超负荷状态,36氪
665,2020-09-18,龙虎榜新动向：机构大手笔净买入29股,证券时报
666,2020-09-18,一汽解放龙虎榜数据（9月18日）,Wind
667,2020-09-18,长江一级汽车板块回调，比亚迪、长城汽车、长安汽车均跌4%左右,Wind
668,2020-09-16,炒股、卖房、政府补助 164只汽车股上半年“花式获利”超150亿,时代周报
669,2020-09-15,L3级自动驾驶重型卡车将实现量产,中新网
670,2020-09-15,筹码连续集中股名单（附股）,证券时报
671,2020-09-12,【行业一线】重卡和挖掘机前8月销量大增，经济强复苏有迹可循？,财华社
672,2020-09-12,8月份重卡数据和上市公司半年报点评专题报告,华宝财富魔方
673,2020-09-11,换道超车 解放动力领先智能制造,卡车之家
674,2020-09-11,一汽解放股东户数下降6.64% 连降3期,证券时报网
675,2020-09-10,一汽解放探索智慧物流新模式 干线自动驾驶迎来商业化奇点,极客网
676,2020-09-10,智加科技与一汽解放共同研发量产L3级自动驾驶重卡，将接入满帮运力平台,36氪
677,2020-09-09,打响L3重卡量产第一枪，挚途科技详解自动驾驶落地方案,雷锋网
678,2020-09-08,再启新程，一汽解放正式发布“解放创领”技术品牌,DoNews
679,2020-09-08,一汽解放L3级J7超级卡车正式发布,SEMI
680,2020-09-08,一汽解放向京东物流交付首批J7 L3超级卡车,电商报
681,2020-09-08,受益多重利好 卡车销量逆势大增,上证报
682,2020-09-07,一汽解放联合智加科技等打造的L3级别J7自动驾驶超级重卡正式发布,36氪
683,2020-09-07,智加科技助力一汽解放发布全球首款自动驾驶超级重卡,第一电动网
684,2020-09-07,中寰卫星梁永杰：数据一定要跨界 有伙伴才有未来,砍柴网
685,2020-09-07,科技赋能智慧物流，众安保险出席2020一汽解放生态合作大会,北国网
686,2020-09-07,2020泰达汽车论坛 | 壳牌施生乾：商用车润滑节能技术发展,盖世汽车
687,2020-09-05,多家车企债台高筑：都谁在爆雷边缘 偿债能力下降,Wind
688,2020-09-04,目标不变任务不减 一汽解放发动机事业部上半年多项指标行业第一,中国网
689,2020-09-04,年产10万辆 解放拟投10亿在山东青岛建新能源车厂,商用汽车网
690,2020-09-04,重卡8月销量点评：8月再创纪录 上调全年销量预测至150万辆,新浪
691,2020-09-04,新能源汽车补贴坏账率大幅提升，车企 “去补贴”后积分交易启动,Wind
692,2020-09-04,上半年卡车市场爆火 卡车车企利润“乘风破浪”,经济观察报
693,2020-09-03,汽车行业报告：8月重卡销量同比＋75％ Q3景气持续,新浪
694,2020-09-03,上半年净利润实现同比增长 一汽解放计划加速布局新能源产品,证券时报
695,2020-09-03,销量猛增70%，龙头股飙涨160%，机构及外资刚刚加仓,证券时报网
696,2020-09-03,销量猛增70%，这个行业超预期！龙头股飙涨近160%，机构及外资刚刚加仓,证券时报
697,2020-09-02,推土机“龙头”山推股份不涨之谜：高存高贷存隐忧,第一财经
698,2020-09-02,上市车企半年报陆续出炉，整体营收下滑中仍有复苏希望 盈利能力下降,观察者网
699,2020-09-02,26家上市车企上半年业绩普遍下滑，这9家净利却逆势增长,Wind
700,2020-09-02,汽车行业2020年8月重卡销量点评：8月重卡销量同比+75% 高景气有望持续,新浪
701,2020-09-02,民族品牌指数跌0.38%，多只成分股获券商青睐,Wind
702,2020-09-02,年产10万辆！一汽解放拟建新能源车基地,卡车之家
703,2020-09-01,500亿白马股跌停！多只基金重仓，欧菲光紧急澄清,中国基金报
704,2020-09-01,解盘：人气回暖，动力电池、军工、特斯拉、黄金珠宝领涨,Wind
705,2020-09-01,一汽解放拟投资近10亿元建设新能源轻卡基地,Ofweek
706,2020-09-01,长城汽车封住涨停板提振汽车板块，比亚迪涨幅扩大至8%,Wind
707,2020-09-01,车圈｜一汽解放拟9.98亿元投建新能源轻卡基地 产能10万辆/年,腾讯网
708,2020-09-01,【行情】汽车整车板块个股纷纷走高，长城汽车大涨逾7%，比亚迪、一汽解放、长安汽车等个股纷纷走高,金十数据
709,2020-09-01,9月1日 13股盘前利好公告速递,中财网
710,2020-09-01,A股早报2020年9月1日星期二,Wind
711,2020-09-01,最新公告透露利好 13只个股有望爆发（09.01）,中金在线
712,2020-08-31,9月1日十大利好公告：ST游久实控人变更为周五云,中国证券网
713,2020-08-31,一汽解放：投资9.98亿元新能源轻卡基地项目,Wind
714,2020-08-31,一汽解放(000800.SZ)：拟投资9.98亿元建新能源轻卡基地,格隆汇
715,2020-08-31,大理恒泰一汽解放J6F暨解放动力座谈会,卡车之家
716,2020-08-30,重组后的一汽解放扣非净利润同比大涨14倍,第一电动网
717,2020-08-29,【天风汽车】一汽解放：业绩快速增长，市占率持续提升,学学看汽车
718,2020-08-29,一汽解放上半年实现净利润21.5亿元,中证报
719,2020-08-28,一汽解放(000800.SZ)：上半年净利升19.75%至21.5亿元,格隆汇
720,2020-08-28,一汽解放：上半年净利润同比增长19.75%,Wind
721,2020-08-28,产品上新停滞、销量急速下滑！一汽通用成立10年后已悄然解散 盈利能力下降,每日经济新闻
722,2020-08-26,超额完成目标，重卡车企下半年目标上调,第一电动网
723,2020-08-25,一汽解放J6L精英版上市暨铂威品牌发布,卡车之家
724,2020-08-24,一汽解放：公司参股一汽财务有限公司和鑫安汽车保险股份有限公司,Wind
725,2020-08-24,一汽解放：公司参股一汽财务有限公司和鑫安汽车保险股份有限公司,格隆汇
726,2020-08-21,[路演]一汽解放：将适时推出满足国六标准的车型产品,全景网
727,2020-08-21,【行情】汽车板块异动，东风汽车大涨6%，长安汽车涨4%，一汽解放跟涨,金十数据
728,2020-08-19,新泉股份(603179)：设立墨西哥子公司 海外配套将成为盈利新的增长点,新浪
729,2020-08-19,一汽解放JH6暨解放动力奥威产品推介会,卡车之家
730,2020-08-18,新泉股份(603179)：领先的饰件龙头 有望跟随客户成长,新浪
731,2020-08-17,2020年中国商用车行业市场现状及发展前景分析 预计下半年有望继续保持增长势头,前瞻研究院
732,2020-08-17,迎来多重利好 商用车市场有望继续保持增长势头,中证报
733,2020-08-17,迎来多重利好商用车市场一枝独秀,中证报
734,2020-08-15,2020中国汽车论坛 | 郭立群：商用车行业自动驾驶的应用,第一电动网
735,2020-08-14,一汽解放赵国清：卡车品牌国际化很有必要 重卡车企盈利性面临巨大挑战,腾讯网
736,2020-08-13,一汽富维(600742)：借力一汽系崛起 智能化打开成长空间,新浪
737,2020-08-11,A股共发生62宗大宗交易成交14.32亿元（8月11日）,Wind
738,2020-08-11,一汽解放现1笔大宗交易 共成交386.96万元,新浪
739,2020-08-11,一汽解放今日大宗交易成交28万股，成交价13.82元溢价0.0%,Wind
740,2020-08-11,一汽7月销量同比增长23.2% 商用车板块一汽解放翻倍增长,经济观察网
741,2020-08-10,汽车行业周报：7月主要车企销量表现如何？,新浪
742,2020-08-07,满帮集团与一汽解放合作 为后者经销商、用户提供二手货车交易服务,科技新闻网
743,2020-08-07,满帮集团与一汽解放达成合作 将对接二手车业务,新浪
744,2020-08-06,好司机获赠新车头 一汽解放传递大爱守护温暖,华夏时报
745,2020-08-06,新泉股份(603179)：毛利率改善、乘商共增 Q2单季净利润增速71% 超预期,新浪
746,2020-08-05,新泉股份(603179)公司研究：Q2业绩靓眼 看好未来商用&乘用业务齐头并进,新浪
747,2020-08-03,汽车行业专题研究：7月重卡同比增速创年内新高,新浪
748,2020-08-03,汽车行业周报：从准入规定的变化看行业发展的趋势,新浪
749,2020-08-03,“解合共进，相德益彰”德邦快递与一汽解放成功举办交车仪式,凤凰网
750,2020-08-02,【招商汽车|公司点评】一汽富维：Q2单季同比大增+92%，进入双升周期,招商汽车研究
751,2020-07-31,“超级卡车”定义车发布优享货源 全场景赋能货运司机,和讯
752,2020-07-31,“国车长子”开播国内首个商用车品牌电台,砍柴网
753,2020-07-28,长春发布国际汽车城战略：打造汽车产业高质量发展示范区,Wind
754,2020-07-28,汽车行业报告：一文看透汽车景气现状,新浪
755,2020-07-28,主产J6、J7车型！解放增设10万辆产能基,卡车之家
756,2020-07-28,中国最强卡车用户，首选正新轮胎,轮胎商业网
757,2020-07-27,重卡市场V型反转半年销售81万辆 多因素影响全年销量或超140万辆,长江商报
758,2020-07-27,EV晨报 | 十五年产业发展规划即将出台；理想汽车或今日开簿建档；福建发布2年新能源车行动计划,第一电动网
759,2020-07-26,世界钢协：上半年全球粗钢产量同比下降6%|今日钢铁财经资讯速览,中国冶金报社
760,2020-07-24,A股早报2020年7月24日星期五,Wind
761,2020-07-24,股海导航 7月24日沪深股市公告提示,新浪
762,2020-07-24,8点1氪 | 字节跳动回应TikTok被收购传闻；SpaceX拟融资10亿美元，估值440亿美元；蚂蚁集团董事长评腾讯老干妈事件,36氪
763,2020-07-23,公告精选：又有两家公司申报免税商品经营资质；多家科创板公司拟减持,e公司
764,2020-07-23,一汽解放：子公司与广汉市签署协议 拟建成具备10万辆生产能力的生产基地,e公司
765,2020-07-23,一汽解放：子公司签署商用车广汉基地项目合作框架协议,格隆汇
766,2020-07-23,汽车行业二季度基金持仓分析：销量回升 配置比例下降 把握低估值和成长两条主线,新浪
767,2020-07-23,一汽解放与凌宇汽车联合开发基地揭牌 搅拌车一体化设计成趋势,中国经营网
768,2020-07-23,Plus.ai合作TRC测试自动驾驶卡车 曾与一汽解放建合资公司,盖世汽车
769,2020-07-22,一汽集团旗下公司2.99亿元底价转让上海浦东一汽解放专用车有限公司85%股权 资产异常,我的钢铁
770,2020-07-21,五大上市车企年中业绩盘点：长安炒股赚近18亿 海马卖145套房又领补贴,每日经济新闻
771,2020-07-21,一汽解放发动机事业部 精芯服务季活动圆满收官,中国汽车报
772,2020-07-21,五大汽车上市公司年中业绩盘点：长安靠投资翻盘 比亚迪业务多点开花,每日经济新闻
773,2020-07-21,汽车及零部件行业研究：2020年销量有望创新高 2021年需求或将维持高位,新浪
774,2020-07-20,新华社民族品牌指数连续17周跑赢上证综指,中证网
775,2020-07-20,瞄准专用车！一汽解放与凌宇达成合作,卡车之家
776,2020-07-17,一汽解放发动机事业部入选“百强”,中国汽车报
777,2020-07-17,一汽解放、中集车辆两位大佬亲临凌宇汽车为哪般？,中路机械
778,2020-07-16,解放凌宇共设研发基地 高端制造新突破,卡车之家
779,2020-07-16,一汽解放与凌宇汽车联合开发基地揭牌,卡车之家
780,2020-07-16,上市车企盈利疑云：夏利“逆袭”，长安“暴富”,中国经济网
781,2020-07-15,中国一汽迎建厂周年庆 67年来“共和国长子”发生了哪些变化？,证券时报
782,2020-07-15,汽车行业2020年中期策略：自上而下寻找确定性较强的龙头机会,新浪
783,2020-07-15,扬帆起航 解放召开2020年中渠道沟通会,卡车之家
784,2020-07-15,中国一汽总经理助理，一汽解放董事长、党委书记胡汉杰：一汽解放迈向“中国第一，世界一流”,中国汽车报
785,2020-07-15,青岛“汽车”如何超车？,大众日报
786,2020-07-15,长安汽车大跌超8%拖累汽车板块，江淮汽车、比亚迪等纷纷下滑,Wind
787,2020-07-15,【专题】解析一汽解放之“重卡现象”,中国经济网
788,2020-07-15,19-22亿！一汽解放发布上半年业绩预告,卡车之家
789,2020-07-14,周涨幅8.17%，市值累增118.83亿元！11家A股商用车上市企业股票强势上扬|中国汽车报,中国汽车报
790,2020-07-14,上半年预计盈利19.05亿-22.05亿元，一汽解放重组完后劲十足,36氪
791,2020-07-14,再启新程，一汽解放首届科技大会创领论坛圆满结束,投资家
792,2020-07-14,上市公司正负面新闻2020年7月14日星期二,Wind
793,2020-07-13,晚间重要公告2020年7月13日星期一,Wind
794,2020-07-13,一汽解放：上半年预计净利润同比增长6.12%~22.83%,Wind
795,2020-07-13,一汽解放：上半年预盈19亿元至22亿元,e公司
796,2020-07-13,一汽解放：预计上半年净利润为19.05亿元—22.05亿元,格隆汇
797,2020-07-13,一汽解放(000800.SZ)：上半年净利较上年同期重组前相比预增19660.59%-22772.49%,格隆汇
798,2020-07-13,快讯：一汽解放涨停 报于14.45元,金融界
799,2020-07-12,北上资金连续七周买入26股 一汽解放获加仓幅度最大,第一财经
800,2020-07-11,一汽解放胡汉杰：2025挺进世界第一阵营,卡车之家
801,2020-07-10,品牌为先 2025年挺进世界第一阵营,中国经济网
802,2020-07-08,科技为先 构建智能商用车生态圈,商用汽车网
803,2020-07-07,重卡销量连续三个月增长达60% 头部企业称订单已排到几个月之后,经济观察网
804,2020-07-07,汽车板块乘势股市飘红 市场复苏正待时日,中国经济网
805,2020-07-07,客户为先 凝聚合力铸造服务体系,中国经济网
806,2020-07-06,一汽解放：到2025年实现“四翻番四领先”,中证网
807,2020-07-06,产品为先 深耕自主研发七十载,中国经济网
808,2020-07-06,一汽解放：到2025年实现“四翻番四领先”,中证报
809,2020-07-04,70年积淀出十大自主核心优势 一汽解放开启全新技术之年,证券时报
810,2020-07-03,汽车股全线上涨，一汽解放涨停，长安、长城、吉利集体走高,每日经济新闻
811,2020-07-03,汽车股全线大涨 一汽解放涨停 | 数据观察,第一财经
812,2020-07-03,一汽解放现1笔大宗交易 共成交244.76万元,新浪
813,2020-07-03,一汽解放今日大宗交易成交21.10万股，成交价11.6元折价5.15%,Wind
814,2020-07-03,民族品牌指数上涨0.34% 一汽解放涨停,上证报
815,2020-07-03,快讯：汽车板块午后异动拉升逾4% 一汽解放、比亚迪涨停,证券日报
816,2020-07-03,汽车整车板块午后持续走强，一汽解放涨停,第一财经
817,2020-07-03,汽车股午后走强 比亚迪、一汽解放涨停,e公司
818,2020-07-03,【行情】汽车整车板块走强，一汽解放涨停，长安汽车、力帆股份、比亚迪均涨逾7%,金十数据
819,2020-07-02,汽车行业专题研究：6月重卡同比增长59% 行业持续超高景气,新浪
820,2020-07-02,信念传承！解放研发70周年官方logo发布,卡车之家
821,2020-07-02,2020年6月重卡行业销量数据点评：高景气持续 重视重卡板块中报行情,新浪
822,2020-06-29,把握行业变革新趋势 万里扬全方位提速,中国汽车报
823,2020-06-23,一汽解放(000800.SZ)放弃鑫安保险17.5%股权转让优先购买权 资产异常,格隆汇
824,2020-06-23,一汽解放：放弃鑫安保险股权优先购买权,Wind
825,2020-06-23,一汽奚国华履新中信：三大车企高管密集调整，汽车“国家队”组建在即？,每日经济新闻
826,2020-06-23,汽车深度研究：重卡市场 机遇几何,新浪
827,2020-06-22,一汽解放：新能源牵引车首次在干线运输示范运营,中证网
828,2020-06-18,许宪平履新中国兵器装备集团董事长 长安汽车驶入全面发展快车道,证券日报
829,2020-06-18,重卡需求跟踪：工程重卡需求支撑强 物流重卡需求韧性足,新浪
830,2020-06-15,一汽解放发动机事业部向“中国第一、世界一流”目标迈进,中国汽车报
831,2020-06-15,实现双赢，整车企业与科技公司以合资模式构建智能网联优势,汽车工信网
832,2020-06-15,新华社民族品牌指数连续12周跑赢上证综指,中证报
833,2020-06-11,赞叹！一汽解放发动机事业部不愧为行业标杆,中国机经网
834,2020-06-11,一汽解放股东户数下降5.33% 连降2期,证券时报网
835,2020-06-10,拟投资11.25亿 解放联手长春政府干大事,卡车之家
836,2020-06-10,民族品牌指数跌0.69% 一汽解放涨3.51%,上证报
837,2020-06-09,海尔驻车空调3代发布 卡友们的夏日福音,卡车之家
838,2020-06-09,一汽解放新能源纯电动重卡亮相北京,中国机经网
839,2020-06-09,一汽解放前五月重卡销量劲增27% 拟投11亿扩“国六”产能提升竞争力,长江商报
840,2020-06-09,新高潮！商用车企业股权改革进入深水区,中国汽车报
841,2020-06-08,奚国华的一汽岁月,财经杂志
842,2020-06-07,拟投资11.25亿元 一汽解放与长春市签署项目合作协议,北京商报
843,2020-06-07,周末上市公司晚间重要公告,金融界
844,2020-06-07,一汽解放：拟出资7.65亿元增资一汽财务公司,中证网
845,2020-06-07,一汽解放：拟投资11.25亿元实施卡车厂提升竞争力项目,中证网
846,2020-06-07,一汽解放(000800.SZ)与长春市政府签署合作协议助力塑造“汽车城”品牌新形象,格隆汇
847,2020-06-07,一汽解放：预计11.25亿元投资卡车厂提升竞争力项目,新浪
848,2020-06-07,国六产业链深度研究1 | 市场空间大幅扩容，国产替代有望加速,郭丽丽的研究札记
849,2020-06-07,一汽解放销售总经理考察万达宝通,轮胎世界网
850,2020-06-05,丰田将与5家中国公司组建燃料电池合资公司,Wind
851,2020-06-04,汽车及零部件：工程车继续提供支撑 物流车环比减弱,新浪
852,2020-06-02,5月我国重卡销售17.5万辆，同比增长62%,Wind
853,2020-06-02,三大指数样本股调整，2500亿指基即将大规模调仓换股,Wind
854,2020-06-01,运行平稳样本丰富，科创板指数应尽快推出,证券时报
855,2020-05-29,汽车及零部件-重卡需求跟踪：5月同比高增速有望维持 行业景气度或向6月延长,新浪
856,2020-05-27,"一汽解放现1笔大宗交易 共成交3,108.00万元",新浪
857,2020-05-27,一汽解放今日大宗交易成交300万股，成交价10.36元折价1.99%,Wind
858,2020-05-26,匠心引领未来 青汽JH6搅拌车隆重交车！,卡车之家
859,2020-05-26,一汽回到“解放”前,猎云网
860,2020-05-26,"一汽解放现1笔大宗交易 共成交7,427.00万元",新浪
861,2020-05-26,七日潭·车：两会唱响汽车好声音车企更名背后有深意？,新华网
862,2020-05-25,【国盛电新|周报】德国新能源车政策再加码，各省可再生能源消纳责任权重下发,电新硬核研究
863,2020-05-25,美股聚焦：一汽轿车正式改名一汽解放 特斯拉FSD套件再涨1000美元,--
864,2020-05-25,车市周“数”评丨一汽轿车正式改名一汽解放 特斯拉FSD套件再涨1000美元,每日经济新闻
865,2020-05-25,“独立”后，一汽马自达会被偏爱吗？,盖世汽车
866,2020-05-22,最新：一汽解放合资公司鱼快创领开业,卡车之家
867,2020-05-22,汽车板块走强,Wind
868,2020-05-22,汽车及零部件-重卡需求跟踪：物流车需求周环比回暖 工程车需求依然旺盛,新浪
869,2020-05-21,4月销量破19万辆创新高重卡市场走出调整期,环球物流网
870,2020-05-21,工匠之星尤丽艳：抢占科技新高地的铿锵玫瑰,中国机经网
871,2020-05-21,发动机事业部推动党支部标准化建设有实招,中国机经网
872,2020-05-21,解放动力再制造4月产销创新高！,中国机经网
873,2020-05-21,奔腾退场、解放上市：甩掉夏利包袱的一汽集团再次“借壳铺路”,钛媒体
874,2020-05-20,犀牛财经早报：瑞幸咖啡收到退市通知一汽轿车将更名为“一汽解放”,GPLP犀牛财经
875,2020-05-20,民族品牌指数涨0.65% 成分股逾七成飘红,上证报
876,2020-05-20,疫情下并购重组审核、实施常态化，前4个月实施金额超5000亿元,Wind
877,2020-05-20,疫情下并购重组审核、实施常态化前4个月实施金额超5000亿元在全国占比65%,证券日报
878,2020-05-19,一汽轿车完成更名 重卡龙头一汽解放正式登陆A股,中证网
879,2020-05-19,晚间重要公告2020年5月19日星期二,Wind
880,2020-05-19,一汽轿车(000800.SZ)：5月20日起中文证券简称变更为“一汽解放” 业务变化,格隆汇
881,2020-05-19,一汽轿车正式更名为一汽解放 业务变化,中国网
882,2020-05-19,一汽轿车：明起公司证券简称变更为“一汽解放” 注册资本增加近30亿元 业务变化,金融界
883,2020-05-19,一汽轿车正式改名一汽解放：注册资本增近30亿 董事会人员大调整 业务变化,每日经济新闻
884,2020-05-18,管理层大换防，奔腾能否复刻红旗的增长轨迹？,36氪
885,2020-05-18,中汽协：1-4月中国品牌乘用车共销售168.89万辆，同比下降35.28%,Wind
886,2020-05-15,一汽马自达脱离一汽轿车 一汽集团设立马自达事业部,中国网
887,2020-05-14,历经15年！一汽马自达终于“转正”：与一汽大众、一汽丰田同级,快科技
888,2020-05-13,一汽轿车与零跑签订战略协议 将在三电/自动驾驶等多领域合作,腾讯网
889,2020-05-12,推新车、牵一汽 零跑汽车无需再“低调”,新能源观察
890,2020-05-12,一汽与马自达管理关系改变 形成三合资齐头并进之姿势,新浪
891,2020-05-11,一汽集团成立马自达事业部 未来增加一汽马自达投资,汽车产经网
892,2020-05-11,长沙一台理想ONE街头自燃；一汽解放与四维图新成立新公司,Ofweek
893,2020-05-11,蔚来4月销量大涨181% 理想ONE起火|造车新势力这一周,盖世汽车
894,2020-05-09,携手一汽轿车开发智能电动汽车，零跑能否走出困境？,36氪
895,2020-05-08,"零跑""牵手""一汽轿车 欲联合开发智能电动汽车",每日经济新闻
896,2020-05-08,一汽轿车与零跑汽车达成战略协议,第一电动网
897,2020-05-08,【招商汽车】冰与火的选择 ——汽车行业年报及一季报总结,招商汽车研究
898,2020-05-08,车圈 | 一汽轿车与零跑签订战略协议 将在三电/自动驾驶等多领域合作,腾讯网
899,2020-05-08,汽车股4月涨跌榜：9车企市值回涨，上汽两连跌市值缩水超500亿 连续下跌,时代在线
900,2020-05-08,144家公司获机构调研（附名单）,证券时报
901,2020-05-07,再现股权转让 华菱星马能否找到新买主 资产异常,中国汽车报
902,2020-05-07,【汽车】一汽轿车：资产置入完成，重卡整车龙头一汽解放登陆A股,天风研究
903,2020-05-06,一汽轿车联手四维图新子公司 布局商用车联网,e公司
904,2020-05-06,一汽轿车：一汽解放拟与中寰卫星等成立合资公司，开拓商用车后市场,36氪
905,2020-05-06,一汽轿车(000800.SZ)：一汽解放与中寰卫星等设合资公司 进一步开展商用车联网业务,格隆汇
906,2020-05-01,创业板注册制落地重磅会议即将来袭三桶油巨亏百万股民欲哭无泪 重大损失,搜狐
907,2020-04-30,一汽轿车：一季度净利1.82亿，同比减少80.06% 盈利能力下降,36氪
908,2020-04-29,一汽轿车一季度利润降8成 盈利能力下降,北京商报网
909,2020-04-29,[路演]奥联电子：电子式换挡器主要客户有一汽轿车、长安汽车等,全景网
910,2020-04-29,一汽轿车(000800.SZ)：一季度净利降80.06%至1.82亿元 盈利能力下降,格隆汇
911,2020-04-29,一汽轿车：一季度实现净利润1.82亿 同比下降80.06% 盈利能力下降,新浪
912,2020-04-29,一汽轿车：一季度净利润同比下滑80% 盈利能力下降,e公司
913,2020-04-27,车市周“数”评丨2020年新能源汽车补贴政策落地 吉利加速“上天”,每日经济新闻
914,2020-04-26,红旗上科创板？不管你信不信，反正一汽集团大牛市来了！,搜狐
915,2020-04-26,一汽轿车重组方案通过，正式更名一汽解放 业务变化,搜狐
916,2020-04-26,一汽轿车董事会换届，胡汉杰任董事长,搜狐
917,2020-04-26,重组正式完成 一汽解放登陆资本市场,中投网
918,2020-04-24,一汽解放重组上市成功 胡汉杰任董事长,卡车之家
919,2020-04-24,车圈 | 一汽轿车正式更名一汽解放 胡汉杰出任董事长 业务变化,腾讯网
920,2020-04-23,“偏执狂”马自达2023年前不再推全新车型，如何撑起两家合资公司未来？,搜狐
921,2020-04-22,被“接盘者”抛弃 曝200余名夏利老员工举报一汽集团 诉讼纠纷,观察者网
922,2020-04-20,一汽轿车资产置换重组 加快一汽集团上市步伐,金融界
923,2020-04-20,“十八般武艺”耍过后，一汽离整体上市还有多远？,盖世汽车
924,2020-04-14,一汽轿车：预计一季度净利润1.45亿-2.15亿元,Wind
925,2020-04-14,一汽轿车(000800.SZ)：预计一季度净利1.45亿元-2.15亿元 较重组前增长276.25%-457.90%,格隆汇
926,2020-04-13,想白就得藏着？赔钱赚吆喝的奔腾告别A股,搜狐
927,2020-04-13,触底反弹，港股强劲，55家公司市值增长超600亿元,搜狐
928,2020-04-10,一汽轿车正式告别A股 拟更名“一汽解放”专注商用车 业务变化,中国经营网
929,2020-04-10,完成一汽轿车重组并更名，一汽集团离整体上市近在咫尺？,搜狐
930,2020-04-09,乘联会：3月新能源乘用车批发销量环比2月增长4倍,Wind
931,2020-04-09,资产置换完成 “一汽轿车”更名“一汽解放”上市 业务变化,观察者网
932,2020-04-09,一汽轿车告别A股迎来“解放时代” 内部人称集团独立上市,搜狐
933,2020-04-08,更名重组，资产置换，A股变更：一汽轿车的重生之路,搜狐
934,2020-04-08,民族品牌指数微跌0.24% 一汽轿车涨停,上证报
935,2020-04-08,资产重组已完成 一汽轿车证券拟更名一汽解放 业务变化,网通社
936,2020-04-08,一汽轿车证券名称变更，一汽解放正式登录A股,36氪
937,2020-04-08,股海导航 4月8日沪深股市公告提示,新浪
938,2020-04-07,晚间公告热点追踪：三全食品一季度净利同比预增5倍,新浪
939,2020-04-07,晚间重要公告2020年4月7日星期二,Wind
940,2020-04-07,一汽轿车：证券简称拟变更为“一汽解放” 业务变化,中证网
941,2020-04-07,一汽轿车：拟将证券简称由“一汽轿车”变更为“一汽解放” 业务变化,36氪
942,2020-04-07,一汽轿车：证券简称变更为“一汽解放” 代码不变 业务变化,新浪
943,2020-04-07,一汽轿车：拟更名为“一汽解放” 业务变化,e公司
944,2020-04-07,一汽轿车(000800.SZ)证券简称拟变更为“一汽解放” 业务变化,格隆汇
945,2020-04-03,一汽轿车资产置换取得重大进展：奔腾、解放两大品牌迎来新机遇,21财闻汇
946,2020-04-02,十问一汽轿车：一马乏力、奔腾反弹，净利润何至大跌74%？ 盈利能力下降,搜狐
947,2020-03-30,一汽轿车重组完成资产置换 一汽集团上市之路整装待发,搜狐
