,2021-12-31,金融科技破解西安医药企业资金难题，平安银行全力支持抗疫,凤凰网
4212,2020-10-23,115股获券商买入评级，浙商中拓目标涨幅达77.09%,Wind
4213,2020-10-23,平安银行三季度业绩增速回正至6% 零售业务复苏个人存款日均余额增22%,长江商报
4214,2020-10-23,安信研究|晨会在线20201023,安信证券研究
4215,2020-10-23,三季报成试金石关注业绩超预期板块,南都报
4216,2020-10-23,机构三季度调仓路线：减持医药股加仓“顺周期”,中证报
4217,2020-10-22,北上资金活跃股名单(10月22日),证券时报网
4218,2020-10-22,高毅冯柳三季度大手笔加仓大华股份、万丰奥威，社保基金调转“枪口”买入顺周期,Wind
4219,2020-10-22,抄大佬作业！高毅冯柳三季度大手笔加仓大华股份、万丰奥威，社保基金调转“枪口”买入顺周期,中证报
4220,2020-10-22,东吴银行 | 平安银行：三季报回暖振奋人心，不良率因何大幅下行？,东吴金融研究
4221,2020-10-22,拉卡拉(300773.SZ)拟向平安银行申请不超8000万元综合授信额度,格隆汇
4222,2020-10-22,平安银行私人银行发布银发族理财及消费大数据： 5%高净值银发族拥有超过该群体88%的财富,经济观察网
4223,2020-10-22,从起步到起飞：平安银行新三年的战略目标正在实现,和讯
4224,2020-10-22,20CM已经无法满足，我要更大的,菜鸟理财
4225,2020-10-22,平安银行(000001)季报点评报告：资产质量好于市场预期,新浪
4226,2020-10-22,平安银行私人银行大数据显示：高净值“银发族”人均资产超千万，投资偏爱私募,新华网
4227,2020-10-22,首份上市银行三季报登场：平安银行净利润同比下降5.2% 盈利能力下降,每日经济新闻
4228,2020-10-22,银行：私行业务百舸争流，谁主沉浮？,天风证券
4229,2020-10-22,港股收盘(10.22)|恒指收涨0.13% 比亚迪股份(01211)收涨逾4% 再创历史新高,智通财经
4230,2020-10-22,首份上市银行三季报登场：平安银行不良贷款较上年末实现“双降”,每日经济新闻
4231,2020-10-22,平安银行私人银行发布银发族理财消费大数据，智慧养老卡获50万银发族青睐,凤凰网
4232,2020-10-22,平安银行实现营业收入1165.64亿元 同比增长13.2%,中投网
4233,2020-10-22,平安银行信用卡新核心系统升级公告,每经网
4234,2020-10-22,689亿资金争夺20股：主力资金重点出击5股(名单),新浪
4235,2020-10-22,平安银行(000001)：资产质量指标改善明显,新浪
4236,2020-10-22,[公司]平安银行：预计未来不良率将保持可控水平,全景网
4237,2020-10-22,[公司]平安银行：代理基金业务销售规模1153亿元 同比增长53.3%,全景网
4238,2020-10-22,32公司获得增持评级-更新中,中财网
4239,2020-10-22,私行万亿俱乐部再添一员，平安私人银行加速度背后的科技密码 ｜十字财经,和讯
4240,2020-10-22,平安银行与京东数科达成战略合作，陈生强：TIE模式将助力金融数字化,TechWeb
4241,2020-10-22,沪指半日下跌0.83%，生物制品等板块领跌,中新经纬
4242,2020-10-22,首份上市银行三季报登场 银行板块冲高回落,新浪
4243,2020-10-22,平安银行(000001)：资产质量拐点确立 单季盈利显着改善 零售业务全面复苏,新浪
4244,2020-10-22,银行股“大象漫步”穿越牛熊,证券导报
4245,2020-10-22,社保基金长期重仓股名单曝光（附股）,证券时报网
4246,2020-10-22,平安银行第三季度净利润87.2亿元同比增速转正，不良贷款率降至1.32%,搜狐
4247,2020-10-22,平安银行前三季净利降幅较上半年有所改善 零售资产负债结构优化中 盈利能力下降,经济观察网
4248,2020-10-22,平安银行(000001)：两市首份银行三季报 利润增速触底回升,新浪
4249,2020-10-22,【行情】银行板块开盘拉升，平安银行大涨3%，招商银行、兴业银行、常熟银行、光大银行跟涨,金十数据
4250,2020-10-22,平安银行Q3净利润增速转正 前三季度同比下降5.2% 盈利能力下降,中华网
4251,2020-10-22,A股融资融券日报：两融余额增加5.83亿元（10月21日）,Wind
4252,2020-10-22,沪深股市公告提示(10月22日),--
4253,2020-10-22,东北证券：银行具有确定性行情，上涨空间较大,理财18
4254,2020-10-22,平安银行20年3季报详细解读：资产质量改善超预期，9月、10月金股【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
4255,2020-10-22,平安银行（000001）：从学习者到引领者,中信证券
4256,2020-10-22,银河证券：基本面修复+低估值+资金关注 银行板块有望迎来持续上涨行情,证券时报网
4257,2020-10-22,6股获买入评级 最新:鱼跃医疗,中财网
4258,2020-10-22,股海导航 10月22日沪深股市公告提示,新浪
4259,2020-10-22,【东北晨会1022】银行行业周报/东方雨虹、中联重科、华润微/复盘笔记,东北证券研究所
4260,2020-10-22,【东北银行王凤华/陈玉卢】行业周报：银行具有确定性行情，上涨空间较大,东北证券研究所
4261,2020-10-22,平安银行不良贷款率下降 银行资产质量望迎拐点（附股）,证券时报网
4262,2020-10-22,平安银行(000001)：负债端持续改善，存量风险在出清,中信建投证券研究
4263,2020-10-22,【浙商‖银行】平安三季报：盈利新拐点，全年正增长,大话金融
4264,2020-10-22,2年1000万张！美团成为联名信用卡“发卡机”,证券时报
4265,2020-10-22,平安银行公布三季报 前三季净利减少5.18% 盈利能力下降,新浪
4266,2020-10-22,低调的慢牛股名单大曝光！,中国基金报
4267,2020-10-21,【金财富早知道】2020-10-22,赢家之星
4268,2020-10-21,信用卡玩家疯抢随心飞：狂撸延误险，一趟航班赚8000,钛媒体
4269,2020-10-21,平安银行(000001.SZ)第三季度净利润升6.1%至87.2亿元,格隆汇
4270,2020-10-21,A股首份上市银行三季报出炉 平安银行前三季度实现净利233.98亿元,中证网
4271,2020-10-21,公告精选：平安银行第三季度净利同比增6.1%；洋河股份第三季度净利同比增14.07%,e公司
4272,2020-10-21,晚间公告热点追踪：面对问询*ST金洲连拖九次 新的关注函又来了,新浪
4273,2020-10-21,公告精选：平安银行第三季度净利同比增6.1%；汇顶科技拟1200万元-1400万元回购股份,e公司
4274,2020-10-21,平安银行兰州分行正式入驻甘肃,中国金融新闻网
4275,2020-10-21,首份A股上市银行三季报出炉 平安银行净利润233.98亿元，降幅较上半年改善,北京商报
4276,2020-10-21,银行行业专题研究：透视恒生银行-香港零售银行标杆,新浪
4277,2020-10-21,【财报眼】平安银行前三季度净利同比降5.2% 信用卡不良率上升 盈利能力下降,新浪
4278,2020-10-21,平安银行前三季度净赚223亿降5%，不良率降至1.32%,澎湃新闻
4279,2020-10-21,中国平安(02318)：平安银行前三季净利达223.98亿元,智通财经
4280,2020-10-21,晚间重要公告2020年10月21日星期三,Wind
4281,2020-10-21,中国平安(02318.HK)：平安银行前三季净利同比降5.2%至223.98亿元 盈利能力下降,格隆汇
4282,2020-10-21,【主力资金】不惧利空，尾盘暴拉22%，量子通信龙头出逃资金近3亿,证券时报网
4283,2020-10-21,平安银行今年前三季度净利润同比下降5.2% 降幅较上半年有所改善 盈利能力下降,上证报
4284,2020-10-21,低调的慢牛股名单曝光！5000亿家电龙头再创新高，还有慢牛月线十连阳,证券时报
4285,2020-10-21,10月21日上市公司晚间公告速递,新浪
4286,2020-10-21,平安银行(000001.SZ)：前三季净利同比降5.2%至223.98亿元 盈利能力下降,格隆汇
4287,2020-10-21,平安银行：第三季度净利润同比增长6.1%,e公司
4288,2020-10-21,平安银行：前三季度净利润223.98亿元，同比下降5.2% 盈利能力下降,Wind
4289,2020-10-21,25亿主力资金近三日杀入银行(一致评级)概念股,证券时报网
4290,2020-10-21,平安银行与京东数科签署战略合作 将在多领域开展全面合作,第一财经
4291,2020-10-21,银行业点评：如何看待四季度以来银行板块上涨行情？,新浪
4292,2020-10-21,误导投资者 商业银行产品营销四大乱象需警惕,中投网
4293,2020-10-21,银行业深度：银行并购新浪潮,新浪
4294,2020-10-21,【专栏】信用卡玩家疯抢随心飞：狂撸延误险，一趟航班赚8000,零壹财经
4295,2020-10-21,【读财报】银行业精准扶贫面面观：贷款余额突破4.2万亿元,面包财经
4296,2020-10-21,A股融资融券日报：两融余额增加43.8亿元（10月20日）,Wind
4297,2020-10-21,盘前情报丨新冠疫苗迎重磅利好，概念股名单来了！,21世纪经济报道
4298,2020-10-21,卖车又卖房！北向资金继续出逃，这些股票被减仓最多,21世纪经济报道
4299,2020-10-21,"银行业""精准扶贫""面面观：贷款余额突破4.2万亿 信披仍有改善空间",新浪
4300,2020-10-21,银行业月度报告（2020年9月）：中长期信贷增长，盈利可期,财信证券研究
4301,2020-10-21,金牛私募看好龙头金融股,中证报
4302,2020-10-20,龙头金融股持续走强 板块已迎来布局良机？,中证网
4303,2020-10-20,银行加速融合金融科技,经济观察网
4304,2020-10-20,这只银行股大幅跑赢大盘！金牛私募预期龙头金融股将继续领涨大势,中证报
4305,2020-10-20,商业银行法迎来大修，金融机构贷款利率是否受限4倍LPR？,第一财经
4306,2020-10-20,打通线上线下场景 平安银行京东数科推出“平安白条卡”,北京商报
4307,2020-10-20,官宣！“平安白条卡”即将上市，平安银行与京东数科达成战略合作,中国财富网
4308,2020-10-20,平安银行与京东数科达成战略合作，联合推出平安白条卡,Wind
4309,2020-10-20,【中信建投银行杨荣】银行业深度：《全面解析预期信用损失模型》,eResearch杨荣团队
4310,2020-10-20,平安银行与京东数科达成战略合作，涵盖大零售、企业金融、理财资管等多个领域,每日经济新闻
4311,2020-10-20,平安银行与京东数科签署战略合作协议 联合推出平安白条卡,上证报
4312,2020-10-20,银行股虽连续活跃，冲高后却收窄涨幅，“强势”信号是真的吗？,腾讯网
4313,2020-10-20,两关联供应商半年内相继注销，格林精密或隐瞒与主要供应商关联关系,新浪
4314,2020-10-20,25只股股价创历史新高,证券时报网
4315,2020-10-20,《最高人民法院关于审理民间借贷案件适用法律 若干问题的规定》修订要点浅析,华创证券
4316,2020-10-20,从银行半年报看理财变化,Bank资管
4317,2020-10-20,【银行】《商业银行法》修订点评：健全监管框架，加强公司治理与风险管理,中银证券研究
4318,2020-10-20,《最高人民法院关于审理民间借贷案件适用法律 若干问题的规定》修订要点浅析,华创证券投教基地
4319,2020-10-20,A股融资融券日报：两融余额增加26.32亿元（10月19日）,Wind
4320,2020-10-20,银行股的春天还有多远,上证报
4321,2020-10-19,北上资金活跃股名单(10月19日),证券时报网
4322,2020-10-19,高开低走 银行股行情是春天来临还是昙花一现？,北京商报网
4323,2020-10-19,14只股逆市创新高，多只银行股上榜,证券时报
4324,2020-10-19,零售与科技改变基本面 平安银行市值稳健增长,上证报
4325,2020-10-19,数据解盘|今日北向资金合计净流出18.34亿元 医药制造板块遭主力资金抛售 股票卖空,新浪
4326,2020-10-19,67亿主力资金近三日杀入银行(一致评级)概念股,证券时报网
4327,2020-10-19,基金收评 | 两市高开低走，银行股再获追捧！市场何时迎反弹？,第一财经
4328,2020-10-19,机构重仓股跟踪周报,新浪
4329,2020-10-19,银行股“大象漫步” 但别指望它成为“风口上的猪”,红周刊
4330,2020-10-19,华侨城集团拟发10亿第五期中期票据 上限20亿,观点地产网
4331,2020-10-19,大摩：内银股最新投资评级 招行及平安银行等仍是首选,新浪
4332,2020-10-19,大摩对内银股最新投资评级及目标价：招商银行(03968)、平安银行等仍是首选,智通财经
4333,2020-10-19,天风证券廖志明：此轮银行股上涨非小反弹,澎湃新闻
4334,2020-10-19,广州万隆：A股跳水藏罕见异象 或出现新变局,新浪
4335,2020-10-19,分析｜银行股集体上涨的核心逻辑是什么，还有多大上涨空间,澎湃新闻
4336,2020-10-19,沪指半日小幅下跌0.33%，玻璃制造等板块领跌,中新经纬
4337,2020-10-19,银行板块拉升 平安银行涨逾5%,上证报
4338,2020-10-19,平安银行、宁波银行均涨超5%，市值均创历史新高,Wind
4339,2020-10-19,银行股早盘走强 平安银行涨超4%创历史新高,e公司
4340,2020-10-19,快讯：银行板块早盘再度拉升 平安银行等多股走强,新浪
4341,2020-10-19,A股融资融券日报：两融余额减少33.11亿元（10月16日）,Wind
4342,2020-10-19,【行业点评】银行丨9月社融数据点评：政府债持续发力推动社融超预期，企业中长期贷款延续高增态势,中国银河证券研究
4343,2020-10-19,【银行*马祥云】商业银行法的修订有哪些影响？,东吴研究所
4344,2020-10-18,深度｜银行3季报前瞻：稳健性持续，投资核心逻辑是经济【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
4345,2020-10-18,利好在累积：基础配置选银行，进攻品种选科技（浙商策略·王杨）,王杨策略研究
4346,2020-10-18,【兴证金融 傅慧芳】银行业周报（10.12-10.18）:社融高增行业景气度提升，银行法修改稿聚焦金融风险防范,兴证金融
4347,2020-10-18,银行业-商业银行法修改建议稿发布点评：推动供给侧改革 重视公司治理,新浪
4348,2020-10-17,煤炭、银行股领衔低估值板块逆势崛起哪些基金值得关注?,财富动力网
4349,2020-10-17,市场信心逐渐恢复 银行股迎来修复行情,证券时报
4350,2020-10-16,数据复盘|银行股受资金青睐 北向资金连续3日净流出,证券时报网
4351,2020-10-16,银行(一致评级)概念股近三日受58亿主力资金追捧,证券时报网
4352,2020-10-16,巨·热点 | 市场高位调整引分歧 五类板块受青睐！,巨丰财经
4353,2020-10-16,759亿资金争夺20股：主力资金重点出击9股(名单),新浪
4354,2020-10-16,全线飘红！平安银行盘中涨近5%，距历史新高仅一步之遥,环球老虎财经
4355,2020-10-16,两市成交回落至10月低点：近40亿主力资金流入金融股,新浪
4356,2020-10-16,内银股飙升：建行、工行涨5%招行涨近6% 发生了什么,新浪
4357,2020-10-16,银行9月金融数据点评：社融超预期多增，M2增速提升，给予“强于大市”评级,中银国际
4358,2020-10-16,建设银行A股涨超2%获主力净流入超6亿元，为近年来罕见,Wind
4359,2020-10-16,银行股卷土重来 经济持续复苏成核心驱动因素｜板块牛熊榜,第一财经
4360,2020-10-16,两市半日成交4450亿：银行板块攻势再起 工行获主力买入超5亿,新浪
4361,2020-10-16,沪指震荡走低半日跌0.28%煤炭、天然气股走强,中新经纬
4362,2020-10-16,广州万隆：一点位或现二次上车黄金坑机会,新浪
4363,2020-10-16,全线飘红！银行股攻势再起，机构首推“两小两中”组合丨牛熊眼,第一财经
4364,2020-10-16,银行股早盘集体表现活跃 平安银行涨逾4%,中国经济网
4365,2020-10-16,平安私人银行发布乐善公益大数据，扶贫搭桥效应初显,凤凰网
4366,2020-10-16,【行情】银行股拉升，成都银行、兴业银行、平安银行、长沙银行、光大银行等集体涨2%,金十数据
4367,2020-10-16,【港股行情】银行股拉升，成都银行、兴业银行、平安银行、长沙银行、光大银行等集体涨2%。,--
4368,2020-10-16,银行股拉升，平安银行、光大银行涨超2%,Wind
4369,2020-10-16,中信建投：中长期看好银行板块估值修复行情,证券时报网
4370,2020-10-15,外资小幅流出：金龙鱼市值冲入前三 24亿资金买入银行股,新浪
4371,2020-10-15,【研报掘金】低估值与经济复苏共振 银行股有望否极泰来应积极看多,证券时报网
4372,2020-10-15,736亿资金争夺20股：主力资金重点出击8股(名单),新浪
4373,2020-10-15,银行股全线飘红！“低估值与经济复苏共振”催生反转行情？,澎湃新闻
4374,2020-10-15,A股财报速递：中报安集科技净利增长超7成、中坚科技ROE为负,搜狐
4375,2020-10-15,外资小幅流入：22亿主力买入银行股 恒生电子遭卖出超6亿,新浪
4376,2020-10-15,沪指半日震荡收涨0.1%光伏股回调,中新经纬
4377,2020-10-15,金融股普涨 杭州银行、平安银行涨约5%,e公司
4378,2020-10-15,平安银行等12股遭融资净卖出额超5000万元,证券时报网
4379,2020-10-15,大族激光(002008.SZ)：拟向两家银行申请合计不超18亿元综合授信额度,格隆汇
4380,2020-10-15,银行：怎么看待9月社融同比大增？,志明看金融
4381,2020-10-15,10月银行策略：否极泰来，积极看多,志明看金融
4382,2020-10-14,银行角度看9月社融：经济修复、融资需求旺盛，利好银行板块【中泰银行戴志锋/邓美君/贾靖】,传统借贷vs新型金融
4383,2020-10-14,从0到38万亿：信用卡行业激荡35年,腾讯网
4384,2020-10-14,银行机构微博影响力哪家强？中信银行无缘前十,新浪
4385,2020-10-14,半年之内房贷按揭逆转，这中间发生了什么？,第一财经
4386,2020-10-14,A股融资融券日报：两融余额增加111.94亿元（10月13日）,Wind
4387,2020-10-14,外媒称蚂蚁集团要推迟IPO 原因是5只战略基金发行吃独食？ IPO融资异常,新浪
4388,2020-10-14,21金融研究：商业银行资本消耗加剧，如何拓宽资本补充路径？,21世纪经济报道
4389,2020-10-13,"平安银行现2笔大宗交易 共成交3,716.00万元",新浪
4390,2020-10-13,平安银行在零售业务、金融科技方面已形成一定的“护城河”,中国经济时报
4391,2020-10-13,数据中的区域金融版图,21世纪经济报道
4392,2020-10-13,四大行缩减“房贷”：楼市再次迎来“寒冬”,搜狐
4393,2020-10-13,零售黑马：揭秘平安银行的数字化转型路径,中国经济时报
4394,2020-10-12,超2000万罚单！平安银行年内因贷款违规、反洗钱不力被银保监、央行轮番处罚 金融监管处罚,凤凰网
4395,2020-10-12,深圳股掀涨停潮！一文读懂深圳企业融资及产业图谱,时代在线
4396,2020-10-12,"平安银行现1笔大宗交易 共成交3,305.61万元",新浪
4397,2020-10-12,因违法遭央行处罚，平安银行长沙分行多人领罚单 董监高成员异常事件,中国经济周刊
4398,2020-10-12,牛市又回来了？大盘接连长阳，外资大举涌入A股,证券时报网
4399,2020-10-12,外资助力A股10月开门红，金秋行情开启？,上证报
4400,2020-10-11,10月份A股布局时机再现？券商研判市场呈震荡上行趋势，“扎堆热捧”五粮液、中国平安等多只金股,证券日报
4401,2020-10-10,外资流入A股系列16：如何看待五粮液中国中免贵州茅台遭百亿卖出？,新浪
4402,2020-10-10,浙江一村镇银行5%股权被拍卖：打7折流拍后将降价二成再拍 资产查封,澎湃新闻
4403,2020-10-10,银行四大“牛股”：平安41倍，招行24倍，浦发民生旗鼓相当,搜狐
4404,2020-10-10,评论：数据中的区域金融版图,21世纪经济报道
4405,2020-10-10,深扒券商10月金股：浙商证券连续两月推荐焦点科技 最具接盘风险,新浪
4406,2020-10-09,21测评丨“妖股专业户”天风证券变乖了,21世纪经济报道
4407,2020-10-09,21金股测评丨30家券商10月金股榜 医药食饮热度下降,21世纪经济报道
4408,2020-10-09,21金融研究：数据中的区域金融版图，哪个区域最受银行青睐？,21世纪经济报道
4409,2020-10-09,WEMONEY研究室日报：迅雷前CEO被曝涉嫌挪用公司资金非法炒币；威海银行将于10月12日香港上市,凤凰网
4410,2020-10-09,今年全国银行网点净减少超500家，农行、中行少了过百家,奥一网
4411,2020-10-09,深度*行业*银行业周报：LPR利率保持不变 央行加强互联网贷款监管,新浪
4412,2020-10-09,新支点 新动能 新范本 华夏幸福奏响冰与火之歌,乐居财经
4413,2020-10-09,长城证券：9月金股组合亏损6.68% 10月荐股名单出炉 亏损,新浪
4414,2020-10-09,平安银行长沙分行被罚60.5万：个人银行结算账户未及时备案 金融监管处罚,新浪
4415,2020-10-09,银行业三季报前瞻：人间正道是沧桑,新浪
4416,2020-10-09,长城策略*月度金股‖十月（汪毅，王小琳）,新浪
4417,2020-10-09,银行行业月报：预期底部 修复可期,新浪
4418,2020-10-09,A股融资融券日报：两融余额减少180.88亿元（9月30日）,Wind
4419,2020-10-09,银行网点年内减少500多家 各银行加大网点转型力度,南都报
4420,2020-10-09,安信信托股份有限公司关于债务逾期的公告 违约失信,证券日报
4421,2020-10-09,加强主动资产负债管理反哺实体经济,中证报
4422,2020-10-08,披着平安羊皮的开曼狼：陆金所IPO泄密中国中小企业之苦,--
4423,2020-10-08,银行4季度银行股有哪些催化剂？,中信建投
4424,2020-10-08,哪家上市银行最为优秀？对各大上市银行数据对比解析,搜狐
4425,2020-10-07,港股收评：恒指持续走强收涨1.09%苹果概念大幅拉升舜宇光学科技上涨5.19％,金融界
4426,2020-10-05,港股十月迎开门红：节假日概念股集体上扬 中芯国际逆势跌近5%,新浪
4427,2020-10-02,银行行业专题研究：银行类货基整改的怎么样了？,新浪
4428,2020-10-01,民间借贷利率上限新判例 4倍LPR不适用持牌金融机构？,21世纪经济报道
4429,2020-09-30,背靠平安、日活近 4000 万，盘点汽车之家金融布局,新流财经
4430,2020-09-30,854亿信用卡逾期“袭来” 多家银行发行不良资产支持证券项目,华夏时报
4431,2020-09-30,A股9月收官：沪指累计跌5.23%，险守3200点,中新经纬
4432,2020-09-30,投资组合报告：220年十月策略金股报告,新浪
4433,2020-09-30,银行股巨震 业内人士认为长期走势不悲观,中国经营网
4434,2020-09-30,房贷收紧后，房价要跌了吗？,搜狐
4435,2020-09-30,京东数科陈生强：金融机构是“合伙人”,中新网
4436,2020-09-30,华龙内参2020年第183期 总第771期(电子版)：蛰伏期 静待花开,新浪
4437,2020-09-30,10股获杠杆资金净买入超5000万元,证券时报网
4438,2020-09-30,2019年度Wind最佳投行颁奖花絮集锦,Wind
4439,2020-09-30,钢贸新格局下的适者生存 ——陕甘川宁地区钢铁供应链侧记,兰格钢铁网
4440,2020-09-30,盛视早参：9月最后时光 在坚守什么？,新浪
4441,2020-09-30,个股资金流入,财富动力网
4442,2020-09-30,板块破净率近七成机构把脉银行股价值,中证报
4443,2020-09-29,陆股通净卖出0.94亿元（附名单）,证券时报网
4444,2020-09-29,甘肃银行(02139)与平安银行签署战略合作协议，提供更高效的金融服务,智通财经
4445,2020-09-29,甘肃银行与平安银行签署全面战略合作协议,和讯
4446,2020-09-29,银行股大跌 为什么“零售之王”们最惨？,新浪
4447,2020-09-29,20股特大单净流入资金超1亿元,证券时报网
4448,2020-09-29,数据复盘| 宁德时代获资金青睐 主力资金撤离这些金融股,证券时报网
4449,2020-09-29,房贷占比受限？AH银行股今日集体下挫，招商银行大跌超6% 资产查封,格隆汇
4450,2020-09-29,什么情况？招行港股罕见大跌，一品种更是狂泻72%,券商中国
4451,2020-09-29,平安银行现1笔大宗交易 共成交938.56万元,新浪
4452,2020-09-29,什么情况？招商银行港股罕见暴跌，这一品种更是狂泻72%！三大杀跌主因显现，银行股：我还有机会吗？ 连续下跌,券商中国
4453,2020-09-29,9月29日主力资金净流出27亿元,证券时报网
4454,2020-09-29,银行板块震荡走软，平安银行跌超3%,Wind
4455,2020-09-29,国有大行新增涉房贷款占比降至30%以下 银行授信政策如何调整？,新浪
4456,2020-09-29,监管要求大型银行控制房贷规模 2020住房贷款产业政府战略管理及政策,中研网
4457,2020-09-29,银行：寻找银行股行情启动的催化剂,新浪
4458,2020-09-29,浙商早知道 | 9月30日,浙商证券研究所
4459,2020-09-29,平安银行北京分行开展9月金融知识普及活动,北青网
4460,2020-09-29,房地产金融政策仍收紧 多家大行新增涉房贷款占比降至30%以下,21世纪经济报道
4461,2020-09-28,贷款利率打折、团购花样再现银行抢客源冲刺季末考核关口,北京商报
4462,2020-09-28,银行机构微博影响力哪家强？农业银行下降三位,新浪
4463,2020-09-28,工行建行中行否认降薪计划 被财报数据“打脸”,新浪
4464,2020-09-28,平安银行发布大额互联网贷款产品 为小微企业、个体户解燃眉之急,中证网
4465,2020-09-28,监管要求大型银行控制房贷规模 银行授信政策如何调整,21世纪经济报道
4466,2020-09-28,监管要求大型银行控制房贷规模，多家大行新增涉房贷款占比降至30%以下,Wind
4467,2020-09-28,银行降薪争议：国有大行人均薪酬下滑明显 城、农商行分化严重,每日经济新闻
4468,2020-09-28,超越工农中建，这家农商行半年人均薪酬37万！,每日经济新闻
4469,2020-09-28,上市银行制造业贷款突破10万亿元：国有银行仍是投放主力,新华网
4470,2020-09-27,非银行金融／银行行业周报(第三十九周),新浪
4471,2020-09-27,银行到底降薪没？苏农银行上半年平均薪酬近38万,每日经济新闻
4472,2020-09-27,银行到底降薪没？上市银行上半年平均薪酬排行榜出炉，这家农商行夺冠，而国有大行下滑明显,每日经济新闻
4473,2020-09-27,微信绑定银行卡可免输卡号 2020移动支付行业未来发展前景趋势分析,新浪
4474,2020-09-26,【东北基础化工】日报/晶瑞股份拟进口海力士ASML光刻机设备20200930,东北基础化工
4475,2020-09-26,后疫情时代的银行信用卡业务：关注拓展场景 确保资产质量可控,经济观察网
4476,2020-09-26,个股资金流向,财富动力网
4477,2020-09-25,微信支付上线免输卡号绑卡：已支持工行、平安、浦发银行卡绑定,新浪
4478,2020-09-25,信通院最新报告解读：2020年“金融科技”十大趋势,21世纪经济报道
4479,2020-09-25,MemVerge正式发布大内存软件，实现内存计算架构变革,和讯
4480,2020-09-25,【东北晨会0925】光伏行业动态点评/银行行业周报/宝钢包装,东北证券研究所
4481,2020-09-25,【东北银行王凤华/陈玉卢】行业周报：小贷公司融资上限5倍杠杆，开启行业规范监管,东北证券研究所
4482,2020-09-24,第九届金交会今日开幕！今年现场有了这些新“玩法”,奥一网
4483,2020-09-24,平安银行(000001.SZ)董事会通过理财存量资产整改计划,格隆汇
4484,2020-09-23,金融观点聚焦：市场存在对行业较大认知偏差 建议左侧布局金融行业,新浪
4485,2020-09-23,转债策略：震荡行情中把握个券左侧布局机会,新浪
4486,2020-09-23,平安银行(000001.SZ)：蔡洪滨独立董事任职资格获核准,格隆汇
4487,2020-09-23,【专栏】个贷利率打响“价格战”，银行零售进入存量厮杀阶段,零壹财经
4488,2020-09-23,个贷利率打响“价格战”，银行零售进入存量厮杀阶段,和讯
4489,2020-09-23,银行行业月报：经济数据保持向好态势，LPR环比持平，维持“同步大市”评级,中原证券
4490,2020-09-23,【中原晨会0923】市场分析、银行行业月报,中原证券研究所
4491,2020-09-23,业绩与市值齐成长 上市公司持续增强资本回报能力,上证报
4492,2020-09-23,上市公司践行高质量发展增强资本回报能力,中证报
4493,2020-09-23,平安银行优化投资回报机制 增强持续回报能力,证券日报
4494,2020-09-22,银行机构微博影响力哪家强？国家开发银行跌出前十,新浪
4495,2020-09-22,中银协携十余家主流媒体云采访 平安银行武汉分行牵头2000亿项目落地支持湖北疫后重振,证券时报网
4496,2020-09-22,辉煌科技(002296.SZ)：调整理财产品收益起止日期,格隆汇
4497,2020-09-22,平安私人银行加速全国布局，泉州分行私行中心开业,凤凰网
4498,2020-09-22,银行行业月度报告：信贷结构调整，负债成本上行，维持“同步大市”评级,财信证券
4499,2020-09-21,【中金固收·资产证券化】ABS一周市场回顾,中金固定收益研究
4500,2020-09-21,非银行金融／银行：行业周报(第三十八周),新浪
4501,2020-09-21,机构重仓股跟踪周报,新浪
4502,2020-09-21,银行行业：LPR改革成效显著，公开市场操作利率不变，维持“看好”评级,东方证券
4503,2020-09-21,金融控股公司管理办法点评：金控新牌照 管理有章法,新浪
4504,2020-09-21,学历越高薪酬越高？硕士董秘竞争力强 65位A股董秘年薪低于10万,投资时报
4505,2020-09-21,太平洋证券：银行板块关注度提升 抓住机会进行配置,证券时报网
4506,2020-09-21,银行行业周报：监管引导小贷行业规范发展 高成长性标估值上移,新浪
4507,2020-09-21,私人银行客户上半年涨了7.7万，国内的有钱人有多少,中新经纬
4508,2020-09-20,银行业周报229期：金控新牌照 管理有章法,新浪
4509,2020-09-19,疫情之后，谁是银行新“零售之王”？,Wind
4510,2020-09-19,21金融研究：疫情之后，谁是银行新“零售之王”？,21世纪经济报道
4511,2020-09-19,疫情之后， 谁是银行新“零售之王”？,21世纪经济报道
4512,2020-09-18,60万600万年薪之间只差《哪吒》?光线传媒董秘侯俊登顶薪酬榜,投资时报
4513,2020-09-18,银行股全线飘红 招商银行、平安银行等涨超1%,e公司
4514,2020-09-17,家乐福“破圈”：异业合作激发品牌新动能,联商网
4515,2020-09-17,【专栏】利率下调或已成趋势，平安银行新一贷欲将贷款利率降至4倍LPR以下,新流财经
4516,2020-09-17,平安银行升级打造“开放银行”，助力企业迎战新冠疫情,凤凰网
4517,2020-09-17,银行业被疯传降薪！我们探了下深圳情况,南都报
4518,2020-09-17,平安“新一贷”欲下调其贷款利率至4倍LPR以下,新流财经
4519,2020-09-17,A股融资融券日报：两融余额增加1.73亿元（9月16日）,Wind
4520,2020-09-17,银行：新一轮业绩/估值分化的起点-兼论头部银行估值天花板在哪里？,新浪
4521,2020-09-16,银行AIC：市场化债转股的主力军——AMC系列报告之三,东兴固收研究
4522,2020-09-16,平安银行零售经营及消费贷款事业部产品总监肖世江: 科技赋能助力平安银行小微贷款业务升级,零壹财经
