,2021-12-31,新能源汽车产业还有哪些投资机会？产业投融资面临哪些难点挑战？这场重磅年会给出答案,证券时报网
4227,2020-10-06,汽车与零部件行业：经济企稳及换购需求增加，预计明年行业销量增速有望明显改善，维持“中性”评级,东方证券
4228,2020-10-06,广汽讴歌就因销量差 已步入自救的边缘,Ofweek
4229,2020-10-05,打败特斯拉 五菱宏光出“神车” 汽车行业格局大变 产业链全曝光,金融界
4230,2020-10-04,小智一周要闻 | 大众收购HELLA Aglaia; 广汽华为深化合作,盖世汽车
4231,2020-10-04,广汽传祺李勇：加速数字化转型 提升用户价值感,网通社
4232,2020-10-02,中科创达投资价值分析：深耕智能操作系统，赋能万物互联时代,新浪
4233,2020-10-01,【2020中国车企图鉴】解码“广新速度”：从未停止的科技秀场,新能源观察
4234,2020-10-01,广汽传祺李勇：为消费者增值是金三角战略的核心,中国经营网
4235,2020-09-30,留给广汽的时间不多了，数字化能否解销量近渴？ | 北京车展,财经杂志
4236,2020-09-30,海外信用评级汇总2020年9月30日星期三,Wind
4237,2020-09-30,打造智能网联平台 广汽/华为深化合作,汽车之家
4238,2020-09-30,广汽集团总经理：着手转型科技企业 以科技赢得消费者选择,上证报
4239,2020-09-30,蔡迪霓:FCA在华发展稳步向好 将加强与用户情感联系,网易
4240,2020-09-30,深化战略合作：广汽与华为共同打造新一代智能网联平台,21世纪经济报道
4241,2020-09-30,广汽集团总经理冯兴亚：车企要从消费需求入手做“新四化”转型,证券时报
4242,2020-09-30,【行情】港股汽车股部分强势，比亚迪股份涨超10%，吉利汽车涨超3%，长城汽车涨2.33%，华晨中国、广汽集团涨超1%,金十数据
4243,2020-09-30,惠誉：授予广汽汇理汇聚通2020年第二期个人汽车抵押贷款资产支持证券“AAA(EXP)sf”预期评级,Wind
4244,2020-09-30,通信行业周报2020第27期：5G建设加速推进 毫米波发展如荼,新浪
4245,2020-09-30,华阳集团(002906)：与华为合作加速落地 长期价值逐步验证,新浪
4246,2020-09-30,智通港股通占比异动统计|9月30日,智通财经
4247,2020-09-30,汽车与零部件行业：经济企稳及换购需求增加 预计明年行业销量增速有望明显改善,新浪
4248,2020-09-30,中信建投：汽车行业复苏状况乐观 反转趋势明确,证券时报网
4249,2020-09-30,车展观向 一文看懂未来5年汽车新趋势,汽车之家
4250,2020-09-30,车企要从消费需求入手做“新四化”转型,证券时报
4251,2020-09-29,广汽集团与华为签署协议 打造新一代智能网联汽车平台,上证报
4252,2020-09-29,碰撞测试考验汽车安全性 广汽丰田TNGA安全标准推新,中国经营网
4253,2020-09-29,广汽集团与华为签署深化战略合作协议,Wind
4254,2020-09-29,广汽集团与华为签署深化战略合作协议,e公司
4255,2020-09-29,拥抱车险改革，广汽集团与众诚保险、爱和谊签署战略合作协议,搜狐
4256,2020-09-29,地平线完成战略投资融资,亿邦动力
4257,2020-09-29,向毅：至2023年 每年至少将推一款新车型,网易
4258,2020-09-29,广汽集团(02238)第二期股票期权激励计划首次授予期权限制行权期为9月30日-11月3日,智通财经
4259,2020-09-29,广汽集团(02238.HK)：第二期股票期权激励计划首次授予期权12月18日进入第1个行权期,格隆汇
4260,2020-09-29,归母净利同比腰斩、毛利率走低 广汽集团自主品牌销量承压 盈利能力下降,投资时报
4261,2020-09-29,汽车行业2020年中报总结：复苏状况乐观 反转趋势明确**汽车整车*陶亦然,新浪
4262,2020-09-29,广汽三菱欲加大车型推出频率 能否助推销量重回增长？,中国经营网
4263,2020-09-29,广汽集团以数字化驱动科技转型之路,经济观察网
4264,2020-09-29,广汽明确数字化三年转型目标 冯兴亚称不能坐在今天状态去梦想明天,证券日报
4265,2020-09-29,广汽资本通过福沃德基金投资地平线,和讯
4266,2020-09-29,范围广工具创新绑定性强 广汽集团拟启动新一轮股权激励,中国证券网
4267,2020-09-29,新能源汽车行业周报：特斯拉电池日召开，维持“强于大市”评级,平安证券
4268,2020-09-29,中国自主品牌汽车积极打造未来智能出行生态,中新网
4269,2020-09-29,地平线发布车规级AI芯片「征程3」，「征程5」性能超越特斯拉FSD,新智元
4270,2020-09-29,26股获券商买入评级，芯源微目标涨幅达55.56%,Wind
4271,2020-09-29,格局与趋势：北京车展对话六大车企CEO,21世纪经济报道
4272,2020-09-28,腾讯车联多款合作新车亮相北京车展 生态车联网快速上车,盖世汽车
4273,2020-09-28,广汽加快数字化转型 传祺M8和概念跑车影动首发,中国财富网
4274,2020-09-28,汽车行业周观点：特斯拉电池日发布新技术 行业持续回暖,新浪
4275,2020-09-28,谋求数字转型实效 广汽集团战略产品双线出击 | 车巡京畿,华夏时报
4276,2020-09-28,吉力辞任广汽集团(02238)监事会监事及监事会主席 董监高成员变化,智通财经
4277,2020-09-28,广汽集团推股权激励计划 深度绑定核心员工利益,中证网
4278,2020-09-28,广汽集团：吉力辞去监事、监事会主席职务 董监高成员变化,Wind
4279,2020-09-28,北京车展|李牮：产品/科技/服务全面增值 “金三角战略”助力广汽传祺品牌向上,搜狐
4280,2020-09-28,直击2020北京国际车展：广汽集团发布数字化加速器GDA项目 科技转型步伐提速,证券时报网
4281,2020-09-28,广汽集团拟推2.2亿股股权激励 核心宗旨“一切为了人才”,证券时报
4282,2020-09-28,北京车展|邱亮平：广汽新能源做到了行业前三今年不会调整6万辆的销量目标,搜狐
4283,2020-09-28,一周，2200亿没了 | 汽车股涨跌榜,第一电动网
4284,2020-09-28,地平线推新一代AI芯片征程3，能耗比超多款行业主流芯片,车云网
4285,2020-09-28,广汽传祺数字化转型提速 全面升级产品服务,上证报
4286,2020-09-28,21股获券商买入评级，华侨城A目标涨幅达60.90%,Wind
4287,2020-09-28,港股盘前必读：中国恒大公告称目前公司经营正常健康财务稳健,Wind
4288,2020-09-28,“芯”引擎加速智能汽车量产，地平线踏上新征程,盖世汽车
4289,2020-09-27,策略系列：一周策略回顾与展望,新浪
4290,2020-09-27,北京车展|李勇：数字化时代广汽传祺要打造一键式服务，让用户安心、放心,搜狐
4291,2020-09-27,全“数”前进！广汽集团北京车展发布,新华网
4292,2020-09-27,广汽集团(601238)：公司拟实施新一轮A 股员工激励计划 进一步完善长期激励机制,广发证券
4293,2020-09-27,在疫情中承压的广汽集团谋求数字化转型,第一财经
4294,2020-09-27,广州金交会：65个产融对接项目达成签约 4个新设机构和平台获授牌,21世纪经济报道
4295,2020-09-27,北京车展开幕，广东汽车产量连续两个月居全国第一,南方网
4296,2020-09-27,广汽集团冯兴亚：每年自主品牌净投入超50亿元 研发占比超10%,腾讯网
4297,2020-09-27,广汽数字化加速器GDA项目正式发布 全新传祺M8上市,中新网
4298,2020-09-27,开启数字化转型：广汽集团全速前进,21世纪经济报道
4299,2020-09-27,汽车智能化“芯引擎”，地平线高等级自动驾驶芯片问市,电子工程世界
4300,2020-09-27,地平线发布高等级自动驾驶芯片 驶向量产新征程,中国经济网
4301,2020-09-27,广汽传祺发布金三角战略 一切以顾客体验为中心,时代财经
4302,2020-09-27,广汽三菱向毅：未来3年，每年至少推1款新车型,网通社
4303,2020-09-26,广汽传祺发布金三角战略，冯兴亚：让消费者感受到高价值感,时代在线
4304,2020-09-26,广汽集团发布广汽数字化加速器GDA项目,Wind
4305,2020-09-26,广汽集团发布广汽数字化加速器GDA项目,e公司
4306,2020-09-26,华南西南车企“冰火两重天”：长安汽车逆势增长 海马力帆处境艰难,中国经营报
4307,2020-09-26,广汽新能源总经理古惠南：力争2022年推出L4车型实现全球引领,证券日报
4308,2020-09-25,造车新势力研究：智能化汽车三问三答，维持“强于大市”评级,平安证券
4309,2020-09-25,步入调整期发布金三角营销战略 广汽传祺重塑三方关系助推品牌向上,搜狐
4310,2020-09-25,汽车周报2020第32期：8月汽车经销商库存预警指数环比下降 上汽大众新能源汽车工厂即将投产,新浪
4311,2020-09-25,天风证券：一文看透汽车景气现状,新浪
4312,2020-09-25,广汽集团推出股票和期权激励计划 拟绑定3200名员工保业绩,产业经济新闻网
4313,2020-09-25,中金：授予广汽集团(02238)目标价8.8港元，维持“跑赢行业”评级,智通财经
4314,2020-09-25,汽车股集体下跌 广汽集团跌逾6%华晨中国跌逾5% 连续下跌,新浪
4315,2020-09-25,港股异动 | 广汽集团(02238)挫逾6%领跌汽车股 9月上中旬11家主要车企销量同比下降9.1% 盈利能力下降,智通财经
4316,2020-09-25,广汽传祺“金三角战略”正式发布 产品、科技、服务全面增值,中新网
4317,2020-09-25,【异动股】广汽集团(02238-HK)跌5.67%,财华社
4318,2020-09-25,轩致科技再出发，联手广汽蔚来和苏宁布局C2智慧零售,和讯
4319,2020-09-25,广汽集团(601238)：股权激励计划落地 全面提振员工士气,新浪
4320,2020-09-25,广汽集团(601238)：激励计划助长期增长 季度盈利改善利好估值回升,新浪
4321,2020-09-25,每日财报|居然之家前三季净利下降6成广汽集团推2.2亿份股票激励,搜狐
4322,2020-09-25,长安汽车最先喊出全面禁售燃油车，跟蔚来谈了场无意义的恋爱？,投资者网
4323,2020-09-25,以科技决胜未来 广汽新能源展现新生力量,网通社
4324,2020-09-25,上市公司正负面新闻2020年9月25日星期五,Wind
4325,2020-09-24,广汽集团(02238.HK)：A股拟推不超2.2亿份股票期权与限制性股票激励计划,格隆汇
4326,2020-09-24,广汽集团：拟推2.2亿股股票期权与限制性股票激励计划,Wind
4327,2020-09-24,晚间重要公告2020年9月24日星期四,Wind
4328,2020-09-24,广汽集团：拟推2.2亿股股票期权与限制性股票激励计划,e公司
4329,2020-09-24,广汽集团(601238.SH)：拟推不超2.2亿份股票期权与限制性股票激励计划,格隆汇
4330,2020-09-24,“模因战队”再添猛将！广汽蔚来联手苏宁布局C2智慧零售,砍柴网
4331,2020-09-24,氢燃料汽车不再是概念 开始走入生活,广州日报
4332,2020-09-24,乘联会：重点车企指标明显改善,乘联会
4333,2020-09-24,【异动股】广汽集团(02238-HK)跌3.84%,财华社
4334,2020-09-24,“南北丰田”两翼齐飞 丰田在华电气化战略展望,网通社
4335,2020-09-23,汽车行业周报：新能源汽车开始市场化放量 铁锂电池重获生机,新浪
4336,2020-09-23,新泉股份(603179)：优质客户护航 商乘业务并举,新浪
4337,2020-09-23,"广汽集团现金流出加剧 合资品牌分化""两田""苦撑局面",新浪
4338,2020-09-23,广汽集团在高科技产业化应用领域迈上新台阶,羊城晚报
4339,2020-09-23,民族品牌指数涨1.03% 广汽集团今世缘涨停,中国证券网
4340,2020-09-22,恒指收跌0.98%报23716.85点，黄金股、航空股跌幅居前,Wind
4341,2020-09-22,任泽平：中国新能源汽车发展报告,泽平宏观
4342,2020-09-22,新能源汽车行业周报：宁德时代包揽先导智能定增,新浪
4343,2020-09-22,【异动股】广汽集团(02238-HK)跌4.06%,财华社
4344,2020-09-22,德邦语音早报丨20200922,德邦证券微资讯
4345,2020-09-22,超级电池虚与实：噱头还是颠覆性技术？,第一财经
4346,2020-09-22,相对优势削弱，机构坚守消费股,Wind
4347,2020-09-21,超级电池虚与实：噱头还是颠覆性技术？,第一财经
4348,2020-09-21,汽车周报：行业复苏之旅蓬勃展开 新能源领域供需两旺,新浪
4349,2020-09-21,广汽集团(02238.HK)子公司广汽商贸受托管理广州环境保护技术,格隆汇
4350,2020-09-21,广汽集团(02238)：广汽荻原拟进行扩能投资项目,智通财经
4351,2020-09-21,广汽集团(601238.SH)董事会通过关于广汽荻原扩能投资项目的议案,格隆汇
4352,2020-09-21,广汽集团(02238.HK)选举石磊任监事会职工代表监事,格隆汇
4353,2020-09-21,广汽集团：变更职工代表监事 董监高成员变化,Wind
4354,2020-09-21,宁德时代“陨落”？,北极星电力
4355,2020-09-21,宁德时代迎来“至暗时刻”：跌落王座 威胁环顾,新浪
4356,2020-09-21,汽车2020中报综述：行业持续复苏态势 聚焦新能源优质产业链,新浪
4357,2020-09-21,广汽集团强化自主品牌事业一体化运作,中国机经网
4358,2020-09-21,蔚来模因战队集结 加速智能出行生态落地,网通社
4359,2020-09-21,由车企半年报解读智能网联业务发展,汽车工信网
4360,2020-09-21,智通港股通占比异动统计|9月21日,智通财经
4361,2020-09-21,广汽新能源总经理古惠南：以“有情感的产品”占领更大市场,中证报
4362,2020-09-20,新能源汽车产业跟踪系列23：8月新能源车产销同比高增 行业恢复景气,新浪
4363,2020-09-18,【权益变动】广汽集团(02238-HK)被FMRLLC增持239万股,财华社
4364,2020-09-18,“电动车”将接替大消费？特斯拉红火反衬国产品牌困顿,Wind
4365,2020-09-18,汽车行业跟踪研究：乘用车继续向好 新能源车增速或持续提升,新浪
4366,2020-09-18,港股盘前必读：下半年或迎来中概股回香港第二上市的新一轮高潮,Wind
4367,2020-09-18,智通港股通占比异动统计|9月18日,智通财经
4368,2020-09-17,广汽集团今日大宗交易成交260万股，成交价10.56元折价3.03%,Wind
4369,2020-09-17,汽车行业：20年数据点评系列之二十：8月乘用车终端持续改善 如何展望4季度及2021年？,广发证券
4370,2020-09-17,2020全球供应链大会｜广汽新能源席忠民：“新四化”产业趋势及供应链合作策略,第一电动网
4371,2020-09-17,首期基金10亿美元 广汽蔚来资本+生态“模因”战队连纵破局,华夏时报
4372,2020-09-17,【行情】港股汽车股走高，比亚迪股份涨7.6%，广汽集团、吉利汽车分别跟涨4.28%及1.78%，北京汽车跌幅缩窄至0.8%,金十数据
4373,2020-09-17,"打造智能出行生态 广汽蔚来组建""模因战队""",网易
4374,2020-09-17,【异动股】广汽集团(02238-HK)涨3.55%,财华社
4375,2020-09-17,比亚迪、长城汽车双双走升并再创新高，江铃汽车、广汽集团等普涨,Wind
4376,2020-09-17,广汽蔚来打造软硬件一体化智能出行生态，今年将开设60家直营店,36氪
4377,2020-09-17,"广汽蔚来""模因战队""亮相 首个软硬件一体智能出行生态加速落地",经济日报
4378,2020-09-17,2020年中国锂电池行业动力电池年度竞争力品牌榜单,新能源网
4379,2020-09-17,都咋盈利？十大中国车企财报解析(下),汽车之家
4380,2020-09-16,“模因战队”官宣 广汽蔚来打造智能出行生态,车质网
4381,2020-09-16,广汽自主板块人事架构大调整张跃赛接替刘伟任整车事业本部本部长,搜狐
4382,2020-09-16,2020年8月汽车社零数据点评：8月汽车零售额增速延续双位数增长 行业持续回暖,新浪
4383,2020-09-16,广汽迎新一轮人事调整：自主板块一体化提速,21世纪经济报道
4384,2020-09-16,民族品牌指数下跌0.97% 广汽集团上涨2.71%,上证报
4385,2020-09-16,广汽人事大调整，自主一体化提速，张跃赛任关键角色,时代在线
4386,2020-09-16,炒股、卖房、政府补助 164只汽车股上半年“花式获利”超150亿,时代周报
4387,2020-09-16,广汽成立新公司 石墨烯超快充电池即将量产！,新能源网
4388,2020-09-16,暴涨暴跌的钴牵动整个新能源车产业链，钴还会再发威吗？,每日经济新闻
4389,2020-09-16,广汽集团调整组织架构，强化自主板块体系运作效率,36氪
4390,2020-09-16,突破市场困局新能源车企要先突破自己,中国汽车报
4391,2020-09-15,广汽调整原整车事业部组织架构 张跃赛任本部长,每日经济新闻
4392,2020-09-15,新能源汽车行业周报：特斯拉的欧洲困局,新浪
4393,2020-09-15,人事结构再调整，广汽集团深化整合自主品牌一体化运作,盖世汽车
4394,2020-09-15,汽车行业周报：汽车销量稳步增长 新能源汽车市场持续改善,新浪
4395,2020-09-15,汽车行业周报2020第31期：8月狭义乘用车销量同比增长9% 重卡销量同比大增75%,新浪
4396,2020-09-15,汽车行业及代表性发行人信用状况跟踪：车市负增长及疫情冲击下发行人趋向谨慎,新浪
4397,2020-09-15,广汽集团将获广州高价值专利产业化项目100万元资助,证券时报
4398,2020-09-15,智通港股通占比异动统计|9月15日,智通财经
4399,2020-09-14,汽车行业周报第36期：8月乘用车零售167万辆 行业需求持续回暖,新浪
4400,2020-09-14,柳州航盛与自行科技签订战略合作协议,砍柴网
4401,2020-09-14,小摩：下调广汽集团(02238)评级至“中性”，目标价下调至7.5港元 投资评级恶化,智通财经
4402,2020-09-14,制备、应用双管并下，广汽有望完成“石墨烯+新能源”产业闭环,时代在线
4403,2020-09-14,充电和加油一样快 广汽成立石墨烯电池公司,网通社
4404,2020-09-14,智通港股通占比异动统计|9月14日,智通财经
4405,2020-09-13,E周看点 | 威马汽车完成D轮融资；特斯拉在昆明成立新公司,盖世汽车
4406,2020-09-13,充电仅需8分钟？广汽成立石墨烯公司,汽车之家
4407,2020-09-11,2020年8月汽车销量跟踪报告：行业复苏态势持续向好 新能源车销量创历史新高,光大证券
4408,2020-09-11,债券重大事件2020年9月11日星期五,Wind
4409,2020-09-11,广汽集团(02238)A股将于9月21日派发现金红利每股0.03元,智通财经
4410,2020-09-11,特斯拉国产Model Y即将上市，蔚来将遭遇最强威胁？,钛媒体
4411,2020-09-11,广汽集团：“广汽转债”转股价格由14.26元/股调整为14.23元/股,Wind
4412,2020-09-11,广汽集团(02238)：广汽转债的转股价格将下调为14.23元/股,智通财经
4413,2020-09-11,广汽集团(601238.SH)：2020年中报推10派0.3元股权登记日9月18日,格隆汇
4414,2020-09-11,国内固态电池技术领跑者清陶发展获E++轮融资,投资界
4415,2020-09-11,陶瓷隔膜及全固态化锂电池研发商清陶能源完成E轮融资,亿邦动力
4416,2020-09-11,智通港股通占比异动统计|9月11日,智通财经
4417,2020-09-11,蔚来退出合作 长安新能源之路怎么走？,汽车之家
4418,2020-09-10,广汽集团(02238.HK)：广汽零部件拟发行不超3亿元超短期融资券,格隆汇
4419,2020-09-10,广汽集团(02238)：广汽零部件2020年度拟发行不超过3亿元的超短期融资券,智通财经
4420,2020-09-10,广汽集团(601238.SH)：广汽零部件2020年度拟发行不超3亿元超短期融资券,格隆汇
4421,2020-09-10,走进溪村 汽车CXO关于数字化未来的思想碰撞,凤凰网
4422,2020-09-10,广汽集团8月增长10.42%，“两田”贡献八成销量,第一电动网
4423,2020-09-10,一张截图价值400亿：811电池是一面镜子,第一电动网
4424,2020-09-10,广汽集团底牌日渐乏力 拿什么拯救明显低于行业均值的毛利率,投资者网
4425,2020-09-10,周四机构一致看好的七大金股（09.10）,中金在线
4426,2020-09-10,19股获券商买入评级，淮北矿业目标涨幅达53.01%,Wind
4427,2020-09-10,【汽车-袁伟】广汽集团：自主同比增幅扩大，两田延续上升态势,安信证券研究
4428,2020-09-10,赚到钱了吗？十大中国车企财报解析(上),汽车之家
4429,2020-09-10,广汽集团 | 8月：日系维持高增长 自主销量回升【华西汽车 崔琰团队】,汽车琰究
4430,2020-09-09,广汽集团日渐乏力的底牌,和讯
4431,2020-09-09,广汽集团8月销量超18万辆 V型反转趋势明确,中国财富网
4432,2020-09-09,聚焦超快充电池与石墨烯技术 广汽集团孵化成立技术创新公司,证券时报网
4433,2020-09-09,"广汽集团首家内部孵化技术创新公司完成注册,大力推进高科技产业化应用",金融界
4434,2020-09-09,最新！广汽集团公布8月份产销数据,资本邦
4435,2020-09-09,广汽集团8月新能源乘用车销量7748辆，同比增长58.71%,中国投资协会
4436,2020-09-09,广汽集团投资成立新公司，经营范围含石墨烯材料销售,第一电动网
4437,2020-09-09,广汽集团(601238)：自主销量企稳 日系持续向上,新浪
4438,2020-09-09,港股异动丨广汽集团(2238.HK)涨4.28%8月汽车销量18.06万辆同比增长11.64%,格隆汇
4439,2020-09-09,港股异动︱广汽集团(02238)涨超4% 广汽丰田8月销量超7万辆,智通财经
4440,2020-09-09,【安信汽车】广汽集团：股权激励计划落地，全面提振员工士气,AX汽车研究
4441,2020-09-09,港股盘前公告精选：广汽集团前八月汽车销量同比减少9.87%,Wind
4442,2020-09-09,ROE创历史新低 上市车企跑输理财大妈,第一电动网
4443,2020-09-09,智通港股通占比异动统计|9月9日,智通财经
4444,2020-09-09,港股盘前必读：隔夜美股重挫，纳指跌超4%,Wind
4445,2020-09-09,【汽车*黄细里】批发销量已连续4个月正增长，复苏进行时,东吴研究所
4446,2020-09-09,SUV表现抢眼 广汽集团8月销量破18万辆,汽车之家
4447,2020-09-09,罗蔚：造车新势力市值超越传统车企是泡沫还是启示?,南方财经网
4448,2020-09-08,9月8日晚间上市公司十大重磅公告,巨丰财经
4449,2020-09-08,广汽集团(02238)前八月汽车累计销量同比减少9.87%至118.91万辆 盈利能力下降,智通财经
4450,2020-09-08,华阳集团(002906)：Q2净利润绝对额创新高 超预期 看好下半年HUD订单放量,新浪
4451,2020-09-08,广汽集团：8月汽车销量同比增长11.64%,e公司
4452,2020-09-08,广汽集团(601238.SH)8月汽车销量18.06万辆同比增长11.64%,格隆汇
4453,2020-09-08,智通港股通占比异动统计|9月8日,智通财经
4454,2020-09-08,智通港股通持股解析|9月8日,智通财经
4455,2020-09-08,埃安V交付 广汽新能源三年销量超10万辆,汽车之家
4456,2020-09-08,民族品牌指数下跌1.30% 北向资金加仓五粮液,上证报
4457,2020-09-08,罗蔚：造车新势力市值超越传统车企是泡沫还是启示?,财富动力网
4458,2020-09-07,十大基金公司 “最爱个股”曝光：易方达和交银、富国争抢科创板,新浪
4459,2020-09-07,广汽集团(02238.HK)可转债将停止转股,格隆汇
4460,2020-09-07,广汽集团：实施权益分派时转股连续停牌 重大事项停牌,Wind
4461,2020-09-07,车险综合改革让利消费者 险企瞄准细分市场寻求创新突破,证券日报
4462,2020-09-07,宁德时代首次「战败」,第一电动网
4463,2020-09-07,2020泰达汽车论坛 |吴坚：广汽集团在第五阶段油耗法规方面的挑战及应对,盖世汽车
4464,2020-09-07,期待广汽集团(02238-HK)在将来业绩能进一步向好投资建议是这样的,财华社
4465,2020-09-07,整车行业中报：超七成公司营收下滑 头部公司Q2集体回暖 盈利能力下降,面包财经
4466,2020-09-07,车路协同风头日盛，单车智能路线还要继续走吗？,盖世汽车
4467,2020-09-06,古惠南：现在不能确定，“车电分离”模式是否将成为行业发展方向,第一电动网
4468,2020-09-05,2020泰达汽车论坛 |高锐：广汽集团依托核心竞争力的思考和探索,盖世汽车
4469,2020-09-05,2020泰达论坛｜广汽集团高锐：力争2023年实现L4级示范运营,第一电动网
4470,2020-09-05,2020不再躺赢，宁德时代怎么办？,钛媒体
4471,2020-09-05,广汽集团上半年逆势盈利23.18亿 新能源销量增89% “两田”持续强劲,凤凰网
4472,2020-09-04,上半年7成车企盈利下滑 9家上市车企亏损 亏损,第一财经
4473,2020-09-04,新能源汽车补贴坏账率大幅提升，车企 “去补贴”后积分交易启动,Wind
4474,2020-09-04,上半年14家合资车企超8成利润下滑 盈利能力下降,经济观察报
4475,2020-09-04,【东吴电新】周策略：电动车Q3拐点明确，光伏Q3业绩继续高增,新兴产业汇
4476,2020-09-03,车企中考:头部公司研发缩水 北汽蓝谷毛利率跌入负值 盈利能力下降,新浪
4477,2020-09-03,广汽集团(02238)：“广汽转债”累计转股7207.54万股,智通财经
4478,2020-09-03,广汽集团(02238.HK)截至8月31日累计15.56亿元“广汽转债”已转换成公司股票,格隆汇
4479,2020-09-03,广汽集团(02238.HK)：H1业绩符合预期，下半年或持续回升，维持“买入”评级,国信证券
4480,2020-09-03,【行情】港股汽车股午后跌幅扩大，吉利汽车跌近6%，长城汽车跌超4%，广汽集团跌1.77%，比亚迪股份跌1.39%,金十数据
4481,2020-09-03,恒指低开后反弹乏力，吉利汽车领跌蓝筹,Wind
4482,2020-09-03,【行情】港股汽车股持续走软，吉利汽车跌超5.3%，长城汽车跌2.5%，广汽集团跌超1%,金十数据
4483,2020-09-03,广汽集团(02238.HK)：中报符合预期，品牌依旧分化，给予“买入”评级，目标价8.6港元,国元证券
4484,2020-09-03,7月全球新能源销量：上汽威胁比亚迪,第一电动网
4485,2020-09-03,4家依靠非汽车业务净利增长 2020上半年车企业绩6大特点梳理,第一电动网
4486,2020-09-03,138股获券商买入评级，会畅通讯目标涨幅达93.60%,Wind
4487,2020-09-03,智通港股通占比异动统计|9月3日,智通财经
4488,2020-09-02,汽车行业2020H1财报总结：乘用车盈利能力显著恢复、重卡持续高景气度,新浪
4489,2020-09-02,为什么即将登陆科创板的吉利汽车(00175)会引领汽车股新风潮?,智通财经
4490,2020-09-02,广汽集团(02238)9月8日-21日期间第二期股票期权激励计划全部激励对象将限制行权,智通财经
4491,2020-09-02,蔚来汽车的三段「婚姻」,36氪
4492,2020-09-02,8月汽车股：海马跌宕8涨停5跌停 上汽长城市值涨超50亿,时代在线
4493,2020-09-02,上半年大部分车企业绩惨淡 江铃汽车、长安汽车独树一帜,Ofweek
4494,2020-09-02,【异动股】广汽集团(02238-HK)跌3.31%,财华社
4495,2020-09-02,上半年业绩优于预期，广汽自主板块亟需加强,第一电动网
4496,2020-09-02,【近期研报】百胜中国；日清食品；广汽集团；禹洲集团；建发国际集团,国元国际
4497,2020-09-02,2020车企半年报：整体承压不乏亮点 下半年依然可期,中国经济网
4498,2020-09-02,民族品牌指数跌0.38%，多只成分股获券商青睐,Wind
4499,2020-09-02,车企上半年“绿肥红瘦”回暖持续性待观察,证券时报
4500,2020-09-01,德联集团(002666)：品类扩张打开成长空间 收入持续好于行业,光大证券
4501,2020-09-01,广汽集团公布2020年中期业绩 净利润约23.18亿元,网易
4502,2020-09-01,26公司获得推荐评级-更新中,中财网
4503,2020-09-01,美银美林：下调广汽集团(02238)目标价至8.5港元，重申“买入”评级 机构下调估值,智通财经
4504,2020-09-01,广汽集团与中国邮政签署战略合作协议,爱卡汽车
4505,2020-09-01,近7成车企净利润暴跌 长安江铃“花式”逆袭 盈利能力下降,时代周报
4506,2020-09-01,各国扶持力度加大，氢燃料电池车迎来新风口,盖世汽车
4507,2020-09-01,近7成车企净利暴跌 长安江铃“花式”逆袭 盈利能力下降,时代周报
4508,2020-09-01,国联证券研究所9月金股组合,国联研究
4509,2020-08-31,广汽发布第四代飞度 年轻化性价比仍是主打牌,上证报
4510,2020-08-31,广汽集团(601238)2020年中报点评：日系维持热销 自主亏损企稳 亏损,新浪
4511,2020-08-31,收评：港股恒指午后跳水跌0.96% 内银股重挫邮储跌超8%,新浪
4512,2020-08-31,二季度扣非净利同比大涨99%，广汽加速科技化转型,时代在线
4513,2020-08-31,港股异动 | 广汽集团(02238)午后挫逾8% 中期归属股东净利润减少52.88%至23.18亿元 盈利能力下降,智通财经
4514,2020-08-31,读懂广汽集团2020半年报：净利下滑52.87%，但复苏势头强劲 盈利能力下降,第一电动网
4515,2020-08-31,中国邮政与广汽集团签署战略合作框架协议,Wind
4516,2020-08-31,中国邮政与广汽集团签署战略合作框架协议,e公司
4517,2020-08-31,2020就这样了，看看广汽传祺2021年即将爆发,第一电动网
4518,2020-08-31,广汽集团 | 2020半年报点评：Q2业绩回暖 日系表现稳健【华西汽车 崔琰团队】,汽车琰究
4519,2020-08-31,广汽集团：高质量发展应对疫情冲击 二季度率先实现收益增长回归,证券之星
4520,2020-08-31,广汽集团：Q2业绩基本符合预期,特总车研
4521,2020-08-31,上市车企半年报出炉：14家车企中9家市值缩水，部分车企遭遇“暴击”,每日经济新闻
4522,2020-08-31,智通港股通占比异动统计|8月31日,智通财经
4523,2020-08-30,周观点 | 乘用车底部向上 新能源政策助力【华西汽车 崔琰团队】,汽车琰究
4524,2020-08-30,【华创汽车】广汽集团：中报日系表现超预期,Auto Workshop
4525,2020-08-30,广汽集团(601238)：2Q20经营环比改善,新浪
4526,2020-08-30,汽车行业周报2020第30期：乘用车8月第二周日均零售同比增长9% 大众ID.4开始批量生产,新浪
4527,2020-08-30,【天风汽车】广汽集团：Q2业绩&盈利能力大幅改善,学学看汽车
4528,2020-08-30,汽车技术月报：聊奔驰S级/奥迪Q5新技术,汽车之家
4529,2020-08-29,广汽集团(601238)：广汽丰田业绩创历史新高,新浪
4530,2020-08-29,2020年7月乘联会乘用车零售销量点评：7月乘用车零售销量同比增速和环比增速均超预期 行业回暖趋势确立,新浪
4531,2020-08-29,广汽集团2020年上半年报 归母净利润约23.18亿元,网通社
4532,2020-08-29,氢燃料汽车销量冷淡资本火热：一月内三家氢能概念股冲击科创板,经济观察网
4533,2020-08-29,广汽集团(02238-HK)半年少赚53%股息3分 盈利能力下降,财华社
