,2021-12-31,中国人保推出HarmonyOS智能座舱车载保险,中国金融新闻网
1562,2020-07-13,中国人保(601319.SH)：上半年原保费收入3350.45亿元同比增4.25%,格隆汇
1563,2020-07-13,中国人保：上半年保费收入合计3350.45亿元,格隆汇
1564,2020-07-13,中国人保：1-6月子公司所获得的原保险保费收入合计3350亿元,Wind
1565,2020-07-13,保险行业2020年中报业绩前瞻：无风险利率下行、国债利率上行，全面利好保险，维持“增持”评级,国泰君安
1566,2020-07-13,驻中国人保纪检监察组：加强内部监督管理，坚决防止人员外逃、资金外流,每日经济新闻
1567,2020-07-13,港股盘前必读：伦敦基本金属普涨，7月18日深港通–创业板改革演习,Wind
1568,2020-07-13,机构：A股短期谨慎中长期向好,证券日报
1569,2020-07-13,【国君非银】无风险利率下行、国债利率上行，全面利好保险——保险行业2020年中报业绩前瞻,欣琦看金融
1570,2020-07-12,中国人保带领金融股集体降温 接下来按兵不动还是调整策略？,21世纪经济报道
1571,2020-07-12,A股降温调整，科技股蓄能会否卷土重来？,Wind
1572,2020-07-12,震惊A股！超3000亿大减持：银证保三龙头罕见齐遭抛售，大基金又卖6倍牛股，昔日 “股神”也出手了！他们不相信牛市？ 减持股份,中国基金报
1573,2020-07-12,7天减持超350亿！牛市情绪下减持潮汹涌,Wind
1574,2020-07-12,套现3000亿！A股的重要股东，不相信牛市,中国基金报
1575,2020-07-11,中国股市，这个周末不安静，“变盘”或在下周？值得警惕！,搜狐
1576,2020-07-11,7月10日复盘笔记：市场情绪降温 外资净流出超40亿,新浪
1577,2020-07-11,陆家嘴财经早餐2020年7月11日星期六,Wind
1578,2020-07-10,“3411工程”两周年:缪建民挥别人保 “3411工程”后半场谁来坚守,中国经济网
1579,2020-07-10,减持、套现3117亿！A股的重要股东们，不相信牛市 减持股份,全景网
1580,2020-07-10,半日蒸发1500亿，国家队疯狂减持？别慌，牛市依旧强劲！ 减持股份,搜狐
1581,2020-07-10,内资保险股下挫，中国人保中国人寿跳水大跌超4% 连续下跌,腾讯网
1582,2020-07-10,招商局集团换帅 中国人保董事长缪建民接任李建红 董监高成员变化,中国经济网
1583,2020-07-10,缪建民辞别中国人保 赴任招商局集团董事长 董监高成员变化,证券日报
1584,2020-07-10,挥别中国人保 缪建民赴招商局任董事长,经济观察网
1585,2020-07-10,社保减持突袭，A股火速降温！ 减持股份,第一财经
1586,2020-07-10,港股午后下挫恒指跌超2% 大金融杀跌中国人保大跌9%光大证券跌10%,腾讯网
1587,2020-07-10,辞别人保，缪建民赴任招商局董事长！从1万亿金融央企到9万亿实业央企，有何不同？,券商中国
1588,2020-07-10,人保财险宁波市分公司2宗违法遭罚 虚构保险中介业务 金融监管处罚,中国经济网
1589,2020-07-10,主力资金出手减持沪指失守3400、两市翻绿 减持股份,中新经纬
1590,2020-07-10,55岁中国人保集团董事长缪建民调任招商局集团董事长,澎湃新闻
1591,2020-07-10,招商局集团换帅 李建红卸任缪建民接任董事长 董监高成员变化,21世纪经济报道
1592,2020-07-10,大金融高位熄火 券商股该嫌“贵”了么？,中投网
1593,2020-07-10,港股收盘：恒生指数盘中一度跌超2% 中资券商、内险股领跌,英为财情
1594,2020-07-10,减持消息冲击市场 人保市值缩水270亿 减持股份,21世纪经济报道
1595,2020-07-10,中国人保：公司职工代表监事辞职及选举职工代表监事 董监高成员变化,Wind
1596,2020-07-10,整体调整！市场出现避险情绪，医疗板块再次领涨,Wind
1597,2020-07-10,恒指低开低走收跌1.84%，保险股领跌蓝筹,Wind
1598,2020-07-10,频频遭减持，保险股“不香”了吗？ 减持股份,腾讯网
1599,2020-07-10,A股收盘：上证指数跌约2% 结束8连涨 两市成交量再超1.5万亿,英为财情
1600,2020-07-10,内险股捱沽 中国人寿跌幅扩至逾7%中国人保下跌9%,新浪
1601,2020-07-10,A股收盘综述：创业板指周涨12.83%，创历史最大单周涨幅,Wind
1602,2020-07-10,【港股通】遭社保基金减持 中国人保跌逾8% 减持股份,凤凰网
1603,2020-07-10,【异动股】保险板块下挫，中国人保(601319-CN)跌6.79%,财华社
1604,2020-07-10,“国家队”对4家公司抛百亿减持，A股降温 减持股份,观察者网
1605,2020-07-10,疯牛刹车？爆买600亿后，“聪明资金”突然掉头,中国基金报
1606,2020-07-10,一夜减持逾150亿！国家队集体出货，光大证券遭卖出30亿 减持股份,搜狐
1607,2020-07-10,金融股高位熄火 医疗器械板块逆势上扬,新浪
1608,2020-07-10,真的降温了！中国人寿、中国人保早盘跳水,21世纪经济报道
1609,2020-07-10,中国人保首席承保的亚太6D卫星发射成功,金融界
1610,2020-07-10,A股异动：受社保基金减持影响，中国人保跌近6%，领跌保险板块 减持股份,英为财情
1611,2020-07-10,A股午盘综述：上证指数跌逾1%，两市成交额再破万亿,Wind
1612,2020-07-10,解禁洪峰将至，接盘需谨慎,Wind
1613,2020-07-10,保险股跌幅继续扩大，中国人寿、中国人保均跌7%左右,Wind
1614,2020-07-10,此次牛市与2015年有何不同？,第一财经
1615,2020-07-10,社保基金拟减持不超8.84亿股 中国人保股价低开4.48% 拟减持股份,金融界
1616,2020-07-10,【异动股】保险板块下挫，中国人保(601319-CN)跌5.7%,财华社
1617,2020-07-10,港股中国人保跌4.64% 社保基金拟减持A股不超过2% 拟减持股份,证券时报网
1618,2020-07-10,港股异动 | 中国人保(01339)盘初挫逾6%拖累内险股 社保基金拟减持最多2%人保A股 拟减持股份,智通财经
1619,2020-07-10,港股保险板块杀跌，中国人保跌超6%,Wind
1620,2020-07-10,社保基金减持不超2% 中国人保早盘低开4% 减持股份,新浪
1621,2020-07-10,A股电子烟概念股分化 中国人保低开4%,红周刊
1622,2020-07-10,大基金、社保基金减持计划出炉，中国人保等多股低开,Wind
1623,2020-07-10,沪指低开0.92% 大金融板块集体走低,证券时报网
1624,2020-07-10,中国人保低开4.48% 社保基金会拟减持 拟减持股份,e公司
1625,2020-07-10,保险股疲软，中国人保、中国人寿均低开超4%,Wind
1626,2020-07-10,社保基金计划减持中国人保8.84亿股，称作为战略投资者地位不变 减持股份,环球老虎财经
1627,2020-07-10,牛市早报｜外资机构唱多A股市场，人民币汇率重回“6”时代,澎湃新闻
1628,2020-07-10,财经早茶∣大基金计划减持多家公司股份；国常会部署防汛救灾工作,证券时报网
1629,2020-07-10,港股公告精选：中国人保第二大股东社保基金会拟减持不超8.84亿股A股,Wind
1630,2020-07-10,股、金、汇携手齐涨，减持也来了！,Wind
1631,2020-07-10,猎鹰看盘：国家队出手影响几何？短线留意这些机会！,金融界
1632,2020-07-10,每日理财观察：央行表示转账超10万将被严查系误读，第二批创业板战略配售基金已获批,Wind
1633,2020-07-10,社保基金要套现，国家大基金减持，释放什么信号,中国基金报
1634,2020-07-10,国家队突然出手，这些热门股要被减持！背后有何深意？A股疯牛还能继续吗？ 减持股份,证券时报网
1635,2020-07-10,前有中信喊“卖”、后有社保要“减”，人保为啥不被待见,第一财经
1636,2020-07-10,社保基金与大基金大手笔减持，降温信号升级，A股要调整了吗？ 减持股份,搜狐
1637,2020-07-10,车险综合改革指导意见征求意见稿点评：车险综合改革推动行业格局强者恒强,新浪
1638,2020-07-10,陆家嘴财经早餐2020年7月10日星期五,Wind
1639,2020-07-10,沪指继续放量上攻，部分机构集中减仓,Wind
1640,2020-07-10,大基金社保基金出手拟减持多家公司股份 拟减持股份,证券时报
1641,2020-07-10,大事件！社保基金计划减持中国人保 保险股要降温？ 减持股份,中证报
1642,2020-07-09,社保基金将套现73亿中国人保政府給股市降温意图明显,搜狐
1643,2020-07-09,重磅！社保、大基金、东财股东接连宣布减持，累计套现132亿！行情会不会熄火？关注三大信号 减持股份,每日经济新闻
1644,2020-07-09,中国人保遭社保基金减持 保险股“狂欢”还能持续吗？ 减持股份,经济观察网
1645,2020-07-09,上限8.84亿股！社保基金会拟减持中国人保股份不超2% 回应：是常规性投资业务安排 拟减持股份,每日经济新闻
1646,2020-07-09,市值3000多亿保险巨头遭国家队减持！中国人保回应了 减持股份,中新经纬
1647,2020-07-09,社保基金拟减持中国人保 中国人寿意外“躺枪” 拟减持股份,上证报
1648,2020-07-09,中国人保：社保基金减持不改变其作为公司重要战略投资者地位 减持股份,澎湃新闻
1649,2020-07-09,国家队突然出手！大基金要减持这3家科技股 减持股份,每日经济新闻
1650,2020-07-09,社保基金与大基金不约而同出手减持 涉及中国人保、汇顶科技等 减持股份,金融界
1651,2020-07-09,中国人保回应社保基金减持：常规性投资业务安排，战投者地位不会变 减持股份,Wind
1652,2020-07-09,中国人保回应社保基金减持：是常规性投资业务安排 社保基金会作为公司重要战略投资者的地位不会发生变化 减持股份,上证报
1653,2020-07-09,社保基金拟减持中国人保2%股份；Sigma:预计2020年全球寿险保费收缩6%，非寿险仅降0.1%|慧保日报7.9 拟减持股份,搜狐
1654,2020-07-09,市场太火爆后市怎么走？紧盯三大变盘信号,券商中国
1655,2020-07-09,社保基金会拟减持国寿和人保股份 均不超过两公司当前已发行股份总数的2% 拟减持股份,证券日报
1656,2020-07-09,九年浮盈超50亿！社保基金拟减持人保股份,Wind
1657,2020-07-09,全国社保基金计划减持中国人保A股股份 减持股份,中证网
1658,2020-07-09,中国人保：社保基金会拟减持A股不超过约8.84亿股 拟减持股份,新浪
1659,2020-07-09,连续大涨市场分化明显，6成个股跑输指数,Wind
1660,2020-07-09,社保基金会计划减持中国人保2%股份，市值近73亿元 减持股份,澎湃新闻
1661,2020-07-09,中国人保(601319.SH)：社保基金会拟减持A股不超过约8.84亿股 拟减持股份,格隆汇
1662,2020-07-09,中国人保：全国社会保障基金理事会拟减持不超2% 拟减持股份,Wind
1663,2020-07-09,中国人保：第二大股东全国社会保障基金理事会拟减持不超过2% 拟减持股份,格隆汇
1664,2020-07-08,美国资本集团减持中国人保(01339)508.6万股，每股作价2.5165港元 减持股份,智通财经
1665,2020-07-07,人保财险乌鲁木齐违法遭罚 未按规定建立保险销售从业人员管理档案 金融监管处罚,中国网
1666,2020-07-07,市场热情到底有多高？两融单日新增创历史新高,Wind
1667,2020-07-07,1.5万亿！50期权一周300倍！A股涨出期货的味道,Wind
1668,2020-07-07,保险股普涨咸鱼翻生 下半年险企有赚头,时代在线
1669,2020-07-06,港股内资保险股集体飙升 中国人寿涨超12%中国人保涨13%,腾讯网
1670,2020-07-06,7只保险股集体拉涨：新华保险、中国人寿、西水股份涨停,澎湃新闻
1671,2020-07-06,银行券商批量涨停，2015年行情已经到来？,Wind
1672,2020-07-06,恒指放量大涨近千点，大金融板块飙涨,Wind
1673,2020-07-06,快讯：内险股持续走强 中国人保涨15%中国人寿涨14%,新浪
1674,2020-07-06,A股越来越牛：中国人寿再度涨停创近年新高,Wind
1675,2020-07-03,本周800亿资金加仓A股，漂亮50王者归来,Wind
1676,2020-07-03,翻身时刻到了，A股剑指3100点，全球市场一起嗨,Wind
1677,2020-07-02,每次牛市初期，券商股是如何表现的？,Wind
1678,2020-07-02,券商龙头真要合并？四大牛市信号浮现,券商中国
1679,2020-07-02,保险行业2020年5月经营数据跟踪：保费复苏态势延续 行业配置价值仍存,新浪
1680,2020-07-02,评保险资金参与金融衍生品交易新规落地：险资投资衍生品新规落地 资产端收益有望稳步提升,光大证券
1681,2020-07-02,A股收盘综述：上证指数涨逾2%剑指3100点，大金融核心爆发,Wind
1682,2020-07-02,快讯：中国人保涨停报于7.39元,金融界
1683,2020-07-02,保险板块上攻 中国人保触及涨停,金融界
1684,2020-07-02,保险行业2020年度中期投资策略：寻找穿越利率周期的力量,新浪
1685,2020-07-02,快讯：大金融板块持续爆发 中国人保冲板,新浪
1686,2020-07-02,【行情】保险板块走高，中国人保冲击涨停，中国人寿、新华保险涨幅靠前,金十数据
1687,2020-07-02,中国人保冲击涨停，带动保险板块走升,Wind
1688,2020-07-01,2020年7月份策略月度报告：利好风险资产的市场环境没有转变 关注基本面相对优势,新浪
1689,2020-06-30,战略配售基金投资价值分析——ETP专题报告系列,华宝财富魔方
1690,2020-06-30,驻中国人保纪检监察组加强境外项目廉洁风险防控,新浪
1691,2020-06-29,玖富巨亏“赖上”人保财险，黑猫平台投诉量出现暴增 重大损失,腾讯网
1692,2020-06-29,调研上市公司增160%！低利率风险来袭，险资聚焦一类投资,券商中国
1693,2020-06-29,中国人保一分公司编制虚假资料 相关负责人撤职并罚款 欺诈造假,中新经纬
1694,2020-06-29,保险股估值修复有望继续 上市险企前5月保费收入增6%,中证报
1695,2020-06-28,【长城非银】千淘万漉虽辛苦，吹尽狂沙始到金 ——保险行业2020年下半年投资策略报告,强思非银
1696,2020-06-28,中标丨中国人保中标江苏如东100MW海上风电项目2020年度运营期保险,新能源网
1697,2020-06-24,青海银保监局：对中国人保青海省分公司作出行政处罚，罚款30万元 金融监管处罚,Wind
1698,2020-06-24,利率下行，万亿资产规模的险企如何应对？中国人保董事长股东大会上这样回应,券商中国
1699,2020-06-23,中国人保：全面升级线上服务,中证网
1700,2020-06-23,中国人保的脱贫攻坚战：从葡萄到土鸡，扶得起，保得住！,新华网
1701,2020-06-22,中国人保青海省分公司被罚30万:未按规定使用保险条款 金融监管处罚,新浪
1702,2020-06-19,玖富年报姗姗来迟 全年巨亏21亿 祸起“履约险”纠纷 重大损失,DoNews
1703,2020-06-18,中国人保前5月业绩：信保业务规模下降54.6% 寿险业务下降6.2% 盈利能力下降,GPLP犀牛财经
1704,2020-06-17,因23亿元服务费互讼，是什么击翻了人保财险和玖富“友谊的小船”,腾讯网
1705,2020-06-17,央行及银保监会行政处罚汇总（6月17日） 金融监管处罚,Wind
1706,2020-06-17,黑河银保监局：对中国人保逊克支公司作出行政处罚，罚款17万元 金融监管处罚,Wind
1707,2020-06-17,五大上市险企前5月保费出炉 同比增速超6%,每日经济新闻
1708,2020-06-16,“双奥”之城 “双奥”人保 共享奥林匹克日,凤凰网
1709,2020-06-16,清科数据：4月股权投资市场募资趋势向好，基金备案管理松紧有度,投资界
1710,2020-06-16,中国人保已完成“温岭槽罐车爆炸事故”赔付15笔 安全事故,中国金融新闻网
1711,2020-06-16,保险股估值修复有望继续,中证报
1712,2020-06-15,人保财险再陷信保风波，前5月信保收入骤降54.6% 盈利能力下降,第一财经
1713,2020-06-15,五上市险企前5月揽1.29万亿保费，券商：看好下半年结构性反弹机会,和讯
1714,2020-06-14,五大上市险企前5月狂揽保费1.29万亿元 同比增长6.39%,每日经济新闻
1715,2020-06-12,公募基金清盘潮袭来：盛宴之下失意者犹在，“踩雷”基金黯然离场,21世纪经济报道
1716,2020-06-11,保险机构微博影响力哪家强？中国人保健康跌出前十,新浪
1717,2020-06-11,中国人保前5月保费2807.27亿 寿险业务同比下滑逾6% 盈利能力下降,中国经济网
1718,2020-06-11,中国人保：2020年前5个月保费收入2807.3亿元,中证网
1719,2020-06-11,中国人保：今年前5个月保费收入2807.3亿元 健康保险子公司保费同比增超50%,中证网
1720,2020-06-11,中国人保：1-5月份子公司保费合计2807.18亿元,格隆汇
1721,2020-06-11,中国人保：1-5月获得原保险保费收入2807.18亿元,新浪
1722,2020-06-11,中国人保(601319.SH)：前5月原保费收入2807.27亿元同比增长3.27%,格隆汇
1723,2020-06-06,个别保险公司融资性信保业务增幅超200%，逆市上行还是“扛雷”之举,Wind
1724,2020-06-05,刘伟：数字化时代保险科技创新,新浪
1725,2020-06-04,中国人保：用责任与担当勾绘保险企业的底色,IT时代网
1726,2020-06-04,人保财险车险承保利润畸高,和讯
1727,2020-06-03,中国人保大宗交易成交100.00万股 成交额607.00万元,证券时报网
1728,2020-06-03,中国人保现1笔大宗交易 共成交607.00万元,新浪
1729,2020-06-03,中国人保今日大宗交易成交100万股，成交价6.07元折价4.11%,Wind
1730,2020-06-02,超2000万！保险业5月罚单出人意料 五大险企占一半 金融监管处罚,中国财富网
1731,2020-06-02,前瞻产业规划周报第7期：六部委发布《关于进一步规范信贷融资收费 降低企业融资综合成本的通知》,前瞻研究院
1732,2020-06-02,非银投资周报：证券行业制度红利仍在路上 保险负债、资产端有所修复,新浪
1733,2020-06-01,广东车险开高额罚单 人保平安在列,广州日报
1734,2020-05-31,人保财险车险承保利润畸高,证券市场周刊
1735,2020-05-29,上海银行48.54亿购绿地外滩中心T2幢房产,观点地产网
1736,2020-05-29,远程办公另一面：70%的人忽略了，生意还可以搬到线上,南方财经网
1737,2020-05-28,保险机构微博影响力哪家强？复星保德信人寿跌出前十,新浪
1738,2020-05-20,A股上市险企前4月原保费同比增长5.63%至1.12万亿 分析师：寿险业务回暖、财险业务明显改善,中国网
1739,2020-05-20,人保财险广州5宗违法遭罚137万 农险业务资料不真实 金融监管处罚,中国经济网
1740,2020-05-19,上市险企2020年4月保费数据点评：平安新单保费降幅收窄 人保车险保费增速转正,新浪
1741,2020-05-19,重磅｜银保监会对融资性信保业务予以重点监管 预计个人消费类业务占比将有所降低,21世纪经济报道
1742,2020-05-19,中国人保前4月保费同比增长2.27% 信用保证险收入同比下滑51.4% 盈利能力下降,中新经纬
1743,2020-05-19,A股上市险企前4月保费1.12万亿 单月寿险保费人保垫底,中国经济网
1744,2020-05-18,中国人保前4月保费2379.42亿 寿险业务同比下滑逾7% 盈利能力下降,中国经济网
1745,2020-05-18,中国人保：2020年前4月保费收入2379亿元,新浪
1746,2020-05-18,公告点题丨5月18日这些公告有看头,第一财经
1747,2020-05-18,中国人保(601319.SH)：1-4月原保险保费收入2379.42亿元 同比增长2.27%,格隆汇
1748,2020-05-18,中国人保前4月保费同比增长2.27% 车险综合改革、信保赔付影响几何？,21世纪经济报道
1749,2020-05-18,中国人保(01339-HK)旗下人保财险前4个月保费升2.9%,财华社
1750,2020-05-18,四大险企前4月保费收入近9000亿元！机构看好二季度表现,中国财富网
1751,2020-05-15,中国人保与小康小贷金融签订低息保障保费,凤凰网
1752,2020-05-15,保险行业抗疫优势凸显 中国人寿原保费3375亿领跑,和讯
1753,2020-05-14,A股共发生104宗大宗交易成交57.35亿元（5月14日）,Wind
1754,2020-05-14,中国人保已提前中止与携程金融、飞贷等机构的合作，回应未停助贷险 经营问题,搜狐
1755,2020-05-14,人保助贷险风波背后，43.97万亿个人消费信贷风险开始显现？,搜狐
1756,2020-05-14,人保否认关停助贷部门信用保证保险何以“全军覆没” 经营问题,搜狐
1757,2020-05-13,中国人保暂停助贷险震动全行业 P2P和财险公司急了！,搜狐
1758,2020-05-13,人保助贷险风波不断：“通道业务”未停，飞贷、携程金融、搜狗等合作被提前中止 经营问题,凤凰网
1759,2020-05-13,人保财险否认关停助贷险2020年Q1信用保证险收入同比下降近五成 经营问题,搜狐
1760,2020-05-13,业内人士：人保将和360金融、分期乐签协议，赔付比例从无上限改为保费的150%,搜狐
1761,2020-05-12,人保财险回应：没有关闭助贷险部门，更没有关停此类业务,Wind
1762,2020-05-12,人保助贷险起风波：有分公司仍在开展业务，也有正在清理整顿,澎湃新闻
1763,2020-05-12,上市险企2019年净利大增，四大互联网保险公司仍亏损丨亿欧观点,搜狐
1764,2020-05-10,【太平洋策略】不惧波动，保持牛市思维,周雨策略观察
1765,2020-05-09,保险五巨头薪酬对比：新华27万，人寿23.6万，平安21万“最穷”？,搜狐
1766,2020-05-07,社保基金和QFII为何同时新进这8只股？（文后附名单）,中国财富网
1767,2020-05-06,王廷科出任人保总裁 人保新班子就位,21世纪经济报道
1768,2020-05-06,五大险企前3个月净赚632亿,经济导报
1769,2020-05-06,社保基金一季度重仓股揭秘：新进138股 增持159股,证券时报
1770,2020-05-06,【方正非银左欣然团队】中国人保：产险承保与投资为亮点，寿险结构持续优化--季报点评,欣赏金融
1771,2020-05-05,【国君非银】疫情影响下负债端承压，看好二季度边际改善——上市险企2020年一季报综述及二季度投资策略,欣琦看金融
1772,2020-05-03,保险五巨头薪酬比较：平安21万竟垫底，人寿排第二，新华是大黑马,搜狐
1773,2020-04-30,【天风非银】中国人保1季报：利润同比+19.9%小幅超预期，未决赔款准备金显著多提，赔付率升，费用率降,新锐视角看金融
1774,2020-04-30,中国人保澄迈支公司被罚18.5万：虚列费用,新浪
1775,2020-04-30,晚间重要公告2020年4月30日星期四,Wind
1776,2020-04-30,【万联非银|季报点评】中国人保：财险承保有改善，寿险转型不减速,万联证券研究所
1777,2020-04-30,一季度上市险企净利分化 新华保险、中国太保、中国人保逆势高增,每日经济新闻
1778,2020-04-30,【华泰金融沈娟团队】财险边际回暖，寿险转型深化——中国人保(601319)【证券研究报告】,华泰金融研究全新平台
1779,2020-04-30,4月四大副部级险企将才大流转：太平财险董事长终落定,新浪
1780,2020-04-30,净利润三升两降 上市保险公司业绩分化为哪般？ 盈利能力下降,21世纪经济报道
1781,2020-04-30,投资收益提升 中国人保一季度净利增20%,证券时报
1782,2020-04-30,中国人保2020年一季度实现净利润98.76亿 同比增长 21.2%,中国网
1783,2020-04-30,投资贡献利润增长，大幅计提信用险未决赔款准备金 | 中国人保2020年一季报点评【华创非银】,华创非银
1784,2020-04-30,中国人保：一季度净利润同比增长19.94%,Wind
1785,2020-04-30,中国人保(601319.SH)一季度归母净利润升19.9%至70.61亿元,格隆汇
1786,2020-04-30,中国人保：一季度净利润同比增长19.9%,Wind
1787,2020-04-29,晚间重要公告2020年4月29日星期三,Wind
1788,2020-04-29,中国人保(601319.SH)合规负责人任职资格获中国银保监会核准,格隆汇
1789,2020-04-29,中国人保一季度净利润为70.61亿元 同比增长19.9%,中证网
1790,2020-04-29,中国人保第一季度净利润70.6亿元，同比增长近20%,老虎证券
1791,2020-04-29,中国人保：2020年一季度净利润70.6亿元人民币,新浪
1792,2020-04-29,中国人保：2020年1季度净利70.61亿元 同比增长19.9%,新浪
1793,2020-04-29,保险业首季利润1002亿，下降14%，投资收益成重要影响因素！,Wind
1794,2020-04-28,一季度险资重仓8只创业板个股，新进增持13只科技股,Wind
1795,2020-04-27,上市险企佣金支出大发现：哪家最高？哪家代理人最能挣钱？,券商中国
1796,2020-04-27,【平安金融】20Q1金融行业基金持仓分析,逸赏金融
1797,2020-04-25,【兴证金融 傅慧芳】基金减仓保险1.96pcts，低配比例扩大——基金2020年一季度保险持仓分析,兴证金融
1798,2020-04-24,助力脱贫攻坚 人保财险“三区三州”农险费率最高再降30%,证券日报
1799,2020-04-23,中国人保“云”购湖北100余吨橄榄油,经济日报
1800,2020-04-23,社保基金现身289只股前十大流通股东榜,证券时报网
1801,2020-04-22,中国人保(601319.SH)：黄良波监事任职资格获中国银保监会核准,格隆汇
1802,2020-04-22,中国人保(01339)委任黄良波为股东代表监事及监事长等职务,智通财经
1803,2020-04-22,上市险企首季保费同比增长4.07% 短期波动不改回暖预期,金融投资报
1804,2020-04-22,五大A股上市险企一季度原保费收入9481.63亿 同比增长4.07%,中国网
1805,2020-04-22,邦邦汽服CEO龚托：深耕汽车后市场生态圈 满足百亿配件采购需求,凤凰网
1806,2020-04-22,“聪明资金”瞄上保险及相关概念股 年内增持4家减持3家 减持股份,证券日报
1807,2020-04-22,聪明资金瞄上保险及概念股 年内增持4家减持3家 减持股份,证券日报
1808,2020-04-21,社保基金现身259只股前十大流通股东榜,证券时报网
1809,2020-04-20,神州优车回复收购北京宝沃不存在利益倾斜，人保与银联曾反对？,证券时报网
1810,2020-04-20,A股五大上市险企一季度狂揽保费9482亿元 同比增长4.07%,每日经济新闻
1811,2020-04-20,社保基金持仓动向：去年四季度新进66股,证券时报网
1812,2020-04-19,推动北京资管行业做大做强，北京资产管理协会挂牌成立,Wind
1813,2020-04-17,7上市险企一季度保费9667亿，疫情或催热健康险,搜狐
1814,2020-04-17,港股公告精选：山东黄金预计一季度净利增长40%至68%,Wind
1815,2020-04-16,中国人保(01339.HK)将于4月29日举行董事会会议以审议一季度业绩,格隆汇
1816,2020-04-16,中国人保(601319.SH)一季度原保险保费收入1937.70亿元 同比增0.28%,格隆汇
1817,2020-04-16,中国人保：三家子公司1-3月保费收入总计1937.7亿元,Wind
1818,2020-04-16,中国人保：一季度保费收入1938亿元,e公司
1819,2020-04-16,中国人保：一季度保费收入共1937.70亿,新浪
1820,2020-04-16,中国人保收到银保监会最大罚单存编制虚假资料等违法违规行为 欺诈造假,GPLP犀牛财经
1821,2020-04-16,社保基金去年四季度重仓股揭秘：5股社保基金持股比例超10%,金融界
1822,2020-04-16,疫情激发健康险需求暴涨 险企两线作战深挖下沉市场,21世纪经济报道
1823,2020-04-15,中国人保：于泽获批担任副总裁一职,新浪
1824,2020-04-15,于泽获批任中国人保副总裁,上证报
1825,2020-04-15,周三上市公司晚间重要公告（更新中）,金融界
1826,2020-04-15,于泽任中国人保副总裁资格正式获监管核准,搜狐
1827,2020-04-15,中国人保(601319.SH)：副总裁任职资格获中国银保监会核准,格隆汇
1828,2020-04-15,五大上市险企净利润超2700亿，各家“成绩单”成色几何？,中国经济周刊
1829,2020-04-15,社保基金现身205只股前十大流通股东榜,证券时报网
1830,2020-04-15,险资最新持股市值八成为金融地产股 年内持续增持银行股,证券日报
1831,2020-04-14,“偏科生”中国人保的增长烦恼,新浪
1832,2020-04-14,两大副部级保险公司调将：王廷科、蔡希良履新,21世纪经济报道
1833,2020-04-12,【华泰金融沈娟团队】财险龙头稳固，寿险转型可期—中国人保(601319)【证券研究报告】,华泰金融研究全新平台
1834,2020-04-12,"【华泰金融沈娟团队】中国人保 (601319 SH, 增持): 财险龙头稳固，寿险转型可期",华泰证券研究所
1835,2020-04-11,年报业绩靓丽却撑不起股价，保险股低估值会让你心动吗？,Wind
1836,2020-04-10,年报业绩靓丽却撑不起股价 保险股跑输大盘 低估值会让你心动吗？,经济观察网
1837,2020-04-10,金融人事丨中国信保总裁王廷科出任中国人保党委副书记,21世纪经济报道
1838,2020-04-10,社保基金去年四季度重仓股揭秘：19股社保基金持股比例超5%,证券时报网
1839,2020-04-09,社保基金持仓动向：去年四季度新进45股,证券时报网
1840,2020-04-09,机构最新持仓动向曝光 社保新进45股增持50股减持53股 减持股份,金融界
1841,2020-04-09,年报观察｜上市险企科技力比拼！从数字化转型到科技输出,金融界
1842,2020-04-09,社保基金新进39股6股年报净利翻倍增长,证券时报
1843,2020-04-09,上市保险公司科技竞速 看老牌巨头如何“大象起舞”,21世纪经济报道
1844,2020-04-08,年报业绩靓丽却撑不起股价 保险股跑输大盘 估值低位已至？,腾讯网
1845,2020-04-07,去年业绩“光鲜”的保险股今年为何跑输大盘 能抄底吗,新京报
1846,2020-04-07,43股去年四季度获社保基金扎堆持有,证券时报
1847,2020-04-05,“北京资产管理协会”挂牌在即，首批会员60家,Wind
1848,2020-04-04,5大上市险企净利润超2700亿，各家“成绩单”成色几何？,中国经济周刊
1849,2020-04-03,中国人保也是瑞幸咖啡董责险承保人之一,金十数据
1850,2020-04-03,健康险成增长新引擎，其它险种增速全线下滑,Wind
1851,2020-04-03,去年五大上市险企净利普涨 疫情冲击2020“开门红”,新京报
1852,2020-04-03,上市险企：2019年投资成绩优异,金融时报
1853,2020-04-03,上市险企管理层：保险股估值已背离基本面,Wind
1854,2020-04-02,“大个险”经营体系成险企2020年发展趋势,中金网
1855,2020-04-02,今年险资已9次举牌：上调权益类资产比例，偏爱抄底蓝筹股,Wind
1856,2020-04-02,这3个月，保险股都经历了什么？2019年涨幅都已跌没，多家险企高管喊话：股价太低了,券商中国
1857,2020-04-01,2019年五大上市险企净利润总额突破2700亿元同比增长超七成,北青网
1858,2020-04-01,银行业一季度每天被罚285万！3月罚得最重是这家还牵涉保险 金融监管处罚,南都报
1859,2020-04-01,中国人保： 高质量发展转型快速推进,金融时报
1860,2020-04-01,财险“老三家”去年净利增速均破50%，开年车险保费负增长趋势减缓,Wind
1861,2020-04-01,五大险企豪气回报投资者，合计拟派发现金红利784亿元,Wind
1862,2020-04-01,五大险企豪气回报投资者 合计拟派发现金红利784亿元,证券日报
1863,2020-04-01,证券时报头版：股市下跌迎来长期买点，中长期不悲观,Wind
