,2021-12-31,年度盘点丨2021药企赴港IPO：互联网医疗企业偏爱港股，下半年市场转冷，24家跌破发行价,新浪医药
1255,2020-12-09,医药生物2021年投资策略报告：不畏浮云遮望眼,新浪
1256,2020-12-09,中信建投2021年医药生物投资策略展望：不畏浮云遮望眼,中信建投证券研究
1257,2020-12-08,医药生物行业2020年12月投资月报：医药反弹持续性如何？,新浪
1258,2020-12-08,高瓴资本概念股再度活跃，金域医学、广联达、国瓷材料、泰格医药等普涨,Wind
1259,2020-12-08,西南证券：浪潮之巅 中国创新药迎来黄金时期,新浪
1260,2020-12-08,"华泰柏瑞2医药主题基金11月跌超9% ""菜鸟""接手迎震荡",中国经济网
1261,2020-12-07,医药生物行业跨市场周报：政策压制效应渐弱 重点把握核心资产价值,光大证券
1262,2020-12-07,医药生物行业周报：狂犬单抗未来会是大品种吗？再次强调12月是医药底部布局期,新浪
1263,2020-12-07,医药生物行业12月月报：静待医药政策落地期 关注重磅品种研发进展和优质细分赛道,新浪
1264,2020-12-07,高瓴资本概念股逆市活跃，广联达、国瓷材料、泰格医药、凯莱英等普涨,Wind
1265,2020-12-07,医药行业周报：医药反弹OR反抽？,西南证券
1266,2020-12-07,医药生物行业研究周报：从批签发变化来看血制品行业有望迎来高景气度,新浪
1267,2020-12-06,【中金医药】关注B类股流动性提升机会；静待医保谈判落地-中金医药周报系列八十一,陆家嘴医药代表
1268,2020-12-03,2020盘点：高瓴资本“生物医药”布局有何变化，投资逻辑究竟是啥？,药智网
1269,2020-12-02,【浙商医药|周报】把握中国优势，就是把握明年行情,杏林建研
1270,2020-12-02,【浙商医药|周报】如何选股？创新赋能、制造升级和降本增效,杏林建研
1271,2020-12-01,凯莱英(002821.SZ)完成回购注销1800股限制性股票,智通财经
1272,2020-12-01,深度*公司*凯莱英(002821)：业绩稳定增长 技术平台升级释放核心竞争力,新浪
1273,2020-12-01,深度*行业*医药行业2021年度策略：重视非医保领域的高端、差异化医疗需求,新浪
1274,2020-12-01,回顾2018年药品集采，创新走向更高质量发展--医药行业周报（2020.11.23-2020.11.27）,兴证医药健康
1275,2020-11-30,医疗健康行业2020年12月组合：中金医药月度7+7组合,新浪
1276,2020-11-30,医药行业每周医览药闻：全国高耗集采 加速进口替代 推进产业创新,新浪
1277,2020-11-30,医药生物行业报告：把握业绩好 确定性较强的子行业,新浪
1278,2020-11-30,医药生物行业跨市场周报：关注进口白蛋白供应情况 再次强调血制品板块性机会,光大证券
1279,2020-11-28,【浙商医药|点评】从分众传媒到药明康德，CXO 的景气破了么?,杏林建研
1280,2020-11-26,最大降幅超95%！高血压等慢性病常用药大降价,中证报
1281,2020-11-26,【新康界每周投资策略】科创板细则落地，或可分拆上市的医药上市公司有哪些？,新康界
1282,2020-11-24,医药生物行业双周报,新浪
1283,2020-11-22,医药生物行业周报：调整提供布局良机 拥抱长期成长和确定性,新浪
1284,2020-11-21,又一起！高瓴折戟凯利泰低价定增 是因监管严了还是集采来得太快 再融资异常,科创板日报
1285,2020-11-21,凯利泰定增生变：高瓴资本和淡马锡战投终止 再融资异常,证券时报
1286,2020-11-20,暴涨暴跌中：哪些医药股最值得投资？,新浪
1287,2020-11-18,凯莱英：部分高级管理人员合计减持0.0427%股份，减持计划期限届满 拟减持股份,Wind
1288,2020-11-18,凯莱英(002821.SZ)：高管徐向科减持期届满未减持公司股份,格隆汇
1289,2020-11-18,高瓴资本概念股凯莱英、泰格医药双双放量下挫,Wind
1290,2020-11-17,凯莱英：控股股东ALAB持股比例由42.64%降至37.47%,Wind
1291,2020-11-16,凯莱英(002821.SZ)控股股东ALAB减持77.36万股 减持股份,智通财经
1292,2020-11-16,凯莱英(002821.SZ)：ALAB持股降至37.47%,格隆汇
1293,2020-11-16,医药生物行业跨市场周报：估值切换政策密集 制造和消费属性企业价值有望凸显,光大证券
1294,2020-11-16,A股早报2020年11月16日星期一,Wind
1295,2020-11-15,医药行业每周医览药闻：中国科技创新的卖水者 科学服务行业方兴未艾,新浪
1296,2020-11-15,生物医药行业周报：辉瑞新冠疫苗保护率超90% 新冠疫苗研发稳定推进,新浪
1297,2020-11-13,"凯莱英现2笔大宗交易 共成交19,997.56万元",新浪
1298,2020-11-13,凯莱英今日大宗交易成交77.36万股，成交价258.5元折价2.84%,Wind
1299,2020-11-13,医疗健康产业2021年投资策略：医疗投资迎来长跑期 关注医保控费下的新机遇,新浪
1300,2020-11-12,涪陵榨菜33亿定增方案再生变！控股股东涪陵国投退出认购 控制人变化,环球老虎财经
1301,2020-11-12,医药生物行业11月月报暨三季报总结：三季报医药整体表现良好 当前时点重点关注Q3业绩超预期的疫苗、CXO、医疗服务、零售药店等板块,新浪
1302,2020-11-11,“抢筹”A股定增，外资机构投资路线图浮现,Wind
1303,2020-11-09,西南证券：双循环背景下 创新升级+进口替代引领医药大时代,新浪
1304,2020-11-08,冠脉支架集采落地，医疗耗材利空压制释放【东吴医药朱国广团队|1106周报】,国广有话说
1305,2020-11-06,医药行业2021年投资策略：“双循环”背景下 “创新升级＋进口替代”引领医药大时代,西南证券
1306,2020-11-06,融资快报 | 2020年10月全国医健产业融资汇总,新浪
1307,2020-11-06,生物医药行业点评：全国冠脉支架带量采购落地 医疗器械进入创新时代,新浪
1308,2020-11-05,医药生物行业上市公司2020年三季报小结：疫情影响逐渐消退 关注高成长大龙头+细分冠军,新浪
1309,2020-11-04,医药恢复高增长，未来跟随政策变化选股——兴证医药2020年11月投资月报,兴证医药健康
1310,2020-11-04,保险资金投资路线追踪：三季度增持银行加码制造业,证券时报网
1311,2020-11-04,中泰证券：疫情加速全球创新药产业链转移 预计全年将持续高景气（附股）,证券时报网
1312,2020-11-02,【光大金工|调整名单预测】凯莱英、紫光国微或纳入沪深300指数成分股,EBQuant
1313,2020-11-02,疫情影响逐渐消退，关注高成长龙头+细分冠军--医药生物上市公司2020年三季报小结,兴证医药健康
1314,2020-11-02,【浙商医药|三季报】创新药研发高景气有望持续，看好CDMO业绩加速,杏林建研
1315,2020-11-01,医药行业每周医览药闻：医药零售板块2020年三季报业绩总结：抓住景气度提升明确的优质赛道,新浪
1316,2020-10-31,凯莱英医药集团（天津）股份有限公司 关于董事会、监事会延期换届选举的 提示性公告,证券时报
1317,2020-10-30,医疗健康-基金3Q分析：三季度医药板块配置比例同比上升 环比下降,新浪
1318,2020-10-30,坚定投资凯莱英、国瓷材料，高瓴在医疗领域有何投资逻辑？,新浪
1319,2020-10-30,从凯莱英到国瓷材料，看高瓴在医疗健康领域的全产业链布局,凤凰网
1320,2020-10-28,真壕，食品大白马拟巨额分红，连续21年派现！社保、险资、QFII扎堆建仓股揭秘，仅12股,证券时报网
1321,2020-10-27,凯莱英(002821)：三季度业绩保持快速增长 利润率水平和多项经营指标持续向好,新浪
1322,2020-10-27,凯莱英(002821)2020年三季报点评：Q3延续高增 产能逐步释放,新浪
1323,2020-10-27,凯莱英(002821)2020年三季报点评：业绩加速增长 长期发展可期,西南证券
1324,2020-10-27,医药CDMO子行业跟踪报告：十页带你读懂中国小分子创新药CDMO,新浪
1325,2020-10-27,生物医药行业深度报告：疫情、医保、集采 影响终端销售的三个关键词,新浪
1326,2020-10-26,医药生物行业周报：医药板块短期调整 寻找长期优质标的,新浪
1327,2020-10-26,凯莱英(002821)：Q3持续快速增长 逐季向好 CDMO龙头加速腾飞,新浪
1328,2020-10-26,凯莱英(002821)：业绩稳健增长 各项布局稳步推进,新浪
1329,2020-10-26,【国信医药】凯莱英：业绩符合预期，维持高速增长（三季报点评）,GuosenHealthcare
1330,2020-10-26,【国元医药|点评】凯莱英2020三季报点评 ：Q3维持高增长，后续项目储备丰富,元气医药
1331,2020-10-26,晨会聚焦201026重点关注风塔行业、东方电缆、贵州茅台、豆神教育、电连技术、博创科技、卓胜微、凯莱英、彤程新材、丽珠集团,国信研究
1332,2020-10-26,医药行业周报：板块短期调整 持续关注高景气细分领域,新浪
1333,2020-10-26,凯莱英(002821)：订单交付产能释放 Q3业绩稳步高增,新浪
1334,2020-10-25,【天风医药】凯莱英：业绩加速增长，新研发生产基地增加竞争力,思医辨药
1335,2020-10-25,凯莱英三季报点评：订单交付产能释放，Q3业绩稳步高增【东吴医药朱国广团队】,国广有话说
1336,2020-10-24,凯莱英(002821)季报点评：Q3运营平稳 汇兑小幅拖累表观业绩 盈利能力下降,新浪
1337,2020-10-23,凯莱英公布三季报 前三季净利增加38.12%,新浪
1338,2020-10-23,凯莱英：前三季度实现净利5.06亿元 同比增长38.12%,发布易
1339,2020-10-23,凯莱英(002821.SZ)第三季度净利润升38.94%至1.91亿元,格隆汇
1340,2020-10-23,凯莱英：前三季度净利润5.06亿元，同比增长38.12%,Wind
1341,2020-10-22,九洲药业(603456)：CDMO API+双线发展 业绩符合预期,新浪
1342,2020-10-22,泰格一天豪掷9亿投向新医药 康龙化成、凯莱英一众CXO扎堆进入,E药经理人
1343,2020-10-22,食品饮料行业9月社零数据点评：社零连续2个月实现正增长 烟酒增速大幅提升,新浪
1344,2020-10-22,凯莱英定增募资23亿元到账 高瓴资本以每股227元高价参与显“真爱”,证券日报
1345,2020-10-22,十倍股之大博医疗：超高毛利率堪比骨科器械茅台,新浪
1346,2020-10-21,医药生物行业日报：全球第二波新冠疫情持续,新浪
1347,2020-10-20,高瓴VS红杉：医疗投资“两强”的分野,凤凰网
1348,2020-10-20,定增市场周报：东方雨虹拟募资80亿扩产 科顺股份募资额下调逾两成,新浪
1349,2020-10-20,一文了解2020年中国医药制造外包(CMO)竞争格局 行业集中度低、合全药业龙头地位稳固,前瞻研究院
1350,2020-10-20,医药生物行业日报：冠脉支架首轮国采落地,新浪
1351,2020-10-19,医药生物行业周报：冠脉支架国采方案落地 头部企业有望相对受益,新浪
1352,2020-10-19,医药生物行业报告：持续看好流感及肺炎相关疫苗销售 关注医药三季报业绩主线,新浪
1353,2020-10-19,医药生物行业跨市场周报：冠脉支架全国集采政策落地 未来或催生两大高耗投资方向,光大证券
1354,2020-10-18,[光大金工|定增周报] 本周新增过会项目数量大幅提升，高瓴资本大比例参与凯莱英定增项目,EBQuant
1355,2020-10-18,微评丨医疗影响力排行榜：天府健谈、强生、再生元、信达生物、凯莱英,亿欧网
1356,2020-10-17,左手募资23亿元反手近七成理财 凯莱英称将提升资金使用效率,证券日报
1357,2020-10-15,吉林敖东：控股子公司“创新医药”与“凯莱英”有研发合作项目,Wind
1358,2020-10-15,凯莱英超23亿元定增：南方、大成、九泰基金旗下多只产品参与,资本邦
1359,2020-10-15,医药生物行业日报：美国礼来暂停新冠病毒抗体药物后期试验,新浪
1360,2020-10-14,创投日报 |「少年得到」获近2亿元B轮融资；「摄星智能」完成数千万A轮融资；以及今天值得关注的早期项目,36氪
1361,2020-10-14,市盈率上百倍、股价翻倍高瓴仍要买！CDMO行业到底有何魔力？,新浪
1362,2020-10-14,"『医药头条君』多款新冠疗法及疫苗试验暂停 ""解药""研发步履艰难",新浪
1363,2020-10-14,"医药生物行业2020三季度业绩前瞻：板块分化明显 医疗服务等板块有
序复苏",新浪
1364,2020-10-14,高瓴独享凯莱英23亿定增“梦破”！仍豪掷10亿不改初衷,E药经理人
1365,2020-10-14,医药大健康赛道吸金能力仍强，头部机构不断加仓,制药网
1366,2020-10-14,凯莱英定增一波三折终成行 发行价翻倍高瓴坚定布局A股医药版图,21世纪经济报道
1367,2020-10-13,张磊再出手：高瓴资本斥资10亿入股A股上市企业凯莱英,雷帝触网
1368,2020-10-13,焦点分析 | 10亿元拿下凯莱英，高瓴重金押注的CXO有何魅力？,36氪
1369,2020-10-13,高瓴资本再出手入股凯莱英，10亿狂买600亿医药股,亿欧网
1370,2020-10-13,凯莱英(002821.SZ)拟将不超16亿元暂时闲置募集资金进行现金管理,智通财经
1371,2020-10-13,高瓴、高毅、景林三季度以来持仓曝光 医药、安防“榜上有名”,红周刊
1372,2020-10-13,凯莱英定增一波三折终成行 发行价翻倍高瓴坚定布局A股医药版图,21世纪经济报道
1373,2020-10-13,美的、宁德时代、凯莱英等标的创历史新高，北向资金回马枪扫货A股剑指这些板块！,红周刊
1374,2020-10-13,深度布局大医药，高瓴“点金术”如何炼成？,Wind
1375,2020-10-13,医药CXO行业专题报告：赋能新药后起秀 行业高增前景优,新浪
1376,2020-10-13,医药生物行业日报：严防二波疫情反复 板块行情反弹,新浪
1377,2020-10-13,凯莱英医药Asymchem完成23亿人民币IPO上市后融资,亿邦动力
1378,2020-10-13,高瓴资本概念股普遍活跃，公牛集团、金域医学、甘李药业、凯莱英等大涨,Wind
1379,2020-10-13,凯莱英(002821.SZ)创历史新高高瓴10亿参与定增,格隆汇
1380,2020-10-13,医疗物资出口板块拉升，迈瑞医疗、凯莱英再创新高,Wind
1381,2020-10-13,什么情况：价格翻倍也要买 高瓴资本10亿狂扫凯莱英,中国基金报
1382,2020-10-13,价格翻倍也不放弃！张磊又出手了，斥资10亿拿下医药大牛股440万股，已有浮盈,中证报
1383,2020-10-13,张磊又出手！10亿狂买医药大牛股,中国基金报
1384,2020-10-13,果然真爱，张磊又出手！刚刚，10亿狂买医药大牛股,中国基金报
1385,2020-10-12,"【浙商医药|周报】持续推荐“核心赛道”,关注新冠疫苗研发进展",杏林建研
1386,2020-10-12,凯莱英：披露定增报告书，高瓴资本获配440.53万股,Wind
1387,2020-10-12,凯莱英：披露定增报告书 高瓴资本获配440.53万股,e公司
1388,2020-10-12,凯莱英(002821.SZ)控股股东ALAB持股比例被动稀释1.66%,智通财经
1389,2020-10-12,凯莱英(002821.SZ)披露定增报告书：高瓴获配10亿元的股份,格隆汇
1390,2020-10-12,凯莱英(002821.SZ)：控股股东持股比例减少1.66% 减持股份,格隆汇
1391,2020-10-12,医药外包行业周报：节后普涨 一体化整合是外包发展的重要选择,新浪
1392,2020-10-12,博腾股份(300363)：三季度业绩再超预期 公司经营效率进一步提升,新浪
1393,2020-10-09,医药生物行业月报：医药板块调整或近尾声,新浪
1394,2020-10-08,凯莱英(002821.SZ)：今年以来累计收到与收益相关的政府补助5962.03万元,格隆汇
1395,2020-10-03,千亿市场，CRO行业四大天王PK终极版，到底谁更胜一筹？,搜狐
1396,2020-09-29,药明康德、凯莱英齐出手，一个月三起收购，国内医药外包领域马太效应逐渐显现,晨哨网
1397,2020-09-28,【浙商医药|外包】节后普涨，一体化整合是外包发展的重要选择,杏林建研
1398,2020-09-28,凯莱英：拟投资3亿元设立子公司,中证网
1399,2020-09-28,凯莱英(002821.SZ)：与与镇江经开区管委会签署小分子药物综合性研发生产基地项目投资协议 预计投资总额40-50亿元,格隆汇
1400,2020-09-28,凯莱英：拟以40-50亿元在镇江市投资小分子药物综合性研发生产基地,格隆汇
1401,2020-09-28,凯莱英：拟40亿-50亿元投建小分子药物综合性研发生产基地项目,Wind
1402,2020-09-28,凯莱英(002821.SZ)：拟出资3亿元在镇江设立全资子公司主营小分子CDMO化学原料及原料药研发生产,格隆汇
1403,2020-09-28,医药行业周报：海外疫情反复 关注三季报业绩预期突出板块,新浪
1404,2020-09-27,医药生物行业周报：海外疫情加剧 疫苗板块领涨,新浪
1405,2020-09-27,凯莱英(002821.SZ)16.5万股限售股将于9月30日解禁 解禁,格隆汇
1406,2020-09-27,医药行业周报：持续布局高景气板块 开始关注三季报预期,西南证券
1407,2020-09-27,医药生物行业研究：2020年CSCO大会群星闪耀 24张图表详细梳理亮点荟萃,新浪
1408,2020-09-27,医疗健康：国内免疫治疗创新靶点不断涌现 复杂制剂是未来创新方向之一,新浪
1409,2020-09-27,【浙商医药|周报】医药领涨大盘，从成长属性再看API投资逻辑,杏林建研
1410,2020-09-25,核心公募基金公司持仓分析,新浪
1411,2020-09-25,医疗物资出口板块连续拉升，英科医疗、振德医疗、泰格医药、药明康德领涨,Wind
1412,2020-09-25,【今日推荐】超级资管跟踪第6期：高瓴加码医疗口腔，红杉联手星巴克创投,兴业研究
1413,2020-09-23,CRO&CDMO投研体系之数据跟踪(系列四)：2020H1回顾与前瞻 疫情背景下中国企业竞争优势凸显,新浪
1414,2020-09-23,医药生物行业日报：估值步入合理区间 关注超跌个股,新浪
1415,2020-09-22,凯莱英(002821.SZ)：约16.52万股限制性股票解除限售条件成就,格隆汇
1416,2020-09-21,医药外包行业周报：板块回暖 关注商业模式验证中的药筛CRO,新浪
1417,2020-09-21,医药生物行业周报：CSCO、ESMO大会召开 关注创新药产业链,新浪
1418,2020-09-19,国瓷材料调整定增方案，高瓴“改道”加码口腔业务不变,新浪
1419,2020-09-18,医药生物行业日报：推动抗癌药等重点药物开发,新浪
1420,2020-09-18,500ETF暂停融券卖出有何深意？,Wind
1421,2020-09-17,500ETF暂停融券卖出有何深意？,第一财经
1422,2020-09-17,医药行业周报：医药品种“调结构” 关注 “快速复苏板块”+“医保降价免疫”,新浪
1423,2020-09-17,医药生物行业日报：《新型冠状病毒肺炎防控方案》新版发布,新浪
1424,2020-09-16,果然真爱！战投锁价定增不通，高瓴坚持“曲线”入场国瓷材料！,证券时报网
1425,2020-09-15,生物医药行业周报：流感疫苗批签发加速 全年增长可期,新浪
1426,2020-09-15,别人都干不了，宁德时代却要花25亿硬上，能成么？,上证报
1427,2020-09-15,医药行业2020年4季度投资策略报告：行业中报业绩企稳 关注长期投资逻辑―,渤海证券
1428,2020-09-14,医药界又现大额并购，多家知名药企传出并购消息！,医药观察家网
1429,2020-09-14,2020半年报总结：行业分化加剧 龙头集中度提升,新浪
1430,2020-09-14,医药生物行业跨市场周报：三个机遇和一个可控风险 把握医药反弹的主线,光大证券
1431,2020-09-11,天津行业及上市公司信息公告跟踪,渤海证券
1432,2020-09-11,高瓴资本押注生物医药 投资图谱纳入京东健康,时代在线
1433,2020-09-10,医药生物行业日报：阿斯利康暂停新冠疫苗试验,新浪
1434,2020-09-09,医药生物行业日报：《医疗保障行政执法事项指导目录》发布,新浪
1435,2020-09-09,凯莱英一站式服务净利6年增6倍 3000万外延并购强化CRO布局,长江商报
1436,2020-09-08,创新大势下，这些企业有望长期受益,汇聚南药
1437,2020-09-08,凯莱英(002821)医药CXO系列报告：金樽银釜斗十千 药剂定产直万钱,新浪
1438,2020-09-08,药明康德主业毛利率反常下滑 大手笔加码CDMO胜算几何 盈利能力下降,投资者网
1439,2020-09-07,凯莱英：3000万元收购冠勤医药100%股权,Wind
1440,2020-09-07,凯莱英(002821.SZ)拟3000万元收购CRO公司冠勤医药100%股权,格隆汇
1441,2020-09-06,医药生物行业周报：行业弱势整理 新冠疫苗持续推进,新浪
1442,2020-09-06,医药生物行业周报：国产创新药频繁授权海外 继续重点推荐创新药产业链,新浪
1443,2020-09-06,医药行业每周医览药闻：2020年医药中报业绩总结：后疫情时代 关注需求复苏下蕴含的全球市场机会,新浪
1444,2020-09-04,【浙商医药|中报】创新药产业链：本土力量逐步彰显硬实力，制药升级进入兑现期,杏林建研
1445,2020-09-04,【浙商医药|中报总结】Q2改善，选赛道更重要,杏林建研
1446,2020-09-04,医药生物行业日报：卫健委新设五个国家儿童区域医疗中心,新浪
1447,2020-09-04,医药行业2020年9月投资月报：建议关注IVD化学发光赛道 业绩高增长可期,新浪
1448,2020-09-04,A股中报季900只超预期个股名单,锦缎
1449,2020-09-03,医药生物行业日报：西班牙将在全国接种流感疫苗,新浪
1450,2020-09-03,监管层严控“战投式定增”再融资锁价改竞价成潮流,Wind
1451,2020-09-03,监管层严控“战投式定增”再融资锁价改竞价成潮流,21世纪经济报道
1452,2020-09-02,医药生物行业日报：国务院发文推进核酸检测能力建设,新浪
1453,2020-09-01,“战投式”定增现修订潮锁价改竞价是最大看点,证券时报
1454,2020-08-31,定增再现修订潮！高瓴、蒙牛、碧桂园参与“战投”受阻……哪些更容易通过审核？这些案例或指明方向,证券时报网
1455,2020-08-31,比芯片牛 多股走势力压茅台！此医药概念牛股成群,证券时报
1456,2020-08-31,明星基金经理“隐形”重仓股全曝光,中国基金报
1457,2020-08-31,比芯片还牛，多股走势力压茅台！这个医药概念牛股成群，最牛34天涨13倍，业绩持续高增长股仅14只,证券时报网
1458,2020-08-30,【光大金工|定增周报】中科曙光定增项目获证监会批准发行,EBQuant
1459,2020-08-30,下周解禁股名单来了！涨超20倍芯片龙头将迎千亿规模解禁 解禁,证券时报
1460,2020-08-29,再融资新规引定增热 知名创投借机进入A股医械标的 但仍有不确定因素,科创板日报
1461,2020-08-29,下周1690亿市值限售股解禁，环比增加271.18% 解禁,Wind
1462,2020-08-28,凯莱英(002821)：参股SNAPDRAGONCHEMISTRY 连续性反应技术再加码,新浪
1463,2020-08-26,凯莱英(002821.SZ)：26.205万股限售股8月31日解禁 解禁,格隆汇
1464,2020-08-26,医药生物行业周报：全国集采拟中选结果公布 产业结构持续优化升级,新浪
1465,2020-08-26,凯莱英：26.21万股限售股8月31日上市流通 解禁,Wind
1466,2020-08-26,凯莱英(002821.SZ)获核准非公开发行不超1870万股新股,格隆汇
1467,2020-08-26,凯莱英：公司非公开发行股票获证监会核准,Wind
1468,2020-08-25,A股共发生85宗大宗交易成交23.66亿元（8月25日）,Wind
1469,2020-08-25,凯莱英今日大宗交易成交4.42万股，成交价251.0元溢价0.0%,Wind
1470,2020-08-25,医药生物行业双周报,新浪
1471,2020-08-23,凯莱英(002821.SZ)：徐向科尚未减持公司股份,格隆汇
1472,2020-08-23,凯莱英：徐向科减持0.0402%公司股份 减持股份,Wind
1473,2020-08-23,太平洋医药行业周报：新冠为检测行业带来的不止业绩 还有渗透率提升,新浪
1474,2020-08-23,医疗健康：子板块表现分化 第三批国家药品集采结果公布,新浪
1475,2020-08-21,天津上市公司协会 天津市证券业协会共同举办《股东来了》2020天津片区走进上市公司系列活动——凯莱英,证券时报网
1476,2020-08-21,天津证监局：引导投资者掌握投资知识 提升权益保护意识,中证网
1477,2020-08-21,医药生物板块回撤-10%，哪些医药基金更抗跌？,养基司令
1478,2020-08-20,凯莱英(002821.SZ)：26.205万股限制性股票解除限售条件成就,格隆汇
1479,2020-08-19,医药行业周报：如何看待近期医药的回调？,新浪
1480,2020-08-19,医药生物行业投资周报：保持定力紧抓优势赛道龙头 疫情股侧重长期影响和疫苗临床进展,新浪
1481,2020-08-18,医药生物行业日报：估值溢价继续收窄 逢低布局绩优个股,新浪
1482,2020-08-18,医药生物行业日报：灭活疫苗价格两针预计不超过1000元,新浪
1483,2020-08-18,蒙娜丽莎(002918)：疫情风险结束 定增终止回归内生发展常轨,新浪
1484,2020-08-18,又见高瓴大手笔！58亿入股医疗电商独角兽，疯狂加码这一领域，有何深意？A股定增、加仓美股…火力全开,券商中国
1485,2020-08-18,财经早茶｜美商务部加码华为限制措施；国产操作系统重磅产品发布,证券时报网
1486,2020-08-17,凯莱英：非公开发行股票获得中国证监会发审会审核通过,e公司
1487,2020-08-17,凯莱英(002821.SZ)：定增申请获证监会审核通过,格隆汇
1488,2020-08-16,医药行业每周医览药闻：如何看待逐步常态化的耗材集采,新浪
1489,2020-08-14,理性辩证看待再融资新规,新华网
1490,2020-08-14,国家队压箱底股票曝光，最长持股超七年（名单）,证券时报网
1491,2020-08-12,凯莱英(002821.SZ)向221名激励对象授予102.45万股限制性股票,格隆汇
1492,2020-08-12,凯莱英(002821)2020半年报跟踪：业绩保持较快增长 持续打造核心竞争优势,新浪
1493,2020-08-11,凯莱英(002821)：业绩略超预期 订单加快保障公司业绩增长,新浪
1494,2020-08-11,凯莱英现1笔大宗交易 共成交831.92万元,新浪
1495,2020-08-10,CDMO龙头凯莱英上半年营收净利双增 服务海外大型制药公司所属药品收入占比超7成,和讯
1496,2020-08-10,【面包财报】凯莱英：2020年上半年归母净利润3.16亿元，同比增长37.63%,面包财经
1497,2020-08-10,【财报智读】凯莱英：2020年上半年归母净利润3.16亿元，同比增长37.63%,面包财经
1498,2020-08-10,医药生物行业周报：中报窗口期继续看好业绩高增长板块 持续推荐有实力能兑现的疫苗公司,新浪
1499,2020-08-10,医药行业周报：建议关注药店 关注业绩高增长、政策变化和估值性价比,新浪
1500,2020-08-10,社保基金长线坚守30只股（附股）,证券时报网
1501,2020-08-10,凯莱英一度拉涨8%！半年度净利润增加37%,金融界
1502,2020-08-10,凯莱英（002821）2020年半年报点评：业绩恢复高增长，毛利率显著提升,国信研究
1503,2020-08-10,【医药】海内外双拓高增长，毛利率提升强降本——凯莱英（002821）2020年半年报点评——增持（联系人：甘英健、陈晨、张山峰）,渤海证券研究
1504,2020-08-09,【浙商医药|周报】A+H已成大势，药筛CRO不断突破行业天花板,杏林建研
1505,2020-08-09,医药行业周报：医药“双循环” 看好创新药械进口替代+消费升级,西南证券
1506,2020-08-09,凯莱英(002821)半年报点评：运营回归高增长 持续看好后续发展,新浪
1507,2020-08-09,凯莱英(002821)：Q2业绩恢复高增长 毛利率开始出现大幅改善,新浪
1508,2020-08-08,凯莱英上半年净利增37%，国内业务毛利率同比升24.29%,和讯
1509,2020-08-08,凯莱英(002821)：海内外业务拓展顺利 净利润超我们预期,新浪
1510,2020-08-07,【浙商医药|周报】持续推荐业绩确定性高CXO板块，关注疫苗板块进展,杏林建研
1511,2020-08-07,凯莱英：上半年净利同比增长38%,e公司
1512,2020-08-07,凯莱英：半年度净利润约3.16亿元，同比增加37.63%,每日经济新闻
1513,2020-08-07,凯莱英(002821.SZ)半年度净利润升37.63%至3.16亿元,格隆汇
1514,2020-08-07,凯莱英(002821.SZ)：向金融机构申请综合授信不超8.5亿元,格隆汇
1515,2020-08-07,凯莱英：上半年净利润同比增长37.63%,Wind
1516,2020-08-07,拆解高瓴千亿资金投资逻辑：重仓中国，押注医药赛道,腾讯网
1517,2020-08-07,大数据揭秘：中美十倍股拥有四大共性,证券时报网
1518,2020-08-06,中小盘增发并购双周报：定价定增严监管 市场化的竞价定增受益,新浪
1519,2020-08-05,兴证医药2020年8月投资月报：再论大创新时代的创新疫苗,新浪
1520,2020-08-04,医药生物行业报告：疫情后周期拥抱医药新基建和大消费 重点关注疫苗赛道,新浪
1521,2020-08-03,医药生物行业月报：板块分化加剧 关注业绩确定性,新浪
1522,2020-08-02,医药行业每周医览药闻：疫苗依然是解决新冠疫情的最根本方法,新浪
1523,2020-07-31,凯莱英现1笔大宗交易 共成交786.06万元,新浪
1524,2020-07-30,医药生物行业日报：关注受益于海外供给紧缩的血制品企业,新浪
1525,2020-07-30,医药行业重点事项点评：第三批带量采购规则变化较少 市场预期逐步稳定,新浪
1526,2020-07-30,一个月内豪掷190亿 高瓴资本A股投资逻辑起底,投资者网
1527,2020-07-29,医药生物行业日报：疫苗板块持续领涨,新浪
1528,2020-07-29,医药生物行业周报：医药跑赢大盘 关注深化医改政策,新浪
1529,2020-07-29,医药生物行业日报：国药集团表示新冠疫苗有望年底上市,新浪
1530,2020-07-29,医药生物行业双周报,新浪
1531,2020-07-28,定增市场周报：多个项目调整认购对象 贵阳银行锁价改为竞价,新浪
1532,2020-07-28,应适度调整过于宽松的定增政策,证券时报
1533,2020-07-27,每经热评｜定增市场生变 体现监管遏制投机套利决心,每日经济新闻
1534,2020-07-26,医药制造业行业：集采领域扩面是既定方向 产业升级不变,新浪
1535,2020-07-26,医疗健康：国务院颁布卫生体制改革2H20重点工作,新浪
1536,2020-07-25,凯莱英修改定增方案的信号意义 堵塞定增的寻租空间,红周刊
1537,2020-07-24,“18+8”定增政策转向背后：数百亿资金或受影响,证券时报网
1538,2020-07-24,凯莱英风波背后：定增监管规则反思,经济观察网
1539,2020-07-24,别让惯性思维影响再融资规则,经济观察报
1540,2020-07-24,凯莱英连续7年两位数增速 高瓴资本放弃近20亿浮盈,新浪
1541,2020-07-24,医疗健康行业基金2Q分析：2季度仓位同比和环比上升 风险偏好依然较高,新浪
1542,2020-07-24,凯莱英定增方案突变，高瓴资本要撤？,环球老虎财经
1543,2020-07-24,高瓴资本出局凯莱英背后：为什么私募战投喝不到定增的汤？,环球老虎财经
