,2021-12-31,独家|长江证券副总裁罗国华辞职，将出任华东一家券商总裁，多位人士“点评”他们心中的老罗 董监高成员变化,财联社
615,2021-01-19,韦尔股份现9笔大宗交易均为折价成交,证券时报网
616,2021-01-19,长江证券：警惕不法机构假冒公司及子公司名义进行虚假宣传活动,中证网
617,2021-01-19,8年来首次扩容！券业再迎利好，释放什么信号,券商中国
618,2021-01-18,汇聚沪港深互联网龙头，工银瑞信互联网50ETF牛年盛大首发,和讯
619,2021-01-18,六家券商获准开展非金融企业债务融资工具主承销业务,Wind
620,2021-01-18,长江证券(000783.SZ)：41亿元的公司债券“21长江01”将于1月19日在深交所上市,格隆汇
621,2021-01-17,下周操盘攻略：年报披露工作将拉开序幕，解禁市值升至2400亿元,Wind
622,2021-01-15,长江证券今日大宗交易成交31.90万股，成交价7.48元折价9.44%,Wind
623,2021-01-15,5000亿MLF刚来，降准呼声又起！机构看好这些板块,e公司
624,2021-01-14,淡化短期择时，较长封闭期基金密集发行,Wind
625,2021-01-13,A股融资融券日报：两融余额增加108.41亿元（1月12日）,Wind
626,2021-01-13,双雄爆发！200亿资金抢筹，券商给出2021百亿盈利预测,中证报
627,2021-01-11,长江证券(000783.SZ)成功发行41亿元公司债券,格隆汇
628,2021-01-08,明星分析师都去哪了？券商研究所5年离职数据大解剖,新财富
629,2021-01-07,【行情】证券板块尾盘拉升，西部证券直线封板，中银证券、兴业证券、长江证券等跟涨,金十数据
630,2021-01-06,中国债券市场金融债发行日程一览(1月6日),Wind
631,2021-01-05,长江证券(000783.SZ)：拟公开发行不超41亿元公司债券,格隆汇
632,2021-01-05,1月5日深市创业板活跃股公开信息,深交所
633,2021-01-05,A股开年动力足，券商挖掘金股忙,Wind
634,2021-01-04,长江证券(000783.SZ)：2020年第四季度“长证转债”转股数量为3.52万股,智通财经
635,2020-12-31,内蒙古证监局：方华利用未公开信息炒股，罚3年市场禁入,新浪
636,2020-12-30,17家券商评价遭下调，这家券商连升两级！,中证报
637,2020-12-30,中证协公布2020年度证券公司从事上市公司并购重组财务顾问执业能力专业评价结果,Wind
638,2020-12-30,天风证券携手Wind，开展研报合作,Wind
639,2020-12-27,集齐了！20家券商年度策划报告来袭，A股牛年金股若隐若现,中证报
640,2020-12-25,A股收官战打响！“翻倍基”超过50只，2021年该怎么投,证券时报网
641,2020-12-25,A股融资融券日报：两融余额增加15.42亿元（ 12月24日）,Wind
642,2020-12-24,基会 | 天弘基金推出新基杨超“一拖十二” 任职3只基金业绩“告负”,金融界
643,2020-12-24,“17成龙01”持有人会议将于12月29日召开，审议授权委托债券受托管理人对发行人立即提起诉讼等议案,Wind
644,2020-12-18,@33万证券从业者，新的考察方式来了！不当言论将被调查,券商中国
645,2020-12-17,长江证券(000783.SZ)第一大股东新理益集团解除质押1.8亿股,智通财经
646,2020-12-17,明年A股谁会唱主角？该买什么，怎么买？有秘诀,上证报
647,2020-12-16,新财富评选，大机构轮流入榜,21世纪经济报道
648,2020-12-16,华创证券携手Wind，开展研报合作,Wind
649,2020-12-15,长江证券股份有限公司关于警惕不法机构及人员假冒本公司及员工名义进行虚假宣传活动的声明,中证协
650,2020-12-15,楼市通网资金遭占用等违规收警示函 主办券商长江证券 资金问题,中国经济网
651,2020-12-15,3分钟，A股“最强绞肉机”变“印钞机”！19亿抄底资金浮盈4亿，谁在买？,每日经济新闻
652,2020-12-15,每日理财观察：沪深交易所启动新一轮退市制度改革,Wind
653,2020-12-15,券商抢滩基金托管市场，25家已获“入场券”,Wind
654,2020-12-14,仁东控股连续14个跌停后收关注函 两家机构“精准逃顶”，也有游资撬板“被埋” 连续下跌,每日经济新闻
655,2020-12-14,三年近万人“消失”，券业生态重塑？一岗位增幅迅猛,券商中国
656,2020-12-14,最新公告透露利好 10只个股有望爆发（12.14）,中金在线
657,2020-12-14,每日理财观察：证监会开展上市公司治理专项行动,Wind
658,2020-12-14,股海导航 12月14日沪深股市公告提示,新浪
659,2020-12-14,上市公司正负面新闻2020年12月14日星期一,Wind
660,2020-12-13,晚间公告热点追踪：8.2万股东今夜难眠 又有上市公司出“大事”,新浪
661,2020-12-13,晚间重要公告2020年12月13日星期日,Wind
662,2020-12-13,晚间公告｜12月13日这些公告有看头,第一财经
663,2020-12-13,21万亿市场如何瓜分？外资基金托管“狼来了”,Wind
664,2020-12-13,金融开放战火已起：又见外资机构和券商请战 21万亿市场如何瓜分,券商中国
665,2020-12-13,长江证券：公司证券投资基金托管资格已获核准,Wind
666,2020-12-11,长江证券保荐有限公司：“17成龙03”持有人会议审议通过8项议案,Wind
667,2020-12-10,韦尔股份发生31笔大宗交易合计成交3.18亿元,证券时报网
668,2020-12-10,深度*行业*证券行业券商板块11月数据点评：市场回暖股承增长 转板上市办法出台,新浪
669,2020-12-10,多股大跌！大连圣亚连续5跌停，游资撬板“被埋”,每日经济新闻
670,2020-12-09,保力新：股东郭鸿宝拟被动减持不超过1.02%公司股份 拟减持股份,Wind
671,2020-12-09,保力新(300116.SZ)主要股东郭鸿宝拟被动减持合计不超过4368万股 拟减持股份,智通财经
672,2020-12-09,ST智信股违规原董事长收警示函 主办券商为长江证券 金融监管处罚,中国经济网
673,2020-12-08,12月8日深市创业板活跃股公开信息,深交所
674,2020-12-08,A股午盘综述：上证指数午盘跌0.25%，家用电器、金融板块走低,Wind
675,2020-12-08,近5日机构首次关注16只个股并给予评级,第一财经
676,2020-12-07,盛新锂能现32笔大宗交易总成交金额2.31亿元,证券时报网
677,2020-12-04,长江证券再度携手Wind，开展深度合作,Wind
678,2020-12-02,长江证券、中泰证券等获得“金牛成长证券公司奖”,中证网
679,2020-12-02,海通证券、申万宏源证券等获得“金牛投资银行团队奖”,中证网
680,2020-12-01,皖仪科技(688600.SH)于长江证券开立理财产品专用结算账户,智通财经
681,2020-11-30,长江证券、浙商证券先后翻绿，券商板块继续收窄涨幅,Wind
682,2020-11-27,金融板块尾盘放量拉升，银行ETF收创上市新高,Wind
683,2020-11-27,A股收盘综述：上证指数涨逾1%，上证50创2008年3月以来新高,Wind
684,2020-11-27,【行情】券商股持续走高，国盛金控涨停，长江证券、浙商证券等多股走强,金十数据
685,2020-11-27,券商股持续上涨，国盛金控两连板,Wind
686,2020-11-27,聚龙股份：控股股东安吉聚龙拟转让2200万股以缓释风险 减持股份,资本邦
687,2020-11-27,聚龙股份控股股东安吉聚龙拟协议转让4%股份，用于降低股权质押负债规模 减持股份,资本邦
688,2020-11-26,降低股权质押负债规模 聚龙股份控股股东将出让4%股份 减持股份,e公司
689,2020-11-26,聚龙股份(300202.SZ)控股股东安吉聚龙拟以2.2亿元向李晓东转让所持公司2200万股股份 减持股份,智通财经
690,2020-11-26,聚龙股份(300202.SZ)：控股股东拟协议转让4.0036%股份予李晓东 减持股份,格隆汇
691,2020-11-26,多只疑似庄股集体闪崩，3招教您远离“恶庄”,上证报
692,2020-11-24,11月24日深市创业板活跃股公开信息,深交所
693,2020-11-24,德恒上海律师事务所关于上海新致软件股份有限公司 首次公开发行股票并在科创板上市战略投资者核查事项的法律意见,证券时报
694,2020-11-23,11月23日深市创业板活跃股公开信息,深交所
695,2020-11-18,“17成龙03”持有人会议12月7日召开，审议10项议案,Wind
696,2020-11-17,解禁来了、质押解了，A股今年减持也多了,上证报
697,2020-11-16,11月16日深市创业板活跃股公开信息,深交所
698,2020-11-15,车险要变天？特斯拉亲自下场，保险费率还低30%？国内新能源车保险产品也在路上了,Wind
699,2020-11-14,四季度以来机构密集调研，13家苹果产业链公司,Wind
700,2020-11-13,A股共发生127宗大宗交易成交32.19亿元（11月13日）,Wind
701,2020-11-13,长江证券今日大宗交易成交827.55万股，成交价8.37元溢价0.0%,Wind
702,2020-11-13,你的股票赚了吗，2020年最具投资价值的光伏股票有哪些？,索比光伏网
703,2020-11-12,券商板块走强 长江证券涨逾4%,上证报
704,2020-11-12,A股融资融券日报：两融余额减少30.05亿元（11月11日）,Wind
705,2020-11-11,34只个股踏上“好钱程”：业绩超预期，中信、广发等券商再加一把火,红周刊
706,2020-11-11,A股融资融券日报：两融余额增加29.94亿元（11月10日）,Wind
707,2020-11-10,11月10日深市创业板活跃股公开信息,深交所
708,2020-11-10,非银行业周报：靴子落地 腾飞在即,新浪
709,2020-11-09,长江证券(000783.SZ)公司债券(第三期)最终发行数量为37亿元,智通财经
710,2020-11-09,长江证券(000783.SZ)：完成发行37亿元公司债券,格隆汇
711,2020-11-09,中金公司携手Wind，开展研报合作,Wind
712,2020-11-09,苹果11月11日新品发布会，会有哪些额外惊喜？,Wind
713,2020-11-08,百家公司获机构调研：探寻A股四季度投资密码,经济观察报
714,2020-11-06,长江证券(000783.SZ):2020年公司债券(第三期)票面利率为3.40%,智通财经
715,2020-11-06,比亚迪市值突破5000亿大关，汽车“周边股”成大赢家,21世纪经济报道
716,2020-11-05,两家券商前10个月新增借款超过上年末净资产的80% 大额借贷担保,证券日报网
717,2020-11-05,长江证券(000783.SZ)累计新增借款225.77亿元 超过上年末净资产80% 大额借贷担保,智通财经
718,2020-11-05,长江证券(000783.SZ)：前10月累计新增借款超上年末净资产80% 大额借贷担保,格隆汇
719,2020-11-05,长江证券：累计新增借款占上年末净资产比例为80.20% 大额借贷担保,Wind
720,2020-11-04,中国债券市场金融债发行日程一览(11月4日),Wind
721,2020-11-04,A股收盘综述：上证指数缩量小涨，中国人寿、君正集团领跌蚂蚁金服概念板块,Wind
722,2020-11-04,A股午盘综述：上证指数半日微升，蚂蚁金服指数跌超2%,Wind
723,2020-11-04,A股融资融券日报：两融余额增加58.37亿元（11月3日）,Wind
724,2020-11-03,长江证券(000783.SZ)：拟公开发行不超40亿元公司债券,格隆汇
725,2020-11-03,21亿主力资金疯狂扫货，券商上涨暗含三大逻辑,券商中国
726,2020-11-03,11月3日深市创业板活跃股公开信息,深交所
727,2020-11-03,A股大爆发！中金上市次日封住涨停,中国基金报
728,2020-11-03,长江证券冲击涨停，券商板块继续拉升,Wind
729,2020-11-03,想抄明星基金经理“作业”，结果却亏大了！,上证报
730,2020-11-03,中金公司A股大涨超6%提振券商板块，长江证券、招商证券跟涨,Wind
731,2020-11-02,长江证券前三季净利19亿元增32% 支付给职工现金19亿,中国经济网
732,2020-11-02,11月2日深市创业板活跃股公开信息,深交所
733,2020-11-02,【行情】券商股走势分化，次新股国联证券大跌9%、华泰证券、中银证券等跌1%，长江证券、中国银河、兴业证券涨3%,金十数据
734,2020-11-02,长江证券(000783)点评：3Q投行收入创新高 管理费率显著下降,新浪
735,2020-10-30,长江证券：关于公司董事辞职的公告 董监高成员变化,新浪
736,2020-10-30,长江证券：前三季度净利润同比增长32.06%,Wind
737,2020-10-30,长江证券(000783.SZ)第三季度净利润升163.33%至9.9亿元,格隆汇
738,2020-10-30,长江证券：董事田泽新辞职 董监高成员变化,Wind
739,2020-10-30,60家手机产业链公司前三季度实现盈利,Wind
740,2020-10-29,万星面业湖北食品抽检现不合格 主办券商为长江证券 产品问题,中国经济网
741,2020-10-28,方正证券携手Wind，开展研报合作,Wind
742,2020-10-27,10月27日深市创业板活跃股公开信息,深交所
743,2020-10-27,券商股咋了？股东们减持欲望没了，多家“宣而不减”,券商中国
744,2020-10-26,10月26日深市创业板活跃股公开信息,深交所
745,2020-10-23,长江证券北京一营业部员工长期代客理财下单 被责令改正,新浪
746,2020-10-21,光慧科技年报违法虚假记载遭罚 主办券商为长江证券 欺诈造假,中国经济网
747,2020-10-21,长江证券某营业部遭责令改正 员工用办公设备代客下单,中国经济网
748,2020-10-21,因员工“代客理财”，长江证券北京万柳东路证券营业部再收处罚 金融监管处罚,资本邦
749,2020-10-14,长江证券：前三季度累计新增借款超过上年末净资产百分之六十 大额借贷担保,Wind
750,2020-10-12,【行情】证券板块异动拉升，国海证券涨超5％，长城证券、国信证券、招商证券、长江证券等跟涨,金十数据
751,2020-10-12,新三板督导券商挑选指南——献给所有新三板公司,读懂财经
752,2020-09-29,年内券商合并传闻四起：合并潮将至？分析称目前只会出现个案,澎湃新闻
753,2020-09-25,游资情报｜“赵老哥”封板次新牛股遭砸盘；5机构席位出货唯一20%跌停股！,每日经济新闻
754,2020-09-25,长江证券今日大宗交易成交31.90万股，成交价8.0元折价1.23%,Wind
755,2020-09-24,中信建投携手Wind，开展独家研报合作,Wind
756,2020-09-23,长江证券：有不法人员假冒公司高管进行非法证券活动 其他违规处罚,中证网
757,2020-09-22,9月22日深市创业板活跃股公开信息,深交所
758,2020-09-22,[路演]“分清离浊、物尽其用” 上海凯鑫IPO路演9月22日成功举行,全景网
759,2020-09-22,长江证券(000783.SZ)：完成发行42亿元公司债券,格隆汇
760,2020-09-22,长江证券(000783.SZ)成功发行42亿元公司债,格隆汇
761,2020-09-22,长江证券与Wind开展独家研报合作,Wind
762,2020-09-21,"盘中暴涨75%！""牛市旗手""情绪又被点燃，还有多少空间可以想象？多只券商股遭灵魂追问，并购大戏要上演？",券商中国
763,2020-09-18,加码海外业务！中资券商为香港子公司“融资补血”,新浪
764,2020-09-18,长江证券(000783.SZ)：2020年公司债券(第二期)票面利率定为3.99%,格隆汇
765,2020-09-17,中国平安现6笔大宗交易总成交金额1.10亿元,证券时报网
766,2020-09-16,9月16日深市创业板活跃股公开信息,深交所
767,2020-09-15,长江证券(000783.SZ)：拟公开发行不超50亿元公司债券,格隆汇
768,2020-09-14,A股进入横盘整理期，警惕商誉股权质押双高股,Wind
769,2020-09-14,9月14日深市创业板活跃股公开信息,深交所
770,2020-09-14,Wind与招商证券强强联手，开展研报战略合作,Wind
771,2020-09-12,七大券商秋季策略齐了，可以召唤涨停吗？调仓换股首选板块原来是它,中证报
772,2020-09-11,A股共发生86宗大宗交易成交18.11亿元（9月11日）,Wind
773,2020-09-11,A股30年里程碑：上市公司突破4000家,Wind
774,2020-09-11,"长江证券现1笔大宗交易 共成交1,159.56万元",新浪
775,2020-09-11,长江股票指数正式发布，万得指数业务赋能机构研究转型,Wind
776,2020-09-10,长江证券总裁刘元瑞：全面拥抱财富管理时代 研究的价值将贯穿期间,中国证券网
777,2020-09-10,长江证券总裁刘元瑞：全面拥抱财富管理时代 研究的价值将贯穿期间,上证报
778,2020-09-03,上海证券交易所2020年09月03日主板交易信息,上交所
779,2020-09-03,56亿公募基金分仓佣金江湖大变局：头部券商稳坐“白名单”，中小券商面临出局困境,Wind
780,2020-09-01,虚构高息理财产品骗取千万资金炒股！农行支行领导与长江证券员工联手做局 欺诈造假,新浪
781,2020-09-01,券商研究排名出炉！前五格局稳，中小券商现黑马,Wind
782,2020-09-01,券商业绩期中考：太平洋证券净利降9成，华泰中信浙商人均薪酬超40万 盈利能力下降,搜狐
783,2020-08-31,又见千万级别诈骗大案！券商员工联手银行高管骗1000万 欺诈造假,中投网
784,2020-08-31,诈骗1100万！券商员工联手银行副行长卖假理财，炒股亏剩15万 欺诈造假,腾讯网
785,2020-08-31,券业财富管理转型大比拼！这家黑马暴增11倍,券商中国
786,2020-08-31,券商员工联手银行副行长卖“假理财” 诈骗1100多万 拿700万炒股血亏仅剩15万 欺诈造假,每日经济新闻
787,2020-08-30,净赚726.97亿元！39家上市券商交出上半年成绩单,中证报
788,2020-08-30,又有“假理财”！券商员工联手农行支行领导骗取1000万拿去炒股 欺诈造假,中国基金报
789,2020-08-30,研究员转身去当副行长，还有哪些华丽转身？,Wind
790,2020-08-30,2020年证券公司分类评价结果解析：分类评级整体向好 龙头优势显著,新浪
791,2020-08-28,长江证券：上半年净利润同比减少13.35% 盈利能力下降,Wind
792,2020-08-28,长江证券公布半年报 上半年净利减少13.35% 盈利能力下降,新浪
793,2020-08-28,长江证券：上半年实现营收33.29亿元 净利9.42亿元,中证网
794,2020-08-28,长江证券上半年实现净利9.42亿元 同比下降13.35% 盈利能力下降,证券日报
795,2020-08-28,长江证券(000783.SZ)半年度净利润降13.35%至9.42亿元 盈利能力下降,格隆汇
796,2020-08-28,长江证券：上半年净利润9.42亿元同比下降13.35% 盈利能力下降,格隆汇
797,2020-08-27,8月27日深市创业板活跃股公开信息,深交所
798,2020-08-26,券商座次大变：“优等生”队伍壮大，安信国金等6家新晋AA,第一财经
799,2020-08-26,证监会公布2020年证券公司分类结果：15家券商获AA级,Wind
800,2020-08-25,电力板块业绩靓丽，中长期逻辑来袭,Wind
801,2020-08-23,资管业大咖共聚一堂！大资管时代机遇何在？普惠金融怎么落地？他们这样说,中证报
802,2020-08-22,金牛-长江偏股类FOF指数发布 为投资再添利器,中证网
803,2020-08-22,长江证券刘元瑞：买方投顾模式是财富管理转型的突破口,中证网
804,2020-08-21,长江资管旗下一货币基金清盘，公司唯一一只股票基金也面临清盘风险 基金清算,资本邦
805,2020-08-18,“一参一控”拟松绑，国泰君安资管抢跑申请公募牌照,Wind
806,2020-08-18,券商单项业务英雄榜出炉：中信建投投行第一，华泰资管业务第一,上证报
807,2020-08-18,内部联动打造企业服务平台,中证报
808,2020-08-17,“8.18”理财节投教宣传三大特点浮现，一大痛点也需要思考如何破解！,每日经济新闻
809,2020-08-17,资管新规整改方案来了！大券商积极备战公募牌照,券商中国
810,2020-08-14,长江证券一营业部前营销主管违规买卖股票亏118万 被罚8万元 金融监管处罚,新浪
811,2020-08-13,第一创业放量涨停，外资交投活跃,Wind
812,2020-08-13,李向群：精选层连通多层次市场 投资应立足长周期,中国财富网
813,2020-08-12,又见证券从业人员违规炒股 监管出手了！ 金融监管处罚,中国基金报
814,2020-08-11,上海证券交易所2020年08月11日主板交易信息,上交所
815,2020-08-11,长江证券董事长李新华：弘扬行业文化打造公司特色以“忠诚”文化引领公司高质量发展,中证协
816,2020-08-10,上市券商前7月业绩：9家营收超百亿，5家净利翻番,券商中国
817,2020-08-10,上市券商前7月成绩单揭榜：5家券商净利同比翻倍,Wind
818,2020-08-07,斥资9亿，长江证券购置武汉新办公楼，上半年利润可覆盖买楼支出，去年来多家券商选择沪上置业,财联社
819,2020-08-07,8月7日深市创业板活跃股公开信息,深交所
820,2020-08-07,券商7月业绩点评：盈利能力改善明显 但经纪业务驱动力变弱,新浪
821,2020-08-06,金融街下午茶2020年8月6日星期三,Wind
822,2020-08-06,次新股葫芦娃打开一字板，实力游资进驻,Wind
823,2020-08-06,长江证券：7月份净利润5.68亿元环比增长67%,格隆汇
824,2020-08-06,长江证券(000783.SZ)：7月母公司净利升891.2%至5.68亿元,格隆汇
825,2020-08-06,长江证券：母公司7月净利5.68亿元,Wind
826,2020-08-05,长江证券(000783.SZ)：30亿元的“20长江04”将于8月6日在深交所上市,格隆汇
827,2020-08-04,解盘：金融、医药强势，血液制品、数字货币、体外诊断领涨,Wind
828,2020-08-03,北斗概念领涨全市场，“北斗+”两大领域呼之欲出,Wind
829,2020-08-03,中国证监会行政处罚决定书（贾志宏） 金融监管处罚,证监会
830,2020-07-31,这些个股评级被机构“趁热”大举调高，或打开“上涨空间”,红周刊
831,2020-07-31,长江证券发行30亿元公司债券 三峡财务获配2亿元,资本邦
832,2020-07-30,大地熊龙虎榜：营业部净卖出3447.17万元,证券时报网
833,2020-07-30,长江证券(000783.SZ)公开发行30亿元公司债券,格隆汇
834,2020-07-28,长江证券：证监会对公司申请发行金融债券无异议,中证网
835,2020-07-28,证监会对长江证券(000783.SZ)申请发行金融债券无异议,格隆汇
836,2020-07-28,精选层首日走势引券商反思，定价及承销能力成重点,Wind
837,2020-07-27,通威股份市值突破千亿大关 乐山、云南高纯晶硅项目已启动,e公司
838,2020-07-27,【资本力量】资本狂人捕捉牛市魅力长江证券再获刘益谦4亿增持,财华社
839,2020-07-27,银行行业周报：中小银行MPA考核或放松 信贷扩张可期,新浪
840,2020-07-27,纷纷扩大产能，头部猪企尝试楼房养猪,Wind
841,2020-07-26,长江证券(000783.SZ)：拟公开发行不超50亿元公司债券,格隆汇
842,2020-07-24,"资本""狂人""刘益谦又出手了！",中国基金报
843,2020-07-24,刘益谦再增持长江证券！持股已逼近20%,环球老虎财经
844,2020-07-24,刘益谦再度出手增持长江证券！持股比例增至19.28%,资本邦
845,2020-07-24,资本“狂人”刘益谦继续买买买，再次瞄准长江证券,券商中国
846,2020-07-23,热衷收藏的刘益谦出手“捡漏”：旗下新理益集团增持长江证券5563万股！,每日经济新闻
847,2020-07-23,基金2020Q2券商持仓分析：券商配置占比下滑至0.46% 低配比例继续扩大,新浪
848,2020-07-23,长江证券(000783.SZ)：新理益集团已增持1.01%公司股份,格隆汇
849,2020-07-22,券商板块冲高回落收涨1.03%，第一创业主力净流入金额超19亿元,Wind
850,2020-07-20,*ST秋林：被判决支付3500万元及利息等,Wind
851,2020-07-20,券商板块今日收涨5.29%，中信证券主力资金净流入约5亿元,Wind
852,2020-07-20,券商板块半日涨6.36%，方正证券、中信证券共获得主力净流入超12亿元,Wind
853,2020-07-20,A股午盘综述：上证指数大涨2.62%，逼近3300点,Wind
854,2020-07-20,部分个股迎来机构组团调研,Wind
855,2020-07-20,上市券商144亿元分红已兑现，还有157多亿元红包“在路上”,Wind
856,2020-07-17,券商板块今日缩量收跌3.07%，光大证券等4股跌停遭主力净卖出44亿元,Wind
857,2020-07-17,券商板块半日跌超3%，太平洋、光大证券、中信证券遭主力资金净卖出31亿元,Wind
858,2020-07-16,券商板块收跌5.6%成交金额1273亿元，太平洋获主力净流入32.29亿元,Wind
859,2020-07-15,曹德云：“大资管”时代 将进一步推动保险和券商深度合作,证券时报
860,2020-07-15,券商板块今日跌2.87%，无一股收于涨停,Wind
861,2020-07-15,券商板块半日跌1.8%成交金额740亿元，越秀金控涨停获主力净流入0.7亿元,Wind
862,2020-07-15,武汉蓝电(830779.OC)拟创业板上市 正接受长江证券辅导,资本邦
863,2020-07-14,7月14日深市创业板活跃股公开信息,深交所
864,2020-07-14,券商板块半日跌0.03%，南京证券主力净流入额16.96亿元,Wind
865,2020-07-13,长江证券(000783.SZ)：宏泰集团减持494万股 其及中小金服合计持股降至4.9106% 减持股份,格隆汇
866,2020-07-13,长江证券(000783.SZ)：发行面值总额不超150亿元公司债券获注册批复,格隆汇
867,2020-07-13,7月13日深市创业板活跃股公开信息,深交所
868,2020-07-10,7月10日深市创业板活跃股公开信息,深交所
869,2020-07-10,券商板块午盘跌0.73%成交金额945亿元，中信证券主力净流出3.6亿元,Wind
870,2020-07-10,金价再创新高几无悬念！黄金资产迎高光时刻,券商中国
871,2020-07-09,伟思医疗(688580.SH)：网上摇号中签号共13019个长江证券创新投资获配68.3466万股,格隆汇
872,2020-07-09,券商板块小涨成交1656亿元环比微减，光大证券成交额93亿元创历史新高,Wind
873,2020-07-09,券商板块午盘涨1.12%半日成交1088亿元，较上日同期增百亿元,Wind
874,2020-07-08,晚间重要公告2020年7月8日星期三,Wind
875,2020-07-08,7月9日涨停板早知道：七大利好有望发酵,新浪
876,2020-07-08,7月8日晚间上市公司十大重磅公告,巨丰财经
877,2020-07-08,A股券商6月业绩大爆发，环比最高增幅超200倍,Wind
878,2020-07-08,长江证券：6月实现3.41亿元净利润,中证网
879,2020-07-08,长江证券：母公司6月净利润环比增长2.3倍,e公司
880,2020-07-08,长江证券(000783.SZ)：6月母公司净利升147.59%至3.41亿元,格隆汇
881,2020-07-08,长江证券：母公司6月净利润3.41亿元,Wind
882,2020-07-08,长江证券：母公司6月份净利3.41亿元,新浪
883,2020-07-08,券商板块收涨6.63%成交金额1664亿元，中信证券、中信建投尾盘炸板,Wind
884,2020-07-08,猪肉价格上演“V”字走势：猪肉股能否迎来“第二春”？,Wind
885,2020-07-08,券商板块午盘涨3.68%半日成交金额998亿元，较上日同期缩量百亿元,Wind
886,2020-07-07,动力电池王者归来，高光时刻小伙伴尽开颜,Wind
887,2020-07-07,券商板块收跌2.3%成交金额1674亿元，中信证券主力净流出4亿元,Wind
888,2020-07-07,券商板块午盘跌0.44%成交金额1096亿元，上日同期为1082亿元,Wind
889,2020-07-07,A股早报2020年7月7日星期二,Wind
890,2020-07-07,A股大暴动！14年前研报竟预测到了，来看周期天王预言,e公司
891,2020-07-06,牛市信号批量来，A股这波还能冲多高？,券商中国
892,2020-07-06,长江证券：当年累计新增借款超过上年末净资产百分之四十 大额借贷担保,Wind
893,2020-07-06,长江证券(000783.SZ)：当年累计新增借款超上年末净资产40% 大额借贷担保,格隆汇
894,2020-07-06,涨停板解密：金融股掀涨停潮！（7月6日）,Wind
895,2020-07-06,券商板块今日成交金额1516亿元，中信证券主力净流入金额达72亿元,Wind
896,2020-07-06,券商板块半日成交金额1082.66亿元，已超7月2日全天,Wind
897,2020-07-03,券商板块半日成交金额884亿元，上日全天为990亿元,Wind
898,2020-07-03,上交所发布2020年二季度证券公司地方政府债券承销排行榜,Wind
899,2020-07-03,7天4个涨停！刚刚，这家券商还拿下基金托管牌照，并回应：无重大信息需要披露,券商中国
900,2020-07-03,光大证券7天4涨停：拿下基金托管牌照 回应称无重大信息需要披露,券商中国
901,2020-07-01,“无切片，不ToB” 网络切片将成5G时代最称手武器,Wind
902,2020-06-29,众生药业再度涨停，两机构买入4672万元,Wind
903,2020-06-23,定了！创业板注册制首批32家企业出炉，百亿融资大户现身,Wind
904,2020-06-22,"3000点关口""牛市旗手""暴力拉升 四股引瞩目",证券时报
905,2020-06-22,创业板首批32家名单出炉，两百家“平移”企业迎考注册制,第一财经
906,2020-06-20,又有两家券商拿下PB资格，还有8家待审中！托管人增至48家，托管市场竞争惨烈,券商中国
907,2020-06-17,6月逾200亿减持，4千亿巨量解禁下月将至,Wind
908,2020-06-15,创业板注册制落地引爆券商板块！谁将享受头波“红利”,中投网
909,2020-06-15,“意念跌停”秒变涨停，创业板猛飙2%，央妈端上2000亿“麻辣粉”,中国基金报
910,2020-06-15,券商股拉升，长江证券、国金证券领涨,Wind
911,2020-06-14,5天6家过会：精选层推进速度惊人，中小保荐机构抓准“逆袭”良机,Wind
912,2020-06-12,分仓江湖炸了！头部公募拟压缩券商分仓准入清单,Wind
913,2020-06-12,晚间重要公告2020年6月12日星期五,Wind
914,2020-06-12,长江证券：新理益集团及其一致行动人国华人寿累计增持1.36%股份,证券时报网
915,2020-06-12,长江证券(000783.SZ)：新理益及国华人寿保险累计增持7533.46万股,格隆汇
916,2020-06-05,长江证券(000783.SZ)5月母公司净利润1.03亿元 同比增长31.23%,格隆汇
917,2020-06-03,富时罗素：富时中国A50等指数季度审核变更6月22日生效,Wind
918,2020-05-27,5月27日A股龙虎榜揭秘,Wind
919,2020-05-26,5月26日A股龙虎榜揭秘,Wind
920,2020-05-26,证券业整体上市还有多远？90家券商资产已上市,券商中国
921,2020-05-26,长江证券(000783.SZ)：长证转债转股价调整为7.28元/股6月2日生效,格隆汇
922,2020-05-26,长江证券(000783.SZ)年报推10派1.5元 股权登记日6月1日,格隆汇
923,2020-05-25,5月25日A股龙虎榜揭秘,Wind
924,2020-05-22,5月22日A股龙虎榜揭秘，机构买入5股,Wind
925,2020-05-22,A股37家券商去年11家人均薪酬福利超50万元 中信居首,中国经济网
926,2020-05-21,5月21日A股龙虎榜揭秘，机构买入13股,Wind
927,2020-05-21,券商母公司4月净利排行榜：中信申万居前二，国泰华泰排名下行,面包财经
928,2020-05-20,5月20日A股龙虎榜揭秘，机构抛售12股,Wind
929,2020-05-20,融资客青睐9股，莱美药业买入占比高达56.90%,Wind
930,2020-05-19,5月19日A股龙虎榜揭秘，机构抛售17股,Wind
931,2020-05-19,A股券商赚钱榜：去年净利合计增长71%仅一家下滑资管业务成最疲弱地带,投资时报
932,2020-05-17,券商重磅业务裂变：“黑马”频出，豪门跌落,Wind
933,2020-05-15,5月15日A股龙虎榜揭秘，机构抢筹10股,Wind
934,2020-05-14,券业喜迎红四月：46家券商业绩环比增五成,Wind
935,2020-05-13,5月13日A股龙虎榜揭秘，机构买入11股,Wind
936,2020-05-13,超七成上市券商4月份业绩环比增长净利最高增39倍,证券时报
