,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
1424,2020-04-27,一季度营收和利润增速亮眼银行板块稳步回升久违大涨,财华社
1425,2020-04-27,浙商银行(02016-HK)建议委任汪炜为独立非执行董事,财华社
1426,2020-04-27,浙商银行董事长沈仁康：坚守服务民营、小微企业初心 “特色竞争力+价值创造力”化解冲击,上证报
1427,2020-04-26,浙商银行董事长沈仁康：坚守服务民营、小微企业初心 有信心完成全年经营目标,中国证券网
1428,2020-04-25,浙商银行：一季度实现净利润45.28亿元,中证网
1429,2020-04-25,浙商银行(601916.SH)一季度净利升2.07%至45.28亿元,格隆汇
1430,2020-04-25,浙商银行一季度营收134.64亿元 非利息净收入增长28.81%,和讯
1431,2020-04-24,浙商银行(02016)拟聘请毕马威华振和毕马威香港提供境内外审计服务,智通财经
1432,2020-04-24,浙商银行一季度净赚45.28亿元 手续费及佣金净收入增超六成,北京商报网
1433,2020-04-24,浙商银行(02016-HK)首季盈利增2%,财华社
1434,2020-04-24,浙商银行(02016-HK)首季股东净利润人民币45.28亿元,财华社
1435,2020-04-24,浙商银行(02016)建议委任汪炜为独立非执行董事,智通财经
1436,2020-04-24,浙商银行(02016.HK)拟委任汪炜为独立非执行董事,格隆汇
1437,2020-04-24,浙商银行：一季度净利45.28亿元，同比增长2.07%,第一财经
1438,2020-04-24,浙商银行(02016.HK)一季度净利升2.07%至45.28亿元,格隆汇
1439,2020-04-24,浙商银行股份有限公司20富邦SCP001信用风险缓释凭证创设情况公告,银行间市场协会
1440,2020-04-19,股息率超6%！买银行股比买理财赚钱？答案没有那么简单,金融界
1441,2020-04-18,浙江华通医药股份有限公司,中证报
1442,2020-04-17,年薪2000万+可期待！银行业董监高薪酬榜公布,券商中国
1443,2020-04-15,小微金融“晒单” 10家银行投放谁最给力,北京商报
1444,2020-04-14,半数长三角上市银行年报“交卷” 哪家“最吸金”？,新浪
1445,2020-04-14,浙商银行(02016.HK)4月24日董事会审议及批准一季度业绩及其刊发,格隆汇
1446,2020-04-13,年报数据告诉你去年上市银行工资到底有多高,北青网
1447,2020-04-13,浙商银行不良贷款率攀升至1.37%创5年新高 不良贷款额同步大增 资产异常,GPLP犀牛财经
1448,2020-04-13,票据缓解中小微企业融资难，防套利风险仍值得重视,Wind
1449,2020-04-12,银行又涨薪！但这家大行平均月薪涨534块，还少了1.64万柜员，发生了什么？,和讯
1450,2020-04-12,“杭信贷”正式启动,和讯
1451,2020-04-11,区块链技术助中小企业恢复现金流,经济日报
1452,2020-04-10,7家银行与河南国控集团座谈：稳住存量前提下，不采取法律措施追讨债务,每日经济新闻
1453,2020-04-10,信用卡不良率上升拉响风险警报？股份行零售进击与反思 资产异常,经济观察网
1454,2020-04-10,上市银行业绩大放送！工行每小时净赚3564万 四家归母净利下滑 盈利能力下降,投资时报
1455,2020-04-10,银行“雷区”：这些行业不良率飙升N倍！ 资产异常,36氪
1456,2020-04-10,一季度银行不良率或抬升，对公业务显韧劲,Wind
1457,2020-04-09,浙商银行变更注册资本获批,上证报
1458,2020-04-09,浙商银行(02016.HK)：银保监会已核准注册资本变更事项,格隆汇
1459,2020-04-09,浙商银行(02016.HK)近日收到浙江金华中级法院一审判决书 诉讼纠纷,格隆汇
1460,2020-04-09,浙商银行：法院判决将拍卖义乌世茂中心发展等物业资产用来归还对公司的欠债 资产异常,Wind
1461,2020-04-09,月薪5万！银行又涨工资了，浙商平安力压招行，比工行中行2倍都高！这家小银行，涨幅最高,中国基金报
1462,2020-04-09,外贸企业遇“二次考验”，银行出招稳订单降成本,Wind
1463,2020-04-08,银行为何学起了“拼多多”？|透视银行年报系列⑥,经济日报
1464,2020-04-07,中国债券市场交易备忘（4月7日）,Wind
1465,2020-04-03,近8成银行股破净 三银行股息率秒杀银行理财超6%,21世纪经济报道
1466,2020-04-03,超700亿的投入！银行花这么多钱，有没有让企业获益？丨透视银行年报系列③,中国经济网
1467,2020-04-03,被8000万港元成交压垮，谁在抛售甘肃银行？,第一财经
1468,2020-04-03,浙商银行A股首年成绩单：营收、净利双位数增长,搜狐
1469,2020-04-03,【天风研究·固收】信用早早报（4月3日）,固收彬法
1470,2020-04-02,上市股份制银行业务亮点大比拼，谁最具看点？,搜狐
1471,2020-04-02,浙商银行：“17桑德工程MTN001”持有人会议审议通过展期兑付方案 本息展期,Wind
1472,2020-04-02,浙商银行拟发行150亿元小微企业专项金融债,Wind
1473,2020-04-02,浙商银行拟发行150亿元小微企业专项金融债,中证网
1474,2020-04-02,增强金融支持　助小微企业渡难关,金融时报
1475,2020-04-01,净利润增速创下近三年新高 浙商银行管理层详释经营逻辑,上证报
1476,2020-04-01,中珠医疗违规为关联方频频输血 实控人许德来遭谴责 关联方问题,中国经济网
1477,2020-04-01,浙商银行换挡：主动降速，换取增长质量提升,面包财经
1478,2020-04-01,平台化服务战略快速推进 净利增速创三年来新高,金融时报
1479,2020-04-01,政策持续加持小微企业，六大行去年普惠小微贷超3万亿元,Wind
1480,2020-04-01,浙商银行：“回A”首份成绩单亮相,南方财经网
1481,2020-03-31,浙商银行回A股后首份年报：净利129亿同比增12.48% 电子银行渠道替代率达99.03%,经济观察网
1482,2020-03-31,中珠医疗及其控股股东相关责任人受上交所纪律处分 关联方问题,证券时报网
1483,2020-03-31,浙商银行发放贷款破万亿占总资产超55% 成本收入比降至26.24%费用管控强化,长江商报
1484,2020-03-31,浙商银行年报透视：实施平台化服务战略 提升服务实体经济质效,中金在线
1485,2020-03-31,浙商银行实现营收463.64亿元,中国金融新闻网
1486,2020-03-30,浙商银行2019年贷款增长19% 首席财务官景峰：相信今年贷款占资产的比重会进一步提升,每日经济新闻
1487,2020-03-30,浙商银行答一财：同业理财投资已清零，将从四方面加快理财业务转型,第一财经
1488,2020-03-30,浙商银行交出A股首份成绩单：营收和净利润实现双位数增长,21世纪经济报道
1489,2020-03-30,【财报眼】浙商银行净利增长12.48% 员工平均年龄34.7岁,新浪
1490,2020-03-30,浙商银行A股上市后首份成绩单，上年净利润近130亿元,新京报
1491,2020-03-30,浙商银行2019年总负债1.67万亿元，较上年末增长8.32% 偿债能力下降,中华网
1492,2020-03-30,浙商银行：员工平均年龄34.7岁 本科及以上学历占90%,新浪
1493,2020-03-30,浙商银行年报：2019营收与利润保持双位数增长，不良贷款率1.37%居同业低位,零壹财经
1494,2020-03-30,浙商银行：普惠型小贷余额增幅21.71% 不良率低至1.01%,和讯
1495,2020-03-30,稳规模调结构 浙商银行2019年日均贷款、存款占比提升逾5个百分点,和讯
1496,2020-03-30,浙商银行2019年净利润129.25亿 决定每10股派发股息2.40元,金融界
1497,2020-03-30,银行业积极探索在线供应链金融 实现多方面升级,中国金融新闻网
1498,2020-03-29,一图看懂浙商银行2019年年度报告,和讯
1499,2020-03-29,浙商银行2019年净利润129.25亿元 同比增12.48%,北京商报
1500,2020-03-29,浙商银行(02016)给予财通证券最高综合授信额度40亿元,智通财经
1501,2020-03-29,浙商银行交出“入A”后首份成绩单：净利润实现双位数增长 各项存贷款迈上“万亿”台阶,证券日报
1502,2020-03-29,浙商银行：2019年盈利129.25亿人民币，同比增长12.48%,Wind
1503,2020-03-29,浙商银行(02016-HK)2019年净利润增长12.48%拟10股派2.5元人民币,财华社
1504,2020-03-29,浙商银行(02016)建议委任王建及任志祥为非执行董事,智通财经
1505,2020-03-29,浙商银行(02016.HK)2019年度净利润增长12.48%至129.25亿元 拟10派2.4元,格隆汇
1506,2020-03-29,浙商银行(02016)年度股东应占净利增12.46%至129.25亿元 每10股派2.4元,智通财经
1507,2020-03-29,浙商银行交出A股上市后首份“成绩单”：全年营收增速19%,中新网
1508,2020-03-29,浙商银行成绩单：贷款规模首破万亿元 营收、净利维持双位数增幅,证券时报
1509,2020-03-29,浙商银行2019年增长势头不减 现金分红比例高达39.49%,和讯
1510,2020-03-29,浙商银行：2019年净利润同比增长12.48%,Wind
1511,2020-03-29,浙商银行：2019年净利129.2亿元 同比增长12.48%,新浪
1512,2020-03-29,浙商银行：2019年净利润129.2亿元，同比增长12.48%,Wind
1513,2020-03-28,甘肃刚泰控股（集团）股份有限公司关于累计涉及诉讼及仲裁的公告 诉讼纠纷,中证报
1514,2020-03-27,全球战“疫” 浙商银行助外贸企业 “打赢全场”,中国金融新闻网
1515,2020-03-27,浙商银行：17永泰能源CP005、17永泰能源CP006违约后，后续将做好信披工作 违约失信,Wind
1516,2020-03-25,触发股价稳定承诺，年内五家银行高管出手增持,第一财经
1517,2020-03-25,浙商银行：“18西王CP001”、“18西王CP002”持有人会议未生效,Wind
1518,2020-03-24,AI令银行更智慧 五方面成制胜关键,中国电子银行网
1519,2020-03-20,拍卖平台上的小贷们：搁浅案例近60起，赫美小贷因办案需要遭撤回,和讯
1520,2020-03-20,上门送服务，浙商银行董事长走访富春集团,陆家嘴金融网
1521,2020-03-18,债券重大事件2020年3月18日星期三,Wind
1522,2020-03-18,浙商银行：因触发交叉保护条款，计划3月20日召开“18桑德工程MTN001”持有人会议,Wind
1523,2020-03-17,浙商银行：畅通产业链资金链助力各环节协同复工复产,和讯
1524,2020-03-17,国开行3月23日拟开展国开债做市支持操作,Wind
1525,2020-03-16,浙商银行(02016.HK)3月27日举行董事会会议以审批全年业绩,格隆汇
1526,2020-03-16,安信信托再添22.7亿诉讼，浙商银行、长城资产讨债 诉讼纠纷,第一财经
1527,2020-03-16,再现稳股价方案，银行股估值是否已见底？,Wind
1528,2020-03-13,高澜股份(300499.SZ)：拟向浙商银行申请不超8000万元的综合授信额度,格隆汇
1529,2020-03-13,价值低估!A股这份“抗跌”名单请收好,Wind
1530,2020-03-13,“无接触”服务背后 将为银行业数字化转型提速,中国电子银行网
1531,2020-03-12,浙商银行：3月26日召开“17桑德工程MTN001”持有人会议，审议相关议案,Wind
1532,2020-03-12,浙商银行股份有限公司20亚厦SCP002信用风险缓释凭证创设情况公告,银行间市场协会
1533,2020-03-11,多地频传二成首付 乱象背后透露什么信号？,国际金融报
1534,2020-03-11,浙商银行(02016.HK)董事会审议通过关于派发境外优先股股息的议案,格隆汇
1535,2020-03-11,全球经济调整在所难免，买房上车要不要再等等？,和讯
1536,2020-03-10,网传湖州银行下调个人首套房及二套房最低首付比例,Wind
1537,2020-03-10,浙商银行：活用金融科技 支持企业复工复产,和讯
1538,2020-03-09,浙商银行股份有限公司20亚厦（疫情防控债）SCP001信用风险缓释凭证预配售情况公告,银行间市场协会
1539,2020-03-07,疫情冲击现金流，房企争相发行短期融资券救急,Wind
1540,2020-03-07,金融科技硬核上岗，银行“无接触”办公效率高,Wind
1541,2020-03-06,桑德环境：“17桑德工程MTN001”置换金额占发行金额80%,Wind
1542,2020-03-06,浙商银行温州分行违法遭罚55万 贷款资金转作银行承兑汇票保证金 金融监管处罚,中国网
1543,2020-03-06,浙商银行温州分行被罚55万：贷款转作承兑汇票保证金 金融监管处罚,新浪
1544,2020-03-06,楼市连出四大现象2020房价下降已成定局?2020年全国房价走势最新消息,经济日报
1545,2020-03-05,股票质押解押一览表（3月5日）,Wind
1546,2020-03-04,浙商银行发行百亿专项债 部分资金用于疫情防控类小微企业贷款,每日经济新闻
1547,2020-03-04,浙商银行：将于3月18日召开“18西王CP001”持有人会议,Wind
1548,2020-03-04,支持疫情防控类小微企业 浙商银行发行100亿元金融债,证券时报网
1549,2020-03-04,浙商银行发行100亿元小微企业金融债 助力小微抗疫,新浪
1550,2020-03-04,ST 赫美互金悲情史：两家被卖，一家已爆雷,华夏时报
1551,2020-03-04,足不出户贴现资金快速到账,金融时报
1552,2020-03-03,*ST赫美旗下小贷公司被司法拍卖 起拍价200万元 司法拍卖,每日经济新闻
1553,2020-03-03,西安各家银行房贷首付比例未调整 严格按照限购政策执行,西安晚报
1554,2020-03-03,海盐国资公司成功发行3亿元疫情防控债（中期票据）——票面利率创2017年以来全国区县级同品种、同评级、同期限新低,中国金融新闻网
1555,2020-03-03,首单债券置换试点项目启动，桑德工程拟发行票据置换“17桑德工程MTN001”,Wind
1556,2020-03-02,长城证券：资金面边际改善，板块配置价值凸显,乐居财经
1557,2020-03-02,【西南地产纪要】 聚焦2020年3月投资策略及金股推荐,如说地产
1558,2020-03-02,国内债市盘前：中国2月官方制造业PMI为35.7,Wind
1559,2020-03-02,浙商银行房贷首付降至二成 用足政策缘何震动业界,国际金融报
1560,2020-03-01,快看 | 紧急叫停“两成首付”背后的临安楼市,和讯
1561,2020-03-01,深圳二套房首付7成变3成？多家银行频传放宽房贷首付比,凤凰网
1562,2020-03-01,房企75折卖房，银行两成首付，买房的最好时机要来了吗？,搜狐
1563,2020-02-29,*ST赫美旗下小贷公司51%股份将被强制拍卖偿债 司法拍卖,中金在线
1564,2020-02-28,银行降首付、多地调公积金政策预示楼市松绑？答案并不是,新京报
1565,2020-02-28,浙商银行：金融科技战疫进行时,新浪
1566,2020-02-28,供应跌3成！成交下降92%！疫情下，惠州楼市很淡！,搜狐
1567,2020-02-28,驰援小微企业“e”同抗疫,金融时报
1568,2020-02-28,多地需求端稳地产政策继续密集出台,Wind
1569,2020-02-27,债券重大事件2020年2月27日星期四,Wind
1570,2020-02-27,多地频传2成首付，真是房贷松绑信号？监管部门刚刚明确：楼市金融政策未调整！,证券时报网
1571,2020-02-27,浙商银行：“17桑德工程MTN001”持有人会议未生效,Wind
1572,2020-02-27,松绑？8个城市的首套房主流首付比例为2成,21财经
1573,2020-02-27,松绑？8个城市的首套房主流首付比例为2成,21世纪经济报道
1574,2020-02-27,长三角哪些城市有机会首套房2成首付？仅供参考,乐居财经
1575,2020-02-27,浙商银行：“18雏鹰农牧SCP001”、“18雏鹰农牧SCP002”违约后续,Wind
1576,2020-02-27,浙商银行拟发行100亿元3年期小微企业专项金融债券,Wind
1577,2020-02-27,浙商银行拟发行100亿元小微企业专项金融债,中证网
1578,2020-02-27,"降息、降首付,救市政策频出,房地产市场何去何从?",搜狐
1579,2020-02-27,广州多家银行房贷首付比例未调整,广州日报
1580,2020-02-27,国内债市盘前：央行要求为企业复工复产提供低成本资金支持,Wind
1581,2020-02-27,临安有楼盘推出首套房首付两成,和讯
1582,2020-02-27,房地产金融政策边际微调不改总体基调,Wind
1583,2020-02-27,最新回应来了！继浙商银行之后宇宙行首套房贷也降低首付至两成？,和讯
1584,2020-02-26,【华西地产·行业点评】一城一策持续放松，货币财政双双发力,地产由我说
1585,2020-02-26,首付要降了！房价还会下跌吗？你怎么看？,搜狐
1586,2020-02-26,防疫专项同业存单来了！ 国有大行、股份行、农商行等银行密集发行,华夏时报
1587,2020-02-26,又见公积金“救市”！东莞公积金贷款延长30年，更有额度提高、首付降至两成！楼市“松绑”信号来了？,中国基金报
1588,2020-02-26,一城一策持续松绑！地产股的投资机会又到了？,和讯
1589,2020-02-26,【浙商银行小微专项金融债】不超100亿/3年/3.0%-3.3%/中诚信AAA/AAA/银行间/3月3日簿记,中信建投固定收益部
1590,2020-02-26,桑德工程5亿超短融展期兑付大股东桑德集团减持启迪环境套现约1.5亿 本息展期,经济观察报
1591,2020-02-26,浙商之后绍兴工行也降低首套首付至两成？官方回应：没有！,Wind
1592,2020-02-26,浙商之后，工行也降低首套首付至两成？官方回应来了！,21世纪经济报道
1593,2020-02-26,地方性两成首付正在蔓延！会被国家叫停吗？,和讯
1594,2020-02-26,多地微调楼市政策，有地方首套房首付比例降至二成,Wind
1595,2020-02-26,国内债市盘前：银保监会称房地产金融政策未变,Wind
1596,2020-02-26,存量房贷利率换“锚”在即，转换定价并非松绑楼市调控,Wind
1597,2020-02-26,银行股破净率超70%，估值接近历史底部,Wind
1598,2020-02-25,再现2成首付！ 浙商银行：非限购城市差异化执行,华夏时报
1599,2020-02-25,这家银行放大招：买房最低只需两成首付！多个城市楼市有变化,和讯
1600,2020-02-25,银行终于放大招！刚需买房的好时机，马上要来了！,和讯
1601,2020-02-25,三成降至二成！浙商银行下调非限购城市首套房贷款首付比例,每日经济新闻
1602,2020-02-25,刚刚！有银行首付下调至“2成”！惠州符合条件！,搜狐
1603,2020-02-25,降首付、送户口 房地产“救市”进入第二阶段,网易
1604,2020-02-25,房地产调控出现松动？个别银行调降非限购城市首付比例,腾讯网
1605,2020-02-25,网贷天眼早报：金融机构推信贷延期还款政策浙商银行调降住房首付贷款比例,和讯
1606,2020-02-25,防疫存单密集发行 45家银行募资近300亿,时代周报
1607,2020-02-24,重回2成首付！浙商银行打响下调“头炮”，还有银行敢跟进吗,和讯
1608,2020-02-24,浙商银行将非限购地区首套房首付降至二成，释放了什么信号？,澎湃新闻
1609,2020-02-24,IPO一年超募近300亿，上市公司抗疫能否借此更有力？,第一财经
1610,2020-02-24,调降非“限购”城市首套房首付比例？ 浙商银行回应：与银行同业执行要求基本相当,北京商报网
1611,2020-02-24,债券重大事件2020年2月24日星期一,Wind
1612,2020-02-24,浙商银行出台新政下调首付比例，银行降低首付比例时代要来了吗？,搜狐
1613,2020-02-24,浙商银行调降非“限购”城市首套房首付比例,Wind
1614,2020-02-24,二成！浙商银行调降非“限购”城市首套房首付比例,21世纪经济报道
1615,2020-02-24,浙商银行：2月26日召开“17桑德工程MTN001”持有人会议，审议兑付议案,Wind
1616,2020-02-21,防疫专项同业存单密集发行 规模已达233.7亿元,每日经济新闻
1617,2020-02-21,金科文化(300459.SZ)及子公司2020年度拟向浙商银行等金融机构申请综合授信不超20亿元,格隆汇
1618,2020-02-21,国内债市盘前：中国1月金融数据全面超预期,Wind
1619,2020-02-20,创新服务方式 浙商银行多措并举共抗疫情,新浪
1620,2020-02-20,浙商银行20亿抗疫专项同业存单成功发行,上证报
1621,2020-02-20,全国首单10年期“防疫”中票发行 利率创湖北近三年新低,证券时报网
1622,2020-02-20,足不出户贴现资金快速到账 上海票据交易所“贴现通”助力企业抗击疫情,上证报
1623,2020-02-20,浙商银行：金融“组合拳”助企业复工复产,新浪
1624,2020-02-20,应对疫情融资需求变化 “不见面融资”服务让小微企业吃下“定心丸”,金融时报
1625,2020-02-19,逃离银行股 银行股权转让汹涌 资产异常,21世纪经济报道
1626,2020-02-19,浙商银行沈阳分行多措并举支持疫情防控和企业复工复产,中国金融新闻网
1627,2020-02-19,浙商银行：牢筑战“疫”金融防线 多措并举力促复工复产,中国经济网
1628,2020-02-18,中国债券市场交易备忘（2月18日）,Wind
1629,2020-02-17,央行对浙商银行开出反洗钱罚单 合计罚款1010万元 金融监管处罚,第一财经
1630,2020-02-17,违反反洗钱相关规定，又一家银行领千万级罚单,Wind
1631,2020-02-16,渤海银行IPO闯关：不良贷款率快速上升 消费金融一年猛增400亿 资产异常,金融界
1632,2020-02-15,浙商银行：通过“信用通”产品为近1500户存量小微企业提供贷款,中证网
1633,2020-02-15,零接触全线上 浙商银行驰援小微企业e同抗疫,新浪
1634,2020-02-15,绿色通道+平台化服务，浙商银行驰援小微企业抗疫,证券时报
1635,2020-02-14,一日新增融资7亿驰援医药企业 浙商银行多举措力助疫情防控,投资者网
1636,2020-02-12,多家银行及时推出信贷举措助小微企业过难关,中国经济网
1637,2020-02-11,浙商银行出台支持小微六条措施助力抗击疫情,金融时报
1638,2020-02-10,浙江银行业保险业建立疫情防控期间惠企政策清单,Wind
1639,2020-02-09,西贝入围北京首批金融支持企业，已获浦发银行1.2亿放款,腾讯网
1640,2020-02-07,助力小微企业渡难关，金融机构亮出实招！,中国经济网
1641,2020-02-07,浙商银行为封城武汉的小微企业“空投”信贷，推出支小六条,21世纪经济报道
1642,2020-02-07,浙商银行向受疫情影响个人客户 推出多项金融服务,金融时报
1643,2020-02-06,助力抗击疫情 浙商银行推出金融支持小微六条措施,上证报
1644,2020-02-06,浙商银行关于董事辞职的公告 董监高成员变化,新浪
1645,2020-02-06,浙商银行(601916.SH)：夏永潮辞任非执行董事职务 董监高成员变化,格隆汇
1646,2020-02-06,受疫情影响信用卡逾期？多家银行提供差异化延期还款服务,金融投资报
1647,2020-02-06,浙商银行：董事夏永潮辞职 董监高成员变化,Wind
1648,2020-02-06,浙商银行(02016.HK)：夏永潮辞任非执行董事职务 董监高成员变化,格隆汇
1649,2020-02-06,海信家电(00921)认购若干理财产品,智通财经
1650,2020-02-06,海信家电(00921.HK)认购4.6亿元银行理财产品,格隆汇
1651,2020-02-06,连收两份关注函全年预亏超4亿欢瑞世纪2020前路多艰 关注函,投资时报
1652,2020-02-06,银行业战“疫”行动全面铺开,上证报
1653,2020-02-05,浙商银行温州分行捐款500万元 助力抗击疫情,新浪
1654,2020-02-05,新华财经|抗击疫情银行业在行动：浙商银行青岛分行多项举措保障岛城金融服务顺畅,中国金融信息网
1655,2020-02-05,浙商银行开辟绿色授信通道 助力医药流通企业驰援抗疫一线,中国网
1656,2020-02-05,多家银行出台政策 允许符合条件的信用卡还款延期,中投网
1657,2020-02-05,近10日25家公司获高管增持,证券时报网
1658,2020-02-05,支付清算行业战疫三部曲：稳系统、免费用、畅通道,国际金融报
1659,2020-02-04,浙商银行：符合条件客户信用卡还款最长延期30天,上证报
1660,2020-02-04,中国支付清算协会：对疫情涉及的特定人员采取延长信用卡还款期等措施,Wind
1661,2020-02-04,浙商银行殷剑峰：A股长期向好态势不变 二季度后将出现明显复苏反弹,中证网
1662,2020-02-04,支付清算行业战“疫”：发挥线上优势 多措并举,北京商报
1663,2020-02-04,争分夺秒抗疫情！浙商银行“力挺”小微企业防疫物资生产,新华网
1664,2020-02-04,银行板块16.48亿资金净流出：铸成“黄金底”还是跌出“泥沼坑”？,21世纪经济报道
1665,2020-02-03,欢瑞世纪被要求说明收购标的公司业绩变脸原因 盈利能力下降,资本邦
1666,2020-02-03,浙商银行与鲁商集团并肩“战疫” 共保民生物资采购供应,鲁网
1667,2020-02-03,多家股份制银行跌幅超7% 专家认为金融市场波动是短期的、可控的,华夏时报
1668,2020-02-02,不盲目抽贷、断贷、压贷……银行机构以普惠金融助抗疫,经济日报
1669,2020-02-02,支援疫情防控，浙商银行“因客施策”输送专项金融服务,证券时报网
1670,2020-02-01,又拿下浙商基金！你知道“万向系”金融有多庞大吗？,和讯
1671,2020-01-26,浙商银行武汉分行捐赠1000万元 支援抗击新型肺炎,新浪
1672,2020-01-23,11股获重要股东大手笔增持（附股）,证券时报网
1673,2020-01-23,募资用途多变遭质疑，欢瑞世纪去年预亏超4亿 预亏,资本邦
1674,2020-01-22,新年首例上市银行股价维稳措施落地 浙商银行董监高仅用20天即增持完毕,证券日报
1675,2020-01-20,浙商银行(02016-HK)获多名高管共增持A股,财华社
1676,2020-01-20,浙商银行(02016)A股稳定股价措施实施完成 部分高管合计增持81.85万股A股,智通财经
1677,2020-01-20,浙商银行(02016.HK)：A股稳价措施实施完成 部分管理层累计增持81.85万股,格隆汇
1678,2020-01-17,浙商银行股份有限公司20振石SCP001信用风险缓释凭证创设情况公告,银行间市场协会
1679,2020-01-17,沪港通下港股通股票名单调整 浙商银行获调入,上证报
1680,2020-01-17,上交所：将浙商银行调入沪港通下港股通名单，自下一港股通交易日起生效,Wind
1681,2020-01-17,近10日15家公司获高管增持,证券时报网
1682,2020-01-17,中国债券市场交易备忘（1月17日）,Wind
1683,2020-01-15,浙江多家银行、保险机构被罚：央行、银保监出手，合计罚没4000万元 金融监管处罚,和讯
1684,2020-01-14,央行开十张罚单罚款超3000万，浙商银行违反《反洗钱法》被罚1010万 金融监管处罚,腾讯网
1685,2020-01-14,1月14日上市公司晚间公告速递,新浪
1686,2020-01-14,普洛药业(000739.SZ)：5000万元购买浙商银行区块链应收款产品,格隆汇
1687,2020-01-14,浙商银行2020年拟发同业存单2890亿元,和讯
1688,2020-01-13,近10日14家公司获高管增持,证券时报网
1689,2020-01-10,高管增持榜：美凯龙增持额居首,证券时报网
1690,2020-01-09,浙商银行股份有限公司20开元旅业SCP001信用风险缓释凭证预配售情况公告,银行间市场协会
1691,2020-01-09,19家公司高管出手增持动用资金4793.67万元,证券时报网
1692,2020-01-09,恒泰艾普(300157.SZ)：拟向浙商银行申请不超2.2亿元综合授信,格隆汇
1693,2020-01-08,浙商银行股份有限公司20开元旅业SCP001信用风险缓释凭证流通要素公告,上清所
1694,2020-01-08,17家公司高管出手增持动用资金4800.79万元,证券时报网
1695,2020-01-06,看完年度账单的反应＃跟这个表情包一毛一样,腾讯网
1696,2020-01-06,华谊兄弟要“戴帽”？2019年前三季已亏6.5亿 风险警示,新浪
1697,2020-01-06,A股2019：十大IPO科创板占4席谁是“募资王”,新京报
1698,2020-01-04,银行股巨量解禁来袭！多少董事、高管愿出手加持 解禁,经济观察网
1699,2020-01-03,限售解禁高峰来袭，紫金银行放量下杀（附巨额解禁名单） 解禁,第一财经
1700,2020-01-03,浙商银行股份有限公司20开元旅业SCP001信用风险缓释凭证信息披露文件,银行间市场协会
1701,2020-01-03,1月3日在售高收益银行理财产品一览,新浪
1702,2020-01-02,浙商银行无锡分行被罚95万：以不当方式吸收存款 金融监管处罚,新浪
1703,2020-01-02,光伏为村“消薄” 黄茶助农增收,衢州日报
1704,2020-01-01,浙商银行再出稳股价措施：董监高增持不低于316.64万元,澎湃新闻
1705,2019-12-31,浙商银行：再次宣布高管集体增持计划,e公司
1706,2019-12-31,浙商银行开启股价维稳模式：时隔11天又宣布高管增持,上证报
1707,2019-12-31,时隔11天，又宣布高管集体增持！浙商银行开启股价维稳模式,中国证券网
1708,2019-12-31,浙商银行股价维稳二连发,新华网
1709,2019-12-31,浙商银行披露稳价措施 董监高出手增持,中证网
1710,2019-12-31,浙商银行(02016)拟采取由董事及高级管理人员增持A股的措施稳定A股股价,智通财经
1711,2019-12-31,2020年了，这家银行为“护价”也是拼了！高管自掏千万增持,21世纪经济报道
1712,2019-12-31,浙商银行(601916.SH)：稳定股价措施 董事、高管及监事拟增持公司A股,格隆汇
1713,2019-12-31,浙商银行(02016.HK)监事长于建强拟以年薪的15%增持公司A股,格隆汇
1714,2019-12-31,贵州银行上市两日跌近10%，年内十家银行新股上市频遭“破发” 连续下跌,搜狐
1715,2019-12-31,12月31日在售高收益银行理财产品一览,新浪
1716,2019-12-30,13只次新股股价已破发（附名单） 连续下跌,证券时报网
1717,2019-12-30,银行新股破发隐情：政策倒逼 全球银行股同现破净潮,面包财经
1718,2019-12-30,多家银行触发维护股价机制 银行板块也不乏牛股,中证报
1719,2019-12-27,注意！未来1个月银行解禁规模将达171.8亿元 解禁,21世纪经济报道
1720,2019-12-27,2019年IPO年报：中企全球募资创八年新高，A股科创引领半壁河山,36氪
1721,2019-12-27,12月27日在售高收益银行理财产品一览,新浪
1722,2019-12-26,浙商银行小微园区综合金融服务方案在穗发布,中新经纬
1723,2019-12-25,“巨无霸”京沪高铁要来了 战略配售比例高达50%,每经网
1724,2019-12-25,浙商银行重庆分行“金融＋科技”助力“跨界玩家”刷新餐饮零售供应链新高度,上游新闻
1725,2019-12-25,12月25日在售高收益银行理财产品一览,新浪
1726,2019-12-24,护盘大招要来了！紧随高管上千万元增持计划，浙商银行即将推出稳定股价措施,中证报
1727,2019-12-24,浙商银行稳定股价措施启动高管此前已自愿增持1200万元A股股票,每日经济新闻
1728,2019-12-24,高管增持仍未提振股价 浙商银行触发稳定股价措施,澎湃新闻
1729,2019-12-24,浙商银行触发稳定股价条件此前高管宣布增持1200万元,中新经纬
1730,2019-12-24,太难了！又一家银行稳定股价条件触发，前几天高管刚说要增持1200万,21世纪经济报道
1731,2019-12-24,高管增持难抵银行股低迷 浙商银行触发稳定股价条件,新浪
1732,2019-12-24,破发、破净！高管出手1600万，这家银行又有新举措 连续下跌,中国基金报
1733,2019-12-24,浙商银行：触发稳定股价措施启动条件,e公司
1734,2019-12-24,浙商银行：达到触发稳定股价措施启动条件,Wind
1735,2019-12-24,浙商银行：将召开董事会制定稳定股价具体措施,新浪
1736,2019-12-24,12月24日在售高收益银行理财产品一览,新浪
