,2021-12-31,海尔智家(06690)：累计75.04亿港元H股可转债转换成3.98亿股,智通财经
5440,2020-09-14,洗衣机上开商店？体验“三翼鸟”智慧阳台物联网支付，帮您买洗衣液,牛华网
5441,2020-09-14,30股主力资金净流入超亿元,证券时报网
5442,2020-09-14,深度*行业*家用电器行业周报：行业线上维持较好水平 持续建议关注疫情“顺周期”主线,新浪
5443,2020-09-14,一大堆身体健康指标，却不知如何应对？“三翼鸟”健康场景破局,飞象网
5444,2020-09-14,提到海尔，想到家电？不完全是！今天他又发布场景品牌三翼鸟！,飞象网
5445,2020-09-14,白电巨头“抢滩”港交所，海尔智家递交IPO申请,环球老虎财经
5446,2020-09-14,牛市早报｜首批科创板50ETF产品获批，19新股本周申购,澎湃新闻
5447,2020-09-14,【摄氏零度】空调渠道变革 疾如旋踵（“解锁史上最冷空调冷年”系列报道四）,中国家电网
5448,2020-09-14,家电行业周报：政企联合促进消费 有望带动终端销售,新浪
5449,2020-09-14,智通港股早知道︱(9月14日)金融控股公司监督管理办法落地，留意招商局集团系列等股价波动,智通财经
5450,2020-09-14,09.14粤开早餐荟|首批科创板50ETF获批！科创板迈入指数投资新时代；证监会放大招，15万亿私募基金迎监管新规！,粤开证券微服务
5451,2020-09-13,一周IPO动态 | “水中茅台”暗盘翻倍！70万散户获利，中通快递赴港二次上市,华盛证券
5452,2020-09-13,科技周报：李开复微博回应“口误” 贾跃亭终身禁入证券市场,GPLP犀牛财经
5453,2020-09-13,海尔李华刚：三翼鸟未来的目标是重塑行业生态,中金在线
5454,2020-09-13,IPO参考周报|蚂蚁集团18日科创板上会 海尔智家赴港IPO,GPLP犀牛财经
5455,2020-09-13,场景品牌时代的到来，我们的生活会有什么改变 | 品牌新事,吴晓波频道
5456,2020-09-12,李华刚：用智慧赋能“完美的家”,瞭望东方周刊
5457,2020-09-12,海尔智家披露招股书 登陆港股再进一步,华夏时报
5458,2020-09-12,一周新股丨中概股加速回港二次上市，农夫山泉刷新富途暗盘成交额记录,富途证券
5459,2020-09-12,片仔癀领涨、汾酒再创新高！核心资产或已步入“修复区间”，品牌龙头开启“分化周期”,红周刊
5460,2020-09-12,官宣私有化海尔电器后，海尔智家赴港IPO，“海尔兄弟”这次能否实现1+1＞2？,国际金融报
5461,2020-09-12,一图解码：私有化进程下海尔智家向港交所递交H股上市申请,财华社
5462,2020-09-12,个股资金流向,财富动力网
5463,2020-09-12,"并购重组迎利好！八规合一，上交所调整并购重组信批规则，打造重组信披""一本通""",券商中国
5464,2020-09-11,并购重组好消息，八规合一，上交所调整优化重大资产重组信披规则,证券时报
5465,2020-09-11,公告精选：星网锐捷拟分拆子公司至创业板上市；中国平安前8个月保费收入5617亿元,e公司
5466,2020-09-11,公告精选：星网锐捷拟分拆子公司至创业板上市；社保基金会减持交行计划完成,e公司
5467,2020-09-11,公告精选丨多家险企发布1-8月保费收入，中国平安收入最高,21世纪经济报道
5468,2020-09-11,海尔智家向港交所递交上市申请上半年利润同比下降41.6% 盈利能力下降,中国网
5469,2020-09-11,海尔智家向港交所递交上市申请，6月份营收、利润增速逆势上扬,格隆汇
5470,2020-09-11,海尔智家(600690.SH)：已向香港联交所递交了上市申请,格隆汇
5471,2020-09-11,海尔智家：向香港联交所递交上市申请并刊发申请版本资料集,Wind
5472,2020-09-11,海尔智家：向香港联交所递交上市申请并刊发申请版本资料集,e公司
5473,2020-09-11,港股IPO|海尔智家递交港交所IPO申请 海尔集团持股超40%,资本邦
5474,2020-09-11,“Ocean X世茂深蓝服务系统”荣登2020物业服务平台优秀品牌,和讯
5475,2020-09-11,38股主力资金净流入超亿元,证券时报网
5476,2020-09-11,海尔智家或赴港上市 “海尔兄弟合体”能否解决短板问题,中国商报
5477,2020-09-11,海尔兄弟合体进展 海尔智家已向港交所提交IPO申请,科技新闻网
5478,2020-09-11,20Q2家电行业资金仓位变动研究：二季度机构资金更偏好厨小家电,新浪
5479,2020-09-11,分担您的家务！来“三翼鸟”智慧阳台体验物联网支付，帮您买洗衣液,飞象网
5480,2020-09-11,探秘海尔智家北京001号店:三翼鸟场景品牌极致体验的集中展示,凤凰网
5481,2020-09-11,海尔智家寻求港交所IPO，已提交申请,21世纪经济报道
5482,2020-09-11,Leader：10年前追逐年轻人，10年后让年轻人追捧,砍柴网
5483,2020-09-11,招商家电｜9月观点:藏器于身 待时而动,招商家电研究
5484,2020-09-11,【兴证家电】格力渠道改革近况更新，空调板块持续复苏 ——家电周报（20200907-20200913）,兴证家电
5485,2020-09-11,北极圈小镇：晚到的中国造和迟到的中国牌,砍柴网
5486,2020-09-11,海尔智家或赴港交所上市 已提交IPO申请,中金在线
5487,2020-09-11,海尔发布全球首个场景品牌“三翼鸟”,格隆汇
5488,2020-09-11,半年报“一波三折” 白电三巨头正和博弈,亿邦动力
5489,2020-09-11,创业海尔智家递交港交所IPO申请此外，今天海尔电器也发布公告，公司获海尔智家溢价约17.35%提私有化。程梦玲2020-09-11,DoNews
5490,2020-09-11,海尔智家递交港交所IPO申请 上半年利润36亿元,TechWeb
5491,2020-09-11,美的的镰刀,锦缎
5492,2020-09-11,美股过山车！科技股领跌，特斯拉空头高涨，高盛：投资者应考虑未来三个月增持股票！,证券时报网
5493,2020-09-11,海尔电器(01169)：海尔智家寻求以介绍方式将其H股于联交所主板上市,智通财经
5494,2020-09-11,海尔智家向港交所主板递交上市申请,Wind
5495,2020-09-11,永赢基金晏青：从社会价值角度看待投资机会,中证报
5496,2020-09-11,新股消息 | 海尔智家向港交所主板递交上市申请，海尔集团持有约40.03%已发行股本,智通财经
5497,2020-09-10,华为又第一了！9张图看透最新中国民企500强：这个行业猛增6家，上榜最多的省份是...（附榜单）,21世纪经济报道
5498,2020-09-10,世茂服务荣膺2020中国物业服务专业化运营领先品牌企业和服务平台优秀品牌两项大奖,中金在线
5499,2020-09-10,传九阳、格力电器考虑竞购飞利浦家电业务,Wind
5500,2020-09-10,9月10日主力资金净流出606亿元,证券时报网
5501,2020-09-10,升级智慧家？海尔智家北京001号店即将开业，还将发布新品牌,牛华网
5502,2020-09-10,快讯：海尔电器香港上市获证监会受理,乐居财经
5503,2020-09-10,海尔智家(600690.SH)发行H股及H股可转债申请获中证监受理,格隆汇
5504,2020-09-10,海尔智家在青岛成立新公司，从事职业中介活动等,证券时报网
5505,2020-09-10,“随手拍”海尔：意大利网友借照片表达敬意,牛华网
5506,2020-09-10,白电市场上半年整体低迷，下半年还有哪些“掘金点”,中国商报
5507,2020-09-10,上半年市场“萎靡” 白电企业下半年怎么玩,中国商报
5508,2020-09-09,海尔智家北京001体验中心9月11日开业，一起去打卡定制智慧生活,万维家电网
5509,2020-09-09,美的半年报空调业务收入超格力 家电巨头发力线上求转型,中新经纬
5510,2020-09-09,中银证券：下半年家电行业主要有两重利好 建议关注老板电器等,证券时报网
5511,2020-09-09,青岛42家A股上市公司半年报:营收近2000亿 38家盈利,大众日报
5512,2020-09-09,家用电器行业：沉舟侧畔千帆过 病树前头万木春,财富动力网
5513,2020-09-09,【读财报】家电行业半年报：二季度业绩回暖小家电逆势走强,新华网
5514,2020-09-08,深度*行业*家用电器行业中报总结：沉舟侧畔千帆过 病树前头万木春,新浪
5515,2020-09-08,家用电器行业：中报行业触底回升，期待持续复苏，维持“持有”评级,广发证券
5516,2020-09-08,家电双周报||行业数据持续改善，新推荐跨境电商龙头安克创新,吕明可选消费研究
5517,2020-09-08,"海尔智家现1笔大宗交易 共成交1,274.84万元",新浪
5518,2020-09-08,提供全场景用水解决方案 海尔水联网品牌战略发布,DoNews
5519,2020-09-08,拟收购惠而浦中国 格兰仕欲圆梦大白电,产业发展研究
5520,2020-09-08,深度*行业*家用电器行业周报：白电终端零售持续回暖 扫地机终端需求提升,新浪
5521,2020-09-08,最高54057个！最新A股上市公司拥有专利数量前50排行,搜狐
5522,2020-09-08,何止热水器第一？海尔水联网发力场景后，还隐藏着这些实力！,中国家电网
5523,2020-09-08,家用电器行业周报W36：Q2疫情影响消退 业绩持续复苏回暖,新浪
5524,2020-09-08,方洪波套现后美的市值蒸发297亿元 机器人板块存商誉风险 减持股份,网易
5525,2020-09-08,【摄氏零度】高库存积聚产销矛盾（“解锁史上最冷空调冷年”系列报道一）,中国家电网
5526,2020-09-07,家电行业8月月报及9月投资策略：改善再度确认 积极布局复苏板块,新浪
5527,2020-09-07,家电三强争霸战浮现新格局 美的何以领先一个身位？,四川新闻网
5528,2020-09-07,【主力资金】超5亿资金封板第三代半导体概念龙头，锂电池龙头被猛砸,证券时报网
5529,2020-09-07,国君周知 | 中报季收官，逾百家公司上调目标价,金衍君
5530,2020-09-07,9月7日主力资金净流出718亿元,证券时报网
5531,2020-09-07,套现13亿！美的董事长回应：个人资产配置需要,搜狐
5532,2020-09-07,美的集团董事长方洪波减持套现13亿元，美的市值四交易日蒸发300亿 减持股份,搜狐
5533,2020-09-07,20H1家电行业中报总结：复苏曙光已现，行业未来可期，给予“增持”评级,华安证券
5534,2020-09-07,海尔衣联网洗护生态联盟成立!九大行业集结，只为升级洗护新生活,飞象网
5535,2020-09-07,董事长高位套现13亿元美的集团股价三连跌，后市如何？ 减持股份,南都报
5536,2020-09-07,家电产业全面复苏 “宅经济”推动家电出口增长,中证报
5537,2020-09-07,方洪波因“个人资产配置”大额减持 美的集团股价连续三个交易日下跌 减持股份,每日经济新闻
5538,2020-09-07,突遭董事长套现近14亿，5000亿家电龙头股价震荡，最新回应来了！,21财闻汇
5539,2020-09-07,智能家居发展潜力巨大 巨头抢滩市场,中国产经新闻
5540,2020-09-07,寻找顺境和逆境市场，表现都还不错的基金！,养基司令
5541,2020-09-07,富森美2020半年报： 产业链服务链筑护城河 毛利率同类第一,乐居财经
5542,2020-09-07,全球最大物联网标准组织OCF将定智慧家庭标准？这家公司够格,飞象网
5543,2020-09-07,美的董事长减持套现近14亿 回应来了 减持股份,新浪
5544,2020-09-07,26股获券商买入评级，周大生目标涨幅达45.58%,Wind
5545,2020-09-07,“高科技”“接地气”令人耳目一新,中国环境报
5546,2020-09-07,【家电&农业&纺织服装&轻工】彩电行业开启涨价趋势,国泰君安证券研究
5547,2020-09-06,浙商早知道 | 9月8日,浙商证券研究所
5548,2020-09-06,山东A股疫情大考成绩单：增收难增利，36家报亏，也有公司利润暴涨20倍,每日经济新闻
5549,2020-09-06,突遭董事长套现近14亿！家电龙头最新回应来了！丢掉空调老大宝座，董小姐怎么看？,21世纪经济报道
5550,2020-09-06,2020IFA：中国“智慧家庭”来了！海尔智家展出新成果,第一家电网
5551,2020-09-06,方洪波首次减持两千万股套现13亿，美的：个人资产配置需要 减持股份,澎湃新闻
5552,2020-09-06,5千亿美的惊现32亿巨额减持，董事长大举套现近14亿,网易
5553,2020-09-06,重磅！5000亿美的惊现32亿巨额减持，董事长大举套现近14亿！丢掉空调老大宝座，董明珠回应来了 减持股份,中国基金报
5554,2020-09-06,家用电器业行业：彩电行业开启涨价趋势,新浪
5555,2020-09-05,智能家居“后连接时代”,经济观察网
5556,2020-09-05,上半年家电出口额同比增长4.2%,中证报
5557,2020-09-05,危中有机逆势上扬 海尔智家领跑“双循环”,中国经营报
5558,2020-09-04,家电三强争霸战浮现新格局 美的何以领先一个身位？,中国经营报
5559,2020-09-04,中国股市策略-陆股通：五个月以来首次录得净流出,新浪
5560,2020-09-04,2020IFA新模式 中国家电品牌全球化不停歇,第一财经
5561,2020-09-04,空调一哥易主，格力遭遇业绩寒冬，董明珠带货能否扭转乾坤？,搜狐
5562,2020-09-04,美的集团(000333)：疫情之下韧性强劲 2H20稳步增长可期,新浪
5563,2020-09-04,【兴证家电】7月家用空调内外销双增，冰箱冷柜产销增长——家电周报（20200831-20200906）,兴证家电
5564,2020-09-04,国美零售推进数字化本地零售建设 助力山东消费年,砍柴网
5565,2020-09-04,家电企业半年报：大家电业绩分化明显 小家电潜力十足,信息时报
5566,2020-09-03,99%A股+D股股东通过私有化议案，海尔智家迎来新格局,YY港股圈
5567,2020-09-03,【国盛策略 | 陆股通月报】北上小幅流出，交易盘影响趋弱*第11期,尧望后势
5568,2020-09-03,每日研报干货专享:市场进入存量博弈 或出现更大级别的风格切换,巨丰财经
5569,2020-09-03,海尔智家：换股私有化海尔电器交易有利股东,和讯
5570,2020-09-03,“随手拍”海尔：俄罗斯大街上的海尔流动服务站,第一家电网
5571,2020-09-03,家电行业2020年中报总结：疫情影响渐消，复苏拐点确立，维持“增持”评级,光大证券
5572,2020-09-03,白电谁最赚钱谁在掉队？三巨头座次之争没完,华夏时报
5573,2020-09-03,【申港家电】Q2疫情影响消退 业绩持续复苏回暖——家用电器行业周报W36,一超家电研究
5574,2020-09-03,海尔智家与深兰科技达成战略合作,我的钢铁
5575,2020-09-03,【行业动态】家电 2020.8丨二季度家电板块业绩改善明显,中国银河证券研究
5576,2020-09-02,【中金固收·信用】中国短期融资券及中期票据信用分析周报,中金固定收益研究
5577,2020-09-02,8月份超七成股基上涨 银华国泰长盛广发大成等领涨,中投网
5578,2020-09-02,疫情冲击空调业！海尔空调逆风翻盘，海外半年超去年全年,全景网
5579,2020-09-02,天风家电 | 2020H1业绩点评合集,小蔡看家电
5580,2020-09-02,外资在担忧什么？北向资金半日净流出50亿元，人民币汇率持续强势,证券时报网
5581,2020-09-02,海尔智家旗下GE Appliances发布新空调，这一次是为房车,第一家电网
5582,2020-09-02,白电“三巨头”半年报：美的稳健、海尔走强 、格力失意,云掌财经
5583,2020-09-01,惠而浦股价为何连续多日涨停？,电子信息产业网
5584,2020-09-01,海尔电器私有化方案获通过,北京商报
5585,2020-09-01,海尔智家股东大会/A股/D股类别股东大会，逾99%股东高票通过私有化海尔电器议案！,金融界
5586,2020-09-01,【招商策略】北上资金延续波动，主板配比止跌回升——2020年8月陆股通持股分析,招商策略研究
5587,2020-09-01,海尔智家：私有化方案获得股东大会及类别股东大会审议通过,格隆汇
5588,2020-09-01,国家队与社保基金上半年投资路线揭晓，新买了这些股票,澎湃新闻
5589,2020-09-01,海尔智家(600690)：疫情冲击短期承压 关注长期战略兑现,新浪
5590,2020-09-01,9月1日主力资金净流出320亿元,证券时报网
5591,2020-09-01,家电三巨头中期业绩集体滑坡 转战线上渠道谁更胜一筹？ 盈利能力下降,新浪
5592,2020-09-01,海尔智家年中报发布：小数据背后的大未来,飞象网
5593,2020-09-01,中国家用电器协会电冰箱专业委员会2020年工作会议召开,中国家电网
5594,2020-09-01,拟收购惠而浦中国 格兰仕欲圆梦大白电,中国电子报
5595,2020-09-01,全球首创“洗空气” 技术 海尔3D除菌舱空调系列发布,DoNews
5596,2020-09-01,【申港家电】美的集团半年报点评：多元布局确定性强 渠道效率优化可期,一超家电研究
5597,2020-09-01,半年报“一波三折”，白电三巨头正和博弈,36氪
5598,2020-09-01,如果没有董明珠直播带货，格力上半年财报会更难看,搜狐
5599,2020-09-01,海尔智家海外业务全线飘红 勇者才能抗强压,搜狐
5600,2020-09-01,疫情对国内空调行业线下零售市场带来较大的冲击,21世纪经济报道
5601,2020-09-01,白电三巨头半年报：美的优势凸显 格力、海尔以改革赌明天,中国家电网
5602,2020-09-01,基金8月收益出炉，搞科研干不过酿酒,金融投资报
5603,2020-08-31,【申港家电】海尔智家半年报点评：Q2修复优势强化，效率改革开启新章,一超家电研究
5604,2020-08-31,海尔智家(600690.SH)：完成发行25亿元超短融,格隆汇
5605,2020-08-31,海尔、格力、美的业绩集体滑坡 白电三巨头各寻出路 盈利能力下降,北京商报网
5606,2020-08-31,北向资金本月现净卖出，终结连续4个月净买入格局，50股上榜成交活跃股名单,证券时报
5607,2020-08-31,海尔智家：20Q2业绩实现正增长 海外全球化布局策略优势明显,和讯
5608,2020-08-31,白电“三巨头”年中PK，美的营收约2个格力,时代在线
5609,2020-08-31,海外盘子大影响却最小 营收下降份额却提升 海尔智家怎么做到的？,大众网
5610,2020-08-31,白电三巨头上半年业绩齐降，美的营收、净利润已是格力两倍 盈利能力下降,澎湃新闻
5611,2020-08-31,茅台再创新高 “喝酒”基金8月领涨,金融投资报
5612,2020-08-31,家电行业受疫情影响？海尔智家业绩挺住了！,财华社
5613,2020-08-31,机构重仓股跟踪周报,新浪
5614,2020-08-31,疫情下的白电：上半年美的空调收入首超格力，三巨头业绩差距拉大,21世纪经济报道
5615,2020-08-31,海尔智家上半年收入 957.28 亿元 6月收入利润双增,慧聪网
5616,2020-08-31,海尔智家中报：利空出尽，迎接逆转,软件资讯网
5617,2020-08-31,费用高怎么破？海尔智家数字化转型见效，国内费用同比持续优化,凤凰网
5618,2020-08-31,家电行业每周观点：中报还有哪些预期改善的方向,中华商务网
5619,2020-08-31,家电行业资本整合接连上演 格兰仕24亿要约收购惠而浦,信息时报
5620,2020-08-31,业绩集体滑坡 白电三巨头各寻出路 盈利能力下降,北京商报
5621,2020-08-30,格力中报业绩腰斩，新业务难挑大梁，董明珠能再赢雷军吗？ 盈利能力下降,和讯
5622,2020-08-30,37.7亿元！这个“小数”关乎海尔智家的未来，很遗憾没人get到！,中金在线
5623,2020-08-30,【华创家电】海尔智家：经营表现逐月改善，卡萨帝恢复快速增长,月观家电
5624,2020-08-30,海尔智家(600690)：过往皆为序章 未来一切可期,光大证券
5625,2020-08-30,智能家电市场前景看好 细分龙头享估值溢价（名单）,金融投资报
5626,2020-08-29,海尔智家：上半年逆势扩张 「数字化+生态化+私有化」重构价值空间,金融界
5627,2020-08-29,海尔智家：内外循环兼修，海外业绩出人意料，全线飘红,云掌财经
5628,2020-08-29,"招商家电｜海尔智家 600690 - 20Q2经营逐月改善,H2盈利能力提振可期",招商家电研究
5629,2020-08-29,海尔智家(600690)半年报点评：收入反弹强劲 期待后续效率提升,新浪
5630,2020-08-29,疫情防疫得当！海尔智家H1海外收入不降反增，好于行业,极客网
5631,2020-08-29,行业大幅下滑海尔洗衣机不降反升 市场份额升至近4成 连续下跌,全景网
5632,2020-08-29,海尔智家上半年净利降45% 二季度业绩回升6月量利双增,第一财经
5633,2020-08-29,海尔智家正补齐空调短板：国内收入增长20%，高端增70%优于行业,每经网
5634,2020-08-29,【兴证家电】空调电机上半年低开高走，7月彩电冰箱洗衣机产量增长——家电周报（20200824-20200830）,兴证家电
5635,2020-08-29,国内外兼修加速双循环，海尔智家半年报业绩高质量增长成绩亮眼,云掌财经
5636,2020-08-29,格兰仕欲耗资24亿元购百年外资品牌 家电巨头新一轮并购整合潮来袭,证券日报
5637,2020-08-29,海尔智家半年报：一个抵俩 海尔洗衣机拉大差距 份额占4成,中金在线
5638,2020-08-29,冰洗空营收下降？看完份额才知：海尔智家市场地位反而高了 盈利能力下降,中金在线
5639,2020-08-29,今日465公司公布半年报46家业绩增幅翻倍,证券时报网
5640,2020-08-29,海尔智家二季度业绩增长强劲,中证报
5641,2020-08-29,上市公司正负面新闻2020年8月29日星期六,Wind
5642,2020-08-28,家电周观点||家电中报总结：Q2业绩触底反弹，小家电表现亮眼,吕明可选消费研究
5643,2020-08-28,家电企业“分分合合”，转型升级是“表”资本运作是“里”,和讯
5644,2020-08-28,晚间资讯｜新五丰、达安基因上半年业绩增超10倍；君实生物上半年净利亏损近6亿元,证券时报网
5645,2020-08-28,海尔智家半年报：营收、利润增速回升，智家体验云战略潜力释放,中金在线
5646,2020-08-28,海尔电器(01169.HK)：海尔智家拟内部转让股份 FRL向海尔股份(香港)购买8.94亿股公司股份 资产异常,格隆汇
5647,2020-08-28,海尔智家：今年上半年营收957.28亿元，同比下降4.29% 盈利能力下降,36氪
5648,2020-08-28,海尔智家：上半年实现净利润27.8亿元 同比下降45.02% 盈利能力下降,新浪
5649,2020-08-28,海尔智家：上半年净利同比下降45% 盈利能力下降,e公司
5650,2020-08-28,海尔智家：上半年净利润同比减少45.02% 盈利能力下降,Wind
5651,2020-08-28,高能环境：难得一见的优质环保股,股市动态分析
5652,2020-08-28,雅观科技签约千丁 智慧人居进一步加强落地,砍柴网
5653,2020-08-28,房企业绩观察 | 从“求规模”向“逐利润”升级 许世坛：世茂有望达成全年3000亿元销售目标,华夏时报
5654,2020-08-28,紧抓新零售机遇 富森美上半年实现营收6.08亿元,证券日报
5655,2020-08-28,天风证券：空调行业年中复盘与展望,新浪
5656,2020-08-28,【申港家电】小熊电器半年报点评：长尾布局线上爆发 研产推进长效可期,一超家电研究
5657,2020-08-28,格兰仕收购惠而浦 能换来什么？,云掌财经
5658,2020-08-28,8月28日券商晨会研报汇编,证券日报
5659,2020-08-28,“岛城”智慧，加速新生——华为中国生态之行2020·青岛峰会成功举办,飞象网
5660,2020-08-28,青岛证监局五大举措提高上市公司质量,证券日报
5661,2020-08-28,富森美：减免“租金”导致业绩下滑 回购价格上限提至22元/股 盈利能力下降,上证报
5662,2020-08-27,富森美：上半年实现净利润3.11亿元 加大新零售布局,中证网
5663,2020-08-27,水洗净化科技揭晓！海尔推出除菌舱空调：三重除菌，只吹干净风,经济观察网
5664,2020-08-27,规模利润双赢 世茂多元化业务走强,《商学院》杂志
5665,2020-08-27,青岛海尔多媒体成立新公司，阿里巴巴间接持股,证券时报网
5666,2020-08-27,别把海尔智家当成家电企业！备足补贴升级你的家庭，而不是家电,飞象网
5667,2020-08-27,先锋聚利混合年内亏损近4% 投资副总监踏空大消费行情 亏损,中国经济网
5668,2020-08-27,世茂集团上半年关键指标稳增 或超额完成年度目标,每日经济新闻
5669,2020-08-26,世茂发布更名后首份业绩报 多元“大飞机”驶入“集团”新航道,中新经纬
5670,2020-08-26,世茂2020半年报：规模及利益双双稳赢 巩固基本盘跨周期丨财报AlphaGo,和讯
5671,2020-08-26,业绩会第二天开盘股价就高开 藏在世茂中期业绩会里的高分红基因,和讯
5672,2020-08-26,"丁少将:从格兰仕要约收购惠而浦,看家电业的三个变化",云掌财经
5673,2020-08-26,【家电】家用电器行业周报：零售数据短期波动，继续看好地产后周期改善,中银证券研究
5674,2020-08-26,世茂发布2020年中报：稳中精进 践行有品质高速增长,中国经济网
5675,2020-08-26,北向资金动向盘点：反手加仓茅台，但“食药”持仓占比已达31.3%,Wind
5676,2020-08-25,世茂集团(00813)发布2020年中报：关键指标稳步提升 持续有品质高速增长,智通财经
5677,2020-08-25,【申港家电】澳柯玛半年报点评：Q2业绩反弹高增 品牌渠道优化升级,一超家电研究
5678,2020-08-25,“随手拍”海尔：澳洲妈妈抚养5个娃，用海尔洗干组合解决洗衣难题,牛华网
5679,2020-08-25,利润同比下降53%，格力仍现金分红60亿，底气何来？ 盈利能力下降,36氪
5680,2020-08-25,格力电器“元老”辞职市值“蒸发”百亿元 董监高成员变化,中国商报
5681,2020-08-25,家电行业周报：空调产销两旺 厨电需求回暖,新浪
5682,2020-08-24,海信视像上半年扣非净利扭亏为盈，紧抓大屏激光电视市场,第一财经
5683,2020-08-24,格兰仕筹划要约收购惠而浦，家电业新一波资产整合潮来了？,澎湃新闻
5684,2020-08-24,青岛高新区招商局到少海汇考察，点赞少海汇智慧生态产业创新,砍柴网
5685,2020-08-24,空气新鲜谁说了算？海尔全屋空气焕新方案：用户才有决定权,飞象网
5686,2020-08-24,格兰仕要约收购惠而浦，这盘棋来得正是时候,云掌财经
5687,2020-08-24,海尔集团公司入股青岛海尔空调电子 持股比例0.17%,我的钢铁
5688,2020-08-24,家电行业每周观点：中报还有哪些预期改善的方向,光大证券
5689,2020-08-24,8月24日券商晨会研报汇编,证券日报
5690,2020-08-24,格兰仕谋求控制权拟要约收购惠而浦,证券时报
5691,2020-08-24,广百股份拟引入国寿资产作为战略投资者，中钨高新拟收购南硬公司84.97%股权,红周刊
5692,2020-08-23,格兰仕筹划部分要约收购，惠而浦股价提前涨停,第一财经
5693,2020-08-23,家电业风云再起！格兰仕收购惠而浦，这家美国巨头将退出中国？,搜狐
5694,2020-08-23,家电行业7 月数据点评：短期扰动下增速放缓,新浪
5695,2020-08-23,总市值“蒸发”百亿元格力电器“元老”辞职何以引发连锁效应 连续下跌,中国商报
5696,2020-08-22,7月转子压缩机销量正增长，上半年冷柜品牌集中度上升——家电周报（20200817-20200823）,兴证家电
5697,2020-08-22,一周研读｜下半年盈利向好，上涨渐行渐近,中信证券研究
5698,2020-08-21,海尔智家：延期回复上海证券交易所问询函 问询,Wind
5699,2020-08-21,正在去家电化？海尔智家：家电是基础，场景是目的,每经网
5700,2020-08-21,海尔电器净利润下降近3成，洗衣机业务“以价换量” 盈利能力下降,观察者网
5701,2020-08-21,野村：海尔电器目标价升至29.7港元 下调至中性评级 投资评级恶化,新浪
5702,2020-08-21,野村：降海尔电器(1169.HK)评级至“中性”目标价上调至29.7港元,格隆汇
5703,2020-08-21,瑞信：上调海尔电器(01169)目标价至31.51港元，评级降至“中性”,智通财经
5704,2020-08-21,麦格理：上调海尔电器(01169)目标价至31.6港元，维持“跑赢大市”评级,智通财经
5705,2020-08-20,【申港家电】 按摩器具产业发展 海外市场需求庞大——家用电器行业周报W34,一超家电研究
5706,2020-08-20,智能家居产品进入爆发期，语音交互至关重要,凤凰网
5707,2020-08-20,智能家居新体验：什么样的数据让语音交互更智慧,凤凰网
5708,2020-08-20,疫情使洗衣机出口下滑16%，海尔智家双增长!,艾肯家电
5709,2020-08-19,"海尔衣联网·云裳物联、睿时尚衣图、坤湛科技战略签约,共建服装一站式智能平台",中研网
5710,2020-08-19,富森美：携手美克家居再拓首店经济,乐居财经
5711,2020-08-19,【家电】家用电器行业周报：疫情催生大家电产品升级，利好行业龙头,中银证券研究
5712,2020-08-19,操盘必读｜最高法护航创业板注册制！中国人寿澄清合并传闻，蓝思科技近100亿收购苹果产业链公司,上游新闻
5713,2020-08-19,两融小幅下降，私募基金管理规模上升——资金面周观察,修炼投资的水晶球
5714,2020-08-18,电商盛会狂欢中，这次主角是它们，全产业链曝光，6家低估值公司滞涨（附名单）,证券时报网
5715,2020-08-18,【主力资金】3只超级白马遭主力抛售，出逃资金近30亿元 股票卖空,证券时报网
5716,2020-08-18,空间打开家电巨头聚力智能家居,中国商报
5717,2020-08-18,国家队概念股近三日受182亿主力资金追捧,证券时报网
5718,2020-08-18,59股主力资金净流入超亿元,证券时报网
5719,2020-08-18,A股并购人气回暖，案例有增无减，名单新鲜出炉,Wind
5720,2020-08-18,国美海尔打造“智慧家庭”场景直播 直播带货从同质化走向差异化,中国家电网
5721,2020-08-18,家用电器行业周报W33：洗碗机市场发展的边际变化,新浪
5722,2020-08-18,快讯：海尔集团163.89万元新增对外投资 占比0.17%,乐居财经
5723,2020-08-18,鸿雁、蓝光达成战略合作 共建“智能家居联合实验室”,砍柴网
5724,2020-08-18,8月18日利好及其影响个股,中财网
5725,2020-08-18,千亿家电巨头，半个月飙涨460亿，发生了啥？,搜狐
5726,2020-08-18,每日理财观察：上周银行理财产品发行量环比减40%,Wind
5727,2020-08-18,家电行业：线上线下表现分化 关注行业渠道变革,财富动力网
5728,2020-08-18,民族品牌指数大涨2.39% 恒顺醋业再创新高,上证报
5729,2020-08-17,【招商策略】北上资金回流，私募证券投资基金扩张——金融市场流动性与监管动态周报,招商策略研究
5730,2020-08-17,Leader：被忽略的10年，恰好成就了它！海尔智家的新王牌,金融界
5731,2020-08-17,家电先行指标“房屋交付量”跟踪(2020年7月)：疫情影响减弱 中期展望积极,新浪
5732,2020-08-17,被狂砸400亿后，格力在家电三强中仍倒数第一，和它相差1600亿！,投资家
5733,2020-08-17,国美、京东重塑行业格局,联商网
5734,2020-08-17,8月17日主力资金净流入345亿元,证券时报网
5735,2020-08-17,家电行业动态分析：取消“停止减免税” 对家电行业有多大影响？,新浪
5736,2020-08-17,家用电器W32周观点：线上大家电销额增速表现良好 北向资金再现回流,新浪
5737,2020-08-17,物联网如何改变产品开发和生产？海外专家点赞海尔互联工厂,中经新闻
5738,2020-08-17,A股高位震荡：沪指收涨2.34%数字货币概念股走高,中新经纬
