,2021-12-31,2021年的啤酒板块∶行情欠佳但酒香四溢,智通财经
2836,2020-06-12,21研究丨消费服务行业的创投融资之道,21世纪经济报道
2837,2020-06-11,海尔、海信、青啤等位列青岛企业收入百强前十名,证券时报网
2838,2020-06-11,618“回血之战”，京东全渠道的新阵地,36氪
2839,2020-06-11,【异动股】酿酒行业板块下挫，珠江啤酒(002461-CN)跌4.08%,财华社
2840,2020-06-11,【光大食品饮料】需求加速恢复 ——食品饮料行业淘数据5月数据点评,EBSCN食品饮料
2841,2020-06-11,啤酒内混入异物，青岛啤酒售后称愿意补偿两箱啤酒,澎湃新闻
2842,2020-06-11,【食饮】必选消费全面恢复 可选消费继续复苏——食品饮料行业周报——看好（联系人：刘瑀）,渤海证券研究
2843,2020-06-11,复星“酒局”背后，白酒新周期到来？,读懂财经
2844,2020-06-11,【华创食饮】4-5月线上数据分析专题：疫情受控行业回温，名酒增速表现亮眼,华创食饮
2845,2020-06-11,胶东五城市“攥”指成拳——对胶东经济圈一体化发展的调查,经济日报
2846,2020-06-11,胶东经济圈一体化发展调查：胶东五城市“攥”指成拳,经济日报
2847,2020-06-10,58股遭北向资金抛售 大消费类股票纷纷上榜,中证网
2848,2020-06-10,内需股续有追捧 中国旺旺涨近3%蒙牛乳业再升逾2%,新浪
2849,2020-06-10,券商晨会观点：后市保持谨慎乐观 白酒建议战略布局,第一财经
2850,2020-06-10,中信建投：消费回暖下头部企业彰显优势 白酒建议战略布局,证券时报网
2851,2020-06-10,晨会0610 | 百强房企拿地积极,中信建投证券研究
2852,2020-06-10,说来就来！技术性牛市开始，创业板率先走起！券商集体喊“牛”,Wind
2853,2020-06-10,说来就来！技术性牛市开始 创业板率先走起！券商集体喊“牛”,Wind
2854,2020-06-10,中信建投周知 | 聚焦债市调整、疫苗研发、一周深度,中信建投证券研究
2855,2020-06-09,啤酒市场复苏迹象明显,中国商报
2856,2020-06-09,资本对阵白酒局 海银系和复星系谁的酒量大？,北京商报
2857,2020-06-09,【国盛策略 | 陆股通周监控】外围改善推动北上连续11日增配*第65期,尧望后势
2858,2020-06-09,北上连买12天，创业板技术性牛市，但6成个股本月却跑输指数,Wind
2859,2020-06-09,陆股通周监控第65期：外围改善推动北上连续11日增配,新浪
2860,2020-06-09,青岛啤酒(600600)：激励方案获通过 看好机制改善释放品牌红利,新浪
2861,2020-06-09,63股创新高，茅台、爱尔眼科等打先锋，“吃药喝酒”行情能热多久,经济网
2862,2020-06-09,海外消费：消费复苏带来确定性提升，布局高阿尔法赛道,兴业证券
2863,2020-06-09,“复星系”、“海银系”接连买买买 白酒并购新周期到了？,佳酿网
2864,2020-06-09,【中原消费】消费行业投资周报：市场向休闲和出行板块切换,中原证券研究所
2865,2020-06-09,【中原晨会0609】市场分析、消费行业投资周报,中原证券研究所
2866,2020-06-09,东北证券：白酒进入涨价潮，地摊经济拉动啤酒复苏,证券时报网
2867,2020-06-08,食品饮料行业2020年5月阿里系线上数据点评：各行业延续高增 龙头表现各异,新浪
2868,2020-06-08,食品饮料行业动态报告：青花汾酒7月提价 消费回暖下头部企业彰显优势,新浪
2869,2020-06-08,食品饮料行业周观点：地摊经济短期助啤酒追量 青啤联手美团加速全渠道渗透,新浪
2870,2020-06-08,44股今日获机构买入评级,证券时报网
2871,2020-06-08,啤酒龙头股价创历史新高 地摊经济将再助燃业绩,搜狐
2872,2020-06-08,机构强推买入 六股成摇钱树,证券之星
2873,2020-06-08,【华创食饮】周观点：涨价与降价,华创食饮
2874,2020-06-08,【华创食饮|深度】青岛啤酒：国货精品，当仁不让,华创食饮
2875,2020-06-08,【国盛食品|专题】板块走强，行至何处？,蓉品食饮
2876,2020-06-08,青岛啤酒在枣庄成立新公司 经营范围含烟草零售、蒸馏酒生产,e公司
2877,2020-06-08,早盘：恒指高开1%突破25000点 旭辉控股获多家机构资本布局涨3.14%,金融界
2878,2020-06-08,食品饮料行业周报：白酒Q2 超额收益明显 可选复苏仍是主线,新浪
2879,2020-06-08,河南曾经的啤酒制造业多牛，郑州洛阳开封商丘信阳新乡等啤酒品牌,搜狐
2880,2020-06-08,【民生食饮】周观点0608：6月份市场不确定性增强，白酒板块配置价值凸显,MS食品饮料
2881,2020-06-07,国信研究 | “夜经济”相关产业报告,国信研究
2882,2020-06-07,【开源食饮周报0607】白酒淡季再提价，关注大众品复苏进程,宇光看食饮
2883,2020-06-07,周谈|Weekly Talk：相对低估和持续提速的二维选股，食品饮料估值有韧度,食品饮料光头阳线
2884,2020-06-07,近百股本周创历史新高，三成获北上资金加仓,证券时报
2885,2020-06-06,“两瓶酒”取代“两桶油”：新瓶旧酒还是开启新时代？,红周刊
2886,2020-06-06,“地摊经济”，引爆啤酒概念股的狂欢,酒业新闻网
2887,2020-06-06,金徽酒：新舵手能带出重围？,证券市场周刊
2888,2020-06-06,近四成食品饮料股创年内新高，众机构坚定看多“白龙马”行情,Wind
2889,2020-06-05,啤酒股今天回落：餐饮复苏助推，多家公司称业绩逐步回升,澎湃新闻
2890,2020-06-05,金徽酒：新舵手能带出重围？,证券市场周刊
2891,2020-06-05,【股市复盘】两市指数尾盘拉升沪指涨0.40% 机场航运板块表现强势,上海有色
2892,2020-06-05,收评：恒指大涨1.66%创近三个月新高 航空股爆发地摊经济股现分化,金融界
2893,2020-06-05,港股收评：恒指午后持续拉升收涨1.66%香港本地股爆发航空股全日强势,格隆汇
2894,2020-06-05,A股收评：三大指数微涨，航空股大涨，地摊经济板块大跌,格隆汇
2895,2020-06-05,【光大食品饮料】赤水河畔酱香名酒（郎酒招股说明书信息梳理）——光大食品饮料行业周报20200607,EBSCN食品饮料
2896,2020-06-05,五菱汽车再涨32% 续炒“地摊神车”概念,新浪
2897,2020-06-05,啤酒板块走弱,证券之星
2898,2020-06-05,路径明确国企混改渐入佳境,中国商报
2899,2020-06-05,啤酒嗨起来？有可能！,光明网
2900,2020-06-05,巨丰早评：题材热炒过度提防盛极而衰,巨丰财经
2901,2020-06-05,乐惠国际“乱入”啤酒行情：上市后业绩连降，精酿战略能否自救 盈利能力下降,斑马消费
2902,2020-06-05,五菱后 遮阳伞、小龙虾...沾上地摊的股票都飚了,中新网
2903,2020-06-05,“地摊经济”等促进放量 啤酒板块迎来“高光时刻”,证券日报
2904,2020-06-05,百态地摊概念魔幻幕后,21世纪经济报道
2905,2020-06-04,道达投资手记：多空开启年线争夺 短期方向暂时不明,每日经济新闻
2906,2020-06-04,地摊火了！房企哭了,和讯
2907,2020-06-04,“地摊经济”成股市最靓的仔！五菱汽车涨得比车速还快 这个时候要警惕风险,金融投资报
2908,2020-06-04,青岛啤酒(600600)：升级提效望共振 百年青啤谋复兴,新浪
2909,2020-06-04,食品饮料板块持续走强 机构预计全年将维持强势,中国财富网
2910,2020-06-04,多空开启年线争夺战——道达投资手记,每日经济新闻
2911,2020-06-04,港股收评：恒指涨0.17% 消费股上涨 物业股杀跌,证券时报网
2912,2020-06-04,三大股指涨跌互现，地摊经济概念股再掀涨停潮,环球外汇网
2913,2020-06-04,收评：港股恒指涨0.17% 地摊概念火爆物业股集体杀跌 连续下跌,新浪
2914,2020-06-04,A股收盘：沪深两市涨跌互现 青岛啤酒大涨6% 创历史新高,英为财情
2915,2020-06-04,涨停板复盘：三大指数缩量震荡 地摊经济继续火爆,新浪
2916,2020-06-04,4日强势板块分析：地摊经济持续火爆 啤酒小龙虾概念集体狂欢,证券时报网
2917,2020-06-04,沪指震荡收跌0.14%大消费板块活跃,中新经纬
2918,2020-06-04,地摊经济火爆港股遭爆炒：五菱涨52%香港生力啤涨28%,新浪
2919,2020-06-04,收评：三大指数震荡盘整沪指跌0.14% 地摊经济延续强势,新浪
2920,2020-06-04,巨丰收评：地摊经济现磁吸效应 注意追高风险,巨丰财经
2921,2020-06-04,惠泉、燕京啤酒尾盘直线拉涨停,格隆汇
2922,2020-06-04,港股异动 | 消费旺季将至叠加地摊经济催化 青岛啤酒(00168)、华润啤酒(00291)均涨超4%,智通财经
2923,2020-06-04,港股异啤酒股持续走高，青岛啤酒升近5%创2014年8月以来高位,Wind
2924,2020-06-04,消费旺季来临叠加地摊经济催化，啤酒股集体拉升，珠江啤酒涨停,证券时报网
2925,2020-06-04,午市前瞻：港股现阶段料先作整固 其后再上试26100点,新浪
2926,2020-06-04,小龙虾搭配啤酒，夜摊经济的王者搭配,格隆汇
2927,2020-06-04,地摊经济概念炒起 青岛啤酒上涨1%华润啤酒上扬3%,新浪
2928,2020-06-04,午评：指数震荡盘整沪指跌0.21% 地摊经济延续强势,新浪
2929,2020-06-04,“地摊经济”概念股上演涨停潮：热度能否持续，谁是真龙头,澎湃新闻
2930,2020-06-04,内需股继续受捧 中国飞鹤涨逾3%华润啤酒上升3%,新浪
2931,2020-06-04,地摊经济打开夜宵市场 青岛啤酒股价创历史新高,新浪
2932,2020-06-04,找回烟火气地摊经济火爆：五菱汽车暴涨60% 还有这些股,新浪
2933,2020-06-04,地摊经济概念继续火爆 五菱汽车大涨超60% 券商:短期炒作成分大,每日经济新闻
2934,2020-06-04,啤酒板块拉升 珠江啤酒涨逾4%,中证报
2935,2020-06-04,“地摊经济”概念继续获资金追捧啤酒股全线大涨,格隆汇
2936,2020-06-04,疫情催生的新营销，你选哪一款？,酒业新闻网
2937,2020-06-04,华创事件驱动早报6-4：夜宵王小龙虾点亮地摊经济；数十家央企积极对接湖北,华创证券研究
2938,2020-06-03,五菱“地摊神车”亮相股价暴涨120%！挖掘地摊经济概念补涨股,金融界
2939,2020-06-03,青岛啤酒签约美团点评加码线上销售,北京商报
2940,2020-06-03,成功逆袭国产啤酒迎十年来最好业绩,中国商报
2941,2020-06-03,地摊经济激活中国生机 挖掘补涨潜力个股,证券时报网
2942,2020-06-03,收评：恒指涨1.37%六月迎三连涨 五菱推出摆地摊售货车暴涨53.27%,金融界
2943,2020-06-03,华润啤酒创逾半年高后回吐1% 百威追落后再升逾3%,新浪
2944,2020-06-03,不足3月股价飙涨111%，美团市值突破9000亿港元,格隆汇
2945,2020-06-03,美团早盘涨幅超5% 市值突破9000亿港元超中国石油,金融界
2946,2020-06-03,青岛啤酒与美团点评达成战略合作,e公司
2947,2020-06-03,食品、饮料与烟草行业-啤酒成本专题：澳麦加税影响可控 盈利改善逻辑不变,新浪
2948,2020-06-02,再造海信！揭秘青岛国企混改新样本,和讯
2949,2020-06-02,美团点评与青岛啤酒达成战略合作，为消费者共创美好品质生活,TechWeb
2950,2020-06-02,国盛证券：5月金股组合跌0.15% 6月荐股名单出炉,新浪
2951,2020-06-02,安信证券：5月金股组合盈利2.51% 6月荐股名单出炉,新浪
2952,2020-06-02,新时代证券：5月金股组合盈利5.31% 6月荐股名单出炉,新浪
2953,2020-06-02,创业板指跌逾1% 食品饮料股跌幅居前,每日经济新闻
2954,2020-06-02,食品饮料股走弱,格隆汇
2955,2020-06-02,股市藏宝图：海南自贸港概念股迎来重磅催化，中芯国际回A正式启程,腾讯网
2956,2020-06-02,金徽酒18亿易主复星 郭广昌“豪饮”志在整合 控制人变化,时代在线
2957,2020-06-01,百年青啤创新“打法”见真章 用数字化重构产业生态,每日经济新闻
2958,2020-06-01,【开源食饮每日资讯0602】来伊份子公司于5月1日至6月1日收到政府补助112.27万元,宇光食饮日讯
2959,2020-06-01,两市百元股逼近90只，高价科技股6月迎来解禁大考 解禁,第一财经
2960,2020-06-01,“T+0”显威！成交急剧放大，A股创两个多月新高！北上资金跑步入场，单日狂买过百亿,证券时报网
2961,2020-06-01,奥瑞金转型饮料代工厂收效甚微,北京商报
2962,2020-06-01,投资策略：6月不悲观，A股或振荡上行【附金股名单】,和讯
2963,2020-06-01,6月喜迎开门红，六绝“魔咒”要打破？过去十年6月A股这样表现,证券时报网
2964,2020-06-01,食品饮料行业投资周报：“夜经济”复苏 推荐关注白酒龙头确定性与啤酒成长性,新浪
2965,2020-06-01,【粤开策略】2020年6月十大金股及市场展望,微信
2966,2020-06-01,【华创食饮】周观点：低温/常温乳企表现为何分化？,华创食饮
2967,2020-06-01,兴业证券6月策略：立足持久战,金融界
2968,2020-06-01,食品饮料行业周报：6月份市场不确定性增强 白酒板块配置价值凸显,新浪
2969,2020-06-01,【朝闻国盛0601】6月配置建议&金股推荐,国盛证券研究所
2970,2020-05-31,酒企转投威士忌是一阵风还是一个风口？,腾讯网
2971,2020-05-31,本周创新高股揭秘：25股获北向资金加仓,证券时报
2972,2020-05-31,智通财经港股6月投资策略及十大金股,智通财经
2973,2020-05-31,【招商食品|最新】茅台股东大会如期举办，今世缘维持全年目标,招商食品饮料
2974,2020-05-31,周谈|Weekly Talk：六月数据重要性凸显，看好可选消费持续回暖,食品饮料光头阳线
2975,2020-05-30,券商6月策略：A股怎么走？行业个股机会在哪里？,金融投资报
2976,2020-05-30,【中原消费】消费行业投资周报：货币宽松带来财富效应，有利高档消费,中原证券研究所
2977,2020-05-30,青岛“一企一策”国企混改提速,中证报
2978,2020-05-29,食品饮料行业今日净流入资金14.32亿元，6股净流入资金超5000万元,证券时报网
2979,2020-05-29,金徽酒易主复星系 “西北王”有望加速布局全国市场？ 控制人变化,中国经营网
2980,2020-05-29,震荡市场，这些赛道和基金值得重点关注,新浪
2981,2020-05-29,郭广昌18亿拿下金徽酒 大佬“涉酒”并不都顺利,新浪
2982,2020-05-29,拉加代尔体育正式更名SPORTFIVE，如何整合旗下资源将是关键,36氪
2983,2020-05-29,五月收官：创业板指涨1.5%，海南板块领涨,21世纪经济报道
2984,2020-05-29,午评：三大股指小幅上涨 机构建议自上而下配置三行业,证券日报
2985,2020-05-29,快讯：啤酒股全线飘红 机构称旺季延长有效推动啤酒消费加速回暖,证券日报
2986,2020-05-29,2020年中国啤酒行业市场现状及发展趋势分析 产品中高端化发展将成为业内主题,前瞻研究院
2987,2020-05-29,股票基金发行火热，北向资金连续增持，券商股将带领大盘跳出“黄金坑”？,证券时报网
2988,2020-05-29,郭广昌的大消费版图,斑马消费
2989,2020-05-29,郭广昌再度“喝酒” 复星系加速白酒布局,腾讯网
2990,2020-05-29,金徽酒易主复星 郭广昌打的什么算盘？ 控制人变化,金融投资报
2991,2020-05-28,金徽酒股份被多次质押 豫园股份回应谁来为质押买单？,中华网
2992,2020-05-28,“复星系”18.3亿控股金徽，下一个目标是谁？,中国白酒网
2993,2020-05-28,复星再入白酒局,北京商报
2994,2020-05-28,豫园股份拿下第17家老字号 背后唱的是“复星醉酒”？,国际金融报
2995,2020-05-28,豫园股份(600655)：拟收购金徽酒29.9%股权并取得控制 持续加码家庭消费产业,新浪
2996,2020-05-28,24只股股价创历史新高,证券时报网
2997,2020-05-28,18亿入主金徽酒，复星系如何“快乐饮酒”,时代在线
2998,2020-05-28,收购金徽酒三成股份 豫园股份18.37亿入主金徽酒,佳酿网
2999,2020-05-28,三人行今日登陆上交所 首日涨幅44%,中证网
3000,2020-05-28,豫园股份控股金徽酒 郭广昌正式入主白酒行业,乐居财经
3001,2020-05-28,概念相悖OR另辟蹊径?“无糖”元气森林征战能量饮料,北京商报
3002,2020-05-28,金徽酒18.37亿元易主，“复星系”掌门人郭广昌成实际控制人 控制人变化,中华网
3003,2020-05-28,金徽酒18.37亿元易主 “复星系”白酒再下一城 控制人变化,北京商报
3004,2020-05-28,【聚焦两会】周云杰：工业互联网成为创新驱动发展的主要动力,工业新闻网
3005,2020-05-28,【食饮】消费复苏体现韧性 乳制品性价比更优——食品饮料行业周报——看好（联系人：刘瑀）,渤海证券研究
3006,2020-05-27,郭广昌再“饮酒”！旗下豫园股份布局白酒赛道 拟18.37亿元收购金徽酒约30%股权,每日经济新闻
3007,2020-05-27,10瓶低度酒与1瓶53度飞天茅台，哪个“喝”起来更香？,北京商报
3008,2020-05-27,巨丰午评：精装修概念崛起 科技股分化,巨丰财经
3009,2020-05-27,青岛啤酒股价再度突破新高,证券时报网
3010,2020-05-27,啤酒板块拉升 珠江啤酒涨超5%,中证网
3011,2020-05-27,青岛啤酒涨2.51%创年度新高，成交额8372万元,中新经纬
3012,2020-05-27,豫园股份45.3亿元揽下ST舍得控股权,中证报
3013,2020-05-26,渝股点金｜凤爪抢钱！有友食品斩获2连板！,上游新闻
3014,2020-05-26,【建投策略-流动性观察】富时罗素扩容，外资小幅流入——5月第4周,中信建投
3015,2020-05-26,新基建风涌，这是抢占工业新高地的“中国答案”,澎湃新闻
3016,2020-05-26,华润啤酒(00291.HK)：高端化元年开启，产能优化红利释放，给予“买入”评级,格隆汇
3017,2020-05-26,5月26日券商晨会研报汇编,证券日报
3018,2020-05-26,市场争夺进入白热化 20亿陕西光瓶酒市场怎么分？,佳酿网
3019,2020-05-25,港A两市啤酒股上扬！行业长期价值受券商看好,格隆汇
3020,2020-05-25,10.33亿元主力资金今日抢筹食品饮料板块,证券时报网
3021,2020-05-25,华润啤酒(00291.HK)：一体两翼高端化，维持“优大于市”评级，目标价47.70港元,建银国际
3022,2020-05-25,往前走，跟上消费形态改变的步子,酒业新闻网
3023,2020-05-25,【中原晨会0525】A股策略、两会解读、大消费行业投资周报,中原证券研究所
3024,2020-05-25,食品饮料行业周报：需求环比验证改善 双汇加码上游立足长远,新浪
3025,2020-05-25,食品饮料行业周报：简析近期茅台批价上涨,新浪
3026,2020-05-24,【民生食饮】周观点0525：茅台批价现小幅回调，重点强调低估值品种配置价值,MS食品饮料
3027,2020-05-24,周谈|Weekly Talk：政策加码助推内需，食品饮料估值有韧性,食品饮料光头阳线
3028,2020-05-23,【国盛食品|专题】江苏白酒实地走访情况反馈,蓉品食饮
3029,2020-05-23,A股存量博弈不改紧抓“稳就业”投资机会,证券时报
3030,2020-05-22,全国人大代表热议新基建 周云杰两会四度建言工业互联网,新浪
3031,2020-05-22,食品饮料行业周报：稳中求胜,新浪
3032,2020-05-22,全国人大代表周云杰：支持工业互联网发展 加速工业体系升级,新浪
3033,2020-05-22,【光大食品饮料】继续把握食品饮料行情的两条主线——光大食品饮料行业周报20200524,EBSCN食品饮料
3034,2020-05-21,小摩减持青岛啤酒(00168)约303.08万股 涉资约1.54亿港元 减持股份,智通财经
3035,2020-05-21,摩根大通减持港股青岛啤酒股份约303.08万股 减持股份,Wind
3036,2020-05-21,深度*行业*食品饮料行业点评：短期关注2季度改善品种 长期坚守竞争优势突出的好公司,新浪
3037,2020-05-21,专访凯美特气董事长祝恩福：以“真性情”铸就“新工业血液”,证券日报
3038,2020-05-21,酿酒板块走强，金徽酒涨停，关注酒企端午节前政策及动销,证券时报网
3039,2020-05-21,【招商食品】关税靴子落地，盈利提升不改: 澳麦“双反”加税对啤酒行业影响点评,招商食品饮料
3040,2020-05-21,【食饮】社零数据向好 消费持续复苏——食品饮料行业周报——看好（联系人：刘瑀）,渤海证券研究
3041,2020-05-21,今日投条 | ETF动态：风格互换，积极把握行业板块轮动机会,国元证券订阅号
3042,2020-05-20,【早安新时代】晨会早读：2020/05/20,新时代证券研究
3043,2020-05-20,【新时代食品饮料团队】对澳麦征收73.6%的反倾销税对啤酒行业影响几何？,新时代证券研究
3044,2020-05-20,青岛辖区上市公司一季度业绩承压 盈利能力下降,上证报
3045,2020-05-20,青岛辖区上市公司一季报分析：总体业绩承压明显 部分企业实现逆势增长,证券日报
3046,2020-05-20,青岛啤酒与海尔卡奥斯达成战略合作 共建啤酒饮料行业工业互联网平台,证券日报
3047,2020-05-20,【券商聚焦】中金：澳麦反倾销税对成本有小幅压力 建议关注下半年旺季表现,凤凰网
3048,2020-05-20,京东超市携手青啤博物馆打造京东618爆款文创新品七天鲜啤酒,搜狐
3049,2020-05-20,深圳宝安区长京东京喜直播首秀 为当地企业带货5000万,金融界
3050,2020-05-20,曹中铭:核心资产成宠儿，垃圾股被抛弃，市场两极分化的必然结果,中财网
3051,2020-05-20,华宝基金季鹏：A股消费龙头估值合理 盈利有望逐季改善,中国经济网
3052,2020-05-19,五大奖项发现“酒业最亮的星” 2020中国酒业金樽奖评选出炉,每日经济新闻
3053,2020-05-19,2020中国酒业上市公司品牌价值榜发布 30家酒企品牌价值总计近9000亿,每日经济新闻
3054,2020-05-19,519最牛板块盘点（一）：食品饮料，牛得没有朋友！,老司基一枚
3055,2020-05-19,冰凉一夏！清凉爆珠口罩卖到脱销，空调消费出现报复性反弹,证券时报网
3056,2020-05-19,平台赋能：推进产业数字化转型的“主战场”,中国发展网
3057,2020-05-19,为品牌牵线“优质主播”，有赞携手快手红人直播带货4小时破3000万,砍柴网
3058,2020-05-19,燕京啤酒的“中年危机” 经营问题,I黑马
3059,2020-05-19,食品饮料行业周报：消费动销如期逐步走强 乳制品行业实现边际改善,新浪
3060,2020-05-19,小龙虾收购价几近腰斩 今年适合投资小龙虾吗？2020年中国小龙虾未来投资战略分析,中研网
3061,2020-05-19,三人行IPO：投资者眼中的打新大肉，现实问题却不容忽视,格隆汇
3062,2020-05-19,港股盘前必读：同股不同权公司及第二上市公司纳入恒生指数选股范畴,Wind
3063,2020-05-19,重仓股上海家化月涨逾50% 裘国根迎来价值回归时刻,上证报
3064,2020-05-18,上海家化月涨50% 重阳投资持股5年终于熬出头,上证报
3065,2020-05-18,有赞携手西溪奥莱快手直播4小时销售额破3000万,联商网
3066,2020-05-18,小摩增持青岛啤酒(00168)约430.84万股，涉资约2.15亿港元,智通财经
3067,2020-05-18,【权益变动】青岛啤酒(00168-HK)获摩根大通增持约430.84万股,财华社
3068,2020-05-18,2020年啤酒行业怎么样？2020高端啤酒行业发展现状及前景趋势分析,中研网
3069,2020-05-18,力破“黑五月”魔咒，酒业股价“飞天”,酒业新闻网
3070,2020-05-18,食品饮料行业周报：白酒板块情绪如预期持续转好 厨邦渠道补库存开启发力,新浪
3071,2020-05-18,皮海洲：核心资产成为市场宠儿,中财网
3072,2020-05-18,核心资产成为市场宠儿 并非价值投资 就是抱团取暖而已,搜狐
3073,2020-05-17,【民生食饮】周观点0518：白酒板块情绪如预期持续转好，厨邦渠道补库存开启发力,MS食品饮料
3074,2020-05-17,【安信中小盘】三人行、佰奥智能申购-次新股资讯0517,AX中小盘研究
3075,2020-05-17,疫情消退酒兴起，百年青啤创新高,财华社
3076,2020-05-17,消费加速回暖，关注可选标的弹性,中信建投证券研究
3077,2020-05-15,秦洪看盘｜热点轮涨：半导体板块强劲拉升，聚集A股市场人气,澎湃新闻
3078,2020-05-15,酒业论坛探讨如何穿越周期 国内首个酒业上市公司品牌研究成果再发布,每日经济新闻
3079,2020-05-15,青啤天猫官方旗舰店两获大奖，揽获“年度优秀商家”和“消费者运营先锋”殊荣,酒业新闻网
3080,2020-05-15,确认复苏！这几个细分行业开始正增长，大涨后消费股还香吗？,证券时报网
3081,2020-05-15,青岛啤酒股价创上市27年历史新高,中国经济网
3082,2020-05-14,青岛啤酒股价“逆势而上” 创上市27年以来历史新高,证券日报
3083,2020-05-14,27股主力资金净流入超亿元,证券时报网
3084,2020-05-14,【国盛策略】全球龙头比较：A 股消费白马估值如何？,尧望后势
3085,2020-05-14,最被看好十大港股:花旗上调腾讯控股目标价至530港元,新浪
3086,2020-05-14,A股市场主力资金净流出318.17亿元 长电科技净流入额居首,中证网
3087,2020-05-14,股价首破62元创历史新高！登陆资本市场27年青岛啤酒再迎高光时刻,投资时报
3088,2020-05-14,五大券商周四看好的六大板块,证券之星
3089,2020-05-14,食品饮料行业周报：消费复苏明显 消费升级持续,渤海证券
3090,2020-05-14,大消费行情加速扩散，一天内65股创历史新高,上证报
3091,2020-05-14,富瑞：上调青啤(0168.HK)目标价至75港元 评级“买入”,格隆汇
3092,2020-05-14,富瑞：维持青岛啤酒买入评级 上调目标价至75港元,新浪
3093,2020-05-14,快消行业有哪些？中国快消品市场销量如何？2020快消行业规模及发展趋势预测,中研网
3094,2020-05-14,富瑞：维持青岛啤酒(00168)“买入”评级 上调目标价至75港元,智通财经
3095,2020-05-14,快时尚服装品牌迎退潮 疫情对服装零售业的影响 2020年服装行业现状分析,经济日报
3096,2020-05-14,酿酒板块再度走强 青岛啤酒股价创历史新高,e公司
3097,2020-05-14,啤酒股今天全线走强｜数据观察,第一财经
3098,2020-05-14,【食饮】消费复苏明显 消费升级持续——食品饮料行业周报——看好（联系人：刘瑀）,渤海证券研究
3099,2020-05-14,食品饮料板块周涨幅超大盘逾4倍 17亿主力资金纷至沓来,中证报
3100,2020-05-14,大消费行情加速扩散 核心资产有望走出独立牛市,上证报
3101,2020-05-13,布局威士忌 百润股份另辟蹊径,北京商报网
3102,2020-05-13,啤酒行业分析：并购频繁，巨头版图凸显,猎云网
3103,2020-05-13,餐饮复苏助推火锅酒水 海底捞啤酒股携手攀升,证券时报网
3104,2020-05-13,刚刚，54只个股股价刷新历史新高，有你手中的票吗？,上证报
3105,2020-05-13,5月13日港股复盘：恒指冲高回落收跌0.27%,证券时报网
3106,2020-05-13,收评:港股恒指跌0.27% 消费股逆市大涨联想控股涨13%,新浪
3107,2020-05-13,收评：恒指跌0.27%振幅超300点 喝酒吃药行情上演维亚生物涨17.68%,金融界
3108,2020-05-13,恒指震荡收跌0.27%，美团点评创新高,Wind
3109,2020-05-13,收评：沪指震荡涨0.23% 大批消费股刷新历史新高,证券时报网
3110,2020-05-13,啤酒板块走势活跃，夏暑旺季到来，行业业绩有望逐季改善,证券时报网
3111,2020-05-13,大批消费股刷新历史新高！外资从容加仓 机构称核心资产开启独立牛市,上证报
3112,2020-05-13,刚刚54股股价刷新历史新高 有你手中的票吗？,上证报
3113,2020-05-13,【权益变动】青岛啤酒(00168-HK)被摩根大通减持约284.83万股 减持股份,财华社
3114,2020-05-13,5月13日港股午评：恒指低开高走平收,证券时报网
3115,2020-05-13,午评：港股恒指微涨0.01% 美团点评涨5%联想控股涨9%,新浪
3116,2020-05-13,恒生指数午盘涨0.01%报24247.64点,Wind
3117,2020-05-13,港股午评：国指涨0.2%医疗设备股、物管股走高美团涨超5%再创新高,格隆汇
3118,2020-05-13,食品饮料行业2019年报及2020Q1季报总结：短期业绩风险逐步释放 需求稳步回升 做时间的朋友,国金证券股份有限公司
3119,2020-05-13,午评：指数缩量震荡，招商积余接近涨停,乐居财经
3120,2020-05-13,异动直击|啤酒股走强，青岛涨6%、润啤涨4%,富途证券
3121,2020-05-13,【异动股】酿酒行业板块拉升，古井贡B(200596-CN)涨8.25%,财华社
3122,2020-05-13,快讯：港股三大指数翻红恒指涨0.18% 消费股集体走高,新浪
3123,2020-05-13,酿酒板块走强 青岛啤酒涨超3%,e公司
3124,2020-05-13,5月13日早盘两市板块龙虎榜排名(名单),金融界
3125,2020-05-13,快讯：啤酒股造好 华润啤酒涨超6%青岛啤酒涨超3%,新浪
3126,2020-05-13,华润啤酒升逾4% 获执董增持10万股,新浪
3127,2020-05-13,百润股份募资10亿加码烈酒 国内威士忌市场升温竞争加剧,长江商报
3128,2020-05-12,政策助力餐饮等消费恢复 机构：白酒啤酒板块布局正当时,中国财富网
3129,2020-05-12,[路演]嘉美包装：公司将进一步扩大客户范围 完善客户结构,全景网
3130,2020-05-12,消费品品类速览010: 啤酒,前瞻研究院
3131,2020-05-12,日清食品现反弹近4% 昨急跌近9%,新浪
3132,2020-05-12,乐惠国际在手订单16.49亿元 精酿啤酒项目建设完成在即,证券日报
3133,2020-05-11,众口难调的啤酒行业，为什么吸引投资人和创业者涌入？,36氪
3134,2020-05-11,日清食品倒跌逾3% 首季多赚近8%,新浪
3135,2020-05-11,二季度最好投资窗口？逾39亿元资金节后加仓五板块 65股被买买买！,证券日报
3136,2020-05-11,白酒啤酒产量降幅收窄 肉价乳价下行,佳酿网
3137,2020-05-11,百年青啤“潮”涌云端，尽展品牌韧性活力,酒业新闻网
3138,2020-05-11,啤酒这场“决战”怎么打?,酒业新闻网
3139,2020-05-11,经济下行 酒业国际化思量进退,佳酿网
3140,2020-05-11,【国泰君安国际】近期投资看点：必选消费行业2019年业绩总结 2020.05.11,国泰君安证券香港
