,2021-12-22,港股异动 | 中海油服(02883)早盘涨超5% 机构称国内加大能源安全保障利好海上油服等标的,智通财经
1311,2020-05-25,【中信证券石油化工】石化&化工行业北上资金流向周报200518-0522,CITICS石油石化
1312,2020-05-23,出口转内销，首批上海造平台供应船即将在天津投入运营,上观
1313,2020-05-22,沪指周线两连阴逼近2800点 估值扩张具备较好基础,大众证券报
1314,2020-05-22,港股收盘(5.22)|恒指收跌5.56% 香港地产股领跌蓝筹,智通财经
1315,2020-05-22,中信证券：维持全年布油中枢40-45美元/桶的观点 看好中长期油价持续回升,证券时报网
1316,2020-05-21,油服行业点评报告：油价底部回升趋势明确 关注油服板块估值修复──油服行业点评报告,新浪
1317,2020-05-21,F三星原油期升近4% 恢复增设基金单位,新浪
1318,2020-05-19,午市前瞻：港股观望气氛浓厚 仍未能摆脱横行局面,新浪
1319,2020-05-19,中海油服大涨5.05%报13.95元 领涨采掘服务业,中新经纬
1320,2020-05-19,港股异动 | “三桶油”集体走强 疫苗研发传积极消息 市场憧憬原油供需矛盾缓解,智通财经
1321,2020-05-18,招商金陵威海变身“山东友联”拓展修船市场,国际船舶
1322,2020-05-14,招商工业孖洲岛基地再迎“南海十号”平台进厂改造,国际船舶
1323,2020-05-14,中海油人事变动！海油发展一把手到任！,华夏能源网
1324,2020-05-14,光大证券：5月是原油供需端的双重拐点 推荐中海油服,新浪
1325,2020-05-14,港股盘前必读：腾讯控股一季度净利润288.96亿元同比增长6%,Wind
1326,2020-05-14,当前原油市场的三个关键变量 ——基于原油市场供需层面的持续跟踪检验,化海锋云
1327,2020-05-13,花旗：随着能源需求有所改善 上调中海油服(02883)及中石化(00386)等石油股目标价,智通财经
1328,2020-05-13,花旗：上调中资油股目标价 升中海油服(2883.HK)评级至买入,格隆汇
1329,2020-05-13,基于原油市场供需层面的持续跟踪检验：当前原油市场的三个关键变量,光大证券
1330,2020-05-13,【申港石化刘少卿】石油石化行业2019年报及2020一季报总结：供需双杀 或将触底,千辨万化
1331,2020-05-13,中海油人事变动！朱磊任海油发展党委书记、董事长,北极星节能
1332,2020-05-12,5月12日开盘前瞻 | 今天不看恒指脸色了，先押注航空股、石油股,智通财经
1333,2020-05-11,港股异动丨石油股走强 国际油价连涨二周,格隆汇
1334,2020-05-07,国际油价回吐 中海油及中石油齐走低约2%,新浪
1335,2020-05-07,149股一季度获社保基金扎堆持有,中财网
1336,2020-05-06,业绩超预期股票名单来了 最强股频频创出历史新高,金融界
1337,2020-05-06,申万宏源研究谈一季报和2019年报：疫情冲击下，14行业景气度较高,新浪
1338,2020-05-06,能源设备开盘活跃,Wind
1339,2020-05-06,社保基金一季度重仓股揭秘：新进138股 增持159股,证券时报
1340,2020-05-05,油价亚洲时段急升 阳光油砂涨逾35%,新浪
1341,2020-05-04,港股异动丨中海油服(2883.HK)逆势涨近4% 中国海洋石油维持今年本土产量及资本开支,格隆汇
1342,2020-05-04,大和：上调中海油服(2883.HK)目标价至7.4港元 评级“买入”,格隆汇
1343,2020-05-04,大和：中海油田服务升至买入评级 目标价升至7.4港元,新浪
1344,2020-05-04,大和：升中海油田服务(02883)至“买入”评级 上调目标价至7.4港元,智通财经
1345,2020-05-04,【天风石化】和顺石油首次覆盖：民营加油站第一股，内生外延发力,樨樨和她的油气小伙伴
1346,2020-04-30,中海油服业绩点评：业绩超预期，七年行动方案执行带来长景气周期【中信建投机械吕娟团队】,微信
1347,2020-04-30,晚间重要公告2020年4月30日星期四,Wind
1348,2020-04-30,【中信证券石油化工】中海油服2020年一季度业绩点评：低油价短期冲击价格，长期高增长趋势不改,CITICS石油石化
1349,2020-04-30,【国元机械】中海油服（601808）2020年一季报点评:2020Q1业绩大超预期，两大核心业务保持增长,国元高端装备
1350,2020-04-30,社保基金一季度重仓股名单（附股）,中财网
1351,2020-04-30,【中信证券石油化工】海油工程2020年一季报点评：季节因素叠加疫情短期拖累，看好公司长期业绩和市场表现,CITICS石油石化
1352,2020-04-29,中海油服：一季度实现净利11.4亿元,国际船舶
1353,2020-04-29,中海油服一季度多措并举稳业绩,上证报
1354,2020-04-29,中海油服：多措并举稳业绩 一季度实现净利11.4亿元,证券时报网
1355,2020-04-29,晚间重要公告2020年4月29日星期三,Wind
1356,2020-04-29,午市前瞻：港股若企稳24600点 可上望25100点,新浪
1357,2020-04-29,港股午评|恒指升近500点，腾讯试430港元，苹果概念股大涨,富途证券
1358,2020-04-29,中石化及中石油绩前高走 现涨逾2%及3%,新浪
1359,2020-04-29,丽珠医药试剂设备销售前景良好,南方财经网
1360,2020-04-28,中海油服大跌6.15%，成交8064万元 连续下跌,中新经纬
1361,2020-04-28,纽油亚洲时段急跌14% 中石油及中海油齐跌逾1%,新浪
1362,2020-04-27,疫情、油价双重冲击，油服企业一季度很“受伤”,第一财经
1363,2020-04-25,光大证券：逐步配置与油价走势有关 但关联度不高的标的,第一财经
1364,2020-04-24,收评：港股恒指跌0.61% 康方生物暴涨50%市值增62亿,新浪
1365,2020-04-24,A股三大指数均跌逾1% 沪指险守2800点,中新经纬
1366,2020-04-24,港股异动 | 遭GIC减持涉资1772.72万港元 中海油服(02883)随市跌逾4% 减持股份,智通财经
1367,2020-04-24,港股异动 | 中海油服跌逾3% 遭GIC减持293.4万股 减持股份,格隆汇
1368,2020-04-24,光大证券：今年年底到明年年初原油价格有望重回50美元/桶,金融界
1369,2020-04-23,监管出手火爆行业基金降温科技股领跌A股冲高回落避险情绪升温,财华社
1370,2020-04-23,大和：首予中海油服(2883.HK)“跑赢大市”评级 目标价6.3港元,格隆汇
1371,2020-04-23,大和：首予中海油田服务(02883)“跑赢大市”评级 目标价6.3港元,智通财经
1372,2020-04-23,巨·热点|三大板块逆势走强 呈现良好赚钱效应,巨丰财经
1373,2020-04-23,A股收评：三大股指高开走低集体翻绿，油气、农业股维持强势,格隆汇
1374,2020-04-23,沪指震荡收跌0.19% 石油股一改颓势表现活跃,中新经纬
1375,2020-04-23,山东墨龙升逾20% 暂连升2日,新浪
1376,2020-04-23,沪指窄幅震荡收跌0.19% 石油股大涨,中新经纬
1377,2020-04-23,石油板块发力上扬，海油工程新潮能源涨停,证券时报网
1378,2020-04-23,解盘：能源反弹，原油储运、肺炎检测、智慧农业、军工领涨,Wind
1379,2020-04-23,油气板块暴力反弹 3股涨停,证券时报网
1380,2020-04-23,油气板块集体拉升，多股涨停,第一财经
1381,2020-04-23,能源设备概念异动拉升,e公司
1382,2020-04-23,快讯：采掘服务走高 海油工程涨停,新浪
1383,2020-04-23,【行情】油气设服异动，海油工程拉升封板，中海油服、中曼石油、贝肯能源等跟涨。,金十数据
1384,2020-04-23,社保基金现身289只股前十大流通股东榜,证券时报网
1385,2020-04-22,兖州煤业2019年度拟派28.49亿元红包,证券时报网
1386,2020-04-22,1.88亿元主力资金今日撤离采掘板块,证券时报网
1387,2020-04-22,早盘资金大举杀入两大板块 原油期货跌停,中投网
1388,2020-04-22,资金大举杀入两板块 机构高喊茅台目标价超1500元,网易
1389,2020-04-22,原油期货全线跌停！资金大举杀入两大板块，贵州茅台史上最壕分红 连续下跌,证券时报网
1390,2020-04-22,港股异动|布伦特原油盘中转跌12.5%创19年新低石油股继续走弱,搜狐
1391,2020-04-22,山东墨龙升逾27% 创1个月新高,新浪
1392,2020-04-22,国际油价大跌第二日 三桶油受累中海油下跌2%,新浪
1393,2020-04-22,原油价格暴跌“三桶油”低开,格隆汇
1394,2020-04-22,光大证券：黎明前的黑暗，原油市场静待双重拐点,证券时报网
1395,2020-04-21,光大证券：4月是原油现货市场黎明前的黑暗5月是双重拐点,金融界
1396,2020-04-21,港股收盘(4.21)|恒指收跌2.2% 负油价影响发酵 石油股全线下行,新浪
1397,2020-04-21,港股午评|恒指跌穿两万四，汇丰跌穿40元，惠誉再降香港评级,富途证券
1398,2020-04-21,活久见！负油价影响几何？,巨丰财经
1399,2020-04-21,港股三桶油进一步走低 史上首次惊现“负油价”,格隆汇
1400,2020-04-21,能源股普遍调整,Wind
1401,2020-04-21,社保基金现身259只股前十大流通股东榜,证券时报网
1402,2020-04-21,国际油价：短期疫情压制，Q2有望启动中长期回升,证券时报网
1403,2020-04-20,1.19亿元资金今日流出采掘股,证券时报网
1404,2020-04-20,208家公司2019年业绩增幅翻倍 万集科技增幅最大,中国财富网
1405,2020-04-20,布油跌幅收窄 中石化扬逾2%中海油涨近2%,新浪
1406,2020-04-20,1376公司公布年报208家业绩增幅翻倍,证券时报网
1407,2020-04-20,社保基金持仓动向：去年四季度新进66股,证券时报网
1408,2020-04-17,午市前瞻：利好消息已反映 港股或整固料23800见支持,新浪
1409,2020-04-17,1201份年报受“检阅” 三大财务指标筛出6只潜力白马股,证券日报
1410,2020-04-16,1159公司公布年报174家业绩增幅翻倍,证券时报网
1411,2020-04-16,石化｜国内QDII相对稳健，海外杠杆ETF弹性大：全球视野下的原油标的投资解析,中信证券研究
1412,2020-04-16,中国海油疫情期间海外生产平稳有序,中国能源网china5e
1413,2020-04-16,社保基金去年四季度重仓股揭秘：5股社保基金持股比例超10%,金融界
1414,2020-04-16,前方高能，4月份北向资金净流入达334.28亿元！持仓个股曝光（名单）,每日经济新闻
1415,2020-04-16,配置型资金净流入，外资加仓中国股票,Wind
1416,2020-04-16,配置型资金净流入 外资加仓中国股票,中证报
1417,2020-04-15,招商工业修理改造“南海九号”平台顺利完工出厂,国际船舶
1418,2020-04-15,午市前瞻：港股明显转势 今轮反弹有机会上试26000点,新浪
1419,2020-04-15,布油再度失守30美元 三桶油受压中海油低开近2%,新浪
1420,2020-04-15,港股开盘(4.15)︱恒指涨0.26%报24499.86点 国际油价受压 石油股集体低开,智通财经
1421,2020-04-15,社保基金现身205只股前十大流通股东榜,证券时报网
1422,2020-04-14,上市公司迎来业绩密集披露期 市场人士建议远离业绩变脸股 盈利能力下降,重庆商报
1423,2020-04-14,港股收盘(4.14)|恒指收涨0.56% 疫苗进入II期临床试验 康希诺生物-B(06185)涨逾6%,智通财经
1424,2020-04-14,港股异动 | 沙特阿美再度下调对亚洲的原油定价 油价受挫石油股多数走弱,智通财经
1425,2020-04-14,港股异动丨石油股多数下跌 沙特将5月销往亚洲的轻质原油每桶下调4.2美元,格隆汇
1426,2020-04-13,石油减产保价协议达成 三主线挖掘概念股投资机遇,证券日报
1427,2020-04-13,4月13日投顾陪你读早报：欧佩克+达成历史性原油减产协议！周末还有这些大事件,金融界
1428,2020-04-13,1006份年报逾七成增长 153家净利同比增超100%,资本邦
1429,2020-04-13,【国元资讯早班车】监管层：新股发行将保持常态化！,国元证券订阅号
1430,2020-04-13,国内财经媒体头版2020年4月13日星期一,Wind
1431,2020-04-13,1006份年报出炉逾七成增长 153家净利润同比增超100%,证券日报
1432,2020-04-13,【申港石化】复盘OPEC减产 油价调控效果趋弱 20200412,千辨万化
1433,2020-04-12,六大主力最新动向曝光 逾1600亿资金增持偏爱这一领域（附表）,金融界
1434,2020-04-12,5月是原油市场的双重拐点 ——OPEC+减产协议及G20能源部长会议的影响分析,化海锋云
1435,2020-04-10,社保基金去年四季度重仓股揭秘：19股社保基金持股比例超5%,证券时报网
1436,2020-04-09,社保基金持仓动向：去年四季度新进45股,证券时报网
1437,2020-04-09,机构最新持仓动向曝光 社保新进45股增持50股减持53股 减持股份,金融界
1438,2020-04-09,油组将召开会议 中海油涨逾2%F三星原油期飙升5%,新浪
1439,2020-04-09,外高桥造船又一艘PSV完成坞检试航项目凯旋,国际船舶
1440,2020-04-09,港股异动 | 获小摩增持涉资3677.69万 中海油服(02883)涨逾4%,智通财经
1441,2020-04-09,石油股集体高开隔夜原油价格大涨,格隆汇
1442,2020-04-09,社保基金新进39股6股年报净利翻倍增长,证券时报
1443,2020-04-08,中海油服：关于召开2019年年度股东大会、2020年第一次A股类别股东会议及2020年第一次H股类别股东会议的通知,上交所
1444,2020-04-08,最新名单！社保基金重仓股出炉，新进5只千亿级龙头，大手笔加仓这些科技股，最牛业绩暴增30倍,e公司
1445,2020-04-08,港股收盘(4.8)|恒指收跌1.17% 中芯国际(00981)上调业绩指引 逆市涨逾5%,智通财经
1446,2020-04-08,最被看好十大港股：高盛维持长和目标价82港元,新浪
1447,2020-04-08,港股异动 | 遭美国资本集团减持涉资6962.34万 中海油服(02883)跌逾4% 减持股份,智通财经
1448,2020-04-08,【申港石化】LPG 期货上市20200406,千辨万化
1449,2020-04-08,799公司公布年报121家业绩增幅翻倍,证券时报网
1450,2020-04-08,投资者提问：董秘你好，最近新冠肺炎导致原油需求大幅下降油价低迷，WTI原油,新浪
1451,2020-04-08,能源板块快速走弱,Wind
1452,2020-04-08,【行情】油气股开盘走弱，中海油服、中曼石油、贝肯能源等跌近4%。,金十数据
1453,2020-04-07,社保基金持仓动向：去年四季度新进43股,中财网
1454,2020-04-07,收评：沪指收复2800点创业板指大涨3.31%北向资金净流入逾140亿元,金融界
1455,2020-04-07,【行情】油气设服板块异动，泰山石油拉升封板，中曼石油、贝肯能源、中海油服、海越能源等快速跟涨。,金十数据
1456,2020-04-07,午后油气设服板块异动 泰山石油拉升封涨停,金融界
1457,2020-04-07,汇丰：下调中海油服(2883.HK)目标价至7.5港元 评级买入 机构下调估值,格隆汇
1458,2020-04-07,中海油：1200余名外派员工坚守岗位 境外项目有序推进,上证报
1459,2020-04-07,午市前瞻：港股再上试24000点 料短期获利情况增加,新浪
1460,2020-04-07,中国海油：疫情期间海外生产平稳有序,中证网
1461,2020-04-07,汇丰：中海油田服务目标价降至7.5港元 维持买入评级,新浪
1462,2020-04-07,油组推迟会议油价回吐 三桶油跑输蓝筹中石油跌逾1%,新浪
1463,2020-04-07,43股去年四季度获社保基金扎堆持有,证券时报
1464,2020-04-07,油价下跌传导油服行业 “三桶油”优化调整资本支出,财富动力网
1465,2020-04-07,年报季报进入密集期 银行股依旧“最赚钱”,金融投资报
1466,2020-04-06,【太平洋机械】机械行业周报20200404：紧跟挖机复苏步伐，混凝土机械将迎来销售高峰,太平洋机械大讲堂
1467,2020-04-06,国际油价今早回吐 三桶油续涨中石油升逾2%,新浪
1468,2020-04-05,油价下跌对下游影响弱化 改性塑料等子行业盈利能力回升,南方财经网
1469,2020-04-04,【太平洋化工】油价短期波动加大，底部区域基本确认,微信
1470,2020-04-03,涨停板复盘：三大股指缩量下挫 科技题材悉数回调,新浪
1471,2020-04-03,760公司公布年报116家业绩增幅翻倍,证券时报网
1472,2020-04-03,63股获杠杆资金大手笔加仓,证券时报网
1473,2020-04-03,每日策略20200403,东莞证券研究
1474,2020-04-03,港股开盘(4.3)︱恒指低开0.89%报23072点 三大运营商集体走强,智通财经
1475,2020-04-03,【睿·投顾】行情依旧缩量磨底 这些板块再次被高层点名,恒泰头派账户
1476,2020-04-03,社保基金现身141家上市公司，连续3年坚守20只个股,Wind
1477,2020-04-03,785股年内高点以来回调超30%，25股业绩高增长,Wind
1478,2020-04-03,785股年内高点以来回调超30%25股业绩高增长,证券时报
1479,2020-04-03,社保基金现身141家上市公司前十大流通股股东名单 连续3年坚守20只个股,证券日报
1480,2020-04-02,科技股疯涨！A股新一轮大行情开启？,华讯财经
1481,2020-04-02,犀牛财经晚报：同仁堂净利下滑13%美股财报发布日期延长45天,GPLP犀牛财经
1482,2020-04-02,周四早盘A股低开高走 午后石油板块拉升,中投网
1483,2020-04-02,国际油价暴涨暂缓市场下跌局面科技股回暖点燃A股做多情绪,财华社
1484,2020-04-02,新华500指数（989001）2日涨1.67%,新华网
1485,2020-04-02,机构论市：科技股企稳大涨 股指短线反弹有望延续,新浪
1486,2020-04-02,4月2日复盘：风向转暖谨防踏空 主力资金出击16股,新浪
1487,2020-04-02,国际原油价格大涨 油价暴跌致美石油公司破产 2020年4月2日今日油价最新价格表 减资破产,中研网
1488,2020-04-02,100只股涨停最大封单资金2.29亿元,证券时报网
1489,2020-04-02,涨停板复盘：创业板指重回1900点 科技题材集体回暖,新浪
1490,2020-04-02,巨丰收评：又见百股涨停 恶化的技术面修复,巨丰财经
1491,2020-04-02,A股收评：创业板大涨2.8%科技股全天强势石油股跟随国际油价大涨,格隆汇
1492,2020-04-02,收评：沪指涨1.69%创业板指大涨近3%石油行业领涨芯片股集体爆发,金融界
1493,2020-04-02,上证指数收盘涨1.69%，创业板指涨2.8%收复1900,Wind
1494,2020-04-02,快讯：中海油服涨停报于12.42元,金融界
1495,2020-04-02,中海油服升近11% 主动买盘61%,新浪
1496,2020-04-02,能源设备板块大幅走强,Wind
1497,2020-04-02,石油板块午后发力，中曼石油涨停,Wind
1498,2020-04-02,油气股午后异动走强 中海油服涨逾4%,中国经济网
1499,2020-04-02,快讯：石油板块午后再度拉升 中曼石油涨近7%,新浪
1500,2020-04-02,午市前瞻：料港股维持横行格局 短期最多上望23800点,新浪
1501,2020-04-02,高增长的超跌股名单！股价狂打折，估值跌至个位数，机构追捧它们，最高看涨近翻倍（附股）,证券时报
1502,2020-04-02,龙头股反弹值得关注 35只股票去年净利高增长,第一财经
1503,2020-04-02,三桶油V型反弹 布油急涨逾4%中石油冠蓝筹现升4.3%,新浪
1504,2020-04-02,社保基金现身140只个股 合计持有市值逾2500亿元,财富动力网
1505,2020-04-02,社保基金现身140只股前十大流通股东榜 6股热门,证券之星
1506,2020-04-01,大连华讯投资股份有限公司：农业种植井喷，A股部分高潮!,华讯财经
1507,2020-03-31,恒指半日涨1.09% 石油股全线上涨中海油服涨超10%,腾讯网
1508,2020-03-31,突发，农业种植井喷，A股局部高潮！,华讯财经
1509,2020-03-31,社保基金持仓动向：去年四季度新进36股,新浪
1510,2020-03-31,37公司获得增持评级-更新中,中财网
1511,2020-03-31,社保基金去年四季度重仓股揭秘：新进36股增持39股,证券时报网
1512,2020-03-31,国际油价大涨逾8% 石油股走高,每日经济新闻
1513,2020-03-31,油价攀升带动油股 中海油涨近3%中石化升近2%,新浪
1514,2020-03-31,快讯：油气板块盘中异动拉升 中曼石油等多股走强,新浪
1515,2020-03-31,130股获券商买入评级 潍柴动力目标涨幅达64.65%,Wind
1516,2020-03-30,499公司公布年报69家业绩增幅翻倍,证券时报网
1517,2020-03-30,社保基金持仓动向：去年四季度新进27股,证券时报网
1518,2020-03-30,121股获券商买入评级 环旭电子目标涨幅达81.61%,Wind
1519,2020-03-30,社保看好国寿双汇金山 知名私募大举买入顺丰,--
1520,2020-03-29,申万宏源一周晨会纪要合集（2020/03/24-2020/03/27）,申万宏源研究
1521,2020-03-27,84股今日获机构买入评级,证券时报网
1522,2020-03-27,港股异动丨中海油田服务涨近9% 低油价不改反弹趋势,格隆汇
1523,2020-03-27,瑞信指其2016年以来最低估值，中海油服涨超5%,富途证券
1524,2020-03-27,中海油田服务升近10% 主动买盘49%,新浪
1525,2020-03-27,港股异动 | 瑞信称估值为2016年以来最低并小幅上调目标价 中海油服(02883)涨逾9%,智通财经
1526,2020-03-27,海天味业市值超3000亿 中海油服净利润大增34倍,金融界
1527,2020-03-27,美联储频出大招救市 全球紧张情绪有所缓解 136只绩优低估值A股暗藏机会,财富动力网
1528,2020-03-27,周五机构一致看好的七大金股（03.27）,中金在线
1529,2020-03-27,中海油服：轻资产卓有成效，业绩兑现高增长,证券时报网
1530,2020-03-26,85股今日获机构买入评级31股上涨空间超20%,证券时报网
1531,2020-03-26,瑞信：上调中海油服(2883.HK)目标价至9.2港元 评级“跑赢大市”,格隆汇
1532,2020-03-26,社保基金最新持股名单曝光：新进17股，增持22股,证券时报网
1533,2020-03-26,社保基金持仓动向：去年四季度新进15股,证券时报网
1534,2020-03-26,港股异动 | 年度纯利同比暴增34倍 中海油服(02883)早盘倒跌近5%,智通财经
1535,2020-03-26,中海油跌逾2% 绩后获利回吐,新浪
1536,2020-03-26,国金证券：下调中海油服盈利预测，维持“增持”评级,第一财经
1537,2020-03-26,26日公司新闻聚焦:美的集团间接控股合康新能 中海油服净利增34倍,证券时报网
1538,2020-03-26,社保基金现身66只股前十大流通股东榜,证券时报
1539,2020-03-26,中海油服2019年净利增34倍 主因是增产和成本管控,金融界
1540,2020-03-26,A股早报2020年3月26日星期四,Wind
1541,2020-03-26,最新公告透露利好 15只个股有望爆发（03.26）,中金在线
1542,2020-03-25,A股头条之上市公司（3.25）,金融界
1543,2020-03-25,晚间公告热点追踪：美的将成合康新能间接控股股东,新浪
1544,2020-03-25,中海油服2019年净利同比增逾34倍,金融界
1545,2020-03-25,受益油服市场整体复苏 中海油服去年净利润增长逾34倍,e公司
1546,2020-03-25,中海油服(601808.SH)2019年度净利升3434.2%至25.02亿元拟10派1.6元,格隆汇
1547,2020-03-25,中海油服：2019年净利25亿元 同比增逾34倍,e公司
1548,2020-03-25,中海油服：2019年实现净利润25.02亿 同比增3434.2%,新浪
1549,2020-03-25,中海油服：2019年净利润同比增长3434.12%,Wind
1550,2020-03-25,林伯强获提名为中海油田服务(02883)董事会独立董事候选人,智通财经
1551,2020-03-25,去年国际油价下跌10%，中海油盈利却逆势增15%,第一财经
1552,2020-03-25,中炼化工程升逾10% 暂连升4日,新浪
1553,2020-03-25,中集安瑞科升近11% 暂连升2日,新浪
1554,2020-03-24,中集安瑞科升近11% 主动买盘79%,新浪
1555,2020-03-23,兴证·私募与企业部今日推荐汇总-2020.3.23,A股组合投资策略
1556,2020-03-23,中海油服：为他人提供4亿美元担保 大额借贷担保,Wind
1557,2020-03-23,港股收盘(3.23)|恒指收跌4.86%疫苗获密切关注康希诺生物(06185)涨逾15%破顶,搜狐
1558,2020-03-23,申万宏源:低油价下化工产业重塑 强竞争标的受益(股),新浪
1559,2020-03-23,午市前瞻：料恒指短期有反弹空间 短线21500点见支持,新浪
1560,2020-03-23,中海油服跌逾9% 主动卖盘48%,新浪
1561,2020-03-20,港股收盘(3.20)|恒指收涨5.05% 蓝筹股暴力反弹 中移动(00941)涨超13%,智通财经
1562,2020-03-20,截至3月20日AH股共计1只股票股价倒挂,Wind
1563,2020-03-20,创指高开低走半日微跌0.01%海南自贸概念活跃,中新经纬
1564,2020-03-20,原油价格偏离价值 把握三个抄底工具！（必读）,金融界
1565,2020-03-20,美原油低位急弹逾两成 中海油弹升6%中石油上涨4%,新浪
1566,2020-03-20,汽油价格重回5元时代 4只石油股创历史新低,第一财经
1567,2020-03-20,中海油服近期调整为良好买入点,财富动力网
1568,2020-03-18,最被看好十大港股：瑞银升信达生物目标价至37.73港元,新浪
1569,2020-03-18,收评：恒指午后跳水近千点大跌4.18％ 通信股低迷联通重挫9.52％,金融界
1570,2020-03-18,原油跌破30美元 原油跌破30美元意味着什么？原油跌对中石油中石化的影响,中研网
1571,2020-03-18,港股异动 | 遭小摩减持涉资1.14亿港元 中海油服(02883)跌近6%创三年半新低 减持股份,智通财经
1572,2020-03-18,瑞信：下调中海油服(2883.HK)目标价至9港元 评级“跑赢大市” 机构下调估值,格隆汇
1573,2020-03-18,石油股普遍走低 中海油跌逾3%中石油下跌1.64%,新浪
1574,2020-03-17,午市前瞻：港股现处严重超卖水平 料会有技术性反弹,新浪
1575,2020-03-14,新时代机械周报：2月挖机销量同比降约50%，江苏列5大高端化工项目 盈利能力下降,机械泰通
1576,2020-03-14,石油价格巨震下的资本众生相：产业链悲喜交织,Wind
1577,2020-03-13,今日27只A股跌停有色金属行业跌幅最大,证券时报网
1578,2020-03-13,A股三大股指半日均跌超3%3000余只个股下跌,中新经纬
1579,2020-03-13,港股异动 | OPEC取消3月18日技术委员会会议 国际油价再度下挫 石油股普跌,智通财经
1580,2020-03-12,午市前瞻：港股暂难估底 本月单日上落千点或成常态,新浪
1581,2020-03-11,油价升幅显著收窄 中海油下跌5%暂为最差蓝筹,新浪
1582,2020-03-11,水比油贵！国内三桶油业绩恐再次面临冲击,Wind
1583,2020-03-11,石油化工：短期油价承压,金融投资报
1584,2020-03-11,水比油贵再现 三桶油恐再次面临低油价冲击,证券日报
1585,2020-03-10,国际油价雪崩式倒塌还可以更低,财华社
1586,2020-03-10,午市前瞻：纽油若能企稳30美元 港股25000关会有支持,新浪
1587,2020-03-10,外高桥海工举行最后两艘PSV交船动员会,国际船舶
1588,2020-03-10,原油“闪崩”冲击链： 炼厂锁价窗口开启 油服巨头或重归收缩时代,21世纪经济报道
1589,2020-03-09,标普500触发一级熔断，油服巨头斯伦贝谢闪崩35% 连续下跌,21世纪经济报道
1590,2020-03-09,CF40：全球市场遭遇黑色星期一 A股怎么走？,Wind
1591,2020-03-09,金融街下午茶2020年3月9日星期一,Wind
1592,2020-03-09,咖米科技：创业板风险累计增加 原油价格狂跌30%,金融界
1593,2020-03-09,“黑天鹅”突袭国际油价重挫31% A股产业链隐现机会 连续下跌,中国经济网
1594,2020-03-09,上证指数收盘跌3%，创业板指跌4.5%,Wind
1595,2020-03-09,国际油价跌破30美元！亚太股市“恐慌”,中国财富网
1596,2020-03-09,全面暴击！日股收盘大跌5%、中东股市也遭疯狂抛售 这一股指提前进入技术性熊市 连续下跌,FX168
1597,2020-03-09,原油史诗级暴跌33%！能源板块遭集体狂泻 连续下跌,Wind
1598,2020-03-09,通信、口罩股逆市涨停！机构：投资紧扣两条长期主线,中证报
1599,2020-03-09,全球股市重挫科威特跌到休市 A股这些板块逆势上涨,新浪
1600,2020-03-09,三大股指午后跌幅持续扩大 创业板指跌近4%,上证报
1601,2020-03-09,午市前瞻：港股失25000点机会大 进一步下试24500点,新浪
1602,2020-03-09,油价暴跌拉响连环雷爆！欧美股期货全线重挫，A股避风港成色几何 连续下跌,证券时报网
1603,2020-03-09,一文读懂：国际油价雪崩，机构火线解读，油价、股市怎么走？投资三条主线,腾讯网
1604,2020-03-09,史诗级暴跌：油价闪崩30%！全球上演“黑色星期一”！ 美股期货熔断，后市咋办？ 连续下跌,21世纪经济报道
1605,2020-03-09,沙特开启原油市场份额竞赛，美油暴跌逾33%刷新历史最大跌幅,Wind
1606,2020-03-09,国际油价大跌如何影响A股？|快评,第一财经
1607,2020-03-09,早间复盘：A股暴跌逾2%，恒指一度泄洪4%，能源板块遭遇重挫 连续下跌,格隆汇
1608,2020-03-09,超级大崩盘！石油版金融危机来了？,券商中国
1609,2020-03-09,中东飞来“黑天鹅”:全球金融市场再度陷入恐慌 A股怎么办,中国证券网
1610,2020-03-09,解盘：能源、科技拖累指数，口罩、特高压、创投概念领涨,Wind
1611,2020-03-09,A股三大股指全线下跌创业板跌近3% 北向资金净流出逾100亿元 连续下跌,第一财经
1612,2020-03-09,上证指数午盘跌2.41%，石化、科技板块跌幅靠前,Wind
1613,2020-03-09,Bernstein：石油市场需求下降 下调中石油(00857)及中海油(00883)等石油股目标价 机构下调估值,智通财经
1614,2020-03-09,受国际油价暴跌影响，石油股全线重挫、航运板块集体大涨,澎湃新闻
1615,2020-03-09,金油股汇债齐暴动：布油一度跌超30%、黄金上破1700美元,金融界
1616,2020-03-09,创业板指盘中跌幅扩大至3% 口罩板块逆势走强 石油化工板块跌幅居前,上证报
1617,2020-03-09,原油闪崩30%，全球恐慌性抛售，北上资金50分钟净流出70亿！,证券时报网
1618,2020-03-09,“黑天鹅”突袭国际油价崩溃，A股石油板块早盘全线重挫丨牛熊眼 连续下跌,第一财经
1619,2020-03-09,A股三大股指跌超2%创业板跌2.44% 口罩股逆势走强多股涨停,第一财经
1620,2020-03-09,A股三大股指集体低开 石油股全线重挫口罩股继续强势 连续下跌,上游新闻
1621,2020-03-09,A股三大股指大幅低开，沪指跌破3000点，石油股全线重挫丨牛熊眼 连续下跌,第一财经
1622,2020-03-09,石油股、原油基金等开盘全线重挫 航运股走强,每日经济新闻
1623,2020-03-09,港股异动 | 沙特计划大幅增加原油产量 开启原油价格战 油价暴跌石油股全线低开,智通财经
1624,2020-03-09,石油股早盘重挫 中国石油、中国石化双双低开,新浪
1625,2020-03-09,A股三大股指全线低开创业板跌近2% 石油板块大跌中海油服跌停 连续下跌,第一财经
