,2021-12-31,中航光电、振华科技、高德红外……谁将能成长能力最强的军工电子企业？,Ofweek
622,2020-04-26,龙头股业绩暴增19倍！军工板块“狙击”新冠疫情,券商中国
623,2020-04-24,WHO被删报告打趴A股抗疫概念！口罩呼吸机也遭殃，真相是啥？,e公司
624,2020-04-22,体温仪公司一季度业绩暴涨 海外订单量已超国内,时代在线
625,2020-04-20,高德红外(002414.SZ)：实控人黄立解除质押2100万股,格隆汇
626,2020-04-20,高德红外(002414.SZ)收到《某型号产品中标通知书》,格隆汇
627,2020-04-17,整机营收涨近200%，睿创微纳包抄海外市场一统上下游？,Ofweek
628,2020-04-16,高德红外(002414.SZ)：实控人黄立质押850万股,格隆汇
629,2020-04-16,这27家公司太牛！连续两年一季度业绩倍增,中国证券网
630,2020-04-16,高德红外、欣龙控股等27股太牛 连续两年一季度业绩倍增,上证报
631,2020-04-15,1601份一季报预告揭秘A股业绩“牛”,Wind
632,2020-04-15,最新科技龙头回调榜出炉！北上资金抄底股曝光,证券时报网
633,2020-04-13,弱市重质！业绩增长加速，大数据寻找“小而美”,Wind
634,2020-04-10,A股早报2020年4月10日星期五,Wind
635,2020-04-10,上市公司抗压能力如何？692份一季报预告给出答案,Wind
636,2020-04-09,[互动]高德红外：全自动红外体温检测告警系统已与部分地区运营商合作5G,全景网
637,2020-04-09,[互动]高德红外：目前已全面复工 恢复正常生产秩序,全景网
638,2020-04-09,七公司一季报预增超10倍 高德红外荣膺“预增王”,投资快报
639,2020-04-08,高德红外：签订2.89亿元军品红外热像仪订单,e公司
640,2020-04-08,高德红外(002414.SZ)：签订约2.89亿元军品订货合同,格隆汇
641,2020-04-08,一季报将至，7家上市公司预披露净利增长10倍,Wind
642,2020-04-08,一季报预告公司冰火两重天，净赚数十亿亏损过亿并存,Wind
643,2020-04-08,疫情影响一季度盈利涨67% 高德红外19净利2亿,资本邦
644,2020-04-08,红外体温检测需求激增 高德红外一季度净利预增超19倍,e公司
645,2020-04-08,A股早报2020年4月8日星期三,Wind
646,2020-04-08,高德红外：2019年净利润同比增长67.21%（业绩快报）,Wind
647,2020-04-07,高德红外：一季度净利润同比预增19倍至26倍,e公司
648,2020-04-07,高德红外(002414.SZ)：实控人黄立质押405万股及解除质押960万股,格隆汇
649,2020-04-07,高德红外(002414.SZ)业绩快报 2019年度净利升67.21%至2.2亿元,格隆汇
650,2020-04-07,高德红外：一季度净利润1.2-1.6亿 同比增长1909.71%,新浪
651,2020-04-07,高德红外：预计2020年第一季度净利润同比增长1909.71%至2579.62%,Wind
652,2020-04-02,全年业绩暴增中小板股名单,证券时报
653,2020-04-01,高德红外：公司已收到海外地区的订单,第一财经
654,2020-03-29,“制造之城”武汉亟待重启：东风本田每停工一天多亏损5亿元 亏损,腾讯网
655,2020-03-23,A股早报2020年3月23日星期一,Wind
656,2020-03-20,[互动]高德红外：目前已接到部分海外订单 占比不大,全景网
657,2020-03-02,测温仪订单仍以国内市场为主 上游这一市场需求旺盛,新浪
658,2020-03-02,天风证券：疫情下的非接触测量刚需，关注红外成像技术,Wind
659,2020-03-02,湖北上市公司战“疫”笔记：复工难、业绩难、资金难、信披难……自救在路上,每日经济新闻
660,2020-02-27,上市公司涉红外测温业务 三家来自武汉 有的获政府兜底,新京报
661,2020-02-26,实探测温设备制造商高德红外：产能由200台扩充至1000台 从军品生产线借调员工,每日经济新闻
662,2020-02-25,高德红外：目前公司已经收到了门式测温仪的需求订单,Wind
663,2020-02-25,“复工神器”制造商：武汉高德红外的逆行故事,时代周报
664,2020-02-24,投资者提问：高德红外：在目前疫情进入攻坚阶段，贵司是否有准备开发一些小型全,新浪
665,2020-02-23,复工复产进行时｜高德红外：“复工神器”筑牢疫情第一道防线,电子信息产业网
666,2020-02-23,武汉抗疫一线见闻之企业担当② 测温仪“老牌”高德红外：订单激增 质量不放松,中国经济网
667,2020-02-23,市场资金画风突变！逾2000只个股资金净流入，锂电池概念拉警报,e公司
668,2020-02-20,抗疫红利来了！股份质押可延期并下调质押利率还有低息贷款，高德红外及实控人畅享政策阳光,21世纪经济报道
669,2020-02-20,[公司]高德红外：测温产品处于供不应求状态 享受兜底销售政策,全景网
670,2020-02-20,金融扶持政策闪电落地！这家武汉上市公司实控人质押延期,证券时报
671,2020-02-19,高德红外：实控人所持部分股份质押延期 同时下调质押利率,e公司
672,2020-02-19,高德红外(002414.SZ)：实控人黄立质押的3130万股延期,格隆汇
673,2020-02-19,高德红外：未来安装到手机里面的红外热像仪价格可能还会降低,Wind
674,2020-02-19,[公司]高德红外：未来几年中国红外市场可能上升很快,全景网
675,2020-02-19,[公司]高德红外：未来手机应用红外热像仪价格可能继续降低,全景网
676,2020-02-19,[公司]高德红外：新投产2万台体温检测设备预计3月初交付,全景网
677,2020-02-12,高德红外：每天1000套的速度生产全自动红外体温检测告警系统,Wind
678,2020-02-12,华为武研所复工，高德红外测温守护,凤凰网
679,2020-02-12,高德红外测温仪助力华为美的复工 千名员工上下班“无感通关”,中电网
680,2020-02-12,额温枪火了:红外测温百亿级市场在望 有公司已布局,中证报
681,2020-02-10,抗疫神器！红外体温检测仪的肺炎阻击战,新浪
682,2020-02-10,疫情对公司业绩增长产生积极影响，溢多利电话调研释放利好信号,凤凰网
683,2020-02-07,半导体板块表现强势，年报业绩六成预喜行业崛起可期,第一财经
684,2020-02-07,【中金电子与通信】航空航天科技：4Q基金持仓：主动型基金连续10个季度低配；上游企业关注度较高,乐平科技视角
685,2020-02-07,疫情带来机会：布局红外测温仪概念 选择哪些基金？,养基司令
686,2020-02-07,潜望 | 记录武汉疫情下第一道防线：超300台“红外卫士”守护这个城市,腾讯网
687,2020-02-06,高德红外：目前公司产品处于供不应求的状况,Wind
688,2020-02-06,高德红外受疫情影响 热像仪订单大增,金融界
689,2020-02-06,疫情影响有多大？湖北公司说“办法总比困难多”,上证报
690,2020-02-06,多家公司披露增产防疫产品 高德红外将大规模扩产,上证报
691,2020-02-05,疫情中的武汉上市公司：有的未见明显影响，有的坦言短期承压,澎湃新闻
692,2020-02-05,武汉科技|高德红外：检测告警系统加入了AI自动识别与处理软件,TechWeb
693,2020-02-05,高德红外：公司全自动红外体温检测告警系统将大规模增扩产能,e公司
694,2020-02-05,机构调研：拓维信息、高德红外被扎堆调研 股价涨停,新浪
695,2020-02-05,A股龙虎榜揭秘：机构净卖出个股8只，净买入个股1只,Wind
696,2020-02-05,高德红外：公司全自动红外体温检测告警系统能做到精准识别、确保不遗漏目标,Wind
697,2020-02-05,高德红外：推出3-4种新型号产品来应对疫情防控,新浪
698,2020-02-05,返城潮来临 这个细分领域存在预期差,每日经济新闻
699,2020-02-05,龙虎榜全解析：游资爆炒国轩高科和高德红外,新浪
700,2020-02-05,深市“战疫”特写：408家上市公司驰援，监管绿色通道开启,第一财经
701,2020-02-05,高德红外龙虎榜数据（2月5日）,Wind
702,2020-02-05,高德红外：原材料问题已解决 向外出货无障碍,中证网
703,2020-02-05,高德红外：红外测温仪后续可达到每天1000台的产能,Wind
704,2020-02-05,高德红外：目前新投产计划的备料已基本齐备,e公司
705,2020-02-04,“防疫神器”红外测温仪需求约6万台，资金抢筹大立科技、高德红外,每日经济新闻
706,2020-02-03,高德红外(002414.SZ)：实控人解除质押330万股,格隆汇
707,2020-02-03,高德红外：为火神山医院、雷神山医院安装全自动红外测温系统,中证网
708,2020-02-03,A股异动 | 高德红外涨逾7% 产品用于新冠肺炎疫情监测,格隆汇
709,2020-02-03,高德红外：全自动红外体温检测告警系统将以每天1000套的速度生产,e公司
710,2020-02-02,抗击疫情丨 防疫产业上市公司冲锋陷阵,证券时报
711,2020-02-02,高德红外：24小时轮班 新增1.5万套体温仪生产计划,新浪
712,2020-02-02,【中信建投军工】行业周报（2月第1周）：疫情对行业实质影响较小，关注业绩超预期公司投资机会,韬扬军工高端制造沙龙
713,2020-02-02,【兴业军工】板块低配1.32%，内蒙一机获加仓最多：2019Q4公募基金军工股持仓分析,国防军工参考
714,2020-02-02,军工｜疫情专题：行业基本面受冲击较小，红外测温值得关注,中信证券研究
715,2020-02-01,高德红外捐助30套总价值400万体温筛查设备,每经网
716,2020-01-31,红外体温快速筛查仪让新冠状病毒无处藏身,电子工程世界
717,2020-01-31,打赢疫情阻击战，民营企业勇争先,Wind
718,2020-01-30,封城影响几何？武汉地区上市公司回应来了：封城不“封产”，防疫产业链24小时“连轴转” ！,e公司
719,2020-01-29,中金：疫情对航空航天科技行业影响有限，红外测温仪产品需求提升,中金点睛
720,2020-01-27,驰援武汉，上市公司在行动！,Wind
721,2020-01-24,湖北省药监局：配合有关部门协调高德红外等企业全力生产,e公司
722,2020-01-24,高德红外捐赠30套红外测温仪，价值400万,新浪
723,2020-01-23,【招商军工|深度报告】军工行业持仓分析：内资持仓比例持续下滑，估值与增长确定性优势凸显,招商军工研究
724,2020-01-22,最新！湖北累计确诊444例，17人死亡！武汉紧急启动多项举措，上市公司驰援,中证报
725,2020-01-22,武汉科技｜高德红外获逾8000万元合同 自研芯片应用防控肺炎疫情,TechWeb
726,2020-01-22,上市公司密集业绩预告科技业绩井喷式增长,财界网
727,2020-01-21,武汉市加强进出人员管控 红外线测温仪需求增加引传感器概念股上涨,21世纪经济报道
728,2020-01-21,1月21日A股龙虎榜揭秘，机构抛售12股,Wind
729,2020-01-21,高德红外人体测温系统进驻机场火车站,上证报
730,2020-01-21,高德红外龙虎榜数据（1月21日）,Wind
731,2020-01-21,又一家上市公司驰援武汉，高德红外解析,资本邦
732,2020-01-21,抗击新型肺炎病毒 武汉掀起全民防疫战,经济观察网
733,2020-01-21,高德红外：50余台红外人体体温检测系统投放于武汉人流密集地区,中证报
734,2020-01-21,传感器概念股午后拉升 高德红外触及涨停,e公司
735,2020-01-21,高德红外：53台精准测温产品已部署武汉交通枢纽,Wind
736,2020-01-21,高德红外：53台精准测温产品已部署武汉交通枢纽,e公司
737,2020-01-20,医药股、口罩概念股掀涨停潮 酒店旅游概念股纷纷走低,腾讯网
738,2020-01-20,流感板块开盘大涨！硕世生物大涨20% 联环药业、鲁抗医药等个股集体涨停,腾讯网
739,2020-01-17,高德红外(002414.SZ)收到某型号产品中标通知书,格隆汇
740,2020-01-14,5G手机换机高峰将至行业迎业绩拐点,财界网
741,2020-01-13,A股异动|高德红外逼近涨停创新高机构称2020年有望保持高增长,格隆汇
742,2020-01-10,高德红外(002414.SZ)：实控人质押1500万股及解押1950万股,格隆汇
743,2020-01-08,中国安防市场规模及竞争格局分析 中国智慧社区安防市场前景如何？,中研网
744,2019-12-31,高德红外(002414.SZ)签订2.175亿元军品订货合同,格隆汇
745,2019-12-30,高德红外签订2.18亿元合同,上证报
746,2019-12-29,[公司]高德红外：签订两份军品订货合同,全景网
747,2019-12-29,高德红外(002414.SZ)签订1.6亿元的两份军品订货合同,格隆汇
748,2019-12-29,高德红外：收到两份军工订货合同，合计金额1.6亿元,Wind
749,2019-12-26,抢智能传感产业发展机遇 上海嘉定提出千亿目标,上证报
750,2019-12-24,42股今日获机构买入评级,证券时报网
751,2019-12-23,"高德红外现1笔大宗交易 共成交1,208.89万元",新浪
752,2019-12-23,高德红外今日大宗交易成交64.27万股，成交价18.81元折价6.7%,Wind
753,2019-12-19,高德红外现1笔大宗交易 共成交400.68万元,新浪
754,2019-12-19,武汉科技|高德红外获近1.4亿元军品合同 占去年营收逾13%,TechWeb
755,2019-12-19,午间公告：高德红外签两份军品订货合同,Wind
756,2019-12-19,午间公告：三维通信筹划收购万嘉通；高德红外签两份军品订货合同,e公司
757,2019-12-19,高德红外(002414.SZ)签订合计1.50亿元两份军品订货合同,格隆汇
758,2019-12-18,高德红外现1笔大宗交易 共成交499.79万元,新浪
759,2019-12-16,武汉科技|高德红外财务总监减持158204股 套现超300万元 减持股份,TechWeb
760,2019-12-16,高德红外：王玉合计减持0.017％公司股份,Wind
761,2019-12-16,高德红外(002414.SZ)：王玉减持15.82万股 减持计划已实施完毕 拟减持股份,格隆汇
762,2019-12-12,【招商军工|深度报告】军工行业持仓分析：内资持仓比例持续下滑，外资逆势大幅增持,招商军工研究
763,2019-12-11,高德红外：制造业要掌握核心技术 走高质量发展之路,发布易
764,2019-12-10,高德红外黄立荣获“最具影响力企业领袖”称号,上证报
765,2019-12-10,"高德红外现1笔大宗交易 共成交1,450.40万元",新浪
766,2019-12-06,"高德红外现1笔大宗交易 共成交1,564.80万元",新浪
767,2019-12-05,"高德红外现3笔大宗交易 共成交4,007.60万元",新浪
768,2019-12-05,年底雷声渐多，43股连续两年亏损，其中15股已资不抵债 亏损,证券时报
769,2019-12-04,高德红外现1笔大宗交易 共成交400.76万元,新浪
770,2019-12-02,"高德红外现4笔大宗交易 共成交1,670.72万元",新浪
771,2019-11-27,"高德红外现2笔大宗交易 共成交1,700.94万元",新浪
772,2019-11-27,热成像防控新冠，高德红外被国务院点名表扬,慧聪电子网
773,2019-11-15,高德红外：财务总监王玉拟减持不超过公司0.017%股份 减持股份,Wind
774,2019-11-15,高德红外(002414.SZ)：财务总监王玉拟减持不超15.8204万股 拟减持股份,格隆汇
775,2019-11-14,"高德红外现1笔大宗交易 共成交3,502.05万元",新浪
776,2019-11-12,高德红外(002414.SZ)实控人黄立解除质押2400万股,格隆汇
777,2019-11-07,高德红外(002414.SZ)：员工持股计划股份出售完毕,格隆汇
778,2019-11-07,高德红外：员工持股计划192.67万股股份出售完毕暨计划终止 资产异常,Wind
779,2019-11-07,武汉科技｜高德红外实控人质押股份累计过半 涉资约27亿元,TechWeb
780,2019-11-06,高德红外(002414.SZ)实控人黄立质押1100万股,格隆汇
781,2019-11-06,"高德红外现1笔大宗交易 共成交1,875.68万元",新浪
782,2019-11-04,【民生军工】国防军工2019年三季报综述：业绩环比提升，军工基本面持续向好,MS国防军工
783,2019-11-03,【兴业军工】军工板块2019年三季报总结：高基数致Q3单季营收利润下滑，不改行业景气向上趋势 盈利能力下降,国防军工参考
784,2019-10-30,拟投资12亿设立研究院 高德红外微机电系统业务提速,21世纪经济报道
785,2019-10-29,【中信建投军工|公司简评】高德红外点评：红外产品维持高速增长，营收利润大幅提升,韬扬军工高端制造沙龙
786,2019-10-28,高德红外：2019年年度业绩报告预告,深交所
787,2019-10-28,高德红外：前三季度净利润同比增142.29%,Wind
788,2019-10-22,高德红外(002414.SZ)：控股股东质押359.77万股,格隆汇
789,2019-10-22,高德红外：公司与华为就安防监控，车载等领域展开合作探讨,第一财经
790,2019-10-17,第七届军运会明日开幕 多家上市公司助力,上证报
791,2019-10-15,拓展红外技术民用领域应用 高德红外助力大兴机场“无感通关”,证券日报
792,2019-10-14,四大滞涨行业的业绩暴增股名单 7股折算滚动市盈率低于30倍,证券时报
793,2019-10-10,高德红外：大兴机场采用公司红外人体体温检测系统,第一财经
794,2019-09-27,下周487亿市值限售股解禁，环比增加70.72% 解禁,Wind
795,2019-09-27,三季报预喜股集中电子、科技领域 “聪明资金”提前布局,财富动力网
796,2019-09-25,[快讯]高德红外1950万限售股9月30日解禁 解禁,中财网
797,2019-09-25,高德红外：约1950.49万股解除限售股将上市流通 解禁,Wind
798,2019-09-25,高德红外(002414.SZ)：约1950.49万股限售股9月30日解禁 解禁,格隆汇
799,2019-09-20,扶稳“千斤顶” 湖北多措并举推动民营经济高质量发展,新华网
800,2019-09-18,[快讯]高德红外发布质押公告一股东累计质押12100万股,中财网
801,2019-09-18,高德红外(002414.SZ)实控人黄立质押800万股,格隆汇
802,2019-09-16,【高德红外】调研纪要20190902,EBSCN电子
803,2019-09-16,北上资金连续11日净流入 6股连续11日获加仓,证券时报
804,2019-09-09,高德红外：型号产品今年实现定型批产，促进公司产品应用的大幅提升,Wind
805,2019-09-08,沪电股份频获机构调研，今年以来已上涨278%,南方财经网
806,2019-09-06,高德红外：公司高管赵降龙减持约5.9万股，减持计划实施完毕 减持股份,Wind
807,2019-09-06,高德红外(002414.SZ)：赵降龙减持5.93万股 减持计划实施完毕 拟减持股份,格隆汇
808,2019-09-05,【高德红外】调研纪要20190902,EBSCN电子
809,2019-09-04,"高德红外2019年半年报点评报告:营收增速创历史新高,军民市场开花结果",浙商证券
810,2019-08-27,高德红外：十年耕耘，军民品业务迎来收获期,证券时报网
811,2019-08-27,“金字塔形”全产业链助力 高德红外上半年营收同比增长101.26%,证券日报
812,2019-08-27,高德红外(002414.SZ)前三季度净利润预增100%-150%,格隆汇
813,2019-08-27,【中信建投军工|公司简评】高德红外2019半年报点评：军民品同时发力，业绩高速增长,韬扬军工高端制造沙龙
814,2019-08-26,高德红外：上半年净利润同比增45.48%,Wind
815,2019-08-26,高德红外2019年上半年净利1.49亿工业在线测温产品线实现高增长,挖贝网
816,2019-08-26,高德红外：上半年净利1.49亿元 同比增长45.48%,第一财经
817,2019-08-26,高德红外(002414.SZ)半年度营收增长101.26% 净利润升45.48%,格隆汇
818,2019-08-21,8月22日涨停板早知道：七大利好有望发酵,新浪
819,2019-08-21,8月21日晚间上市公司十大重磅公告,巨丰财经
820,2019-08-21,高德红外：某型号红外热像产品中标军方项目,e公司
821,2019-08-21,高德红外(002414.SZ)收到某型号产品竞争择优中标的通知,格隆汇
822,2019-08-12,军民订单齐发力 大立科技发展进入快车道,e公司
823,2019-08-09,高德红外：反坦克WQ系统定型流程按军方制定的进度推进,Wind
824,2019-08-09,高德红外：反坦克WQ系统定型流程按军方制定的进度推进,e公司
825,2019-08-06,高德红外设立技术研究公司 搭建微机电系统产业集群,电鳗快报
826,2019-08-06,"ICT行业科创板个股及对标股表现点评系列之三:科创板热度保持高位,与对标股价格差距进一步拉大",首创证券
827,2019-08-05,高德红外拟与政府方共同搭建微机电系统应用制造平台,中证网
828,2019-08-05,融资客青睐8股，海亮股份买入占比高达52.68%,Wind
829,2019-08-01,券商评级：上证指数调整 九股迎来掘金良机,证券之星
830,2019-08-01,"高德红外事项点评:新签两份军品合同共7767万元,去年12月至今公布合同总计6.04亿",信达证券
831,2019-07-31,[快讯]高德红外发布解除质押公告一股东累计质押11300万股,中财网
832,2019-07-30,高德红外(002414.SZ)签订两份合计7767万元的军品订货合同,格隆汇
833,2019-07-30,高德红外：收到两份军品订货合同，合同总金额7767万元,Wind
834,2019-07-29,中航科创板投资手册之二：睿创微纳（688002）：发展向“红”，“外”谋扩张,微信
835,2019-07-29,高德红外：高管减持时间过半，未减持公司股份,Wind
836,2019-07-29,高德红外(002414.SZ)：赵降龙减持期过半 未减持公司股份,格隆汇
837,2019-07-28,高德红外股东黄立质押2650万股 公司去年净利同比增长126%,挖贝网
838,2019-07-26,三大核心数据还原真实科创板 看机构解读后市投资机会,第一财经
839,2019-07-26,[快讯]高德红外发布质押公告一股东累计质押14000万股,中财网
840,2019-07-26,高德红外(002414.SZ)实控人黄立质押2650万股,格隆汇
841,2019-07-22,高德红外龙虎榜数据（7月22日）,Wind
842,2019-07-22,睿创微纳登录科创板 开盘后涨幅达160%,新京报
843,2019-07-16,“成长+改革”打造军工板块投资逻辑 8只半年报预喜股受机构青睐,证券日报
844,2019-07-10,又有4科创板股定发行价！对标股涨停潮,证券时报
845,2019-07-07,工业综合：关注军工领域投资机会 荐13股,中信建投
846,2019-07-03,科创板002号003号中签率出炉 前三家平均中签率约0.058% 专家表示估值定价日益走向市场化,华夏时报
847,2019-07-01,科创板即将挂牌，高估值发行背后A股同业公司迎机遇,Wind
848,2019-07-01,睿创微纳定价20元/股 券商估值预期分歧大,全景网
849,2019-07-01,"军工行业中期投资策略:核心逻辑仍是资产证券化,优势民营企业崭露头角",信达证券
850,2019-06-27,科创板打新窗口开启！这几家A股公司请注意，首批科创板公司@你了,证券时报网
851,2019-06-26,高德红外(002414.SZ)：控股股东高德电气解除质押525万股,格隆汇
852,2019-06-26,[快讯]高德红外发布解除质押公告 涉及股份11350万股,中财网
853,2019-06-20,高德红外股东黄立质押480万股 公司去年净利同比增长126%,挖贝网
854,2019-06-19,[快讯]高德红外发布质押公告 涉及股份11875万股,中财网
855,2019-06-19,高德红外(002414.SZ)实控人质押480万股用于融资,格隆汇
856,2019-06-19,高德红外：实际控制人质押480万股,Wind
857,2019-06-18,睿创微纳将闯科创板定价发行关卡 估值方法、定价依据争议声悄起,21世纪经济报道
858,2019-06-17,军工板块逆市走强 机构看好低位布局机会,中证报
859,2019-06-17,改革有望加速推进 行业有望迎来底部反转！军工板块王者归来,投资快报
860,2019-06-16,睿创微纳提交科创板IPO注册稿，回复注册环节意见落实函,中金在线
861,2019-06-16,必看！科创板首批注册两家企业什么来头？行业江湖地位咋样？,中证报
862,2019-06-14,高德红外股东高德电气质押430万股 公司去年净利同比增长126%,挖贝网
863,2019-06-13,[路演]高德红外：已实现红外夜视等多任务军事应用,全景网
864,2019-06-13,"国防军工行业周报:授权清单印发,国企改革深化",国海证券
865,2019-06-12,高德红外(002414.SZ)：控股股东高德电气质押430万股,格隆汇
866,2019-06-12,[快讯]高德红外发布质押公告 涉及股份11395万股,中财网
867,2019-06-12,高德红外：公司控股股东质押430万股,Wind
868,2019-06-12,睿创微纳科创板过会：第一大客户为海康威视,面包财经
869,2019-06-10,山东企业的科创板“首考”来了，睿创微纳明天上会,IPO日报
870,2019-06-03,【中投早知道】2019-06-04,赢家之星
871,2019-06-03,高德红外：在制冷型大规模探测器芯片领域取得重大突破,e公司
872,2019-05-24,军工行业:高德红外、四创电子,正点财经
873,2019-05-21,高德红外：从配套到总装 不断扩展红外应用产业,证券时报网
874,2019-05-08,逾千家公司首季研发费净利双增 十大“成长王”蕴藏投资良机,证券日报
875,2019-05-05,工业综合：推荐关注绩优白马标的 荐15股,国海证券
876,2019-04-26,军品订单恢复增长 红外热成像公司业绩纷纷报喜,每日经济新闻
877,2019-04-24,高德红外2019年一季度净利597万元 董事长黄立持股1.78亿股,挖贝网
878,2019-04-24,高德红外实际控制人黄立质押1400万股 去年营收同比增长7%,挖贝网
879,2019-04-23,[快讯]高德红外发布质押公告 涉及股份9260万股,中财网
880,2019-04-23,高德红外1Q19净利增长262.36%至597.1万元,Ofweek
881,2019-04-22,高德红外：2019年半年度业绩报告预告,深交所
882,2019-04-22,高德红外(002414.SZ)一季度净利润增长262.36%至597.1万元,格隆汇
883,2019-04-22,高德红外：一季度净利润同比增262.36%,Wind
884,2019-04-22,媒体曝高德红外增长幻象 个人大股东怒怼对方不专业,新浪
885,2019-04-17,21家公司年报一季报业绩有望双翻番社保基金重仓持有4只个股,证券日报
886,2019-04-16,军工行业:高德红外、四创电子,正点财经
887,2019-04-12,高德红外签订1.31亿元军品订货合同 占上年总营收的12.11%,中证网
888,2019-04-12,高德红外：收到1.31亿元某型号军品订货合同,Wind
889,2019-04-10,高德红外：与武汉消防达成战略合作,e公司
890,2019-04-08,高德红外：公司实际控制人质押640万股,Wind
891,2019-04-08,[快讯]高德红外发布质押公告 涉及股份8960万股,中财网
892,2019-04-08,高德红外(002414.SZ),格隆汇
893,2019-04-07,高德红外：副总经理拟减持不超4万股 减持股份,Wind
894,2019-03-31,【国君电子科创研究】睿创微纳：军用及民用红外热成像领导者,小葱看电子
895,2019-03-30,失色的科创名单之：审视科创板受理企业的科技“含金量”,红周刊
896,2019-03-30,失色的科创名单之：睿创微纳“突击增肥”冲刺科创板，偏高的毛利率“成色不足”,红周刊
897,2019-03-29,高德红外2018年净利1.32亿元 同比增长125.98%,Ofweek
898,2019-03-28,一季报预热开始，3股打头阵，16只5倍股大放异彩,Wind
899,2019-03-27,高德红外去年净利1.32亿元 同比增长126% 董事长黄立年薪90万元,挖贝网
900,2019-03-27,"高德红外年报点评:净利润同比增长1.26倍,资产减值损失大幅减少是主因",东莞证券
901,2019-03-26,高德红外：18年业绩高速增长，看好公司红外产业长期发展,证券时报网
902,2019-03-26,A股早报2019年3月26日星期二,Wind
903,2019-03-26,26日最新公告透露利好 20只个股有潜力,中金在线
904,2019-03-25,高德红外(002414.SZ)2018年净利润升125.98%至1.32亿元 拟10转增5股派0.3元,格隆汇
905,2019-03-25,高德红外2018年净利润同比增长125.98% 拟10派0.3元转增5股,中证网
906,2019-03-25,高德红外：2018年净利润同比增126%，拟10派5派0.3元,Wind
907,2019-03-25,科创板带动A股科技股重估？首批9家受理企业稀缺性大调查,券商中国
908,2019-03-25,科创板带动A股科技股重估？首批9家受理企业稀缺性大调查，A股有哪些对标企业？,券商中国
909,2019-03-25,睿创微纳 八成毛利来源于机芯和探测器,新京报
910,2019-03-23,科创板系列 · 二：睿创微纳,电子后花园
911,2019-03-23,【中信建投军工|行业动态】当前继续看好军工板块的三大逻辑,韬扬军工高端制造沙龙
912,2019-03-19,军工行业:高德红外、四创电子,信达证券
913,2019-03-12,这批股票去年业绩预喜 净利润增长超50%+多头排列,证券时报
914,2019-02-28,"国防军工行业周报:泰州舰亮剑东海立体作战,飞龙-1无人机实现首飞",正点财经
915,2019-02-27,高德红外：2018年净利润同比增124.63%（快报）,Wind
916,2019-02-25,高德红外：应邀参加武警部队科技创新装备展,e公司
917,2019-02-25,"国防军工行业周报:市场风险偏好提升,看好军工板块表现",国海证券
918,2019-02-21,【招商军工】军工整体配置比例仍低，主动型基金重仓航空产业链——2018Q4公募基金军工持仓分析,招商军工研究
919,2019-02-19,军工行业:中航飞机,正点财经
920,2019-02-19,东兴证券：高德红外买入评级,东兴证券
921,2019-02-18,【国盛军工｜E周刊】111期〓逆周期叠加高景气，民参军关注度提升—2019年第7周报@02.17,毅军凸起
922,2019-02-02,"国防军工行业周报:军工增长稳健,看好网络安全领域",东兴证券
923,2019-02-01,高德红外净利润预增120%-140% 达到1.29亿元-1.40亿元,Ofweek
924,2019-01-28,"国防军工行业2018Q4基金持仓分析:逆周期叠加高景气,民参军关注度提",正点财经
925,2019-01-24,[快讯]高德红外发布质押公告 涉及股份8320万股,中财网
926,2019-01-21,"国防军工行业周报:民船重组有望,军船持续景气",国海证券
927,2019-01-17,[快讯]高德红外发布解除质押公告 涉及股份8100万股,中财网
928,2019-01-16,高德红外副总经理张海涛辞职 年薪43万元 董监高成员变化,挖贝网
929,2019-01-16,国防军工行业周报:对今年军工行情可以更加乐观,东兴证券
930,2019-01-16,"军工行业周报:两大军工集团入选国资委“示范名单”,坚定看好军工长期投资价值",申万宏源
931,2019-01-15,[快讯]高德红外发布质押公告 涉及股份9474万股,中财网
932,2019-01-15,高德红外实控人黄立质押1300万股 用于融资,挖贝网
933,2019-01-14,"国防军工行业周报:打造一流示范企业,国企改革加速深化",国海证券
934,2019-01-06,高德红外：制冷型红外焦平面探测器生产线已批量生产,Wind
935,2019-01-02,"国防军工行业周报:新版目录发布,大幅降低准入门槛",国海证券
936,2018-12-28,[快讯]高德红外:广发证券股份有限公司公司部分募集资金投资项目结项并将节余募集资金永久补充流动资金的核查意见,中财网
937,2018-12-24,高德红外6200万元分次回购子公司股份,中证网
938,2018-12-19,高德红外：看好高德红外的四大理由 强烈推荐评级,东兴证券
939,2018-12-18,4万亿蠢蠢欲动，军工“小资产大集团”逐渐改观,Wind
940,2018-12-13,券商评级:三大股指全线上扬 七股迎腾飞契机,证券之星
941,2018-12-13,技术面开始走牛，这10股业绩还将爆发式增长！,证券时报
942,2018-12-13,"高德红外动态点评:大额订单支撑业绩,红外龙头前景广阔",国海证券
943,2018-12-11,34股获券商买入评级 保利地产目标涨幅达65.76%,Wind
944,2018-12-11,缩量盘整A股步入关键窗口期 33只强势股连涨3天,证券日报
945,2018-12-11,"军工行业周报:装备系统专项整肃对总装主体影响有限,坚定看好军工长期投资价值",申万宏源
946,2018-12-10,董秘解码：高德红外掌握了红外行业的核心技术,巨丰财经
947,2018-12-08,市场人气涣散成交低迷 下周留意这只军工概念股,金融界
948,2018-12-07,7日晚间公告精选丨比亚迪：控股股东王传福拟增持100万股,21世纪经济报道
949,2018-12-07,公告精选：王传福拟增持比亚迪 西藏德恒溢价176%受让ST宏盛股权,e公司
