,2021-12-31,长沙实现数字人民币税款缴纳全流程,中国金融新闻网
2938,2020-09-01,交通银行：陈青辞去职工监事职务 董监高成员变化,Wind
2939,2020-09-01,半年报季银行股价哪家强：城商行表现抢眼，国有大行整体萎靡,澎湃新闻
2940,2020-09-01,半年报里的秘密：银行拨备计提实情,21世纪经济报道
2941,2020-09-01,21深度丨半年报里的秘密：银行拨备计提实情,21世纪经济报道
2942,2020-09-01,银行让利是否冲击消费贷？六大行中报给出答案,和讯
2943,2020-09-01,上市银行“风控强基”支持实体力度加强,经济日报
2944,2020-09-01,【交通银行】疫情影响资产质量，实质业绩增速平稳,志明看金融
2945,2020-09-01,交行行长刘珺：银行必须实现多层次发展 使产品和服务多样化,新浪
2946,2020-09-01,8月商业银行债发行规模超千亿元，创5月以来新高,Wind
2947,2020-09-01,彭清华会见交通银行董事长任德奇,证券时报网
2948,2020-09-01,A股融资融券日报：两融余额增加106.79亿元（8月31日）,Wind
2949,2020-09-01,每日理财观察：央行指出下阶段重点推动银行间各类基准利率的广泛运用,Wind
2950,2020-09-01,六大行净利润平均下降10%：并非经营不善，而是“拨备计提”调节 盈利能力下降,AI财经社
2951,2020-09-01,六大国有行上半年盈利5663亿基本盘平稳 新增普惠金融贷款超万亿平均增速31%,长江商报
2952,2020-09-01,上海银行业看上了一个地区，通过这里能打破银行内部的区域壁垒吗？,上观
2953,2020-09-01,加大拔备、让利实体,时代周报
2954,2020-09-01,加大拨备让利实体 银行业绩负增长无需悲观,时代在线
2955,2020-09-01,国有五大行大手笔稳就业逆势校招逾6万人,证券时报
2956,2020-09-01,净利滑坡息差收窄 国有行高管怎么说 盈利能力下降,北京商报
2957,2020-09-01,解构上市银行上半年资产质量,21世纪经济报道
2958,2020-08-31,【财报眼】上半年国有银行净利润普降一成 四大行高管同日回应市场关切 盈利能力下降,新浪
2959,2020-08-31,聚焦中报业绩会 面对净利滑坡、息差收窄国有行高管如何作答？,北京商报
2960,2020-08-31,精准帮扶：交行云南分行助力2608人摆脱贫困,中国金融新闻网
2961,2020-08-31,银行果然降薪了：国有五大行收入垫底 盈利能力下降,Wind
2962,2020-08-31,交通银行上半年净利降15% 贷款减值损失311亿元增41% 盈利能力下降,中国经济网
2963,2020-08-31,花旗：予交行(3328.HK)买入评级 目标价5.67港元,格隆汇
2964,2020-08-31,银行果然降薪了，这家薪酬最高银行上半年减少3万，国有五大行收入垫底，却有银行逆势加薪,中国基金报
2965,2020-08-31,6大行半年少赚724亿，普惠金融增速仅一家不到20% 盈利能力下降,第一财经
2966,2020-08-31,【媒体聚焦】“火锅金融”助麻辣产业香飘山城,央行
2967,2020-08-31,浪潮信息(000977)2020年中报点评：逻辑持续验证 高景气有望延续,新浪
2968,2020-08-31,交通银行河北省分行“百行进万企”活动取得积极成效,中国金融新闻网
2969,2020-08-31,美银证券：下调交行(3328.HK)目标价至5.1港元评级“跑输大市” 机构下调估值,格隆汇
2970,2020-08-31,汇丰研究：下调交行(3328.HK)目标价至5.8港元评级买入 机构下调估值,格隆汇
2971,2020-08-31,美银美林：下调交通银行(03328)目标价至5.1港元，维持“跑输大市”评级 机构下调估值,智通财经
2972,2020-08-31,专访交行副行长殷久勇:零售转型之下 交行如何助力消费潜力释放？,新浪
2973,2020-08-31,六大行上半年净利润集体下降，银行股四季度估值切换值得关注丨牛熊眼 盈利能力下降,第一财经
2974,2020-08-31,银行净利下滑息差收窄 下半年整体盈利有望改善,北京商报
2975,2020-08-31,猛增1.5万亿，私行财富爆发！,中国基金报
2976,2020-08-31,六大行中报出炉：上半年日赚31亿，银行股还有机会吗？,中证报
2977,2020-08-31,刚刚出炉！猛增1.5万亿，私行财富大爆发！“一哥”2.5万亿最牛,Wind
2978,2020-08-31,六大银行盈利大揭秘,中证报
2979,2020-08-31,六大国有银行净利润下降两位数背后：为不良资产“未雨绸缪”与实体经济“共担风雨” 盈利能力下降,上证报
2980,2020-08-31,基金热卖 销售机构赚翻,中国基金报
2981,2020-08-31,六大行少赚700亿 银行直面业绩考题 盈利能力下降,北京商报
2982,2020-08-30,战疫情、助小微、促脱贫 交通银行四川省分行奋力打造金融赋能新标尺,每日经济新闻
2983,2020-08-30,上半年日赚31亿！六大行中报出炉，谁赚得最多？银行股还有机会吗？,中证报
2984,2020-08-30,六大行“让利”，上半年净利齐降：日均“少挣”4亿，不良贷款额合计超万亿 盈利能力下降,搜狐
2985,2020-08-30,半数归母净利下滑、五成不良率抬头 36份中报还原银行业上半年“光景” 盈利能力下降,北京商报
2986,2020-08-30,晚间重要公告2020年8月30日星期日,Wind
2987,2020-08-30,国有六大行上半年日赚31亿元，净利润同比整体下滑 盈利能力下降,Wind
2988,2020-08-30,交行广西分行：推进业务创新 助力新兴产业发展,中国金融新闻网
2989,2020-08-30,交行：充分发挥长三角“主场”优势,中国金融新闻网
2990,2020-08-29,投资人眼中的圣湘生物：如何从濒临破产到“抗疫第一股”？,经济观察网
2991,2020-08-29,净利首现负增长、不良微增，交行中报业绩会回应：增厚拨备根基，抗风险能力会更强,经济观察网
2992,2020-08-29,交行(03328-HK)：派息政策或变未有结论,财华社
2993,2020-08-29,150家金融机构携手亮相 金融科技新成果 集中“上新”服贸会,北京日报
2994,2020-08-29,百行进万企系列报道十九：优化资源配置 大力推广线上融资产品,新浪
2995,2020-08-29,交行上半年贷款增量创新高，下半年计划压降结构性存款、大额存单各500亿,证券时报
2996,2020-08-29,银行股重头戏开场！首份国有大行半年报来了 交行数字化转型加快,中证报
2997,2020-08-29,Wind风控日报2020年8月29日星期六,Wind
2998,2020-08-29,主动让利、增厚拨备 交行年度净经营收入目标未变,上证报
2999,2020-08-29,上半年净经营收入同比增长7.31% 多牌照优势助力交行改革换新颜,中证报
3000,2020-08-29,上市公司正负面新闻2020年8月29日星期六,Wind
3001,2020-08-28,银行股重头戏开场：交行中报营收增长7.31% 净利减少14.61% 盈利能力下降,中证报
3002,2020-08-28,首家国有大行半年报出炉！交行上半年净经营收入同比增长7.31%,每日经济新闻
3003,2020-08-28,交通银行(601328.SH)：宋国斌辞任董事职务 董监高成员变化,格隆汇
3004,2020-08-28,森特股份(603098.SH)拟向交通银行申请5亿元综合授信额度,格隆汇
3005,2020-08-28,银行股重头戏开场！首份国有大行半年报来了，基本面关键指标一一披露,Wind
3006,2020-08-28,银行股重头戏开场！首份国有大行半年报来了，基本面关键指标一一披露,中证报
3007,2020-08-28,首份国有大行半年报：交通银行上半年净利润下降14.61% 不良“双升” 盈利能力下降,新华网
3008,2020-08-28,不良、净息差、分红未来趋势如何？交行半年报业绩会给出答案,第一财经
3009,2020-08-28,交通银行(03328)建议委任汪林平为非执行董事等职,智通财经
3010,2020-08-28,本周央行及银保监会行政处罚汇总：年内银行系统最大两笔罚单诞生 金融监管处罚,Wind
3011,2020-08-28,交通银行(03328)拟于9月7日派发境内优先股股息每股3.9元,智通财经
3012,2020-08-28,首份国有大行2020年中报登场 交通银行归母净利润下滑14.61% 盈利能力下降,北京商报
3013,2020-08-28,[快讯]交行回应净利润负增长：是主动让利等多因素叠加结果,全景网
3014,2020-08-28,[快讯]交通银行：将数字化思维贯穿经营管理各项工作全链条,全景网
3015,2020-08-28,[快讯]交通银行2020年上半年净利润365亿元,全景网
3016,2020-08-28,交通银行上半年净利润365亿降14.61%，不良“双升” 盈利能力下降,澎湃新闻
3017,2020-08-28,晚间重要公告2020年8月28日星期五,Wind
3018,2020-08-28,交通银行(601328.SH)：上半年净利降14.6%至365.05亿元 盈利能力下降,格隆汇
3019,2020-08-28,[快讯]交通银行郭莽：健全行内外数据交互机制 持续释放深化改革红利,全景网
3020,2020-08-28,交通银行：上半年净利同比下降14.61% 盈利能力下降,e公司
3021,2020-08-28,交通银行：宋国斌辞去公司非执行董事等职务 董监高成员变化,Wind
3022,2020-08-28,减费让利增厚拨备 交行上半年净利润同比减少14.61% 盈利能力下降,上证报
3023,2020-08-28,交通银行半年报：上半年净利润365.05亿元 同比下降14.61% 盈利能力下降,新浪
3024,2020-08-28,交通银行：上半年净经营收入1269.59亿元 同比增长7.31%,中证网
3025,2020-08-28,交通银行：上半年实现净利润365.05亿元 同比下降14.61% 盈利能力下降,新浪
3026,2020-08-28,交通银行(03328-HK)中期盈利365.05亿跌15% 盈利能力下降,财华社
3027,2020-08-28,交通银行(03328)中期净利润下降14.61%至365.05亿元 盈利能力下降,凤凰网
3028,2020-08-28,交通银行(03328.HK)上半年净利降14.6%至365.05亿元 盈利能力下降,格隆汇
3029,2020-08-28,交通银行(03328)中期净利润同比减少14.61%至365.05亿元 不良贷款率为1.68% 盈利能力下降,智通财经
3030,2020-08-28,交通银行：上半年净利润365.05亿元，同比下滑14.61% 盈利能力下降,Wind
3031,2020-08-28,A股融资融券日报：两融余额增加32.37亿元（8月27日）,Wind
3032,2020-08-28,年内32家银行127位董监高职位调整 70后高管加速补位,证券日报
3033,2020-08-27,亚太实业：前三季度预计同比扭亏,Wind
3034,2020-08-27,交通银行河北省分行“线上抵押贷”业务贷款余额突破10亿元,中国金融新闻网
3035,2020-08-27,一触即达跨境共享 交行参展2020年服贸会金融服务专题展,和讯
3036,2020-08-27,为这样的网红打卡地点赞！,中国金融新闻网
3037,2020-08-27,剧透！服贸会金融服务专题展有这些新亮点,北京日报
3038,2020-08-27,交通银行：法院定于9月9日召开英利能源等6公司实质合并重整案第一次债权人会议 减资破产,Wind
3039,2020-08-27,国有大行放大招：工行、农行、中行、建行、交行校招超5万人！,金融时报
3040,2020-08-27,交行推出“e证行”对公开户服务,证券导报
3041,2020-08-27,A股融资融券日报：两融余额减少69.23亿元（8月26日）,Wind
3042,2020-08-27,长亮科技中标交行信用卡新核心项目 推动国有大行安全可控进程,中新网
3043,2020-08-26,鸡鸣脱贫，焕然一新 ——交行重庆市分行调研城口县鸡鸣乡脱贫攻坚工作,上游新闻
3044,2020-08-26,区域发展战略下，银行理财都有哪些新机会？,和讯
3045,2020-08-26,交通银行：交银金融科技公司在沪成立，注册资本6亿元,零壹财经
3046,2020-08-26,交行信用卡中心案件急增遭嫌弃 平安财险拒服务惹官司 诉讼纠纷,中国经济网
3047,2020-08-26,A股融资融券日报：两融余额减少7.68亿元（8月25日）,Wind
3048,2020-08-26,上市公司正负面新闻2020年8月26日星期三,Wind
3049,2020-08-25,交通银行旗下交银金融科技有限公司正式成立,中保网
3050,2020-08-25,张向东获任交通银行(03328)独立非执行董事等职务,智通财经
3051,2020-08-25,交通银行(03328.HK)：中国银保监会核准张向东任公司独立非执行董事,格隆汇
3052,2020-08-25,晚间重要公告2020年8月25日星期二,Wind
3053,2020-08-25,交行旗下金融科技子公司正式成立,证券时报
3054,2020-08-25,交通银行(601328.SH)：科技子公司交银金科注册成立,格隆汇
3055,2020-08-25,交通银行(601328.SH)：张向东董事任职资格获监管机构核准,格隆汇
3056,2020-08-25,交通银行：交银金融科技公司注册成立,e公司
3057,2020-08-25,交通银行：交银金融科技公司注册成立,Wind
3058,2020-08-25,交通银行河北分行实现全渠道线上缴费 助力地方非税电子化收缴改革,中国金融新闻网
3059,2020-08-25,央行漳州市中心支行：对交通银行漳州分行作出行政处罚，罚款1万元 金融监管处罚,Wind
3060,2020-08-25,A股融资融券日报：两融余额增加76.78亿元（8月24日）,Wind
3061,2020-08-24,把“软实力”打造成“硬通货” 交通银行助力科创与制造深度融合,每日经济新闻
3062,2020-08-24,交通银行河北省分行“三举措” 助力地方实体经济发展,中国金融新闻网
3063,2020-08-24,交通银行陷入信用卡纠纷又频收罚单 被摩根大通下调A股评级 金融监管处罚,投资时报
3064,2020-08-24,摩根大通下调交行、光大银行A股评级 预计二季度行业净利减少24% 投资评级恶化,新浪
3065,2020-08-24,A股融资融券日报：两融余额减少10.67亿元（8月21日）,Wind
3066,2020-08-24,从“制造”到“智造” 交通银行多措并举为制造业“输血蓄力”,每日经济新闻
3067,2020-08-22,盘龙区加强银政合作推进共赢发展,云南经济日报
3068,2020-08-21,交通银行河北省分行持续做好稳外贸 稳外资促消费金融服务工作,中国金融新闻网
3069,2020-08-21,渝开发拟将交通银行5.4亿开发贷利率变更为固定利率 即4.9875%,观点地产网
3070,2020-08-21,交行不断丰富“单一窗口”服务 精准支持外贸企业发展,中国金融新闻网
3071,2020-08-21,A股融资融券日报：两融余额减少19.27亿元（8月20日）,Wind
3072,2020-08-20,创新提质跨境金融服务 交通银行力挺制造业“乘风破浪”,每日经济新闻
3073,2020-08-20,中国银行业协会银行卡专业委员会圆满换届 中国光大银行连任第五届主任单位,银行业协会
3074,2020-08-20,内银股普跌 建设银行下跌3%交行下跌2%,新浪
3075,2020-08-20,交行海甸支行成功举办客户扇画体验活动,证券导报
3076,2020-08-20,交行上线国际贸易单一窗口金融服务平台,证券导报
3077,2020-08-20,助力自贸区临港新片区建设，上海银行业贷款余额947亿元,Wind
3078,2020-08-20,银行理财子公司纯权益类产品仅三只，权益类资产配比正逐步提升,Wind
3079,2020-08-19,摩根大通：下调交通银行、光大银行A股评级 投资评级恶化,格隆汇
3080,2020-08-18,交通银行推出“e证行”对公开户服务,中国金融新闻网
3081,2020-08-18,交通银行涉泄露客户信息被罚100万元 因反洗钱不力近期也被罚 安全事故,中国网
3082,2020-08-18,2020上海企业百强榜出炉：交通银行、中国太保位列前五,零壹财经
3083,2020-08-18,2020上海服务业企业百强榜发布，纳税贡献最大的竟是它（附榜单）,上观
3084,2020-08-18,交行黑龙江分行被罚53万：未按规定履行客户身份识别义务 金融监管处罚,新浪
3085,2020-08-18,山西晋城无烟煤矿业集团：变更“20晋煤MTN012”募资用途,Wind
3086,2020-08-18,交通银行信用卡被盗刷2.3万 银行称其无过错法院判赔 安全事故,中国经济网
3087,2020-08-17,交通银行：科技创新赋能制造领域 金融甘霖润泽小微企业,每日经济新闻
3088,2020-08-17,深度*行业*银行业周报：银行业中期业绩利空落地 业绩期关注绩优个股,新浪
3089,2020-08-17,国内资产管理公司研究系列之一-交银施罗德基金：以业绩为驱动力的银行系金牛基金公司,光大证券
3090,2020-08-17,交行重庆市分行： 落实餐饮金融支撑，做好“六稳”落实“六保”,上游新闻
3091,2020-08-17,6月末上海主要中外资商业银行支持临港新片区建设贷款余额为947亿元,Wind
3092,2020-08-17,上海银行业支持临港新片区建设贷款余额947亿元，不良贷款率0.42%,证券时报
3093,2020-08-17,交行海南省分行：引入境外投资者投资地方政府债业务,--
3094,2020-08-17,交通银行(03328.HK)8月28日举行董事会会议以审批中期业绩,格隆汇
3095,2020-08-17,交通银行江苏省分行落地系统内首笔 标准版“单一窗口”贸易融资业务,凤凰网
3096,2020-08-17,银行行业报告：首份上市行中报落地稳定预期 看好银行低估值修复行情,新浪
3097,2020-08-17,抵押贷优于普通房贷？仅限少数优质客户,搜狐
3098,2020-08-17,交通银行信用卡中心被罚100万 罚单列举两件违法事由 金融监管处罚,投资者网
3099,2020-08-17,A股融资融券日报：两融余额减少67.88亿元（8月14日）,Wind
3100,2020-08-17,泄露客户信息被罚 人事迭代中的交通银行增长乏力,投资者网
3101,2020-08-16,发挥国有大行“头雁”效应 交通银行倾力支持制造业高质量发展,每日经济新闻
3102,2020-08-16,交通银行成功上线国际贸易“单一窗口”标准版金融服务,新华网
3103,2020-08-15,央行及银保监会行政处罚汇总（8月10日-8月14日）：本周诞生两笔超千万罚单 金融监管处罚,Wind
3104,2020-08-15,交通银行推出“e证行”对公开户服务,中新网
3105,2020-08-14,交通银行调查报告：中国小康家庭投资意愿回升,中新网
3106,2020-08-14,公牛集团股份有限公司关于使用,证券时报
3107,2020-08-14,实锤来了！央行7月并没有入场买国债,Wind
3108,2020-08-14,银行股拉升背后：破净率超七成，外资提前抢筹,Wind
3109,2020-08-14,多家银行发力推行黄金挂钩结构性产品 一图读懂怎么买、买哪家,21世纪经济报道
3110,2020-08-14,交行获2019年中国银行业社会责任五项表彰,中国金融新闻网
3111,2020-08-14,送达诉状副本及开庭传票——交通银行股份有限公司太平洋信用卡中心 诉讼纠纷,上海高级人民法院
3112,2020-08-14,交行代理首家基金公司参与外汇询价中央对手清算,中国金融新闻网
3113,2020-08-14,华西证券上半年支付职工现金增40% 年内仅过会1单IPO,中国经济网
3114,2020-08-14,智通港股通资金流向统计(T+2)|8月14日,智通财经
3115,2020-08-14,央行漳州市中心支行：对交通银行漳州分行作出行政处罚，罚款25万元 金融监管处罚,Wind
3116,2020-08-13,交行、招行、民生信用卡被盗刷后逾期 消除不良征信为何“犯了难”？,新浪
3117,2020-08-13,交行新行长刘珺谈资产配置，提升居民投资收益他提了三个建议,第一财经
3118,2020-08-13,降薪传闻四起，“金饭碗”还香吗？一文揭开金融业薪酬全景图,腾讯网
3119,2020-08-13,交行广西分行推动广西首笔一级市场“债券通”业务落地,中国金融新闻网
3120,2020-08-13,个人房贷将统一转为LPR,北青网
3121,2020-08-13,8月25日起个人房贷批量转LPR定价 批量转换后利率如何定？,新浪
3122,2020-08-13,银行半月内收罚单70张罚金超4000万元，年内最贵罚单涉及12项违规 金融监管处罚,Wind
3123,2020-08-12,你决定了吗？五大行同日通知：LPR转换“我替你操作”,新浪
3124,2020-08-12,中国短期融资券及中期票据信用分析周报,新浪
3125,2020-08-12,五家大行自8月25日起将存量个人房贷定价基准批量转换为LPR,上证报
3126,2020-08-12,交行行长刘珺：当前形势下的居民资产配置,新浪
3127,2020-08-12,A股融资融券日报：两融余额减少63.28亿元（8月11日）,Wind
3128,2020-08-12,7月份关键经济数据将揭晓，这一指标有望年内首次回正,第一财经
3129,2020-08-12,7月信贷增速放缓，“稳货币＋调结构”唱主调,Wind
3130,2020-08-11,交行漳州分行被罚25万：未按规定报送大额交易报告 金融监管处罚,新浪
3131,2020-08-11,交通银行漳州分行违法副行长遭罚 未依规报送大额交易 金融监管处罚,中国经济网
3132,2020-08-11,交通银行授信200亿元支持均瑶集团,陆家嘴金融网
3133,2020-08-11,A股融资融券日报：两融余额增加64.09亿元（8月10日）,Wind
3134,2020-08-10,郑商所：推进业务创新 加大产业服务力度,期货日报网
3135,2020-08-10,交通银行拟发行不超300亿元永续债获批,北京商报
3136,2020-08-10,青岛银行副行长领衔近20位A股银行高管离任，为什么？,搜狐
3137,2020-08-10,晚间重要公告2020年8月10日星期一,Wind
3138,2020-08-10,中国10家银行上榜《财富》世界500强，利润占124家上榜大陆企业利润总额44%,搜狐
3139,2020-08-10,交通银行(03328)发行无固定期限资本债券获中国人民银行批复,智通财经
3140,2020-08-10,交通银行(03328.HK)：获准发行不超300亿元无固定期限资本债券,格隆汇
3141,2020-08-10,资管新规过渡期延一年，银行理财子现在忙些啥？,第一财经
3142,2020-08-10,交行四川分行：抗疫扶贫两手抓,中国金融新闻网
3143,2020-08-10,银行业科技赋能进行时：线上服务质效提升,中国金融新闻网
3144,2020-08-10,交通银行(601328.SH)：发行300亿元无固定期限资本债券获中国人民银行批复,格隆汇
3145,2020-08-10,交通银行：公开发行不超300亿无固定期限资本债券获央行核准批复,Wind
3146,2020-08-10,尴尬！这张万亿市场的“大饼”，催收业吃得下吗？,和讯
3147,2020-08-10,江西首发地方特色商标权质押融资产品,中国证券网
3148,2020-08-10,A股融资融券日报：两融余额减少84.42亿元（8月7日）,Wind
3149,2020-08-10,中国7月CPI同比增长2.7%，猪肉价格同比涨85.7%,Wind
3150,2020-08-10,交行招行均被罚百万元 个人信息保护进入严监管时代,上证报
3151,2020-08-09,2020年服贸会金融服务专题展9月亮相,Wind
3152,2020-08-08,央行及银保监会行政处罚汇总（8月3日-8月7日） 金融监管处罚,Wind
3153,2020-08-08,8月首周开出罚单近80张，银行业监管呈精细化趋势,Wind
3154,2020-08-08,7月中国外贸创年内新高： 出口大增10.4%，对美贸易进一步下滑,21世纪经济报道
3155,2020-08-08,7月外储创六年最大单月增幅 “双循环”利于外储规模总体稳定,21世纪经济报道
3156,2020-08-07,吉林银保监局：对交通银行长春亚泰支行作出行政处罚，罚款30万元 金融监管处罚,Wind
3157,2020-08-07,票据到期未承兑能否收回？ 知名药企马应龙与交行、浦发“算旧账”,新浪
3158,2020-08-07,银保监会核准刘珺任交通银行副董事长,证券时报
3159,2020-08-07,因办理无真实贸易背景票据业务，交通银行一支行被罚30万 金融监管处罚,中新经纬
3160,2020-08-07,中国银保监核准刘珺任交通银行(03328)副董事长、执行董事的任职资格,智通财经
3161,2020-08-07,交通银行：副董事长刘珺任职资格获核准,e公司
3162,2020-08-07,交通银行(03328.HK)：银保监会核准刘珺副董事长及执董任职资格,格隆汇
3163,2020-08-07,招行、交行信用卡部门各被罚百万:对客户信息未尽安全保护义务,中国证券网
3164,2020-08-07,交通银行亚泰支行违法遭罚 办理无真实贸易背景票据 金融监管处罚,中国经济网
3165,2020-08-07,交通银行(601328.SH)：刘珺副董事长、执行董事任职资格获监管机构核准,格隆汇
3166,2020-08-07,广州安必平医药科技股份有限公司首次公开发行股票并在科创板上,证券时报
3167,2020-08-07,他是马云的信徒自己创业后对马云的看法变了,猎云网
3168,2020-08-07,交行长春亚泰支行被罚30万：办理无真实贸易背景票据业务 金融监管处罚,新浪
3169,2020-08-07,“增量降本”：科技成银行普惠小微利器,新浪
3170,2020-08-06,山西省联社党委原副书记王再升被调查 不足一个月四位被查 其他违规处罚,每日经济新闻
3171,2020-08-06,CURRENT AFFAIRS,中国金融新闻网
3172,2020-08-06,监管出手，10余家银行被罚超1000万！ 金融监管处罚,中国基金报
3173,2020-08-06,交通银行太平洋信用卡中心违法遭罚100万 管理不审慎 金融监管处罚,中国经济网
3174,2020-08-06,交行落地全国首批银担“总对总”批量担保业务,证券导报
3175,2020-08-06,交行招行分别被罚100万：对客户个人信息未尽安全保护义务,澎湃新闻
3176,2020-08-06,交行江苏分行为经济高质量发展注入金融动力,中国金融新闻网
3177,2020-08-06,监管出手，10余家银行被罚超1000万！招行、交行、浦发等中招 金融监管处罚,中国基金报
3178,2020-08-05,高压反腐！山西省农信联社又一退休高层落马，此前已有3名领导干部被查 董监高成员变化,每日经济新闻
3179,2020-08-05,"因这几项违规,交行、招行各有一家信用卡中心收百万罚单 其他违规处罚",中新经纬
3180,2020-08-05,因催收外包管理严重不审慎等 交行信用卡中心被罚100万元,北京商报
3181,2020-08-05,上海银保监局：对交通银行太平洋信用卡中心作出行政处罚，罚款100万元 金融监管处罚,Wind
3182,2020-08-05,涉未保护客户个人信息等违规行为，招商银行信用卡中心被罚100万元 金融监管处罚,搜狐
3183,2020-08-05,催收管理和信息保护违规 交行、招行信用卡中心吃百万罚单 其他违规处罚,新浪
3184,2020-08-05,交行信用卡中心被罚100万：对部分信用卡催收外包管理严重不审慎,新浪
3185,2020-08-05,银行行长离职去哪儿了？密集“下海”案例锐减 董监高成员变化,Wind
3186,2020-08-05,银行高管频离职 “70后”加速补位 董监高成员变化,中证报
3187,2020-08-04,年内近20起上市银行高管离职 70后加速补位 董监高成员变化,新浪
3188,2020-08-04,上市银行行长离职去哪儿了？“下海”锐减 离任原因主要有三 董监高成员变化,中证报
3189,2020-08-04,中国证监会行政处罚决定书（戴志标） 金融监管处罚,证监会
3190,2020-08-04,公募基金持银行股比例降至历史次低,Wind
3191,2020-08-04,基金持仓占比降至历史次新低，银行保险为何“失宠”？,Wind
3192,2020-08-04,黄金价格大涨之后门店消费冷清，实物回购火热,Wind
3193,2020-08-03,2020年上半年银行罚单1151张 市场乱象整治显成效,和讯
3194,2020-08-03,银行二级资本债券发行下半年热度不减，7月份发行规模达415亿元,Wind
3195,2020-08-03,银行股遇尴尬：股东高管买买买、公募基金卖卖卖,Wind
3196,2020-08-03,原油宝“后遗症”？多家银行暂停账户铂金、钯金开仓,国际金融报
3197,2020-08-02,银行股迎来投资“两极世界”：公募仓位降至历史最低，高管却在买买买,券商中国
3198,2020-08-02,银行股又迎尴尬时刻！公募疯狂减持，仓位降至历史次低，银行股东、高管却在买买买,券商中国
3199,2020-08-01,央行及银保监会行政处罚汇总（7月27日-7月31日） 金融监管处罚,Wind
3200,2020-08-01,7月A股减持额近千亿，科技龙头不惧减持逆势而上,Wind
3201,2020-08-01,央行哈尔滨中心支行：对交通银行黑龙江省分行作出行政处罚，罚款53万元 金融监管处罚,Wind
3202,2020-08-01,泰州银保监局：对交通银行泰州分行作出行政处罚，罚款50万元 金融监管处罚,Wind
3203,2020-07-31,郑煤机(00564)拟向交通银行河南省分行申请3亿元中长期流动资金贷款,智通财经
3204,2020-07-31,郑煤机(601717.SH)：拟向交通银行河南省分行申请中长期流动资金贷款3亿元,格隆汇
3205,2020-07-31,工行再迎副行长补位 六大行高管空缺几何？,新浪
3206,2020-07-31,交通银行成为上海2021年第46届世界技能大赛国家战略赞助商,新华网
3207,2020-07-31,中国债券市场金融债发行日程一览(7月31日),Wind
3208,2020-07-31,交通银行天津市分行违法遭罚 违反反洗钱法相关规定 金融监管处罚,中国经济网
3209,2020-07-31,交通银行黑龙江两宗违法遭罚 未按规定识别客户身份 金融监管处罚,中国经济网
3210,2020-07-31,最强减持月逾700亿出逃，龙头公司却逆风飞翔,Wind
3211,2020-07-31,港股公告精选：正通汽车控股股东有意向厦门国贸控股集团出售约29.9%权益,Wind
3212,2020-07-31,银行民营股东“转基因”：科技新贵上位、传统势力渐退,Wind
3213,2020-07-31,银行系金融科技，子公司增至11家,Wind
3214,2020-07-30,南阳市中州路交通银行占压人行道多年 行人走路难,新浪
3215,2020-07-30,交通银行(03328)发布2019年度全球系统重要性评估指标,智通财经
3216,2020-07-30,被控受贿8552万元 原国开行董事长胡怀邦受贿案一审开庭,每日经济新闻
3217,2020-07-30,交通银行：发行不超过300亿元的无固定期限资本债券获中国银保监会同意,Wind
3218,2020-07-30,交通银行泰州分行违法遭罚 贷款管理违反审慎经营规则,中国经济网
3219,2020-07-30,重要信号！优化市值首次成为大行目标，交行下半年要干四件大事,中国证券网
3220,2020-07-30,多家银行暂停账户贵金属开仓,Wind
3221,2020-07-30,密尔克卫化工供应链服务股份有限公司关于注销募集资金专户的公告,证券时报
3222,2020-07-30,江苏国泰国际集团股份有限公司关于签署募集资金五方监管协议的公告,证券时报
3223,2020-07-30,熊猫IP联名信用卡上线 中国移动咪咕携手交通银行讲好中国熊猫故事,凤凰网
3224,2020-07-30,“优市值”首度跻身下半年四大目标 交通银行传递稳健经营信号,上证报
3225,2020-07-30,交通银行(03328)7月29日完成赎回1.225亿股境外优先股,智通财经
3226,2020-07-29,交行泰州分行被罚50万：贷款资金管理严重违规 金融监管处罚,新浪
3227,2020-07-29,交通银行成功落地全国首批银担“总对总”批量担保业务,中证网
3228,2020-07-29,交行全国首批银担“总对总”批量担保业务落地,上证报
3229,2020-07-29,贷款资金管理违反审慎经营规则，交通银行一分行被罚50万 金融监管处罚,中新经纬
3230,2020-07-29,上半年地方固定资产投资大盘点，一领域成撬动投资关键点,21世纪经济报道
3231,2020-07-29,每日理财观察：央行摸底线上消费贷款流入楼市,Wind
3232,2020-07-29,期市投资参考：纽约期金刷新历史新高，国际油价集体下跌,Wind
3233,2020-07-28,金融街下午茶2020年7月28日星期二,Wind
3234,2020-07-28,交通银行买单吧APP登工信部黑榜 为唯一登榜国有银行 产品问题,中国经济网
3235,2020-07-28,交通银行新疆分行违法遭罚 未审核办理外币现钞收汇 金融监管处罚,中国经济网
3236,2020-07-28,818苏宁支付携手交通银行太平洋信用卡 1000万福利持续发放,中国金融新闻网
3237,2020-07-28,今年已有1639家银行网点终止营业，线下业务规模加速缩减 业务变化,Wind
3238,2020-07-27,基金公司季报牵出银行糗事 交行江苏省分行违规销售基金被监管 金融监管处罚,新浪
3239,2020-07-27,来自交行的脱贫领路人,中国金融新闻网
3240,2020-07-27,交行江苏分行金融助力“六稳”“六保”,中国金融新闻网
3241,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
