,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
3837,2021-02-20,化学纤维：尼龙66产业链供给受限 产品价格持续看涨,新浪
3838,2021-02-20,抱团股走弱，化工等顺周期板块表现强势！机构慌了？,中证报
3839,2021-02-20,贺宛男：抱团股大跌 风格转向了？,新浪
3840,2021-02-20,下周，继续主线！,云掌财经
3841,2021-02-20,化工50ETF投资价值分析：在复苏中拥抱核心资产,新浪
3842,2021-02-20,332公司利润不断改善84家步入绩优股行列,证券时报网
3843,2021-02-20,三大指数探低回升上涨个股再超3600只,上证报
3844,2021-02-19,“抱团松动”杀伤力扩散！机构慌了？,中证报
3845,2021-02-19,“抱团松动”杀伤力扩散！机构慌了？有人急忙卖茅台，有人连夜看周期,中证报
3846,2021-02-19,净流入近百亿、“旧爱”白酒遭弃？北向资金投向有色化工怀抱,财联社
3847,2021-02-19,高瓴资本相中的股票遭甩卖，两天净卖超40亿，这些抱团股主力出逃,证券时报网
3848,2021-02-19,北上资金活跃股名单(2月19日),证券时报网
3849,2021-02-19,“高成长+高景气”或迎戴维斯双击 华宝化工ETF2月22日盛大开售,中国经济网
3850,2021-02-19,收评：百股涨停！两市题材全线收红 超跌低价小盘股受追捧,财联社
3851,2021-02-19,生意社：万华化学MDI2021年2月挂牌价环比持稳,生意社
3852,2021-02-19,2021年中国TDI行业市场竞争格局与发展趋势分析 本土企业市场份额将继续扩大,前瞻研究院
3853,2021-02-19,开门红！油价带动塑料大涨，大易有塑指数集体上扬！,搜狐
3854,2021-02-19,李志林丨机构抱团取暖股集体重挫，退耕还林中小股终于涨了,中金在线
3855,2021-02-19,化工行业：周期风云再起 大化工机遇何在？,新浪
3856,2021-02-19,A股全线飘绿，“茅家班”节节败退，说好的“牛转乾坤”呢？ 连续下跌,中国财富网
3857,2021-02-19,指数下行 核心资产再度重挫 个股延续普涨|早盘收市,第一财经
3858,2021-02-19,小级别放量回调加仓要等待企稳（午评）,财经
3859,2021-02-19,化工板块重挫，卫星石化、宝丰能源相继跌停,Wind
3860,2021-02-19,顺周期板块强势崛起 富国化工50ETF于2月19日正式发行,新浪
3861,2021-02-19,化工价格快速上行 二线龙头有望迎来戴维斯双击,证券时报网
3862,2021-02-19,TDI行业点评：TDI行业景气度有望上行 建议关注沧州大化,新浪
3863,2021-02-19,化工｜油价与需求共振，二线龙头有望戴维斯双击,中信证券研究
3864,2021-02-19,原材料扎堆涨价 化工股近期走势良好,证券时报网
3865,2021-02-19,安信研究|晨会在线20210222,安信证券研究
3866,2021-02-19,牛年运势前瞻：涨价主题受热捧 化工板块成急先锋,证券时报
3867,2021-02-18,5931！时隔十三年，沪深300再创新高！,全景网
3868,2021-02-18,中金 | 公募基金2020年四季报回顾：持股更集中，继续加仓港股,中金点睛
3869,2021-02-18,2月18日板块复盘：涨涨涨！这些周期行业景气度大增 涨价概念股哪家强？,中金在线
3870,2021-02-18,化工期货、股票涨停潮！一文读懂上涨逻辑,Wind
3871,2021-02-18,三友化工等49股股价创历史新高,证券时报网
3872,2021-02-18,周期性行业概念股近三日受106亿主力资金追捧,证券时报网
3873,2021-02-18,2021年第一波，涨价“红包”如期而至,Wind
3874,2021-02-18,化工行业点评报告：基本面支撑强劲 TDI景气上行,新浪
3875,2021-02-18,牛年开市Flag，如何做好积极防御？,养基司令
3876,2021-02-18,万华化学、山西汾酒、恒力石化、恒逸石化等明星股均创下历史新高,Wind
3877,2021-02-18,还有多少资金等待建仓？,量化先行者
3878,2021-02-18,牛年开门红！牛市开门大吉！,云掌财经
3879,2021-02-18,周期行情持续燃爆，年后可持续性还有多强？ | 牛年开春周期大红包特别栏目（上）,国泰君安证券研究
3880,2021-02-18,这些龙头股必须收藏！,新浪
3881,2021-02-18,春季行情延续 布局三大方向投资机会,财富动力网
3882,2021-02-18,融资盘节后回流 市场情绪进一步提振,财富动力网
3883,2021-02-17,牛年A股或迎来开门红，哪些板块有望领涨后市？,第一财经
3884,2021-02-17,假期重磅：春节假期全球市场狂欢，A股牛年首个交易日有望收红包,腾讯网
3885,2021-02-17,2021年1月山东A股上市公司市值TOP100：万华化学3510亿元排第一,挖贝网
3886,2021-02-17,国盛证券维持中国化学买入评级：低估值顺周期化学工程龙头，现金流与业绩均优,每日经济新闻
3887,2021-02-17,布局牛年大题材：影响10万亿市值，化工股已成急先锋，稀土等蓄势待发，最全涨价概念股来了,搜狐
3888,2021-02-17,化工行业：淡季不淡 MDI供需仍趋紧 需求边际向好 未来盈利水平有望进一步提升,新浪
3889,2021-02-17,【浙商策略】如何看春节前后流动性情况？ | 流动性估值跟踪,王杨策略研究
3890,2021-02-17,化工行业：醋酸产业链价格走高 多企业上调钛白粉挂牌价 尿素、数个化纤品种涨价,新浪
3891,2021-02-16,【牛年最牛行业之：化工】今年化工有系统性机会！中信建投：细分行业龙头或持续脱颖而出,每日经济新闻
3892,2021-02-15,开门红稳了？全球集体大涨，机构狂买芯片，节后更有多只ETF发行上市，基金抬轿名单出炉,每日经济新闻
3893,2021-02-15,每月都有翻倍股！以“鼠”为鉴，“牛”转乾坤！,中国财富网
3894,2021-02-14,资本市场为何为隐形冠军加冕？,秦朔朋友圈
3895,2021-02-13,涨嗨了，美股小盘股大幅跑赢机构抱团股！A股小盘股指数仍在下跌，中美股市风格要互换？SPAC狂潮愈演愈烈，美股掀起上市潮,证券时报网
3896,2021-02-13,下周需要重点规避的解禁潮（2月18日至2月19日）——骑牛看熊淘金学堂,云掌财经
3897,2021-02-13,国际油价创一年新高 机构预计后市稳中上行,财联社
3898,2021-02-12,行业“茅”，6成2021股价大涨，4成2020股价翻番,网易
3899,2021-02-11,鼠年压岁钱买了个基金，竟然赚了222%！,上证报
3900,2021-02-11,【华安化工团队】春节大放送，新年快乐！,化工阿尔法
3901,2021-02-11,傅鹏博、朱少醒、周蔚文…！最具人气的基金投资老将来了,中国基金报
3902,2021-02-10,化工股涨势不止 这些个股获机构看好,第一财经
3903,2021-02-10,北上资金本周抢筹股名单,证券时报网
3904,2021-02-10,核心资产股齐涨，机构表示看好，这些个股大幅回撤,第一财经
3905,2021-02-10,鼠年完美收官，核心资产成赢家，海内外着名投资人这样看牛年机会,红周刊
3906,2021-02-10,鼠年最后一周超预期大涨 沪深300指数年后有望挑战历史新高,大众证券报
3907,2021-02-10,刺激！连涨三天，宇宙的尽头可能是茅台！A股鼠年强势收官，牛年能否持续牛？,证券时报网
3908,2021-02-10,鼠年收官，茅台直指3000元！过年改囤股票？,券商中国
3909,2021-02-10,"万华化学现1笔大宗交易 共成交1,544.62万元",新浪
3910,2021-02-10,鼠年强势收官 茅台直指3000元！牛年还有万亿子弹 A股还能嗨多久？,券商中国
3911,2021-02-10,万华化学今日大宗交易成交11万股，成交价140.42元溢价0.0%,Wind
3912,2021-02-10,融资融券概念股近三日受231亿主力资金追捧,证券时报网
3913,2021-02-10,新春伊始，节后走势呼之欲出|聚焦三大赛道，孙伟、闫冬、刘扬等基金经理，畅谈如何布局节后行情,金融界
3914,2021-02-10,鼠年行情完美收官！机构资金抱团取暖，节后还有哪些机会——骑牛看熊2月10日淘金收评,云掌财经
3915,2021-02-10,【东吴化工 | 公司深度】荣盛石化：浙石化雏形初具，中金石化或有低估,东吴石化化工
3916,2021-02-10,中国中免、美的、牧原、万华化学、药明康德、爱尔眼科等明星股盘中均创新高,Wind
3917,2021-02-10,“茅指数”集体狂飙！还有万亿资金等候进场,上证报
3918,2021-02-10,快讯：化工新材料板块异动拉升 山东玻纤涨停封板,新浪
3919,2021-02-10,陕西黑猫冲高回落 化工板块内部出现分化,财联社
3920,2021-02-10,330公司利润环比连增83家步入绩优股行列,证券时报网
3921,2021-02-10,化工行业周报：整体乐观 看好顺周期行业龙头,新浪
3922,2021-02-10,22股受融资客青睐，净买入超亿元,证券时报网
3923,2021-02-10,生意社：万华化学MDI2021年2月挂牌价环比持稳,生意社
3924,2021-02-10,中信证券：油价回升和需求复苏推动石油化工行业景气度持续回升 布局两条主线,证券时报网
3925,2021-02-10,石化｜国际油价：布油重回60美元，继续推荐油价回升和顺周期受益标的,中信证券研究
3926,2021-02-09,陆股通净买入26.24亿元，连续8日净买入,证券时报网
3927,2021-02-09,节后茅台引领大盘上攻4000点！,云掌财经
3928,2021-02-09,叶叶财经：今天指数涨幅较大，年终红包如期而至！明天行情继续？,云掌财经
3929,2021-02-09,节后红包节前领！哪些基金可以提前入手？,老司基一枚
3930,2021-02-09,68只股股价创历史新高,证券时报网
3931,2021-02-09,北向资金今日净买入26.24亿元，贵州茅台遭净卖出逾4亿元,Wind
3932,2021-02-09,宝城期货PP日报20210209：PP2105上行空间有限,宝城期货
3933,2021-02-09,9只个股尾盘净流入资金超亿元,证券时报网
3934,2021-02-09,82亿主力资金近三日杀入护城河概念股,证券时报网
3935,2021-02-09,化工股逃出“冷宫”变热门，涨停频现，首只化工类ETF基金出炉,AI财经社
3936,2021-02-09,多只明星股创新高,第一财经
3937,2021-02-09,2月9日晚间重要行业研究汇总(附股),中金在线
3938,2021-02-09,2月9日异动股点评：医美界茅台慷慨分红 盘点四牛与四熊,山东神光
3939,2021-02-09,万华化学：股东合成国际质押约1009万股,每日经济新闻
3940,2021-02-09,万华化学(600309.SH)：合成国际质押1008.5729万股,格隆汇
3941,2021-02-09,节后行情如何布局（一）,云掌财经
3942,2021-02-09,A股全线上攻、缩量大涨：沪指重返3600点、贵州茅台市值首次超过3万亿,FX168
3943,2021-02-09,化工行业成最大黑马！重仓基金年内涨幅超预期,投资咨询网
3944,2021-02-09,牧原股份、荣盛石化、片仔癀、万华化学、中联重科等明星股盘中均创历史新高,Wind
3945,2021-02-09,利润环比连增+同比暴增122匹盈利白马现身,证券时报网
3946,2021-02-09,化工核心股继续走高陕西黑猫探底回升,财联社
3947,2021-02-09,化工板块出黑马！北上资金和机构猛加仓,证券时报网
3948,2021-02-09,中国化学(601117)：1月营收高增72% 低估值滞涨蓝筹受益化工等需求增强,新浪
3949,2021-02-09,化工有望迎来景气大年 富国化工50ETF牛年创新发行,上证报
3950,2021-02-09,风口来了？有基金十大重仓股全买化工，开年赚20%,券商中国
3951,2021-02-09,基金早班车|ETF密集上市！瞄准“年终奖” 节后新基金密集狂发，主动偏股基金发行悄然降温！,金融界
3952,2021-02-09,【晨观方正】家电/化工20210209,新浪
3953,2021-02-09,中信建投：拥有独特竞争优势的化工细分行业龙头有望持续脱颖而出,证券时报网
3954,2021-02-08,化工股引关注 主力近5日却累计抛售99亿元 股票卖空,第一财经
3955,2021-02-08,大市值何苦为难小市值？,云掌财经
3956,2021-02-08,化工龙头股名单出炉，北上资金重仓980亿,第一财经
3957,2021-02-08,大黑马！化工龙头30强名单出炉，北上资金和机构猛加仓,证券时报网
3958,2021-02-08,数据复盘｜北向资金连续7日净流入 三一重工、宁德时代获主力大幅加仓,证券时报网
3959,2021-02-08,国内首批化工ETF获批，行业ETF专家华宝基金再传捷报！,北京商报
3960,2021-02-08,51只股股价创历史新高,证券时报网
3961,2021-02-08,北向资金今日净买入79.3亿元，继续猛攻新能源,Wind
3962,2021-02-08,A股收盘：贵州茅台逆市创新高 苹果概念股立讯、歌尔跌超3%,英为财情
3963,2021-02-08,国内首批化工ETF获批，华宝基金行业ETF战队又添猛将,资本邦
3964,2021-02-08,荣盛石化缩量涨停股价创历史新高，三机构净买入超1.5亿元,第一财经
3965,2021-02-08,化工行业动态：景气指数与油价持续上攻 回调买入时 不改景气上行,新浪
3966,2021-02-08,市场是否会有风格转换？,云掌财经
3967,2021-02-08,石油石化、基础化工、新材料行业北上资金流向周报,新浪
3968,2021-02-08,抱团股火上浇油，“茅台永远涨”不会破灭！,新浪
3969,2021-02-08,“就地过年”加快年后复工！这家2000亿化工巨头涨停抢跑，年内涨幅已破50%！,21世纪经济报道
3970,2021-02-08,国际原油价格全面上涨，顺周期化工板块强势崛起丨牛熊眼,第一财经
3971,2021-02-08,明星基金重仓杀入化工行业14股 业绩高增长基金增持股名单来了,金融界
3972,2021-02-08,市值缩水90%的供应链老牌龙头涨停，果然“沾酒就醉”，股民：赶了个“晚集”，受益行业高景气股票名单出炉,证券时报网
3973,2021-02-08,建筑行业第206期周报：继续推荐顺周期制造业国际工程、装配式与基建龙头,新浪
3974,2021-02-08,股市“牛头熊”出没，一招教你轻松制服！,养基司令
3975,2021-02-08,华安证券：万华化学(600309)加速布局全球汽车材料市场，维持“买入”评级,智通财经
3976,2021-02-08,中银证券：春节后将迎来需求旺季，或将推动化工产品的新一轮涨价,证券时报网
3977,2021-02-08,陕西黑猫等短线核心大幅高开 化工板块迎来修复,财联社
3978,2021-02-08,327公司利润环比连增82家步入绩优股行列,证券时报网
3979,2021-02-08,【化工】化工行业周报20210207：原油价格恢复至疫前水平，氨纶、尿素维持强势,中银证券研究
3980,2021-02-08,2年7倍光伏龙头突曝大消息，股东“甩卖”158亿,证券时报网
3981,2021-02-08,【国金晨讯】A股一周策略：持币还是持股过节？金山云：视频云、游戏云“特长生”能否弯道超车？奇安信：新网安领军,国金证券研究所
3982,2021-02-08,14只化工股获基金增持市值超10亿元,证券时报网
3983,2021-02-08,【晨观方正】宏观/策略/计算机/医药/社服/化工20210208,方正证券
3984,2021-02-08,2年7倍光伏龙头突曝大消息，重要股东“甩卖”158亿！这一冷门行业火了，明星基金重仓杀入14股，业绩高增长基金增持股名单来了,证券时报
3985,2021-02-08,部分重仓化工基金 年内涨幅超20%,中国基金报
3986,2021-02-07,化工行业周报：万华加速大汽车战略布局 国瓷将发布年报 龙佰提价,华安证券
3987,2021-02-07,【方正化工】万华化学事件点评：14万吨PC项目公示，目标高端差异化产品,靠谱化工股
3988,2021-02-07,化工行业投资策略周报：化工品涨多跌少 化工龙头股公募持仓提升明显,广发证券
3989,2021-02-07,业绩预披尘埃落定 资金竞相涌入这些业绩大涨股,财联社
3990,2021-02-07,2021年化工新材料产值将超7000亿元 中国化工新材料市场供需分析及发展趋势预测,中研网
3991,2021-02-07,化工行业周度观点21W6：化工景气趋势不改 重申推荐观点,新浪
3992,2021-02-07,暴涨超20%！有科技股基金经理发话了：转战化工！,中国基金报
3993,2021-02-07,开源证券--化工行业周报：磷肥价格强势运行，节前各化纤品种库存涨跌互现【行业研究】,金融界股吧
3994,2021-02-07,国金证券--基础化工行业研究：醋酸、尿素价格大幅上涨，粘胶短纤价格稳中有升【行业研究】,金融界股吧
3995,2021-02-06,十大券商A股节后投资策略：大盘或保持震荡格局，关注低估值、顺周期、硬科技等主线,金融界
3996,2021-02-06,总计6艘！江南造船再获西南海运1艘VLGC订单,国际船舶
3997,2021-02-06,【国信化工周观点】EVA、MDI、化纤价格继续趋势性上涨,化工林谈
3998,2021-02-06,326公司利润环比连增81家步入绩优股行列,证券时报网
3999,2021-02-05,"万华化学现1笔大宗交易 共成交2,352.49万元",新浪
4000,2021-02-05,上海石油天然气交易中心与中化能源科技开启战略合作,新浪
4001,2021-02-05,万华化学今日大宗交易成交19.01万股，成交价123.75元溢价0.0%,Wind
4002,2021-02-05,65股今日获机构买入评级16股上涨空间超20%,证券时报网
4003,2021-02-05,化工行业投资组合(2月份),新浪
4004,2021-02-05,【方正化工】万华化学深度报告之十四：无醛板崛起，MDI再添动力,靠谱化工股
4005,2021-02-05,节前会有一次大普涨！,云掌财经
4006,2021-02-05,华安证券--万华化学：通过国际质量管理体系认证，加速布局全球汽车材料市场【公司研究】,金融界股吧
4007,2021-02-05,【华安化工 | 事件点评】万华化学：通过国际质量管理体系认证，加速布局全球汽车市场,化工阿尔法
4008,2021-02-05,K线江湖学堂：大盘探底回升，有色科技军工找机会低吸,中金在线
4009,2021-02-05,中泰证券：万华化学(600309)2月MDI挂牌价持稳，维持“买入”评级,智通财经
4010,2021-02-05,2021年中国MDI行业市场现状及竞争格局分析 企业产能和区域市场集中度较高,前瞻研究院
4011,2021-02-05,同德化工6天5板 万华化学等核心资产盘中继续新高,财联社
4012,2021-02-05,325公司利润环比连增80家步入绩优股行列,证券时报网
4013,2021-02-05,盘前情报丨快手今日登陆港交所，暗盘飙涨，多家A股上市公司回应合作关系（名单）,21世纪经济报道
4014,2021-02-05,有券商呼吁将眼光拓宽至“抱团”外 中高景气行业二线龙头性价比凸显,e公司
4015,2021-02-05,北向资金逆市抄底近70亿元，24亿砸向这只千亿市值龙头股（名单）,21世纪经济报道
4016,2021-02-05,北向资金动向曝光：2月4日这30只个股遭大甩卖（附名单）,每日经济新闻
4017,2021-02-05,有券商呼吁眼光投向“抱团”外 关注热门行业二线龙头公司,上证报
4018,2021-02-05,机构看好化工股表现 高市值高增长个股名单来了,第一财经
4019,2021-02-04,机构强推这个低估值板块 这2只股还能涨80%,第一财经
4020,2021-02-04,曾最坚定看好科技股的明星基金经理，加仓这个“冷门”行业,上证报
4021,2021-02-04,曾经最坚定看好科技股的明星基金经理，竟然都去加仓了这个“冷门”行业,上证报
4022,2021-02-04,陆股通净买入67.71亿元，连续5日净买入,证券时报网
4023,2021-02-04,数据复盘｜主力资金撤离有色金属、非银金融等行业 北向资金抢筹宁德时代等股,证券时报网
4024,2021-02-04,预期落空！央行零净投放，节前红包何时来临？,云掌财经
4025,2021-02-04,北向资金净买入逾67亿元，加仓宁德时代超24亿元,第一财经
4026,2021-02-04,北向资金连续5日净买入，宁德时代获大举净买入逾24亿元,Wind
4027,2021-02-04,抱团股有了新动向？这个低估值和高景气的行业深受机构青睐丨行业风口,第一财经
4028,2021-02-04,20股主力资金净流入超亿元,证券时报网
4029,2021-02-04,山东第一家市值超4000亿公司“诞生”，近一个月市值就增加了1200亿,金融界
4030,2021-02-04,华安证券--化工行业周报：万华化学柠檬醛环评公示，海外MDI、TDI产能再迎密集检修【行业研究】,金融界股吧
4031,2021-02-04,恒力、荣盛、盛虹今年以来频频涨停！化纤板块更是大涨近40%！,全球纺织网
4032,2021-02-04,李志林丨抱团取暖致市场新股灾，指数还可个股却陷灾难,中金在线
4033,2021-02-04,超500亿资金涌入迎来大爆发 可降解塑料市场前景可观（附图表）,中商情报网
4034,2021-02-04,两市股指盘中震荡回升，沪指重回3500点上方，北向资金净流入超50亿元,证券时报网
4035,2021-02-04,招行、万华化学、顺丰、邮储银行、宝丰能源、爱美客等明星股盘中均创新高,Wind
4036,2021-02-04,化工行业新材料系列深度报告之二：全球汽车电动化浪潮已至 中国锂电材料乘势而起,新浪
4037,2021-02-04,和信投顾：市场赚钱效应萎靡 资金过节效应明显,中金在线
4038,2021-02-04,中银证券--化工行业周报：醋酸尿素涨幅居前，聚碳酸酯上游涨价【行业研究】,金融界股吧
4039,2021-02-04,刚刚，38只个股跌停！“女人的茅台”市值一度突破1100亿元,中国证券网
4040,2021-02-04,【财联社午报】600股跌逾5%！亏钱效应炸裂，这一指数已创去年6月以来新低,财联社
4041,2021-02-04,A股突发跳水！茅台又飞天，暴涨1500亿创新高,中国基金报
4042,2021-02-04,"风云突变！刚刚，A股突发跳水，千亿白马股闪崩跌停！茅台又飞天，暴涨1500亿创新高！香港科技股重挫4%，美团暴跌1400亿！
连续下跌",中国基金报
4043,2021-02-04,多只白马股创新高 贵州茅台最高涨至2330元,第一财经
4044,2021-02-04,午间要闻 | 第四批药品带量采购开标，1年节约124亿元；任正非就注册姚安娜商标致歉；雅戈尔集团半年套现100亿，狂赚40倍,经济观察网
4045,2021-02-04,“大象起舞” 抱团股机会来了？|午间论市,第一财经
4046,2021-02-04,地产白马创历史新低，逾千股处于深度熊市！科技龙头集体跳水,证券时报网
4047,2021-02-04,一大板块丨今年大涨超三成，它是机构抱团的新方向？,第一财经
4048,2021-02-04,广州万隆：贵州茅台刻意拉升存隐患 午后防一事,新浪
4049,2021-02-04,2月4日三大股指均跌超1%，两市逾3600股下跌,每日经济新闻
4050,2021-02-04,午评：三大股指均跌逾1% 银行、白酒逆市走强,e公司
4051,2021-02-04,化工股逆势大涨万华化学、华鲁恒升等创历史新高,格隆汇
4052,2021-02-04,生意社：万华化学MDI2021年2月挂牌价环比持稳,生意社
4053,2021-02-04,个股集中在顺周期板块,证券导报
4054,2021-02-04,陕西黑猫4连板 化工核心资产再创新高,财联社
4055,2021-02-04,禁塑新政给市场带来想象空间 产业资本纷纷涌入,证券时报
4056,2021-02-04,利润环比连增+同比暴增123匹盈利白马现身,证券时报网
4057,2021-02-04,基础化工行业：化工龙头集体大涨 重申看好,新浪
4058,2021-02-04,上证指数翻红，上证50涨1%,Wind
4059,2021-02-04,两级分化何时休？茅台创新高 600只小盘股创新低,Wind
4060,2021-02-04,机构抱团有新动向！这个板块今年来大涨近40%,上证报
4061,2021-02-04,大象起舞！茅台创历史新高，600只小盘股创新低，两级分化何时休,Wind
4062,2021-02-04,低估值叠加高景气 化工板块受青睐,上证报
4063,2021-02-04,超500亿资金涌入 可降解塑料产业大爆发,证券时报
4064,2021-02-03,券商点出2月金股：春节后A股市场行情可期,大众证券报
4065,2021-02-03,4000亿巨头又冲涨停板！五年涨了15倍，凭什么这么牛？,中国证券网
4066,2021-02-03,节前市场震荡加剧，持股过节还是持币过节成当前市场最大争议,云掌财经
4067,2021-02-03,机构大幅调仓，大白马闪崩不断,云掌财经
4068,2021-02-03,茅台继续创新高，大市值起舞小市值垫底,Wind
4069,2021-02-03,2月3日复盘：指数午后震荡走弱 主力重点出击9股,新浪
4070,2021-02-03,收盘丨沪指跌0.47% 茅台创新高 半导体板块领跌,第一财经
4071,2021-02-03,收评：沪指跌0.47% 半导体板块领跌,e公司
4072,2021-02-03,中国膜市场趋势分析,北极星节能
4073,2021-02-03,山东经济打了翻身仗,财经网
4074,2021-02-03,国盛证券--化工行业周报：2020年度业绩预告总结，继续看好化工核心资产及顺周期龙头【行业研究】,金融界股吧
4075,2021-02-03,招行、平安银行、兴业银行、万华化学、中信特钢、爱美客等明星股均创新高,Wind
4076,2021-02-03,年报超预期50强出炉，大牛股成群，北上资金大举增持。“猪茅”创历史新高,搜狐
4077,2021-02-03,年报超预期50强出炉：牛股成群 北上资金大举增持,证券之星
4078,2021-02-03,K线江湖学堂：机构品种大涨，继续看好军工有色板块,中金在线
4079,2021-02-03,2021年中国聚合MDI行业市场现状与发展前景分析 随着产能释放MDI供给将继续增长,前瞻研究院
4080,2021-02-03,322公司利润环比连增77家步入绩优股行列,证券时报网
4081,2021-02-03,中银证券--研究部2月金股：2月金股组合【投资策略】,金融界股吧
4082,2021-02-02,春节临近，还有一波？,格隆汇
4083,2021-02-02,潍柴动力等46股股价创历史新高,证券时报网
4084,2021-02-02,宝城期货PP日报20210202：PP2105上行空间有限,宝城期货
4085,2021-02-02,广大特材3.5亿元“联姻”东方电气，强势出击高端铸锻件制造,证券时报网
4086,2021-02-02,【万联化工 | 基金持仓分析】20Q4：整体表现优于大市，持仓水平明显改善,万联证券研究所
4087,2021-02-02,国内输变电技术得到大幅提升 兴华220千伏变电站正式投运,中研网
4088,2021-02-02,销售每日AH推荐,新浪
4089,2021-02-02,快讯：化工新材料板块持续走弱 齐翔腾达跌停 连续下跌,新浪
4090,2021-02-02,K线江湖学堂：有色板块即将爆发，军工科技耐心等待,中金在线
4091,2021-02-02,321公司利润不断改善76家步入绩优股行列,证券时报网
4092,2021-02-02,盘前情报丨风口之下，白银价格会怎么走？科技部发文，绿色产业迎政策利好！,21世纪经济报道
4093,2021-02-02,关注甲醇和聚丙烯价差扩大套利机会,广州期货
4094,2021-02-02,库存去化叠加下游补库聚烯烃走势偏强,广州期货
4095,2021-02-02,中信建投：2021年化工行业仍将是供需周期带动景气复苏之年,证券时报网
4096,2021-02-02,【浙商|化工陈煜】对比视角:化工周期刚演绎一半!,醇萃化工研究
4097,2021-02-01,车企房企1月销量迎“开门红”，氨纶价格升至数年新高丨明日主题前瞻,第一财经
4098,2021-02-01,广州期货：聚烯烃：节前持续偏强震荡,新浪
4099,2021-02-01,沪指重上3500，化工股大抢风头，机构和外资买疯了！,证券时报网
4100,2021-02-01,大盘收复3500点！4000亿白马股再创新高，这一板块批量涨停，春节红包行情来了?,中证报
4101,2021-02-01,【超级大单】15%的资金出逃业绩上升的电子龙头,证券时报网
4102,2021-02-01,国金证券--2020Q4化工持仓分析：基金重仓比例继续上行，龙头重仓市值环比大幅提升【行业研究】,金融界股吧
4103,2021-02-01,“风向”有变 1月重仓周期的基金领跑,金融投资报
4104,2021-02-01,抱团股爆发，沪指重上3500！创业板次新股最猛飙100%,中国基金报
4105,2021-02-01,跨年行情未变，机构称增量资金将持续支撑市场,Wind
4106,2021-02-01,A股2月“开门红”！沪指重回3500点,中新经纬
4107,2021-02-01,基础化工行业周报：油价上涨 苏氨酸价格大涨 MDI挂牌价环比持稳,新浪
4108,2021-02-01,降解塑料概念再度活跃 长鸿高科丹化科技等涨停,证券时报网
4109,2021-02-01,中信证券：化工行业景气继续上行 建议继续关注业绩超预期的行业及公司,证券时报网
4110,2021-02-01,顺丰控股、万华化学、宝丰能源等明星股盘中齐创历史新高,Wind
4111,2021-02-01,“限塑令”发威！概念股掀涨停潮，机构：政策利好将正式落地,金融界
4112,2021-02-01,快讯：化工新材料午后大幅上涨 宏和科技涨停封板,新浪
4113,2021-02-01,爆雷股遭遇“核按钮”！遭资金疯抢，无涨跌幅限制的次新股大批临停,中证报
4114,2021-02-01,【化工】化工行业周报20210131：醋酸尿素涨幅居前，聚碳酸酯上游涨价,中银证券研究
4115,2021-02-01,北向资金净流入近9亿，注册制次新股大涨！机构：最恐慌的时点已过,和讯
4116,2021-02-01,可降解塑料概念股走强 金发科技、万华化学创历史新高,格隆汇
4117,2021-02-01,陈晓寒K线江湖：传媒表现势头不错，军工有色需要等待时机,中金在线
4118,2021-02-01,化工行业报告：氨纶价格持续走高 环己酮、乙二醇启动涨价,新浪
4119,2021-02-01,A股异动丨万华化学(600309.SH)涨6%破顶市值超3700亿元,格隆汇
4120,2021-02-01,国金证券：化工行业建议重点关注两条主线,证券时报网
4121,2021-02-01,320公司利润不断改善76家步入绩优股行列,证券时报网
4122,2021-02-01,6股获买入评级 最新:移远通信,中财网
4123,2021-02-01,化工行业周度观点21W5：山东退出百万吨合成氨产能 优势向龙头集中,新浪
4124,2021-02-01,万华化学(600309)：节前价格小幅回暖 2月MDI挂牌价持稳,新浪
4125,2021-02-01,中银证券研究部2021年2月金股组合,新浪
4126,2021-02-01,2386份年报业绩预告：近六成报喜，龙头公司领跑势头强劲,Wind
4127,2021-01-31,2月金股一览！节前行情如何走 券商看好业绩超预期板块（附名单）,21世纪经济报道
4128,2021-01-31,【国金化工】2020Q4化工持仓分析：基金重仓比例继续上行，龙头重仓市值环比大幅提升 (2021-01-31),点石化金
4129,2021-01-31,21深度｜大额商誉减值是利空出尽？不靠谱！这5股预计亏损超百亿 资产异常,21世纪经济报道
4130,2021-01-31,疫情之下显强者本色 硬核工业挺直山东经济腰杆,经济观察网
4131,2021-01-31,本周股价创历史新高股一览,证券时报网
4132,2021-01-31,基础化工行业周报：化肥春耕需求支撑持续 粘胶氨纶等偏强运行,国金证券股份有限公司
4133,2021-01-31,化工持仓逐季攀升，玉米深加工产业链领涨,中信建投证券研究
4134,2021-01-30,财姥爷丨寻找A股中的“隐形冠军”,搜狐
4135,2021-01-30,2月买什么？这家公司和这一行业最受券商青睐,财联社
4136,2021-01-30,2月金股名单来了！券商最爱这只3000亿大牛股，还有个股开年已涨80%,中证报
4137,2021-01-30,核心资产的行情仍会持续，三大方向或成新的“抱团”对象,红周刊
4138,2021-01-30,开源证券：相信市场中的积极力量(附2月金股),开源证券
4139,2021-01-30,开源金股，2月推荐,开源证券研究所
4140,2021-01-30,2021年“固收+”热度还将继续吗？,新浪
4141,2021-01-30,【华安化工 | 新股系列之二】绿色环保的TPU材料正向高端化发展,化工阿尔法
4142,2021-01-30,319公司利润不断改善76家步入绩优股行列,证券时报网
