,2021-12-31,万泰生物、华大基因、安图生物……谁是成长能力最强的体外诊断企业？,Ofweek
591,2020-09-14,医药生物行业跨市场周报：三个机遇和一个可控风险 把握医药反弹的主线,光大证券
592,2020-09-11,医药2020H1中报总结：Q2业绩环比开始改善 行业步入疫后时代,新浪
593,2020-09-09,安图生物：非公开发行股票申请获证监会核准批复,Wind
594,2020-09-09,安图生物(603658.SH)定增申请获中国证监会核准,格隆汇
595,2020-09-08,可转债新券投资价值分析-万孚转债：POCT领域龙头品种,新浪
596,2020-09-06,医药生物行业：去伪存真,新浪
597,2020-09-06,医药行业每周医览药闻：2020年医药中报业绩总结：后疫情时代 关注需求复苏下蕴含的全球市场机会,新浪
598,2020-09-04,医药行业2020年9月投资月报：建议关注IVD化学发光赛道 业绩高增长可期,新浪
599,2020-09-02,安图生物(603658)：中报基本符合预期 下半年业绩有望逐步回暖,新浪
600,2020-09-02,安图生物(603658)：疫情影响减弱 业绩持续恢复,新浪
601,2020-09-01,安图生物中报点评：疫情影响已过，化学发光重回高增长【东吴医药朱国广团队】,国广有话说
602,2020-08-31,安图生物(603658)：业绩逐季修复 化学发光Q2装机加速,新浪
603,2020-08-31,安图生物(603658)2020年中报点评：2020Q2业绩相比Q1好转 长期增长逻辑不变,新浪
604,2020-08-31,晨会0831 | 半年报业绩披露收官,中信建投证券研究
605,2020-08-29,10位明星基金经理“心水股”首次披露,中国基金报
606,2020-08-28,安图生物公布半年报 上半年净利减少14.45% 盈利能力下降,新浪
607,2020-08-28,安图生物(603658.SH)：上半年净利同比降14.45%至2.74亿元 盈利能力下降,格隆汇
608,2020-08-28,安图生物：上半年净利润同比减少14.45% 盈利能力下降,Wind
609,2020-08-27,刘格菘、傅鹏博、丘栋荣、刘彦春次重仓股名单曝光,中证报
610,2020-08-26,医药行业周报：第三批带量采购正式开标 创新仍是主旋律,渤海证券
611,2020-08-25,医药生物行业双周报,新浪
612,2020-08-25,亚辉龙的四名创始人均因行贿受贿被判，公司的核心竞争力是什么？ 其他违规处罚,中金在线
613,2020-08-19,医药行业周报：如何看待近期医药的回调？,新浪
614,2020-08-18,安图生物(603658.SH)：控股股东解除担保 涉及1012.3979万股,格隆汇
615,2020-08-17,安图生物：大股东安图实业减持约1194万股 减持股份,每日经济新闻
616,2020-08-17,安图生物(603658.SH)：安图实业减持期过半 累计减持2.77%股份 减持股份,格隆汇
617,2020-08-17,安图生物：控股股东累计减持2.77%股份 减持股份,Wind
618,2020-08-17,安图生物获医疗器械注册证，短期内对经营业绩影响较小,资本邦
619,2020-08-17,贝尔生物拟创业板上市：业绩增长较为稳健，商誉减值压力犹存,面包财经
620,2020-08-16,迈克生物粉饰业绩有图谋,证券市场周刊
621,2020-08-16,医药行业每周医览药闻：如何看待逐步常态化的耗材集采,新浪
622,2020-08-14,安图生物(603658.SH)：取得”胰岛素样生长因子-1检测试剂盒“医疗器械注册证书,格隆汇
623,2020-08-14,贝尔生物拟创业板上市：业绩增长较为稳健，商誉减值压力犹存,面包财经
624,2020-08-14,郑州安图生物工程股份有限公司2020年非公开发行股票预案（修订稿）,证券时报
625,2020-08-13,【投行参要】每日审核要点及市场动态 | 2020.08.13,兴业证券订阅号
626,2020-08-13,新冠抗体试剂紧急使用授权突被取消！安图生物业绩速降大股东“套现”前途凉凉 盈利能力下降,电鳗快报
627,2020-08-12,安图生物股东拟减持不超3%公司股份 拟减持股份,上证报
628,2020-08-12,医药行业周报：医药板块短期波动 持续关注高成长赛道,渤海证券
629,2020-08-12,安图生物(603658.SH)：Z&F拟减持不超3%股份 拟减持股份,格隆汇
630,2020-08-12,安图生物：持股13.88%的股东Z&F计划减持不超3%股份 拟减持股份,Wind
631,2020-08-10,安图生物：减持计划到期 股东Z&F INTERNATIONAL TRADINGL IMITED期间减持约511万股 减持股份,每日经济新闻
632,2020-08-10,美国食药监局取消安图生物新冠试剂紧急使用授权,中国网
633,2020-08-10,安图生物(603658.SH)：减持期届满持股5%以上股东Z&F减持1.19%公司股份 减持股份,格隆汇
634,2020-08-10,安图生物：Z&F减持1.19%公司股份 减持股份,Wind
635,2020-08-10,医药行业周报：建议关注药店 关注业绩高增长、政策变化和估值性价比,新浪
636,2020-08-06,医疗器械板块月报：关注业绩预告或报告 甄选顺应长期趋势个股,渤海证券
637,2020-08-05,兴证医药2020年8月投资月报：再论大创新时代的创新疫苗,新浪
638,2020-08-05,转股利润丰厚，可交债摘牌潮来临,Wind
639,2020-08-04,医药生物行业报告：疫情后周期拥抱医药新基建和大消费 重点关注疫苗赛道,新浪
640,2020-08-02,医药行业每周医览药闻：疫苗依然是解决新冠疫情的最根本方法,新浪
641,2020-07-30,医药行业重点事项点评：第三批带量采购规则变化较少 市场预期逐步稳定,新浪
642,2020-07-29,医药生物行业双周报,新浪
643,2020-07-28,投资者提问：董秘您好：请问贵公司有抗击新冠肺炎方面使用的产品吗？,新浪
644,2020-07-27,"安图生物现1笔大宗交易 共成交2,234.10万元",新浪
645,2020-07-27,安图生物今日大宗交易成交15万股，成交价148.94元折价6.44%,Wind
646,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
647,2020-07-26,医药制造业行业：集采领域扩面是既定方向 产业升级不变,新浪
648,2020-07-24,科华转债投资简析：收购扩张的体外诊断领军者 建议申购,新浪
649,2020-07-23,涨停潮！疫苗连传好消息，下半年医改重点任务已敲定,中证报
650,2020-07-23,A股共发生130宗大宗交易成交49.23亿元（7月23日）,Wind
651,2020-07-22,医药生物行业日报：生物制品板块领涨医药,新浪
652,2020-07-22,猛！百亿爆款基金仓位88% 今年成立爆款最高收益38%,中证报
653,2020-07-21,达安基因：一朝爆发难掩经营常年糟糕,证券市场周刊
654,2020-07-21,安图生物：全资子公司取得《医疗器械注册证》,资本邦
655,2020-07-21,安图生物子公司获医疗器械注册证书 有助于进一步丰富公司产品线,发布易
656,2020-07-21,知名基金经理二季度普遍加仓，布局消费与科技,Wind
657,2020-07-17,公告点题丨7月17日这些公告有看头,第一财经
658,2020-07-17,安图生物：控股股东7月10日~16日累计减持661.05万股股份 减持股份,每日经济新闻
659,2020-07-17,安图生物(603658.SH)：控股股东已通过各种方式合计减持1.54%的股份 减持股份,格隆汇
660,2020-07-17,安图生物(603658.SH)：取得医疗器械注册证书,格隆汇
661,2020-07-17,安图生物：控股股东安图实业合计减持1.54%公司股份 减持股份,Wind
662,2020-07-17,A股早报2020年7月17日星期五,Wind
663,2020-07-16,安图生物现9笔大宗交易总成交金额4.28亿元,证券时报网
664,2020-07-16,"安图生物现9笔大宗交易 共成交42,802.20万元",新浪
665,2020-07-15,"安图生物现2笔大宗交易 共成交16,732.92万元",新浪
666,2020-07-15,安图生物(603658.SH)：定增申请获证监会受理,格隆汇
667,2020-07-15,姚老板又来了！宝能系开启转型产业之路,Wind
668,2020-07-12,新产业(300832)：优质赛道的优质企业,新浪
669,2020-07-10,安图生物(603658.SH)：控股股东近日合计减持1.08%股份 减持股份,格隆汇
670,2020-07-10,安图生物：控股股东持股减持超过1% 减持股份,Wind
671,2020-07-10,解禁洪峰将至，接盘需谨慎,Wind
672,2020-07-09,"安图生物现1笔大宗交易 共成交2,163.30万元",新浪
673,2020-07-09,上半年股基冠军经理皮劲松：医药行业长期发展空间大,中国经济网
674,2020-07-08,医药行业周报：如何看待医药板块的后续行情？,渤海证券
675,2020-07-06,医药生物行业2020年7月投资月报：风格会切换么？耗材集采怎么看？,新浪
676,2020-07-03,安图生物(603658.SH)：拟使用不超5.5亿元闲置募集资金进行现金管理,格隆汇
677,2020-07-02,安图生物现1笔大宗交易 共成交808.25万元,新浪
678,2020-07-02,医药中期策略：迎接后疫情时代 医药优先看好“5+X”,新浪
679,2020-07-01,万泰生物是否值700亿？,中国经济网
680,2020-07-01,控股股东减持1292万股还要定增4306万股 股价高涨业绩高增 安图生物真任性！,和讯
681,2020-06-30,安图生物现2笔大宗交易总成交金额6768.61万元,证券时报网
682,2020-06-30,"安图生物现2笔大宗交易 共成交6,768.61万元",新浪
683,2020-06-30,安图生物：控股股东安图实业减持约772.22万股，比例超过1% 减持股份,每日经济新闻
684,2020-06-30,安图生物(603658.SH)：控股股东安图实业减持公司股份772.22万股 减持股份,格隆汇
685,2020-06-30,安图生物：控股股东安图实业减持1.79%股份 减持股份,Wind
686,2020-06-30,A股融资融券日报：两融余额增加86.23亿元（6月29日）,Wind
687,2020-06-29,安图生物现3笔大宗交易均为折价成交,证券时报网
688,2020-06-29,"安图生物现3笔大宗交易 共成交4,128.57万元",新浪
689,2020-06-29,31家国产IVD上市公司详情、经营方向、业务线大盘点,医疗器械协会
690,2020-06-29,A股融资融券日报：两融余额减少52.66亿元（6月24日）,Wind
691,2020-06-28,【天风医药 | 周报】国内或将进一步加大检测需求，全球疫情仍未见拐点,思医辨药
692,2020-06-28,医药生物行业周报：拥抱药物创新和器械创新大时代,新浪
693,2020-06-24,医药行业半年度策略报告：紧抓“抗疫”和“自主定价”两大主线,新浪
694,2020-06-24,减持！安图生物：控股股东安图实业减持约646万股 减持股份,每日经济新闻
695,2020-06-24,安图生物：控股股东累计减持1.5%股份，减持数量过半 减持股份,Wind
696,2020-06-24,安图生物(603658.SH)：控股股东累计减持645.9万股 减持股份,格隆汇
697,2020-06-24,医药生物行业2020年中期策略：拥抱疫情后周期投资机会 重点关注医药新基建和医药大消费,新浪
698,2020-06-24,医药行业2020年中期投资策略：坚持高景气赛道+龙头战略,新浪
699,2020-06-24,A股融资融券日报：两融余额增加50.04亿元（6月23日),Wind
700,2020-06-23,【医药2020H1业绩前瞻】刚需属性逐步显现，Q2业绩加速趋势明显,兴证医药健康
701,2020-06-23,A股融资融券日报：两融余额增加113.78亿元（6月22日),Wind
702,2020-06-22,A股融资融券日报：两融余额增加0.17亿元（6月19日),Wind
703,2020-06-21,疫情常态化下，医药投资的变与不变,中信建投证券研究
704,2020-06-19,安图生物(603658.SH)：控股股东非公开发行可交换公司债(第一期)将进入换股期,格隆汇
705,2020-06-18,【国信医药】创新药品与器械密集获批，IVD检测需求持续（周观点）,GuosenHealthcare
706,2020-06-18,A股融资融券日报：两融余额增加44.43亿元（6月17日),Wind
707,2020-06-17,医疗器械行业深度报告：追本溯源 蓝海淘金,新浪
708,2020-06-17,每日医药简讯：圣湘生物冲击科创板、安图生物子公司《医疗器械注册证》,新康界
709,2020-06-17,安图生物(603658.SH)：全资子公司取得医疗器械注册证书,格隆汇
710,2020-06-17,6月逾200亿减持，4千亿巨量解禁下月将至,Wind
711,2020-06-17,又缺钱？安图生物拟定增募资32亿扩产，业绩亮眼、股价一路高涨背后却是股东的疯狂减持套现,和讯
712,2020-06-17,上市公司正负面新闻2020年6月17日星期三,Wind
713,2020-06-17,需求增加 半数核酸检测股股价创新高,北京商报
714,2020-06-16,医药生物行业双周报,新浪
715,2020-06-16,8股获买入评级 最新:安图生物,中财网
716,2020-06-16,安图生物(603658)：发布定增预案 强化竞争优势,新浪
717,2020-06-16,上市公司正负面新闻2020年6月16日星期二,Wind
718,2020-06-16,郑州安图生物工程股份有限,证券时报
719,2020-06-16,郑州安图生物工程股份有限公司2020年非公开发行股票预案,证券时报
720,2020-06-15,晚间重要公告2020年6月15日星期一,Wind
721,2020-06-15,安图生物：拟定增募资不超32.8亿元,Wind
722,2020-06-15,安图生物：拟定增募资不超32.8亿元,e公司
723,2020-06-15,【投行参要】每日审核要点及市场动态 | 2020.06.15,兴业证券订阅号
724,2020-06-14,【中信建投医药|行业周报】本周重点推荐IVD行业：疫情反复+精准医疗龙头资本化,菊颖医药观察
725,2020-06-12,安图生物(603658)：技术与渠道能力并举,新浪
726,2020-06-12,"安图生物现2笔大宗交易 共成交4,736.18万元",新浪
727,2020-06-12,北向资金全天净卖出8.95亿元，尾盘再现外资指数调整波动,Wind
728,2020-06-11,安图生物：持股5%以上股东Z&F已减持约420万股 减持股份,每日经济新闻
729,2020-06-11,减持！安图生物：控股股东安图实业减持公司股份约431万股 减持股份,每日经济新闻
730,2020-06-11,安图生物(603658.SH)：Z&F减持1%股份 减持股份,格隆汇
731,2020-06-11,安图生物：Z&F累计减持比例达总股本1% 减持股份,Wind
732,2020-06-11,安图生物(603658.SH)：控股股东安图实业减持达到1% 减持股份,格隆汇
733,2020-06-11,安图生物：控股股东累计减持比例达1% 减持股份,Wind
734,2020-06-10,危中见机，后疫情时代的中长期投资机会：医疗健康下半年投资策略,Wind
735,2020-06-08,医药生物行业2020年6月投资月报：医药的牛市 是从什么时候开始的？,新浪
736,2020-06-08,医药生物行业周报：全球疫情持续 API和CDMO二季度超预期机会明显,新浪
737,2020-06-05,医药生物行业6月投资策略：后疫情时代 把握恢复性子行业和医药“新基建”增量赛道,新浪
738,2020-06-04,分红潮再次来临：8家高送转，百元牛股藏其中,Wind
739,2020-06-03,安图生物2019利润分配：每股派发现金红利0.90元,资本邦
740,2020-06-03,富时罗素：富时中国A50等指数季度审核变更6月22日生效,Wind
741,2020-06-02,安图生物：取得“柯萨奇病毒B组IgM抗体检测试剂盒”医疗器械注册证,金融界
742,2020-06-02,安图生物：取得医疗器械注册证书,e公司
743,2020-06-02,安图生物：病毒抗体检测试剂盒获得《医疗器械注册证》,Wind
744,2020-06-02,安图生物(603658.SH)：取得“柯萨奇病毒B组IgM抗体检测试剂盒”医疗器械注册证,格隆汇
745,2020-06-02,医药生物行业投资策略月报：布局高景气度细分领域 聚焦业绩持续增长带来的机会,广发证券
746,2020-05-26,医药行业每周医览药闻：火眼实验室与中国的高科技输出,新浪
747,2020-05-25,15只股股价创历史新高,证券时报网
748,2020-05-25,【华泰医药代雯团队】行业周报（第二十一周）| 20200525,谈医论股丨华泰医药
749,2020-05-25,A股早报2020年5月25日星期一,Wind
750,2020-05-24,【中信建投医药|行业周报】两会聚焦行业热点： 信息化、疫苗及器械,菊颖医药观察
751,2020-05-22,安图生物现2笔大宗交易 总成交金额6138.90万元,证券时报网
752,2020-05-22,"安图生物现2笔大宗交易 共成交6,138.90万元",新浪
753,2020-05-22,医药生物行业事件点评：公共卫生防控救治能力建设方案出台 医疗器械内需扩增,新浪
754,2020-05-22,68股融资余额增幅超5% 安图生物增幅最大,证券时报网
755,2020-05-21,"安图生物现4笔大宗交易 共成交5,764.80万元",新浪
756,2020-05-21,医药生物行业点评：加大公共卫生体系建设 带来庞大市场增量,新浪
757,2020-05-21,医药行业快报：公共卫生防控救治能力建设方案发布 医疗设备采购浪潮仍将持续,新浪
758,2020-05-21,沪深300等指数样本股调整在即，或带来交易性投资机会,Wind
759,2020-05-20,41股获券商买入评级，日月股份目标涨幅达59.82%,Wind
760,2020-05-19,医药生物行业日报：医药高位震荡格局延续,新浪
761,2020-05-19,【华西医药崔文亮团队】《医药生物行业点评报告：两会医药议题解读：疫苗、创新药、IVD和医疗设备等领域继续成为关注焦点》,崔文亮研究团队
762,2020-05-18,"安图生物现2笔大宗交易 共成交7,851.60万元",新浪
763,2020-05-18,A股早报2020年5月18日星期一,Wind
764,2020-05-17,安图生物：新冠病毒抗体检测试剂盒取得医疗器械注册证书,上证报
765,2020-05-17,安图生物(603658.SH)：新冠病毒抗体检测试剂盒获医疗器械注册证书,格隆汇
766,2020-05-15,安图生物(603658.SH)取得医疗器械注册证书,格隆汇
767,2020-05-14,金融工程：沪深300及中证500成分股调整名单预测,新浪
768,2020-05-13,医药行业周报：疫情后半场 建议关注三个赛道,渤海证券
769,2020-05-12,武汉紧急通知，全员核酸筛查！这些股票应声暴涨,中国基金报
770,2020-05-12,创业板迎来迈瑞之后又一IVD龙头背后VC大赚或超百倍,投中网
771,2020-05-11,安图生物(603658.SH)：Z&F减持期过半 集中竞价减持124.24万股 减持股份,格隆汇
772,2020-05-11,安图生物：Z&F减持0.29%公司股份 减持股份,Wind
773,2020-05-07,5月7日晚间上市公司十大重磅公告,巨丰财经
774,2020-05-07,安图生物(603658.SH)取得8项医疗器械注册证书,格隆汇
775,2020-05-03,【光大医药|19年报&20Q1点评】安图生物：疫情中仪器铺货顺利，流水线将于21年带来业绩加速,医心医意要健康
776,2020-04-29,安图生物(603658.SH)2019年度净利润升37.61%至7.74亿元拟10派9元,格隆汇
777,2020-04-29,安图生物(603658.SH)一季度净利润降23.08%至9311.97万元 盈利能力下降,格隆汇
778,2020-04-29,安图生物：一季度净利润同比减少23.08% 盈利能力下降,Wind
779,2020-04-29,安图生物：2019年净利润同比增长37.61%,Wind
780,2020-04-28,郑州安图生物新型冠状病毒防控应急 科研攻关项目成果获美国FDA 紧急使用授权,中国发展网
781,2020-04-26,57股本周逆市创新高，集中三大行业,证券时报
782,2020-04-21,晚间重要公告2020年4月21日星期二,Wind
783,2020-04-21,安图生物(603658.SH)控股股东拟减持不超3%股份 拟减持股份,格隆汇
784,2020-04-21,安图生物：控股股东拟减持不超过公司3%股份 减持股份,Wind
785,2020-04-21,安图生物：控股股东安图实业拟减持不超过总股本3% 拟减持股份,新浪
786,2020-04-20,安图生物(603658.SH)：安图实业减持期届满 累计减持751.08万股 减持股份,格隆汇
787,2020-04-20,安图生物：安图实业减持1.74%公司股份 减持股份,Wind
788,2020-04-15,【民生医药|周报】医疗服务领涨，持续关注“供-需”端增速分化带来投资机会,杏林建研
789,2020-03-27,安图生物(603658.SH)：收到医疗器械注册证,格隆汇
790,2020-03-12,关注医药行业“高科技”领域 业界：这些企业被看好,制药网
791,2020-03-10,安图生物(603658.SH)取得不动产权证书,格隆汇
792,2020-03-06,医疗器械股大涨，海外疫情多点扩散，行业享政策发展红利,第一财经
793,2020-03-04,富时罗素宣布对富时中国A50指数等多个指数季度审核变更,Wind
794,2020-02-26,安图生物(603658.SH)：伊美诺通过高新技术企业重新认定,格隆汇
795,2020-02-21,联合评级：终止对安图生物及“安图转债”的跟踪评级,Wind
796,2020-02-20,安图生物(603658.SH)取得医疗器械注册证,格隆汇
797,2020-02-19,安图转债交易终止，今年转债市场是否会出现“赎回潮”？,Wind
798,2020-02-19,安图转债交易终止 多只转债即将强赎,中证报
799,2020-02-18,冷链战疫 中集冷云助力安图生物共击疫情,中国经济网
800,2020-02-17,新冠肺炎医药战“疫”正在进行时，关注哪些A股优质标的？丨牛熊眼,第一财经
801,2020-02-14,【抗击疫情】会员在行动：抗击疫情，安图人在行动！,医疗器械协会
802,2020-02-10,安图生物：关于“安图转债”全额赎回及摘牌公告 退市,深交所
803,2020-02-10,安图生物：2月19日起“安图转债”停止交易和转股,格隆汇
804,2020-02-09,疫情阴云下的大消费：行业冲击有限，价值不变抓买点（附股）,和讯
805,2020-02-06,"安图生物现1笔大宗交易 共成交1,759.80万元",新浪
806,2020-02-06,安图生物今日大宗交易成交15万股，成交价117.32元折价7.62%,Wind
807,2020-02-05,"安图生物现1笔大宗交易 共成交1,831.20万元",新浪
808,2020-02-04,高价转债跌幅较大 可转债平均转股溢价率抬升,华创债券论坛
809,2020-02-03,安图生物(603658.SH)：提前赎回“安图转债”,格隆汇
810,2020-01-30,安图生物：拟捐赠价值1100万医疗设备抗击疫情,e公司
811,2020-01-21,"安图生物现1笔大宗交易 共成交3,000.51万元",新浪
812,2020-01-21,A股也爆发流感 疫苗等概念股集体拉涨,每日商报
813,2020-01-20,安图生物(603658.SH)控股股东减持时间过半累计减持1.5%股份 减持股份,格隆汇
814,2020-01-20,安图生物：控股股东减持1.5%公司股份 减持股份,Wind
815,2020-01-20,医药股、口罩概念股掀涨停潮 酒店旅游概念股纷纷走低,腾讯网
816,2020-01-17,安图生物现1笔大宗交易 共成交732.76万元,新浪
817,2020-01-15,安图生物(603658.SH)：齐齐哈尔安图医学检验实验室取得医疗机构执业许可证,格隆汇
818,2020-01-13,[公司]安图生物：股东Z&F计划减持不超3%公司股份 拟减持股份,全景网
819,2020-01-13,安图生物股东拟减持不超过1260万股 拟减持股份,资本邦
820,2020-01-13,安图生物(603658.SH)：持股5%以上股东Z&F拟减持不超3%股份 拟减持股份,格隆汇
821,2020-01-13,安图生物：Z&F拟减持不超过总股本3% 减持股份,Wind
822,2020-01-13,免疫诊断“风口”劲吹，迈瑞医疗、安图生物、迈克生物，三巨头哪家强？,阿尔法工场
823,2020-01-07,安图生物(603658.SH)取得医疗器械注册证书 产品名称为分枝杆菌培养瓶,格隆汇
824,2019-12-31,安图生物(603658.SH)取得医疗器械注册证书,格隆汇
825,2019-12-31,安图生物(603658.SH)控股股东解除质押1650万股,格隆汇
826,2019-12-27,安图生物(603658.SH)：“安图转债”将开始转股 转股价为64.11元/股,格隆汇
827,2019-12-26,安图生物(603658.SH)控股股东解除质押930.58万股,格隆汇
828,2019-12-16,安图生物股东Z&F减持实施时间区间届满 减持股份,上证报
829,2019-12-16,安图生物(603658.SH)：减持期届满Z&F已累计减持1.6527%的股份 减持股份,格隆汇
830,2019-12-16,安图生物：Z&F减持1.6527%公司股份 减持股份,Wind
831,2019-12-10,安图生物(603658.SH)：控股股东拟发行可交换债对所持公司2400万股A股办理担保,格隆汇
832,2019-12-10,医疗器械板块逆市拉涨，机构：国产替代的拐点已来临,第一财经
833,2019-12-07,2019金股表现优异，2020再出发！,中原证券研究所
834,2019-12-06,安图生物(603658.SH)：拟获控股股东提供借款不超8.4亿元,格隆汇
835,2019-12-06,【方正医药】中长期持续看好的最优投资方向,方正证券研究
836,2019-12-03,对小规模企业并不友好的体外诊断市场，热景生物需要等待转机,财华社
837,2019-12-02,连续跌停 白马股抱团瓦解拉开序幕？核心资产后续还有无机会 连续下跌,证券时报
838,2019-11-29,安图生物：取得2项医疗器械注册证书,e公司
839,2019-11-29,本周10家上市公司发布可转债预案，融资总规模达86.43亿元,Wind
840,2019-11-29,安图生物：产品获国家药监局颁发的《医疗器械注册证》,第一财经
841,2019-11-29,安图生物(603658.SH)获两项医疗器械注册证书,格隆汇
842,2019-11-29,医药生物指数跳水，通化东宝、安图生物跌超5%,Wind
843,2019-11-28,安图生物应收款激增伴随发债贷款 竞争激烈毛利下滑 资产异常,投资者报
844,2019-11-25,安图生物(603658.SH)控股股东非公开发行可交换债券获上交所无异议函,格隆汇
845,2019-11-23,未来医药行业主要为机构性机会,信息时报
846,2019-11-22,快讯：安图生物跌停 报于98.34元,金融界
847,2019-11-22,高位医药股全线杀跌，我武生物、康泰生物双双跌停,Wind
848,2019-11-21,【安图生物】大幅拉升2.04% 股价创近2个月新高,金融界
849,2019-11-20,【安图生物】大幅拉升1.69% 股价创近2个月新高,金融界
850,2019-11-16,医药股年底行情可期 创新药中药医疗器械是三条主线,金融投资报
851,2019-11-14,"安图生物现1笔大宗交易 共成交4,999.82万元",新浪
852,2019-11-14,安图生物今日大宗交易成交49.70万股，成交价100.6元折价6.68%,Wind
853,2019-11-13,这只“百元股”毛利率5年连降 股东高位减持套现7亿 盈利能力下降,华夏时报
854,2019-11-13,毛利率碾压茅台，股价频创新高，原来有ROE撑腰！21只白马股业绩或持续高增长,证券时报
855,2019-11-08,安图生物(603658.SH)子公司完成医疗器械生产许可证变更登记 关联方问题,格隆汇
856,2019-11-08,安图生物(603658.SH)取得4项医疗器械注册证书,格隆汇
857,2019-11-07,多只牛股已翻倍 医疗器械的好股票都在这里了(附表),腾讯网
858,2019-11-06,11月6日有58家公司获重要股东增减持 世纪瑞尔已被连续减持88次 减持股份,Wind
859,2019-11-05,"安图生物现1笔大宗交易 共成交5,552.59万元",新浪
860,2019-11-05,安图生物(603658.SH)：安图实业累计减持420万股 减持股份,格隆汇
861,2019-11-05,安图生物：控股股东安图实业减持已达到1%股份 减持股份,Wind
862,2019-11-05,安图生物：控股股东减持1%公司股份 减持股份,Wind
863,2019-11-01,【安图生物】19Q3季报点评：IVD平台效应显现，19Q3业绩再提速,医心医意要健康
864,2019-10-31,医药股领涨，三季报业绩亮眼，哪些低估值高业绩标的值得关注？,第一财经
865,2019-10-30,安图生物：高增长高估值，重要股东高位减持传递何种信号？ 减持股份,面包财经
866,2019-10-29,【华泰医药代雯团队】安图生物（603658）2019年三季报点评：大力投入研发，业绩延续高增长,谈医论股丨华泰医药
867,2019-10-29,A股共发生94宗大宗交易成交12.84亿元（10月29日）,Wind
868,2019-10-29,"安图生物现5笔大宗交易 共成交17,142.83万元",新浪
869,2019-10-28,【民生医药|季报点评】安图生物：化学发光进口替代任重道远，业绩维持高增速,杏林建研
870,2019-10-28,安图生物前三季净利增逾三成,金融界
871,2019-10-28,安图生物：前三季度净利润同比增30.87%,Wind
872,2019-10-24,【民生医药】医药生物2019年三季报总结：基本面进入值得期待的新周期,杏林建研
873,2019-10-17,【方正医药】安图生物：化学发光全面领先，流水线系统进一步提升公司核心竞争力,方正证券研究
874,2019-10-17,"医药行业周报:立足业绩,关注绩优股发展逻辑",渤海证券
875,2019-10-16,安图生物(603658.SH)：“全自动加样系统”获医疗器械注册证书,格隆汇
876,2019-10-16,普门科技招股书解读：主打治疗康复和体外诊断，研发投入高,面包财经
877,2019-10-15,"医药生物行业:关注带量采购全国扩面,聚焦核心资产",东吴证券
878,2019-10-12,三季报披露开闸 三行业迎估值切换行情,金融投资报
879,2019-10-09,医疗保健：氧感知通路获诺奖 荐10股,渤海证券
880,2019-09-30,从产品代理到进口替代，体外诊断这一蓝海市场如何实现弯道超车？ | 医疗创新系列报道,动脉网
881,2019-09-27,45股遭大宗低价甩货 最低8.6折,中财网
882,2019-09-27,[快讯]9月27日大宗交易一览,中财网
883,2019-09-27,安图生物今日大宗交易成交149.78万股，成交价85.0元折价4.4%,Wind
884,2019-09-27,上海证券市场大宗交易公开信息(2019-09-27),上交所
885,2019-09-25,安图生物(603658.SH)控股股东减持273.19万张“安图转债” 减持股份,格隆汇
886,2019-09-25,安图生物：控股股东安图实业累计减持安图转债68.298万张，占发行总量的10% 减持股份,Wind
887,2019-09-24,A股异动 | 安图生物涨停 公司产品用于癌症检测。,格隆汇
888,2019-09-20,安图生物：控股股东拟减持不超3%股份 拟减持股份,e公司
889,2019-09-20,安图生物(603658.SH)产品胃泌素释放肽前体检测试剂盒（磁微粒化学发光法）获发医疗器械注册证,格隆汇
890,2019-09-20,安图生物(603658.SH)：安图实业拟减持不超3%股份 拟减持股份,格隆汇
891,2019-09-20,安图生物：控股股东安图实业计划减持不超过1260万股 减持股份,Wind
892,2019-09-16,安图生物(603658.SH)：Z&F累计减持1.1048%股份 减持股份,格隆汇
893,2019-09-16,安图生物：持股5%以上股东累计减持464万股 减持股份,Wind
894,2019-09-16,最新！国内26家械企利润、销售、研发、资产大排行,新浪
895,2019-09-16,北上资金连续11日净流入 6股连续11日获加仓,证券时报
896,2019-09-11,安图转债：控股股东减持安图转债204.89万张，占发行总量30% 减持股份,Wind
897,2019-09-11,安图生物：控股股东累计减持安图转债68.298万张 减持股份,Wind
898,2019-09-10,"医药行业半年报业绩综述:内部仍在分化,龙头业绩亮眼",渤海证券
899,2019-09-06,逢高减持成标配，信息技术板块48亿元高位套现不手软,Wind
900,2019-09-03,国泰君安中小盘·伐谋周报【国务院发布振兴消费相关措施，新增推荐南华仪器】,易研九鼎
901,2019-09-03,【医药】物流运输需求下滑风险，运输结构变化风险,天风研究
902,2019-09-02,A股早报2019年9月2日星期一,Wind
903,2019-09-01,"连续8个月""无脑""买入！北向资金持仓生物医药市值增长78% ，这些个股最受青睐",券商中国
904,2019-09-01,下周解禁市值增幅逾一倍 解禁市值最高的是它 解禁,证券时报
905,2019-08-30,下周441亿市值限售股解禁，环比增加452.77% 解禁,Wind
906,2019-08-30,上市公司8300亿闲钱买理财，1.5万亿债券融资，这17家有点不一样,Wind
907,2019-08-30,巨丰数据赢 | 下周38家上市公司解禁 这批股注意避险（附名单） 解禁,巨丰财经
908,2019-08-29,安图生物(603658.SH)子公司取得《药品经营许可证》和GSP证书,格隆汇
909,2019-08-26,安图生物(603658.SH)：约2.8346亿股首发限售股将解禁 解禁,格隆汇
