,2021-12-31,海螺水泥：持续节能降耗管控 保持竞争比较优势,新浪
3365,2020-06-28,单日88股派现 A股2019年度分红已超4400亿元,北京商报
3366,2020-06-28,大宗指南：周期品周度运行变化,新浪
3367,2020-06-28,减持！新力金融：5%以上股东海螺水泥减持约513万股 减持股份,每日经济新闻
3368,2020-06-28,新力金融(600318.SH)：海螺水泥已减持513.36万股 减持股份,格隆汇
3369,2020-06-28,新力金融：公司股东海螺水泥减持计划完成，减持股份数量约513万股 减持股份,Wind
3370,2020-06-25,当前时点如何看水泥(7)：华东淡季复盘积极拥抱7月,新浪
3371,2020-06-25,又见股神上市公司:5天赚了3000万 还有多家上市公司携巨资入市,e公司
3372,2020-06-24,Globiz 主题沙龙 | 出海东南亚的机遇与挑战,36氪
3373,2020-06-24,海螺水泥现1笔大宗交易 共成交243.45万元,新浪
3374,2020-06-24,这家公司是水泥龙头，疫情后基建发力带动需求复苏！,搜狐
3375,2020-06-24,池州海螺水泥万吨水泥熟料生产线将召开听证会,中国水泥网
3376,2020-06-24,智通AH统计|6月24日,智通财经
3377,2020-06-24,大行评级|中金：内地建材板块景气向好关注海螺水泥(0914.HK)等股,格隆汇
3378,2020-06-24,快讯：水泥板块异动涨逾1% 机构推荐两条投资思路,证券日报
3379,2020-06-24,建材行业2H20展望：景气向好 拥抱“新格局”与“新成长”,新浪
3380,2020-06-24,中国建材(03323.HK)：资产质量和业务潜力被低估的综合建材龙头，首次“强烈推荐”评级,格隆汇
3381,2020-06-24,恒生指数开盘涨0.51% 腾讯股价站上500港元,中新经纬
3382,2020-06-24,水泥需求下滑 价格随之下调,中国报告大厅
3383,2020-06-24,【广发宏观盛旭】疫情后的变局：中观产业链2020年中期展望,郭磊宏观茶座
3384,2020-06-23,单日88股派现 A股2019年度分红已超4400亿元,北京商报
3385,2020-06-23,北上资金爆买A股 累计净流入超1.1万亿元,中投网
3386,2020-06-23,西部基建需求较好带动区域量价齐升 关注水泥龙头,证券时报网
3387,2020-06-23,智通AH统计|6月23日,智通财经
3388,2020-06-23,海螺水泥、冀东水泥等多家水泥企业拟入选陕西省第一批绿色制造名单,中国水泥网
3389,2020-06-23,中国水泥协会关于组织召开安徽池州海螺水泥万吨线建设项目产能置换方案听证会的公告,数字水泥
3390,2020-06-23,价格战打响！南北方水泥价格普遍下滑！,中国混凝土网
3391,2020-06-23,2020年水泥行业市场现状与竞争格局分析 产销平衡价格有所回落【组图】 盈利能力下降,前瞻研究院
3392,2020-06-23,恒指高开0.12%，腾讯股价续刷历史新高,中新经纬
3393,2020-06-22,建材行业：5月水泥需求超预期,新浪
3394,2020-06-22,民生证券研究周观点,新浪
3395,2020-06-22,智通AH统计|6月22日,智通财经
3396,2020-06-22,【华创建筑建材】建材行业周观点：继续重点关注西北区域水泥,华创建筑建材研究
3397,2020-06-22,中国建材、海螺荣登“全球最有价值的50大工程和建设品牌”排行榜,中国水泥网
3398,2020-06-22,又一条5000t/d生产线！湖南今年第四条新建线来袭 共682万吨产能“参战”！,中国水泥网
3399,2020-06-22,【国信建材|周观点】需求恢复稳中有进，板块仍可积极做多,国信证券建材研究
3400,2020-06-22,高瓴资本48亿参与四家公司定增 携资金及业务增量入局加深合作,长江商报
3401,2020-06-22,能源、基础材料大宗商品2H20展望：建材板块景气向好 有色金属多点绽放,新浪
3402,2020-06-22,【华创建筑建材】2020建筑建材中期策略：装配建筑新模式，消费建材大时代,华创建筑建材研究
3403,2020-06-21,中国建材集团连续入围“2020全球最有价值的50大工程和建设品牌”排行榜，稳居第16位,中国建材集团
3404,2020-06-20,孔祥忠: 新基建助力 水泥效益有望与去年持平,中国水泥网
3405,2020-06-20,融资盘大幅回流，大盘低位抬升,南方财经网
3406,2020-06-19,北上资金本周净买入203.69亿元 连续13周净买入,证券时报网
3407,2020-06-19,5178点五周年，A股市场的成人礼,证券市场周刊
3408,2020-06-19,25股今日获机构买入评级,中财网
3409,2020-06-19,智通AH统计|6月19日,智通财经
3410,2020-06-19,新基建助力 水泥效益有望与去年持平——访中国水泥协会执行会长孔祥忠,数字水泥
3411,2020-06-19,建材行业2020年中期投资策略：周期与消费共振 把握确定性机会,华安证券
3412,2020-06-19,【国泰君安国际】晨报：继续关注电商和新能源板块 2020年6月19日周五,国泰君安证券香港
3413,2020-06-19,创业板创4年新高！贵州茅台、恒瑞医药双双再创新高，市场情绪被彻底点燃,格隆汇
3414,2020-06-19,海螺水泥5月份销量稳定,南方财经网
3415,2020-06-19,大盘人气恢复 三一重工融资盘小幅流入,南方财经网
3416,2020-06-19,周期与消费共振，建材板块表现亮眼，关注四投资主线,证券时报网
3417,2020-06-18,2020年“义利99”排行榜发布 中小板公司有稳健增加趋势,证券日报
3418,2020-06-18,2020年“义利99”榜单公布 共有10家银行股入选,和讯
3419,2020-06-18,海螺水泥(600585)：水泥龙头 价值投资首选,新浪
3420,2020-06-18,智通AH统计|6月18日,智通财经
3421,2020-06-18,基建拉不动？南北方水泥价格普遍下滑,每日经济新闻
3422,2020-06-18,海螺水泥3#泊位通过对外开放市级预验收,数字水泥
3423,2020-06-18,“618”，股市有哪些机会？,国盛证券
3424,2020-06-17,6月17日北向资金成交活跃股名单,证券时报网
3425,2020-06-17,A股共发生180宗大宗交易成交39.15亿元（6月17日）,Wind
3426,2020-06-17,25股特大单净流入资金超1亿元,证券时报网
3427,2020-06-17,数据复盘|37股主力资金净流入超亿元 机构抢筹华兰生物等13股,证券时报网
3428,2020-06-17,6月17日主力资金净流出266亿元,证券时报网
3429,2020-06-17,丛林铝业完成重整再造，大型企业海螺集团跨越式进入铝深加工领域！ 减资破产,长江有色
3430,2020-06-17,63股即将实施分红 海螺水泥派现最大方,证券时报网
3431,2020-06-16,想定投行业基金 该怎么选行业？,中投网
3432,2020-06-16,水泥板块16日盘中震荡走高,证券时报网
3433,2020-06-16,光大证券建筑建材2020年下半年投资策略：基建与竣工仍为年内两大引擎 “装配式”与“精装”已成行业趋势,金融界
3434,2020-06-16,大摩调高恒指目标至23300点花旗预测目标为28226点,财华社
3435,2020-06-16,【华泰建筑建材鲍荣富】2020年1-5月建材投资数据点评：需求强劲恢复，淡季回落提供机会,华泰建筑建材研究
3436,2020-06-16,建筑材料行业研究周报：步入中报行情 防水外加剂等有望亮眼,新浪
3437,2020-06-15,格隆汇个股放量排行榜|6月15日,格隆汇
3438,2020-06-15,非金属建材行业6月投资策略：淡季运行无忧，仍可积极做多，维持“超配”评级,格隆汇
3439,2020-06-15,民生证券研究周观点,新浪
3440,2020-06-15,长城建材-建材行业周观点：第二次全国污染源普查公报公布，建材环保治理仍有空间,微信
3441,2020-06-15,建材周报| 步入中报行情，防水外加剂等有望亮眼【华西建材建筑戚舒扬团队】20200615,华西工匠
3442,2020-06-15,【华创建筑建材】建材行业周观点：空气污染治理取得阶段性成效，供需两端发力保障水泥淡季平稳运行,华创建筑建材研究
3443,2020-06-15,若境内疫情再起，A股能否承受如此之“重 ”？,国盛证券
3444,2020-06-15,海螺水泥(600585)：海螺水泥核心壁垒是成本领先和优秀的费用控制,新浪
3445,2020-06-15,指数增强基金 长期投资收益明显,中国基金报
3446,2020-06-14,【华泰建筑建材鲍荣富】建材周观点0614：短期看好6月竣工交付，中长期持有格局改善龙头,华泰建筑建材研究
3447,2020-06-12,A股最后3分钟！惊人一幕又出现了：“宇宙行”竟被狂砸！这些股却飙升，发生了什么？,中国基金报
3448,2020-06-12,港交所二十年：股价涨75倍市值增加43倍(附涨幅榜),新浪
3449,2020-06-12,北水连续三日涌入腾讯；南水重新买回茅台、加仓东方财富,富途证券
3450,2020-06-12,数据复盘|市场主力资金连续9日净流出 44股主力资金净流入超亿元,证券时报网
3451,2020-06-12,北向资金结束连续14天净流入，加仓贵州茅台5.5亿元,第一财经
3452,2020-06-12,工商银行今日遭北向资金净卖出6.37亿元,e公司
3453,2020-06-12,北向资金净流出8.94亿元 工商银行净卖出6.37亿元,新浪
3454,2020-06-12,北上资金净流出8.95亿工商银行净卖出6.37亿,格隆汇
3455,2020-06-12,北向资金终结连续14日净买入，工商银行遭净卖出6.37亿元居首,Wind
3456,2020-06-12,工商银行、芒果超媒、闻泰科技、汇顶科技、华泰证券、海螺水泥集合竞价被砸盘,Wind
3457,2020-06-12,投资细水长流才是王道！“暴利”和“快速致富”,养基司令
3458,2020-06-12,恒指午间收跌1.28%，油气设备服务板块领跌,Wind
3459,2020-06-12,长三角水泥价格回落 中国建材下跌2%山水水泥下跌3%,新浪
3460,2020-06-12,大跌60元！华东长三角价格大面积下调 开启“甩卖”模式！,中国水泥网
3461,2020-06-12,沪指阔别5178点五年：跌去超过40% 失真问题凸显,上证报
3462,2020-06-11,陆股通净买入1.45亿元，连续14日净买入,证券时报网
3463,2020-06-11,33股主力资金净流入超亿元,证券时报网
3464,2020-06-11,海螺水泥上榜淮安首份环保示范性企事业单位名单,中国水泥网
3465,2020-06-11,9位均衡风格基金经理及核心产品（四）,养基司令
3466,2020-06-11,北向资金高比例持有股票名单,中财网
3467,2020-06-11,中信证券：下半年关注基础设施和房地产领域的投资机会,证券时报网
3468,2020-06-11,大盘人气恢复 莱宝高科融资盘小幅流入,财富动力网
3469,2020-06-11,【金工】基本面量化研究之建材行业择时与选股策略——金融工程专题报告（联系人：郝倞）,渤海证券研究
3470,2020-06-11,【兴证张忆东团队】海外机构：新兴行业深挖细分领域，传统行业看重韧性,张忆东策略世界
3471,2020-06-10,智通港股解盘(06.10) | 恒指冲高回落观望议息会议 网易上市新经济预热,智通财经
3472,2020-06-10,数据解盘|今日北向资金合计净流入18.41亿元 电子元件板块遭主力资金抛售 股票卖空,新浪
3473,2020-06-10,湖北水泥乘船直达海螺水泥“大本营”,芜湖港
3474,2020-06-10,基础设施与房地产产业2020年下半年投资策略：REITS破冰 平台降世(PPT),新浪
3475,2020-06-10,建材板块发力上扬，水泥开启夏季错峰，提振行业淡季运行,证券时报网
3476,2020-06-10,淡季不淡或重现 机构两主线勾勒水泥股机遇,中证网
3477,2020-06-10,港股午评|恒指跌转升重上两万五，游戏股全线上涨，港元再遭狙击,富途证券
3478,2020-06-10,水泥股盘中异动走强 祁连山涨逾4%,中国经济网
3479,2020-06-10,水泥行业出货率下降 库存较高,中国报告大厅
3480,2020-06-10,港股异动 | 需求回升促价格上涨 建材水泥股走强,格隆汇
3481,2020-06-10,20股获杠杆资金净买入超5000万元,证券时报网
3482,2020-06-09,连续3日净买入 海螺水泥获沪股通净买入1.49亿元,证券时报网
3483,2020-06-09,北向资金连续第12日净买入，成交活跃股抢先看,证券时报网
3484,2020-06-09,5只股获北向资金连续净买入,证券时报网
3485,2020-06-09,海螺水泥(600585.SH)：每10股派20元股权登记日6月17日,格隆汇
3486,2020-06-09,海螺水泥(00914)拟6月24日派H股末期股息每股2.18港元,智通财经
3487,2020-06-09,智通AH统计|6月9日,智通财经
3488,2020-06-09,基础设施和房地产产业2020年下半年投资策略：REITS破冰 平台降世,新浪
3489,2020-06-09,【国信建材|周观点】水泥开启夏季错峰，玻璃运行稳健良好,国信证券建材研究
3490,2020-06-09,睿财看市场 ：指数再创本轮新高，消费电子接力领涨,恒泰睿财
3491,2020-06-09,盘点 | 国家队、物业公司、房地产大佬……环保产业“后浪”为啥这么多？,环保在线
3492,2020-06-08,智通AH统计|6月8日,智通财经
3493,2020-06-08,茅台新王加冕，低估值大盘股还有春天吗？,私募排排网
3494,2020-06-08,高登榜在“两个二代”技术装备创新研发领导小组扩大会与现场办公会上的讲话,数字水泥
3495,2020-06-08,【华创建筑建材】建材行业周观点：重大项目持续推进，料水泥价格淡季下调幅度有限,华创建筑建材研究
3496,2020-06-08,长城建材-建材行业周观点：近十个省份近期错峰停产，抑制水泥行业供给 经营问题,微信
3497,2020-06-08,恒指半日涨0.17%家居装修零售商板块领涨,中新经纬
3498,2020-06-08,吴斌：预计未来2-3年中国水泥需求仍可维持在一个合理区间的平台期,数字水泥
3499,2020-06-08,上周全国及六大区域水泥、熟料库存情况统计（6.5）,中国水泥网
3500,2020-06-08,半年24条生产线进场！海螺、南方、中联、红狮、华新都在建！,中国水泥网
3501,2020-06-08,[原创]中国建材、海螺水泥……水泥前五强一些有趣的数据,中国水泥网
3502,2020-06-07,"国盛策略：短期关注""类消费"" 中长期科技成长仍是主线",金融界
3503,2020-06-07,【国信策略】北上资金持续流入，消费医药继续加码,新浪
3504,2020-06-06,海螺水泥又一重大技术成果！芜湖白马山水泥厂窑尾NOX稳定控制在50mg/m以内,中国水泥网
3505,2020-06-06,"【国泰君安国际】晨报：理解资产荒,才能看清本轮股市上涨的原因 2020年6月10日周三",国泰君安证券香港
3506,2020-06-05,北上资金本周净买入240.51亿元 连续11周净买入,证券时报网
3507,2020-06-05,北上资金连续第10日净买入（附成交活跃股名单）,证券时报网
3508,2020-06-05,38股主力资金净流入超亿元,证券时报网
3509,2020-06-05,365亿主力资金近三日撤出融资融券概念股,证券时报网
3510,2020-06-05,智通AH统计|6月5日,智通财经
3511,2020-06-05,注意！75家水泥企业列入山东重点行业节能监察名单,中国水泥网
3512,2020-06-05,智通港股通占比异动统计|6月5日,智通财经
3513,2020-06-05,智通港股通持股解析|6月5日,智通财经
3514,2020-06-04,建材行业：竣工端回暖以及旧改利好消费建材龙头,新浪
3515,2020-06-04,宁国水泥厂产能出让！海螺拟新建一条水泥万吨线！,数字水泥
3516,2020-06-04,地摊大排档火了，獐子岛都涨停！A股又熄火，沪指跌0.14%收2919,搜狐
3517,2020-06-04,智通AH统计|6月4日,智通财经
3518,2020-06-04,华证指数发布最新水泥上市公司评级 海螺水泥、华新水泥AA级 金圆股份CCC级,中国水泥网
3519,2020-06-04,化“碳”为宝 乔龙德、高登榜、肖家祥…都在关心这件事！,中国水泥网
3520,2020-06-04,世界500强企业海螺集团落户山东庆云！,数字水泥
3521,2020-06-04,总投资30亿元！世界500强企业海螺集团落户德州庆云！,中国水泥网
3522,2020-06-04,金圆股份：水泥与环保 孰车孰卒,中国水泥网
3523,2020-06-04,海螺水泥拟新建一条水泥熟料万吨线！,中国水泥网
3524,2020-06-04,智通港股通占比异动统计|6月4日,智通财经
3525,2020-06-04,智通港股通持股解析|6月4日,智通财经
3526,2020-06-04,格隆汇港股通5日资金流入流出排行榜 | 6月3日,格隆汇
3527,2020-06-04,细数A股59家「隐形冠军」股,新浪
3528,2020-06-03,格隆汇个股放量排行榜 | 6月3日,格隆汇
3529,2020-06-03,十五年坚守匠心 中国在线元素分析仪如何一步步与世界比肩？,中国水泥网
3530,2020-06-03,智通AH统计|6月3日,智通财经
3531,2020-06-03,爱亿普环保：水泥窑SCR脱硝最佳可行性技术应用浅析,北极星电力
3532,2020-06-03,智通港股通占比异动统计|6月3日,智通财经
3533,2020-06-03,中国建材“大手笔”豪掷15.3亿！三个砂石矿权收入囊中,中国混凝土网
3534,2020-06-03,智通港股通持股解析|6月3日,智通财经
3535,2020-06-03,智通港股通资金流向统计(T+2)|6月3日,智通财经
3536,2020-06-02,格隆汇个股放量排行榜 | 6月2日,格隆汇
3537,2020-06-02,26股主力资金净流入超亿元,证券时报网
3538,2020-06-02,里昂：海螺水泥目标价上调至71.86港元 重申买入评级,新浪
3539,2020-06-02,智通AH统计|6月2日,智通财经
3540,2020-06-02,最被看好十大港股：里昂升周黑鸭目标价至5.7港元,新浪
3541,2020-06-02,中国联塑抽升超10% 花旗重申买入评级,新浪
3542,2020-06-02,里昂：上调海螺水泥(0914.HK)目标价至71.86港元 评级维持买入,格隆汇
3543,2020-06-02,中国联塑升逾10% 主动买盘62%,新浪
3544,2020-06-02,钢铁行业报告：如何看待方大钢铁集团并购达州钢铁？,新浪
3545,2020-06-02,上海玫跃：高频开关直流电源屏产品研发及生产销售的优秀企业,中国能源网china5e
3546,2020-06-02,15.4亿！中国建材又出手了！水泥企业都在疯狂的干这一件事,中国水泥网
3547,2020-06-02,智通港股通占比异动统计|6月2日,智通财经
3548,2020-06-02,建筑｜5月新增专项债首破万亿 建筑资金持续改善,中信证券研究
3549,2020-06-02,万青转债：江西水泥龙头，建议积极申购,睿哲固收研究
3550,2020-06-02,海螺水泥(600585)公司深度报告：基建刺激需求复苏 水泥龙头巨象起舞,新浪
3551,2020-06-02,智通港股通资金流向统计(T+2)|6月2日,智通财经
3552,2020-06-02,高股息率低估值龙头股：机构扎堆推荐 最高目标涨70%,新浪
3553,2020-06-02,智通港股投资日志|6月2日,智通财经
3554,2020-06-01,年盈利不足800万审计费用却达550万 深交所质问*ST索菱：花钱买审计意见？,每日经济新闻
3555,2020-06-01,39股今日获机构买入评级 6股上涨空间超20%,证券时报网
3556,2020-06-01,智通AH统计|6月1日,智通财经
3557,2020-06-01,海门经洽会签约24个项目、总投资超千亿元,纺织网
3558,2020-06-01,[周评]东北：需求普遍欠佳,中国水泥网
3559,2020-06-01,[周评]西南：四川、云南市场水泥报价仍有上扬,中国水泥网
3560,2020-06-01,[周评]中南：整体报价平稳，湖南主导水泥企业有意六月继续喊涨,中国水泥网
3561,2020-06-01,国信证券：水泥仍可做多 推荐海螺水泥等,证券时报网
3562,2020-06-01,【国信建材|周观点】玻璃供给端持续收缩，水泥仍可做多,国信证券建材研究
3563,2020-06-01,【华创建筑建材】水泥行业深度研究报告（三）：华东篇：全国水泥第一大市场，供需格局优良,华创建筑建材研究
3564,2020-06-01,唐山迁西县6月3家粉磨站停限产调度安排表,中国水泥网
3565,2020-06-01,安徽将新建一条4000t/d水泥熟料生产线,中国水泥网
3566,2020-06-01,盘前：预计指数6月仍是箱体震荡格局 关注内需题材,中国经济网
3567,2020-06-01,兴业证券6月策略：立足持久战,金融界
3568,2020-06-01,建材行业周观点：玻璃V型走势更极致 水泥淡季不淡或再现,新浪
3569,2020-06-01,基建主题基金一季度规模迅速攀升，中长线资金提前押注估值修复？,面包财经
3570,2020-06-01,沪深300等指数样本股调整,中证网
3571,2020-06-01,股民们注意，沪深300等指数调整了这些样本股,上观
3572,2020-06-01,【华泰固收|转债】万青转债：再迎基建题材核心品种——可转债新券投资价值分析,华泰固收强债论坛
3573,2020-06-01,运行平稳样本丰富，科创板指数应尽快推出,证券时报
3574,2020-06-01,运行平稳样本丰富科创板指数应尽快推出,证券时报
3575,2020-06-01,海螺水泥子公司现业绩盈亏疑云:事起2千万分红款纠纷 诉讼纠纷,腾讯网
3576,2020-05-31,海螺水泥子公司现业绩盈亏疑云：事起2000万分红款纠纷 赢官司恐面临信披问题 关联方问题,每日经济新闻
3577,2020-05-31,国盛策略:震荡保持多头思维 关注三个“类消费”方向,金融界
3578,2020-05-31,【华泰建筑建材鲍荣富】建材周观点0531：产业资本逻辑扩散，继续推荐管材板块,华泰建筑建材研究
3579,2020-05-31,智通财经港股6月投资策略及十大金股,智通财经
3580,2020-05-31,A股分红谁最壕?工行狂撒937亿铁公鸡28年一毛不拔,网易
3581,2020-05-31,独家｜子公司离奇亏损背后：2000万分红款纠纷让3000亿市值的海螺水泥难以“自圆其说” 关联方问题,每日经济新闻
3582,2020-05-29,北上资金本周净买入152.45亿元，38股现身活跃股榜单,证券时报网
3583,2020-05-29,建材行业：旧改新起点 再论孰将胜出,新浪
3584,2020-05-29,【重磅深度】旧改新起点，再论孰将胜出(国君建材 鲍雁辛 花健祎)20200529,鲍大侠之建材
3585,2020-05-29,智通AH统计|5月29日,智通财经
3586,2020-05-29,海螺水泥再涨逾2% 获惠誉展望为“稳定”,新浪
3587,2020-05-29,智通港股通占比异动统计|5月29日,智通财经
3588,2020-05-28,智通AH统计|5月28日,智通财经
3589,2020-05-28,重齿公司成功中标海螺水泥磨减速机备件合同,中国船舶
3590,2020-05-28,河北建设抽升8% 创逾一年高位,新浪
3591,2020-05-28,智通港股通资金流向统计(T+2)|5月28日,智通财经
3592,2020-05-27,最牛板块盘点（四）：建筑材料，妥妥跑赢沪深300的周期王者！,老司基一枚
3593,2020-05-27,海螺水泥现1笔大宗交易 共成交268.74万元,新浪
3594,2020-05-27,巨·财经 | 4月规模以上工业企业利润下滑收窄 意味着什么？ 盈利能力下降,巨丰财经
3595,2020-05-27,智通AH统计|5月27日,智通财经
3596,2020-05-27,A股上市公司年报分红榜：解密如何布局高分红股组合,投资者网
3597,2020-05-27,国泰君安国际**环球早间速递**2020年5月27日周三,国泰君安证券香港
3598,2020-05-27,巨丰投顾独家解读：水泥板块上涨带来的市场轮动,巨丰财经
3599,2020-05-27,卢庆国：饲料“禁抗”迫在眉睫建议加快“替抗”新品种审批,21世纪经济报道
3600,2020-05-27,全国人大代表、晨光生物科技集团董事长卢庆国：饲料“禁抗”迫在眉睫 建议加快“替抗”新品种审批,21世纪经济报道
3601,2020-05-26,疫情之下，不要忘了硬核资产长江电力,格隆汇
3602,2020-05-26,智通AH统计|5月26日,智通财经
3603,2020-05-26,恒指高开1.07%报23198.34点 蓝筹股普涨,中新经纬
3604,2020-05-26,金圆股份拟7.45亿引战投借力发展 超10亿并购推进建材环保双轮驱动,长江商报
3605,2020-05-26,主题｜两会跟踪之《政府工作报告》解读,中信证券研究
3606,2020-05-25,贝莱德增持海螺水泥(00914)86.25万股，每股作价58.30港元,智通财经
3607,2020-05-25,智通AH统计|5月25日,智通财经
3608,2020-05-25,【国信建材|财报总结】非金属建材行业19年年报及20年一季报总结：蓄势、整固、分化，再前行,国信证券建材研究
3609,2020-05-25,【国信建材|周观点】两会促进基建持续发力，行业运行不断向好,国信证券建材研究
3610,2020-05-25,融资余额三连降 10股获融资客逆势大手笔加仓,中证网
3611,2020-05-25,【权益变动】海螺水泥(00914-HK)被摩根大通减持约26.47万股 减持股份,财华社
3612,2020-05-25,A股优质行业龙头股汇总（名单）,金融界
3613,2020-05-24,【华创建筑建材】建材行业周观点：两会跟踪：延续稳中求进工作基调，投资首提“两新一重”,华创建筑建材研究
3614,2020-05-24,【中信证券建筑水泥】水泥周报：阶段性雨水不改需求强劲，政府工作报告逆周期政策如期落地（20200524）,Citics建筑
3615,2020-05-24,国盛策略：赚钱效应减弱 震荡中继续保持多头思维,金融界
3616,2020-05-24,【中信建筑水泥 罗鼎团队】政府工作报告点评：逆周期继续发力，上调基建增速预测至12%,Citics建筑
3617,2020-05-24,【华泰建筑建材鲍荣富】建材周观点0524：水泥玻璃继续提价，挖掘两会与产业资本逻辑,华泰建筑建材研究
3618,2020-05-24,方正证券：政策环境友好，有望提振建材需求,证券时报网
3619,2020-05-23,海螺水泥、华润水泥迎来强敌！又一条5000t/d生产线将开建！,中国水泥网
3620,2020-05-23,建材行业-华南水泥：拐点与趋势,新浪
3621,2020-05-22,行业深度报告：建材行业19年年报及20年一季报总结,新浪
3622,2020-05-22,北上资金本周净买入79.47亿元 连续9周净买入,证券时报网
3623,2020-05-22,10股主力资金净流入超亿元,证券时报网
3624,2020-05-22,海螺水泥现2笔大宗交易 共成交766.75万元,新浪
3625,2020-05-22,智通AH统计|5月22日,智通财经
3626,2020-05-22,恒泰证券：水泥需求大幅改善丨微研报,第一财经
3627,2020-05-22,低成本、高效率 水泥行业超低排放改造将井喷式爆发！,中国水泥网
3628,2020-05-22,【安信环保公用建材邵琳琳团队】水泥深度报告之三：华新水泥区位优势渐显，一体化龙头强者恒强,安信证券环保公用研究
3629,2020-05-22,北向资金大手笔增持155股 医药生物行业受追捧,中证网
3630,2020-05-21,【收盘简评】2020-05-21,赢家之星
3631,2020-05-21,产能置换|海螺水泥拟在四川建一条5000t/d水泥熟料生产线,数字水泥
3632,2020-05-21,解密主力资金出逃股 连续5日净流出558股,证券时报网
3633,2020-05-21,588亿主力资金近三日撤出融资融券概念股,证券时报网
3634,2020-05-21,17股主力资金净流入超亿元,证券时报网
3635,2020-05-21,板块轮动加速！结构性行情怎么抓？,中投网
3636,2020-05-21,智通AH统计|5月21日,智通财经
3637,2020-05-21,94股获北向资金青睐 19股增持逾亿元,中证网
3638,2020-05-21,恒指高开0.53%航空航天军工板块领涨,中新经纬
3639,2020-05-21,海螺水泥拟在四川建一条5000t/d水泥熟料生产线,中国水泥网
3640,2020-05-20,高管减持排行榜：9股减持额超亿元,证券时报网
3641,2020-05-20,陆股通净买入20.39亿元，连续4日净买入,证券时报网
3642,2020-05-20,月度数据点评|4月水泥需求转正，史上最旺5月来临【华西建材建筑戚舒扬团队】20200520,华西工匠
3643,2020-05-20,海螺水泥获沪股通连续3日净买入 累计净买入4.40亿元,证券时报网
3644,2020-05-20,解密主力资金出逃股 连续5日净流出545股,证券时报网
3645,2020-05-20,【主力资金】游资猛砸光刻胶概念，主力重金杀入OLED龙头,证券时报
3646,2020-05-20,粤开建材4月水泥数据点评：区域分化明显 南方需求较好 北方价格有弹性,新浪
3647,2020-05-20,23股主力资金净流入超亿元,证券时报网
3648,2020-05-20,盘后部署：港股短期窄幅上落 料24500点有阻力,新浪
3649,2020-05-20,【研报掘金】基建、地产等下游全面复苏，看好全国和区域水泥龙头企业,证券时报网
3650,2020-05-20,智通AH统计|5月20日,智通财经
3651,2020-05-20,建材家居销售额提升 水泥需求恢复,中国报告大厅
3652,2020-05-20,【东北建筑建材王小勇/阚磊】水泥行业研究报告：受益基建和地产投资增速，超配正当时,东北证券研究所
3653,2020-05-20,多种原材料涨价内在逻辑差异导致后续表现大不同,证券时报
3654,2020-05-19,北向资金｜今日北向资金净流入49.18亿元,重庆商报
3655,2020-05-19,粤开策略资金面 | 双重利好提振市场情绪，科技股表现强势-0519,粤开崇利论市
3656,2020-05-19,数据复盘| 48股主力资金净流入超亿元 北向资金连续三日净流入,证券时报网
3657,2020-05-19,469亿主力资金近三日撤出融资融券概念股,证券时报网
3658,2020-05-19,智通AH统计|5月19日,智通财经
3659,2020-05-19,贵州：支持海螺水泥、西南水泥建设水平更高的生产线,数字水泥
3660,2020-05-19,水泥价格大幅上涨 水泥目前多少钱一吨 2020年水泥行业发展前景趋势及发展现状,中研网
3661,2020-05-19,5只行业均衡风格绩优基金，打包拿走！,养基司令
3662,2020-05-19,大参考：近6日涨近10% 水泥需求集中释放,巨丰财经
3663,2020-05-19,水泥需求集中释放！近6日最大涨幅接近10%，区域水泥龙头有望受益,证券时报网
3664,2020-05-19,智通港股通占比异动统计|5月19日,智通财经
3665,2020-05-18,【按语】欧洲解封外盘大涨A股519行情梦难圆,搜狐
3666,2020-05-18,北上资金净买入34.04亿元 贵州茅台净买入居首,证券时报网
3667,2020-05-18,一季报现金流的“正负焦虑”：我武生物难改“销售依赖”，海康威视“平滑过渡”,红周刊
3668,2020-05-18,粤开策略资金面 | 国产替代局部走强，资金对科技股热度不减-0518,微信
3669,2020-05-18,717亿主力资金近三日撤出融资融券概念股,证券时报网
3670,2020-05-18,5月18日港股复盘：恒指涨0.58% 黄金股大涨 华为概念股大跌,证券时报网
3671,2020-05-18,绿色升级，水泥行业“超低排放”时代来临,中国水泥网
3672,2020-05-18,智通AH统计|5月18日,智通财经
3673,2020-05-18,水泥行业“超低排放”时代来临 必达福助力行业绿色升级,北极星电力
3674,2020-05-18,水泥股急涨 西部水泥扬近8%获唱好亚洲水泥飙近7%,新浪
3675,2020-05-18,A股千亿市值扩容至近百家，牛股这些特征你看清了吗？,上证报
3676,2020-05-18,港股午评：恒指低开高走涨0.4% 黄金股大涨,证券时报网
3677,2020-05-18,[原创]股价屡创新高 但你真的了解海螺吗,中国水泥网
3678,2020-05-18,[专题]2019年25家上市公司商混业务经营发展比较分析,中国水泥网
3679,2020-05-18,贵州每条水泥熟料生产线在2020年停窑不少于100天,中国水泥网
3680,2020-05-18,光大证券：建材子领域表现分化 成本端跌幅明显,金融界
3681,2020-05-18,【华创建筑建材】建材行业周观点：4月复工推进，基建单月增速回正，水泥产量创同期新高,华创建筑建材研究
3682,2020-05-17,严打了！水泥罐车超载反弹，各地24小时派驻水泥厂监管！,中国水泥网
