,2021-12-31,【银华基金】交易日报 2021-12-31,新浪
3002,2021-04-09,理财不保本，买基又被套！别慌，这种投资明天上新，速看攻略！,腾讯网
3003,2021-04-09,【银行视点】央行鼓励境外金融机构落户海南；招行上调贵金属业务风险等级；宁夏银保监局迎来新局长！,金融界
3004,2021-04-09,下一个五年，兴业银行向何处去？,Bank资管
3005,2021-04-09,3月银行业曝光量出现上升哈尔滨银行负面舆情占比最高,云掌财经
3006,2021-04-09,"钱宝科技汇付天下等5支付机构被兴业银行""拉黑""",中国经济网
3007,2021-04-09,【视频教程】如何通过国联期宝APP开立期货账户,国联期货
3008,2021-04-09,金融圈高薪“鄙视链”：基金最高，券商年终奖扣税百万,Wind
3009,2021-04-09,兴业银行打造信用卡全链路数字化客户经营闭环,金融界
3010,2021-04-09,从银行最新年报看银行IT市场的高增长【安信诸海滨团队】,诸海滨科新先声
3011,2021-04-09,助力人民币国际化 兴业银行跨境人民币业务再上新台阶,兴业银行
3012,2021-04-09,渤海证券--银行业周报：普惠小微两项政策再延期，银行业一季度表现值得关注【行业研究】,金融界股吧
3013,2021-04-09,债券承销报价迎来重磅新规，“白菜价”承销或成历史？,新京报
3014,2021-04-09,股份行零售转型经受疫情大考：招行稳坐零售之王 平安增速最猛,华夏时报
3015,2021-04-09,穗莞等5市被约谈！25家银行数据披露房贷利率真实情况 其他违规处罚,南方日报
3016,2021-04-09,A股融资融券日报：两融余额增加19.55亿元（4月8日）,Wind
3017,2021-04-09,16家银行净息差齐降 四季度盈利能力改善明显,南都报
3018,2021-04-09,中金：发起金融科技子公司，助推银行数字化转型,中金点睛
3019,2021-04-09,房贷利率跳涨，银行放贷审慎，各地严查“炒房”蛛丝马迹,Wind
3020,2021-04-09,年度报告说了啥？上市银行掌门人“擎画”未来,证券时报
3021,2021-04-09,北京房贷利率“暂未上调”，部分银行无额度放款,Wind
3022,2021-04-08,广州房贷全攻略：选对银行多重要？300万房贷月供少3000元！,南方+
3023,2021-04-08,高费率虚假宣传误导消费者？“明示贷款年化利率”新规来了 欺诈造假,北京商报
3024,2021-04-08,年报解读丨银行业绩增速放缓，多家房贷占比超标 盈利能力下降,搜狐
3025,2021-04-08,ICBE 2021广州跨交会4月7日盛大开幕！线上线下观展人数突破7.6万人次,凤凰网
3026,2021-04-08,银行理财3月报：净值化转型任重道远 理财收益率平稳,新浪
3027,2021-04-08,禹洲集团商业进驻深圳，挺近布局粤港澳大湾区,中国网
3028,2021-04-08,兴业证券建立市场首个碳中和投行行业部,兴业证券订阅号
3029,2021-04-08,5家银行2020年涉房贷款触及红线，银行表态降低房贷占比,奥一网
3030,2021-04-08,百傲化学(603360.SH)：三鑫投资解押700万股及质押700万股,格隆汇
3031,2021-04-08,服务实体经济 助推乡村振兴——兴业期货“银行+保险+期货”模式再创佳绩,兴业期货
3032,2021-04-08,银行业：发起金融科技子公司 助推银行数字化转型,新浪
3033,2021-04-08,兴业银行首张跨境电商卡问世,信息时报
3034,2021-04-08,转向大盘股重点看20只,证券导报
3035,2021-04-08,兴业银行：正在积极准备个贷不良贷款批量转让,财联社
3036,2021-04-08,股份制银行首单！兴业银行落地对公单户不良转让业务,Wind
3037,2021-04-08,股份制银行首单！兴业银行落地对公单户不良转让业务,上证报
3038,2021-04-08,风向已变!上海重磅出击，查处3.39亿资金违规流入楼市,Wind
3039,2021-04-08,A股融资融券日报：两融余额增加55.88亿元（4月7日）,Wind
3040,2021-04-08,银行业延期还本付息和信用贷款支持计划延长点评：体现政策连续性 资产质量压力有限,新浪
3041,2021-04-08,变天！上海重磅出击 查处3.39亿资金违规流入楼市,券商中国
3042,2021-04-08,兴业银行力挺跨境卖家品牌出海,财富动力网
3043,2021-04-08,兴业银行股份有限公司深圳分行 与中国信达资产管理股份有限公司深圳市分公司 债权转让通知暨债务催收联合公告,证券时报网
3044,2021-04-07,信用卡业务遭遇“阵痛期”：不良率全线反弹，工行消费额大降近20%,21世纪经济报道
3045,2021-04-07,兴业银行与中核集团签订全面战略合作协议,中证网
3046,2021-04-07,一季度被公募加仓的银行股业绩超预期，净息差下降是行业“大考”,第一财经
3047,2021-04-07,中核集团与兴业银行签署战略合作协议,Wind
3048,2021-04-07,上市银行榜单：工行比邮储多赚2千亿16家银行净息差齐降,南都报
3049,2021-04-07,浙商银行涉重大违规遭调查2020年营收净利增长疲乏、资本充足率承压 金融监管处罚,经济观察报
3050,2021-04-07,浙商证券--银行行业：普惠小微政策延期点评，政策稳定，精准滴灌【行业研究】,金融界股吧
3051,2021-04-07,东北证券--银行周报：货币政策稳健，预期贷款利率向上【行业研究】,金融界股吧
3052,2021-04-07,交易商协会启动对浙商银行自律调查 浙商回应：应是几年前承销项目,21世纪经济报道
3053,2021-04-07,年报显示多家银行房贷占比逼近红线 相关涉房贷款增长面临压力,新浪
3054,2021-04-07,践行“绿色银行”理念 兴业银行天津分行参与“地球一小时”活动,中国金融新闻网
3055,2021-04-07,A股融资融券日报：两融余额增加67.42亿元（4月6日）,Wind
3056,2021-04-07,A股早报2021年4月7日星期三,Wind
3057,2021-04-07,【银行】银行业周报—普惠小微政策延期，行业资本要求提升,中银证券研究
3058,2021-04-07,券商密集发布4月金股组合 20股获重点关注,证券时报
3059,2021-04-06,扫货了！一日三只银行股现身大宗交易,21世纪经济报道
3060,2021-04-06,金融行业周报(第十三周),新浪
3061,2021-04-06,信用卡资产质量下滑，有股份行不良率已超6%,第一财经
3062,2021-04-06,银行机构微博影响力哪家强？农业银行下降两名,新浪
3063,2021-04-06,兴业银行现6.63亿元大宗交易 买方为机构席位,e公司
3064,2021-04-06,A股共发生61宗大宗交易成交17.76亿元（4月6日）,Wind
3065,2021-04-06,仁东控股：控股股东被动减持1.64%公司股份 减持股份,Wind
3066,2021-04-06,透视大宗交易：4月6日共成交61笔，兴业银行成交6.63亿元,每日经济新闻
3067,2021-04-06,"兴业银行现8笔大宗交易 共成交66,301.21万元",新浪
3068,2021-04-06,5家银行房贷占比超标！今年涉房资金监管再升级,资本邦
3069,2021-04-06,兴业银行今日大宗交易成交3149.68万股，成交价21.05元折价11.18%,Wind
3070,2021-04-06,兴业银行今日大宗交易成交787.42万股，成交价21.05元折价11.18%,Wind
3071,2021-04-06,疫情大考后，银行业整体实现净利润正增长，有大行不良率悄然走高,Wind
3072,2021-04-06,重磅！银行“打工人”薪资大曝光,中投网
3073,2021-04-06,兴业银行2020年报：战略转型纵深推进质量效益同步提升,金融投资报
3074,2021-04-06,疫情大考交答卷！21家上市银行大比拼：净利增速普遍转正,中投网
3075,2021-04-06,银行业：营收增长、报表出清、布局新机遇 重申业绩／估值V型反转,新浪
3076,2021-04-06,银行业银行股2021年二季度投资策略：拾级而上,新浪
3077,2021-04-06,银行业周报251期：D-SIBS附加监管要求的影响,新浪
3078,2021-04-06,兴业银行信用卡2020年不良率2.16% 同比增0.69个百分点,中国网
3079,2021-04-06,兴业银行推出股份行首个“关爱农民工”普惠金融综合服务方案,金融界
3080,2021-04-06,16股受融资客青睐，净买入超5000万元,证券时报网
3081,2021-04-06,中银证券--兴业银行：表内表外齐发力，风险抵补能力增强【公司研究】,金融界股吧
3082,2021-04-06,兴业银行落地市场首笔权益出资型“碳中和”债,证券日报网
3083,2021-04-06,A股融资融券日报：两融余额减少17.35亿元（4月2日）,Wind
3084,2021-04-06,5家中大型银行个人房贷超标,广州日报
3085,2021-04-06,25万亿市场谁领风骚？14家银行理财子业绩大比拼,Wind
3086,2021-04-06,安信证券：二季度宏观环境、银行基本面趋势均利好银行股投资,证券时报网
3087,2021-04-06,中金 | 银行年报的三个关键词：营收增长、报表出清、布局新机遇,中金点睛
3088,2021-04-06,【银行-李双】拾级而上——银行股2021年二季度投资策略,安信证券研究
3089,2021-04-06,【银行】深度研究：33页深度剖析：摩根大通如何打造资管业务护城河？,天风研究
3090,2021-04-06,爆款助力，招行工行一季度新基金托管规模超千亿,Wind
3091,2021-04-06,建行、邮储、招商等5家上市银行涉房贷款占比超标,中证网
3092,2021-04-05,【中信建投银行杨荣】行业简评：《核心在附加资本要求》,eResearch杨荣团队
3093,2021-04-05,专题︱银行1季报前瞻的框架：影响息差的核心因素【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
3094,2021-04-05,券商组合选择策略转向大盘股，券商四月金股出炉，重点看20股（附股）,证券时报网
3095,2021-04-05,银行“打工人”薪资曝光 4家银行人均薪酬超50万,中国基金报
3096,2021-04-05,近230万银行人的薪酬“曝光”，创收能力也显露出来！,中国基金报
3097,2021-04-05,"银行""打工人""薪资大曝光：平安57万，招行53万，中信、兴业大幅加薪了！",中国基金报
3098,2021-04-05,《系统重要性银行附加监管规定(试行)(征求意见稿)》点评：精细化监管 大行安全垫更足 中小银行资本补充压力渐显,新浪
3099,2021-04-05,陆家嘴财经早餐2021年4月5日星期一,Wind
3100,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,Wind
3101,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,中证报
3102,2021-04-04,5家上市银行个人房贷超标，还有多家逼近红线,Wind
3103,2021-04-04,5家上市银行个人房贷超标！还有多家逼近红线，监管部门强调房地产金融审慎管理,中证报
3104,2021-04-04,【浙商|银行梁凤洁/邱冠华】政策稳定，精准滴灌,大话金融
3105,2021-04-04,多家银行科技投入达百亿 “真金白银”成效明显,中证报
3106,2021-04-03,四大行砸钱超800亿！银行纷纷重金投向这一领域，实际回报如何？,中证报
3107,2021-04-03,【招商证券】《附加监管规定》有何影响？,志明看金融
3108,2021-04-03,重磅出炉！猛增2.46万亿，私行财富大爆发！客户近百万，规模直奔15万亿，更有猛增超50%！最新排名来了，网友：股市又立功了！,中国基金报
3109,2021-04-03,59岁物美创始人 即将坐拥两家上市公司,亿邦动力
3110,2021-04-03,【兴证金融 傅慧芳】同业存单周报（210327—210402）： 同业存单发行规模持续下降,兴证金融
3111,2021-04-03,延期还本付息和信用贷款支持计划延长点评： 体现政策连续性，资产质量压力有限【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
3112,2021-04-03,“数说”基金抱团股聚散离合,金融投资报
3113,2021-04-03,近十年30股成基金长期持有的“底仓” 贵州茅台等5股成绝对抱团核心,金融投资报
3114,2021-04-03,支持实体，信贷结构如何优化,经济日报
3115,2021-04-02,十年上市银行排位赛 宁波银行净利润增幅超362%,上证报
3116,2021-04-02,兴业银行联合牵头为国亨化学提供35亿元银团贷款,中证网
3117,2021-04-02,艾融软件(830799)：2020年新业务开拓+老客户升级 覆盖金融科技各领域,新浪
3118,2021-04-02,兴业银行(601166)：表内表外齐发力 不良大幅出清,新浪
3119,2021-04-02,兴业银行午后跌超3%！东吴证券：板块不良指标缓解，资产质量无忧,资本邦
3120,2021-04-02,数字化共识下 银行科技比拼日渐白热化,中国金融新闻网
3121,2021-04-02,兴业银行投48.62亿扩充朋友圈，科技硬核输出持续C位,中国电子银行网
3122,2021-04-02,远超宇宙行！农行一年工资发出568亿 平安银行人均年薪44.5万,搜狐
3123,2021-04-02,14家银行房贷业务面面观：浦发成功压降至红线内 数家银行仍“超限” 但预计可顺利达标,金融界
3124,2021-04-02,14家银行房贷业务面面观：建行等5家银行部分指标超红线,财联社
3125,2021-04-02,A股融资融券日报：两融余额减少7.5亿元（4月1日）,Wind
3126,2021-04-02,227股获券商买入评级，鹏鼎控股目标涨幅达81.52%,Wind
3127,2021-04-01,监管加码 龙头股遭主力抛售近10亿元 机构却仍然推荐这些银行股 股票卖空,第一财经
3128,2021-04-01,银行零售竞争白热化，招行私行继续领跑,第一财经
3129,2021-04-01,深度*公司*兴业银行(601166)：表内表外齐发力 风险抵补能力增强,新浪
3130,2021-04-01,公募基金近十年重仓股大曝光：持有时间最长的竟是这两只！,每日经济新闻
3131,2021-04-01,春风不掩战略雄心，从年报行长致辞看兴业未来,搜狐
3132,2021-04-01,公募高光时刻！行业管理费激增近五成，这两家为持有人赚钱超千亿,搜狐
3133,2021-04-01,63.6%的营收增长来自麦德龙中国并表，物美重新站到港交所门口，张文中胜算几何？,每日经济新闻
3134,2021-04-01,10年30只股票：公募基金四大持仓核心和百亿底仓曝光,理财不二牛
3135,2021-04-01,“银行系”基金公司年报亮眼光大银行单日大卖141亿,证券之星
3136,2021-04-01,中国ESG生态系统快速成熟,经济观察网
3137,2021-04-01,小微线上融资再添新军 兴业银行推出“e票贷”,兴业银行
3138,2021-04-01,增添“烟火气” 兴业银行“兴惠贷”为小微企业发展注入金融活水,兴业银行
3139,2021-04-01,禹佳服务第三方外拓加速，自我“造血”能力不断增强,乐居财经
3140,2021-04-01,多家银行房贷占比踩线 购房者提前拿贷款要花钱插队,时代周报
3141,2021-04-01,零售同业保持多少增长？兴业银行管理层阐述未来五年发展业绩目标,经济观察网
3142,2021-04-01,国内首笔权益出资型“碳中和”债券落地福建,Wind
3143,2021-04-01,兴证策略&多行业：2021年4月金股组合,新浪
3144,2021-04-01,天风总量团队联席解读：四月市场怎么看？,新浪
3145,2021-04-01,六银行同日披露年报：3家银行不良率攀升 农行涉诉金额达60亿 资产异常,科技新闻网
3146,2021-04-01,兴业银行海口分行已投放信贷超500亿元,证券导报
3147,2021-04-01,4月金股曝光！券商看好这些股，最高目标价涨超70%,Wind
3148,2021-04-01,A股融资融券日报：两融余额增加7.31亿元（3月31日）,Wind
3149,2021-04-01,金融“打工人”必看：银行薪酬哪家强？这家人均52万！,21世纪经济报道
3150,2021-04-01,兴业银行(601166)：净息差上升 资产质量向好,新浪
3151,2021-04-01,【中原银行】银行行业月报：年报陆续发布，积极关注低估值次优板块,中原证券研究所
3152,2021-04-01,银行理财周报：理财收益率环比持平 开放式非净值型理财再现,新浪
3153,2021-04-01,银行投资策略月报：关注一季报的潜在催化,新浪
3154,2021-04-01,晨报0401 | 银行四月策略、三一重工（600031）、中联重科（000157）、中国神华（1088）,国泰君安证券研究
3155,2021-04-01,见证历史，2020年基金狂赚20000亿！最全排名来了,Wind
3156,2021-03-31,北上资金3月份净买入187.11亿元连续6个月净买入,证券时报网
3157,2021-03-31,9大股份行业绩PK：招行净利赶超国有行，民生下滑近四成 盈利能力下降,21世纪经济报道
3158,2021-03-31,小米宣布十年投入100亿美元造车！贵州茅台去年净利467亿,搜狐
3159,2021-03-31,兴业银行落地市场首笔权益出资型“碳中和”债,Wind
3160,2021-03-31,去年净息差普遍下降后今年如何走？大行高管们预计仍有压力,澎湃新闻
3161,2021-03-31,数据解盘|今日北向资金合计净流出54.65亿元 机械行业板块遭主力资金卖出,新浪
3162,2021-03-31,金融“打工人”必读！银行薪酬哪家强？最新数据出炉,21世纪经济报道
3163,2021-03-31,多项经营指标创近五年最好水平！行长喊话：谁的腿脚沾满征尘，谁将率先抵达,中证报
3164,2021-03-31,【招商证券】兴业银行：ROE领先，资产质量优异,志明看金融
3165,2021-03-31,兴业银行(601166)：业绩强劲 战略巩固 估值有望走向溢价,广发证券
3166,2021-03-31,银行日报：六大银行日赚31亿 银行板块有望再迎配置窗口期,中金在线
3167,2021-03-31,857亿资金争夺20股：主力资金重点出击7股(名单),新浪
3168,2021-03-31,挖矿遭整治、附属公司被停电，乐透互娱被比特矿业收购，双双股价大跌 连续下跌,资本邦
3169,2021-03-31,兴业银行回应董事长空缺:待上级确定人选后会及时启动相关程序,中新经纬
3170,2021-03-31,兴业银行发布2020年报：营业收入首次超过2000亿元,经济日报
3171,2021-03-31,兴业银行去年净利666亿元 五年来首次实现不良“双降”,证券日报网
3172,2021-03-31,银行股午后异动攀升，兴业银行涨超4%,Wind
3173,2021-03-31,涉房贷款去年仍增长较快！多家银行表态：将合理控制增速,中投网
3174,2021-03-31,兴业银行2020年报：战略转型纵深推进 质量效益同步提升,财经网
3175,2021-03-31,年报密集发布！银行股连续2日高居北向资金增持榜第一,资本邦
3176,2021-03-31,平安证券--兴业银行年报点评：负债端驱动息差扩张，资产质量持续夯实【公司研究】,金融界股吧
3177,2021-03-31,兴业银行(601166)：收入增速快 中收亮眼；财富代理、投行业务发力,新浪
3178,2021-03-31,A股融资融券日报：两融余额增加14.28亿元（3月30日）,Wind
3179,2021-03-31,基金业盈利曝光：汇添富净利近26亿直逼一哥易方达,Wind
3180,2021-03-31,每日理财观察：小米官宣造车，雷军挂帅,Wind
3181,2021-03-31,兴业银行去年净利666亿增长1.15%，不良率1.25%,澎湃新闻
3182,2021-03-31,新势力崛起，揭秘孙迪、胡宜斌、杜洋的隐形重仓股！,Wind
3183,2021-03-31,兴业银行(601166)：资产质量全面夯实 商行+投行扬帆启航,新浪
3184,2021-03-31,详解兴业银行2020年报：收入增速快，中收亮眼；财富代理、投行业务发力【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
3185,2021-03-31,【浙商|梁凤洁/邱冠华】兴业银行：战略升级，谱写新章,大话金融
3186,2021-03-31,银行涉房贷款2020年度仍较快增长，建行、兴业、招商、邮储均表态将合理控制增速,Wind
3187,2021-03-31,银行涉房贷款2020年度仍较快增长 建行、兴业、招商、邮储 均表态将合理控制增速,21世纪经济报道
3188,2021-03-31,【中信建投金融】兴业银行2020年报点评：资产质量全面夯实，商行+投行扬帆起航,大金融研究
3189,2021-03-30,不愧为银行系基金！净利最高增幅超1倍，更有代销凶猛，光大银行单日大卖141亿创纪录,金融界
3190,2021-03-30,【中信建投银行杨荣】行业简评：《经营贷加强管理， 未来零售将偏消费》,eResearch杨荣团队
3191,2021-03-30,兴业银行去年归属净利润回归正增长，不良5年来首次双降,第一财经
3192,2021-03-30,银行涉房贷款2020年度仍较快增长 建行、兴业、招商、中信、邮储上限超标,21世纪经济报道
3193,2021-03-30,快讯｜兴业银行：2020年归母净利润666.26亿元 同比增长1.15%,财经网
3194,2021-03-30,银行机构微博影响力哪家强？浦发银行无缘前十,新浪
3195,2021-03-30,晚间重要公告2021年3月30日星期二,Wind
3196,2021-03-30,兴业银行(601166.SH)2020年度净利润升1.15%至666.26亿元拟10派8.02元,格隆汇
3197,2021-03-30,兴业银行2020年营收首超2000亿元 资产负债表战略性重构基本完成,21世纪经济报道
3198,2021-03-30,兴业银行(601166.SH)年度归母净利同比增1.15%至666.26亿元 每10股普通股派8.02元,智通财经
3199,2021-03-30,兴业银行2020年报：净利润增长回正达666.26亿，不良五年来首次“双降”,金融界
3200,2021-03-30,兴业银行：2020年净利润同比增长1.15% 拟10派8.02元,新浪
3201,2021-03-30,兴业银行：2020年净利润同比增长1.15%，拟每股派0.802元,Wind
3202,2021-03-30,兴业银行福州仓山万达支行被罚20万：违规发放个人商业用房贷款 金融监管处罚,新浪
3203,2021-03-30,嘉化能源发布2020年年度募集资金存放与使用情况,电鳗快报
3204,2021-03-30,A股融资融券日报：两融余额增加33.36亿元（3月29日）,Wind
3205,2021-03-29,傅鹏博、赵诣、赵枫等基金经理隐形重仓股浮出水面,Wind
3206,2021-03-29,明星基金经理隐形重仓股浮出水面 细分行业成重点挖掘方向,中国基金报
3207,2021-03-29,表面上白酒股反弹，暗地里向价值风格切换？,养基司令
3208,2021-03-29,银行业经营环境稳定，推荐两条投资主线,中信证券
3209,2021-03-29,A股融资融券日报：两融余额增加7.98亿元（3月26日）,Wind
3210,2021-03-28,2020年，哪家银行理财能力最强？,丁丁创e
3211,2021-03-28,理财能力哪家强？年度数据看这仨银行！,中国银行保险报
3212,2021-03-27,4月银行策略：息差短期或分化，经济复苏驱动-招证|银行,志明看金融
3213,2021-03-26,阳光城为4家子公司提供约14亿元担保金额 大额借贷担保,观点地产网
3214,2021-03-26,零售贡献营收首次超四成中信银行出招“全财富管理”,经济观察报
3215,2021-03-26,科技融合服务 兴业银行北京分行打造北京智能化网点改造样板行,财经网
3216,2021-03-26,银行股开始发力，杭州银行、兴业银行、南京银行涨幅居前,Wind
3217,2021-03-26,“捡漏”二手高收益理财产品将成历史 多家银行下架理财转让业务,中投网
3218,2021-03-26,A股融资融券日报：两融余额减少40.24亿元（3月25日）,Wind
3219,2021-03-26,银行贵金属面临重大洗牌！浦发银行宣布清仓，兴业银行也将关停纸黄金业务 经营问题,和讯
3220,2021-03-25,科技融合服务 兴业银行打造智能化网点改造样板行,中国金融新闻网
3221,2021-03-25,同兴环保(003027.SZ)拟向兴业银行巢湖支行申请不超5亿元综合授信额度,格隆汇
3222,2021-03-25,兴业银行今日大宗交易成交48.70万股，成交价20.3元折价10.61%,Wind
3223,2021-03-25,清仓！关停！银行贵金属业务又迎当头一棒！ 经营问题,新浪
3224,2021-03-25,百傲化学(603360.SH)：三鑫投资解除质押660万股及再质押690万股,格隆汇
3225,2021-03-25,银行理财二手市场会“凉”吗？或与理财净值化转型相关,中投网
3226,2021-03-25,什么信号？央行召集24家银行开会，房地产再被提及,Wind
3227,2021-03-25,每日理财观察：欧亚大动脉被“切断”！最新情况来了,Wind
3228,2021-03-25,A股融资融券日报：两融余额减少14.15亿元（3月24日）,Wind
3229,2021-03-25,全国主要银行信贷结构优化调整座谈会在京召开,Wind
3230,2021-03-24,【招商证券深度】兴业银行—市场化的标杆股份行，财富管理或成新标签,志明看金融
3231,2021-03-24,北上资金活跃股名单(3月24日),证券时报网
3232,2021-03-24,兴业银行今日大宗交易成交9.62万股，成交价22.56元溢价0.0%,Wind
3233,2021-03-24,银行陆续下架理财转让业务的原因找到了：曾分批次收到监管通知,Wind
3234,2021-03-24,A股收盘综述：上证指数下滑1.3%，碳中和、券商、白酒板块冲高回落,Wind
3235,2021-03-24,A股融资融券日报：两融余额减少26.31亿元（3月23日）,Wind
3236,2021-03-23,理财二手市场失宠？ 浦发民生等多家银行纷纷下架理财转让业务,第一财经
3237,2021-03-23,银行机构微博影响力哪家强？中国银行跌出前十,新浪
3238,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
3239,2021-03-23,银行业月报：2月社融表现超预期 银行业基本面逐步改善,渤海证券
3240,2021-03-23,深度*行业*银行业周报：关注行业年报披露 大行高管人选落定,新浪
3241,2021-03-23,年报季银行“秀肌肉” 2021年谁能跻身手机银行千万月活“天团”？,中国电子银行网
3242,2021-03-23,2020年度全国298家银行理财能力排行榜,新浪
3243,2021-03-23,A股融资融券日报：两融余额增加83.08亿元（3月22日）,Wind
3244,2021-03-23,银行业周报：大学生网贷迎来监管 招行年报亮点突出,新浪
3245,2021-03-23,顺周期属性强化银行股投资机会渐显,Wind
3246,2021-03-22,银行板块持续走高 防御价值凸显？,第一财经
3247,2021-03-22,银行周报：信贷数据优秀 招行业绩报喜,新浪
3248,2021-03-22,什么情况？券商银行股集体爆发！北向资金持续扫货,Wind
3249,2021-03-22,银行周报249期：贷款利率回升的节奏与影响,新浪
3250,2021-03-22,银行股回暖，平安银行涨超4%,Wind
3251,2021-03-22,银行板块拉升，招商银行、兴业银行、平安银行领涨,Wind
3252,2021-03-22,A股融资融券日报：两融余额减少44.55亿元（3月19日）,Wind
3253,2021-03-22,盘前情报丨巨额抄底资金来了！这些板块迎利好（附股）,21世纪经济报道
3254,2021-03-22,41股获券商买入评级 中信证券目标涨幅达54.71%,Wind
3255,2021-03-21,又一银行金科子公司筹建“正主”扩容如何搅局Fintech市场,北京商报
3256,2021-03-20,北向资金再扫货：本周净买入87亿元，这些股受青睐（名单）,21世纪经济报道
3257,2021-03-20,商业银行积极发展绿色信贷和碳金融,经济日报
3258,2021-03-20,加大保障力度丰富金融产品,经济日报
3259,2021-03-19,中线机会？中泰、天风、光大等知名券商研报坚定看好这几只银行股！（名单）,腾讯网
3260,2021-03-19,A股融资融券日报：两融余额增加0.67亿元（3月18日）,Wind
3261,2021-03-19,中金公司：盈利估值双保障，波动行情关注银行股机会,Wind
3262,2021-03-19,“碳中和”站上风口，银行力推ESG投资,Wind
3263,2021-03-18,银行理财周报(3／8-3／14)：理财收益率环比回升 农行加大产品发行力度,新浪
3264,2021-03-18,A股主力资金流向（3月18日）：市场轮动加快，资金各自为战,Wind
3265,2021-03-18,长威科技再度冲击IPO 增速放缓、销售集中等问题待解 盈利能力下降,中国网
3266,2021-03-18,跨境业务一键办理 兴业银行单证通助力企业发展,金融投资报
3267,2021-03-18,推出跨境电商综合金融服务方案 兴业银行亮相首届中国跨境电商交易会,上证报
3268,2021-03-18,A股融资融券日报：两融余额增加16亿元（3月17日）,Wind
3269,2021-03-18,杀估值背景下，关注低估的银行股,网易
3270,2021-03-18,财信证券银行业2021年3月月度报告：实体经济增长，信贷需求表现强劲,财信证券研究
3271,2021-03-17,海峡股交协助落地福建首个林业碳汇质押+全国首例远期碳汇融资项目,兴业证券订阅号
3272,2021-03-17,宋城演艺跌3.91% 兴证全球基金旗下2混基持股,中国经济网
3273,2021-03-17,全国首单！兴业银行落地2000万元“碳汇贷”,上证报
3274,2021-03-17,兴业银行亮相跨境电商交易会 推出跨境电商综合金融服务方案,中新网
3275,2021-03-17,全国首单！2000万元“碳汇贷”落地,Wind
3276,2021-03-17,全国首单！2000万元“碳汇贷”落地,中国证券网
3277,2021-03-17,这项影响银行股估值的指标，到底该怎么计算？,搜狐
3278,2021-03-17,【中信建投银行杨荣】2月信贷数据点评：《社融连续超预期， 未来预计难延续》,eResearch杨荣团队
3279,2021-03-17,A股融资融券日报：两融余额减少12.77亿元（3月16日）,Wind
3280,2021-03-17,银行行业简评报告：社融连续超预期 未来预计难延续,新浪
3281,2021-03-17,私募解读增量资金三大加仓密码,Wind
3282,2021-03-17,服务实体经济发展扩大权益投资占比,中证报
3283,2021-03-16,银行机构微博影响力哪家强？广发银行跌出前十,新浪
3284,2021-03-16,银行板块逼近历史新高 三大正能量利好银行股,重庆商报
3285,2021-03-16,上海市生物医药产业动态观察——第二期,医药地理
3286,2021-03-16,银行(一致评级)概念股近三日最受主力资金青睐,证券时报网
3287,2021-03-16,华扬联众(603825.SH)拟向兴业银行北京分行申请总额不超6亿元授信额度,格隆汇
3288,2021-03-16,银行财富管理能力排名出炉，招商银行、中信银行和兴业银行位列前三！,金融界
3289,2021-03-16,【研报掘金】银行股低估值+基本面拐点向上性价比极高 继续看好板块投资机会,证券时报网
3290,2021-03-16,市净率冷热不均上市银行是否“安好”,中投网
3291,2021-03-16,借贷搭售保险几时休：一年内11家银行遭通报 20张罚单超6000万元,新浪
3292,2021-03-16,银行周报：货币政策不急转弯 社融超预期,新浪
3293,2021-03-16,银行股高开高走，宁波银行、招商银行均涨逾3%,Wind
3294,2021-03-16,A股融资融券日报：两融余额增加12.42亿元（3月15日）,Wind
3295,2021-03-16,名家专栏 | 杨荣：权益市场短期浮动或将利好理财子产品销售,中信建投证券研究
3296,2021-03-15,利欧股份(002131.SZ)为子公司与银行按合同发生的债务提供连带责任保证,智通财经
3297,2021-03-15,利欧股份：为全资子公司提供约17500万元担保 大额借贷担保,每日经济新闻
3298,2021-03-15,【超级大单】大白马跌停，机构砸盘超5亿！主力出逃的抱团股名单曝光 股票卖空,证券时报网
3299,2021-03-15,八大券商主题策略：估值上升期有望来临 顺周期视角下的银行板块投资逻辑,中金在线
3300,2021-03-15,金融行业周报(第十周),新浪
3301,2021-03-15,银行板块估值上升期有望来临 银行龙头股票有哪些？,至诚财经
3302,2021-03-15,四大行、两桶油、招商银行、兴业银行齐涨，力挺大市,Wind
3303,2021-03-15,A股融资融券日报：两融余额减少27.42亿元（3月12日）,Wind
3304,2021-03-15,中泰证券：银行板块景气度持续上行,Wind
3305,2021-03-12,准油股份：法院冻结公司在兴业银行开立的账户 资产查封,Wind
3306,2021-03-12,业绩亏损叠加大额债券年内到期，2张表一览这28家上市公司状况,Wind
3307,2021-03-12,联合资信：房地产贷款集中度管理对房企的影响,新浪
3308,2021-03-12,银行业：2月金融数据公布 信贷需求强劲,新浪
3309,2021-03-12,A股融资融券日报：两融余额增加76.06亿元（3月11日）,Wind
