,2021-12-31,大悦城对佛山淦盈提供1.75亿元担保 大额借贷担保,乐居财经
2374,2020-08-13,A股融资融券日报：两融余额减少34.17亿元（8月12日）,Wind
2375,2020-08-13,信用卡“跑马圈地”走向终结 未来应更注重精细化管理,中证报
2376,2020-08-13,信用卡“跑马圈地”休矣,中证报
2377,2020-08-13,多银行发布信用卡禁令 剑指资金违规买房炒股,中证报
2378,2020-08-12,严禁个人信用卡资金用于炒股、买房！多家银行警示,国际金融报
2379,2020-08-12,中银协报告：上市银行将进一步重视全面风险管理,Wind
2380,2020-08-12,【研报掘金】银行业上半年业绩利空落地 目前正是板块布局好时机,证券时报网
2381,2020-08-12,银行2020年7月金融数据点评：信贷结构大幅优化 宏观经济向好趋势明朗,新浪
2382,2020-08-12,光大联手中青旅成立消金公司 旅游+金融能玩出新花样吗？,经济观察网
2383,2020-08-12,A股融资融券日报：两融余额减少63.28亿元（8月11日）,Wind
2384,2020-08-12,【商社】中青旅（600138）：阳光消费金融公司获批开业，助推产业互通协同发展,天风研究
2385,2020-08-12,光大银行旗下阳光消费获准开业 银行系持牌消费金融公司增至18家,长江商报
2386,2020-08-12,消费金融公司再添“新丁” 行业在复苏路上“跑起来”,上证报
2387,2020-08-12,国内债市盘前2020年8月12日星期三,Wind
2388,2020-08-12,早知道·财讯热搜榜TOP10（8月12日）,新华网
2389,2020-08-12,光大银行旗下消金机构获准开业，消金牌照批复步入“新常态”,Wind
2390,2020-08-12,光大银行旗下消金机构获准开业 消金牌照批复步入“新常态”,证券日报
2391,2020-08-11,国有大行最年轻行长“玩”直播了！现场金句不断，资产配置“秘籍”大放送,中证报
2392,2020-08-11,光大银行：信用卡资金不能用于股权投资、套现等非消费领域,新浪
2393,2020-08-11,多家银行警示：若个人信用卡资金买房炒股，将降额、止付、冻结、锁卡 资产查封,Wind
2394,2020-08-11,多家银行警示：若个人信用卡资金买房炒股，将降额、止付、冻结、锁卡 资产查封,21世纪经济报道
2395,2020-08-11,以苏州为起点——精细落地光大集团与江苏省战略合作,和讯
2396,2020-08-11,光大银行青岛分行：多措并施助力企业出口转内销,新华网
2397,2020-08-11,光大银行成都分行积极组织党员职工代表参观扶贫产品展销活动,金融投资报
2398,2020-08-11,经济聚焦：推动综合融资成本明显下降还可从哪里着手？丨政治局会议解读,中国经济网
2399,2020-08-11,建设“强富美高”新江苏光大集团与江苏省签署战略合作协议,新华网
2400,2020-08-11,债市分析 | 7月银行间市场发行规模环比下降，中票短融发行成本上升,中证鹏元评级
2401,2020-08-11,光大银行：北京阳光消费金融股份有限公司获批开业,中国网
2402,2020-08-11,光大银行子公司阳光消费金融获准开业，注册资本10亿元,资本邦
2403,2020-08-11,A股融资融券日报：两融余额增加64.09亿元（8月10日）,Wind
2404,2020-08-11,【浙商||银行】Q2监管数据：情况正在验证我们的判断,大话金融
2405,2020-08-10,8大股份制银行科技战略：招商银行研发投入比例最高，华夏银行手机银行用户数量最低,零壹财经
2406,2020-08-10,第2家台资消金公司要来了！光大银行和中青旅旗下消金公司获准开业，阳光消费金融董事长来自大股东公司,凤凰网
2407,2020-08-10,光大银行旗下北京阳光消费金融公司获准开业,证券日报
2408,2020-08-10,光大银行：北京阳光消费金融公司获批开业 注册资本10亿元,中证网
2409,2020-08-10,阳光消费金融开业获北京银保监局批复,北京商报
2410,2020-08-10,光大银行：专业从事个人消费贷款业务的控股子公司获准开业,格隆汇
2411,2020-08-10,光大银行(601818.SH)：控股子公司阳光消费获准开业,格隆汇
2412,2020-08-10,A股融资融券日报：两融余额减少84.42亿元（8月7日）,Wind
2413,2020-08-10,【天风研究 · 固收】信用早早报（8月10日）,--
2414,2020-08-10,银行行业跟踪：政策边际收紧 看好低估值修复行情,新浪
2415,2020-08-07,银保监会核准刘珺任交通银行副董事长,证券时报
2416,2020-08-07,光大银行科技战略报告,零壹财经
2417,2020-08-07,*ST实达：涉及诉讼 诉讼纠纷,Wind
2418,2020-08-07,光大银行：宜华集团拟延期支付“17宜华企业MTN001”利息 本息展期,Wind
2419,2020-08-07,广州安必平医药科技股份有限公司首次公开发行股票并在科创板上,证券时报
2420,2020-08-06,【银华基金】交易日报 2020-08-06,新浪
2421,2020-08-06,银行业主题研究系列之一：银行如何投基建及本轮基建影响解析,新浪
2422,2020-08-06,晒晒光大永明保险2020上半年成绩单,和讯
2423,2020-08-06,光大银行即将发行美国运通品牌人民币信用卡,凤凰网
2424,2020-08-06,A股融资融券日报：两融余额增加126.72亿元（8月5日）,Wind
2425,2020-08-06,银行业：合理让利 放水养鱼,中国经济网
2426,2020-08-06,助企纾困政策如何落地：合理让利 放水养鱼,新浪
2427,2020-08-05,光大银行获中国银行业社会责任百佳奖项,金融投资报
2428,2020-08-05,"银保监会：闻""汛""而动 集结抗洪救灾金融力量",银保监会
2429,2020-08-05,跟着牛市旗手去炒股！券商资管10大重仓股曝光,券商中国
2430,2020-08-05,A股融资融券日报：两融余额增加42.15亿元（8月4日）,Wind
2431,2020-08-05,光大信托强化国有金融机构使命担当 上半年实体信托投放超7800亿,金融界
2432,2020-08-04,债券重大事件2020年8月4日星期二,Wind
2433,2020-08-04,"申万宏源(06806.HK)与光大银行签署""最高额保证合同""",格隆汇
2434,2020-08-04,中国光大银行成都分行与德阳发展集团签署战略合作协议,金融投资报
2435,2020-08-04,光大银行(601818.SH)：2020年光大优2每股发放股息3.9元股权登记日8月10日,格隆汇
2436,2020-08-04,海外信用评级汇总2020年8月4日星期二,Wind
2437,2020-08-04,上海国际能源交易中心：同意光大银行为从事境外客户保证金存管业务指定存管银行,Wind
2438,2020-08-04,上海国际能源交易中心发布关于批复同意中国光大银行股份有限公司为从事境外客户保证金存管业务指定存管银行的公告,上期所
2439,2020-08-04,光大银行获中国银行业社会责任百佳奖项,新华网
2440,2020-08-04,担起国有金融机构责任，光大信托“多快好省”支持复工复产,经济观察报
2441,2020-08-04,强化国有金融机构使命担当 “多快好省”支持疫情防控和复工复产,用益信托网
2442,2020-08-04,光大银行：将于8月18日召开“20桂建工SCP001”持有人会议,Wind
2443,2020-08-04,惠誉：给予光大银行香港分行发行的高级无抵押美元票据“BBB”最终评级,Wind
2444,2020-08-04,A股融资融券日报：两融余额增加245.57亿元（8月3日）,Wind
2445,2020-08-04,基金持仓占比降至历史次新低，银行保险为何“失宠”？,Wind
2446,2020-08-03,光大银行：7亿美元2023年到期浮动利率票据预计将于8月4日上市交易,Wind
2447,2020-08-03,【可转债每周观点】考验仍在继续,CITICS债券研究
2448,2020-08-03,【浙商||银行】资管新规延期：利好实体和银行,大话金融
2449,2020-08-03,银行点评资管新规延期至2021年底：过渡期正式延长 银行整改压力减轻,新浪
2450,2020-08-03,A股融资融券日报 ：两融余额增加78.75亿元（7月31日）,Wind
2451,2020-08-03,银行行业周报：过渡期延长落地 银行整改压力减轻,新浪
2452,2020-08-01,央行及银保监会行政处罚汇总（7月27日-7月31日） 金融监管处罚,Wind
2453,2020-07-31,【银华基金】交易日报2020-07-31,新浪
2454,2020-07-31,重磅！这家股份行一日迎来两位副行长,金融界
2455,2020-07-31,光大信用卡十元会生活全面升级,凤凰网
2456,2020-07-31,光大银行将为太平洋保险核定78亿元综合授信额度,21世纪经济报道
2457,2020-07-31,A股融资融券日报 ：两融余额增加76.12亿元（7月30日）,Wind
2458,2020-07-31,银行系金融科技，子公司增至11家,Wind
2459,2020-07-30,九卦 | 实操锦囊：银行数字化营销最后一公里,和讯
2460,2020-07-30,个人信用保证保险怎么玩的？用户分五等级，保险年费率最高超24%,搜狐
2461,2020-07-30,中国光大银行(06818.HK)银保监会核准齐晔及杨兵兵副行长任职资格,格隆汇
2462,2020-07-30,光大银行(601818.SH)：齐晔、杨兵兵副行长任职资格获中国银保监会核准,格隆汇
2463,2020-07-30,光大银行再次被罚！因个人消费贷款业务违规等行为被罚85万元,和讯
2464,2020-07-30,南威软件股份有限公司关于配股节余募集资金永久补充流动资金及注销募集资金专户的公告,证券时报
2465,2020-07-30,光大银行青岛“全程通”助力小微企业延期还本付息,新华网
2466,2020-07-30,银行业助力小微企业降成本 多措并举推进“量增价降”,新浪
2467,2020-07-30,银行业推进小微企业降成本多点发力,新浪
2468,2020-07-29,【银华基金】交易日报 2020-07-29,新浪
2469,2020-07-29,*ST厦工(600815.SH)：拟委托光大银行厦门分行贷款3.5亿元给厦门光之耀,格隆汇
2470,2020-07-29,A股融资融券日报：两融余额增加24.98亿元（7月28日）,Wind
2471,2020-07-29,【在行动】政府主动搭把手企业遇困不犯愁,上游新闻
2472,2020-07-28,光大银行助企业复产 低成本跨境融资近100亿元,每日商报
2473,2020-07-28,犀牛财经视频：腾讯拟全资收购搜狗 “鹅吞狗”究竟为何？,GPLP犀牛财经
2474,2020-07-28,光大银行：非执行董事辞职 董监高成员变化,Wind
2475,2020-07-28,广东银保监局：对光大银行广州分行作出行政处罚，罚款85万元 金融监管处罚,Wind
2476,2020-07-28,*ST联络(002280.SZ)：光大银行萧山支行申请对公司1亿元财产采取保全措施,格隆汇
2477,2020-07-28,光大银行信用卡新套路：账单分期送200元券 领券凭手气先到先得,GPLP犀牛财经
2478,2020-07-28,违规发放个人住房抵押贷款，光大银行、农行共被罚135万 金融监管处罚,中新经纬
2479,2020-07-28,光大银行广州分行被罚85万：个人消费贷款业务严重违规 金融监管处罚,新浪
2480,2020-07-28,重磅！南方财经全媒体集团与平安集团等4家企业签订战略合作协议,21世纪经济报道
2481,2020-07-28,理财产品测评：光大银行·阳光金18M增利1号（个人投资者）,和讯
2482,2020-07-28,A股融资融券日报：两融余额增加44.04亿元 （7月27日）,Wind
2483,2020-07-27,海外信用评级汇总2020年7月27日星期一,Wind
2484,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
2485,2020-07-27,光大银行(601818.SH)：何海滨辞任非执行董事等职,格隆汇
2486,2020-07-27,光大银行：非执行董事何海滨辞任 董监高成员变化,Wind
2487,2020-07-27,三银行用数据说话小微企业贷款还难吗？,中投网
2488,2020-07-27,光大集团与贵州省政府签署全面战略合作协议,中新网
2489,2020-07-27,银行行业周报：中小银行MPA考核或放松 信贷扩张可期,新浪
2490,2020-07-27,银行保险业服务实体有哪些“重头戏”,中华工商时报
2491,2020-07-27,A股融资融券日报：两融余额减少187.18亿元（7月24日）,Wind
2492,2020-07-26,6月份结构性存款压降1.01万亿，产品“量价齐跌”，套利空间还有多大,券商中国
2493,2020-07-25,银行理财子公司权益类公募产品优势何在？,金融界
2494,2020-07-25,深入构建开放金融新生态 光大云缴费本年活跃用户突破3亿户,金融投资报
2495,2020-07-24,让科技顶层设计激荡出更大创新活力——专访中国光大银行副行长杨兵兵,中国金融新闻网
2496,2020-07-24,——专访中国光大银行党委委员杨兵兵,中国金融新闻网
2497,2020-07-24,海南离岛免税新政实施，光大信用卡推出优惠返现,凤凰网
2498,2020-07-24,三家银行行长齐“晒”业绩：逆周期信贷投放创新高,中国经营网
2499,2020-07-24,汪永奇：光大银行加强投资者教育 落实“六稳六保”,当代金融家
2500,2020-07-24,可信云线上峰会丨多云和混合云技术专讲超强剧透,C114通信网
2501,2020-07-24,中银证券：2季度银行股基金重仓比例较1季度继续下降,证券时报网
2502,2020-07-24,【银行】银行业2季度持仓点评：重仓比例环比下降，关注半年报业绩表现,中银证券研究
2503,2020-07-24,A股融资融券日报：两融余额增加86.87亿元（7月23日）,Wind
2504,2020-07-24,四家金融机构负责人谈银行业保险业如何帮扶企业渡难关,中国金融新闻网
2505,2020-07-24,小微企业贷款还难吗？三家银行用数据说话,上证报
2506,2020-07-24,四大行长、总裁详解金融支持实体经济“重启”,Wind
2507,2020-07-23,金融如何支持制造业？工行、光大两位行长都表态了,经济日报
2508,2020-07-23,光大银行行长刘金：为3万余企业办理延期还本付息约144亿,中新经纬
2509,2020-07-23,进出口银行、工商银行、光大银行、泰康保险集团齐聚银保监会最新发布会 要点一文全览,新浪
2510,2020-07-23,【银华基金】交易日报 2020-07-23,新浪
2511,2020-07-23,光大银行刘金：进一步加大拨备计提力度 提前应对贷款风险,证券时报网
2512,2020-07-23,光大银行上半年为企业压降利息成本近20亿元,中国财富网
2513,2020-07-23,2020年二季度银行板块基金持仓分析：人弃我取 抓住仓位史低机会,新浪
2514,2020-07-23,光大银行刘金：新投放普惠型小微企业贷款加权平均利率较2019年下降87BP,中国金融新闻网
2515,2020-07-23,光大银行行长：金融支持实体经济就是从根本上防控金融风险,澎湃新闻
2516,2020-07-23,光大银行：6月末拨备覆盖率会较一季度末时提升,上证报
2517,2020-07-23,光大银行刘金：突出“四精” 制造业贷款余额较年初增长11.32%,中国金融新闻网
2518,2020-07-23,光大银行：对公存量浮动利率贷款LPR转换完成率超70%,上证报
2519,2020-07-23,刘金：截至6月末光大银行制造业贷款余额比上年增长11.32%,新浪
2520,2020-07-23,人行珠海市中支金融支持“六稳”“六保”出实招,中国金融新闻网
2521,2020-07-23,后疫情时代社融增速何时迎来拐点？天风银行：预计10月将见顶于13.5％左右11月和12月将略微回落,金融界
2522,2020-07-23,专题：后疫情时代，社融增速何时迎来拐点？,志明看金融
2523,2020-07-23,光大银行：拟组织召开“20晋投集(疫情防控债)SCP002”债券持有人会议,Wind
2524,2020-07-23,“医疗+金融”助力海南自贸港建设,证券导报
2525,2020-07-23,天风总量团队每周论势第28期：如何看待当前市场位置？,新浪
2526,2020-07-23,2Q20上市银行业绩预览：这次业绩期应该关注什么？,新浪
2527,2020-07-23,银行Ⅱ：二季度继续减持 看好底部反弹 减持股份,新浪
2528,2020-07-22,【银华基金】交易日报 2020-07-22,新浪
2529,2020-07-22,三年服务5.7亿缴费用户 这朵云做到了,新华网
2530,2020-07-22,光大固收债券关注信息,光大证券
2531,2020-07-22,18家全国性银行个人手机银行评测：内存占用差距悬殊 多数未提前适配安卓11 BETA版,中国电子银行网
2532,2020-07-22,光大云缴费本年活跃用户突破3亿户,中证网
2533,2020-07-21,App月活规模“四连增” 银行角力线上场景运营,北京商报
2534,2020-07-21,【银行梁凤洁/邱冠华】中期策略：韬光养晦，以退为进,大话金融
2535,2020-07-21,呼市：针对呼经开私募债兑付等问题，与金谷银行对接15次寻求化债路径,21世纪经济报道
2536,2020-07-21,*ST华讯(000687)：部分银行账户和资产被冻结 资产查封,证券时报网
2537,2020-07-21,哪些板块和优质个股能入险资法眼？,Wind
2538,2020-07-20,利隆新媒体实控人离境不归、3个月未发工资，股东间上演“谁是卧底”,Wind
2539,2020-07-20,银行板块异动 长沙银行涨超8%,巨丰财经
2540,2020-07-20,银行板块异动，银行ETF涨1.7%成交超3亿元,Wind
2541,2020-07-20,保市场主体：供应链金融促进科技创新,中国金融新闻网
2542,2020-07-20,中信证券：银行股价下行概率和空间低,Wind
2543,2020-07-20,银行行业：影子银行及互联网贷款监管加强 公开市场操作利率平稳,新浪
2544,2020-07-19,【兴证金融 傅慧芳】信贷资金投放监管趋严，中小金融机构供给侧改革推进——银行业周报（200711—200717）,兴证金融
2545,2020-07-19,《商业银行互联网贷款管理暂行办法》修改了哪些内容？意味着什么？,零壹财经
2546,2020-07-19,再提券商合并 哪家呼声最高？,金融界
2547,2020-07-17,银保监会集中批复8位银行高管任职 两位有国家电网背景,和讯
2548,2020-07-17,A股融资融券日报：两融余额减少62.73亿元（7月16日）,Wind
2549,2020-07-16,这家国有大行迎来六大行最年轻副行长！,和讯
2550,2020-07-16,资金面边际收紧 收益率上升空间不大,金融界
2551,2020-07-16,打造大数据产品和解决方案综合提供商,中证报
2552,2020-07-15,光大云缴费平台服务输出合作伙伴突破500家,金融投资报
2553,2020-07-15,老年储户=老韭菜？光大银行客户经理诈骗5千万，法院判决大快人心 欺诈造假,云掌财经
2554,2020-07-15,光大联手移动、中青旅、银联，首张四方合作联名卡面世,凤凰网
2555,2020-07-15,A股融资融券日报：两融余额增加130.07亿元（7月14日）,Wind
2556,2020-07-15,【银行】2020年中期策略：风物长宜放眼量，寻找盈利与让利的平衡,中银证券研究
2557,2020-07-14,还不起银行贷款？资金链紧张？众应互联被光大银行苏州分行起诉还贷款 诉讼纠纷,资本邦
2558,2020-07-14,两融透析：大金融板块交易量大幅增加钢铁、石油受融券盘持续关注,金融界
2559,2020-07-14,A股融资融券日报：两融余额增加324.89亿元（7月13日),Wind
2560,2020-07-14,【银行】周报：6月社融增长强劲，关注资管新规过渡期政策动态,中银证券研究
2561,2020-07-13,涨三倍的光大证券风险太高？不考虑下光大控股0165.HK？,格隆汇
2562,2020-07-13,聚焦银行板块，持续低估值，后市路在何方？,Wind
2563,2020-07-13,弘阳地产母公司弘阳集团与光大银行达成战略合作,网易
2564,2020-07-13,河北银保监局指出5项违法违规行为 光大银行石家庄分行被罚50万 金融监管处罚,GPLP犀牛财经
2565,2020-07-13,A股融资融券日报：两融余额增加157.62亿元（7月10日）,Wind
2566,2020-07-12,胆太大！在银行办公室卖假理财，这位客户经理诈骗5000多万 欺诈造假,每日经济新闻
2567,2020-07-12,80岁老人都不放过！光大银行原经理兜售假理财诈骗5千万，部分资金炒股 产品问题,腾讯网
2568,2020-07-12,连80多岁的老人都不放过！银行原客户经理兜售假理财诈骗5000多万，部分资金竟用于炒股…… 产品问题,每日经济新闻
2569,2020-07-11,【浙商||银行】社融超预期，宽信用延续,大话金融
2570,2020-07-11,“银税直连”高悬 微众信科急上科创板融资,中国经营报
2571,2020-07-11,【浙商||银行梁凤洁/邱冠华】银行利润去哪儿了？,大话金融
2572,2020-07-10,光大银行：汇金公司已将102.5亿股A股过户登记至光大集团,北京商报
2573,2020-07-10,【银华基金】交易日报 2020-07-10,新浪
2574,2020-07-10,汇金不再直接持股光大银行 光大集团持股比提升至48.53%,经济观察网
2575,2020-07-10,光大银行(601818.SH)：汇金公司所持102.51亿股A股已过户至光大集团名下,格隆汇
2576,2020-07-10,旗下阳光银行APP与手机银行APP完成整合 光大银行开放银行服务迈入新阶段,凤凰网
2577,2020-07-10,光大银行整合旗下两款APP 推出线上预存预缴服务,新华网
2578,2020-07-10,A股午盘综述：上证指数跌逾1%，两市成交额再破万亿,Wind
2579,2020-07-10,光大银行开放银行服务迈入新阶段 旗下阳光银行APP与手机银行APP完成整合,新华网
2580,2020-07-09,定调子、找路子、搭台子、出点子 光大普惠用金融为脱贫“铺路”,金融投资报
2581,2020-07-09,光大银行：财富管理银行建设全面推进，资管、云缴费业务高速发展,金融投资报
2582,2020-07-09,浙商银行(601916)：盈利优异 性价比强,新浪
2583,2020-07-09,愤怒！银行小伙卖假理财产品骗走5000万元，还专挑老人下手！如今换来15年刑期，罚款200万...,每日经济新闻
2584,2020-07-09,光大银行一分行违反审慎经营规则被罚款50万元 金融监管处罚,资本邦
2585,2020-07-09,光大银行西安分行违法遭罚35万 对委托资金来源审查不严 金融监管处罚,中国网
2586,2020-07-09,光大银行西安分行违法遭罚21万 贷款资金回流转定期存单并质押 金融监管处罚,中国网
2587,2020-07-09,光大银行西安分行违法遭罚 由借款人承担抵押评估费用 金融监管处罚,中国网
2588,2020-07-09,光大银行石家庄分行违法遭罚50万 严重违反审慎经营规则 金融监管处罚,中国网
2589,2020-07-09,【异动股】银行板块下挫，光大银行(601818-CN)跌3.36%,财华社
2590,2020-07-09,A股融资融券日报：两融余额增加327.95亿元（7月8日),Wind
2591,2020-07-09,5万元起存利率3.85%,光明网
2592,2020-07-09,银行小伙卖假理财骗走5000万元去炒股 专挑老人下手,上证报
2593,2020-07-08,五“罪”并罚！光大银行一分行被罚50万 金融监管处罚,中新经纬
2594,2020-07-08,关于湖南城陵矶临港新区开发投资有限公司公开发行湖南城陵矶临港高新产业园项目收益债券核准的批复(发改企业债券〔2020〕200号),发改委
2595,2020-07-08,光大银行石家庄分行存多项违规行为 被罚款50万元 金融监管处罚,中华网
2596,2020-07-08,河北银保监局：对光大银行石家庄分行作出行政处罚，罚款50万元 金融监管处罚,Wind
2597,2020-07-08,二季度黑猫投诉企业红黑榜：光大银行入季度黑榜前十 诉讼纠纷,新浪
2598,2020-07-08,国有大行人士：未来将股票等权益类资产占比从2%提高到5%,21世纪经济报道
2599,2020-07-08,光大银行因三项违规违法事项被罚款共计64万元 金融监管处罚,资本邦
2600,2020-07-08,长期不被资本市场看好的银行股是否能解除“破净魔咒”？,券商中国
2601,2020-07-08,【异动股】银行板块低开，渝农商行(601077-CN)跌4.18%,财华社
2602,2020-07-08,A股融资融券日报：两融余额增加267.17亿元（7月7日),Wind
2603,2020-07-08,时隔半年：又见2倍市净率银行股 政策利好估值修复,券商中国
2604,2020-07-08,万亿银行理财资金面朝股市“春暖花开”,Wind
2605,2020-07-08,估值整体上涨，银行板块有望消解“破净魔咒”,证券时报
2606,2020-07-08,估值整体上涨银行板块有望消解“破净魔咒”,证券时报
2607,2020-07-07,银行板块连续大涨 还有16只银行股仍处破净,中投网
2608,2020-07-07,摩根大通：上调光大银行目标价至4.05港元，评级中性,Wind
2609,2020-07-07,有表有真相，大涨之后银行股竟然还有市净率0.5的便宜货,Wind
2610,2020-07-07,摩通：上调光大银行(6818.HK)目标价至4.05港元 评级“中性”,格隆汇
2611,2020-07-07,解盘：资金流入超300亿，动力电池、次新股、大基金领涨,Wind
2612,2020-07-07,小摩：上调光大银行(06818)目标价至4.05港元，维持“中性评级”,智通财经
2613,2020-07-07,A股早报2020年7月7日星期二,Wind
2614,2020-07-07,A股融资融券日报：两融余额增加389.61亿元（7月6日),Wind
2615,2020-07-07,【银行】周报：央行下调再贷款再贴现利率，标准化债权认定规则落地,中银证券研究
2616,2020-07-07,1.5万亿！50期权一周300倍！A股涨出期货的味道,Wind
2617,2020-07-06,周一24只银行股涨停后：工行总市值=2个招行,21世纪经济报道
2618,2020-07-06,牛市来了吗？银行、保险板块掀起涨停潮 估值修复行情能走多远,新浪
2619,2020-07-06,银行股涨停狂欢 买银行股VS买理财如何选？,北京商报
2620,2020-07-06,36家银行股23家涨停！板块涨幅超9％，国有大行涨幅靠后,腾讯网
2621,2020-07-06,涨停板解密：金融股掀涨停潮！（7月6日）,Wind
2622,2020-07-06,恒指放量大涨近千点，大金融板块飙涨,Wind
2623,2020-07-06,粤高速A：持有光大银行2.4亿股 持有国元证券7960万股,e公司
2624,2020-07-06,快讯：内银股午后暴涨 光大银行涨16%招商银行涨11%,新浪
2625,2020-07-06,招商银行、光大银行封住涨停，银行板块继续拉升,Wind
2626,2020-07-06,光大云缴费许长智：打造新时代便利性金融,中国金融新闻网
2627,2020-07-06,光大证券H股暴涨20%三日飙升近100% 光大银行混业经营引猜想,新浪
2628,2020-07-06,A股融资融券日报：两融余额增加125.53亿元（7月3日）,Wind
2629,2020-07-05,【浙商||银行】绝对收益窗口打开：补涨·分化,大话金融
2630,2020-07-04,站在牛市的风口上，聊一下券商股权“迁徙”的新故事,21世纪经济报道
2631,2020-07-03,三根改变信仰的大阳线！券商股再掀牛市节奏最高潮，资金正在加速进场,格隆汇
2632,2020-07-03,A股乘风破浪，还有哪些价值洼地在隐秘角落？,证券时报网
2633,2020-07-03,A股融资融券日报：两融余额增加140.38亿元（7月2日）,Wind
2634,2020-07-02,连云港银保监局：对阳光财险连云港中心支公司作出行政处罚，罚款25万元 金融监管处罚,Wind
2635,2020-07-02,A股融资融券日报：两融余额增加125.09亿元（7月1日),Wind
2636,2020-07-01,【浙商||银行】7月策略：绝对收益窗口打开,大话金融
2637,2020-07-01,A股上市银行开门红 张家港行股价重回净资产之上,和讯
2638,2020-07-01,A股收盘综述：上证指数涨1.38%重返3000点，白酒、地产爆发,Wind
2639,2020-07-01,银行股涨幅进一步扩大，光大银行触及涨停,Wind
2640,2020-07-01,A股融资融券日报：两融余额增加135.2亿元（6月30日),Wind
2641,2020-07-01,WEMONEY朝闻：高迎欣将接棒民生银行董事长；人保财险卷入腾讯与老干妈纠纷,凤凰网
2642,2020-06-30,港股逾九成中资银行股破净，渤海银行逆势开启招股,第一财经
2643,2020-06-30,侃财丨看看海天味业，老干妈会后悔没上市么？,证券时报网
2644,2020-06-30,光大银行获母公司增持 持股比例升至48.53%,和讯
2645,2020-06-30,银保监会同意光大集团受让汇金公司所持有19.53%光大银行股份,中证网
2646,2020-06-30,13年后银行控股权再归光大集团，引发金融控股集团“国家队”整体上市猜想,Wind
2647,2020-06-30,勇立潮头竞风流，砥砺奋进扬新帆——记光大集团长三角协同发展办公室成立一周年,和讯
2648,2020-06-30,A股融资融券日报：两融余额增加86.23亿元（6月29日）,Wind
2649,2020-06-29,银证合作10年演化，从通道到牌照功能互补,Wind
2650,2020-06-29,光大银行：股权变更获得中国银保监会批准,Wind
2651,2020-06-29,光大银行指理财通有助银行业务但短期效益未必太大,财华社
2652,2020-06-29,浙江银保监局：对光大银行杭州分行作出行政处罚，罚款40万元 金融监管处罚,Wind
2653,2020-06-29,贷后资金管控不严 光大银行杭州分行被罚40万 金融监管处罚,中新经纬
2654,2020-06-29,银行将拿券商牌照？“狼来了”还是大利好？,券商中国
2655,2020-06-29,A股融资融券日报：两融余额减少52.66亿元（6月24日）,Wind
2656,2020-06-28,单日88股派现 A股2019年度分红已超4400亿元,北京商报
2657,2020-06-28,暴走A股：突发大利好！3000点稳了？,金融界
2658,2020-06-24,光大银行“随心贷”实现线上放款超9000亿元,中证网
2659,2020-06-24,光大“随心贷”无接触线上放款超9000亿元,上证报
2660,2020-06-24,A股融资融券日报：两融余额增加50.04亿元（6月23日),Wind
2661,2020-06-23,有一家银行的信用卡业务能力，其他银行追一年都未必赶得上 | 愉见财经,和讯
2662,2020-06-23,单日88股派现 A股2019年度分红已超4400亿元,北京商报
2663,2020-06-23,商业银行不良资产处置问题全解,和讯
2664,2020-06-23,【银行】银行业周报：全年信贷新增预计20万亿，1.5万亿让利靴子落地,中银证券研究
2665,2020-06-23,发挥跨境金融优势助力企业抗疫复产,成都日报
2666,2020-06-22,育新机开新局 光大数字金融培育发展新动能,中国金融新闻网
2667,2020-06-22,宜昌银保监局：对光大银行宜昌分行作出行政处罚，罚款20万元 金融监管处罚,Wind
2668,2020-06-22,主承销商：“16中油金鸿MTN001”违约后续 未按时兑付本息,Wind
2669,2020-06-22,中国光大银行南京江宁分行因贷后管理严重违反审慎经营 被罚30万元,金融界
2670,2020-06-22,中国光大银行南京分行因“双录”工作执行不到位 被罚30万元,金融界
2671,2020-06-22,A股融资融券日报：两融余额增加0.17亿元（6月19日),Wind
2672,2020-06-19,江苏银保监局：对光大银行南京江宁支行作出行政处罚，罚款30万元 金融监管处罚,Wind
2673,2020-06-19,“双录”工作执行不到位等 光大银行旗下银行被罚 金融监管处罚,中新经纬
2674,2020-06-19,A股融资融券日报：两融余额增加57.64亿元（6月18日),Wind
2675,2020-06-18,光大银行(601818.SH)：李引泉独立董事任职资格获中国银保监会核准,格隆汇
2676,2020-06-18,四家股份行上半年被罚千万 中信银行罚单总额居首 金融监管处罚,经济观察网
2677,2020-06-18,A股融资融券日报：两融余额增加44.43亿元（6月17日),Wind
2678,2020-06-18,【浙商||银行】金融让利实体企业1.5万亿从哪来？,大话金融
2679,2020-06-17,央行及银保监会行政处罚汇总（6月17日） 金融监管处罚,Wind
2680,2020-06-17,A股融资融券日报：两融余额增加79.14亿元（6月16日),Wind
2681,2020-06-17,银行转债怎么看？,岳读债市
2682,2020-06-16,30家银行普惠型小微企业贷款排名：六大行“头雁”效应显著，天津银行增速达73%,零壹财经
2683,2020-06-16,光大银行：服务小微客户超过160万户 提供资金支持超8000亿元,中证网
2684,2020-06-16,A股融资融券日报：两融余额增加44.22亿元（6月15日),Wind
2685,2020-06-15,光大银行(601818.SH)：年报推10派2.14元股权登记日6月23日,格隆汇
2686,2020-06-15,定调子找路子搭台子出点子 光大普惠用金融为脱贫“铺路”,中国金融新闻网
2687,2020-06-15,光大银行零售普惠持续发力服务小微超160万户,中国金融新闻网
