,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
917,2021-02-18,半导体板块 “开门红”，牛年有望迎来更高景气度,Wind
918,2021-02-18,华西证券--电子（半导体）：车载芯片持续短缺，预示半导体景气度不减【行业研究】,金融界股吧
919,2021-02-18,电子(半导体)行业点评报告：车载芯片持续短缺 预示半导体景气度不减,新浪
920,2021-02-18,新能源汽车、光伏、白酒……最火行业牛年怎么走？,e公司
921,2021-02-18,44股获券商买入评级 金晶科技目标涨幅达100.63%,Wind
922,2021-02-17,2021半导体领袖新年展望：制造&设备材料篇,半导体行业观察
923,2021-02-17,华润微(688396)公司动态点评：收购重庆华微剩余股权增厚公司业绩 持续受益功率半导体景气上行,新浪
924,2021-02-16,【银河电子傅楚雄/王恺】两会前瞻丨前瞻两会风向，关注科技创新与产业升级,中国银河证券研究
925,2021-02-14,半导体概念股2020年业绩一览：超8成公司业绩预增 61家公司合计盈利176亿元,搜狐
926,2021-02-13,【东吴电子王平阳团队】半导体周报：地震、寒潮引发半导体厂商停工，供需紧张状态延续 自然灾害,东吴电子研究
927,2021-02-13,华润微：现阶段公司订单饱满，短期内没有看到供需紧张的情况有缓解迹象,Wind
928,2021-02-10,华润微：约8008.57万股限售股3月1日解禁，占比约6.59% 解禁,每日经济新闻
929,2021-02-10,节后年报密集发布，高送转向“厚”赚,Wind
930,2021-02-10,华润微(688396)：收购重庆华微少数股权 进一步增厚公司业绩,新浪
931,2021-02-10,华润微(688396)：低价收购少数股权增厚业绩,国金证券股份有限公司
932,2021-02-09,科创板晚报|工信部就汽车芯片供应短缺问题与相关企业座谈交流西部超导4名股东合计减持11.62%股份,科创板日报
933,2021-02-09,2月9日晚间上市公司十大重磅公告,巨丰财经
934,2021-02-09,华润微(688396.SH)：8008.5714万股战略配售限售股将解禁 解禁,格隆汇
935,2021-02-09,华润微：拟以14.43亿元收购重庆华微47.31%股权,Wind
936,2021-02-09,华润微：占总股本6.5864%限售股将于3月1日上市流通 解禁,Wind
937,2021-02-09,华润微：拟14.43亿元收购重庆华微剩余股权,e公司
938,2021-02-09,电子行业2020年报前瞻：龙头业绩高增兑现高景气度,新浪
939,2021-02-09,华润微(688396.SH)：2021年度拟向银行申请不超29.29亿元综合授信额度,格隆汇
940,2021-02-09,华润微(688396.SH)拟斥资14.43亿元实现对重庆华微的全资控股,智通财经
941,2021-02-09,华润微：拟以约14.43亿元收购华润微电子（重庆）有限公司47.31%股权,每日经济新闻
942,2021-02-09,汽车市场一“芯”难求，进口替代“芯”潮涌动,Wind
943,2021-02-08,电子行业：半导体缺货涨价力度不减 景气度有望延续,新浪
944,2021-02-08,电子行业：2021E存储芯片或将增长迅速 半导体设备开支大年,新浪
945,2021-02-08,解盘：人气回升，机械、工业金属、锂矿、影视领涨,Wind
946,2021-02-08,“缺芯潮”调查：交货期长过孕期，国产替代机会来了,每日经济新闻
947,2021-02-07,科创板股2020年业绩提前看 23股净利润增幅翻倍,证券之星
948,2021-02-05,2月开门遇“冷锋”！捷捷微电领跌10只功率半导体股，华微电子业绩“掉队”,华夏时报
949,2021-02-05,半导体2月开门遇“冷锋”：捷捷微电领跌10只功率半导体股,华夏时报
950,2021-02-05,半导体板块午后再度异动，士兰微直线翻红,Wind
951,2021-02-05,半导体1月跟踪报告：半导体产业持续高景气 涨价缺货蔓延至汽车芯片,光大证券
952,2021-02-04,华润微(688396.SH)定增股票申请符合发行条件、上市条件和信息披露要求,智通财经
953,2021-02-04,华润微(688396)：业绩预告符合预期 行业景气度继续上行,新浪
954,2021-02-03,A股收盘综述：上证指数跌0.46%，创业板指跌0.15%,Wind
955,2021-02-03,A股午盘综述：上证指数涨0.2%，创业板指涨1.3%,Wind
956,2021-02-03,科创板药企难逃“尚未盈利”掣肘？百济神州拟择第三地上市募资200亿,资本邦
957,2021-02-02,坐拥1.6万亿资产，华润集团究竟是怎样的公司？,国际电力网
958,2021-02-01,平安证券--电子行业周报：苹果单季度营收新高，手机四季度出货排名出炉【行业研究】,金融界股吧
959,2021-02-01,苹果公司2021年第一财季业绩解读,吉森电子研究
960,2021-01-31,开源刘翔团队|2021我们依旧坚定看好功率半导体板块,刘翔电子研究
961,2021-01-30,回调或许现更佳买点 半导体军工人工智能高景气仍在,金融投资报
962,2021-01-30,四季报揭秘基金最新增仓减仓股,大众证券报
963,2021-01-28,【半导体投资日报】6图看懂今年芯片投资主线 基金梭哈投资引关注,新浪
964,2021-01-28,中芯国际(688981)：半导体中军 成熟制程渐入佳境,新浪
965,2021-01-27,多家半导体公司业绩预喜，大基金减持不改行业高景气度丨牛熊眼,第一财经
966,2021-01-27,华润微：功率半导体国产替代,半导体风向标
967,2021-01-27,华润微(688396)：订单饱满利润高增 功率IDM龙头蓄势待发,新浪
968,2021-01-27,A股午盘综述：创业板指涨0.26%，盘中一度跌近2%,Wind
969,2021-01-25,牛市中失落的基金经理：基金首尾业绩相差178%,21世纪经济报道
970,2021-01-25,电子行业2020Q4基金重仓分析专题：半导体/光学板块重仓规模增长 消费电子环比下降 重仓个股集中度提升,新浪
971,2021-01-25,大基金又要减持了，这回砸出的是不是“黄金坑”？,上证报
972,2021-01-25,电子行业周报：从主题概念到业绩兑现 中国“芯”全面启动,新浪
973,2021-01-25,全球芯片短缺：引发恐慌性下单 涨价潮向产业链传导,时代在线
974,2021-01-25,芯片缺货未缓解，晶圆再迎涨价潮,Wind
975,2021-01-24,产能非常紧缺！芯片缺货潮没有缓解迹象，5股业绩有望翻倍,证券时报
976,2021-01-22,【东北晨会0122】行业深度：CNT—电池“黑科技”竞赛受益材料/房地产行业周报/华润微、东宏股份、乐歌股份,东北证券研究所
977,2021-01-21,2021年电子行业年度策略：春回景明需求可期 拨云见日国产崛起,新浪
978,2021-01-21,深度*公司*华润微(688396)：订单饱满 全年业绩高增长,新浪
979,2021-01-21,电子行业：台积电21年资本开支大幅增长 全球车用芯片供给紧张,新浪
980,2021-01-21,华润微(688396)：功率半导体供需吃紧 IDM龙显着受益,新浪
981,2021-01-20,电子行业：8寸晶圆制造供需紧张将持续,新浪
982,2021-01-20,数家芯片龙头年报业绩预喜，韦尔股份净利润涨4至5倍,经济观察网
983,2021-01-20,电子：台积电2021E资本开支将达250亿～280亿美金带动新一轮半导体设备景气周期,新浪
984,2021-01-20,华润微(688396)：业绩预告符合预期 21年高成长可期,新浪
985,2021-01-20,华润微(688396)：大陆功率IDM龙头 业绩印证行业景气,新浪
986,2021-01-20,科创板系列研究(四十)-科创板信号：风险偏好可能是扩散而非下降,新浪
987,2021-01-20,【公司点评】华润微：2020年业绩预告亮眼，功率IDM龙头盈利加速释放,吉森电子研究
988,2021-01-20,【机会挖掘】芯片缺货涨价潮持续 上游8英寸晶圆最抢手（附股）,证券时报网
989,2021-01-20,华润微去年净利预增130% 受益国产替代加速产能满载,新浪
990,2021-01-20,汽车电子行业系列报告之功率篇：成长行业“优质赛道” 国内龙头旭日东升,新浪
991,2021-01-19,华润微：2020年业绩同比预增130.00%到140.03%,上证报
992,2021-01-19,半导体紧缺或延续至四季度，行业龙头业绩放量增长,第一财经
993,2021-01-19,华润微(688396)：2020年度业绩预告高增长 看好公司未来发展,新浪
994,2021-01-19,华润微(688396)：业绩符合预期 调高2021年盈利预测,国金证券股份有限公司
995,2021-01-19,芯片仍然供不应求，预测2025年中国芯片自给率低于预期约达20%,慧聪电子网
996,2021-01-19,预增！华润微预计2020年扣非净利润同比增长超3倍,资本邦
997,2021-01-19,A股早报2021年1月19日星期二,Wind
998,2021-01-19,半导体板块迎来上涨 券商认为高景气度将继续维持（附股）,第一财经
999,2021-01-19,中信建投：半导体板块高景气度将继续维持 涨价趋势或将进一步蔓延,Wind
1000,2021-01-19,中泰证券：下游需求爆发，八英寸晶圆供不应求带来涨价潮,Wind
1001,2021-01-19,中泰证券：下游需求爆发，八英寸晶圆供不应求带来涨价潮,证券时报网
1002,2021-01-19,华润微全年扣非后净利预增3倍 功率半导体景气获验证 汽车电子或成增长引擎,财联社
1003,2021-01-19,产能紧张叠加国产替代提速，半导体产业高景气将持续,Wind
1004,2021-01-18,韦尔股份涨停股价创新高，2020年业绩大幅预增,第一财经
1005,2021-01-18,华润微：预计2020年净利润同比增长130%-140%,格隆汇
1006,2021-01-18,华润微(688396.SH)：2020年度净利预增130.00%到140.03%,格隆汇
1007,2021-01-18,1月18日晚间重要行业研究汇总(附股),中金在线
1008,2021-01-18,电子行业周报：台积电资本开支超预期 面板价格上行板块业绩亮眼,华安证券
1009,2021-01-18,半导体板块发力走高 韦尔股份一度涨停再创新高,证券时报网
1010,2021-01-18,科创板两融余额减少4.17亿元，8股融资余额增超5%,Wind
1011,2021-01-18,周末影响一周市场的10大消息(新股+点评),券商中国
1012,2021-01-17,深圳上海彻底火了：市值狂增8万亿！这9大城市，首次突破1万亿,中国基金报
1013,2021-01-17,安信研究|晨会在线20210119,安信证券研究
1014,2021-01-15,A股功率半导体一周大PK！闻泰科技坐稳龙头宝座 华润微涨12%居首 台基股份末尾挣扎,华夏时报网
1015,2021-01-15,业绩硬核前瞻系列三：成长科技,华安证券
1016,2021-01-15,近一月机构调研数据分析：安恒信息和金龙鱼获密集调研,巨丰财经
1017,2021-01-15,半导体行业将迎来高景气阶段,信息时报
1018,2021-01-15,安集科技：打破国外垄断进入全球供应链的半导体材料公司,巨丰财经
1019,2021-01-14,MOSFET：研究框架（100页）,半导体风向标
1020,2021-01-14,【科创研究】安集科技：快速崛起的国内CMP抛光液龙头,吉森电子研究
1021,2021-01-14,半导体板块回暖，机构：抱团资金流入低位超跌大科技,第一财经
1022,2021-01-13,功率半导体2021年景气度高 “需求+国产替代”双驱动,上证报
1023,2021-01-13,“需求+国产替代”双驱动 功率半导体2021年迎发展良机,上证报
1024,2021-01-13,“需求+国产替代”双轮驱动，功率半导体2021年景气度高,Wind
1025,2021-01-13,蓝箭电子IPO过会：研发能力成问询焦点，保荐机构涉财务造假案遭重罚 欺诈造假,华夏时报
1026,2021-01-12,电子周报：智能车步入新时代 汽车电子迎来高速成长期,新浪
1027,2021-01-12,电子行业周报：荣耀5G新机发布 面板价格继续上行,华安证券
1028,2021-01-11,半导体投资日报：车企芯片短缺啥时候解决？这家公司透露最新信号,新浪
1029,2021-01-11,电子行业周报：面板价格涨势不休 苹果月度数据上佳,新浪
1030,2021-01-11,重磅突发！百度宣布重大决定，龙头股秒板，超5万手大单封死涨停,证券时报网
1031,2021-01-11,半导体板块走势活跃，涨价潮蔓延，行业景气度持续向上,证券时报网
1032,2021-01-11,2021功率半导体趋势明显，未来五年增长强劲,元器件交易网
1033,2021-01-11,【行情】半导体板块走高，铜峰电子封板，韦尔股份涨5%，全志科技、扬杰科技、兆易创新、华润微、士兰微跟涨,金十数据
1034,2021-01-11,拆解苹果造车“盲盒”，产业链频频跨界“备车”,证券时报
1035,2021-01-10,苹果Mini LED产品有望陆续推出；村田工厂染疫MLCC供应或更紧张,中信建投证券研究
1036,2021-01-09,华润微：目前公司在手订单饱满，汽车电子是未来重点发力方向,证券之星
1037,2021-01-08,近一月机构调研数据分析：密集调研医药生物行业,巨丰财经
1038,2021-01-08,华润微：12寸产线预计明年实现产能贡献汽车电子是未来重点发力方向,格隆汇
1039,2021-01-07,半导体芯日报|基金经理：新能源光伏至少有10倍空间 半导体也一样,新浪
1040,2021-01-07,华润微(688396)：功率半导体龙头 充分受益国产替代及行业高景气,新浪
1041,2021-01-07,芯片涨价潮继续：提价公司越来越多，产业链连锁反应加剧,澎湃新闻
1042,2021-01-07,1月1日起 这些芯片厂正式涨价！或持续到2022年底,快科技
1043,2021-01-06,中金恋阿里，华兴靠京东？投行垄断独角兽成新趋势,券商中国
1044,2021-01-06,开源晨会0108丨一致预期中的有限理性；指增基金：公募超额收益的稳健表达；九典制药、华润微、当升科技,开源证券研究所
1045,2021-01-05,电子行业：MEMS迎物联网浪潮，国产化加速，维持“看好”评级,东方证券
1046,2021-01-04,电子行业：2021年功率半导体有望迎来景气周期，维持“买入”评级,国金证券
1047,2021-01-04,半导体行业系列专题：新能源汽车重塑功率半导体价值,新浪
1048,2021-01-04,电子行业周报：电子板块2020年度行情回顾及2021年投资展望,国海证券
1049,2021-01-04,68只科创板股融资余额环比增加,证券之星
1050,2021-01-04,电子行业周报：面板维持上涨 半导体产能紧张依旧,华安证券
1051,2021-01-03,全市场科技产业策略报告第九十一期-2021年科创板半导体行业投资前瞻：成长为体 稀缺为魂,新浪
1052,2021-01-03,2021年科创板半导体行业投资前瞻：成长为体 稀缺为魂-全市场科技产业策略报告第九十一期,新浪
1053,2021-01-03,2021年A股有哪些机会？新能源汽车、光伏、半导体三大行业或“跨栏奔腾”,金融投资报
1054,2021-01-01,中信建投证券2021年度十大预测,中信建投证券研究
1055,2021-01-01,2021年券商看好的十大板块,Wind
1056,2020-12-31,IPO成功闯关145家，科创板2020年榜单全面揭晓！,Wind
1057,2020-12-31,大摩：华润医疗目标价升至6.6港元 给予增持评级,新浪
1058,2020-12-31,华润微核心技术人员离职，盘中闪崩一度跌近10%,Wind
1059,2020-12-31,一份研报引爆牛市？至少25只个股评级被调高，来看名单,券商中国
1060,2020-12-31,核心技术人员离职！何波涌因个人职业发展原因从华润微辞职 员工变动,资本邦
1061,2020-12-31,【国金晨讯】2021年功率半导体有望迎来景气周期；芯朋微：电源管理IC细分龙头受益国产替代,国金证券研究所
1062,2020-12-30,电子半导体行业-集成电路所得税优惠政策影响点评：税收新政首提十年免征 惠及全产业链,新浪
1063,2020-12-30,华润微：核心技术人员离职 员工变动,Wind
1064,2020-12-30,电子行业：MEMS迎物联网浪潮 国产化加速,新浪
1065,2020-12-30,电子行业研究：2021年功率半导体有望迎来景气周期,国金证券股份有限公司
1066,2020-12-30,蓝箭电子产品降价员工数连降 营收滞涨自有品牌下滑 盈利能力下降,中国经济网
1067,2020-12-29,银河证券每日晨报,新浪
1068,2020-12-28,电子行业点评报告：新能源光伏等加速本土配套 功率迎黄金成长期,新浪
1069,2020-12-28,本周观点：与个股集萃,华安证券
1070,2020-12-28,电子周报：快充和激光雷达步入快车道 半导体景气度高昂,新浪
1071,2020-12-28,电子行业周报：小米11取消标配充电头 关注快充投资机遇,新浪
1072,2020-12-27,【民生研究】周观点汇总：关注景气度触底而估值承压的板块投资机会,MS研究
1073,2020-12-27,【华西电子孙远峰团队—持续推荐功率半导体】新能源/光伏等加速本土配套，功率迎黄金成长期,远峰电子
1074,2020-12-27,【中信建投电子|刘双锋&雷鸣团队】周报：安卓新机密集发布，光学升级仍为主要趋势；晶圆产能供不应求将持续至21H1,中信建投电子研究
1075,2020-12-25,近一月机构调研数据分析,巨丰财经
1076,2020-12-25,电子行业2021年投资策略报告：经济复苏创新驱动 电子行业景气上行,新浪
1077,2020-12-24,华润微38亿布局封测基地 12亿元“补血”收问询函 问询,新浪
1078,2020-12-22,【兴证策略|科创板】近期科创板优质公司纳入主要指数情况汇总——科创板系列研究,XYSTRATEGY
1079,2020-12-22,方正证券：汽车半导体研究框架,方正证券
1080,2020-12-22,129只科创板股融资余额环比增加,证券时报网
1081,2020-12-21,【研报掘金】中芯国际被列入实体清单叠加税务优惠 半导体国产替代有望加速,证券时报网
1082,2020-12-21,电子行业周报：面板继续上行 政策精准扶持晶圆制造,华安证券
1083,2020-12-18,机构看好这些个股 最高还有44%的涨幅空间,第一财经
1084,2020-12-18,国元早安直通车,新浪
1085,2020-12-18,电子行业点评报告：加码车规级碳化硅 国产SIC开启新时代,新浪
1086,2020-12-18,公司深度|华润微：多领域需求进入拐点，IDM龙头全面受益【国元电子贺茂飞团队】,茂飞电子研究
1087,2020-12-18,【行情】半导体及元件板块活跃，南大光电涨超10%，晓程科技、捷捷微电、富满电子、华润微等集体跟涨,金十数据
1088,2020-12-17,华润微(688396)公司深度报告：多领域需求进入拐点 IDM龙头全面受益,新浪
1089,2020-12-17,从300个瞬间看2020丨资本市场：改！改！改！,北京商报
1090,2020-12-16,A股融资融券日报：两融余额增加16.45亿元（12月15日）,Wind
1091,2020-12-16,101只科创板股融资余额环比增加,证券之星
1092,2020-12-16,A股公司，逆势绘就经济亮色,Wind
1093,2020-12-15,已经翻倍的半导体股集体跳水，出了啥情况？,上证报
1094,2020-12-15,A股收盘综述：上证指数微跌，创业板指涨逾1%,Wind
1095,2020-12-15,华润微拟再募50亿 上交所：IPO募资42亿是否大量闲置,中国经济网
1096,2020-12-15,斯达半导、新洁能闪崩跌停拖累半导体板块，中芯国际-U、韦尔股份等大跌,Wind
1097,2020-12-15,半导体硅片指数跳水，华润微跌逾8%,Wind
1098,2020-12-15,电子元器件周报：电子元器件涨价趋势蔓延 行业景气度维持上行,新浪
1099,2020-12-15,电子周报：部分芯片缺货影响镜头放量 半导体芯芯向荣,新浪
1100,2020-12-15,中信建投TMT团队最新研究观点,中信建投证券研究
1101,2020-12-14,华润微：公司及多家子公司累计收到政府补助4851.32万元,中证网
1102,2020-12-14,电子投资新机遇：新时代、新格局,新浪
1103,2020-12-14,华润微(688396.SH)：获得的政府补助共计4851.32万元,格隆汇
1104,2020-12-14,半导体行业快评：8寸晶圆制造为什么涨价？,国信研究
1105,2020-12-14,定向增发新进展！华润微定增获上交所首轮问询 问询,资本邦
1106,2020-12-14,电子行业周报：面板价格维持上涨 半导体产能紧张持续,华安证券
1107,2020-12-14,电子行业周报：IPHONE、面板产业链持续高景气 继续看好汽车电子,新浪
1108,2020-12-14,【银河电子】2021年度策略：新时代、新格局、电子投资新机遇,中国银河证券研究
1109,2020-12-14,半导体行业系列专题：八英寸晶圆代工为什么涨价？,新浪
1110,2020-12-13,【中信建投电子|刘双锋&雷鸣团队】周报：立讯通过收购高伟进军光学赛道；8寸晶圆代工吃紧带动上下游涨价,中信建投电子研究
1111,2020-12-13,华润微(688396.SH)受到上交所出具有关定增股票的审核问询函 问询,智通财经
1112,2020-12-13,【东方-电子】8寸晶圆制造高景气有望持续,电子论剑
1113,2020-12-11,华润微(688396)：功率半导体国产替代受益者 盈利能力稳步提升,新浪
1114,2020-12-10,半导体行业将迎拐点？机构称未来3-5年仍是投资主线丨牛熊眼,第一财经
1115,2020-12-10,【行情】半导体板块继续走强，斯达半导逼近涨停，韦尔股份、立昂微涨超7%，思瑞浦、新洁能、华润微等个股涨逾5%,金十数据
1116,2020-12-10,18股获券商买入评级 华阳国际目标涨幅达69.46%,Wind
1117,2020-12-09,折叠A股：101家公司股价创新高，7成跑输指数,Wind
1118,2020-12-09,【国金电子】行业深度：2021年功率半导体有望迎来景气周期,国金电子研究
1119,2020-12-09,华润微(688396)深度研究报告：功率半导体龙头厂商 “代工+自有产品”战略驱动公司规模持续扩张,新浪
1120,2020-12-09,电子(半导体)：国产功率加速替代 工控家电领域谋突破,新浪
1121,2020-12-08,【华西电子孙远峰团队—持续推荐功率半导体】国产功率加速替代，工控家电领域谋突破,远峰电子
1122,2020-12-08,电子行业周报：半导体设备板块中华峰测控何以走出独立行情,国海证券
1123,2020-12-08,上交所副总经理阙波：深化关键制度改革，推进基础制度建设,Wind
1124,2020-12-07,半导体价格上涨 24只个股获机构看好,第一财经
1125,2020-12-07,电子行业周报：半导体近期涨价梳理,新浪
1126,2020-12-07,电子(半导体)行业点评报告：半导体产业链格局优化 国产设备空间大,新浪
1127,2020-12-07,华润微：公司MOSFET累计销售额约为14亿元,科创板日报
1128,2020-12-07,华润微：今年公司IGBT产品收入预计可以突破1亿元,科创板日报
1129,2020-12-07,华润微：四季度可以延续三季度景气的态势，对明年上半年行情表示乐观,Wind
1130,2020-12-07,半导体缺货全链涨价芯片巨头股价新高A股相关概念股逆市跟涨,财华社
1131,2020-12-07,【东吴电子王平阳团队】半导体周报：半导体近期涨价梳理,东吴电子研究
1132,2020-12-07,晨会聚焦201207重点关注证券行业、华住酒店、华润微,国信研究
1133,2020-12-07,华润微（688396）动态点评：晶圆代工景气度上行，公司业绩迎来向上弹性,国信研究
1134,2020-12-07,IGBT概念股涨逾3%,Wind
1135,2020-12-07,【行情】半导体板块集体高开，金安国纪、华微电子一字涨停，铜峰电子、士兰微、华润微、扬杰科技、捷捷微电等高开,金十数据
1136,2020-12-07,半导体硅片板块涨逾3%，华润微涨逾5%,Wind
1137,2020-12-07,斥资500亿！中芯国际联手大基金 A股受益名单梳理,科创板日报
1138,2020-12-07,华润微2条8吋产线满载 重庆厂拟扩产10%左右,上海有色
1139,2020-12-07,【华创·周知道】铜铝价格冲高回落但趋势不改，继续推荐铝铜，关注锂和前驱体（20201207）,华创证券研究
1140,2020-12-07,【晨观方正】固收/电子/农业/环保/传媒/汽车20201207,方正证券
1141,2020-12-07,“科创200”画像：彰显中国创新的资本力量,Wind
1142,2020-12-07,数说科创板上市公司十大特征,Wind
1143,2020-12-07,科创板公司达到200家，持续为科技创新赋能,Wind
1144,2020-12-06,【中信建投电子|刘双锋&雷鸣团队】周报：预计21年全球5G手机将达5亿部上下；8英寸晶圆代工吃紧下游涨价,中信建投电子研究
1145,2020-12-06,【华西电子孙远峰团队—半导设备】半导体产业链格局优化，国产设备空间大,远峰电子
1146,2020-12-06,华润微(688396.SH)：庄光东辞任法律合规官职务,格隆汇
1147,2020-12-06,华润微：法律合规官庄光东辞职,Wind
1148,2020-12-06,半导体全产业链涨价潮起，哪些公司将受益？,Wind
1149,2020-12-06,电子行业周报：软板双雄引领IPHONE产业链新一轮成长周期 功率半导体有望迎来涨价潮,新浪
1150,2020-12-04,半导体MCU出现涨价潮，金安国纪等多股涨停丨牛熊眼,第一财经
1151,2020-12-04,【行情】芯片概念拉升走强，华微电子、士兰微涨停，华阳集团、赛微电子、华润微等跟涨,金十数据
1152,2020-12-03,2021年度电子行业投资策略：5G＋AI 芯片国产化,新浪
1153,2020-12-02,半导体涨价潮起！机构紧急调研灵魂拷问“涨价预期”,21世纪经济报道
1154,2020-12-02,半导体板块午后继续走强 瑞丰光电涨12.41%,证券时报网
1155,2020-12-01,数说A股：银行股罕见涨停潮，牛市旗手发力，外资扫货160亿助攻,腾讯网
1156,2020-12-01,11月金股组合盈利9.53% 12月荐股名单出炉,新浪
1157,2020-12-01,电子行业周报：IPHONE供应链迎来新一轮成长周期 功率半导体有望迎来涨价潮,新浪
1158,2020-12-01,【行情】半导体及元件板块拉升，丹邦科技封板，惠伦晶体涨7%，华润微、思瑞浦、泰晶科技等跟涨,金十数据
1159,2020-11-30,电子(半导体)行业点评报告：半导体材料需求看涨 联动晶圆产能扩张,新浪
1160,2020-11-30,电子行业周报：化合物半导体需求旺盛 国产替代加速进行,新浪
1161,2020-11-29,【中信建投电子|刘双锋&雷鸣团队】周报：苹果产业链出货动能旺盛；8吋晶圆代工供不应求，景气度持续,中信建投电子研究
1162,2020-11-29,【华西电子孙远峰团队-半导材料&晶圆扩张】半导体材料需求看涨，联动晶圆产能扩张,远峰电子
1163,2020-11-29,深度*行业*电子行业2021年度策略：掘金高景气板块 把握涨价行情,新浪
1164,2020-11-28,电子行业研究：功率半导体量价齐升 国产替代正当时,新浪
1165,2020-11-27,电子(半导体)行业点评报告：化合物半导或将开启新时代 国产供应链积极布局,新浪
1166,2020-11-27,【行情】半导体板块拉升，台基股份拉升大涨14%，思瑞浦、新洁能、华润微、北京君正等个股跟涨,金十数据
1167,2020-11-26,【方正化工】新材料周报：8英寸硅晶圆订单价格上涨，磷酸铁锂前三季度出货量同比大增23%,靠谱化工股
1168,2020-11-26,华润微(688396.SH)向特定对象发行股票申请获上交所受理,格隆汇
1169,2020-11-26,致瞻科技获Pre-A轮融资碳化硅产业仍“新芽”频出,科创板日报
1170,2020-11-25,华润微(688396.SH):东莞杰群拟为杰群科技提供不超2000万美元担保 大额借贷担保,智通财经
1171,2020-11-25,电子(半导体)行业：晶圆制造&封测双看涨 产业链条景气传导向上,新浪
1172,2020-11-24,半导体将现涨价潮？8英寸产能持续紧张 长期供需矛盾背后原因有二,科创板日报
1173,2020-11-23,电子行业周报：8英寸产能供需偏紧 面板投资机会依然明朗,新浪
1174,2020-11-23,芯片战争2020：军备竞赛跨入百亿美元俱乐部,锦缎
1175,2020-11-22,【中信建投电子|刘双锋&雷鸣团队】周报：8英寸产能供需偏紧，面板投资机会依然明朗,中信建投电子研究
1176,2020-11-22,A股百家半导体厂商平均获政府补贴5500万，前10家公司合计获政府补贴37.4亿,搜狐
1177,2020-11-20,华润微：国内IDM龙头盈利能力持续增强,大众证券报
1178,2020-11-19,【华西电子-IC WORD纪要（下）半导体材料国产化自主创新路径】,远峰电子
1179,2020-11-18,注册制公司再融资进度：5家计划定增 1家拟发转债,面包财经
1180,2020-11-16,百济拟在科创板上市，成为首家三地上市的药企需闯哪些难关？,第一财经
1181,2020-11-16,注册制公司再融资进度：5家计划定增，1家拟发可转债,面包财经
1182,2020-11-15,【中信建投电子|刘双锋&雷鸣团队】周报：台积电/联发科10月业绩表现亮眼，中芯/华虹Q3营收创新高,中信建投电子研究
1183,2020-11-14,半导体产业空间巨大 细分龙头加速成长,金融投资报
1184,2020-11-13,近5日34只个股首获机构关注（附表）,Wind
1185,2020-11-12,半导体芯片龙头股频遭减持，大基金年内套现近90亿元 减持股份,第一财经
1186,2020-11-12,A股收盘综述：沪指三连阴，“喝酒”行情上演,Wind
1187,2020-11-12,29股获券商买入评级，值得买目标涨幅达61.88%,Wind
1188,2020-11-10,【东方-电子】华润微：深度受益于功率半导体国产替代，盈利能力持续增强,电子论剑
1189,2020-11-10,电子行业周报：面板继续上行 5G手机销量有望大增,华安证券
1190,2020-11-10,收评：创业板指跌1.45%失守2800 汽车、科技股领跌,网易
1191,2020-11-10,创业板指午后续下行跌近2% 北向资金净流出超50亿,网易
1192,2020-11-10,早评：沪指高开0.41% 机场航运板块走强,网易
1193,2020-11-10,52股获券商买入评级，中嘉博创目标涨幅达104.35%,Wind
1194,2020-11-10,"【中证盘前】注意！这个转债强赎或致80%损失！万达电影定增引入高毅；晶澳科技回应“实控人被立案调查”；辉瑞疫苗获重大进展
董监高成员异常事件",中证报
1195,2020-11-09,进博会｜新一代信息技术绽光芒,维库电子市场
1196,2020-11-09,半导体王者归来：除了情绪回暖 火爆行情背后或有这些数据支撑,新浪
1197,2020-11-09,半导体板块走势活跃 芯朋微捷捷微电等大涨,证券时报网
1198,2020-11-09,功率行业跟踪报告：台湾功率企业10月营收维持高位 国内两轮电动车9月产量与增速均创新高,新浪
1199,2020-11-09,【行情】氮化镓板块大涨，捷捷微电涨14%，富满电子、华润微、扬杰科技、台基股份跟涨,金十数据
1200,2020-11-09,半导体板块走强，新洁能涨停,Wind
1201,2020-11-08,【东吴电子王平阳团队】半导体周报：8寸晶圆供不应求，新一轮价格上升周期开启,东吴电子研究
1202,2020-11-08,华润微：公司两条8英寸线产能约为133万片/年,搜狐
1203,2020-11-06,电子元器件周报：IPHONE12系列销量前景乐观 本土封测行业迎来利润释放期,新浪
1204,2020-11-05,靴子落地最先受益或是它，半导体公司批量超预期,证券时报网
1205,2020-11-05,券商首次关注2股并给予买入评级（11月5日）,Wind
1206,2020-11-04,华润微(688396)：功率半导体垂直布局 产能进一步加码,新浪
1207,2020-11-04,接连出手，国家大基金二期青睐芯片龙头企业,中证报
1208,2020-11-03,【华西电子孙远峰团队-功率半导体行业推荐】功率半导体板块景气度持续，加速进口替代,远峰电子
1209,2020-11-03,沉寂多日，机构和外资又开始大单扫货……,上证报
1210,2020-11-02,中小盘增发并购双周报：新规后竞价定增解禁平均收益率22.9% 胜率75% 解禁,新浪
1211,2020-11-02,【国元电子】行业事件点评：8寸晶圆产能持续紧张，涨价模式启动,茂飞电子研究
1212,2020-11-01,【中信建投电子|刘双锋&雷鸣团队】周报：苹果产业链四季度迎较强出货动能，华为入股昂瑞威加速扶持本土半导体产业链,中信建投电子研究
