,2021-12-31,实体企业怎么实现数字化转型升级？广联达刁志中解答,新浪
2445,2020-06-16,A股共发生160宗大宗交易成交39.88亿元（6月16日）,Wind
2446,2020-06-16,广联达今日大宗交易成交3.50万股，成交价59.85元溢价0.0%,Wind
2447,2020-06-15,前瞻｜2020全球软件SaaS云计算产业展望,中信证券研究
2448,2020-06-15,【东兴计算机】人工智能场景应用进入规模化落地拐点，科大讯飞等个股AI红利收获期将至 ——计算机行业周报,东兴研究圈
2449,2020-06-14,业界大咖海口共商区块链技术及产业创新,新华网
2450,2020-06-14,SaaS服务表现亮眼，开普云有望迎来价值重估,投资家
2451,2020-06-11,王府井等29股股价创历史新高,证券时报网
2452,2020-06-10,明星基金经理最新调研标的现身！刘格菘调研楚江新材、锐明技术、紫光股份等；胡宜斌调研海格通信、立讯精密、金科文化,红周刊
2453,2020-06-09,63股创新高，茅台、爱尔眼科等打先锋，“吃药喝酒”行情能热多久,经济网
2454,2020-06-08,天健“新基建”布局加速智慧城市搭建成效已显,每经网
2455,2020-06-08,要找工作？来大虹桥看看这些招聘需求逆势上涨的企业,上观
2456,2020-06-08,计算机应用行业：农行招标凸显产业对鲲鹏生态继续乐观 新三板转板机制带动证券IT增量,新浪
2457,2020-06-08,首届（2020）中国建筑业“新基建”引领数字项目高峰论坛召开,凤凰网
2458,2020-06-07,【计算机板块机会是结构性的，处于重个股阶段】——太平洋计算机王文龙团队,蚊子搞科研
2459,2020-06-05,本周逾千家机构扎堆调研计算机行业公司,中证网
2460,2020-06-05,重磅！广东砂石骨料价格居高不下，原因在哪里？,中国水泥网
2461,2020-06-05,中信建投：海外云计算公司Q1保持高增长，持续看好云计算产业链,证券时报网
2462,2020-06-04,险资权益投资强势归来 潜在标的“话你知”,投资快报
2463,2020-06-03,富时罗素：富时中国A50等指数季度审核变更6月22日生效,Wind
2464,2020-06-03,【东兴计算机】金山云(KC.O) : All in 云服务，赋能企业构建产业新生态,王者计算机
2465,2020-06-03,188股股东户数下降比例超5%超六成个股跑赢沪指,证券时报
2466,2020-06-02,计算机行业2020年中期投资策略：寻找成长的“常青藤”,新浪
2467,2020-06-02,科技股包揽前四！5月券商密集调研，这些上市公司最热门,中证报
2468,2020-06-02,计算机行业周报：二季度哪些子行业景气度边际改善？,新浪
2469,2020-06-02,国轩高科等多股获机构一致预测净利润增幅在100%以上,第一财经
2470,2020-06-02,股东急抢货！动力电池龙头被大众看上，主力提前埋伏！最新筹码大幅集中股名单,证券时报网
2471,2020-06-02,睿财看市场：6月A股迎开门红 金融携手科技领涨,恒泰睿财
2472,2020-06-02,公募基金最新关注行业浮现 5月调研偏爱科技及大消费,投资快报
2473,2020-06-01,投资策略：6月不悲观，A股或振荡上行【附金股名单】,和讯
2474,2020-06-01,6月喜迎开门红，六绝“魔咒”要打破？过去十年6月A股这样表现,证券时报网
2475,2020-06-01,机构扎堆调研 中科创达明确国内没有竞争对手,巨丰财经
2476,2020-06-01,6月观点 | 抱团“真香”之后？,一计之长
2477,2020-06-01,【粤开策略】2020年6月十大金股及市场展望,微信
2478,2020-06-01,【平安策略月报】市场改革抬升流动性溢价（兼论科创板交易制度改革）——2020年6月策略月报,策略评论
2479,2020-05-31,5月机构调研路径曝光：18批次机构轮番调研海鸥住工暴涨7成 444家机构抱团考察德赛西威,21世纪经济报道
2480,2020-05-31,石基信息：商誉减值风险隐现 资产异常,证券市场周刊
2481,2020-05-30,中望公司澄清媒体报道：代码原创度超97% 技术合作情况招股书已有披露,中国网
2482,2020-05-30,5G云计算芯片迎来更佳买入期,金融投资报
2483,2020-05-29,门槛被踏破！200多家机构涌入3家公司，这些个股值得关注,中国财富网
2484,2020-05-29,【东吴计算机周报】: 农行招标凸显产业对鲲鹏生态继续乐观，新三板转板机制带动证券IT增量,吴声计事
2485,2020-05-28,40家公司获海外机构调研 来伊份最受关注,证券时报网
2486,2020-05-28,广联达(002410.SZ)：控股股东质押300万股,格隆汇
2487,2020-05-27,近三月75股获逾百家机构调研,大众证券报
2488,2020-05-27,华安证券：新基建政策驱动 工业互联网规模望超万亿,新浪
2489,2020-05-27,史上首次！外资爆买三只A股，深交所紧急预警，还有哪些股可能被盯上？（附名单）,21世纪经济报道
2490,2020-05-27,腾讯5000亿元加码新基建 六股腾飞在即掘金良机,证券时报
2491,2020-05-27,深交所连预警：3股将被外资买爆 为何钟爱中国资产？,券商中国
2492,2020-05-27,财信证券晨会20200527：股指单边上行，深成指表现强势,微信
2493,2020-05-26,【计算机】市场持续回调，网安行业再迎利好——计算机行业周报——看好(联系人：徐中华、张源),渤海证券研究
2494,2020-05-26,【天风通信&机械】威胜信息深度报告：智慧公用事业独角兽，逐鹿万物互联大时代,海陆清风
2495,2020-05-25,194家机构组团调研新产业,财富动力网
2496,2020-05-25,计算机行业周报：为何拉锯调整？ALPHA机会更大！,新浪
2497,2020-05-24,罕见，这只次新股上市仅9天，近200家机构组团调研，公司透露重磅信息,e公司
2498,2020-05-23,一个不起眼，却蕴含机会的ETF,Wind
2499,2020-05-23,云计算|阿里云引领IaaS繁荣，SaaS龙头花落谁家？【华西计算机 刘泽晶团队】,科技晶选
2500,2020-05-22,【东兴计算机｜三六零(601360)】：政企安全、城市安全将成新的增长极,王者计算机
2501,2020-05-22,巨丰数据赢 | 百亿级私募调研跟踪 十大个股遭批量机构“摸底”（附股）,巨丰财经
2502,2020-05-22,23家公司获20家以上机构扎堆调研 南极电商最受关注,证券时报网
2503,2020-05-22,86家公司获机构调研（附名单）,证券时报网
2504,2020-05-22,到2022年，一批估值百亿美元的数字贸易龙头企业会在这里扎堆,上观
2505,2020-05-20,【东兴计算机】易华录（300212）：现金流首度转正，以数据湖为核心开拓业务布局,王者计算机
2506,2020-05-20,“数字建筑”佼佼者拟上科创板一半利润靠税收优惠,科创板日报
2507,2020-05-20,建筑数字化！法大大与广联达签署战略合作协议,北国网
2508,2020-05-20,最新机构调研路线图曝光！这些热门个股成“香饽饽”,中新经纬
2509,2020-05-20,18家公司获20家以上机构扎堆调研 南极电商最受关注,证券时报网
2510,2020-05-20,87家公司获机构调研（附名单）,证券时报网
2511,2020-05-20,41股获券商买入评级，日月股份目标涨幅达59.82%,Wind
2512,2020-05-19,美对华为管制升级 机构：建议继续关注计算机板块,中国财富网
2513,2020-05-19,百度CIO李莹升为集团副总裁：是在百度成长起来的领军人物,澎湃新闻
2514,2020-05-19,工具型软件行业深度报告：价值从何处来 转型该何处去,新浪
2515,2020-05-19,信息技术行业-追本溯源之：会计准则变更对计算机行业影响,新浪
2516,2020-05-19,【计算机】市场小幅调整，关注信创板块——计算机行业周报——看好(联系人：徐中华、张源),渤海证券研究
2517,2020-05-18,41股今日获机构买入评级 9股上涨空间超20%,证券时报网
2518,2020-05-18,新华500指数（989001）18日收盘涨0.18%,新华网
2519,2020-05-18,广联达：产品涉及数字造价、数字施工等多个业务板块,Wind
2520,2020-05-18,中国联通宣布迈入三千兆时代！5G建设加速进行时,格隆汇
2521,2020-05-17,电信日5G新生活沙龙：业界纵论10大领域赋能逻辑,每日经济新闻
2522,2020-05-17,广联达“八三”战略已定征程再启 建筑业数字化引擎瞄准下一个十年,每日经济新闻
2523,2020-05-17,世界电信日5G新生活沙龙启航 纵论10大领域5G时代赋能逻辑,每日经济新闻
2524,2020-05-17,广联达提出“八三”规划：将成为全球数字建筑平台服务商的领导者,证券日报
2525,2020-05-17,广联达研发总监鲍松：建筑行业数字化转型迫在眉睫，5G时代让建造更数字,每日经济新闻
2526,2020-05-16,广联达：“八三”规划将成为全球数字建筑平台服务商的领导者,中证网
2527,2020-05-15,广联达召开2020投资者大会：“八三”期间将实现“3+X”业务目标,证券时报网
2528,2020-05-15,最新公告透露利好 13只个股有望爆发（05.15）,中金在线
2529,2020-05-14,5月15日十大利好公告：恒瑞医药获临床试验通知书,金融界
2530,2020-05-14,A股头条之上市公司（5.15）,金融界
2531,2020-05-14,广联达(002410.SZ)非公开发行股票申请获中国证监会核准,格隆汇
2532,2020-05-14,广联达(002410.SZ)：控股股东刁志中解除质押443.5168万股,格隆汇
2533,2020-05-14,这才是“纯正”的科创板基金！首批4家基金公司上报申请，主投科创板标的,中证报
2534,2020-05-14,首批4只科创板基金上报 科创主题基金整体表现不俗,中证报
2535,2020-05-13,【计算机】电信集采H系列服务器，信创迎来新进展——计算机行业周报——看好(联系人：徐中华、张源),渤海证券研究
2536,2020-05-12,【太平洋计算机王文龙团队】计算机行业：2019年成长稳健，运营得当；2020Q1疫情影响显著,蚊子搞科研
2537,2020-05-12,千亿级大白马被买爆，A股核心资产股价创新高,中国基金报
2538,2020-05-11,百度新进两位副总裁 拟增强B端市场竞争力,证券日报
2539,2020-05-11,深港通十大成交活跃股排名（5月11日）,Wind
2540,2020-05-11,调整KPI后，百度云迎两位新副总裁，挑起扭亏重担,时代在线
2541,2020-05-11,百度高层频繁变动，智能云宣布新入职两位副总裁 董监高成员变化,网易
2542,2020-05-11,独家｜百度智能云新入职两位副总裁 增强to B竞争力,新浪
2543,2020-05-10,“中小成长50强”榜单来了！,中国基金报
2544,2020-05-09,“中小成长50强”发布：谁是下一个立讯精密？这份名单请收好,每经网
2545,2020-05-09,"""中小成长50强""重磅发布 最牛投资者重金持股近千亿",新浪
2546,2020-05-09,外资扫货大幕拉开 风格转换大机遇来了,投资快报
2547,2020-05-08,重磅！QFII和RQFII不再限购，“抬轿子”的来了？,格隆汇
2548,2020-05-08,震撼！机构抱团拉出地天板……,上证报
2549,2020-05-08,机构也开始忙碌起来 抱团拉出地天板,上证报
2550,2020-05-08,独家|百度CTO王海峰内部讲话揭秘智能云全新战略打法,网易
2551,2020-05-08,QFII投资风格大复盘，高比例持股组合年均复合收益率近20%！目前重仓这些股,证券时报网
2552,2020-05-08,"中关村软件园开放七大服务平台 启动""Z-ONE护航计划""",新浪
2553,2020-05-07,A股“嗨了”！央行放出超级大招！,中国基金报
2554,2020-05-07,粤开证券5月荐股名单出炉（共10只）,新浪
2555,2020-05-07,国元证券：4月金股组合盈利6.1% 5月荐股名单出炉,新浪
2556,2020-05-07,5月7日券商晨会研报汇编,证券日报
2557,2020-05-07,4月险资调研上百家A股公司,中证报
2558,2020-05-06,险资口味有变！调研行踪显示，这只创业板白马股最热门，医药医疗股关注度提升,中证报
2559,2020-05-06,海康威视、分众传媒、广联达等公司被多家机构扎堆调研,证券时报网
2560,2020-05-06,节后如何布局？海外机构四月密集调研92股 这5只白马股被北上资金买买买,证券日报
2561,2020-05-05,【国盛计算机】中国版REITs对计算机影响机制及力度测算,国盛计算机畅想
2562,2020-05-04,【年报及一季报总结】云计算高景气持续，安可和信安景气抬升,计算机国平
2563,2020-05-03,最前线 | 百度云空降两位新高管，CTO王海峰公布最新战略,36氪
2564,2020-05-01,最新！机构重点关注的科技股出炉，北上资金最爱这些股,证券时报
2565,2020-04-30,私募调研哪家强？最勤奋的百亿私募是这家，关注62只个股,搜狐
2566,2020-04-30,【民生计算机|周观点】云计算景气度仍持续向上,MS计算机
2567,2020-04-30,成立以来累计亏损超5000万 南华基金何时脱困？,投资时报
2568,2020-04-30,成立以来累计亏损超5000万！多只产品量小绩差 南华基金何时脱困？,投资时报
2569,2020-04-30,39家公司获20家以上机构扎堆调研 海康威视最受关注,证券时报网
2570,2020-04-30,69家公司获机构调研（附名单）,证券时报
2571,2020-04-30,QFII一季度青睐白马股，重仓银行医药电子,Wind
2572,2020-04-30,QFII青睐白马股重仓银行医药电子,证券时报
2573,2020-04-29,巨·研究|三条主线关注计算机行业 5股基金增仓比例超五成,巨丰财经
2574,2020-04-29,61家公司获机构调研（附名单）,证券时报
2575,2020-04-29,市场深V迎创业板改革，未来资金会流向大科技龙头,红周刊
2576,2020-04-28,新科技，新时代,量化藏经阁
2577,2020-04-28,科创主题基金重仓106只个股 14只产品“押宝”立讯精密,证券日报
2578,2020-04-28,24只科创主题基金一季报亮相重仓106只个股市值超90亿元,和讯
2579,2020-04-28,24只科创主题基金一季报亮相，重仓百只个股市值超90亿元,Wind
2580,2020-04-27,【东吴计算机周报】: 年报分析：信息安全、互联网医疗、云计算营收增速领跑,吴声计事
2581,2020-04-27,第三批区块链备案项目亮相 招行股权激励管理系统引人关注,上证报
2582,2020-04-27,第三批区块链备案项目中招行股权激励管理系统引关注,上证报
2583,2020-04-27,【兴证计算机】创业板注册制启航，金融科技受益几何？,兴业计算机团队
2584,2020-04-27,社保基金抱团长春高新 QFII青睐白马股,中国基金报
2585,2020-04-26,六大机构最新重仓股大曝光！国家队加仓医药消费，险资压中热门股，百亿私募却在干小票,中国基金报
2586,2020-04-26,机构最新密集调研名单曝光 “大而强”“小而优”全覆盖（附表）,红周刊
2587,2020-04-26,一季度基金重点加仓新基建股,财富动力网
2588,2020-04-25,别再紧盯医药食品饮料了！这个板块的多家公司股价正迭创新高,每日经济新闻
2589,2020-04-24,机构强烈推荐32只个股-更新中,中财网
2590,2020-04-24,广联达(002410)：云业务平滑波动周期，竞争力不断夯实,中信建投证券研究
2591,2020-04-24,说干就干，一季度基金重点加仓新基建个股名单来了！,证券时报网
2592,2020-04-23,【兴证计算机】2020Q1持仓分析：超配1.94%，环比提升1.88pct,兴业计算机团队
2593,2020-04-23,广联达：部分董事、高级管理人员拟合计减持不超过0.1278%股份 减持股份,Wind
2594,2020-04-23,【安信计算机】计算机持仓大幅增长，方向不变标的切换,计算机司令部
2595,2020-04-23,广联达(002410.SZ)：一季度净利润降4.32%至5297.19万元 盈利能力下降,格隆汇
2596,2020-04-23,广联达：一季度净利润同比减少4.32% 盈利能力下降,Wind
2597,2020-04-23,科创板主题基金今年来收益如何？7只基金收益破10%,资本邦
2598,2020-04-22,冯柳等明星私募一季度持仓独家曝光 这几家公司被新进和增持,红周刊
2599,2020-04-22,嘉实泰和一季度股票仓位略有下降,中证网
2600,2020-04-22,嘉实新兴产业一季度规模环比增长超一倍,中证网
2601,2020-04-22,花旗：发改委定义新基建 将利好腾讯等股份,格隆汇
2602,2020-04-21,新基建 新机遇：北京智慧停车产业的变局与火种,经济网
2603,2020-04-21,数据中心领衔 新基建概念股表现活跃,中投网
2604,2020-04-21,发改委首次明确新基建范围 七大领域迎机遇（附核心标的）,证券时报网
2605,2020-04-20,中信建投证券：三月医疗IT订单增速回升 疫情期间订单金额略有下降,金融界
2606,2020-04-20,次新股业绩“变脸秀” 盈利能力下降,国际金融报
2607,2020-04-19,151只个股被QFII“看中”，这些个股股价翻倍！4只医药股、3只交通运输股已被连续持有3年,中国财富网
2608,2020-04-17,A股头条之上市公司（4.18）,金融界
2609,2020-04-17,东吴计算机点评【广联达：疫情影响有限，云转型稳健推进】,吴声计事
2610,2020-04-17,广联达(002410.SZ)：定增申请获证监会审核通过,格隆汇
2611,2020-04-17,《云计算半月刊》第五十一期（2020.4.30）,计算机司令部
2612,2020-04-17,狠砸200亿，北向资金连续3天抄底，外资正在大举买入哪些股？,证券时报网
2613,2020-04-16,次新股成绩秀：18只股票符合巴菲特选股标准！值得抄底？看完文章再决定,腾讯网
2614,2020-04-16,外资活跃度提高，21股获QFII北上资金同时加仓,证券时报网
2615,2020-04-16,前方高能，4月份北向资金净流入达334.28亿元！持仓个股曝光（名单）,每日经济新闻
2616,2020-04-15,【国盛计算机】一季度订单知多少,国盛计算机畅想
2617,2020-04-15,这些股票获QFII和北上资金同时加仓，筹码最多被外资锁定24%，仅3股一季度业绩大增,证券时报
2618,2020-04-15,广联达软件加密锁在淘宝被卖 半年销售163万多人获刑 其他违规处罚,新浪
2619,2020-04-15,【民生计算机】深信服19年年报点评：业绩增长亮眼，定增募资巩固产品优势,MS计算机
2620,2020-04-14,重启抢筹模式！北向资金净流入超150亿元,中投网
2621,2020-04-14,半日近50亿，北向资金归队重启买买买，全年净流入有望接近3000亿,证券时报网
2622,2020-04-14,QFII持仓近450亿元 新进44股,中证网
2623,2020-04-14,广联达科技股份有限公司 关于非公开发行股票发审委会议准备工作告知函回复的公告,中证报
2624,2020-04-13,布局“云经济”，有一个不错的交易工具！,养基司令
2625,2020-04-12,发改委推“上云用数赋智”， 关注云计算、数字基建和数字生态新模式｜英博前瞻,英博前瞻
2626,2020-04-12,【华泰金工林晓明团队】上周QDII基金指数涨幅较大——FOF投资周报20200412,华泰金融工程
2627,2020-04-12,【计算机板块2020年可能发生的小周期】太平洋计算机王文龙,蚊子搞科研
2628,2020-04-11,【“上云用数赋智”行动方案发布，推荐关注云计算、医疗IT领域投资机会】天风计算机团队,兵哥看IT
2629,2020-04-11,部分资金持股路线图曝光 机构建议逢低布局分批配置,中证报
2630,2020-04-10,重磅！2020软硬件细分领域龙头盘点,凤凰网
2631,2020-04-10,私募“云调研”热情升温 迈瑞医疗获374次居首,证券日报
2632,2020-04-09,最强券商调研图谱：年内超4000次拜访扎堆中小创 强关注电子行业,新浪
2633,2020-04-08,券商“扎堆”调研这些上市公司！提问聚焦新基建、疫情影响,中证报
2634,2020-04-08,[路演]广联达：BIM+GIS+IOT在数字园区和数字城市业务方面有相关应用,全景网
2635,2020-04-08,[路演]广联达：在虚拟现实技术方面已经开展多方面布局,全景网
2636,2020-04-08,【兴业策略|行业比较】“大创新50/100”组合重磅调整（王德伦、张兆）,XYSTRATEGY
2637,2020-04-08,12股连续2个季度获QFII加仓，其中海螺水泥等4股持仓市值超10亿,第一财经
2638,2020-04-08,美国确诊超40万！机构大举杀入两板块，12股获QFII连续2季度加仓,证券时报网
2639,2020-04-07,国元证券：3月金股组合亏损14.33% 4月荐股名单出炉 亏损,新浪
2640,2020-04-05,【华泰金工林晓明团队】市场小幅震荡，石油 QDII 溢价明显——华泰金工 FOF 投资周报 20200405,华泰金融工程
2641,2020-04-05,科技股景气能否延续？哪些细分领域机会更大？金牛基金经理这样看,中证报
2642,2020-04-04,今年第三次降准：市场会如何走？,Wind
2643,2020-04-03,二季度如何布局？机构持续看好科技、医药,Wind
2644,2020-04-03,【兴证计算机】央行数字货币将如何影响银行IT板块？,兴业计算机团队
2645,2020-04-03,机构扎堆看好反弹先锋科技股,财富动力网
2646,2020-04-03,反弹先锋来了？这份科技股名单请收藏,中国基金报
2647,2020-04-03,“云调研”+频举牌险资解码选股路线图,中证报
2648,2020-04-02,谁是反弹先锋？这份科技股名单请收藏 两年净利增长预计均超30%,金融界
2649,2020-04-02,智慧城市板块走强延华智能等多股涨停,格隆汇
2650,2020-04-02,【中原计算机唐月】计算机行业月报*短期风险犹存,中原证券研究所
2651,2020-04-02,『早安，新时代！』晨会早读2020/04/02:今日关注：拓斯达、金风科技,新时代证券研究
2652,2020-04-02,券商发布四月金股组合,大众证券报
2653,2020-04-01,3月“云调研”234次 科技领域中小创仍是关注重点,第一财经
2654,2020-04-01,一季度险资举牌超去年全年：3月“云调研”234次 这些公司被盯上,中证报
2655,2020-03-31,弱势下机构扎堆调研 更有券商预期20股涨幅超50%,新浪
2656,2020-03-31,云南白药：股权激励落地 深挖既定赛道细分领域成长机会,中国财富网
2657,2020-03-30,精瑞人居：数字化正在从社区的附加项转变为必选项,和讯
2658,2020-03-30,援建抗疫医院 广联达收到来自建企暖心锦旗,凤凰网
2659,2020-03-30,券商评级：三大指数下跌 九股迎来掘金良机,证券之星
2660,2020-03-29,东吴计算机点评【广联达：云转型深入推进，施工业务全力突破】,吴声计事
2661,2020-03-29,【民生计算机】用友网络（600588）19年年报点评：云服务翻倍增长，3.0战略效果持续,MS计算机
2662,2020-03-29,申万宏源一周晨会纪要合集（2020/03/24-2020/03/27）,申万宏源研究
2663,2020-03-29,【华泰金工林晓明团队】海外市场反弹，QDII 基金涨幅较大 —— 华泰金工 FOF 投资周报 20200329,华泰金融工程
2664,2020-03-27,广联达云转型加速 新老基建叠加受益,证券日报
2665,2020-03-27,84股今日获机构买入评级,证券时报网
2666,2020-03-27,“抄外资作业”啦！QFII重仓股名单揭晓（附图）,证券时报
2667,2020-03-27,『早安，新时代！』晨会早读2020/03/27:今日关注：视觉中国、创业慧康、广联达,新时代证券研究
2668,2020-03-27,【新时代计算机 田杰华团队】广联达：营收增速符合预期，云转型成效显著,新时代证券研究
2669,2020-03-27,海天味业市值超3000亿 中海油服净利润大增34倍,金融界
2670,2020-03-27,周五机构一致看好的七大金股（03.27）,中金在线
2671,2020-03-27,QFII最新持仓曝光：持有43股新进16股,上证报
2672,2020-03-26,鹰眼预警:广联达营收净利变动背离 应收增速快于营收,新浪
2673,2020-03-26,“聪明钱”QFII最新看好28家公司 偏爱科技和细分龙头,大众证券报
2674,2020-03-26,广联达(002410.SZ)：控股股东刁志中质押1122.93万股,格隆汇
2675,2020-03-26,机构强烈推荐27只个股-更新中,中财网
2676,2020-03-26,85股今日获机构买入评级31股上涨空间超20%,证券时报网
2677,2020-03-26,巨·个股 | 中国制造2025必经之路！工业软件国产化迫在眉睫 产业链龙头标的出炉,巨丰财经
2678,2020-03-26,【民生计算机】广联达19年年报点评：造价业务云转型稳步推进，施工业务收入加速增长,MS计算机
2679,2020-03-26,增收反跌利！广联达2019盈利跌46.46%至2.35亿 盈利能力下降,资本邦
2680,2020-03-25,【兴证计算机】中国基础软件产业投资全景图,兴业计算机团队
2681,2020-03-25,广联达：关于回购注销部分限制性股票的公告,证券之星
2682,2020-03-25,雷军又火了！每5个中国人，就有1个是WPS用户，市值飙升至1087亿,全景网
2683,2020-03-25,广联达(002410.SZ)拟新增经营范围数字内容服务、会议服务、承办展览活动等,格隆汇
2684,2020-03-25,广联达(002410.SZ)：拟申请总额不超9亿元的综合授信额度,格隆汇
2685,2020-03-25,广联达(002410.SZ)2019年度净利润降46.46%至2.35亿元拟10派1元 盈利能力下降,格隆汇
2686,2020-03-25,广联达：2019年净利润同比减少46.46% 盈利能力下降,Wind
2687,2020-03-25,加快智能化升级缓解建筑工地复工压力,中国水泥网
2688,2020-03-25,【民生计算机】金山办公19年年报点评：业绩增长亮眼，订阅与授权业务大有可为,MS计算机
2689,2020-03-23,企业上云已成大势所趋，关注云计算成长加速期这四类标的丨牛熊眼,第一财经
2690,2020-03-23,申万宏源：计算机行业一二季报到底多少增长？,新浪
2691,2020-03-23,【华泰金工林晓明团队】石油ETP大多限购且出现大幅溢价——华泰金工FOF投资周报2020322,华泰金融工程
2692,2020-03-22,264家公司下周“递交”年报成绩单 大单资金抢先建仓17只富时罗素概念股,证券日报
2693,2020-03-20,广联达(002410.SZ)股东涂建华减持完毕累计减持1040万股 减持股份,格隆汇
2694,2020-03-20,广联达：涂建华减持0.92%公司股份 减持股份,Wind
2695,2020-03-20,早盘复盘：港A两市主要指数高开低走，白酒股集体回暖新基建依旧强势,格隆汇
2696,2020-03-20,【东吴计算机周报】: 系统盘点麒麟软件和统信软件的经营情况,吴声计事
2697,2020-03-18,129份研报逆市力荐信息技术业 10只潜力股获机构扎堆点赞,证券日报
2698,2020-03-16,【华泰金工林晓明团队】上周股票型混合型基金录得负收益 ——华泰金工FOF投资周报2020315,华泰金融工程
2699,2020-03-15,智库|抗疫与生产并重建筑企业求解复工复产难题,搜狐
2700,2020-03-13,计算机板块波动加剧 六股腾飞在即掘金良机,证券时报网
2701,2020-03-13,财信证券：计算机板块波动加剧，业绩验证需求提升,证券时报网
2702,2020-03-12,A股共发生106宗大宗交易成交25.47亿元（3月12日）,Wind
2703,2020-03-12,"广联达现1笔大宗交易 共成交7,961.00万元",新浪
2704,2020-03-12,广联达今日大宗交易成交190万股，成交价41.9元溢价0.0%,Wind
2705,2020-03-11,46股获券商买入评级，长安汽车目标涨幅达67.08%,Wind
2706,2020-03-10,54股今日获机构买入评级11股上涨空间超20%,证券时报网
2707,2020-03-10,2019年SaaS企业TOP100,硅谷动力
2708,2020-03-10,广联达 | 新老基建叠加，施工业务提速,一计之长
2709,2020-03-10,【东吴计算机周报】：鲲鹏展翅，华为生态伙伴迎来机遇,吴声计事
2710,2020-03-10,【TMT】每日资讯速递20200310：2月国内智能手机出货量同比下降 54.7%,东莞证券研究
2711,2020-03-10,兴业证券：新基建开启创新大时代,金融界
2712,2020-03-10,3月10日沪深两市最新交易提示,金融界
2713,2020-03-09,科技部发函推人工智能试验区建设，领域内受益标的有这些丨牛熊眼,第一财经
2714,2020-03-09,【兴证策略 | 深度专题】新基建开启创新大时代——策略联合七大行业深度研究,XYSTRATEGY
2715,2020-03-07,深股通席位本周龙虎榜净卖出17股,证券时报网
2716,2020-03-07,新基建进入机构抢筹视野 科技和医药被兑现浮赢,大众证券报
2717,2020-03-07,机构暂歇5G物联 回避次新炒作,南方财经网
2718,2020-03-06,【华泰金工林晓明团队】上周各类型基金指数均收涨——华泰金工 FOF 投资周报20200308,华泰金融工程
2719,2020-03-06,粤开策略 | 资金面：新基建VS老基建，资金如何抉择-0305,微信
2720,2020-03-05,3月5日A股龙虎榜揭秘，机构抛售17股,Wind
2721,2020-03-05,这些股被盯上 机构预测未来上涨空间超20%（附股）,新浪
2722,2020-03-05,A股龙虎榜揭秘机构最青睐9股,证券时报
2723,2020-03-05,营业部最青睐个股曝光8股净买入超亿元,证券时报网
2724,2020-03-05,电子信息板块总体上涨0.22%，华金资本领涨,搜狐
2725,2020-03-05,107股今日获机构买入评级,证券时报网
2726,2020-03-05,广联达龙虎榜数据（3月5日）,Wind
2727,2020-03-05,"广联达战""疫""：多项举措助力打赢抗疫攻坚战",砍柴网
2728,2020-03-05,冲锋战疫一线 广联达科技战疫屡创奇迹,凤凰网
2729,2020-03-05,主动出击 直面复工复产“供采难”,住建部
2730,2020-03-05,83股获券商买入评级 姚记科技目标涨幅达99.57%,Wind
2731,2020-03-04,富时罗素宣布对富时中国A50指数等多个指数季度审核变更,Wind
2732,2020-03-04,91股今日获机构买入评级,证券时报网
2733,2020-03-04,【兴业策略|行业比较】“核心资产50/100”组合标的调整（王德伦、张兆）,XYSTRATEGY
2734,2020-03-04,巨·个股 | 需求激增暴露行业软肋！云产业投入再加码 核心龙头仍具低吸价值,巨丰财经
2735,2020-03-04,这家珠宝龙头接受59家机构调研：将加强线上销售力度,中国财富网
2736,2020-03-04,２月份QDII整体表现不佳 仅２只涨幅超过10%,中国经济网
2737,2020-03-04,3月3日有73家公司获重要股东增减持，延安必康已被连续减持156次 减持股份,Wind
2738,2020-03-03,市场火热股东惜售 机构通过大宗平台吸筹医药、计算机概念股——2月大宗交易解析,红周刊
2739,2020-03-03,东吴计算机点评【广联达：施工业务加速增长，云业务转型进展顺利】,吴声计事
2740,2020-03-03,计算机行业 | 继续看好科技、新基建带动的行业中期投资机会,格隆汇
2741,2020-03-03,广联达：云化转型顺利 施工业务有望高速成长,东兴证券
2742,2020-03-03,资金追捧16只软件概念股集体涨停 三大细分领域值得关注,证券日报
2743,2020-03-03,周二机构一致看好的七大金股（03.03）,中金在线
2744,2020-03-03,186股获券商买入评级，天康生物目标涨幅达77.28%,Wind
2745,2020-03-02,申万宏源一周晨会纪要合集（2020/03/02-2020/03/06）,申万宏源研究
2746,2020-03-02,114股今日获机构买入评级17股上涨空间超20%,证券时报网
2747,2020-03-02,广联达(002410.SZ)：涂建华累计减持593.6万股持股降至5%以下 减持股份,格隆汇
2748,2020-03-02,广联达：涂建华持股比例降至5%以下,Wind
2749,2020-03-02,【国信港股&海外】金蝶国际(0268.HK)：云原生助力，“苍穹”启航 | 国信港股&海外,学恒的海外观察
2750,2020-03-02,中银国际证券：计算机行业3月卷土重来,金融界
2751,2020-03-02,【东兴计算机】中国SaaS产业的时代变革和投资机遇,东兴研究圈
2752,2020-03-02,用友网络借工业互联网东风大涨 市值突破千亿可持否,投资者网
2753,2020-02-28,广联达：2019年净利润同比减46.75%（业绩快报） 盈利能力下降,Wind
2754,2020-02-28,广联达(002410.SZ)业绩快报：2019年度净利润降46.75%至2.34亿元 盈利能力下降,格隆汇
2755,2020-02-28,134股获杠杆资金大手笔加仓,证券时报网
