,2021-12-31,通策医疗股价半年腰斩 中泰证券国元证券8月份喊买入,中国经济网
875,2021-04-11,【通策医疗|年报季报点评】2021Q1业绩略超预期，蒲公英计划持续推进【安信医药马帅团队】,医药马帅团队
876,2021-04-11,通策医疗(600763)：2021Q1业绩略超预期 蒲公英计划持续推进,新浪
877,2021-04-11,“化工茅”获近10亿资金增持，一季报曝光基金大佬们最新持仓股,证券时报网
878,2021-04-11,“牙茅”怎么了？“医药女神”葛兰、高毅在加仓，张坤、归凯却减持 减持股份,证券时报
879,2021-04-11,陆家嘴财经早餐2021年4月11日星期日,Wind
880,2021-04-11,“化工茅”获近10亿资金增持，一季报曝光大佬们最新持仓股！下周解禁股名单来了，多只热门概念股在列 解禁,搜狐
881,2021-04-10,重磅！公募大佬最新持仓变动曝光,Wind
882,2021-04-10,拆财报丨看牙越来越贵一点没错！通策医疗口腔业务客单价新高，下半年继续扩张,21世纪经济报道
883,2021-04-09,大捷！通策医疗：2021年第一季度净利润约1.64亿元，同比增加962.95%,每日经济新闻
884,2021-04-09,扭亏为盈 通策医疗(600763.SH)一季度归母净利达1.64亿元,智通财经
885,2021-04-09,通策医疗(600763.SH)年度归母净利同比增长5.69%至4.93亿元,智通财经
886,2021-04-09,通策医疗(600763.SH)：2020年度净利升5.69%至4.93亿元,格隆汇
887,2021-04-09,通策医疗(600763.SH)：2021年一季度扭亏为盈 净利润1.64亿元,格隆汇
888,2021-04-09,通策医疗：一季度净利润1.64亿元，扭亏为盈,Wind
889,2021-04-09,通策医疗：2020年全年净利润为4.93亿元 同比增长5.69%,新浪
890,2021-04-09,通策医疗：一季度净利润1.64亿元扭亏为盈,格隆汇
891,2021-04-09,通策医疗：2020年净利润同比增长5.69%,Wind
892,2021-04-09,医药行业深度分析：掘金口腔医疗消费黄金赛道 隐形正畸方兴未艾,新浪
893,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
894,2021-04-08,从“贵”到“更贵”，三年十倍的通策医疗究竟有何逻辑？,云掌财经
895,2021-04-08,金融圈1天2起爆炸性大瓜：中金总监600万年薪没了，500万基金经理也卷入绯闻！ 安全事故,21金融圈
896,2021-04-08,A股小幅低开！创业板跌0.5%，煤炭、钢铁股走高,和讯
897,2021-04-08,医药生物行业：医疗体系运行常态化 看好一季度业绩表现,广发证券
898,2021-04-08,【国金晨讯】上调太阳纸业盈利预测；通策医疗深度：龙头地位稳固，省内市场下沉可期,国金证券研究所
899,2021-04-07,浙江区域股市周报：21家机构调研亿帆医药 通策医疗进入浙江股市值前10强,每日经济新闻
900,2021-04-07,国金证券给予通策医疗增持评级：口腔龙头地位稳固，省内市场下沉可期，目标价311.4元,每日经济新闻
901,2021-04-07,通策医疗(600763)深度研究：口腔龙头地位稳固 省内市场下沉可期,国金证券股份有限公司
902,2021-04-07,国金证券：通策医疗(600763.SH)口腔龙头地位稳固，目标价311.4元，给予“增持”评级,智通财经
903,2021-04-07,医疗行业基本面确认，推荐三条投资主线,中信建投
904,2021-04-06,医药行业2021年4月投资月报：把握一季报最佳反弹窗口期 加配低估值且高增长标的,西南证券
905,2021-04-06,医药行业周报：当前是反弹最佳窗口期 加配低估值高增长标的,西南证券
906,2021-04-06,2021年医药行业4月策略报告：Q1业绩高成长是股价核心催化剂,新浪
907,2021-04-05,一文看懂为何近期医疗服务、医美标的股价反弹涨幅较大,21世纪经济报道
908,2021-04-04,市场风向突变得太快了,云掌财经
909,2021-04-03,"股市""快熊""已结束？机构：短期调整已释放大部分风险",Wind
910,2021-04-02,医药与健康护理行业月报：年报相继披露 关注高增长公司及A+H股医药投资机会,新浪
911,2021-04-01,平安证券--生物医药行业动态跟踪报告：2021一季度业绩前瞻，行业整体表现优异，核心板块快速增长【行业研究】,金融界股吧
912,2021-03-31,张坤：评价一个投资人至少需要10年的维度,Wind
913,2021-03-31,3月31日晚间重要行业研究汇总(附股),中金在线
914,2021-03-31,掘金口腔医疗消费黄金赛道，隐形正畸方兴未艾【安信医药马帅团队】,医药马帅团队
915,2021-03-30,“公募一哥”张坤隐形重仓股出炉，称对资本市场长期前景乐观,澎湃新闻
916,2021-03-30,医疗股获资金热捧，机构看好的个股名单来了,第一财经
917,2021-03-30,归凯管理的嘉实新兴产业股票基金持仓进一步集中,Wind
918,2021-03-29,医药这4个细分领域值得关注,制药网
919,2021-03-28,中信证券：医药外包、医疗服务、IVD及医疗信息化公司整体同比增速较快,第一财经
920,2021-03-28,一季报前瞻：整体乐观，优势赛道表现突出,中信建投证券研究
921,2021-03-28,生物医药行业周报：加快培育新型消费实施方案公布 互联网医疗发展可期,新浪
922,2021-03-26,浙江区域股市周报：新增3家上市公司49家机构调研世纪华通,每日经济新闻
923,2021-03-26,通策医疗(600763.SH)选举吕建明为董事长,智通财经
924,2021-03-26,回撤20%，500亿顶流基金经理道歉！,Wind
925,2021-03-25,外资逆势加仓，A股情绪转暖！一季报披露时间表出炉,Wind
926,2021-03-25,通策医疗现1笔大宗交易 共成交242.40万元,新浪
927,2021-03-25,上交所一季报预约披露时间表出炉，高能环境率先披露,Wind
928,2021-03-25,茅指数涨超1%，恒立液压、长春高新、通策医疗、金山办公、药明康德领涨,Wind
929,2021-03-25,机构抱团股午后持续回暖，恒立液压跳涨至6%,Wind
930,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
931,2021-03-23,医药与健康护理行业周报：估值风险有效控制 关注业绩高增长公司,新浪
932,2021-03-23,“小鬼当家”，A股市场风格骤变,Wind
933,2021-03-22,机构抱团股再度走弱，安井食品跌超5%,Wind
934,2021-03-21,生物医药行业周报：新冠疫苗相继获批上市 密切关注一季度业绩,新浪
935,2021-03-19,行业观 | 新年以来多只“药茅”股价跌幅超30% 业内人士：医药行业近期走势与长期基本面关系不大,财经网
936,2021-03-19,通策医疗：通策医生集团名为存济医生集团，目前以委员会的方式组织运行,每日经济新闻
937,2021-03-19,A股周线4连跌，48只大白马股回撤超30%,Wind
938,2021-03-19,医药生物行业：业绩弹性逐步释放 关注一季报高增长品种,新浪
939,2021-03-19,当基神踩雷“牙茅”：通策医疗跳水，多只明星基金走下神坛 重仓股票异动,华夏时报
940,2021-03-19,兴全基金29只主动权益产品春节后全下跌 3只跌超17%,中国经济网
941,2021-03-18,市场风向要变？机构调研公司九成市值低于500亿元,Wind
942,2021-03-18,“茅”股连续反弹，最新估值高不高？5张图看清！,Wind
943,2021-03-17,0到1000亿市值，他如何打造「口腔医疗帝国」,药智网
944,2021-03-17,A股风格转换，机构资金围猎中小市值股,Wind
945,2021-03-16,医药生物行业周报：CXO、医疗服务、生物制品等板块预计Q1高增长,新浪
946,2021-03-16,板块牛年下跌31%，明星股回撤逾40%！基金经理：有望率先企稳,Wind
947,2021-03-16,A股机构抱团股遭重挫，这几个板块疯涨,Wind
948,2021-03-15,各种“茅”集体重挫！外资仍在扫货，资金流向低估值赛道？,Wind
949,2021-03-15,收评 | 基金重仓股重挫创业板跌4% 如何应对,第一财经
950,2021-03-15,A股收盘综述：上证指数跌0.96%守住3400关口，创业板指再挫逾4%,Wind
951,2021-03-15,快讯：医疗器械服务板块表现低迷 通策医疗封跌停,新浪
952,2021-03-15,生物医药行业周报：医药估值溢价率低于历史均值 短期建议关注业绩确定性强的标的,新浪
953,2021-03-15,茅指数跌近5%，金山办公下挫逾10%、通策医疗接近跌停,Wind
954,2021-03-15,这个板块突然集体起飞！为什么？能追吗？,Wind
955,2021-03-15,高价股指数跌超3%，英科医疗、吉比特、爱美客、固德威、通策医疗均跌9%左右,Wind
956,2021-03-15,机构抱团股持续走弱，Wind茅指数跌超3%,Wind
957,2021-03-15,放过张坤、刘彦春吧,虎嗅APP
958,2021-03-14,通策医疗(600763)厚积薄发的口腔龙头：“品牌扩张+人才集聚”加速发展,新浪
959,2021-03-12,90后基金经理梦圆净值回撤20% 是上任“重仓”抱团股的“锅”？,新浪
960,2021-03-12,90后基金经理梦圆12个交易日净值回撤20%，背的是上任“重仓”抱团股的“锅”？,环球老虎财经
961,2021-03-11,北大毕业：90后美女基金经理 10天亏20%有点冤,新浪
962,2021-03-11,今天回血，已经企稳了吗？,云掌财经
963,2021-03-11,绝境中A股彻底爆发！节后最惨5股先后逆袭，上涨家数创历史,财联社
964,2021-03-11,通策医疗：下沙分院、临平分院、和睦分院已经营业,Wind
965,2021-03-11,稀土重磅，巨头刚刚提价30%！抄底资金爆买145亿,Wind
966,2021-03-11,融资客青睐9股，中原高速买入占比高达45.62%,Wind
967,2021-03-11,机构看中这些股 近五日大手笔净买入,证券之星
968,2021-03-11,每日理财观察：中国2月重磅数据来袭,Wind
969,2021-03-11,抱团股企稳？3000股下跌茅指数却大涨近3%,Wind
970,2021-03-11,【东吴七点半】沪综指缩量微跌 抱团股适当回暖,东吴财经通
971,2021-03-11,A股成交额骤降，多空双方趋谨慎,Wind
972,2021-03-10,-47%，你要的是相对收益还是绝对收益？,云掌财经
973,2021-03-10,飙涨！股市又“醉”了，解酒药去哪找？,信达期货
974,2021-03-10,券商首席：今天早上买了点基金！机构开始乐观了？,Wind
975,2021-03-10,白酒、医药多股涨停：财富制造机重启？这些个股已处加仓临界点？,红周刊
976,2021-03-10,通策医疗今日放量涨停 此前连续下跌,金融界
977,2021-03-10,A股核心资产大涨，两市成交却大幅萎缩，什么情况？,Wind
978,2021-03-10,终于反攻！A股核心资产大涨归来，北向资金也在涌入！两市成交却大幅萎缩,券商中国
979,2021-03-10,沸腾！白马股大反攻：茅台大涨白酒飙升！市场为啥又“醉”了？,央视财经
980,2021-03-10,通策医疗(600763.SH)选举周辉为职工代表监事,智通财经
981,2021-03-10,抱团股卷土重来？3000股下跌茅指数却大涨近3%,Wind
982,2021-03-10,A股收盘综述：上证指数缩量再跌0.05%，机构抱团股大面积反弹,Wind
983,2021-03-10,西南证券--医药行业2021年3月投资月报：核心资产大跌之后性价比凸显，建议关注PEG投资机会【行业研究】,金融界股吧
984,2021-03-10,白马龙头沸腾！最惨“茅”涨停，创业板一哥大涨近7%，机构忙算账：看清胜率再抄底,中证报
985,2021-03-10,白马股大反攻：茅台大涨白酒飙升，“牙茅”涨停了！,Wind
986,2021-03-10,"突发！白马股大反攻：茅台大涨白酒飙升，被腰斩的""牙茅""涨停了！外资买入，基民们终于等到了",中国基金报
987,2021-03-10,通策医疗(600763.SH)涨停此前回撤47.5%,格隆汇
988,2021-03-10,茅指数维持逾3%升幅，通策医疗、亿纬锂能涨超7%,Wind
989,2021-03-10,对照历史，A股各种“茅”调整到位了吗？,Wind
990,2021-03-10,2021年医药行业3月策略报告：三个策略应对医药板块的波动,新浪
991,2021-03-10,【图说】对照历史，A股各种“茅”调整到位了吗？美股昨夜全线大涨，特斯拉狂拉20%！,证券时报网
992,2021-03-10,白马股急跌后多久能“恢复元气”？,Wind
993,2021-03-09,【华创消费】机会在哪里？食品饮料对话医药健康,华创食饮
994,2021-03-09,大数据显示，只有45%白马股能够再创新高,Wind
995,2021-03-09,A股上演惊天大逆转但结果却让人郁闷 农银汇理被赞像虞书欣的美女基金经理成背锅侠刚上任净值就大跌 净值异常波动,和讯
996,2021-03-09,医药行业周报：逐步布局一季报高增长核心资产,新浪
997,2021-03-09,通策医疗：最近持股5%以上股东持股未发生变动,每日经济新闻
998,2021-03-09,国盛证券--医药生物行业周报：全民免疫迫在眉睫，新冠疫苗的热点问题怎么看【行业研究】,金融界股吧
999,2021-03-09,西南证券--医药行业周报：核心资产性价比在提升，同时关注PEG投资机会【行业研究】,金融界股吧
1000,2021-03-09,各种“茅”被抛弃？机构调研偏好中小盘！这些最受关注,Wind
1001,2021-03-09,全球市场分化，欧洲开始领跑，纳指、沪指跌超2%,Wind
1002,2021-03-09,基金净值暴跌上热搜！来，听听基金经理们安慰的话吧 净值异常波动,每日经济新闻
1003,2021-03-09,全球市场分化，欧洲开始领跑，纳指、沪指跌幅均超2%,Wind
1004,2021-03-09,抱团股大跌，基金赎回潮来临？大型基金渠道人士：还不至于！,每日经济新闻
1005,2021-03-08,基金赎回潮来临？基金公司渠道人士回应,Wind
1006,2021-03-08,基金抱团股大跌“真凶”找到：有机构减仓 还有各路游资帮忙斩仓,新浪
1007,2021-03-08,基金抱团股再度遭重挫！基金赎回潮来临？这类基金近一半产品份额还在增长！,每日经济新闻
1008,2021-03-08,又见百亿基金经理集体翻车，97只百亿基金仅1只净值增长为正，多只顶流产品收益跌入后10%,财联社
1009,2021-03-08,外资“抄底”白马股名单来了！,中国基金报
1010,2021-03-08,张坤、刘格菘等医药重仓股持续大跌，北上资金“越跌越买”，这三只买超20亿,红周刊
1011,2021-03-08,医药行业一周观察：大小市值表现分化 关注二线优质公司的机会,新浪
1012,2021-03-08,口腔医疗龙头砸出深坑，外资“抄底”抱团股名单来了！白酒市值蒸发1.7万亿，千倍大牛股瞬间不香了？ 连续下跌,证券时报网
1013,2021-03-08,通策医疗跌近10% 市值686亿去年前3季度净利润4亿,中国经济网
1014,2021-03-08,创业板指牛年累挫20%，“抱团股”再遭重锤，传统价值股将回归？,Wind
1015,2021-03-08,A股收盘综述：上证指数下滑2.3%，创业板指跌入技术性熊市,Wind
1016,2021-03-08,龙虎榜揭秘：机构及北向资金集体抢筹13股,证券时报
1017,2021-03-08,平安证券--生物医药行业周报：《政府工作报告》发布，将进一步深化医药卫生体制改革【行业研究】,金融界股吧
1018,2021-03-08,机构重仓股快速跳水，爱尔眼科、通策医疗等继续走低,Wind
1019,2021-03-08,机构五日抢筹22股 主力资金大量流入,证券之星
1020,2021-03-08,机构盯上美年健康,新浪
1021,2021-03-08,医药生物行业报告：创新药企商业化能力的再思考,新浪
1022,2021-03-07,口腔医疗行业发展“怪圈”：进入门槛低，但规模化却成难题,第一财经
1023,2021-03-07,医药板块估值有多贵？哪些估值贵？【东吴医药朱国广团队|0307周报】,国广有话说
1024,2021-03-07,医药与健康护理行业周报：业绩确定性高 继续看好医药龙头公司,新浪
1025,2021-03-07,各种茅集体重挫，昔日跌停“绞肉机”却暴涨100%！,Wind
1026,2021-03-06,本周北向大幅波动！昔日黑马获加仓比例达180%，这些抱团股被“抄底”,财联社
1027,2021-03-06,"近八成个股上涨，各类""茅""跌3.4万亿，后市操作指南来了…",Wind
1028,2021-03-05,"回血！两市3000股上涨，""股王""茅台死守2000关口，还有品种“乌龙”暴涨210%，""牛市旗手""异动释放什么信号？",金融界
1029,2021-03-05,医药生物行业：第四批集采落地 建议上游原料药行业,新浪
1030,2021-03-05,机构重仓股一天蒸发400亿，大资金出逃名单曝光,Wind
1031,2021-03-05,A股早报2021年3月5日星期五,Wind
1032,2021-03-05,急跌500亿，坤坤和医药女神踩雷！千亿巨头们怎么了,Wind
1033,2021-03-05,全球市场“黑周四”，美股三连挫！市场在担心什么？,Wind
1034,2021-03-05,对话股王：三低行情没有结束,财富动力网
1035,2021-03-04,“坤坤”和医药女神集体踩雷！千亿市值巨头们发生了什么？,Wind
1036,2021-03-04,机构盯上美年健康,前瞻研究院
1037,2021-03-04,急跌500亿！“牙茅”11天差点腰斩，“坤坤”和医药女神集体踩雷！千亿市值巨头们发生了什么？,证券时报网
1038,2021-03-04,【4日资金线路图】通威股份、通策医疗等龙头股被甩卖，外资再次减持白酒股,证券时报网
1039,2021-03-04,通策医疗龙虎榜数据（3月4日）,Wind
1040,2021-03-04,通策医疗跌停 市值744亿去年前3季度净利润4亿,中国经济网
1041,2021-03-04,通策医疗跌停 四机构合计卖出5.05亿元,e公司
1042,2021-03-04,各种“茅”各种跌，市场担忧什么？,Wind
1043,2021-03-04,机构重仓股全线重挫！金价大跌，这类资产成避风港？,Wind
1044,2021-03-04,热门龙头股逼近腰斩，机构重仓股大降温！,证券时报网
1045,2021-03-04,抱团股再度集体重挫 通策医疗回调40% 茅台五粮液已回调超20%,格隆汇
1046,2021-03-04,茅指数下挫逾4%，万华化学、通策医疗、恒立液压、泸州老窖均跌超7%,Wind
1047,2021-03-03,连续暴跌后股价终回暖！通策医疗的“跌跌不休”到头了吗？ 连续下跌,环球老虎财经
1048,2021-03-03,通策医疗(600763.SH)：子公司拟租赁房屋用于杭州存济紫金港医院项目,格隆汇
1049,2021-03-01,医药行业一周观察：龙头延续回调趋势 关注二线投资机会,新浪
1050,2021-03-01,医药生物行业报告：医药板块大幅调整之后的布局思路,新浪
1051,2021-03-01,上周抱团股最高亏31%，90后新基民的“信仰”还在吗？,云掌财经
1052,2021-03-01,坤坤还好吗？遇涨“封神”遇跌“脱粉”,Wind
1053,2021-03-01,抱团股大反攻！ 3200只A股飘红，券商一哥却跌8%,Wind
1054,2021-03-01,5连跌！3倍大牛股通策医疗一周暴跌30%！张坤、葛兰重仓,搜狐
1055,2021-03-01,中国口腔医疗三度递表港交所，为温州最大民营牙科医疗服务商,金融界
1056,2021-03-01,每日理财观察：深圳国资拟148亿元受让苏宁易购23%股份,Wind
1057,2021-03-01,白马股遭遇下马威，机构多空短兵相接,Wind
1058,2021-02-27,本周A股跌幅榜，第一名-32%，创业板刷后熔断时代最大周跌幅,搜狐
1059,2021-02-27,3500点关口下A股分歧：杀估值的机会与风险,经济观察报
1060,2021-02-26,A股近一周牛熊股名单来了,第一财经
1061,2021-02-26,本周跌幅冠军黯然出炉 竟是1年3倍超级大牛,每日经济新闻
1062,2021-02-26,三天两跌停 连锁口腔医疗龙头通策医疗市值跌破千亿 连续下跌,第一财经
1063,2021-02-26,金融街下午茶2021年2月26日星期五,Wind
1064,2021-02-26,通策医疗现1笔大宗交易 共成交212.00万元,新浪
1065,2021-02-26,通策医疗跌近9% 本周市值蒸发393亿去年前3季净利4亿,中国经济网
1066,2021-02-26,通策医疗今日大宗交易成交0.80万股，成交价265.0元溢价0.0%,Wind
1067,2021-02-26,通策医疗：有机构减持 公司基本情况没有变化 减持股份,第一财经
1068,2021-02-26,开盘冲涨停，通信板块迎修复？北上资金节后紧急调仓,证券时报网
1069,2021-02-26,基民怒了！张坤、葛兰重仓股暴跌逾20%，明星公募不香了？ 重仓股票异动,搜狐
1070,2021-02-26,太刺激！欧普康视领跌11%，通策医疗、爱尔眼科、泰格医药等医药龙头再度暴跌！ 连续下跌,格隆汇
1071,2021-02-26,A股午盘综述：上证指数跌1.84%，5G、环保股携手大涨,Wind
1072,2021-02-26,有人喊减仓，有人暗加仓，明星基金经理操作分歧大,第一财经
1073,2021-02-26,五日龙虎榜追踪 机构抢筹这82股,证券之星
1074,2021-02-26,张坤等明星基金一周回撤超10%，机构边跌边调寻求同盟,21世纪经济报道
1075,2021-02-26,从通策医疗看抱团股的投资风险,北京商报
1076,2021-02-25,通策医疗4日挫25%，跌出机会了吗？,格隆汇
1077,2021-02-25,牙科新贵终止IPO，信披抽查或为诱因？恒伦医疗称缘起内部战略调整 IPO融资异常,时代周报
1078,2021-02-25,"通策医疗现1笔大宗交易 共成交1,701.63万元",新浪
1079,2021-02-25,通策医疗今日大宗交易成交6.40万股，成交价265.88元折价8.57%,Wind
1080,2021-02-25,通策医疗三天两跌停 仅仅是抱团瓦解？,发现网
1081,2021-02-25,千亿龙头罕见大跳水，牛散葛卫东5天损失1.76亿,证券时报网
1082,2021-02-25,港股拟上调印花税30%，200亿资金火线撤离！A股遭波及,Wind
1083,2021-02-24,通策医疗龙虎榜数据（2月24日）,Wind
1084,2021-02-24,跌停板解密：高位出逃，15只前期强势股遭甩卖！（2月24日）,Wind
1085,2021-02-24,交易异动！通策医疗：不存在应披露而未披露的重大信息,每日经济新闻
1086,2021-02-24,快讯｜通策医疗：连续三个工作日收盘价格下跌 市值缩水276.83亿元 连续下跌,财经网
1087,2021-02-24,龙虎榜：通策医疗三日跌超20% 四个机构席位合计卖出超11亿元,e公司
1088,2021-02-24,通策医疗跌停 市值947亿元去年前三季度净利润4亿元,中国经济网
1089,2021-02-24,3日2跌停的通策医疗(600763.SH)：不存在应披露而未披露信息的情形,格隆汇
1090,2021-02-24,通策医疗：连续大跌股价异动，无应披露而未披露事项 连续下跌,Wind
1091,2021-02-24,通策医疗、荣盛石化、赣锋锂业、山西汾酒等明星股先后打开跌停板,Wind
1092,2021-02-24,茅指数大跌3.6%！泸州老窖跌停，通策医疗逼近跌停 连续下跌,格隆汇
1093,2021-02-24,发生了什么？茅台跌近5%，超级周期崩了，抱团股大跌,中国基金报
1094,2021-02-24,“公募一哥”张坤放出两个大招,中国基金报
1095,2021-02-23,通策医疗跌近6% 市值1052亿元去年前三季净利润4亿,中国经济网
1096,2021-02-23,熟悉的风格又回来了，2600股下跌，龙头股回升,中证报
1097,2021-02-23,每日理财观察：新基金发行就进入“爆款”模式,Wind
1098,2021-02-22,跌停板解密：6只前期强势股遭大单甩卖！（2月22日）,Wind
1099,2021-02-22,通策医疗跌停 市值1118亿元去年前三季现金流为负,中国经济网
1100,2021-02-22,医疗美容服务行业深度研究报告：需求驱动医美服务终端快速扩容 大型品牌连锁终端有望迎来集中度提升实现无边界扩张,新浪
1101,2021-02-22,A股收盘综述：创业板指下挫4.47%，基金抱团股放量杀跌,Wind
1102,2021-02-22,茅指数跌幅扩大至5%，通策医疗率先封住跌停板,Wind
1103,2021-02-22,怎么回事？抱团股又崩了，茅台跌破3万亿,中国基金报
1104,2021-02-22,A股午盘综述：创业板指跌2.53%，基金重仓股持续杀跌,Wind
1105,2021-02-22,医药行业周报：趁医药回调良机 布局高景气板块,西南证券
1106,2021-02-20,抱团行情迎来“压力测试”,证券时报网
1107,2021-02-20,抱团行情迎来压力测试：一场时间与估值的拉锯战,Wind
1108,2021-02-18,医药与健康护理行业周报：国内疫情向好 仍需紧密关注防控政策,新浪
1109,2021-02-18,由通策医疗的商业模式，谈一谈企业的竞争优势,网易
1110,2021-02-17,0到1000亿市值，他如何打造「口腔医疗帝国」,药智网
1111,2021-02-16,【浙商医药|周报】新起点，强调中国优势,杏林建研
1112,2021-02-14,数据揭秘A股牛年牛市特征，多只百倍股原来这样诞生！,Wind
1113,2021-02-12,行业“茅”，6成2021股价大涨，4成2020股价翻番,网易
1114,2021-02-08,医药周报：板块回暖 新冠疫苗信息更新带动疫苗板块表现强势,新浪
1115,2021-02-08,医药生物行业：第二款国产新冠疫苗获批上市 看好疫苗大时代背景下的新冠增量,新浪
1116,2021-02-08,医药行业周报：第四批集采落地 持续看好创新及相关产业链CXO,西南证券
1117,2021-02-07,生物医药行业周报：第四批集采正式开标 拟中选药品平均降幅52%符合预期,新浪
1118,2021-02-07,医药生物行业2020业绩前瞻：2020板块分化明显 下半年医疗服务等有序复苏,新浪
1119,2021-02-07,医药生物行业周报：新冠变异后是否需要常态化免疫加强？智飞新高后继续强烈看好,新浪
1120,2021-02-05,通策医疗现1笔大宗交易 共成交996.54万元,新浪
1121,2021-02-05,通策医疗等25股股价创历史新高,证券时报网
1122,2021-02-05,通策医疗今日大宗交易成交2.89万股，成交价344.68元溢价0.0%,Wind
1123,2021-02-04,下一个爱尔眼科和通策医疗都在这里了，消费医疗高速增长赛道,钛媒体
1124,2021-02-03,医药生物2月月报：寻业绩主线 重点关注CXO等高增长赛道,新浪
1125,2021-02-02,一家牙科医院做成了千亿级公司，这个精明的浙江人不得了,21世纪经济报道
1126,2021-02-02,医药生物行业：四季度常规诊疗继续恢复 板块业绩增速提升,广发证券
1127,2021-02-02,医药行业周报：短期流动性收紧 如何看医药后市机会？,西南证券
1128,2021-02-01,东吴证券--医药生物行业跟踪周报：规避市场调整首选医疗服务，重点推荐爱尔眼科、信邦制药等！【行业研究】,金融界股吧
1129,2021-01-30,通策医疗(600763)深度研究报告：口腔正畸数字化解决方案,新浪
1130,2021-01-29,中泰证券--医药生物行业周报：CRO/CDMO行情将如何延续？长坡厚雪，未来可期【行业研究】,金融界股吧
1131,2021-01-28,民营口腔2020大变局：“疫”后重回发展快车道，品牌化、连锁化趋势凸显,21世纪经济报道
1132,2021-01-27,资金流入医药股 关注高景气细分龙头,金融投资报
1133,2021-01-26,医疗健康行业基金4Q分析：四季度医药板块配置环比下降 机构持仓进一步集中,新浪
1134,2021-01-26,医药行业Q42020持仓分析：医药仓位有所回落 核心资产持续加强,西南证券
1135,2021-01-25,医药生物行业周报：2020Q4公募基金重仓医药持仓几何？继续强调Q1医药躁动期,新浪
1136,2021-01-25,生物医药行业周报：疫情散发促使医药板块上涨 短期关注业绩确定性强的标的,新浪
1137,2021-01-25,十大“顶流”基金公司重仓股大曝光：易方达、汇添富、广发,中国基金报
1138,2021-01-24,长周期业绩领先，看五大顶流基金经理持仓新动向！,Wind
1139,2021-01-23,2021，投资高价值的优质股权,雪球
1140,2021-01-23,增速极快的医美整形龙头“华韩整形”，会是下一个“通策医疗”吗？,钛媒体
1141,2021-01-23,加码新能源和国产替代，基金四季报透露投资新动向,Wind
1142,2021-01-21,十大明星经理重仓股曝光！刘格菘4基金顶格买入一股,中国基金报
1143,2021-01-21,调仓分歧，大基金四季报“干货”曝光,Wind
1144,2021-01-20,3个月仓位猛打至90%！知名基金经理调仓动向曝光,中证报
1145,2021-01-20,"通策医疗现1笔大宗交易 共成交3,035.01万元",新浪
1146,2021-01-20,医药生物行业报告：中外新冠疫苗PK 孰优孰劣？,新浪
1147,2021-01-19,医药行业周报：关注两大政策变化 推荐“创新”+“药店”,新浪
1148,2021-01-19,A股唯一！民营三甲医院龙头，国际医学，印钞机，下一个通策医疗,钛媒体
1149,2021-01-18,医药生物：中国创新药是否到了国际化的拐点？,新浪
1150,2021-01-17,【价值事务所】完全不比茅台恒瑞差，“通策医疗”A股口腔连锁龙头,钛媒体
1151,2021-01-15,警惕！一批明星基金经理大幅调仓了,中国基金报
1152,2021-01-15,恒伦医疗冲刺创业板IPO 体外培养后高溢收购引发高商誉,投资者网
1153,2021-01-14,医药生物行业：Q4医药板块延续恢复态势 结构性机会突出,新浪
1154,2021-01-13,92股获券商买入评级 精工钢构目标涨幅达100.39%,Wind
1155,2021-01-12,通策医疗(600763)深度研究报告：下一条增长曲线将至,新浪
1156,2021-01-11,医药行业周报：从历史复盘看“高景气度龙头”抱团趋势,新浪
1157,2021-01-11,医药生物/行业周报：关注业绩超预期的机会,新浪
1158,2021-01-06,兴证医药行业2021年1月投资月报：创新药差异化、国际化时代开启,新浪
1159,2021-01-04,爱尔眼科跌近10%，成交金额超百亿元,Wind
1160,2021-01-02,新年机构抱团悬了？知名券商泼冷水，业内人士：小心“移情别恋”引发散伙,中证报
1161,2020-12-31,医药行业2021年度投资策略报告：“疫”后起航 乘“策”而行,新浪
1162,2020-12-30,通策医疗持续走强 股价创历史新高,证券时报网
1163,2020-12-29,医药行业周报：海外疫情引关注 “国谈”下创新药企业面临新考验,新浪
1164,2020-12-29,医药生物行业报告：继续重点关注创新核心竞争力和医药大消费两大投资方向,新浪
1165,2020-12-29,业绩下降 控股股东质押四成持股 通策医疗高增长能否继续？ 盈利能力下降,电鳗快报
1166,2020-12-25,医药行业年度策略：控费旋律不改 聚焦创新消费,新浪
1167,2020-12-25,通策医疗(600763.SH)控股股东726万股继续质押,格隆汇
1168,2020-12-23,通策医疗17亿投建医院内幕交易人亏损65万 前董秘泄密 亏损,中国经济网
1169,2020-12-22,医药生物行业报告：医保谈判落地不确定性消除 加大医药优质赛道关注度,新浪
1170,2020-12-22,医药板块2021年春季行情如何？,制药网
1171,2020-12-17,8年上涨30倍、色选机靠不住了 美亚光电未来十年靠什么？,新浪
1172,2020-12-16,2021年医药生物行业策略报告：聚焦黄金赛道，寻找疫后高光,国元证券
1173,2020-12-16,通策医疗：控股股东因医疗项目建设资金需要质押230万股,资本邦
1174,2020-12-15,通策医疗：控股股东宝群实业因医疗项目建设资金需要质押230万股,资本邦
1175,2020-12-14,通策医疗(600763.SH)：控股股东质押230万股,格隆汇
1176,2020-12-14,医药行业周报：把握中国优势 就是把握明年行情,新浪
1177,2020-12-13,生物医药行业周报：三部委联合发文推动互联网医疗行业发展,新浪
