,2021-12-29,新浪医药年度盘点丨合久必分？2021医药行业十大拆分剥离动态 有人为“升级” 有人为“保命”,新浪
625,2020-07-01,二季度54股翻倍，知名百亿私募早已赚嗨！,券商中国
626,2020-07-01,医药股“霸屏” A股上半年牛熊榜放榜,北京商报
627,2020-06-30,A股上半年牛熊榜：123股股价翻倍 英科医疗成最牛股,北京商报
628,2020-06-30,创新药板块强力拉升，信立泰、康弘药业、康泰生物、人福医药等均大涨,Wind
629,2020-06-29,当代集团宜昌人福药业全球总部基地开工建设,21世纪经济报道
630,2020-06-16,人福医药：欧米加-3-酸乙酯软胶囊获得美国FDA批准,金融界
631,2020-06-16,人福医药：控股股东当代科技解除质押3349.11万股,每日经济新闻
632,2020-06-16,人福医药(600079.SH)：完成2019年度第一期短期融资券兑付,格隆汇
633,2020-06-16,人福医药(600079.SH)：欧米加-3-酸乙酯软胶囊获美国FDA批准文号,格隆汇
634,2020-06-16,人福医药(600079.SH)控股股东解押3349.12万股,格隆汇
635,2020-06-10,人福医药盘中创历史新高,证券时报网
636,2020-06-10,A股早报2020年6月10日星期三,Wind
637,2020-06-09,A股收盘综述：上证指数连升三日，互联网营销和大消费花开两朵,Wind
638,2020-06-09,解盘：资金持续流入，今日头条、创新药、特斯拉走强,Wind
639,2020-06-09,医药股涨幅扩大 赛升药业、人福医药涨停,e公司
640,2020-06-09,医药医疗股继续走强，人福医药触及涨停，九洲药业、丽珠集团、达,--
641,2020-06-09,快讯：医药板块早盘走强 人福医药触及涨停,新浪
642,2020-06-09,医药板块强力拉升，人福医药冲击涨停,Wind
643,2020-06-02,人福医药关于资产重组进展公告,亿邦动力
644,2020-06-02,北京和众汇富：麻醉药龙头人福医药浪子回头聚焦主业,和讯
645,2020-06-02,医药生物行业投资策略月报：布局高景气度细分领域 聚焦业绩持续增长带来的机会,广发证券
646,2020-06-01,人福医药(600079.SH)截至5月底累计回购1.08%的股份,格隆汇
647,2020-05-29,Wind快讯| 每日医药行业动态（2020-05-29）,Wind
648,2020-05-28,人福医药关于控股股东部分股份解除质押及再质押的公告,亿邦动力
649,2020-05-28,人福医药(600079.SH)控股股东解押及再质押900万股,格隆汇
650,2020-05-27,全国人大代表、人福医药董事长李杰建议加强基层医疗体系建设 加大对生物医药产业扶持引导,证券日报
651,2020-05-26,人福医药(600079.SH)完成兑付2.5亿元超短融,格隆汇
652,2020-05-26,人福医药(600079.SH)完成发行5亿元超短期融资券,格隆汇
653,2020-05-22,【两会时间】全国人大代表、人福医药董事长李杰：建议给研发“创新药”特定税收优惠,经济观察网
654,2020-05-21,茅台、迈瑞、恒瑞等一批龙头股创新高！但斌昨晚不禁感叹……,上证报
655,2020-05-21,13只重仓股刷出近两年来新高 高毅资产如何选股？,新浪
656,2020-05-20,全国人大代表、人福医药董事长李杰：希望国家加大对特医食品行业的扶持 满足特殊人群需求,每日经济新闻
657,2020-05-19,人福医药现1笔大宗交易 共成交297.88万元,新浪
658,2020-05-19,人福医药今日大宗交易成交13.40万股，成交价22.23元溢价0.0%,Wind
659,2020-05-18,医药生物行业周报：武汉推全员新冠检测十天战役 医药的短中长期投资再思考,新浪
660,2020-05-14,人福医药商誉减值评估程序倒置 监管关注中京民信 资产异常,每日经济新闻
661,2020-05-14,商誉减值测试程序倒置 人福医药委托的评估机构被监管关注 资产异常,每日经济新闻
662,2020-05-14,中京民信收警示函 评估人福医药商誉减值测试3宗违规 金融监管处罚,中国经济网
663,2020-05-13,上交所发布关于对中京民信及评估师赵士威、刘章红予以监管关注的决定 关注函,Wind
664,2020-05-13,执业人福医药测评项目违规，中京民信及评估师被监管关注 项目问题,中新经纬
665,2020-05-13,人福医药：上交所对公司评估机构中京民信及资产评估师赵士威、刘章红予以监管关注 其他违规处罚,Wind
666,2020-05-11,人福医药：他达拉非片获得药品注册批件,金融界
667,2020-05-09,社保基金追求安全边际，一季度增仓24只食品饮料股,Wind
668,2020-05-07,人福医药：已累计回购1457.59万股公司股份 支付总金额约2亿元,发布易
669,2020-05-07,人福医药(600079.SH)截至4月底累计回购1.08%的股份,格隆汇
670,2020-05-06,社保基金一季度重仓股揭秘：新进138股 增持159股,证券时报
671,2020-04-30,人福医药：去年实现净利润8.4亿同比扭亏为盈，麻醉药品毛利占比4成,搜狐
672,2020-04-30,人福医药(600079.SH)拟申请注册发行不超25亿元超短期融资券,格隆汇
673,2020-04-30,鹰眼预警：人福医药处置资产等现金收益/净利逾60%,新浪
674,2020-04-29,机构席位成交额破千亿 4月份调仓股曝光,红周刊
675,2020-04-29,人福医药(600079.SH)2019年度业绩扭亏为盈至8.43亿元 拟10派0.5元,格隆汇
676,2020-04-29,人福医药关于拟发行超短期融资券的公告,亿邦动力
677,2020-04-29,人福医药：一季度净利润1.37亿元 同比下滑20.90% 盈利能力下降,中国网
678,2020-04-29,人福医药(600079.SH)一季度净利润降20.9%至1.37亿元 盈利能力下降,格隆汇
679,2020-04-28,4月，多家龙头药企上演“人事地震”,汇聚南药
680,2020-04-28,4月一批药企高管离职，包括多家副总经理 董监高成员变化,制药网
681,2020-04-27,"人福医药现1笔大宗交易 共成交2,364.57万元",新浪
682,2020-04-27,人福医药、诚迈科技、圣邦股份等40只业绩大增股获机构抢筹,证券时报网
683,2020-04-23,人福医药回复问询：未向国药股份提出收购宜昌人福少数股权具有合理性 问询,Wind
684,2020-04-23,人福医药、同花顺、紫光股份等56只业绩大增股获机构抢筹,证券时报网
685,2020-04-20,人福医药：控股子公司湖北人福药辅在全国中小企业股份转让系统终止挂牌 退市,Wind
686,2020-04-20,31股主力资金净流入超亿元,证券时报网
687,2020-04-17,人福医药成功发行5亿元疫情防控债,上证报
688,2020-04-17,人福医药(600079.SH)完成发行5亿元中期票据,格隆汇
689,2020-04-17,61只业绩大增股遭机构抢筹 人福医药净买入最多,证券时报网
690,2020-04-17,人福医药遭问询：未收购全部剩余少数股权原因为何？ 问询,资本邦
691,2020-04-17,A股融资融券日报：两融余额增加21.15亿元（4月16日）,Wind
692,2020-04-16,人福医药被问询，要求补充说明继续收购标的公司宜昌人福少数股权的必要性 问询,Wind
693,2020-04-16,人福医药李杰详解最新发展战略：归核聚焦,上证报
694,2020-04-16,【中金固收·信用】中国短期融资券及中期票据信用分析周报,中金固定收益研究
695,2020-04-12,本周股市龙虎榜一览：人福医药最受机构青睐,搜狐
696,2020-04-12,机构、高管争相买入这些业绩暴增股,证券时报网
697,2020-04-11,医药生物行业本周资金流出榜：19股净流出资金超亿元,证券时报网
698,2020-04-11,机构龙虎榜本周抢筹个股揭秘（附股）,证券时报网
699,2020-04-11,17股主力资金净流入超亿元 主力资金连续流入个股（名单）,证券时报
700,2020-04-10,A股早报2020年4月10日星期五,Wind
701,2020-04-10,机构坚定构筑防守矩阵 游资短线博弈高位股,南方财经网
702,2020-04-09,人福医药：连续大涨股价异动，提示风险,Wind
703,2020-04-09,机构抢筹人福医药 游资青睐以岭药业丨板块龙虎榜,第一财经
704,2020-04-09,医药、医疗器械板块走强 人福医药等涨停,e公司
705,2020-04-09,A股早报2020年4月9日星期四,Wind
706,2020-04-09,消费回补，谁更受益|粤开策略资金面日报-0408,微信
707,2020-04-08,【VIP资讯分享】 A.腾讯启动5G生态计划 联手合作伙伴致力改变社会和生活面貌。,首席投顾说
708,2020-04-08,4月8日A股龙虎榜揭秘，机构抢筹8股,Wind
709,2020-04-08,人福医药龙虎榜数据(4月8日）,Wind
710,2020-04-08,机构今日卖出这6股，买入人福医药6.8亿元丨牛熊眼,第一财经
711,2020-04-08,联合资信：关注人福医药集团股份公司高管人员变更 董监高成员变化,Wind
712,2020-04-08,人福医药营收数据失真令人疑惑 商誉难题未解再次并购,新浪
713,2020-04-07,"收购宜昌人福13%股权 ""杰士邦""制造商复牌连续涨停",新浪
714,2020-04-07,“重启”前夜：上市鄂企6招“自救”，中小科创渴求资金支持,第一财经
715,2020-04-07,3家知名药企现总裁、总经理换血！ 董监高成员变化,微信
716,2020-04-07,我国医药整体质量提升，国际化发展将蕴藏巨大机遇,制药网
717,2020-04-07,A股早报2020年4月7日星期二,Wind
718,2020-04-07,人福医药董事长李杰：打造具国际竞争力跨国药企,中证报
719,2020-04-03,人福医药集团股份：董事长、法定代表人及总裁人员变动 董监高成员变化,Wind
720,2020-04-03,人福医药：关于披露发行股份及支付现金购买资产并募集配套资金预案暨公司股票复牌的提示性公告,上交所
721,2020-04-03,人福医药两项人事变动：李杰任董事长 邓霞飞任总裁 董监高成员变化,新浪
722,2020-04-03,医药股盘中拉升 人福医药、未名医药涨停,e公司
723,2020-04-03,A股早报2020年4月3日星期五,Wind
724,2020-04-02,人福医药关于公司总裁辞职及聘任总裁的公告 董监高成员变化,新浪
725,2020-04-02,人福医药关于本次资产重组前12个月内购买、出售资产情况的说明 资产异常,亿邦动力
726,2020-04-02,人福医药：董事会通过公司收购预案，股票复牌,Wind
727,2020-04-02,人福医药：总裁李杰因工作调整辞职 董监高成员变化,Wind
728,2020-04-02,人福医药：拟收购宜昌人福13%股权 股票复牌,e公司
729,2020-04-02,人福医药：王学海辞去公司董事长一职，董事会选举李杰为公司董事长 董监高成员变化,Wind
730,2020-04-02,人福医药(600079.SH)：选举李杰为公司董事长,格隆汇
731,2020-04-02,人福医药(600079.SH)：聘任公司董事、副总裁邓霞飞为公司总裁,格隆汇
732,2020-04-02,人福医药(600079.SH)拟收购宜昌人福13%股权并募集配套资金不超10亿元 明日复牌,格隆汇
733,2020-04-01,人福医药：已累计回购1457.59万股 耗资2亿元,中证网
734,2020-04-01,人福医药(600079.SH)截至3月末累计斥资2亿元回购1.08%股份,格隆汇
735,2020-03-27,人福医药关于筹划发行股份购买资产停牌进展公告,亿邦动力
736,2020-03-27,人福医药：筹划收购宜昌人福13%股权 仍在磋商论证中,中国网
737,2020-03-20,从保供到复工 湖北龙头药企的“战疫下半场”,新京报
738,2020-03-20,人福医药筹划发行股份购买资产停牌公告,亿邦动力
739,2020-03-20,人福医药：拟发行股份及支付现金收购宜昌人福13%股权 23日复牌,金融界
740,2020-03-20,人福医药(600079.SH)拟收购宜昌人福13%股权23日起停牌,格隆汇
741,2020-03-20,人福医药：筹划收购宜昌人福13%股权，股票停牌 重大事项停牌,Wind
742,2020-03-18,人福医药大涨5.51%，成交额11012万元,中新经纬
743,2020-03-17,A股共发生118宗大宗交易成交21.41亿元（3月17日）,Wind
744,2020-03-17,"人福医药现2笔大宗交易 共成交2,093.11万元",新浪
745,2020-03-17,人福医药今日大宗交易成交169.07万股，成交价12.38元折价5.21%,Wind
746,2020-03-17,人福医药：公司乙琥胺软胶囊获得美国FDA批准文号,Wind
747,2020-03-17,人福医药(600079.SH)：乙琥胺软胶囊获美国FDA批准文号,格隆汇
748,2020-03-15,人福医药董事长王学海：人福医药誓将战“疫”进行到底,全景网
749,2020-03-13,人福医药：已回购1457.59万股公司股份 耗资2亿元,发布易
750,2020-03-13,人福医药(600079.SH)截至13日累计回购1.08%股份 涉资2亿元,格隆汇
751,2020-03-12,散寒药茶违法广告遭吉林处罚 为人福医药子公司产品 其他违规处罚,中国经济网
752,2020-03-12,京东健康携手人福医药 每日向湖北专供100万只口罩直至疫情结束,凤凰网
753,2020-03-05,人福医药(600079.SH)获准注册15亿元中期票据,格隆汇
754,2020-03-03,人福医药(600079.SH)截至2月底累计回购7998.59万元的股份,格隆汇
755,2020-03-02,人福医药(600079.SH)：盐酸阿芬太尼注射液获药品注册批件,格隆汇
756,2020-02-28,武汉抗疫一线见闻之企业担当③ 人福医药：竭力将物资配送到全省每个角落,中国经济网
757,2020-02-25,多只医药股大涨，人福医药、贝达药业创年度新高,制药网
758,2020-02-21,人福医药：药品生产春节无休 打通抗疫“物流生命线”,21世纪经济报道
759,2020-02-19,人福医药：启用消杀产品生产线 可日产消杀产品10万瓶,上证报
760,2020-02-19,人福医药：启用消杀产品生产线 第一批消毒液正式下线,中证网
761,2020-02-19,日产能10万吨 人福医药启用消杀产品生产线,21世纪经济报道
762,2020-02-17,人福医药关于调整回购股份方案的公告,亿邦动力
763,2020-02-17,人福医药：回购股份实施期限延长至12月31日,e公司
764,2020-02-17,人福医药：回购股份的实施期限延长至2020年12月31日,金融界
765,2020-02-17,人福医药(600079.SH)决定将股份回购的实施期延至今年底,格隆汇
766,2020-02-17,湖北武汉龙头企业挑大梁 华大基因等保供检测试剂盒,新浪
767,2020-02-15,十家上市公司发行疫情防控债，四类债券合计拟募集资金67.5亿元,搜狐
768,2020-02-13,驰援疫情防控 湖北上市公司在行动 捐赠总额超3.5亿元,投资时报
769,2020-02-08,三大资金罕见携手共赴“在线经济”主战场,证券时报
770,2020-02-07,人福医药龙虎榜数据（2月7日）,Wind
771,2020-02-07,龙虎榜新动向：11股本周获机构及北向资金集体抢筹,证券时报网
772,2020-02-06,人福医药龙虎榜数据(2月6日）,Wind
773,2020-02-06,犀牛财经晚报：星期六尾盘炸板 比亚迪孙公司新增消毒液业务,GPLP犀牛财经
774,2020-02-06,人福医药称未开展达芦那韦制剂研发项目,北京商报
775,2020-02-06,人福医药：公司及下属控股子公司没有盐酸阿比多尔、达芦那韦制剂的生产批件,Wind
776,2020-02-06,人福医药涨停，化学制药行业涨3.77%,中新经纬
777,2020-02-05,三款“病毒杀手”正式浮出水面！这10股才是真“药神”？（名单）,金融界
778,2020-02-05,194只医药股剧透2019年业绩 超6成预喜,北京商报网
779,2020-02-05,疫情克星来了，李兰娟团队发布两大有效药，美国新药也来了！5家公司现身，这些股票或受益,券商中国
780,2020-02-04,阿比朵尔、达芦那韦可抑制新冠病毒，国内5家上市公司有相关专利,每日经济新闻
781,2020-02-04,人福医药关于股份回购进展情况的公告,亿邦动力
782,2020-02-04,人福医药(600079.SH)截至1月底累计耗资4999.03万元回购0.29%股份,格隆汇
783,2020-02-04,人福医药：将战“疫”进行到底,上证报
784,2020-02-03,人福医药：春节无休驰援战“疫” 捐赠物资逾1600万元,证券时报网
785,2020-02-03,武汉本地两家券商复工，开启“远程+现场”上班模式,第一财经
786,2020-02-02,人福医药：人员提前到岗 加速抗病毒药品投放,新浪
787,2020-02-02,天风证券：公司业务正常运转 建议线上办业务,新浪
788,2020-01-27,湖北头部医药企业紧急驰援记：数千人春节在岗 百万只口罩投放市场,每日经济新闻
789,2020-01-27,人福医药向武汉捐赠急缺呼吸机、抗病毒药品,e公司
790,2020-01-26,人福医药捐赠价值千万元的呼吸机和药品抵达武汉,新京报
791,2020-01-22,人福医药(600079.SH)：拟参与天风证券配股 使用资金不超9.64亿元,格隆汇
792,2020-01-20,结束野蛮生长 民营医院并购潮将至,北京商报
793,2020-01-19,湖北一医院领导受贿获刑 西门子、GE医疗等巨头卷入 其他违规处罚,华夏时报
794,2020-01-17,创纪录！84个ANDA，石药、复星、齐鲁等药企继续“出海”征战美国市场！,E药经理人
795,2020-01-16,眼科医疗股异动明显,Wind
796,2020-01-14,人福医药子公司人福利康口服固体制剂车间通过美国FDA认证,上证报
797,2020-01-14,人福医药(600079.SH)：人福利康通过美国FDA认证,格隆汇
798,2020-01-13,多家药企披露2019年业绩预告智飞生物预增超50%人福医药扭亏,金融界
799,2020-01-13,一批药企，被合并,赛柏蓝
800,2020-01-13,283家公司全年业绩预增,e公司
801,2020-01-12,人福医药2019年扭亏为盈 净利润最高达9.5亿元,新浪
802,2020-01-10,扭亏为盈，人福医药2019年净利润超7.5亿元,资本邦
803,2020-01-10,人福医药预计2019年将实现扭亏为盈,上证报
804,2020-01-10,人福医药：预计2019年净利7.5亿元-9.5亿元 同比大幅扭亏,e公司
805,2020-01-10,人福医药：预全年净利7.5-9.5亿 去年同期亏23.58亿 亏损,新浪
806,2020-01-10,人福医药：预计全年净利润7.5亿-9.5亿元,第一财经
807,2020-01-10,人福医药(600079.SH)2019年业绩扭亏为盈净利预达7.5-9.5亿元,格隆汇
808,2020-01-10,2019年医药公司完成39次资产出售，有的为多次出售 资产异常,制药网
809,2020-01-10,行业洗牌加剧 药企纷纷出售资产“避寒”,中证报
810,2020-01-08,[公司]人福医药全资子公司获得GMP证书,全景网
811,2020-01-07,买亏了？这家医药公司宣布退出医疗服务领域 亏损,制药网
812,2020-01-06,“瘦身”计划已正式开启！从“买买买”到“归核化”，上市药企这几年经历了什么？,E药经理人
813,2020-01-06,缓解业绩压力 人福医药退出医疗服务领域,北京商报网
814,2020-01-03,人福医药关于股份回购进展情况的公告,亿邦动力
815,2020-01-03,人福医药(600079.SH)截至12月底累计耗资4999.03万元回购0.29%股份,格隆汇
816,2019-12-31,刚刚！知名药企3.6亿被出售 资产异常,赛柏蓝
817,2019-12-31,人福医药出售不动产 所得款项或偿还公司债务,中国网
818,2019-12-31,人福医药(600079.SH)：控股股东解质及再质押均为4800万股,格隆汇
819,2019-12-30,12月30日晚间上市公司十大重磅公告,巨丰财经
820,2019-12-30,犀牛财经晚报：陈峰证实海航迟发缓发工资 餐饮年收入达4.6万亿,GPLP犀牛财经
821,2019-12-30,人福医药：子公司出售钟祥市人民医院新院区不动产,Wind
822,2019-12-30,人福医药：拟出售医院不动产 投资收益约4000万元,e公司
823,2019-12-30,人福医药：为宜昌人福、新疆维药合计提供1.4亿担保 大额借贷担保,Wind
824,2019-12-19,A股共发生86宗大宗交易成交19.01亿元（12月19日）,Wind
825,2019-12-19,"人福医药现1笔大宗交易 共成交13,277.44万元",新浪
826,2019-12-19,人福医药今日大宗交易成交1012万股，成交价13.12元溢价0.0%,Wind
827,2019-12-16,美的集团、纳思达和人福医药，商誉减值哪家强？ 资产异常,腾讯网
828,2019-12-13,去年减值30亿商誉还有39亿 人福医药需要拆弹专家,中国经济网
829,2019-12-12,联合资信：维持人福医药主体长期信用等级为AA+,Wind
830,2019-12-10,人福医药：盐酸左布比卡因注射液获得药品注册批件,e公司
831,2019-12-03,人福医药(600079.SH)截至11月末累计回购1999.57万元股份,格隆汇
832,2019-11-20,林子大了什么鸟都有！黄山旅游买股票送门票 这些公司的礼物也很奇葩,金融投资报
833,2019-11-18,人福医药债转股14.2亿元增资亏损子公司 今年能否扭亏至关重要,电鳗快报
834,2019-11-15,人福医药对全资子公司债转股增资14.2亿元,投中网
835,2019-11-15,人福医药：拟以债转股方式对全资子公司增资,Wind
836,2019-11-15,人福医药：为两家子公司提供合计5500万元担保 大额借贷担保,Wind
837,2019-11-15,人福医药(600079.SH)拟以债转股方式对人福医药有限增资14.196亿元,格隆汇
838,2019-11-15,人福医药：为子公司提供合计3.5亿元担保 大额借贷担保,Wind
839,2019-11-15,人福医药(600079.SH)首次回购73.08万股 涉资999.75万元,格隆汇
840,2019-11-15,"这家公司送门票,市值涨了6000万！股民收到过哪些奇葩礼物",证券时报
841,2019-11-05,人福医药涨4.37%，此前回购股份5-10亿元计划尚未实施,中新经纬
842,2019-10-31,A股异动 | 人福医药逆势涨逾8% 前三季度净利同比增近15%,格隆汇
843,2019-10-31,医药股领涨，三季报业绩亮眼，哪些低估值高业绩标的值得关注？,第一财经
844,2019-10-31,生物疫苗早盘拉升 人福医药涨逾6%,中国经济网
845,2019-10-30,人福医药三季报业绩增长15% 社保基金持续增持,e公司
846,2019-10-30,人福医药(600079.SH)前三季净利升14.99%至7.46亿元,格隆汇
847,2019-10-30,人福医药关于控股股东部分股份解除质押的公告,亿邦动力
848,2019-10-30,人福医药：前三季净利同比增14.99% 社保基金增持,证券时报网
849,2019-10-30,人福医药：前三季度净利润同比增14.99%,Wind
850,2019-10-22,巨量解禁天风证券两跌停 诸多股东高位股权质押或引发连锁反应！ 解禁,每日经济新闻
851,2019-10-15,人福医药关于2019年度第一期超短期融资券兑付公告,亿邦动力
852,2019-10-11,人福医药：董事会同意为控股子公司申请合计9000万元授信提供担保 大额借贷担保,Wind
853,2019-10-11,人福医药：为子公司提供6500万元关联担保 大额借贷担保,Wind
854,2019-10-09,人福医药：氯化钾缓释片获得美国FDA批准文号,证券时报网
855,2019-10-08,人福医药再发超短期融资券 截至上年底资产负债率已达59.71% 偿债能力下降,财经网
856,2019-10-08,人福医药(600063.SH)：尚未实施股份回购,格隆汇
857,2019-09-18,人福医药：公开发行不超15亿元公司债获核准,e公司
858,2019-09-18,[快讯]人福医药发布解除质押公告,中财网
859,2019-09-18,人福医药(600079.SH)：控股股东解除质押2980.7万股,格隆汇
860,2019-09-17,人福医药：董事会同意为12家子公司提供担保，金额合计7.78亿元 大额借贷担保,Wind
861,2019-09-11,人福医药(600079.SH)：控股股东当代科技质押2980.7万股,格隆汇
862,2019-09-10,49股获券商买入评级 天顺风能目标涨幅达53.58%,Wind
863,2019-09-09,嘉化能源（600273.SH）董事长放话拆分上市，董秘急辟谣：没有的事！,格隆汇
864,2019-09-03,9月3日晚间上市公司十大重磅公告,巨丰财经
865,2019-09-03,人福医药：萘普生钠片获得美国FDA批准文号,中证网
866,2019-09-03,人福医药(600079.SH)：萘普生钠片获得美国FDA批准文号,格隆汇
867,2019-09-02,人福医药(600079.SH)完成发行2.5亿元超短期融资券 发行利率6.3%,格隆汇
868,2019-09-02,人福医药：尚未实施回购，此前公司拟回购5亿元-10亿元,Wind
869,2019-09-02,人福医药(600079.SH)尚未实施股份回购,格隆汇
870,2019-08-29,人福医药：2019年前三季度业绩报告预告,上交所
871,2019-08-29,人福医药：上半年扣非后净利增28% 高毅资产大幅增持,e公司
872,2019-08-29,人福医药(600079.SH)上半年净利降32.93%至3.37亿元 盈利能力下降,格隆汇
873,2019-08-23,人福医药(600079.SH)：宜昌人福获英国GMP证书,格隆汇
874,2019-08-23,人福医药：控股子公司获得英国GMP证书,e公司
875,2019-08-19,人福医药(600079.SH)：回购实施期限过半 尚未开始回购股份,格隆汇
876,2019-08-13,国内外均未上市！人福医药舒芬太尼透皮贴剂获批临床,米内网
877,2019-08-09,「医药速读社」百济神州发布Q2业绩：营收2.4335亿美元 亏损8557万美元 亏损,新浪
878,2019-08-09,人福医药：药物舒芬太尼透皮贴剂获得临床试验通知书,Wind
879,2019-08-06,虚开增值税发票案背后：人福医药子公司曾涉多起商业贿赂,经济观察网
880,2019-08-02,人福医药子公司涉嫌接受7份虚开增值税普票被通报 曾违规被处罚 关联方问题,中国网
881,2019-08-02,人福医药(600079.SH)截至7月底 尚未实施股份回购,格隆汇
882,2019-07-30,人福医药短期融资券发行 总额为3.5亿元,挖贝网
883,2019-07-29,人福医药(600079.SH)完成发行3.5亿元超短期融资券 发行利率6.2%,格隆汇
884,2019-07-23,人福医药今日大宗交易成交239万股，成交价9.62元折价6.6%,Wind
885,2019-07-12,《财富》中国500强入围的20家药企：恒瑞首次入选，白云山名次飞涨，人福首次亏损 亏损,智通财经
886,2019-07-11,A股安全套巨头10亿元回购计划半年不见动静,华夏时报
887,2019-07-11,人福医药：子公司产品价格上调情况与媒体报道内容不完全相符,e公司
888,2019-07-11,人福医药：全资子公司对产品价格上调属于市场化调整，与报道内容不完全相符,Wind
889,2019-07-11,人福医药(600079.SH)称：Epic Pharma近期对三项产品的价格进行了上调 与报道内容不完全相符,格隆汇
890,2019-07-02,人福医药(600079.SH)完成发行5亿元短期融资券 发行利率6.5%,格隆汇
891,2019-07-02,人福医药(600079.SH)尚未实施股份回购,格隆汇
892,2019-06-28,最新公告透露利好 14只个股有望爆发（06.28）,中金在线
893,2019-06-28,开拓海外市场，华森制药与人福医药签署战略合作协议,中金在线
894,2019-06-28,格隆汇A股公告精选(6.27) | 中行理财公司获准开业；万华化学纯MDI下调价格及MMA恢复生产；华森制药与人福医药签战略合作协议,格隆汇
895,2019-06-27,华森制药：与“人福医药”展开战略合作,Wind
896,2019-06-26,人福医药：第九届董事会第三十四次会议决议公告,上交所
897,2019-06-25,人福医药：为子公司提供共计4300万元担保 大额借贷担保,Wind
898,2019-06-24,2019中国药品研发综合实力十强揭晓，都是强者！,制药网
899,2019-06-19,"医药行业周观点:科创板正式开板,关注优质创新标的",万联证券
900,2019-06-18,人福医药短期融资券发行 总额为5亿元,挖贝网
901,2019-06-17,螺环酮片剂的批文，1383万元被转让,医药网
902,2019-06-14,人福医药：第九届董事会第三十三次会议决议公告,上交所
903,2019-06-14,格隆汇6月14日A股公告速递丨新城控股为27个项目引资超195亿元 中国平安前5月保费收入同比增9.01%,格隆汇
904,2019-06-14,人福医药：为子公司提供关联担保3.9亿元 大额借贷担保,Wind
905,2019-06-14,人福医药：为三家子公司提供担保，合计担保额2.25亿元 大额借贷担保,Wind
906,2019-06-14,[快讯]人福医药发布质押公告,中财网
907,2019-06-14,人福医药关于控股股东股份质押的公告,亿邦动力
908,2019-06-14,人福医药：控股股东当代科技质押1800万股,Wind
909,2019-06-13,[路演]人福医药：海外业务现已覆盖了欧美成熟市场及东南亚等新兴市场,全景网
910,2019-06-05,人福医药业绩“变脸”股东夺路出逃 汇添富8亿定增5年尚有浮盈4200万,中国网
911,2019-06-04,暴风集团风暴掀翻多家金融机构，谁为52亿资金兜底？,第一财经
912,2019-06-03,人福医药(600079.SH)：汇添富已减持2538.38万股,格隆汇
913,2019-06-03,人福医药：股东减持计划期限届满，累计减持1.88%公司股份 减持股份,Wind
914,2019-05-31,人福医药回复问询：会计所核查未发现公司2016年末商誉减值测试时对于测算指标的调整有明显不合理之处 问询,Wind
915,2019-05-31,人福医药回复问询：公司前期不存在将与商誉无关的单独资产及负债纳入资产组的情况 问询,Wind
916,2019-05-29,天风“宣布”并购恒泰证券，这会是一盘多大的资本“棋局”？,21世纪经济报道
917,2019-05-28,天风证券股东解质押后再度质押全部持股,证券时报网
918,2019-05-28,天风证券(601162.SH)：人福医药解除质押及再质押5.23亿股,格隆汇
919,2019-05-23,湖北省纾困资金4.8亿元驰援人福医药,证券时报网
920,2019-05-23,人福医药：2018年年度股东大会决议公告,上交所
921,2019-05-15,人福医药关于全资子公司获得GMP证书的公告,亿邦动力
922,2019-05-15,人福医药(600079.SH)旗下人福成田收到药品GMP证书,格隆汇
923,2019-05-14,鄂股上演冰火两重天 百年水泥企业跃居“盈利王”,湖北日报
924,2019-05-12,人福医药收年报问询函 问询,Wind
925,2019-05-08,人福医药关于控股股东股份解除质押的公告,亿邦动力
926,2019-05-08,[快讯]人福医药发布解除质押公告,中财网
927,2019-05-08,人福医药(600079.SH)控股股东解除质押2382万股,格隆汇
928,2019-05-08,2018年中国医药上市公司排行榜,医药魔方
929,2019-05-07,58股获券商买入评级 建设机械目标涨幅达62.75%,Wind
930,2019-05-05,人福医药2名股东合计增持468万股 耗资约5312万元,挖贝网
931,2019-05-05,人福医药去年营收186.34亿元 同比增长21% 董事长王学海薪酬为100万元,挖贝网
932,2019-05-04,人福医药一季度净利1.7亿元同比下滑3% 现金流量净额为4894万元 盈利能力下降,挖贝网
933,2019-05-04,【华创固收|周冠南团队】五维度看上市发债主体2018年报的信用风险——华创债券信用周报20190504,华创债券论坛
934,2019-05-01,A股商誉报告：1660亿元减值创新高，141股一季度扭亏,21世纪经济报道
935,2019-04-30,人福医药：第九届董事会第三十一次会议决议公告,上交所
936,2019-04-30,人福医药：2018年年度主要财务指标,上交所
937,2019-04-29,信用负面跟踪20190429,郁言债市日常跟踪
938,2019-04-29,人福医药关于公司董事增持股份计划的完成公告,亿邦动力
939,2019-04-29,人福医药2018年亏损23.58亿元 计提减值损失逾31亿元 亏损,中证网
940,2019-04-29,人福医药(600079.SH)2董事完成股份增持计划,格隆汇
941,2019-04-29,人福医药(600079.SH)一季度净利润降2.65%至1.73亿元 盈利能力下降,格隆汇
942,2019-04-29,人福医药：一季度净利润同比减2.65% 盈利能力下降,Wind
943,2019-04-29,人福医药年大幅亏损超23亿元 上年同期盈利逾20亿 亏损,第一财经
944,2019-04-29,人福医药：董事会关于为子公司提供担保 大额借贷担保,Wind
945,2019-04-29,人福医药：2018年亏损23.58亿元，上年同期盈利20.69亿元 亏损,Wind
