,2021-12-31,光伏风电储能：华创证券坚定看好新能源“三剑客”,智通财经
1435,2020-03-11,养老金产品净值逆势上扬 “长钱”重仓股曝光,中证报
1436,2020-03-10,今年最大涨幅23%！多只养老金产品净值创新高！最新重仓股名单曝光,中证报
1437,2020-03-10,【国盛电新|周报】商务部鼓励各地出台促新能源车消费措施，锡盟7GW风电项目用地获批---第13周观点,电新硬核研究
1438,2020-03-10,快讯：特高压板块异动拉升 大连电瓷直线涨停,新浪
1439,2020-03-10,41只股北向资金持有流通盘的比例超10%,证券时报网
1440,2020-03-10,兴业证券：新基建开启创新大时代,金融界
1441,2020-03-10,特高压领衔新基建 电力设备龙头企业有望受益,证券时报网
1442,2020-03-10,【东吴晨报0313】【固收】【行业】电新、食品饮料【个股】华测检测,东吴研究所
1443,2020-03-10,行业透视：特高压领衔电网投资,大众证券报
1444,2020-03-09,A股市场主力资金净流出1177.36亿元 鲁抗医药净流入额居首,中证网
1445,2020-03-09,23省市今年基建投资额仅7.45万亿元 2020各省基建投资项目清单 新基建市场发展前景分析,微博
1446,2020-03-09,【兴证策略 | 深度专题】新基建开启创新大时代——策略联合七大行业深度研究,XYSTRATEGY
1447,2020-03-09,【华泰电新黄斌团队】新基建发力，特高压迎来建设新周期,华泰电新价值研究
1448,2020-03-09,特高压板块大涨，搭乘新基建快车，年内投资有望达650亿丨牛熊眼,第一财经
1449,2020-03-09,3月9日券商晨会研报汇编,证券日报
1450,2020-03-09,【电新*曾朵红】“新基建”新视角，电力设备价值重估,东吴研究所
1451,2020-03-09,中泰证券：特高压规划超预期，供应链迎来拐点,证券时报网
1452,2020-03-08,周观点|政策预期强化 需求提振可期【华西汽车 崔琰团队】,汽车琰究
1453,2020-03-08,【民生电新】行业周观察：第3批目录特斯拉新车型能量密度提升，关注储能领域磷酸铁锂应用趋势,睿评电新
1454,2020-03-08,【国金电新周观点】光伏电价微调利需求释放，电气设备迎新基建东风，欧洲电车销售延续高增,新兴产业观察者
1455,2020-03-08,【国盛机械·周报】新产品维度下龙头公司收入弹性比较,高端装备风向标
1456,2020-03-08,电力设备新能源行业：新基建发力 特高压建设有望提速,南方财经网
1457,2020-03-07,【东吴电新】“新基建”新视角，电力设备价值重估,新兴产业汇
1458,2020-03-06,超越大盘！部分养老金产品净值刷新高 最新持股动向曝光,每日经济新闻
1459,2020-03-06,【华泰金工林晓明团队】上周各类型基金指数均收涨——华泰金工 FOF 投资周报20200308,华泰金融工程
1460,2020-03-06,巨·个股 | 特高压建设提速！核心供应商梳理完毕 龙头巨无霸尚未发动攻势,巨丰财经
1461,2020-03-06,【研报掘金】电网或承担逆周期调节责任 关注特高压等新基建方向,证券时报网
1462,2020-03-06,【麒麟研报】特高压大涨 券商:新基建下建设有望提速,新浪
1463,2020-03-06,电网投资有望回暖，特高压、充电桩等“新基建”成重点方向,证券时报网
1464,2020-03-06,特高压设备转向强需求周期,中证报
1465,2020-03-05,满屏都在涨！新基建概念股看花眼，500多只个股如何选？看这5只基金就够了,每日经济新闻
1466,2020-03-05,涨停复盘：新基建多点开花大消费强势爆发,金融界
1467,2020-03-05,巨·热点 | 市场再添新引擎 金融股全线爆发 主力大肆加仓此类股！,巨丰财经
1468,2020-03-05,新基建又一分支异军突起 8000亿大蛋糕待分 这些公司需重点关注,证券时报
1469,2020-03-05,中央密集发声聚焦“新基建”5G、数据中心等多行业受益,财华社
1470,2020-03-05,资金逐步倾斜主板 持仓结构注意调整,金融界
1471,2020-03-05,国电南瑞大涨5.12%，电气自动化设备行业涨3.09%,中新经纬
1472,2020-03-05,最高层释放9信号！一行业被首次提及，5G再成重点,券商中国
1473,2020-03-05,快讯：特高压板块走高 平高电气等多股涨停,新浪
1474,2020-03-04,新基建迅速“走红” 速速围观这44只概念股,电鳗快报
1475,2020-03-04,东吴证券：国网部署2020工作，加码特高压、物联网和配网,汇通网
1476,2020-03-03,今年电网投资有望恢复增长 建议关注电力物联网核心标的,第一财经
1477,2020-03-03,【东吴电新】电网专题：国网部署2020工作，加码特高压、物联网和配网,新兴产业汇
1478,2020-03-03,银河证券：特斯拉或引领电池技术升级，静待“超级电容+干电极”开花结果,第一财经
1479,2020-03-02,中银证券：稳增长诉求之下，基建与电网投资有望抬头,证券时报网
1480,2020-03-02,【中银电新】特高压泛在多管齐下，电网投资有望发力,老成之见
1481,2020-03-01,【国金电新】光伏需求再审视，电网投资负重任，电车趋势再加码,新兴产业观察者
1482,2020-03-01,11万亿“金蛋”砸来！A股“新基建”起爆？,新浪
1483,2020-02-28,42只股北向资金持有流通盘的比例超10%,证券时报网
1484,2020-02-28,A股市场闻“基”起舞，数字基建或是长期风口,Wind
1485,2020-02-28,A股市场闻“基”起舞数字基建或是长期风口,证券时报
1486,2020-02-27,涨停复盘 | 涨停股数量继续过百 但盈利难道明显增加,第一财经
1487,2020-02-27,4月底前疫情有望控制A股震荡收涨两市成交连续七天破万亿,财华社
1488,2020-02-27,基建“第二弹”!国家电网采购千亿，特高压投资再超预期,Wind
1489,2020-02-27,2月27日复盘：整理后又是机会 主力资金重点出击3股,新浪
1490,2020-02-27,收评：指数全天震荡沪指涨0.11% 成交连续7日破万亿,新浪
1491,2020-02-27,超11万亿，“报复性”投资来了！融资客及北上资金迅速涌入这些龙头股,e公司
1492,2020-02-27,超11万亿，“报复性”投资！融资客及北上资金迅速涌入这些龙头股,证券时报网
1493,2020-02-27,巨丰午评：大盘震荡消化获利筹码,巨丰财经
1494,2020-02-27,午评：指数探底回升创指涨1.93% 酒店餐饮表现强势,新浪
1495,2020-02-27,特高压早盘异动 国电南自等涨停,中国经济网
1496,2020-02-27,特高压板块快速走强 国电南自涨停,巨丰财经
1497,2020-02-27,电力股集体拉升,Wind
1498,2020-02-27,特高压板块走强特高压电网建设项目超预期,格隆汇
1499,2020-02-27,特高压概念盘中拉升 国电南自涨停,e公司
1500,2020-02-27,国网发布今年工作重点 特高压电网建设项目超预期,证券时报网
1501,2020-02-25,国金证券：国网八号文树信心，混改或为全年最大看点,证券时报网
1502,2020-02-24,两大电网减免电费595亿元，缺口如何补平？,第一财经
1503,2020-02-24,国网十二条举措将极大利好特高压产业链,工业电器网
1504,2020-02-24,电力设备：从8号文看国网巨轮驶向何方？,安信证券
1505,2020-02-23,安信陈果：公募对A股影响正超过外资,Wind
1506,2020-02-20,北上资金增持这些智能电网题材股,第一财经
1507,2020-02-20,"国家电网发千亿红包,助推上下游产业复产复工,题材概念股表现强势",证券时报网
1508,2020-02-19,重磅利好！国家电网砸出近千亿元项目投资，拉动下游产业复工复产！,上证报
1509,2020-02-18,财闻点金：国常会要求抓好畜禽生产 养殖龙头竞争优势凸显,巨丰财经
1510,2020-02-18,国家电网全年投资规模或超预期 行业景气度持续,e公司
1511,2020-02-17,电新|周观点:光伏利好不断催化，氢能再迎春风,CITICS电新
1512,2020-02-17,【华泰金工林晓明团队】上周大部分FOF基金录得正收益——华泰金工FOF投资周报20200216,华泰金融工程
1513,2020-02-17,电新丨功率半导体：IGBT中高压前景广，新格局望重塑,中信证券研究
1514,2020-02-17,中信证券：IGBT中高压前景广，建议四维度布局,证券时报网
1515,2020-02-12,电气设备新能源行业周报：碳排放压顶 欧洲新能源汽车单月数据暴增,兴业证券
1516,2020-02-12,[麒麟研报]电气设备领涨 券商:看好新能源车和光伏,新浪
1517,2020-02-12,44只股北向资金持有流通盘的比例超10%,证券时报网
1518,2020-02-11,成立多年股东无变化 云涌科技IPO毛利常年落后行业均值,投资时报
1519,2020-02-11,A股6连阳 特斯拉复工引爆概念股,证券时报
1520,2020-02-10,【东吴电新】基金Q1持仓深度：新能源汽车持仓企稳、光伏和风电持仓略降,新兴产业汇
1521,2020-02-10,上海工厂今日复工，特斯拉盘前拉升9%，重回800美元！A股小伙伴再现涨停潮！,e公司
1522,2020-02-10,【申港电新】19Q4基金持仓分析：新能源车独领风骚,新能源深度研究
1523,2020-02-10,【华泰金工林晓明团队】上周目标风险型基金表现相对较优——华泰金工FOF投资周报20200209,华泰金融工程
1524,2020-02-10,【东吴电新】基金Q4持仓深度：新能源汽车持仓明显提升、光伏和风电持仓略降,新兴产业汇
1525,2020-02-09,【华泰电新黄斌团队】周观点：1月欧洲新能源车销量亮眼，光伏硅料价格或进入上涨区间,华泰电新价值研究
1526,2020-02-09,【国金电新周观点】光伏接棒电动车，高景气行业中的估值洼地，国家电网全力复工,新兴产业观察者
1527,2020-02-07,【华泰金工林晓明团队】今年以来目标日期型基金表现较优——FOF投资周报20200202,华泰金融工程
1528,2020-02-07,43只股北向资金持有流通盘的比例超10%,证券时报网
1529,2020-02-04,特斯拉为产业链注入生机，光伏政策定调高增可期【安信电新·周观察·0209】,电新邓永康团队
1530,2020-02-02,【国金电新周观点】电新整体受疫情影响较小，反弹优选电车光伏,新兴产业观察者
1531,2020-01-31,大摩：将中移动(0941.HK)纳入中港焦点股名单 剔出广汽(2238.HK),格隆汇
1532,2020-01-31,大摩焦点股名单新纳入中移动(00941) 剔除广汽(02238),智通财经
1533,2020-01-23,新帅上任，国家电网的变与不变,两山搬运工
1534,2020-01-23,【国盛电新|周报】特斯拉将合作CATL，“风光”建设政策开始征求意见,电新硬核研究
1535,2020-01-23,板块行情或减弱 紧盯个股机会,金融投资报
1536,2020-01-21,电气设备行业：新能源汽车全年销量120.6万辆（可下载）,百度
1537,2020-01-21,威胜信息：物联网系统解决方案龙头企业,红周刊
1538,2020-01-21,电气设备行业 | 从2019年招标看国网投资趋势,格隆汇
1539,2020-01-20,432亿主力资金近三日撤出融资融券概念股,证券时报网
1540,2020-01-19,【国金电新周观点】组件龙头频破效率纪录，国网换帅不改发展趋势，铁锂热度持续提升,新兴产业观察者
1541,2020-01-19,揭秘本周聪明钱：巨无霸新股吸金 大白马遭弃 主力不玩它们了？,金融界
1542,2020-01-18,创投周报 Vol.50 | 企服、医疗稳居榜单前两名，万学教育、青藤云安全等10余个项目获亿元以上融资；以及10个有意思的早期项目,36氪
1543,2020-01-18,兴全合宜、科创基金等近两年爆款持仓大揭秘！那些被抢着买的基金原来重仓了这些个股,每日经济新闻
1544,2020-01-17,寇伟调任大唐，江西副省长毛伟明接任国家电网董事长,财经网
1545,2020-01-17,沪港通十大成交活跃股排名（1月17日）,Wind
1546,2020-01-17,主力动向：1月17日特大单净流出116.48亿元,证券时报网
1547,2020-01-17,沪指3100点关口承压节前或持续震荡科技股仍是后市主攻方向,财华社
1548,2020-01-17,1月17日主力资金净流出242亿元,证券时报网
1549,2020-01-17,1月17日复盘:市场又迎新预期 主力资金重点出击10股,新浪
1550,2020-01-17,611亿资金争夺20股：主力资金重点出击10股(名单),新浪
1551,2020-01-17,A股缩量震荡沪指涨0.05% 抗流感板块活跃,中新经纬
1552,2020-01-17,收评：指数全天震荡沪指涨0.05% 流感板块午后异动,新浪
1553,2020-01-17,快讯：国电南瑞跌停报于18.14元,金融界
1554,2020-01-17,官宣！国家电网“换帅”确认 原江西副省长毛伟明接任董事长 董监高成员变化,21世纪经济报道
1555,2020-01-17,电力物联网概念股走弱岷江水电跌停,格隆汇
1556,2020-01-17,沪指半日小幅上涨0.09%，化学纤维等板块领涨,中新经纬
1557,2020-01-16,十倍股震撼出炉 用时不到一年！,金融界
1558,2020-01-16,61股今日获机构买入评级 20股上涨空间超20%,中财网
1559,2020-01-16,头号研报：充电桩受益地方补贴从补车转到补桩,巨丰财经
1560,2020-01-16,「PlantData」研发认知智能中台，为行业提供知识图谱全生命周期解决方案,36氪
1561,2020-01-16,56股获券商买入评级 徐工机械目标涨幅达41.94%,Wind
1562,2020-01-16,【国电南瑞*曾朵红】深度：泛在核心支撑，迎接景气周期,东吴研究所
1563,2020-01-15,解密主力资金出逃股连续5日净流出497股,证券时报网
1564,2020-01-14,40只股北向资金持有流通盘的比例超10%,证券时报网
1565,2020-01-13,解密主力资金出逃股连续5日净流出410股,证券时报网
1566,2020-01-11,【国金电新周观点】再论光伏新技术对龙头影响，电车迎政策强催化,新兴产业观察者
1567,2020-01-10,又一产业风口？“泛在电力物联网”发展的前景与机会！,中国能源网china5e
1568,2020-01-10,最全！2019年度国家科学技术奖励名单,Wind
1569,2020-01-10,电力物联网概念股走弱,证券之星
1570,2020-01-09,【国盛策略】全球估值比较：哪些周期核心资产被低估？,尧望后势
1571,2020-01-09,41只股北向资金持有流通盘的比例超10%,证券时报网
1572,2020-01-09,亿嘉和（603666）：带电作业机器人业务获得实质性进展,中信证券研究
1573,2020-01-08,【国盛电新|周报】Model Y项目启动，爱旭发布210电池片产品---第2周周报,电新硬核研究
1574,2020-01-07,国电南瑞(600406.SH)拟回购注销17.43万股限制性股票,格隆汇
1575,2020-01-07,国家电网：持续深化改革 更好服务国计民生,国际能源网
1576,2020-01-06,CES 2020开幕在即，“黑科技”照亮你的美，小伙伴提前嗨,Wind
1577,2020-01-06,电气设备行业：一路狂奔的特斯拉，维持“看好”评级,格隆汇
1578,2020-01-05,电气设备行业：短期控制金额 未来投资将更精准,南方财经网
1579,2020-01-03,对话基金经理系列 |中欧基金周应波：把握行业景气，挖掘内生驱动成长股,招商定量任瞳团队
1580,2020-01-02,国电南瑞关于部分高级管理人员辞职的公告 董监高成员变化,新浪
1581,2020-01-02,国电南瑞：罗剑波不再担任公司副总经理职务 董监高成员变化,Wind
1582,2020-01-02,今日976只个股突破五日均线,证券时报网
1583,2020-01-02,今日913只个股突破五日均线,证券时报网
1584,2020-01-02,844只股短线走稳站上五日均线,证券时报网
1585,2019-12-31,【申港电新】欧洲新能源车3月销量分析,新能源深度研究
1586,2019-12-31,周二机构一致看好的七大金股（12.31）,中金在线
1587,2019-12-30,亿嘉和：绑定国网销售渠道，带电作业机器人加速放量可期,证券时报网
1588,2019-12-30,电新|周观点：海外电动化加速，电机电控迎边际改善,CITICS电新
1589,2019-12-30,亿嘉和：电力巡检机器人龙头，未来前景可期,证券时报网
1590,2019-12-30,电气设备财政部表态超预期，再议动力电池库存周期,中泰证券
1591,2019-12-30,云涌科技登陆科创板被指成色不足 毛利落后行业均值,新浪
1592,2019-12-30,云涌科技登陆科创板被指成色不足 研发营收毛利均落后行业均值,长江商报
1593,2019-12-29,【国金电新周观点】光伏价格望平稳，关注磷酸铁锂回暖和充电桩改善,新兴产业观察者
1594,2019-12-27,【国元资讯早班车】融资余额逼近万亿元！,国元证券订阅号
1595,2019-12-25,《2019中国沪深上市公司商标品牌价值排行榜》发布,中国经济网
1596,2019-12-25,A股明日风口：全面取消300万以下城市落户限制,新浪
1597,2019-12-25,589只股短线走稳站上五日均线,证券时报网
1598,2019-12-25,今日648只个股突破五日均线,证券时报网
1599,2019-12-24,电新行业2020年度策略：全球电动化风起云涌，光伏异质结初露头角,格隆汇
1600,2019-12-24,瞄准电力、能源、金融等领域 云涌科技拓展工业互联网业务,中证报
1601,2019-12-23,国电南瑞(600406.SH)完成兑付2019年度第一期超短期融资券,格隆汇
1602,2019-12-23,国金证券：建议从三方面把握泛在电力物联网投资机会,证券时报网
1603,2019-12-23,电新|周观点：国网展望2020年投资，光伏政策加速落地,CITICS电新
1604,2019-12-23,电新行业：光伏组件出口增长，分散式风电发展可期,格隆汇
1605,2019-12-23,云涌科技冲刺科创板 核心部件的进口依赖是否减轻成疑,每日经济新闻
1606,2019-12-22,【国金电新周观点】光伏政策节奏符合预期，电网投资结构性方向明确，关注磷酸铁锂需求回暖,新兴产业观察者
1607,2019-12-22,【天风计算机】周观点：5G助推泛在加速落地，重申密码产业链,兵哥看IT
1608,2019-12-21,云涌科技冲刺科创板 核心部件的进口依赖是否减轻？,每日经济新闻
1609,2019-12-20,弃风弃光率降为0！贵州电网公司首次实现新能源厂站自动发电控制,北极星智电
1610,2019-12-19,【华泰电新黄斌团队】国网布局5G，利好泛在投资,华泰电新价值研究
1611,2019-12-19,特高压概念震荡上扬 国网广电联手加速泛在物联网建设,证券时报网
1612,2019-12-19,特高压概念异动，机构：新一轮建设高峰，核心设备商受益,第一财经
1613,2019-12-19,泛在电力物联网板块走强 岷江水电(600131.SH)封涨停,格隆汇
1614,2019-12-19,【川财研究所*2020年年度策略】机械：传统看油气和LNG，新兴聚焦新能源和半导体，高端布局航空和物联网（20191217）,川财研究
1615,2019-12-19,收评：电力物联网板块走强,证券之星
1616,2019-12-19,37只股北向资金持有流通盘的比例超10%,证券时报网
1617,2019-12-19,快讯：电力物联网板块开盘活跃 岷江水电触及涨停,新浪
1618,2019-12-19,中国广电与国家电网确立在5G领域展开合作,证券时报网
1619,2019-12-19,A股早评：沪指开盘持平特高压概念开盘大涨,格隆汇
1620,2019-12-18,【华创电新|周观点】动力电池铁锂化趋势上行，国网广电合作5G网建设,华创电新研究
1621,2019-12-17,电新|周观点：明年泛在建设大纲发布，充电行业迎边际改善,CITICS电新
1622,2019-12-16,能源电力股权融资最大单落地 机构：关注低估值火电,第一财经
1623,2019-12-16,分拆上市大热！公募基金一手调研结果及上市公司分拆计划全曝光,21世纪经济报道
1624,2019-12-16,A股纳入MSCI权重提升,中证网
1625,2019-12-13,北上资金本周净买入205.06亿元连续10周净买入,证券时报网
1626,2019-12-13,贵州电网公司首次实现新能源厂站自动发电控制,中国能源网china5e
1627,2019-12-13,39只股北向资金持有流通盘的比例超10%,证券时报网
1628,2019-12-12,寻踪觅源看泛在5：方向明确精准投资，泛在建设持续加码【安信电新】,电新邓永康团队
1629,2019-12-12,德国宣布将用华为设备建5G网络，概念股投资机会显现,第一财经
1630,2019-12-12,电新|泛在电力物联网：泛在建设按计划推进，国网印发明年建设大纲,CITICS电新
1631,2019-12-12,题材 | 国网重磅文件出台，电力物联网喜迎大礼包！,中邮证券
1632,2019-12-12,盘前有料丨德国运营商将采用华为设备建设5G网络；长沙商品房限利6％-8％…重要消息还有这些,证券时报网
1633,2019-12-12,巨丰早参：三连降结束！美联储维持利率不变,巨丰财经
1634,2019-12-12,【朝闻国盛1212】11月金融数据的六大信号,国盛证券研究所
1635,2019-12-12,国网加快泛在电力物联网建设 5股有望爆发,证券时报网
1636,2019-12-12,巨丰热点前瞻：市场呈现机构性机会轮动,巨丰财经
1637,2019-12-11,泛在电力物联网重磅文件落地，概念股直线拉升,腾讯网
1638,2019-12-10,电新|周观点：新产业规划利好充电氢能，电网发文提质增效,CITICS电新
1639,2019-12-09,招商银行：国电南瑞“19南瑞科技SCP001”持有人会议无效,Wind
1640,2019-12-09,【朝闻国盛1209】2020年政策的变与不变,国盛证券研究所
1641,2019-12-09,公用事业：国家电网严控投资 “泛在建设”更受关注,财富动力网
1642,2019-12-09,外资狂买A股 基金看好消费,国际金融报
1643,2019-12-08,两大电网突然下发严控投资令，这究竟是怎么了？,第一财经
1644,2019-12-07,李志林：破年线危局中露出一丝曙光,金融投资报
1645,2019-12-07,超3700亿资金激战风口板块，两大黑马题材崛起,证券时报
1646,2019-12-07,个股资金流向,财富动力网
1647,2019-12-06,逾600亿增量！北上资金连续17交易日净买入，这一热门行业本周爆发，成加仓重点！,e公司
1648,2019-12-06,大秦铁路(601006)：高分红公共事业股，是否值得入局？,格隆汇
1649,2019-12-06,273股获买入评级 机构推荐胜率超七成,证券时报网
1650,2019-12-05,数据解盘|外资连续16个交易日净流入 电子元件板块主力资金净流入超22亿元,新浪
1651,2019-12-05,中炬高新：子公司收购计划失败 后续还将继续沟通 ｜公司问答 并购重组异常,第一财经
1652,2019-12-05,电网大投资时代宣告结束！国电南瑞跌2.3%,中新经纬
1653,2019-12-05,巨丰数据赢｜北上资金继续流入 低估蓝筹仍具吸引力,巨丰财经
1654,2019-12-05,中信证券：国网开源节流，以数字化转型求可持续发展,证券时报网
1655,2019-12-05,电新｜国网开源节流，以数字化转型求可持续发展,中信证券研究
1656,2019-12-05,大盘缩量盘整 药明康德融资盘小幅流入,财富动力网
1657,2019-12-05,突然暴跌！两只千亿大白马“栽了” 又是机构踩踏？,中国基金报
1658,2019-12-05,主力资金流出“白马股”,中证报
1659,2019-12-04,数据复盘｜北向资金持续加仓格力电器 机构抛售中炬高新,证券时报网
1660,2019-12-04,国电南瑞(600406.SH)收跌7% 国家电网明确提出要严格控制电网投资,格隆汇
1661,2019-12-04,国电南瑞跌2.85% 股价创近1个月新低 连续下跌,中新经纬
1662,2019-12-02,科陆电子承办《电化学储能电站调频与调峰控制技术规范》标准编写会议,科陆电子
1663,2019-12-02,长三角一体化发展规划出炉 安徽将建特高压枢纽,证券时报网
1664,2019-12-02,华创事件驱动早报12-2：证监会支持打造航母级券商；长三角一体化发展规划出炉,华创证券研究
1665,2019-12-02,阿里回归港股 说一说香港市场的“新消费三巨头”,秦朔朋友圈
1666,2019-11-29,【国元资讯早班车】证券法修订工作正在加快！,国元证券订阅号
1667,2019-11-28,全面提升充电设施全生命周期经济性 国网苏创：发布5项充电新技术,中国能源网china5e
1668,2019-11-28,华泰证券：2020年或为海内外电动车增速拐点元年,第一财经
1669,2019-11-27,泛在电力物联网：“电网+5G” 开启投资新窗口,财富动力网
1670,2019-11-26,2019年中国电气工业100强排行榜完整榜单,工业电器网
1671,2019-11-26,国网上海市电力：智能配用电大数据应用平台建设,和讯
1672,2019-11-25,5G赋能，泛在蝶变丨兴业电新 · 被市场忽略的5G投资新方向（朱玥）,兴业电新
1673,2019-11-25,盘前有料丨MSCI年内最大扩容明日收盘后生效、今年外资流入股票市场超2400亿元…重要消息还有这些,证券时报网
1674,2019-11-25,【朝闻国盛1125】短期震荡，重视安可集成,国盛证券研究所
1675,2019-11-24,【民生电新】新能源行业丨周跟踪：泛在电力物联网持续推进，电表终端需求升级,睿评电新
1676,2019-11-23,逾五成MSCI概念股月内跑赢大盘 234只概念股获机构推荐,证券日报
1677,2019-11-22,亿嘉和(603666.SH)：国网瑞嘉(天津)智能机器人完成工商注册,格隆汇
1678,2019-11-22,电新行业：泛在电力物联网建设继续推进,东吴证券
1679,2019-11-22,【机构风向标】电子行业受机构青睐程度大幅下降，这只龙头股仍有八成上涨空间,证券时报
1680,2019-11-22,【国元资讯早班车】沪深法院出台新规处置违约股权,国元证券订阅号
1681,2019-11-22,亿嘉和：成立三方合资子公司 带电机器人产业化落地,南方财经网
1682,2019-11-21,沪港通十大成交活跃股排名（11月21日）,Wind
1683,2019-11-21,国家电网开会又招标，电力物联网板块拉升大涨,格隆汇
1684,2019-11-21,电力物联网板块表现强势 国电南自直线封涨停多只个股大涨,财界网
1685,2019-11-21,国家电网旗下多只个股相继爆发 远光软件强势涨停,巨丰财经
1686,2019-11-21,2019年储能新增装机规模可能下降，经济性与安全性是中国电化学储能发展关键,集邦新能源网
1687,2019-11-21,39股获券商买入评级 建发股份目标涨幅达55.81%,Wind
1688,2019-11-21,11月21日券商晨会研报汇编,证券日报
1689,2019-11-21,盘前有料丨拉卡拉称不能实际控制或支配考拉征信、亏损超预期拼多多大跌超20%…重要消息还有这些 连续下跌,证券时报网
1690,2019-11-20,国电南瑞：业绩符合预期，持续受益数字新基建【安信电新】,电新邓永康团队
1691,2019-11-20,【东吴电新】国网信息化招标点评：泛在电力物联网建设继续推进,新兴产业汇
1692,2019-11-20,招商银行：12月3日召开“19南瑞科技SCP001”持有人会议,Wind
1693,2019-11-20,国电南瑞：信通业务增长显著，积极探索创新发展【安信电新】,电新邓永康团队
1694,2019-11-20,国电南瑞：泛在新机遇 电网巨头再腾飞,安信证券
1695,2019-11-20,30股获券商买入评级 北方华创目标涨幅达55.41%,Wind
1696,2019-11-19,2019电车产销略降，2020预计高增长 | 兴业电新 · 每周观察（朱玥、曾英捷）,兴业电新
1697,2019-11-19,【华创电新 | 点评】国家电网启动第二次新增信息化采购，泛在网建设推进持续加速,华创电新研究
1698,2019-11-19,30股获券商买入评级 金山办公目标涨幅达69.05%,Wind
1699,2019-11-18,国电南瑞：业务平稳发展 受益于“泛在电力物联网”建设,招商证券
1700,2019-11-18,【国电南瑞】大幅拉升2.53% 股价创近2个月新高,金融界
1701,2019-11-18,国电南瑞：拟成立合资公司，加快带电作业机器人蓝海市场布局,--
1702,2019-11-18,4股获买入评级 最新:水晶光电,中财网
1703,2019-11-18,2股获买入评级 最新:华熙生物,中财网
1704,2019-11-18,电新｜泛在建设持续推进，信息化、电表招标公示,中信证券研究
1705,2019-11-18,【朝闻国盛1118】关注央行三季度货币政策报告的七大信号,国盛证券研究所
1706,2019-11-18,国网公司布局电力机器人 泛在电力物联网建设新动作,上证报
1707,2019-11-17,国资委座谈会传递出重要信息！为何选这些央企？旗下有哪些上市公司,上证报
1708,2019-11-15,亿嘉和牵手国电南瑞入局带电作业机器人,每日经济新闻
1709,2019-11-15,国电南瑞(600406.SH)与亿嘉和、三源电力设国网瑞嘉(天津)智能机器人公司,格隆汇
1710,2019-11-15,亿嘉和：拟一亿元对外投资成立合资公司,第一财经
1711,2019-11-15,亿嘉和：拟1亿元参设合资公司，研发带电作业机器人,Wind
1712,2019-11-15,亿嘉和(603666.SH)拟与国电南瑞、三源电力设合资公司 开展带电作业机器人的研发、制造、应用和技术服务,格隆汇
1713,2019-11-15,【东吴晨报1118】【固收】【行业】地产【个股】新希望、金山软件、东方财富、国电南瑞、国祯环保,东吴研究所
1714,2019-11-14,【国电南瑞】大幅拉升3.53% 股价创近2个月新高,金融界
1715,2019-11-12,国电南瑞：业务平稳发展 受益于“泛在电力物联网”建设,招商证券
1716,2019-11-12,电气设备2019三季报总结：风光景气业绩兑现，锂电全球化助成长，维持“增持”评级,格隆汇
1717,2019-11-12,智能电表：泛在与新标共振，电表望迎量价齐升,证券时报网
1718,2019-11-12,央企上市公司股权激励松绑 相关改革有望加速落地,证券时报网
1719,2019-11-10,【国金电新周观点】弃风弃光率双降待补贴明确，电表迎新一轮高景气，TWS及海外动力电池供应链热度延续,新兴产业观察者
1720,2019-11-09,股价看齐基本面 四季度预增股迎来高光时刻,金融投资报
1721,2019-11-07,51股获券商买入评级 中国中铁目标涨幅达68.97%,Wind
1722,2019-11-05,报告|2019年10月江苏省A股上市公司市值TOP100恒瑞医药市值较上月增长451亿,挖贝网
1723,2019-11-05,工控行业三季报总结：工控短期承压泛在、低压、电表相对亮眼,东吴证券
1724,2019-11-05,【东吴电新】工控&电力设备19年报及20一季报总结：Q1总体承压，工控龙头表现优异、电网龙头稳健,新兴产业汇
1725,2019-11-05,【东吴电新】中国电器：家电检测龙头，智能装备高质发展,新兴产业汇
1726,2019-11-05,【华泰证券研究所】每日晨会启明星20191105,华泰证券研究所
1727,2019-11-04,【电新】2019年三季报综述:板块业绩有所下滑，盈利质量明显提升*强于大市 盈利能力下降,中银国际证券研究
1728,2019-11-04,特锐德拥千余人研发团队 创新成主要“标签”,证券日报
1729,2019-11-04,聚焦成长 坚持价值投资,--
1730,2019-11-03,【华泰电新黄斌团队】国电南瑞：深挖内功提毛利，紧握泛在增弹性,华泰电新价值研究
1731,2019-11-03,【国金电新】光伏玻璃结构性涨价反映需求转暖，关注锂电海外供应链放量和消费电子新爆款,新兴产业观察者
1732,2019-11-03,电气设备：大众ID.3国内亮相 中国制造MODEL3开放预订,中银国际
1733,2019-11-01,百亿私募三季度持仓曝光 哪些个股被大咖共同持有,上证报
1734,2019-10-31,顶级私募大起底 哪只个股被邓晓峰、赵军共同看上？,新浪
1735,2019-10-31,最新！邓晓峰、赵军、裘国根、王亚伟、江晖等私募大佬A股持仓大曝光,中国基金报
1736,2019-10-31,中银国际*晨会聚焦20191031,中银国际证券研究
1737,2019-10-31,中泰 | 11月金股,中泰证券研究所
1738,2019-10-30,【东吴电新】国电南瑞三季报点评：增速放缓、毛利率改善，泛在订单已开始落地 盈利能力下降,新兴产业汇
1739,2019-10-30,太钢集团与宝武钢铁集团签约战略合作协议,兰格钢铁网
1740,2019-10-30,【晨会聚焦】11月十大金股与策略观点,中泰证券研究所
1741,2019-10-30,"国电南瑞:毛利率逐季提升,信通业务有望持续高增长",安信证券
