,2021-12-31,科沃斯(603486)重大事项点评：布局锂电池项目 保障供应链安全,新浪
1211,2021-01-12,晚间重要公告2021年1月12日星期二,Wind
1212,2021-01-12,科沃斯业绩预告：2020年度净利润同比增长389%-422%,格隆汇
1213,2021-01-12,科沃斯(603486.SH)：2020年度净利预增388.79%-421.93%,格隆汇
1214,2021-01-12,家用电器行业12月扫地机器人数据点评：景气不减，明年可期,方正证券
1215,2021-01-12,家电行业周报：为何是它？探寻添可爆发的驱动力,新浪
1216,2021-01-11,第二只千元股揭晓！“扫地僧”石头科技用产品创造需求,国际金融报
1217,2021-01-11,一周策略回顾与展望,新浪
1218,2021-01-11,家用电器可选消费年度投资策略2：看好2021可选消费板块-布局龙头 精选新消费,新浪
1219,2021-01-08,2020年11月家电零售和企业出货端数据解读：空调内外销持续回暖 厨小延续较高景气,新浪
1220,2021-01-08,上调评级至买入策略选股（1月8日）,Wind
1221,2021-01-08,42股获券商买入评级 中国长城目标涨幅达57.14%,Wind
1222,2021-01-07,科沃斯(603486)：发布股权激励方案 添可助力新一轮增长,新浪
1223,2021-01-07,33股今日获机构买入评级5股上涨空间超20%,证券时报网
1224,2021-01-07,民族品牌指数涨1.92% 科沃斯涨停,上证报
1225,2021-01-07,乐鑫科技(688018)：软硬兼备的WI-FI MCU龙头厚积薄发,西南证券
1226,2021-01-06,科沃斯(603486)点评报告：激励计划绑定核心员工 助力添可持续高增长,新浪
1227,2021-01-05,科沃斯(603486.SH)拟推2021年限制性股票激励计划,格隆汇
1228,2021-01-05,机械行业周报：特斯拉MODEL Y再度大幅降价 新能源汽车加速渗透,新浪
1229,2021-01-05,家电行业周报：集成灶行业阔步前行 美的战略升级龙头亦舞,新浪
1230,2021-01-05,家用电器行业周报：11月空调均价整体攀升 持续推荐白电龙头,广发证券
1231,2021-01-04,家用电器2020W52周观点：1月空调排产大幅上升 企业进入备货旺季,新浪
1232,2021-01-04,新华社民族品牌指数2020年上涨63.15%,中证报
1233,2021-01-03,天风家电 |1月空调排产大幅上升，企业进入备货旺季——2020W52周观点,小蔡看家电
1234,2021-01-01,中信建投证券2021年度十大预测,中信建投证券研究
1235,2021-01-01,A股激荡2020年：总市值上涨20万亿,21世纪经济报道
1236,2020-12-31,2020年A股十大牛股出炉！涨幅最高股暴涨14倍,凤凰网
1237,2020-12-31,温故而知新！2021年哪些板块会走牛？,Wind
1238,2020-12-31,股价破千，石头科技还能继续“疯狂”多久？,《商学院》杂志
1239,2020-12-30,千元股光环石头科技：摆脱小米依赖净利大增 50亿用于理财和置业,新浪
1240,2020-12-30,寺库上线科沃斯地宝T8，重新定义高质家居生活,凤凰网
1241,2020-12-29,安信证券：预计家电出口仍将受疫情影响保持快速增长,证券时报网
1242,2020-12-28,家用电器W51周观点：海尔智家私有化落定 海信视像混改落地,新浪
1243,2020-12-28,家用电器行业：11月冰洗整体表现亮眼 持续推荐白电龙头,广发证券
1244,2020-12-28,家电股持续拉升，彩虹集团、长虹美菱涨停,Wind
1245,2020-12-28,新华社民族品牌指数8只成分股今年翻倍,中证报
1246,2020-12-27,天风家电 | 海尔智家私有化落定，海信视像混改落地——W51周观点,小蔡看家电
1247,2020-12-24,科沃斯(603486.SH)：9月5日以来累计收到政府补助1241.61万元,格隆汇
1248,2020-12-24,科沃斯（603486）：添可业务全面爆发，构筑公司第二成长曲线,中信证券研究
1249,2020-12-22,大消费板块受关注 稀缺性是选股重点,金融投资报
1250,2020-12-22,机械行业周报：中央经济工作会议规划2021重点 自主可控、光伏设备等受益,新浪
1251,2020-12-21,家电行业红利持续性有望超出资本市场预期,中华商务网
1252,2020-12-20,天风家电 | 11月空调内销平稳增长，外销继续提速——2020W50周观点,小蔡看家电
1253,2020-12-19,刘柯：重新估值细分行业冠军,中财网
1254,2020-12-18,家用电器行业2021年度投资策略：关注优质龙头和具有成长性的细分行业领跑者,新浪
1255,2020-12-17,股价仅次于茅台，石头科技是何方神圣,36氪
1256,2020-12-17,科沃斯擦窗机器人窗宝920全新上市，超强擦窗力更安全更洁净,砍柴网
1257,2020-12-17,昔日股王今何在？“茅台魔咒”再迎大考,Wind
1258,2020-12-17,方正机械2021年度策略报告：行业复苏持续，精选优质龙头,方正证券
1259,2020-12-16,A股再添一只千元股，石头科技能否破“茅台魔咒”？,搜狐
1260,2020-12-16,森马服饰||高管增持彰显公司长远发展信心，业绩持续复苏,吕明可选消费研究
1261,2020-12-16,【研报掘金】家电行业红利持续性有望超出资本市场预期 机构看好这些股,证券时报网
1262,2020-12-16,机械行业年度策略：寻找供需格局改善的细分行业龙头,新浪
1263,2020-12-16,刚刚！A股又一千元股诞生，疯狂的“石头”如此进击！,证券时报网
1264,2020-12-13,天风家电 | 双十二大家电产品均价提升，小家电热销产品迭代升 级——2020W49 周观点,小蔡看家电
1265,2020-12-11,科沃斯：副总经理李文楷离职 董监高成员变化,Wind
1266,2020-12-11,京东金榜重磅发布，科沃斯地宝T8登顶年度扫地机器人金奖,砍柴网
1267,2020-12-11,有望成为新蓝海，科沃斯押宝的这一市场究竟有多大想象空间？,中国家电网
1268,2020-12-11,家电行业研究：生活清洁家电(一)智能扫地机器人发展势头良好 市场空间广阔,新浪
1269,2020-12-10,扫地机器人：Q4龙头爆发,新浪
1270,2020-12-09,红杉资本投资芯视界微电子，此前华为哈勃、科沃斯也已入股,企查查
1271,2020-12-09,中信建投2021年机械投资策略展望：机械龙头加速全球化进程,中信建投证券研究
1272,2020-12-08,清洁巨头PK：石头营收少 科沃斯增速快 莱克研发占比低,云掌财经
1273,2020-12-08,扫地机器人双龙缠斗 两倍涨幅高光难掩彼此隐忧,投资者网
1274,2020-12-07,智能体验再升级 除菌扫拖优选科沃斯地宝N8 PRO,赛迪网
1275,2020-12-07,央视关注扫地机器人爆卖，领军品牌科沃斯推出除菌地宝N8 PRO,砍柴网
1276,2020-12-07,可选消费行业2021年策略报告（1）：顺应渠道变革方向,吕明可选消费研究
1277,2020-12-07,天风证券：小家电板块依然是景气度最高的子行业 推荐新宝股份等,证券时报网
1278,2020-12-06,天风家电 | 11月线上行业均价普遍上升，各品牌明星产品销量领跑——2020W48周观点,小蔡看家电
1279,2020-12-06,刚上市就成“断货王” 科沃斯兄弟品牌添可何以对标戴森,亿邦动力
1280,2020-12-05,这种家电中国销量全球第一！产线员工不够高管来驰援,央视财经
1281,2020-12-04,戴森褪色：新品吸尘器被指抄袭 产品质量问题投诉多 诉讼纠纷,北京商报
1282,2020-12-03,戴森褪色 国产吸尘器机会来了吗,北京商报
1283,2020-12-03,莱克2020年净利润预计减少2.26亿 吸尘器市场格局生变 盈利能力下降,云掌财经
1284,2020-12-02,专利维权标兵涉嫌反抄袭 创新不足国际大牌戴森跌下神坛 诉讼纠纷,新浪
1285,2020-12-02,石头科技，九号公司：我们还能出几个大疆？,新浪
1286,2020-12-01,极光(JG.US)与科沃斯机器人达成合作，探索“智慧生活”更多可能,格隆汇
1287,2020-12-01,裕同科技||业绩预告符合预期，短期扰动带来长期布局机会,吕明可选消费研究
1288,2020-12-01,家用电器行业：探寻大金工业年内股价亮眼表现的核心动因,新浪
1289,2020-12-01,家用电器行业2021年投资策略：坚守价值 关注成长,广发证券
1290,2020-11-30,稳健医疗||发布股权激励计划彰显信心，扩产能巩固领先地位,吕明可选消费研究
1291,2020-11-30,家用电器2020W47周观点：黑五销额增长转至线上 10月彩电传统品牌市场集中度提升,新浪
1292,2020-11-29,天风家电 | 黑五销额增长转至线上，10月彩电传统品牌市场集中度提升——2020W47周观点,小蔡看家电
1293,2020-11-27,家用电器行业-2020年10月家电零售和企业出货端数据解读：空调外销延续上涨势头 渠道库存处于历史低位,新浪
1294,2020-11-26,深度*行业*家电行业2021年投资策略：厚积薄发 行稳致远,新浪
1295,2020-11-26,石头科技：家电新势力如何构筑战略护城河？,新浪
1296,2020-11-25,扫地机器人品牌由利获数千万人民币天使轮融资,36氪
1297,2020-11-24,扫地机器人行业深度报告：从全球视角看国产品牌出海,方正证券
1298,2020-11-24,戴森已经不“香”了？质量问题频出，严重损害了消费者权益 产品问题,腾讯网
1299,2020-11-24,科沃斯机器人走向高端化,经济日报
1300,2020-11-23,家用电器行业周报：Q4小家电外销增长可期 白电出口景气度持续提升,新浪
1301,2020-11-23,家用电器行业周观点：10月外销势头强劲 海尔美的内外销领跑,新浪
1302,2020-11-22,天风家电 | 10月外销势头强劲，海尔美的内外销领跑——2020W46周观点,小蔡看家电
1303,2020-11-22,20年，扫地机器人的“需求”依旧在被验证？,36氪
1304,2020-11-22,富时罗素A股再扩容！新纳入1只券商股，外资年内净流入超1200亿元,Wind
1305,2020-11-20,富时罗素指数调整在即，北上资金年内净流入已超1200亿元,Wind
1306,2020-11-20,三季度清洁小家电:科沃斯、莱克、石头谁更强?,云掌财经
1307,2020-11-20,奥海科技：目前暂未与科沃斯和石头科技合作,格隆汇
1308,2020-11-20,民族品牌指数涨1.04% 科沃斯再创新高,上证报
1309,2020-11-19,民族品牌指数涨1.04% 科沃斯涨幅领先,上证报
1310,2020-11-19,AIoT生态进化，全球硬科技开发者大会（苏州）开启商业化新篇章,砍柴网
1311,2020-11-19,A股4个月盘局待解，券商机构称长牛驱动因素仍在,Wind
1312,2020-11-17,技术贴：“双十一”数据背后的细节【国金数据科学】,数据调查局
1313,2020-11-16,这批股票股价创新高 近半为北上资金加仓股,新浪
1314,2020-11-16,家电行业每周观点：“双11”总结 景气向好 百花齐放 精细化运营大势所趋,光大证券
1315,2020-11-16,天风家电 | 双十一家电市场总结：清洁电器表现亮眼，龙头品牌成交额领跑,小蔡看家电
1316,2020-11-15,家电双周报||Q4小家电外销增长可期，白电出口景气度持续提升,吕明可选消费研究
1317,2020-11-14,波司登||双十一全渠道表现出色，持续推进新零售运营和数字化转型,吕明可选消费研究
1318,2020-11-14,36氪首发| 开卖半年营收有望过亿，扫地机器人品牌「由利」获梅花创投数千万投资,36氪
1319,2020-11-13,科沃斯成不了戴森,格隆汇
1320,2020-11-13,扫地机器人登上“双十一”热销排行榜前列,21世纪经济报道
1321,2020-11-13,“双十一”扫地机器人火爆背后：宅经济与柔性产业链崛起,Wind
1322,2020-11-12,科沃斯(603486)2020年双11数据点评：“双11”数据再超预期 双品牌共驱高成长,新浪
1323,2020-11-12,扫地机器人火爆背后：宅经济与柔性产业链的崛起,21世纪经济报道
1324,2020-11-12,科沃斯双11全渠道成交超10.4亿元 继续领跑家用服务机器人行业,砍柴网
1325,2020-11-12,科沃斯：双11全渠道最终成交额超10.4亿元，同比增长33%,Wind
1326,2020-11-12,科沃斯双11全渠道最终成交额超10.4亿元 同比增长33%,中证网
1327,2020-11-12,服务机器人“攻占”零售业 搭载RFID技术一展身手,RFID世界
1328,2020-11-11,20Q3年家电行业资金仓位变动研究：三季度基金机构持仓继续维持阶段高位,新浪
1329,2020-11-11,浮盈近万亿创纪录！北上资金加仓榜解密赚钱秘诀,证券时报网
1330,2020-11-11,科沃斯撞石头，能否撞出“下一个格力”？,中国家电网
1331,2020-11-11,家电行业周报：大促利好内销 龙头有望受益,新浪
1332,2020-11-11,天猫峰值1秒成交58.3万笔！电商巨头们市值一夜蒸发万亿,Wind
1333,2020-11-09,九阳市场份额被互联网新锐蚕食，年轻化才能有所突破,新浪
1334,2020-11-09,调查显示：数字营销崛起 流媒体及智能大屏增长强劲,新华网
1335,2020-11-08,天风家电 |10月线上空调销售增速回落，厨电销售继续向好——2020W44周观点,小蔡看家电
1336,2020-11-08,家电双周报||行业Q3业绩显著改善，看好扫地机和白电龙头,吕明可选消费研究
1337,2020-11-07,375个天猫双十一行业冠军背后：新品牌迎来黄金十年,21世纪经济报道
1338,2020-11-07,家用电器行业：三季度基金持仓点评：增配白电进行时,新浪
1339,2020-11-07,需求强劲叠加业绩靓丽 家电板块乘风而起,投资快报
1340,2020-11-06,京东家电主推日刷新销售纪录 11.11下半场高端智能电器受青睐,金融界
1341,2020-11-06,单品成交排名第一！科沃斯引领空净迈入机器人时代,砍柴网
1342,2020-11-06,科沃斯机器人CTO吴牟雄：创新的水位线,南方人物周刊
1343,2020-11-06,萃弈（The Trade Desk）首次亮相进博会 发布全球智能大屏消费趋势及营销洞察白皮书,TechWeb
1344,2020-11-06,11月6日券商晨会研报汇编,证券日报
1345,2020-11-05,两大因素促小家电消费迎高潮 科沃斯稳居三大电商平台销冠,证券日报网
1346,2020-11-05,清洁家电怎么选 朋友，双十一爆火的科沃斯了解一下,砍柴网
1347,2020-11-05,科沃斯撞石头，能否撞出“下一个格力”？,锦缎
1348,2020-11-05,【家电】深度研究：分化与进化，家电复苏进行时 —— 20Q3三季报总结暨四季度行业观点,天风研究
1349,2020-11-04,科沃斯：以创新技术练就核心“内功”,经济网
1350,2020-11-04,云鲸扫地机器人、科沃斯榜上有名！扫地机器人十大排行榜出炉！,中华网
1351,2020-11-03,21测评丨31家券商11月金股出炉：首个交易日6只涨停，74只个股扎堆三大行业,21世纪经济报道
1352,2020-11-03,最惨下跌近40%！指数没怎么跌，有股民却亏大了,上证报
1353,2020-11-03,最惨下跌近40%：指数没怎么跌 有股民却亏大了,新浪
1354,2020-11-03,箱体震荡分化加剧：161家新高，278家新低,Wind
1355,2020-11-03,广发证券：从扫地机出海看中国家电企业全球竞争力,新浪
1356,2020-11-03,外贸强势“复活”、A股公司受益 订单激增鼓了谁的“腰包”？,第一财经
1357,2020-11-03,京东11.11首日家电销售暴增 带动A股白电、家用电器板块领涨,金融界
1358,2020-11-03,快讯：白色家电板块早盘高开 科沃斯等股表现活跃,新浪
1359,2020-11-03,A股早报2020年11月3日星期二,Wind
1360,2020-11-02,健盛集团||疫情影响前三季度业绩承压，订单回流期待业绩回弹,吕明可选消费研究
1361,2020-11-02,裕同科技||业绩短期波动不改长期趋势，多元布局稳步发展,吕明可选消费研究
1362,2020-11-02,家用服务机器人迎来拐点：谁将成为行业领军者,云掌财经
1363,2020-11-02,机械行业扫地机器人行业专题：国内海外景气共振 扫地机器人龙头季报全面超预期,新浪
1364,2020-11-02,双11销售火爆，家电股集体大涨,每日经济新闻
1365,2020-11-02,销量最高猛涨1000%，小家电“爆单”模式开启！龙头股强势涨停，概念股名单曝光,证券时报网
1366,2020-11-02,涨停复盘 | 新能源汽车产业链全线爆发 江铃汽车4天3板,第一财经
1367,2020-11-02,氪星晚报 | 百度关联公司申请“百度云手机”商标；携程宣布新高管任命；苹果订阅捆绑服务Apple One已上线,36氪
1368,2020-11-02,美的、科沃斯等今日走高，在苏宁双十一悟空榜中品牌销售额第一,36氪
1369,2020-11-02,股价暴涨业绩回暖，但科沃斯高兴不起来,36氪
1370,2020-11-02,涨停板解密：强势回归，三板块个股受资金大力追捧！（11月2日）,Wind
1371,2020-11-02,【研报掘金】家电板块需求和景气度有望继续提升 机构推荐三条投资主线,证券时报网
1372,2020-11-02,A股家电板块持续拉升，天猫双11引爆家电3C市场,天下网商
1373,2020-11-02,民族品牌指数上涨1.15% 科沃斯涨停,上证报
1374,2020-11-02,A股收盘综述：指数平静下个股大分化，上证指数微红报收、中金公司首日涨31%,Wind
1375,2020-11-02,双十一开门红首战告捷 科沃斯家用机器人三大品类再度领跑,砍柴网
1376,2020-11-02,家电板块强势拉升 ，科沃斯涨停，美的集团再创新高,证券时报网
1377,2020-11-02,家电板块午后继续走高，美的集团大涨8%刷新高,Wind
1378,2020-11-02,新华社民族品牌指数多只成分股表现强势,中证报
1379,2020-11-02,A股业绩超预期50强出炉 三大原因引发业绩爆棚,证券时报
1380,2020-11-02,扫地机器人销售火爆 龙头公司股价飙涨,证券时报
1381,2020-11-02,【太平洋机械】机械行业周报20201101：产品创新推动扫地机器人业绩超预期，关注商用机器人扩张,太平洋机械大讲堂
1382,2020-11-01,天风家电 | 三季报收官，大家电营收水平环比改善——W43周观点,小蔡看家电
1383,2020-11-01,股价翻倍盛宴：扫地机器人疯狂了 科创板“股王”飙涨200%,e公司
1384,2020-11-01,天猫双11：111分钟100个品牌成交超1亿元,Wind
1385,2020-10-30,石头科技||Q3业绩大超市场预期，境外收入持续高增长,吕明可选消费研究
1386,2020-10-30,思摩尔国际||盈利能力继续提升，2020Q3扣非后利润再超预期,吕明可选消费研究
1387,2020-10-30,扫地机器人需求暴增：旺季为抢原料蹲供应商产线，国内产品均价同比涨超10%,每日经济新闻
1388,2020-10-30,开卖半年营收有望过亿，「由利」认为在2倍速增长的扫地机器人仍有新品牌机会,36氪
1389,2020-10-29,公牛集团||Q3业绩强势复苏，继续看好全年表现,吕明可选消费研究
1390,2020-10-29,消费复苏！马太效应显著，家电龙头再创新高,Wind
1391,2020-10-28,顾家家居||2020Q3业绩超出预期，下游需求有望继续回暖,吕明可选消费研究
1392,2020-10-28,【东北机械刘军/朱宇航】科沃斯（603486）三季报点评：两大自主品牌发力，业绩保持高增长,东北证券研究所
1393,2020-10-28,民族品牌指数涨0.48% 寿仙谷前三季净利增17.53%,上证报
1394,2020-10-27,九阳股份||2020Q3公司收入端快速增长，利润端略低于预期,吕明可选消费研究
1395,2020-10-27,公募+社保联合减持超300亿，这只疫苗龙头透露大消息！绩优龙头股名单来了，估值低至5倍 减持股份,证券时报网
1396,2020-10-27,7只大市值股今日创新高,第一财经
1397,2020-10-27,科沃斯(603486)2020年三季报点评：自主品牌成效显著 龙头表现再上台阶,新浪
1398,2020-10-27,科沃斯：战略转型成效显著，自有品牌快速增长【国信机械】,机械老司机
1399,2020-10-27,A股早报2020年10月27日星期二,Wind
1400,2020-10-27,科沃斯营收净利双增 自有品牌发力推动市值超300亿,新浪
1401,2020-10-26,机构最新策略净买入9股 净卖出11股 四股成热门,证券时报
1402,2020-10-26,天猫双11预售5日榜单：波司登 李宁 欧莱雅 科沃斯第一,亿邦动力
1403,2020-10-26,涨停复盘 | 金融股拖累指数，充电桩掀涨停潮,第一财经
1404,2020-10-26,科沃斯前三季度净利同比增逾1.4倍 “三驾马车”打造新的业绩增长点,证券日报网
1405,2020-10-26,科沃斯前三季度净利大增147% “三驾马车”技术创新领跑行业,证券时报网
1406,2020-10-26,两大自有品牌齐发力 科沃斯前三季度净利大增147%,上证报
1407,2020-10-26,科沃斯业绩超预期今日涨停，机构对敲,Wind
1408,2020-10-26,涨停板解密：资金追捧，两板块火热上攻！（10月26日）,Wind
1409,2020-10-26,科沃斯(603486)：科沃斯＋添可双轮驱动 营收业绩双超预期,新浪
1410,2020-10-26,涨停秘钥：低位滞涨股再成市场焦点,巨丰财经
1411,2020-10-26,民族品牌指数下跌0.74% 科沃斯涨停,上证报
1412,2020-10-26,机器人概念尾盘异动拉升 科沃斯涨停,中国经济网
1413,2020-10-26,科沃斯(603486)2020年三季报点评：自有品牌和海外业务发力 三季度多项数据超预期,新浪
1414,2020-10-26,家用电器2020W42周观点：双十一清洁电器预售销量突出 继续看好小家电板块,新浪
1415,2020-10-26,【太平洋机械】扫地机器人行业点评：iRobot第三季度业绩超预期，全球需求较快增长,太平洋机械大讲堂
1416,2020-10-26,【华创家电】科沃斯：自主品牌成效显著，龙头表现再上台阶,一超家电研究
1417,2020-10-25,天风家电 | 双十一清洁电器预售销量突出，继续看好小家电板块——2020W42周观点,小蔡看家电
1418,2020-10-25,科沃斯 | 点评：自主品牌持续发力，三季度业绩实现高增,透视先进制造
1419,2020-10-25,科沃斯(603486)：自主品牌放量 Q3收入超预期,新浪
1420,2020-10-25,家电双周报||小家电板块Q3业绩优异，电商旺季有望再创佳绩,吕明可选消费研究
1421,2020-10-25,轻工双周报||家具零售增速显著回暖，继续推荐定制家居龙头 - 拷贝,吕明可选消费研究
1422,2020-10-25,科沃斯(603486)2020年三季报点评：新一轮增长周期开启 技术升级打开空间,新浪
1423,2020-10-24,科沃斯||2020Q3业绩超预期：自有品牌均实现高增长，盈利能力如期提升,吕明可选消费研究
1424,2020-10-24,天猫精灵“经济体”,雷锋网
1425,2020-10-24,天猫精灵走出智能音箱 “大脑移植”计划听起来很美,36氪
1426,2020-10-24,科沃斯(603486)2020三季报业绩点评：自主品牌双轮驱动 Q3超预期,新浪
1427,2020-10-23,石头科技的隐忧：智能扫地机器人前有高山 后有追兵,GPLP犀牛财经
1428,2020-10-23,科沃斯公布三季报 前三季净利增加147.17%,新浪
1429,2020-10-23,科沃斯(603486.SH)：拟开展不超1亿美元的金融衍生品交易业务,格隆汇
1430,2020-10-23,科沃斯(603486.SH)前三季度净利润升147.17%至2.5亿元,格隆汇
1431,2020-10-23,科沃斯：前三季度净利润同比增长147.17%,Wind
1432,2020-10-23,家中洁净不动手 1块钱带走张雨绮的双十一智享清洁之选,砍柴网
1433,2020-10-23,Aqara联合科沃斯提升智能家居自动化体验,北国网
1434,2020-10-23,天猫精灵宣布战略升级：“走出音箱” AI灵魂可随处安放,亿邦动力
1435,2020-10-23,家电新时代：扫地机器人异军突起的启示,新浪
1436,2020-10-22,每日研报干货专享：等待盈利预期上升后的下一轮投资机会,巨丰财经
1437,2020-10-22,天猫精灵看到终局 智能音箱三巨头渐行渐远,亿邦动力
1438,2020-10-22,每日研报干货专享：新消费迎来政策风口 持续关注顺周期板块,巨丰财经
1439,2020-10-22,家电行业9月数据点评：需求回，线上高增，维持“增持”评级,中泰证券
1440,2020-10-21,石头科技||新品配件全面升级H6，预计Q3继续维持较高增速,吕明可选消费研究
1441,2020-10-20,这类产品卖爆了！中国企业订单激增，工厂疯狂招工,每日经济新闻
1442,2020-10-20,扫地机器人有用吗？,工业电器网
1443,2020-10-19,开润股份∣∣与阿里战略合作，打造C2M闭环,吕明可选消费研究
1444,2020-10-19,A股首单CDR今日申购，多家公募密集修订合同将存托凭证纳入投资范围,21世纪经济报道
1445,2020-10-19,策略丨关注三季报投资机会,Tebon好投资
1446,2020-10-19,新华社民族品牌指数多只成分股获北向资金增持,中证报
1447,2020-10-16,AI创未来，2020吴中高新区人工智能产业峰会圆满结束,亿欧网
1448,2020-10-16,想要让家里的每一方空气都是新鲜的 沃斯沁宝Andy空气净化机器人你值得拥有,砍柴网
1449,2020-10-16,“懒人经济”推动“扫地双雄”频创新高,中证报
1450,2020-10-15,民族品牌指数涨0.08% 科沃斯涨停,上证报
1451,2020-10-15,富途证券：胡润中国10强家电企业榜单来袭，董明珠、雷军“上榜”！,凤凰网
1452,2020-10-15,Trax与科沃斯商用机器人携手共拓中国智能零售大市场,砍柴网
1453,2020-10-15,家电股拉升，新宝股份、科沃斯封住涨停,Wind
1454,2020-10-15,Trax与科沃斯商用机器人达成战略合作,Wind
1455,2020-10-14,"科沃斯沁宝Ava使用体验,全屋净化真的可以实现",慧聪电子网
1456,2020-10-14,家电行业周报：需求改善 积极布局,新浪
1457,2020-10-14,美的集团以5100亿成全球最值钱家电企业 格力、海尔紧随其后,中证网
1458,2020-10-14,5100亿元！美的成全球最值钱家电企业！格力、海尔紧随其后,中证报
1459,2020-10-14,小熊电器||前三季度业绩高速增长，Q4电商旺季有望再创佳绩,吕明可选消费研究
1460,2020-10-14,【国信机械10月策略】季报行情将至，关注产业趋势向上细分行业投资机会,机械老司机
1461,2020-10-14,值得关注的是，董明珠的格力电器与雷军早年投资的石头科技均在榜单之上！,富途证券
1462,2020-10-14,2020中国10强家电企业排定，海尔智家以1860亿价值跻身前三,鲁网
1463,2020-10-14,新宝股份||2020Q3业绩超预期，自主品牌拉动内销高速增长,吕明可选消费研究
1464,2020-10-14,《2020胡润中国10强家电企业》榜单发布：美的成为中国及全球最值钱家电企业,Wind
1465,2020-10-12,天猫精灵“走出”智能音箱，大隐隐于AIoT,36氪
1466,2020-10-12,【家电】国内家电企业如何在海外市场“乘风破浪”？,天风研究
1467,2020-10-12,《2020胡润中国10强消费电子企业》榜单发布,Wind
1468,2020-10-11,中顺洁柔||2020Q3业绩预告维持高增，积极关注三个预期差,吕明可选消费研究
1469,2020-10-11,机械设备行业研究周报：IFR对未来三年工业机器人前瞻乐观 光伏+锂电仍为成长主线,新浪
1470,2020-10-09,2020年中国扫地机器人行业市场现状及发展前景分析 预计2024年零售规模将近130亿元,前瞻研究院
1471,2020-10-09,家电轻工行业周报：国庆假期家电销售如火如荼 关注MDI等原材料涨价,华安证券
1472,2020-10-09,家电行业2020年三季报业绩前瞻：拐点确立 拾级而上,新浪
1473,2020-10-08,家电双周报||国庆掀起家电消费热潮，继续坚守长逻辑核心标的,吕明可选消费研究
1474,2020-10-08,天风家电|黄金周大家电销售复苏，线上厨小电和清洁电器领跑市场——2020W39周观点,小蔡看家电
1475,2020-10-07,家电行业2020年中报总结：空调厨电可选复苏，小家电高景气继续，给予“看好”评级,申万宏源
1476,2020-10-06,AI机器视觉技术及产品研发商“感图科技”完成A轮融资，熠美投资领投,猎云网
1477,2020-10-05,家用电器行业专题研究：行业整体Q3环比改善 龙头业绩值得期待,新浪
1478,2020-10-04,天风家电 | 2020三季报前瞻：行业整体Q3环比改善，龙头业绩值得期待,小蔡看家电
1479,2020-09-29,家电行业2020年中报总结：空调厨电可选复苏 小家电高景气继续,新浪
1480,2020-09-28,专访添可智能科技总经理庄建华：新赛道上的“她力量”,中国网
1481,2020-09-28,千股遭减仓，北上资金本周连卖5天，茅台“风向”有变？,证券时报网
1482,2020-09-28,新华社民族品牌指数多只成分股 获北向资金增持,中证报
1483,2020-09-27,家用电器行业投资策略周报：清洁小家电尚处起步阶段 加速普及正当时,广发证券
1484,2020-09-27,机械行业周报：工程机械销售数据强劲 继续重点推荐行业龙头,新浪
1485,2020-09-27,家用电器行业-W38周观点行业研究周报：周度全渠道销额增速上升 8月彩电尺寸结构加速大屏化,新浪
1486,2020-09-27,天风家电 | 周度全渠道销额增速上升，8月彩电尺寸结构加速大屏化——W38周观点,小蔡看家电
1487,2020-09-27,北向资金本周减仓近1000只股票！这些股票被逆势加仓,中证报
1488,2020-09-26,阿里CCO上线“逆向增值”服务，天猫双11帮商家多赚3亿,21世纪经济报道
1489,2020-09-24,外围大跌A股调整加速，两大聪明资金押注传统行业,Wind
1490,2020-09-24,开润股份||参股优衣库核心供应商，2B业务剑指A股小申洲,吕明可选消费研究
1491,2020-09-24,中泰证券：8月家电行业稳健复苏 建议把握两条投资主线（附股）,证券时报网
1492,2020-09-22,科沃斯机器人荣膺“金禧奖·2020非凡创新榜样企业”,投资家
1493,2020-09-21,【太平洋机械】扫地机器人行业点评：行业天花板不断打开，龙头企业持续增长,太平洋机械大讲堂
1494,2020-09-21,新华社民族品牌指数多只成分股表现强势,中证报
1495,2020-09-20,天风家电 | 8月空调行业总量表现平稳，线下大家电周度销额增速转负为正——W37周观点,小蔡看家电
1496,2020-09-18,民族品牌指数涨1.70% 科沃斯领涨,上证报
1497,2020-09-18,家电行业点评：扫地机Q3持续提速,新浪
1498,2020-09-18,A股早报2020年9月18日星期五,Wind
1499,2020-09-17,科沃斯龙虎榜数据（9月17日）,Wind
1500,2020-09-17,龙虎榜动向：3股机构及北向资金集体净买入,证券时报网
1501,2020-09-17,民族品牌指数跌1.47% 科沃斯涨停,上证报
1502,2020-09-16,科利实业（1455 . H K）：从个人护理电器到智能马桶盖，构建外贸内需双循环,TechWeb
1503,2020-09-15,会自己走的空气净化器 科沃斯沁宝Ava测评,牛华网
1504,2020-09-14,离年轻人更近的小家电，离天花板还有多远？,亿欧网
1505,2020-09-13,家电及相关：海外需求提速 国内市场竞争格局改善,新浪
1506,2020-09-11,科沃斯(603486.SH)：向170名激励对象授予134.35万股限制性股票,格隆汇
1507,2020-09-11,20Q2家电行业资金仓位变动研究：二季度机构资金更偏好厨小家电,新浪
1508,2020-09-11,美的的镰刀,锦缎
1509,2020-09-10,家电行业半年报综述：疫情影响逐渐消除 市场需求迎来释放,新浪
1510,2020-09-09,吸尘器赛道分化：竞争与竞争力的“博弈论”,云掌财经
1511,2020-09-09,家用电器行业：沉舟侧畔千帆过 病树前头万木春,财富动力网
