,2021-12-31,春秋航空：公司及参股公司目前不涉及元宇宙相关内容,Wind
2097,2020-07-13,民航业上半年客量“腰斩”：行业亏损逐月递减，航司各出奇招提前收拢现金流 行业恶化,华夏时报
2098,2020-07-13,交运行业周报：民航二季度减亏 中韩航线突破“五个一”政策,新浪
2099,2020-07-13,交通运输行业周报：布局底部周期品种 关注中报高增长个股,新浪
2100,2020-07-13,民航局召开新闻发布会 航空业或临需求拐点,新浪
2101,2020-07-13,7月10日，春秋航空张掖=上海航线复航成功,民航资源网
2102,2020-07-13,浦东机场恢复六成国内客流 常态防疫措施全覆盖,民航资源网
2103,2020-07-12,鄂州机场建设加快，关注民航客流恢复【安信交运丨周报0712】,明兴交运研究
2104,2020-07-12,交通运输行业周报：鄂州机场建设加快 关注民航客流恢复,新浪
2105,2020-07-11,浙商周期组 | 周期行业2020年中报前瞻,浙商证券研究所
2106,2020-07-11,陆家嘴财经早餐2020年7月11日星期六,Wind
2107,2020-07-10,TD晚报｜航空市场二季度整体亏损342.5亿元；小猪战略合作小红书,环球旅讯
2108,2020-07-10,上半年民航业巨亏740亿，民航局称航司将获百亿减负,Wind
2109,2020-07-10,上半年民航业巨亏740亿，航司将获百亿减负 重大损失,第一财经
2110,2020-07-10,全行业半年亏损超740亿 逐步减亏的民航业单月盈利时机将至 亏损,每日经济新闻
2111,2020-07-10,全球18家航司破产！疫情下航司花式“自救”能否带来生机？ 减资破产,民航资源网
2112,2020-07-10,春秋推3款“随心飞”礼包，吉祥推无限次升舱产品,Wind
2113,2020-07-10,春秋航空启动低价促销 航企各持“撒手锏”杀入“随心飞”战局,北京商报
2114,2020-07-10,快讯：免税概念板块表现抢眼涨逾6% 平潭发展等5只概念股涨停,证券日报
2115,2020-07-10,推不限次套餐 “高大上”的航空公司接地气营销能否“自救”？,工人日报
2116,2020-07-09,航空公司纷纷“随心飞”，看似用户薅羊毛，最后谁在占便宜？,财经杂志
2117,2020-07-09,春秋航空(601021.SH)当年累计新增借款超上年末净资产20% 大额借贷担保,格隆汇
2118,2020-07-09,春秋航空：当年累计新增借款占上年末净资产的24.92% 大额借贷担保,Wind
2119,2020-07-08,国内航空旅客量逐渐复苏 五股迎来新的布局,证券时报
2120,2020-07-08,全球疫情下的民航半年报：航班量同比下降46.63% 准点率创新高 盈利能力下降,民航资源网
2121,2020-07-08,国内航空旅客量逐渐复苏 航空机场板块迎布局良机,证券时报网
2122,2020-07-08,【安信交运】航空仍在左侧，看好板块估值修复,明兴交运研究
2123,2020-07-08,春秋航空也将推“随心飞” 能飞港澳台、国庆也适用 其中一款包含托运行李额,民航资源网
2124,2020-07-07,春秋航空承运首个赴泰中资企业复工复产团,民航资源网
2125,2020-07-07,中信证券：2021年国内三大航基本面有望大幅好转、重构繁荣,证券时报网
2126,2020-07-07,交运｜从航司角度看供给：现金流风险为最大障碍，或迎3年飞机低供给,中信证券研究
2127,2020-07-06,交通运输行业周报：北京低风险区域出京限制放松 航空需求加速复苏息,新浪
2128,2020-07-06,海航“随心飞”今日起售，APP访问量激增导致无法正常访问,环球旅讯
2129,2020-07-06,飞行套餐、直播卖货、革新机型……全球航空业疫情下探索新机遇,民航资源网
2130,2020-07-05,东航随心飞第二个周末热力指数 成都成热点,民航资源网
2131,2020-07-05,快递企业中报前瞻【安信交运丨周报0705】,明兴交运研究
2132,2020-07-05,航空业变局 | 3322元全国随意飞？各大航司拼了,央视
2133,2020-07-05,爆料：川航2999元限20次？春秋2999无限飞！,微信
2134,2020-07-05,只要3322元，全国随意飞一年？航空公司拼了,央视财经
2135,2020-07-03,【平安交运】2020年交运行业中期报告：航空、机场左侧布局，快递行业增长趋势明确,平安研究
2136,2020-07-03,交通运输行业2020年度中期策略：逆势与逆境,新浪
2137,2020-07-03,【异动股】免税概念板块拉升，腾邦国际(300178-CN)涨停,财华社
2138,2020-07-02,春秋航空(601021.SH)年报推10派2.0006元 股权登记日7月8日,格隆汇
2139,2020-07-02,地产爆发，低估值、高股息率、低持仓性价比凸显,新浪
2140,2020-07-02,春秋航空：旗下公司经营范围包括免税品,第一财经
2141,2020-07-02,春秋航空：参股公司春秋中免经营机上免税品销售业务,e公司
2142,2020-07-02,春秋航空：参股的上海春秋中免免税品有限公司经营范围含免税品,格隆汇
2143,2020-07-02,春秋航空：上海春秋中免免税品有限公司可以经营免税品业务,格隆汇
2144,2020-07-01,离岛免税政策7月1日起实施 中国中免等免税概念股持续受热捧,证券日报
2145,2020-07-01,7月1日起潮汕机场新增加密重庆、南宁、海口等多条航线,民航资源网
2146,2020-07-01,春秋航空:与中国中免合资运营上海春秋中免免税品,投资家
2147,2020-07-01,【中原策略】中原证券2020年7月十大金股组合：2020年第七期：7月1日-7月31日,中原证券研究所
2148,2020-06-29,70股每笔成交量增超50%,证券时报网
2149,2020-06-29,618电商需求旺盛，东航推出“随心飞”产品【安信交运丨周报0621】,明兴交运研究
2150,2020-06-29,韩航空公司仁川至北京航线7月仍停飞,环球旅讯
2151,2020-06-28,端午假期客流平稳，持续推荐快递板块【安信交运丨周报0628】,明兴交运研究
2152,2020-06-28,交通运输行业周报：端午期间快递包裹量投递同比增长47.68%,新浪
2153,2020-06-28,今年前五个月全国民航旅客量1.17亿人次，同比下降56.54%,环球旅讯
2154,2020-06-28,7家航空公司的18条国内航线于近日获得经营许可,民航资源网
2155,2020-06-26,“随心飞”就能救民航？,和讯
2156,2020-06-24,春秋航空(601021.SH)：2019年度利润分配方案每股分配比例调整为0.20006元,格隆汇
2157,2020-06-24,春秋航空：正在持续和各方就大兴机场的时刻申请进行沟通,中国证券网
2158,2020-06-24,“周末随心飞”与花式“止痛” 航企静待春天再来,证券日报
2159,2020-06-23,智云携手春秋航空、小影开启新一季云端旅行人计划,砍柴网
2160,2020-06-22,东航推3322元半年周末随心飞 消费者吐槽买不到 疫情之下航空业自救众生相,金融投资报
2161,2020-06-22,交运行业周报：618快递业务量高景气 东航“随心飞”产品热销,新浪
2162,2020-06-22,光大证券交通运输行业2020年下半年投资策略：否极泰来 需求复苏,金融界
2163,2020-06-22,从“周末随心飞” 看航企的花式自救,第一财经
2164,2020-06-21,半年三千元 周末国内随便飞？航空公司花式自救套路多,时代周报
2165,2020-06-20,广联达——以数字的画笔描绘建筑业转型蓝图,巨丰财经
2166,2020-06-19,航空行业5月数据点评：国内需求快速恢复，航司现金流压力显著缓解，维持“看好”评级,东兴证券
2167,2020-06-18,端午小长假出游预定小幅增长，上海广州成热门出发地和目的地,澎湃新闻
2168,2020-06-18,春秋航空(601021.SH)：拟回购注销26.5万股限制性股票,格隆汇
2169,2020-06-18,5月上市航司经营数据点评：国内市场供需同比降幅收窄 春秋继续领跑行业,新浪
2170,2020-06-18,中原证券金股组合收益率超40%,中原证券研究所
2171,2020-06-18,【东北交运瞿永忠/杨振华】航空5月数据点评：供给修复快于需求修复，春秋航空表现优异,东北证券研究所
2172,2020-06-17,交通运输2020年中期策略：需求回暖，博弈周期弹性，维持“中性”评级,华泰证券
2173,2020-06-17,十张图带你了解民航业市场竞争格局分析 四大集团瓜分市场,前瞻研究院
2174,2020-06-17,东北证券：航空板块供给修复快于需求修复,新华网
2175,2020-06-17,广联达27亿元豪华定增对象出炉 高瓴和瑞银杀入,e公司
2176,2020-06-16,2H20策略：短期看航空航运估值修复，中期看快递公路增长回报,杨鑫交运观点
2177,2020-06-16,5月春秋航空客座率75.53%排第一 东航旅客、货邮运输量环比增长最快,民航资源网
2178,2020-06-16,华创事件驱动早报6-16：抗疫特别国债启动发行；字节跳动申请数字银行牌照,华创证券研究
2179,2020-06-16,国内上市航司发布5月运营数据，国内航线进一步复苏,环球旅讯
2180,2020-06-16,5月航空数据点评|供给修复快于需求修复，春秋航空表现优异,老瞿研究
2181,2020-06-16,航空运输业2020年5月经营数据点评：5月国内航线需求恢复明显 疫情反复不改客运需求恢复趋势,光大证券
2182,2020-06-15,北京疫情反弹波及股市 航空股跌幅明显,福布斯
2183,2020-06-15,交运行业周报：5月快递增速创新高 东航吉祥组建三亚国际航空,新浪
2184,2020-06-15,春秋航空5月货邮载重量同比增43.16%,民航资源网
2185,2020-06-15,【股市复盘】两市指数午后走低沪指跌1.02% 医疗相关板块涨幅居前,上海有色
2186,2020-06-15,春秋航空：5月旅客周转量同比减少34.49%,格隆汇
2187,2020-06-15,春秋航空(601021.SH)：5月客运量环比增46.63%同比降29.53% 盈利能力下降,格隆汇
2188,2020-06-15,全球情绪突然恶化！A股午后遭遇一波急跌、资金开始出逃 短线人气回落,FX168
2189,2020-06-15,美期指跳水跌超3%，A股跌破2900点，WTI原油期货跌超5%,上游新闻
2190,2020-06-15,【股市午评】两市指数分化创指强势上涨逾2% 医疗器械涨幅居前,上海有色
2191,2020-06-15,机场航运板块集体走弱 白云机场、春秋航空、上海机场跌逾3％,金融界
2192,2020-06-14,5月快递业务量增速超40%，国泰航公布重组计划【安信交运丨周报0614】,明兴交运研究
2193,2020-06-12,【国盛交运张俊】5月快递件量增速超40%，持续推荐龙头企业,四通八达
2194,2020-06-12,6月12日-27日 绵阳飞上海航班每天四班,民航资源网
2195,2020-06-11,白云机场国内航班可“一证通关” 旅客凭身份证即可登机,南方网
2196,2020-06-11,华夏航空与中国商飞战略合作，拟引进、运营100架国产飞机，或进一步释放成长潜力,21世纪经济报道
2197,2020-06-11,ARJ21商业运营模式的探索,民航资源网
2198,2020-06-11,白云机场：T1航站楼推行国内航班“一证通关”,中证网
2199,2020-06-10,航空业复苏加快最差底部已确认 六股迎机遇,证券时报
2200,2020-06-10,全覆盖！6月11日起在白云机场T1乘坐国内航班也可“一证通关”啦,民航资源网
2201,2020-06-10,交通运输行业2020年中期策略：中国抢跑全球非同步复苏,新浪
2202,2020-06-10,【研报掘金】航空业复苏加快最差底部已确认 航空股有望迎估值拐点,证券时报网
2203,2020-06-08,航空运输业动态点评：最差底部已确认 耐心等待行业反转,新浪
2204,2020-06-08,外企高管开始包机返华：上海需隔离2天，北京至少14天,财经杂志
2205,2020-06-08,44股今日获机构买入评级,证券时报网
2206,2020-06-08,春秋航空推出上海等13城经兰州飞克拉玛依航线,民航资源网
2207,2020-06-08,【有声早报】华龙证券6月8日财经早报,华龙掘金
2208,2020-06-08,国盛证券：国内航司估值底部显现 重点关注春秋航空等,证券时报网
2209,2020-06-08,【国盛交运张俊】行业点评（航空）-破产危机解除，美国航司大涨,四通八达
2210,2020-06-08,民航客流持续复苏，全球商业航班数量回升，机构建议布局航空板块,证券时报网
2211,2020-06-08,【国元资讯早班车】精选层落地箭在弦上！,国元证券订阅号
2212,2020-06-08,6月8日操盘必读：影响股市利好与利空消息,新浪
2213,2020-06-08,航空客流持续复苏 航空板块将迎来修复机会,证券时报网
2214,2020-06-07,国内民航业务快速恢复 航空板块望迎来较大业绩弹性,e公司
2215,2020-06-07,A股明日风口：联通与华为签署空天地一体化合作协议,新浪
2216,2020-06-07,快递需求超预期，航空客流恢复近六成 【安信交运丨周报0607】,明兴交运研究
2217,2020-06-07,【交运】春秋航空：解密低成本基因，春秋缘何具备独一档的盈利能力,天风研究
2218,2020-06-06,克拉玛依机场将开通宁波-兰州-克拉玛依往返航班,民航资源网
2219,2020-06-06,停飞期间收入骤减 空姐走进直播间 盈利能力下降,经济观察网
2220,2020-06-05,北京调降疫情风险等级，旅游板块能否来一波连阳？ 投资评级恶化,中国财富网
2221,2020-06-05,【股市复盘】两市指数尾盘拉升沪指涨0.40% 机场航运板块表现强势,上海有色
2222,2020-06-05,巨·热点｜市场调整引风格切换 热点题材开始降温 谁是未来主焦点？,巨丰财经
2223,2020-06-05,微信「支付分」正式上线：对标「蚂蚁信用」,搜狐
2224,2020-06-05,A股三大指数集体收红航空股大涨,中新经纬
2225,2020-06-05,收评：三大指数下探回升沪指涨0.4% 机场航运板块强势,新浪
2226,2020-06-05,巨丰收评：市场缩量反弹 券商成关键先生,巨丰财经
2227,2020-06-05,机场航运盘中全线走强 华夏航空涨停,中国经济网
2228,2020-06-05,继微信版“花呗”之后，微信版“芝麻信用分”也终于上线了,钛媒体
2229,2020-06-05,【异动股】民航机场板块拉升，华夏航空(002928-CN)涨9.19%,财华社
2230,2020-06-05,大逆转！巴菲特割肉割错了？美股、A股航空板块联袂大涨,上证报
2231,2020-06-05,【国盛交运张俊】民航持续恢复，快递业务量维持高增长,四通八达
2232,2020-06-05,大逆转！巴菲特割肉割错了？美股、A股航空板块联袂大涨！,中国证券网
2233,2020-06-05,隔夜美股航空股全线飙升，国内航空股估值待修复强势反弹,老虎证券
2234,2020-06-05,巨丰午评：地摊经济退潮 市场高位横盘,巨丰财经
2235,2020-06-05,快讯：民用航空板块早盘崛起涨4.15% 2.55亿元资金涌入抢筹,证券日报
2236,2020-06-05,微信支付分正式上线：马化腾在朋友圈四处挑战 10分钟后被打败,金融界
2237,2020-06-05,今年地方金融组织新增资本55.3亿元,天津政务网
2238,2020-06-05,安信证券：航空机场受疫情影响最严重的时期已经过去,证券时报网
2239,2020-06-05,【异动股】民航机场板块高开，中国国航(601111-CN)涨2.68%,财华社
2240,2020-06-05,快讯：机场航运板块拉升走强 华夏航空拉升涨停,新浪
2241,2020-06-05,航空股早盘大涨 华夏航空涨超9%,e公司
2242,2020-06-05,飙升50%！美国航空股大涨，民航机场估值有待修复,证券时报网
2243,2020-06-05,航空行业动态分析：民航国际客运航班调整 关注国际客流拐点,新浪
2244,2020-06-04,微信支付分查询入口开通，“先享后付”享便捷生活,北国网
2245,2020-06-04,航司航班量比4月增加7.7万班次 山航成中国最准点的大型航司,民航资源网
2246,2020-06-04,六家航空公司合计预亏千亿元 预亏,中证报
2247,2020-06-03,中国短期融资券及中期票据信用分析周报,新浪
2248,2020-06-03,短途开航，提速值机！ 春秋航已恢复95%国内航班,中国民航网
2249,2020-06-03,【行业动态】交运 2020.5丨继续推荐高成长性的快递板块，关注航空板块的阶段性修复机会,中国银河证券研究
2250,2020-06-03,银河证券：关注航空板块的阶段性修复机会 建议关注春秋航空等,证券时报网
2251,2020-06-02,交通运输行业2020年中期投资策略：高速驶向未来 航空绝处逢生,新浪
2252,2020-06-02,中原证券：5月金股组合盈利1.65% 6月荐股名单出炉,新浪
2253,2020-06-02,交运｜航空：供给上游篇—3年飞机或低供给，助力重构繁荣,中信证券研究
2254,2020-06-01,交通运输行业周报：国际线或迎边际好转 关注春秋和上机,新浪
2255,2020-06-01,6月喜迎开门红，六绝“魔咒”要打破？过去十年6月A股这样表现,证券时报网
2256,2020-06-01,滴滴出行、山西汾酒、去哪儿网等入选品质消费领导者组织,新浪
2257,2020-06-01,【中原晨会0601】6月十大金股组合、月度策略、固定收益定期,中原证券研究所
2258,2020-06-01,【朝闻国盛0601】6月配置建议&金股推荐,国盛证券研究所
2259,2020-05-31,快递需求有望持续强劲，关注航空客流复苏【安信交运丨周报0531】,明兴交运研究
2260,2020-05-31,交通运输行业周报：快递需求有望持续强劲 关注航空客流复苏,新浪
2261,2020-05-30,今年以来天津地方金融组织新增资本55.3亿元,中国金融信息网
2262,2020-05-30,一份民航界提案的背后：目标减亏，为常态化做好准备,经济观察网
2263,2020-05-30,拉动内需 滞涨消费股有望后来居上,金融投资报
2264,2020-05-29,央行三日6600亿逆回购，白酒机场反弹！中石油市值跌至7778亿,搜狐
2265,2020-05-29,5月收官战A股翻红创指涨1.54%短线氛围好转下周有望企稳,财华社
2266,2020-05-29,【国盛交运张俊】国内民航旅客发送量持续恢复，国际航线有望边际增长,四通八达
2267,2020-05-29,出行需求回暖，部分航线客座率超70%,Wind
2268,2020-05-29,出行需求回暖 部分航线客座率超70%,央视
2269,2020-05-28,最新航司“四率”排名出炉，春秋航空再度荣获4A全优！,微信
2270,2020-05-28,春秋航空：“16春秋01”2020年第一次债券持有人会议未能形成有效决议,Wind
2271,2020-05-28,天津市金融局：今年以来共批准设立16家地方金融组织,和讯
2272,2020-05-28,春秋航空董事长王煜：疫情对航空业影响还将延续一段时间,澎湃新闻
2273,2020-05-28,今年全国两会期间澎湃新闻企业家访谈合集,澎湃新闻
2274,2020-05-28,周四机构一致看好的七大金股（05.28）,中金在线
2275,2020-05-28,华夏航空(002928)支线航空商业模式再探讨：支线运营亦有相对壁垒 模式加成预计公司或率先实现盈利,新浪
2276,2020-05-27,5000亿！减税降费再加码！营商环境也要优化！两会为民营企业发展注入信心,国际金融报
2277,2020-05-27,代表委员热议：疫情下旅游业如何走出困境,北京商报
2278,2020-05-27,春秋航空董事长王煜：民企是救援体系的王牌,澎湃新闻
2279,2020-05-27,春秋航空董事长王煜：建议逐步打开跨省游鼓励消费,中新网
2280,2020-05-27,港A两地航空股普涨 民航运输企业获资金支持政策,格隆汇
2281,2020-05-27,统筹疫情防控和经济发展，NAFMII会员在行动（第七期）,银行间市场协会
2282,2020-05-27,NAFMII会员在行动（第七期）,银行间市场协会
2283,2020-05-26,春秋航空董事长王煜：国内航空业市场依然潜力巨大,Wind
2284,2020-05-26,两会话民航 | 王煜：春秋航空三大优势应对疫情危机,民航资源网
2285,2020-05-26,[两会]全国政协委员王煜：建议疫情后提高主要旅游客源国来华签证便利化,全景网
2286,2020-05-26,[两会]全国政协委员王煜：疫情后进一步提振入境游,全景网
2287,2020-05-26,数据解读 | 后疫情，比拼的是调整速度,环球旅讯
2288,2020-05-26,全年降物流成本 1300 亿 民航发展基金减免到年底,财富动力网
2289,2020-05-25,运输行业周报：行业格局拐点 龙头合纵连横,新浪
2290,2020-05-25,南航引进两架全货机的背后，民航货运暴露短板也迎来机遇,上观
2291,2020-05-24,两会再提快递，关注航空国内线复苏【安信交运丨周报0524】,明兴交运研究
2292,2020-05-24,【两会·e线】春秋航空董事长王煜：降低限制，释放被压抑的消费需求,e公司
2293,2020-05-24,民航界全国政协委员热议：疫情下的中国民航业如何突围？,羊城晚报
2294,2020-05-24,旅游企业自救有了意外收获，卖土特产竟卖出万亿元市场,上观
2295,2020-05-23,民航蓄力复苏个人出行市场潜力待释放,中证报
2296,2020-05-23,献计民营企业发展 营商环境再成两会关注焦点,中国经营报
2297,2020-05-22,全国政协委员王煜：建议将民企纳入国家突发事件应对体系,中国经济周刊
2298,2020-05-22,两会聚焦：减免民航发展基金延长到今年年底,环球旅讯
2299,2020-05-22,【兴证交运】民航发展基金恢复征收的影响和展望,兴业证券交通运输与物流研究
2300,2020-05-21,两会声音丨雷军建议发展卫星互联网“新基建”，丁磊倡导建立国家层面“病患大数据分析中心”,证券时报网
2301,2020-05-21,春秋航空董事长王煜：建议将民企纳入国家突发事件应对体系,证券时报网
2302,2020-05-21,春秋航空王煜建言：进一步提高签证便利化,36氪
2303,2020-05-21,全国政协委员王煜：进一步提高签证便利化,中证网
2304,2020-05-21,民航直播花样多，机身广告666万一年，旗舰客机公务舱变直播间,上观
2305,2020-05-20,全国政协委员王煜：建议简化签证办理手续,中新经纬
2306,2020-05-20,河北机场集团：枢纽作用优势突显，航空市场快速回暖,民航资源网
2307,2020-05-20,4月上市航司经营数据点评：国内客座率环比明显回升 行业基本面逐步修复,新浪
2308,2020-05-20,春秋航空董事长两会建议：疫情后提振入境游，立法规范分餐制,第一财经
2309,2020-05-20,五月民航运输旅客87.98万人次 出行需求亟待释放,中国报告大厅
2310,2020-05-20,国内航线客座率超六成“五个一”政策仍将延续,Wind
2311,2020-05-20,国内航线客座率超六成“五个一”政策仍将延续,证券时报
2312,2020-05-19,上市航司战疫：亏损与规模不成正比 民营航企更抗跌 亏损,第一财经
2313,2020-05-19,航空上市公司战疫 民营航企更抗跌,第一财经
2314,2020-05-19,全国政协委员王煜：建议将民营企业纳入国家和各级政府突发事件应对体系,中国经营网
2315,2020-05-19,交通运输行业：快递业务量增速继续超预期 快递柜小波浪无碍大发展,新浪
2316,2020-05-19,全国政协委员、春秋航空董事长王煜：恢复经济要投资和消费同时发力,中证报
2317,2020-05-19,航空4月数据点评：国内线回暖带动客座率环比提升,新浪
2318,2020-05-19,【异动股】民航机场板块拉升，白云机场(600004-CN)涨7.13%,财华社
2319,2020-05-19,多国旅行限制将逐步放宽 飞行需求有望恢复航空股集体大涨,财华社
2320,2020-05-19,上市航司4月成绩单出炉，国内航空市场转暖,环球旅讯
2321,2020-05-19,【异动股】民航机场板块高开，华夏航空(002928-CN)涨3.63%,财华社
2322,2020-05-19,航空股集体反弹：中国国航涨5.37% 东方航空涨5.93%,新浪
2323,2020-05-19,港股异动︱南航(01055)升逾5%领涨航空股 隔夜美股波音(BA.US)大涨近13%,智通财经
2324,2020-05-19,港A市场航空股全线大涨,格隆汇
2325,2020-05-19,三大股指全线高开 航空、券商板块领涨,上证报
2326,2020-05-19,快讯：机场航运板块高开 华夏航空涨4%,新浪
2327,2020-05-19,华泰证券：国内线回暖带动客座率环比提升 推荐东方航空等,证券时报网
2328,2020-05-19,现金流收紧亟须回血 民营航司花式求生,时代在线
2329,2020-05-18,两会声音丨朱烈玉：欺诈发行罪应判十年以上，独董要由投资者机构选聘授薪 欺诈造假,证券时报网
2330,2020-05-18,江苏国际航空货邮吞吐量稳定增长,中港网
2331,2020-05-18,开大航院联手春秋航空推出教育扶贫新模式,证券日报
2332,2020-05-18,[快讯]全景投资者关系金奖（2019）揭晓 上海辖区多家上市公司上榜,全景网
2333,2020-05-18,交通运输-航空行业：国内需求逐步恢复 估值重回低位 买点已现,新浪
2334,2020-05-18,民航业还有黄金十年建议实行入境签证便利化,证券时报
2335,2020-05-15,A股头条之上市公司（5.16）,金融界
2336,2020-05-15,5月16日上市公司重要公告集锦：海尔智家一直在探讨有关潜在私有化海尔电器的方案,证券日报
2337,2020-05-15,晚间公告热点追踪：ST康美董事长及部分董事高管辞职,新浪
2338,2020-05-15,春秋航空：4月份旅客周转量同比下降53.39%,新浪
2339,2020-05-15,春秋航空：4月份旅客周转量环比上升9.77%,e公司
2340,2020-05-15,5月15日上市公司晚间公告速递,新浪
2341,2020-05-15,春秋航空(601021.SH)：4月客运量环比增19.23%% 同比降49.88%,格隆汇
2342,2020-05-15,【国盛交运张俊】疫情改变购物方式，4 月快递业务量高增长,四通八达
2343,2020-05-15,机票预订量暴涨，民航走出低谷了吗？,交通新闻网
2344,2020-05-14,【异动股】民航机场板块下挫，海控B股(900945-CN)跌8.81%,财华社
2345,2020-05-14,2020年4月中国民航运输业市场现状及发展趋势分析 利好政策+油价下跌助力行业复苏,前瞻研究院
2346,2020-05-14,内需回升油价下跌助力民航产业复苏,中证报
2347,2020-05-13,中信建投：将于5月28日召开“16春秋01”持有人会议,Wind
2348,2020-05-13,航班锐减 客运量暴跌！新加坡樟宜机场无奈接连关闭两个航站楼 盈利能力下降,21世纪经济报道
2349,2020-05-12,鹰眼预警:春秋航空营收增速持续放缓 存货周转率下降 盈利能力下降,新浪
2350,2020-05-12,海南首单船舶注册登记、船舶融资租赁业务在洋浦落地,中新网
2351,2020-05-12,航空业已过最寒严冬 国际油价大跌推动航司成本下降,第一财经
2352,2020-05-11,TD锐评 | 航司卖年票不是新鲜事，但有人因“终身机票”吃大亏,环球旅讯
2353,2020-05-11,中国航司重整旗鼓，国外同行状况却可能继续恶化 减资破产,环球旅讯
2354,2020-05-11,2019年，国内哪家航空公司最赚钱？,环球旅讯
2355,2020-05-11,本周看这三只股就够了！,金融界
2356,2020-05-11,春秋航空将在厦门机场设立基地公司,民航资源网
2357,2020-05-10,快递需求恢复超预期，多家快递价格上调【安信交运丨周报0510】,明兴交运研究
2358,2020-05-09,国内机票预订量恢复超5成 航司称最困难的日子已过去,第一财经
2359,2020-05-09,航空：此处无需再恐慌,股市动态分析
2360,2020-05-09,扬州泰州国际机场正式开通国际货运业务,微信
2361,2020-05-09,4月美航航班量相比3月缩减10万班次 山航成全球最准点的中型航司,民航资源网
2362,2020-05-09,【履职故事】全国政协委员王煜：挺身在前 同心抗疫,经济日报
2363,2020-05-08,春秋航班量恢复至疫情前七成 平均客座率70%,中国民航网
2364,2020-05-08,最新！这些国外航司计划复航中国客运航班,民航资源网
2365,2020-05-08,【国盛交运张俊】4月业务量增速预计达到27%，高速恢复收费多家快递企业调价,四通八达
2366,2020-05-08,“股神”巴菲特清空航空股，航空业恢复“元气”信号何时来？,环球旅讯
2367,2020-05-08,春秋航空虹桥机场始发航班值机截载时间调整为离港前30分钟,民航资源网
2368,2020-05-07,“股神”巴菲特清空航空股，国内投资者又该何去何从,36氪
2369,2020-05-07,【异动股】民航机场板块下挫，白云机场(600004-CN)跌4.6%,财华社
2370,2020-05-07,101股获券商买入评级，太阳纸业目标涨幅达73.44%,Wind
2371,2020-05-06,巴菲特清空航空股后，A股航空公司也大跌，国航一天蒸发25亿 连续下跌,砍柴网
2372,2020-05-06,1.15亿人次、475.6亿元：五一部分景区受限，逛吃住型城市被热捧,腾讯网
2373,2020-05-06,全国政协委员、春秋航空董事长王煜：守护旅客健康是我们的使命和责任,民航资源网
2374,2020-05-06,雪上加霜！遭巴菲特看空+油价大反弹，航空机场股全线飘绿,格隆汇
2375,2020-05-06,百胜中国、春秋航空等企业入选品质消费者领导组织,新浪
2376,2020-05-06,快讯：机场航运板块开盘领跌 春秋航空等多股跌逾3%,新浪
2377,2020-05-06,A股航空股全线下跌 巴菲特称已清仓航空股 连续下跌,格隆汇
2378,2020-05-05,航空：利空出尽、估值筑底，板块或迎估值修复,杨鑫交运观点
2379,2020-05-05,帮你读研报：A股全市场机构观点综述（2020.4.27-5.5）,民生宏观
2380,2020-05-05,交通运输：5月航空供需同比跌幅收窄，积极关注国内外疫情发展,杨鑫交运观点
2381,2020-05-03,揭阳潮汕机场夏秋航季新增拉萨、常州、盐城等多个新航点,民航资源网
2382,2020-05-01,春秋航空2019年净利18.41亿元，同比增长22.5%,环球旅讯
2383,2020-05-01,航企业绩“紧急迫降”？这些公司股价跌破三年内最低点！民航局出手 盈利能力下降,央视
2384,2020-04-30,风格剧变 科技股风云再起,华讯财经
2385,2020-04-30,三大航一季度合计亏损140亿！航司积极自救，夏秋季新增国内航班航线 亏损,国际金融报
2386,2020-04-30,数说：疫情致航企一季度亏损 国内市场已逐步复苏 亏损,民航资源网
2387,2020-04-30,北京“解禁”！航空旅游股能涨多久？ 解禁,经济网
2388,2020-04-30,数说：三大航Q1亏140亿 降幅近三倍 | 航空股逆势涨超4%,民航资源网
2389,2020-04-30,节前A股红红火火沪指放量大涨科技股井喷节后或开启两会行情,财华社
2390,2020-04-30,2020年第一季度低成本航空抗风险能力更强，专家称“航司仍不可过于乐观”,民航资源网
2391,2020-04-30,常州机场夏航季新增泉州、揭阳、宜宾等地航线,民航资源网
2392,2020-04-30,三大航司一季度亏损140亿元 一季度航空公司财报数据汇总 2020航空通信产业规模分析 亏损,新浪
2393,2020-04-30,收评：三大指数午后继续震荡走高，世联行、海航投资涨停,乐居财经
2394,2020-04-30,A股节前红盘收官，创业板指4月涨超10%,Wind
2395,2020-04-30,小长假来临 民航机场开盘走强｜板块牛熊榜,第一财经
2396,2020-04-30,五一小长假来临国内出游预期向好航空、旅游酒店等集体大涨,财华社
2397,2020-04-30,多家航司一季度亏损上百亿，国内航线需求逐步恢复 亏损,环球旅讯
2398,2020-04-30,上证指数午盘涨1.3%，半导体引领科技股爆发,Wind
2399,2020-04-30,四大航空单季巨亏200亿！至暗时刻已过？多地下调防控级别 重大损失,券商中国
2400,2020-04-30,巨丰午评：业绩窗口封闭 市场选择向上突破,巨丰财经
2401,2020-04-30,航空股大涨春秋航空涨近8%,格隆汇
2402,2020-04-30,快讯：航空板块早盘拉升 吉祥航空冲击涨停,新浪
2403,2020-04-30,三大股指集体高开 航空板块领涨,上证报
2404,2020-04-30,航空股开盘大涨 中国国航涨超5%,e公司
2405,2020-04-30,航空股开盘走强,格隆汇
2406,2020-04-30,航空板块跳空高开,Wind
2407,2020-04-30,股海导航 4月30日沪深股市公告提示,新浪
